,nBV421_pPE,pBV421_pPE,pBV421_nPE,nBV421_nPE
REPL1_WT_noDox,90.2,0.12,3.08E-03,9.64
REPL2_WT_noDox,98.2,0.29,0.022,1.48
REPL3_WT_noDox,96.8,2.87,2.61E-03,0.28
REPL1_WT_Dox,96.6,0.13,4.98E-03,3.25
REPL2_WT_Dox,98.7,0.2,0.017,1.1
REPL3_WT_Dox,98.9,0.69,1.80E-03,0.42
REPL1_ETV2_noDox,94.1,0.46,1.63E-03,5.47
REPL2_ETV2_noDox,96.4,0.3,0.036,3.3
REPL3_ETV2_noDox,92.4,2.34,0.014,5.22
REPL1_ETV2_Dox,0.15,60.4,39.3,0.1
REPL2_ETV2_Dox,2.46,48.5,48.9,0.19
REPL3_ETV2_Dox,0.16,74.2,25.6,0.043
,,,,
,,,,
,,,,
,,,,
