Gene,Description
ACE,Angiotensin I Converting Enzyme
CDH5,Vascular Endothelial Cadherin
EGFL7,Vascular Endothelial Statin
ESAM,Endothelial Cell Adhesion Molecule
ETV2,ETV2
FLT4,Fms Related Receptor Tyrosine Kinase 4
ICAM1,Intracellular Adhesion Molecule 1
KDR,Kinase Insert Domain Receptor
NRP1,Neuropilin 1 - Arterial
PECAM1,Platelet And Endothelial Cell Adhesion Molecule 1
PODXL,Podocalyxin
PROCR,"Protein C Receptor, Endothelial"
S1PR1,Endothelial Differentiation G-Protein Coupled Receptor 1
TEK,TEK Receptor Tyrosine Kinase
VEGFA,Vascular Endothelial Growth Factor A
VWF,Von Willebrand Factor
ACTB,Actin B
ANTXR1,ANTXR Cell Adhesion Molecule 1 - Fibroblasts
CD248,Endosialin - Fibroblast
COLEC11,Collectin Subfamily Member 11
DCBLD2,"Discoidin, CUB And LCCL Domain Containing 2"
PDPN,Podoplanin - Fibroblast
S1PR3,Endothelial Differentiation G-Protein Coupled Receptor 3
VCAM1,Vascular Cell Adhesion Molecule 1
VIM,Vimentin
