"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016049","GO:0016049","cell growth","3/4","494/16626",0.000101996411271662,0.0174413863274541,0.00536823217219272,"IGFBP7/FN1/POSTN",3
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","2/4","108/16626",0.00024871966258604,0.0212655311511064,0.00654525427858001,"FN1/POSTN",2
"GO:1990138","GO:1990138","neuron projection extension","2/4","179/16626",0.000681851985547308,0.030334503502785,0.00933656617506463,"FN1/POSTN",2
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","2/4","216/16626",0.000990858309522602,0.030334503502785,0.00933656617506463,"FN1/POSTN",2
"GO:0007160","GO:0007160","cell-matrix adhesion","2/4","238/16626",0.00120135738066671,0.030334503502785,0.00933656617506463,"FN1/POSTN",2
"GO:0048588","GO:0048588","developmental cell growth","2/4","238/16626",0.00120135738066671,0.030334503502785,0.00933656617506463,"FN1/POSTN",2
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","2/4","242/16626",0.0012417633012836,0.030334503502785,0.00933656617506463,"FN1/POSTN",2
"GO:0022604","GO:0022604","regulation of cell morphogenesis","2/4","313/16626",0.00206732170578017,0.0361349954567728,0.0111218822581634,"FN1/POSTN",2
"GO:0071635","GO:0071635","negative regulation of transforming growth factor beta production","1/4","12/16626",0.00288418019994063,0.0361349954567728,0.0111218822581634,"FN1",1
"GO:0031589","GO:0031589","cell-substrate adhesion","2/4","372/16626",0.00290767597458242,0.0361349954567728,0.0111218822581634,"FN1/POSTN",2
"GO:0043687","GO:0043687","post-translational protein modification","2/4","373/16626",0.0029231132328386,0.0361349954567728,0.0111218822581634,"IGFBP7/FN1",2
"GO:0030198","GO:0030198","extracellular matrix organization","2/4","407/16626",0.0034714719894997,0.0361349954567728,0.0111218822581634,"FN1/POSTN",2
"GO:0043062","GO:0043062","extracellular structure organization","2/4","408/16626",0.00348828901190649,0.0361349954567728,0.0111218822581634,"FN1/POSTN",2
"GO:0045229","GO:0045229","external encapsulating structure organization","2/4","410/16626",0.00352204076815326,0.0361349954567728,0.0111218822581634,"FN1/POSTN",2
"GO:0010771","GO:0010771","negative regulation of cell morphogenesis involved in differentiation","1/4","16/16626",0.0038441857379341,0.0361349954567728,0.0111218822581634,"POSTN",1
"GO:1900025","GO:1900025","negative regulation of substrate adhesion-dependent cell spreading","1/4","16/16626",0.0038441857379341,0.0361349954567728,0.0111218822581634,"POSTN",1
"GO:0001558","GO:0001558","regulation of cell growth","2/4","431/16626",0.0038858905483764,0.0361349954567728,0.0111218822581634,"IGFBP7/FN1",2
"GO:0001502","GO:0001502","cartilage condensation","1/4","17/16626",0.00408407876966499,0.0361349954567728,0.0111218822581634,"MGP",1
