"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","4/4","176/17059",1.0951775984259e-08,1.64276639763885e-07,NA,"IGFBP7/FN1/POSTN/MGP",4
"GO:0008201","GO:0008201","heparin binding","2/4","160/17059",0.000518093525188607,0.00388570143891455,NA,"FN1/POSTN",2
"GO:0005539","GO:0005539","glycosaminoglycan binding","2/4","210/17059",0.000890324857411738,0.00445162428705869,NA,"FN1/POSTN",2
"GO:1901681","GO:1901681","sulfur compound binding","2/4","251/17059",0.00126880178994308,0.00475800671228654,NA,"FN1/POSTN",2
"GO:0005520","GO:0005520","insulin-like growth factor binding","1/4","30/17059",0.00701649100109492,0.0185321683686796,NA,"IGFBP7",1
"GO:0097718","GO:0097718","disordered domain specific binding","1/4","36/17059",0.0084153464362583,0.0185321683686796,NA,"FN1",1
"GO:0043394","GO:0043394","proteoglycan binding","1/4","37/17059",0.00864834523871716,0.0185321683686796,NA,"FN1",1
"GO:0016504","GO:0016504","peptidase activator activity","1/4","44/17059",0.0102781873258919,0.0192716012360473,NA,"FN1",1
"GO:0005518","GO:0005518","collagen binding","1/4","81/17059",0.0188597073225336,0.031432845537556,NA,"FN1",1
"GO:0051087","GO:0051087","chaperone binding","1/4","112/17059",0.0260065610291978,0.0390098415437968,NA,"FN1",1
"GO:0019838","GO:0019838","growth factor binding","1/4","134/17059",0.0310547833485965,0.0392637514443717,NA,"IGFBP7",1
"GO:0002020","GO:0002020","protease binding","1/4","146/17059",0.0338000739894829,0.0392637514443717,NA,"FN1",1
"GO:0005178","GO:0005178","integrin binding","1/4","147/17059",0.0340285845851221,0.0392637514443717,NA,"FN1",1
"GO:0061134","GO:0061134","peptidase regulator activity","1/4","176/17059",0.0406377784898501,0.0435404769534108,NA,"FN1",1
"GO:0008022","GO:0008022","protein C-terminus binding","1/4","195/17059",0.0449495120105358,0.0449495120105358,NA,"FN1",1
