"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005520","GO:0005520","insulin-like growth factor binding","3/29","30/17059",1.73881274692464e-05,0.00210396342377881,0.00128123044510236,"ESM1/IGFBP3/IGFBP5",3
"GO:0019838","GO:0019838","growth factor binding","4/29","134/17059",7.42300636756645e-05,0.0044909188523777,0.00273479181962974,"ESM1/IGFBP3/COL4A1/IGFBP5",4
"GO:0031994","GO:0031994","insulin-like growth factor I binding","2/29","13/17059",0.000215142973982391,0.00630120404644758,0.0038371838473365,"IGFBP3/IGFBP5",2
"GO:0072542","GO:0072542","protein phosphatase activator activity","2/29","13/17059",0.000215142973982391,0.00630120404644758,0.0038371838473365,"CALM1/IGFBP3",2
"GO:0016493","GO:0016493","C-C chemokine receptor activity","2/29","16/17059",0.000329943541198468,0.00630120404644758,0.0038371838473365,"CXCR4/ACKR3",2
"GO:0019211","GO:0019211","phosphatase activator activity","2/29","16/17059",0.000329943541198468,0.00630120404644758,0.0038371838473365,"CALM1/IGFBP3",2
"GO:0019957","GO:0019957","C-C chemokine binding","2/29","17/17059",0.000373541892777542,0.00630120404644758,0.0038371838473365,"CXCR4/ACKR3",2
"GO:0001637","GO:0001637","G protein-coupled chemoattractant receptor activity","2/29","19/17059",0.000468684598496101,0.00630120404644758,0.0038371838473365,"CXCR4/ACKR3",2
"GO:0004950","GO:0004950","chemokine receptor activity","2/29","19/17059",0.000468684598496101,0.00630120404644758,0.0038371838473365,"CXCR4/ACKR3",2
"GO:0001968","GO:0001968","fibronectin binding","2/29","25/17059",0.000817070070308196,0.00972649757571911,0.0059230520252313,"IGFBP3/IGFBP5",2
"GO:0019956","GO:0019956","chemokine binding","2/29","26/17059",0.000884227052338101,0.00972649757571911,0.0059230520252313,"CXCR4/ACKR3",2
"GO:0017124","GO:0017124","SH3 domain binding","3/29","138/17059",0.00162252846160928,0.0157866198907369,0.00961342664072715,"GJA1/SH3BP5/AFAP1L1",3
"GO:0097718","GO:0097718","disordered domain specific binding","2/29","36/17059",0.00169608312875686,0.0157866198907369,0.00961342664072715,"GJA1/CALM1",2
"GO:0015026","GO:0015026","coreceptor activity","2/29","40/17059",0.00209109035513349,0.0180729952122251,0.0110057387112289,"CXCR4/ACKR3",2
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","2/29","47/17059",0.00287677437193643,0.0232059799336205,0.0141315232305649,"COL15A1/COL4A1",2
"GO:0005201","GO:0005201","extracellular matrix structural constituent","3/29","176/17059",0.00323867711801116,0.0240491744701234,0.0146449953276089,"COL15A1/LAMA4/COL4A1",3
"GO:0035254","GO:0035254","glutamate receptor binding","2/29","51/17059",0.00337880963629833,0.0240491744701234,0.0146449953276089,"CALM1/NETO2",2
"GO:0048306","GO:0048306","calcium-dependent protein binding","2/29","68/17059",0.0059299602494318,0.0398625105656248,0.0242746910795454,"CALM1/S100A11",2
"GO:0038024","GO:0038024","cargo receptor activity","2/29","76/17059",0.00735694442091335,0.046852119733185,0.0285310863968939,"ACKR3/DAB2",2
"GO:0004896","GO:0004896","cytokine receptor activity","2/29","80/17059",0.00812302864847029,0.0491443233232453,0.029926947652259,"CXCR4/ACKR3",2
