"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071456","GO:0071456","cellular response to hypoxia","4/14","214/16626",2.41439885819004e-05,0.00995910966980121,0.005806911210978,"BNIP3/PGK1/ENO1/SFRP1",4
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","4/14","223/16626",2.83776516291494e-05,0.00995910966980121,0.005806911210978,"BNIP3/PGK1/ENO1/SFRP1",4
"GO:0071453","GO:0071453","cellular response to oxygen levels","4/14","238/16626",3.66143737860338e-05,0.00995910966980121,0.005806911210978,"BNIP3/PGK1/ENO1/SFRP1",4
"GO:0031639","GO:0031639","plasminogen activation","2/14","18/16626",9.99698456686264e-05,0.0174597548318633,0.0101803524045436,"PGK1/ENO1",2
"GO:0032355","GO:0032355","response to estradiol","3/14","121/16626",0.000129082673029762,0.0174597548318633,0.0101803524045436,"NR2F2/SFRP1/SSTR2",3
"GO:0001666","GO:0001666","response to hypoxia","4/14","371/16626",0.00020452276830608,0.0174597548318633,0.0101803524045436,"BNIP3/PGK1/ENO1/SFRP1",4
"GO:0036293","GO:0036293","response to decreased oxygen levels","4/14","383/16626",0.000231060644127471,0.0174597548318633,0.0101803524045436,"BNIP3/PGK1/ENO1/SFRP1",4
"GO:0006735","GO:0006735","NADH regeneration","2/14","28/16626",0.000245798696938246,0.0174597548318633,0.0101803524045436,"PGK1/ENO1",2
"GO:0061621","GO:0061621","canonical glycolysis","2/14","28/16626",0.000245798696938246,0.0174597548318633,0.0101803524045436,"PGK1/ENO1",2
"GO:0061718","GO:0061718","glucose catabolic process to pyruvate","2/14","28/16626",0.000245798696938246,0.0174597548318633,0.0101803524045436,"PGK1/ENO1",2
"GO:0061620","GO:0061620","glycolytic process through glucose-6-phosphate","2/14","29/16626",0.000263879010093299,0.0174597548318633,0.0101803524045436,"PGK1/ENO1",2
"GO:0061615","GO:0061615","glycolytic process through fructose-6-phosphate","2/14","30/16626",0.000282591509375915,0.0174597548318633,0.0101803524045436,"PGK1/ENO1",2
"GO:0070482","GO:0070482","response to oxygen levels","4/14","406/16626",0.000288774286035989,0.0174597548318633,0.0101803524045436,"BNIP3/PGK1/ENO1/SFRP1",4
"GO:0048284","GO:0048284","organelle fusion","3/14","165/16626",0.000322377256460924,0.0174597548318633,0.0101803524045436,"BNIP3/ENO1/SYT4",3
"GO:0007389","GO:0007389","pattern specification process","4/14","421/16626",0.000331618453423797,0.0174597548318633,0.0101803524045436,"NR2F2/IRX3/SFRP1/MEIS2",4
"GO:0001558","GO:0001558","regulation of cell growth","4/14","431/16626",0.000362616023413226,0.0174597548318633,0.0101803524045436,"ENO1/IGFBPL1/SFRP1/SYT4",4
"GO:0071392","GO:0071392","cellular response to estradiol stimulus","2/14","34/16626",0.000363744892330485,0.0174597548318633,0.0101803524045436,"SFRP1/SSTR2",2
"GO:0006007","GO:0006007","glucose catabolic process","2/14","36/16626",0.000408090708288916,0.0185001121090975,0.0107869590729,"PGK1/ENO1",2
"GO:0071542","GO:0071542","dopaminergic neuron differentiation","2/14","40/16626",0.000504283813159338,0.0208136939644858,0.0121359515891997,"PHOX2B/SFRP1",2
"GO:0045664","GO:0045664","regulation of neuron differentiation","3/14","193/16626",0.000510139557953083,0.0208136939644858,0.0121359515891997,"IRX3/PHOX2B/SFRP1",3
"GO:0009612","GO:0009612","response to mechanical stimulus","3/14","198/16626",0.000549672035841846,0.0213586848212832,0.0124537223158153,"BNIP3/TTN/MEIS2",3
"GO:0016049","GO:0016049","cell growth","4/14","494/16626",0.000607954285796674,0.0216569954411268,0.0126276598805332,"ENO1/IGFBPL1/SFRP1/SYT4",4
"GO:0006734","GO:0006734","NADH metabolic process","2/14","44/16626",0.000610430018561171,0.0216569954411268,0.0126276598805332,"PGK1/ENO1",2
"GO:0031638","GO:0031638","zymogen activation","2/14","52/16626",0.000852348239855966,0.0288977498202209,0.0168495651686531,"PGK1/ENO1",2
"GO:0019674","GO:0019674","NAD metabolic process","2/14","53/16626",0.0008853477273352,0.0288977498202209,0.0168495651686531,"PGK1/ENO1",2
"GO:0019320","GO:0019320","hexose catabolic process","2/14","56/16626",0.000988004093262975,0.0310081284654842,0.0180800749050553,"PGK1/ENO1",2
"GO:0046365","GO:0046365","monosaccharide catabolic process","2/14","62/16626",0.00120969634647963,0.0365597118047176,0.021317066222565,"PGK1/ENO1",2
"GO:0045665","GO:0045665","negative regulation of neuron differentiation","2/14","66/16626",0.00136954639168102,0.0399124948432755,0.0232719913172866,"IRX3/PHOX2B",2
