"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019838","GO:0019838","growth factor binding","4/9","134/17059",4.44871124843404e-07,1.77948449937362e-05,5.61942473486406e-06,"IGFBP7/PTN/IGFBP5/COL4A1",4
"GO:0005201","GO:0005201","extracellular matrix structural constituent","4/9","176/17059",1.32517990220213e-06,2.65035980440426e-05,8.36955727706608e-06,"IGFBP7/FN1/COL4A1/MGP",4
"GO:0005520","GO:0005520","insulin-like growth factor binding","2/9","30/17059",0.000106810077679542,0.00142413436906056,0.000449726642861229,"IGFBP7/IGFBP5",2
"GO:0043394","GO:0043394","proteoglycan binding","2/9","37/17059",0.00016321689125097,0.0016321689125097,0.000515421761845167,"PTN/FN1",2
"GO:0005178","GO:0005178","integrin binding","2/9","147/17059",0.00255180795529551,0.0200935461409606,0.00634533036030335,"PTN/FN1",2
"GO:0008201","GO:0008201","heparin binding","2/9","160/17059",0.00301403192114409,0.0200935461409606,0.00634533036030335,"PTN/FN1",2
"GO:0005539","GO:0005539","glycosaminoglycan binding","2/9","210/17059",0.00512913867184928,0.0257324283629782,0.00812603000936154,"PTN/FN1",2
"GO:0035374","GO:0035374","chondroitin sulfate binding","1/9","10/17059",0.00526468535863234,0.0257324283629782,0.00812603000936154,"PTN",1
"GO:0048407","GO:0048407","platelet-derived growth factor binding","1/9","11/17059",0.0057897963816701,0.0257324283629782,0.00812603000936154,"COL4A1",1
"GO:0031994","GO:0031994","insulin-like growth factor I binding","1/9","13/17059",0.00683927928300498,0.0263680140683653,0.00832674128474695,"IGFBP5",1
"GO:1901681","GO:1901681","sulfur compound binding","2/9","251/17059",0.00725120386880047,0.0263680140683653,0.00832674128474695,"PTN/FN1",2
"GO:0001968","GO:0001968","fibronectin binding","1/9","25/17059",0.0131155230875399,0.0433915289163923,0.0137025880788607,"IGFBP5",1
"GO:0043236","GO:0043236","laminin binding","1/9","28/17059",0.0146790646894418,0.0433915289163923,0.0137025880788607,"LGALS1",1
"GO:0048020","GO:0048020","CCR chemokine receptor binding","1/9","34/17059",0.0177995437075084,0.0433915289163923,0.0137025880788607,"CCL2",1
"GO:0042805","GO:0042805","actinin binding","1/9","36/17059",0.0188377495324709,0.0433915289163923,0.0137025880788607,"CSRP2",1
"GO:0097718","GO:0097718","disordered domain specific binding","1/9","36/17059",0.0188377495324709,0.0433915289163923,0.0137025880788607,"FN1",1
"GO:0048018","GO:0048018","receptor ligand activity","2/9","424/17059",0.0197643621404607,0.0433915289163923,0.0137025880788607,"PTN/CCL2",2
"GO:0030546","GO:0030546","signaling receptor activator activity","2/9","430/17059",0.0202948893475298,0.0433915289163923,0.0137025880788607,"PTN/CCL2",2
"GO:0008307","GO:0008307","structural constituent of muscle","1/9","40/17059",0.0209112352285112,0.0433915289163923,0.0137025880788607,"CSRP2",1
"GO:0008009","GO:0008009","chemokine activity","1/9","44/17059",0.0229808249981674,0.0433915289163923,0.0137025880788607,"CCL2",1
"GO:0016504","GO:0016504","peptidase activator activity","1/9","44/17059",0.0229808249981674,0.0433915289163923,0.0137025880788607,"FN1",1
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","1/9","47/17059",0.0245304644780563,0.0433915289163923,0.0137025880788607,"COL4A1",1
"GO:0030545","GO:0030545","receptor regulator activity","2/9","480/17059",0.0249501291269256,0.0433915289163923,0.0137025880788607,"PTN/CCL2",2
"GO:0042379","GO:0042379","chemokine receptor binding","1/9","51/17059",0.0265932517870923,0.0441971050701499,0.0139569805484684,"CCL2",1
"GO:0050840","GO:0050840","extracellular matrix binding","1/9","53/17059",0.0276231906688437,0.0441971050701499,0.0139569805484684,"LGALS1",1
"GO:0004864","GO:0004864","protein phosphatase inhibitor activity","1/9","56/17059",0.0291662827701135,0.044871204261713,0.0141698539773831,"PTN",1
"GO:0019212","GO:0019212","phosphatase inhibitor activity","1/9","59/17059",0.0307071977974639,0.0454921448851317,0.0143659404900416,"PTN",1
