"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043687","GO:0043687","post-translational protein modification","6/15","373/16626",5.16640155187319e-07,0.000153688254420358,8.21184394194341e-05,"IGFBP7/IGFBP5/LGALS1/TNC/FN1/SPARCL1",6
"GO:0009612","GO:0009612","response to mechanical stimulus","5/15","198/16626",6.20749104213687e-07,0.000153688254420358,8.21184394194341e-05,"POSTN/TNC/DCN/PTN/GJA1",5
"GO:0030198","GO:0030198","extracellular matrix organization","6/15","407/16626",8.61003937227295e-07,0.000153688254420358,8.21184394194341e-05,"POSTN/TNC/FN1/DCN/BGN/LUM",6
"GO:0043062","GO:0043062","extracellular structure organization","6/15","408/16626",8.73442081236504e-07,0.000153688254420358,8.21184394194341e-05,"POSTN/TNC/FN1/DCN/BGN/LUM",6
"GO:0045229","GO:0045229","external encapsulating structure organization","6/15","410/16626",8.98761721756479e-07,0.000153688254420358,8.21184394194341e-05,"POSTN/TNC/FN1/DCN/BGN/LUM",6
"GO:0018149","GO:0018149","peptide cross-linking","3/15","24/16626",1.18890849586452e-06,0.000169419460660694,9.0523910036e-05,"FN1/DCN/BGN",3
"GO:0071295","GO:0071295","cellular response to vitamin","3/15","28/16626",1.92017481013908e-06,0.000234535637524131,0.000125316671819603,"POSTN/TNC/PTN",3
"GO:0031670","GO:0031670","cellular response to nutrient","3/15","39/16626",5.32485079762324e-06,0.000569093428995984,0.000304077006074801,"POSTN/TNC/PTN",3
"GO:0048771","GO:0048771","tissue remodeling","4/15","161/16626",1.06402585782368e-05,0.0010108245649325,0.000540102014380677,"IGFBP5/PTN/BGN/GJA1",4
"GO:0007565","GO:0007565","female pregnancy","4/15","168/16626",1.25878871248441e-05,0.00105289701780439,0.000562582093846851,"IGFBP7/IGFBP5/PTN/GJA1",4
"GO:0044273","GO:0044273","sulfur compound catabolic process","3/15","53/16626",1.35460435039161e-05,0.00105289701780439,0.000562582093846851,"DCN/BGN/LUM",3
"GO:0006027","GO:0006027","glycosaminoglycan catabolic process","3/15","56/16626",1.60030046728276e-05,0.00114021408293897,0.000609237195439225,"DCN/BGN/LUM",3
"GO:0006026","GO:0006026","aminoglycan catabolic process","3/15","59/16626",1.87372508525875e-05,0.00123233457530479,0.000658458855872304,"DCN/BGN/LUM",3
"GO:0044706","GO:0044706","multi-multicellular organism process","4/15","190/16626",2.04392857516397e-05,0.00124825637983228,0.000666966166632453,"IGFBP7/IGFBP5/PTN/GJA1",4
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","4/15","216/16626",3.38005603259616e-05,0.00182400580078338,0.000974599590692504,"LGALS1/POSTN/FN1/PTN",4
"GO:0048678","GO:0048678","response to axon injury","3/15","72/16626",3.41334418860048e-05,0.00182400580078338,0.000974599590692504,"LGALS1/TNC/PTN",3
"GO:0044849","GO:0044849","estrous cycle","2/15","11/16626",4.15905316721179e-05,0.00209175909292122,0.0011176650616532,"PTN/EGR1",2
"GO:0061448","GO:0061448","connective tissue development","4/15","241/16626",5.18389442786385e-05,0.0022759310258,0.00121607148685405,"BGN/MGP/LUM/EGR1",4
"GO:0033273","GO:0033273","response to vitamin","3/15","83/16626",5.22731575232615e-05,0.0022759310258,0.00121607148685405,"POSTN/TNC/PTN",3
"GO:0016049","GO:0016049","cell growth","5/15","494/16626",5.32381526502925e-05,0.0022759310258,0.00121607148685405,"IGFBP7/IGFBP5/POSTN/FN1/GJA1",5
"GO:0030207","GO:0030207","chondroitin sulfate catabolic process","2/15","13/16626",5.89214639396576e-05,0.00228990234856397,0.0012235366196082,"DCN/BGN",2
"GO:0030208","GO:0030208","dermatan sulfate biosynthetic process","2/15","13/16626",5.89214639396576e-05,0.00228990234856397,0.0012235366196082,"DCN/BGN",2
"GO:0030205","GO:0030205","dermatan sulfate metabolic process","2/15","14/16626",6.87058784517909e-05,0.00255406635114266,0.00136468426764656,"DCN/BGN",2
"GO:0030336","GO:0030336","negative regulation of cell migration","4/15","276/16626",8.78015079364135e-05,0.00309533050152611,0.00165389158222509,"IGFBP5/DCN/PTN/GJA1",4
"GO:0050651","GO:0050651","dermatan sulfate proteoglycan biosynthetic process","2/15","16/16626",9.0506739810705e-05,0.00309533050152611,0.00165389158222509,"DCN/BGN",2
"GO:0050655","GO:0050655","dermatan sulfate proteoglycan metabolic process","2/15","17/16626",0.000102520844707319,0.0033225753740301,0.00177531266522507,"DCN/BGN",2
"GO:2000146","GO:2000146","negative regulation of cell motility","4/15","289/16626",0.000104923432864108,0.0033225753740301,0.00177531266522507,"IGFBP5/DCN/PTN/GJA1",4
"GO:0051271","GO:0051271","negative regulation of cellular component movement","4/15","296/16626",0.000115090696312164,0.00343767903397293,0.00183681465157803,"IGFBP5/DCN/PTN/GJA1",4
"GO:0071496","GO:0071496","cellular response to external stimulus","4/15","297/16626",0.000116599639748789,0.00343767903397293,0.00183681465157803,"POSTN/TNC/PTN/GJA1",4
"GO:0006024","GO:0006024","glycosaminoglycan biosynthetic process","3/15","110/16626",0.000121000587158214,0.00344058833567743,0.00183836914457865,"DCN/BGN/LUM",3
"GO:1903510","GO:1903510","mucopolysaccharide metabolic process","3/15","112/16626",0.000127646009816855,0.00344058833567743,0.00183836914457865,"DCN/BGN/LUM",3
"GO:0046697","GO:0046697","decidualization","2/15","19/16626",0.000128770557592606,0.00344058833567743,0.00183836914457865,"PTN/GJA1",2
"GO:0032526","GO:0032526","response to retinoic acid","3/15","115/16626",0.000138053747083471,0.00354924367390411,0.00189642567494538,"IGFBP7/TNC/GJA1",3
"GO:0071305","GO:0071305","cellular response to vitamin D","2/15","20/16626",0.000143003831252926,0.00354924367390411,0.00189642567494538,"TNC/PTN",2
"GO:0006023","GO:0006023","aminoglycan biosynthetic process","3/15","117/16626",0.000145290676709525,0.00354924367390411,0.00189642567494538,"DCN/BGN/LUM",3
"GO:0032355","GO:0032355","response to estradiol","3/15","121/16626",0.000160497246079173,0.00372329567147385,0.00198942483400388,"POSTN/PTN/GJA1",3
"GO:0040013","GO:0040013","negative regulation of locomotion","4/15","323/16626",0.000161125075841559,0.00372329567147385,0.00198942483400388,"IGFBP5/DCN/PTN/GJA1",4
"GO:0022612","GO:0022612","gland morphogenesis","3/15","124/16626",0.000172557591774831,0.00388254581493369,0.00207451509225143,"IGFBP5/TNC/PTN",3
"GO:0001890","GO:0001890","placenta development","3/15","127/16626",0.000185193242756349,0.0040600057065815,0.00216933515131594,"DCN/PTN/GJA1",3
"GO:0030206","GO:0030206","chondroitin sulfate biosynthetic process","2/15","26/16626",0.000243847982443955,0.00509321292258716,0.002721396624688,"DCN/BGN",2
"GO:0060537","GO:0060537","muscle tissue development","4/15","360/16626",0.000244235941317045,0.00509321292258716,0.002721396624688,"IGFBP5/DCN/EGR1/GJA1",4
"GO:0001893","GO:0001893","maternal placenta development","2/15","27/16626",0.000263218591375968,0.0053583784672965,0.00286307941496667,"PTN/GJA1",2
"GO:0031589","GO:0031589","cell-substrate adhesion","4/15","372/16626",0.00027683378668189,0.00550448575844223,0.00294114720734248,"LGALS1/POSTN/FN1/PTN",4
"GO:0048608","GO:0048608","reproductive structure development","4/15","378/16626",0.000294260838912021,0.00571802311976767,0.00305524411693342,"TNC/DCN/PTN/GJA1",4
"GO:0061458","GO:0061458","reproductive system development","4/15","381/16626",0.000303265307399402,0.00576204084058863,0.00307876358856936,"TNC/DCN/PTN/GJA1",4
"GO:0033280","GO:0033280","response to vitamin D","2/15","30/16626",0.000325701414370853,0.00594435222942956,0.00317617589113257,"TNC/PTN",2
"GO:0030203","GO:0030203","glycosaminoglycan metabolic process","3/15","154/16626",0.000326765561149929,0.00594435222942956,0.00317617589113257,"DCN/BGN/LUM",3
"GO:0050650","GO:0050650","chondroitin sulfate proteoglycan biosynthetic process","2/15","31/16626",0.000347982174416825,0.00619843248179969,0.0033119356073882,"DCN/BGN",2
