"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","8/17","176/17059",2.45754075207113e-12,1.5236752662841e-10,8.79540900741246e-11,"IGFBP7/FN1/POSTN/TNC/COL1A2/COL4A1/BGN/COL1A1",8
"GO:0019838","GO:0019838","growth factor binding","6/17","134/17059",2.41965709868593e-09,7.50093700592639e-08,4.32991270291167e-08,"IGFBP7/IGFBP5/PTN/COL1A2/COL4A1/COL1A1",6
"GO:0048407","GO:0048407","platelet-derived growth factor binding","3/17","11/17059",1.34964700865374e-07,2.78927048455106e-06,1.61010520330621e-06,"COL1A2/COL4A1/COL1A1",3
"GO:0043394","GO:0043394","proteoglycan binding","3/17","37/17059",6.254649191716e-06,9.6947062471598e-05,5.59626506627221e-05,"FN1/PTN/TNC",3
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","3/17","47/17059",1.29725062140773e-05,0.000160859077054559,9.28558339533955e-05,"COL1A2/COL4A1/COL1A1",3
"GO:0050840","GO:0050840","extracellular matrix binding","3/17","53/17059",1.86723939883613e-05,0.000192948071213067,0.000111379192211278,"LGALS1/SPARCL1/BGN",3
"GO:0005539","GO:0005539","glycosaminoglycan binding","4/17","210/17059",4.68396887918131e-05,0.000414865815013202,0.000239481115627315,"FN1/POSTN/PTN/BGN",4
"GO:0005518","GO:0005518","collagen binding","3/17","81/17059",6.68438897391318e-05,0.000518040145478271,0.000299038454096116,"FN1/SPARCL1/MMP9",3
"GO:0002020","GO:0002020","protease binding","3/17","146/17059",0.000382427596227912,0.00247993183352047,0.00143153959829705,"FN1/COL1A2/COL1A1",3
"GO:0005520","GO:0005520","insulin-like growth factor binding","2/17","30/17059",0.000399989005406528,0.00247993183352047,0.00143153959829705,"IGFBP7/IGFBP5",2
"GO:0008201","GO:0008201","heparin binding","3/17","160/17059",0.000499911424746,0.00281768257584109,0.00162650607094392,"FN1/POSTN/PTN",3
"GO:0097718","GO:0097718","disordered domain specific binding","2/17","36/17059",0.000577261507969052,0.00298251779117344,0.00172165712903051,"FN1/GJA1",2
"GO:1901681","GO:1901681","sulfur compound binding","3/17","251/17059",0.00183726379757506,0.00876233503458877,0.00505805417955888,"FN1/POSTN/PTN",3
"GO:0030165","GO:0030165","PDZ domain binding","2/17","84/17059",0.00310567112813581,0.0137536864246014,0.00793930965087349,"ARHGAP29/GJA1",2
"GO:0005178","GO:0005178","integrin binding","2/17","147/17059",0.00921463777297573,0.0361914047853031,0.020891473050939,"FN1/PTN",2
"GO:0035374","GO:0035374","chondroitin sulfate binding","1/17","10/17059",0.00992344969919601,0.0361914047853031,0.020891473050939,"PTN",1
"GO:0035673","GO:0035673","oligopeptide transmembrane transporter activity","1/17","10/17059",0.00992344969919601,0.0361914047853031,0.020891473050939,"GJA1",1
"GO:0031994","GO:0031994","insulin-like growth factor I binding","1/17","13/17059",0.0128823638934232,0.0443725867440134,0.0256140568641164,"IGFBP5",1
"GO:0015562","GO:0015562","efflux transmembrane transporter activity","1/17","14/17059",0.0138668177133116,0.0452496156960693,0.0261203214544373,"GJA1",1
"GO:0005243","GO:0005243","gap junction channel activity","1/17","15/17059",0.0148503474345708,0.0460360770471695,0.0265743059355478,"GJA1",1
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","1/17","17/17059",0.0168146378336429,0.0496432164612314,0.0286565256312711,"BGN",1
