"","B1_p_val","B1_avg_log2FC","B1_pct.1","B1_pct.2","B1_p_val_adj","B2_p_val","B2_avg_log2FC","B2_pct.1","B2_pct.2","B2_p_val_adj","max_pval","minimump_p_val","cluster"
"RPL22",0,0.315949174734123,1,0.999,0,0,0.411513850940933,1,0.999,0,0,0,0
"FBLIM1",0,0.339004444311609,0.435,0.193,0,0,0.413610793612161,0.516,0.205,0,0,0,0
"MFAP2",0,0.69206518637871,0.885,0.6,0,0,0.682686632192546,0.865,0.549,0,0,0,0
"NBL1",0,0.560094418187869,0.57,0.231,0,0,0.422359925561277,0.439,0.162,0,0,0,0
"LUZP1",0,0.378804625648531,0.761,0.544,0,0,0.428756875052647,0.747,0.467,0,0,0,0
"ID3",0,0.730057584028903,0.928,0.676,0,0,0.755631977820585,0.938,0.668,0,0,0,0
"EVA1B",0,0.791772448411002,0.862,0.406,0,0,0.75016318992045,0.833,0.362,0,0,0,0
"FHL3",0,0.433278597095304,0.598,0.302,0,0,0.477722049596976,0.612,0.27,0,0,0,0
"NFIA",0,1.11818637438739,0.894,0.35,0,0,1.27080984145545,0.939,0.363,0,0,0,0
"L1TD1",0,0.784939973155236,0.594,0.265,0,0,0.800361984850539,0.567,0.22,0,0,0,0
"KANK4",0,0.314449456698327,0.491,0.239,0,0,0.303655209906819,0.386,0.165,0,0,0,0
"ST6GALNAC3",0,0.411226933557194,0.452,0.23,0,8.27872824185576e-297,0.284193368590891,0.398,0.212,2.16314890231449e-292,8.27872824185576e-297,0,0
"NEXN",0,0.432216510769688,0.44,0.183,0,0,0.335979365151786,0.372,0.133,0,0,0,0
"ARHGAP29",0,0.713412932952124,0.491,0.174,0,0,0.456558177619431,0.371,0.116,0,0,0,0
"COL11A1",0,0.41757382588148,0.518,0.3,0,0,0.800668314243816,0.726,0.327,0,0,0,0
"OLFML3",0,0.494772717781553,0.372,0.096,0,0,0.383997257917591,0.339,0.076,0,0,0,0
"NOTCH2",0,0.322079837328639,0.595,0.369,0,0,0.290381685761955,0.547,0.313,0,0,0,0
"C1orf54",0,0.317993318454462,0.603,0.396,0,0,0.462596366763284,0.696,0.395,0,0,0,0
"CTSK",0,0.520094867550437,0.52,0.148,0,0,0.617387010446872,0.579,0.143,0,0,0,0
"S100A11",0,1.13288558533633,0.726,0.353,0,0,1.41547612777698,0.85,0.365,0,0,0,0
"RAB13",0,0.404915849607636,0.889,0.685,0,0,0.584479069614311,0.904,0.622,0,0,0,0
"SSR2",0,0.341590708550345,0.981,0.951,0,0,0.459293965056122,0.985,0.925,0,0,0,0
"CRABP2",0,1.03416337255216,0.867,0.519,0,0,1.07103788685641,0.902,0.436,0,0,0,0
"DDR2",0,0.74331890051002,0.75,0.227,0,0,0.720918948195225,0.723,0.201,0,0,0,0
"RGS5",0,0.602074661343631,0.334,0.131,0,0,0.757072152715691,0.382,0.13,0,0,0,0
"PRRX1",0,1.33202671425428,0.889,0.235,0,0,1.63784984520949,0.957,0.24,0,0,0,0
"DNM3OS",0,0.885005682891503,0.748,0.213,0,0,1.12676254680327,0.833,0.217,0,0,0,0
"ANGPTL1",0,0.534810152048754,0.557,0.17,0,0,0.468998001953896,0.497,0.144,0,0,0,0
"HMCN1",0,0.673518525404897,0.672,0.293,0,0,0.702967475400346,0.661,0.251,0,0,0,0
"SERTAD4",0,0.412735945290514,0.571,0.296,0,0,0.511565821560549,0.688,0.334,0,0,0,0
"NID1",0,0.513390586982936,0.749,0.359,0,0,0.583360222446006,0.721,0.281,0,0,0,0
"KIF26B",0,0.393565156686146,0.44,0.159,0,0,0.355698152926979,0.403,0.135,0,0,0,0
"LAPTM4A",0,0.936078530178663,0.959,0.681,0,0,0.900372490005693,0.966,0.636,0,0,0,0
"OST4",0,0.292039463973019,0.978,0.962,0,0,0.396919024459292,0.985,0.946,0,0,0,0
"EMILIN1",0,0.447019165639643,0.518,0.19,0,0,0.586826343645722,0.613,0.191,0,0,0,0
"PKDCC",0,0.391229999294854,0.539,0.296,0,0,0.313501899188053,0.47,0.25,0,0,0,0
"EML4",0,0.439547661207735,0.781,0.532,0,0,0.438115967393449,0.753,0.479,0,0,0,0
"ZFP36L2",0,0.581127935461256,0.854,0.583,0,0,0.788579934213655,0.871,0.495,0,0,0,0
"RPS27A",0,0.28398081685235,1,1,0,0,0.356018277535485,1,1,0,0,0,0
"TCF7L1",0,0.344055293758599,0.74,0.518,0,2.86896689815271e-287,0.270799473983561,0.658,0.443,7.49632360818323e-283,2.86896689815271e-287,0,0
"ST6GAL2",0,0.328191273573724,0.421,0.21,0,0,0.373435645827865,0.457,0.191,0,0,0,0
"GYPC",0,0.421750958396719,0.833,0.626,0,0,0.46858314380083,0.812,0.544,0,0,0,0
"TNFAIP6",0,0.370603534140864,0.486,0.183,0,0,0.287652358710112,0.39,0.15,0,0,0,0
"FAP",0,0.322071955986931,0.361,0.111,0,0,0.296917945885565,0.338,0.109,0,0,0,0
"COBLL1",0,0.694495883223392,0.529,0.189,0,0,0.442322653874775,0.328,0.125,0,0,0,0
"DLX1",0,0.352879039374053,0.551,0.276,0,0,0.547061147615658,0.641,0.253,0,0,0,0
"DLX2",0,0.351186088451963,0.507,0.248,0,0,0.490477773645897,0.587,0.225,0,0,0,0
"FRZB",0,1.20073767586713,0.923,0.367,0,0,1.19197265581875,0.893,0.318,0,0,0,0
"COL3A1",0,1.99547419167016,0.759,0.191,0,0,1.87167052839275,0.798,0.201,0,0,0,0
"COL5A2",0,0.380734119636395,0.753,0.391,0,0,0.618155140850781,0.805,0.385,0,0,0,0
"EEF1B2",0,0.397620766931792,0.998,0.983,0,0,0.396101549717366,0.997,0.971,0,0,0,0
"FN1",0,0.830192331073652,0.654,0.373,0,0,1.16932565657055,0.715,0.36,0,0,0,0
"TNS1",0,0.283694629278918,0.399,0.18,0,0,0.289656204213032,0.394,0.153,0,0,0,0
"ITM2C",0,0.846903707527047,0.958,0.715,0,0,0.951154107589582,0.973,0.668,0,0,0,0
"COL6A3",0,0.598009512483058,0.279,0.056,0,0,0.744463447026163,0.396,0.084,0,0,0,0
"ITPR1",0,0.339990956013976,0.378,0.145,0,0,0.28103031201373,0.307,0.106,0,0,0,0
