"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","ensembl_gene_id","entrezgene_id","threshold_OE","genelabels"
"1",0.0251266352464496,0.57609695822615,0.204,0.185,1,"NEFM","ENSG00000104722",4741,FALSE,""
"2",7.85415674050925e-34,0.408429011119592,0.122,0.032,2.05221261472766e-29,"NNAT","ENSG00000053438",4826,FALSE,""
"3",7.9934029774291e-34,-0.352753779740228,0.354,0.507,2.08859626397245e-29,"PTPRN2","ENSG00000282185",5799,FALSE,""
"4",1.06216440309943e-32,-0.326775641160984,0.875,0.906,2.7753293688585e-28,"FGFBP3","ENSG00000174721",143282,FALSE,""
"5",1.76856071061719e-17,0.32197398431211,0.585,0.512,4.62107228077165e-13,"PTX3","ENSG00000163661",5806,FALSE,""
"6",7.44238930451614e-10,0.263103548895298,0.962,0.954,1.94462190137702e-05,"MDK","ENSG00000110492",4192,FALSE,""
"7",2.52776206223777e-14,-0.246635737679498,0.256,0.341,6.60478949242106e-10,"RMRP","ENSG00000269900",6023,FALSE,""
"8",1.5516496638218e-22,-0.224909217788841,0.705,0.85,4.05430540659999e-18,"RPS4Y1","ENSG00000129824",6192,FALSE,""
"9",1.91742376238473e-22,0.21981004936319,0.55,0.446,5.01003654873506e-18,"VCL","ENSG00000035403",7414,FALSE,""
"10",2.47037648429143e-06,0.213974855280878,0.578,0.529,0.0645484671580507,"BNIP3","ENSG00000176171",664,FALSE,""
"11",4.183558310783e-15,-0.208341027661052,0.477,0.573,1.09312195102449e-10,"CNTNAP2","ENSG00000278728",26047,FALSE,""
"12",2.68215389787256e-34,-0.199774320303883,0.213,0.357,7.00819991975122e-30,"CSAG1","ENSG00000198930",158511,FALSE,""
"13",3.86399442734032e-21,-0.198105002872707,0.999,0.999,1.00962310391975e-16,"VIM","ENSG00000026025",7431,FALSE,""
"14",2.01765682170897e-13,-0.197582076312739,0.57,0.659,5.27193550944337e-09,"LRRN1","ENSG00000175928",57633,FALSE,""
"15",1.06699988753579e-11,0.195517880138922,0.795,0.761,2.78796400614226e-07,"SFRP2","ENSG00000145423",6423,FALSE,""
"16",1.45984515960505e-12,0.191048053445434,0.56,0.485,3.81442941753203e-08,"ARID5B","ENSG00000150347",84159,FALSE,""
"17",1.91363801801674e-09,-0.190332448230461,0.65,0.727,5.00014477727593e-05,"HES6","ENSG00000144485",55502,FALSE,""
"18",2.8924241543661e-15,0.190292336767191,0.94,0.912,7.5576150729432e-11,"PANTR1","ENSG00000233639",100506421,FALSE,""
"19",0.0831900431625719,-0.185662616859084,0.091,0.104,1,"C1orf61",NA,NA,FALSE,""
"20",2.61005375585991e-09,-0.184270473244183,0.543,0.614,6.81980945868636e-05,"PCDH18","ENSG00000189184",54510,FALSE,""
"21",6.45322656210742e-08,0.183871757232899,0.441,0.388,0.00168616356841305,"COL2A1","ENSG00000139219",1280,FALSE,""
"22",1.33692535688697e-32,-0.180810703768724,0.168,0.298,3.49325226500998e-28,"MAGEA12","ENSG00000213401",4111,FALSE,""
"23",4.40894411829693e-05,0.172899043699238,0.63,0.606,1,"EN2","ENSG00000164778",2020,FALSE,""
"24",1.11722895108639e-15,-0.165630627023641,0.368,0.476,2.91920752629364e-11,"CCDC144NL-AS1","ENSG00000233098",440416,FALSE,""
"25",2.38146183393464e-15,0.165495267658593,0.991,0.987,6.22252162588782e-11,"IGFBP2","ENSG00000115457",3485,FALSE,""
"26",2.41928023913703e-05,-0.161700399635669,0.695,0.735,0.632133733684115,"CCND1","ENSG00000110092",595,FALSE,""
"27",3.99938967402299e-18,-0.161548779185568,0.178,0.273,1.04500052792547e-13,"MEIS2","ENSG00000134138",4212,FALSE,""
"28",3.57691065484255e-11,-0.15995116588518,0.898,0.927,9.34610985003811e-07,"LINC00461","ENSG00000245526",645323,FALSE,""
