"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","ensembl_gene_id","entrezgene_id","threshold_OE","genelabels"
"1",1.33701422211068e-81,-1.00514300574565,0.231,0.442,3.493484460953e-77,"TPBG","ENSG00000283085",7162,TRUE,"TPBG"
"2",3.29245500707867e-52,-0.795414144874486,0.125,0.271,8.60285568799587e-48,"COL5A2","ENSG00000204262",1290,TRUE,"COL5A2"
"3",6.35389158054141e-32,-0.678886277457232,0.372,0.486,1.66020833107967e-27,"HES1","ENSG00000114315",3280,TRUE,"HES1"
"4",9.73902500993885e-56,-0.654955826258529,0.523,0.671,2.54470984484692e-51,"ID1","ENSG00000125968",3397,TRUE,"ID1"
"5",5.62633346793033e-38,-0.653946802675644,0.376,0.515,1.47010467183551e-33,"SAT1","ENSG00000130066",6303,TRUE,"SAT1"
"6",5.58488659312278e-26,-0.583825108896153,0.148,0.246,1.45927501791705e-21,"IGFBP5","ENSG00000115461",3488,TRUE,"IGFBP5"
"7",1.15884520786178e-68,-0.576049256171908,0.037,0.167,3.02794664362204e-64,"ADGRL4","ENSG00000162618",64123,TRUE,"ADGRL4"
"8",7.59528255824511e-47,-0.551421500447418,0.044,0.146,1.98457137964387e-42,"RSPO3","ENSG00000146374",84870,TRUE,"RSPO3"
"9",1.1468845075908e-105,0.52533295678761,0.866,0.764,2.99669452988401e-101,"CRNDE","ENSG00000245694",101927480,TRUE,"CRNDE"
"10",2.61186625608768e-35,0.520603320424601,0.528,0.4,6.8245453405315e-31,"CRABP1","ENSG00000166426",1381,TRUE,"CRABP1"
"11",5.28156789437884e-70,-0.488703080680627,0.151,0.335,1.38002087512225e-65,"CCDC80","ENSG00000091986",151887,FALSE,""
"12",6.47688698247014e-77,-0.471346382980266,0.086,0.254,1.69234579964962e-72,"PCDH7","ENSG00000169851",5099,FALSE,""
"13",5.59863733126899e-61,0.468862232409941,0.972,0.965,1.46286794828727e-56,"BTG1","ENSG00000133639",694,FALSE,""
"14",2.51347283425731e-80,0.457208380643441,0.354,0.155,6.56745316863092e-76,"PTPRN2","ENSG00000282185",5799,FALSE,""
"15",3.05245316687086e-47,-0.455599664570275,0.109,0.241,7.97575487971686e-43,"APOE","ENSG00000130203",348,FALSE,""
"16",5.53796925377026e-76,0.455392712691318,0.898,0.737,1.44701598631763e-71,"LINC00461","ENSG00000245526",645323,FALSE,""
"17",1.23119242740555e-54,0.452855448664057,0.875,0.751,3.21698269356796e-50,"FGFBP3","ENSG00000174721",143282,FALSE,""
"18",1.19339646767871e-22,-0.451155759704887,0.564,0.646,3.11822563039771e-18,"TPM1","ENSG00000140416",7168,FALSE,""
"19",5.95115840333192e-66,0.448455426799381,0.484,0.295,1.5549781792066e-61,"SMOC1","ENSG00000198732",64093,FALSE,""
"20",5.06864356727195e-24,-0.442426583029941,0.51,0.612,1.32438587769249e-19,"WLS","ENSG00000116729",79971,FALSE,""
"21",3.58834069907944e-76,0.434885563423432,0.595,0.407,9.37597541262467e-72,"IRX3","ENSG00000177508",79191,FALSE,""
"22",3.3599737633894e-39,-0.434277138125507,0.083,0.192,8.77927544636017e-35,"S100A11","ENSG00000163191",6282,FALSE,""
"23",4.51863419025524e-44,0.426206285726548,0.881,0.844,1.18067392757179e-39,"NR2F1","ENSG00000175745",7025,FALSE,""
"24",3.15935131892397e-38,0.424951425479101,0.499,0.375,8.25506906121644e-34,"TXNIP","ENSG00000265972",10628,FALSE,""
"25",1.05915347176047e-32,-0.422783427761001,0.038,0.116,2.76746210636293e-28,"MYC","ENSG00000136997",4609,FALSE,""
"26",4.0949039988365e-48,0.422228097666287,0.284,0.14,1.06995746585599e-43,"FST","ENSG00000134363",10468,FALSE,""
"27",1.40916815041836e-27,-0.421396137425001,0.701,0.774,3.68201546022814e-23,"APP","ENSG00000142192",351,FALSE,""
"28",7.36388232177917e-33,-0.420773721884828,0.035,0.11,1.92410881185768e-28,"NRN1","ENSG00000124785",51299,FALSE,""
"29",9.96060915063125e-41,0.400167146035126,0.39,0.252,2.60260756496844e-36,"PLP1","ENSG00000123560",5354,FALSE,""
"30",3.85294894705315e-15,-0.399774061282152,0.204,0.286,1.00673703037552e-10,"NEFM","ENSG00000104722",4741,FALSE,""
"31",4.32856439415336e-50,0.399111542342334,0.868,0.774,1.13101059054833e-45,"ARL4A","ENSG00000122644",10124,FALSE,""
"32",2.00545019152232e-81,0.391106563122338,0.368,0.159,5.24004080542866e-77,"CCDC144NL-AS1","ENSG00000233098",440416,FALSE,""
"33",1.65013171840795e-55,-0.385427247213151,0.026,0.128,4.31162916702814e-51,"KRT18","ENSG00000111057",3875,FALSE,""
"34",7.3799878545053e-40,-0.381435427488925,0.177,0.311,1.92831702650369e-35,"TAGLN","ENSG00000149591",6876,FALSE,""
