"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","ensembl_gene_id","entrezgene_id","threshold_OE","genelabels"
"1",2.22071453852209e-06,-0.781183703219509,0.239,0.33,0.0580250501770437,"NEFM","ENSG00000104722",4741,FALSE,""
"2",7.20083561893818e-95,0.775844563758041,0.64,0.235,1.88150633887236e-90,"PTPRN2","ENSG00000282185",5799,TRUE,"PTPRN2"
"3",5.89149998862013e-48,-0.759805032197499,0.674,0.846,1.53939003202655e-43,"ID1","ENSG00000125968",3397,TRUE,"ID1"
"4",1.64788694562341e-51,0.748172101926593,0.929,0.835,4.3057638002194e-47,"FGFBP3","ENSG00000174721",143282,TRUE,"FGFBP3"
"5",8.5880310047852e-103,0.647926118368727,0.665,0.201,2.24396662124032e-98,"CCDC144NL-AS1","ENSG00000233098",440416,TRUE,"CCDC144NL-AS1"
"6",4.49795381254401e-42,-0.637519148031602,0.663,0.845,1.17527035167962e-37,"NEAT1","ENSG00000245532",283131,TRUE,"NEAT1"
"7",1.15545946043991e-16,-0.571177804394484,0.687,0.765,3.01910002418345e-12,"HIST1H1D",NA,NA,TRUE,"HIST1H1D"
"8",3.96724851940426e-41,0.568657672342984,0.398,0.142,1.03660236563514e-36,"HIST1H1A",NA,NA,TRUE,"HIST1H1A"
"9",3.74048573025859e-168,0.525254016978963,0.518,0.007,9.77351516459267e-164,"CSAG1","ENSG00000198930",158511,TRUE,"CSAG1"
"10",1.34902073096837e-14,-0.495954756288783,0.272,0.42,3.52485626794726e-10,"TPBG","ENSG00000283085",7162,FALSE,""
"11",5.98242187316031e-40,0.449011627976144,1,0.999,1.56314701123806e-35,"VIM","ENSG00000026025",7431,FALSE,""
"12",1.25546144400412e-148,0.447675440740418,0.459,0.003,3.28039520703836e-144,"MAGEA12","ENSG00000213401",4111,FALSE,""
"13",5.7187271737308e-26,0.441160459915057,0.455,0.253,1.49424622322412e-21,"FST","ENSG00000134363",10468,FALSE,""
"14",2.96571101914676e-05,-0.416946999155405,0.381,0.453,0.774910632192857,"MT2A","ENSG00000125148",4502,FALSE,""
"15",1.97422978117994e-21,0.405843533061022,0.981,0.964,5.15846499524506e-17,"BTG1","ENSG00000133639",694,FALSE,""
"16",7.44122502332152e-17,0.400547654662344,0.67,0.534,1.94431768634368e-12,"NTRK2","ENSG00000148053",4915,FALSE,""
"17",5.94706518534778e-16,-0.398050793281227,0.564,0.68,1.55390866227952e-11,"COL2A1","ENSG00000139219",1280,FALSE,""
"18",6.87125905194091e-18,-0.395008562174338,0.846,0.903,1.79539127768164e-13,"ID3","ENSG00000283060",3399,FALSE,""
"19",1.71470389534621e-26,-0.392157167044801,0.778,0.89,4.48034980815011e-22,"EN2","ENSG00000164778",2020,FALSE,""
"20",8.7377382547718e-19,-0.386418362597413,0.03,0.144,2.28308362858932e-14,"NNAT","ENSG00000053438",4826,FALSE,""
"21",2.92864123958891e-29,0.384924368616554,0.964,0.911,7.65224669492186e-25,"FDFT1","ENSG00000284967",2222,FALSE,""
"22",3.01970398705233e-26,-0.383159593807195,0.027,0.175,7.89018454776903e-22,"ADGRL4","ENSG00000162618",64123,FALSE,""
"23",5.84523620297775e-23,-0.380736645524554,0.834,0.928,1.52730176747606e-18,"CCND2","ENSG00000118971",894,FALSE,""
"24",9.1106524664401e-16,-0.377646009839254,0.959,0.979,2.38052238295613e-11,"PEG10","ENSG00000242265",23089,FALSE,""
"25",4.7004869222448e-06,-0.375316404243328,0.519,0.587,0.122819022791334,"HES1","ENSG00000114315",3280,FALSE,""
"26",3.74493068809487e-26,0.37508829948034,0.959,0.873,9.78512939492307e-22,"LINC00461","ENSG00000245526",645323,FALSE,""
"27",4.61175918957012e-30,0.373448770181211,0.51,0.289,1.20500655864278e-25,"SMOC1","ENSG00000198732",64093,FALSE,""
"28",2.27546777394539e-25,0.355347420642929,0.786,0.633,5.9455697465419e-21,"AUTS2","ENSG00000158321",26053,FALSE,""
"29",7.51612610425843e-40,-0.349305951489422,0.322,0.624,1.96388858978169e-35,"POU3F4","ENSG00000196767",5456,FALSE,""
"30",3.18052903634102e-15,0.348626686754729,0.713,0.559,8.31040431905546e-11,"HES5","ENSG00000273529",388585,FALSE,""
"31",1.94584440497589e-16,0.342884371598311,0.926,0.854,5.08429684576149e-12,"HMGCS1","ENSG00000112972",3157,FALSE,""
"32",3.03833259390574e-14,0.341907274589707,0.761,0.648,7.93885923461631e-10,"NR2F2","ENSG00000185551",7026,FALSE,""
"33",1.90312408263864e-13,-0.340077740385055,0.201,0.337,4.9726729155265e-09,"CCDC80","ENSG00000091986",151887,FALSE,""
"34",1.15815848453459e-07,0.339022498913652,0.124,0.06,0.00302615230424043,"C1orf61",NA,NA,FALSE,""
