UniqueCount	AmbigCount
0	5
0	0
2	496
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	45
0	11
0	5
0	12
0	8
0	19
70	21
12	136
1	12
0	22
62	41
0	32
11	182
24	29
0	6
7	42
0	2
0	5
0	0
12	561
0	815
0	841
0	785
0	612
0	349
33	80
0	1
0	227
0	0
0	0
0	0
0	0
0	1
0	1
0	15
4	41
9	39
0	14
0	11
10	3
0	144
0	95
0	106
1	86
0	54
1	50
1	27
0	61
0	52
6	22
0	27
0	13
6	24
3	47
1	74
0	31
0	1
0	3
0	13
19	155
0	1
0	1
0	14
0	7
0	34
3	11
0	14
0	5
0	42
0	15
0	0
0	7
0	24
0	13
0	11
0	0
0	0
13	3432
653	4612
18	13338
0	27
8	4852
4	108
2832	8561
11	8084
0	1
0	3
0	12
84	961
0	25
0	1
0	5
0	20
0	15
0	15
0	16
0	15
0	36
0	36
0	15
0	15
0	24
0	15
0	15
0	15
0	16
0	33
0	34
8	12
0	0
0	0
0	1
0	0
2	0
0	2
0	0
0	1
0	0
0	0
0	0
0	3
0	14
0	7
3	7
0	20
1	13
0	9
1	1
3	10
1	22
73	539
8	173
0	669
1	20
5	534
0	70
0	534
0	131
0	296
0	19
0	51
0	43
2	83
2	399
0	406
0	10
0	72
3	397
0	38
0	348
0	41
0	22
0	136
0	37
0	40
33	16
1	3
6	3
1	29
0	12
0	22
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	188
0	188
0	0
0	188
0	0
0	0
0	0
0	0
0	0
0	188
0	1
0	0
0	0
0	0
0	0
185	3037
31	936
50	2945
2	0
17	491
145	40
4	15
0	15
0	0
0	4
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	6
0	6
2	5
0	5
1	1030
0	749
258	1028
1	17
7	0
0	327
0	319
0	315
0	323
0	1
0	6
0	0
0	0
0	7
12	219
0	20
0	10
0	8
0	8
0	0
0	2
0	6
0	0
0	0
1	400
3	392
2	428
0	413
41	288
0	396
16	379
1	52
2	264
0	170
0	99
0	98
0	52
4	40
0	39
0	31
0	9
5	11
2	4
6	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
1	110
0	110
0	110
0	110
5	45
0	39
0	38
0	23
289	0
0	0
0	0
0	0
0	0
0	0
7	0
0	155
0	159
0	156
0	91
0	77
0	52
0	49
15	16
0	33
0	26
0	6
0	8
0	9
0	8
5	9
2	0
0	3
1	3
3	4
1	1
0	0
1	0
1	56
0	34
0	57
0	57
0	5
0	52
0	0
1	11
11	54
0	58
0	40
0	7
0	0
0	1
0	1
0	0
1	1
0	1
8	5
0	5
0	0
0	0
12	66
2	13
1	6
0	22
1	45
1	2070
0	3394
0	3396
0	2469
1	1642
1	930
1	2932
0	3467
0	2472
24	2151
25	1738
3	2365
0	3367
2	2517
0	2173
0	2471
0	2783
0	761
0	430
0	449
0	2023
0	465
0	625
0	469
3	251
0	412
0	794
0	47
2	187
7	1034
0	585
0	532
0	823
1	814
0	805
0	30
2	13
0	391
0	649
0	616
34	370
0	437
0	415
0	284
0	252
0	257
2	229
0	88
0	38
0	5
0	0
8	0
1	16
68	17
0	2
2	0
0	57
0	57
0	54
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	1292
98	1285
0	1285
3	1277
9	182
2	11
0	0
0	1672
2	1703
3	1529
49	1197
33	2705
1	1916
0	1355
4	1901
0	2214
1	650
0	698
0	224
1	153
6	185
6	159
0	454
38	21
0	109
0	9
0	29
0	932
6	887
4	886
0	936
0	37
0	35
0	846
24	837
0	314
446	1463
0	1057
55	1242
45	153
78	417
0	142
0	8
8	73
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	2
0	1
1	2
0	2
1	0
0	6
33	6
0	0
7	35
0	4
0	0
0	206
0	163
10	207
6	20
10	161
36	133
2	0
0	0
0	178
1	144
0	178
0	153
0	176
0	5
0	10
0	50
1	3
0	3
1	0
305	1655
39	1356
1	341
287	113
0	11
6	13
0	0
111	0
1	0
15	0
0	17
0	15
0	17
0	17
0	15
0	17
0	17
6	36
0	5
0	15
0	3
0	13
0	36
0	7
0	5
0	16
0	10
0	1
0	13
0	8
0	1
0	0
0	10
1	1
0	0
0	0
0	2
0	2
0	1
0	5
0	4
0	4
0	0
0	15
0	5
0	15
0	14
0	10
0	10
0	10
0	9
1	9
3	1436
3	1434
0	1300
0	1238
0	1171
1	903
1	903
0	903
0	744
0	61
7	315
3	3137
0	3049
13	1058
31	262
41	18
0	2
0	14
39	1207
0	1030
1	121
0	563
0	943
0	953
0	1045
0	1104
0	1097
0	1065
14	41
4	50
0	27
0	7
0	109
0	15
0	37
6	104
2	120
31	474
31	140
10	96
65	89
127	980
1	1
145	191
3	1
0	5
18	340
11	55
6	269
0	185
0	447
0	447
0	442
2	154
0	12
1	57
1	22
0	16
1	36
0	18
0	12
0	21
4	17
1	6
0	6
0	1
0	0
0	1889
0	1814
0	1919
18	145
25	336
0	147
0	158
0	61
1	16
0	26
2	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	2
0	0
0	0
1	8
0	2
0	0
1	33
1	0
3	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	23
0	0
0	0
0	0
0	0
0	0
0	0
2	111
0	3
0	1
0	2
0	2
0	1
0	108
1	2
0	65
0	2
0	4
0	2
0	4
0	2
0	7
0	5
0	3
3	1
0	1
0	5
0	0
0	106
1	6
0	51
0	90
0	0
8	3
2	3
1	1
0	135
6	136
1	198
1	211
0	92
48	99
0	76
0	134
0	148
17	151
0	123
1	66
2	99
0	1
9	0
1	0
70	1
0	0
0	0
0	1
1	3
17	11
3	87
2	74
6	71
0	8
73	45
0	18
48	36
0	42
15	7
0	5
0	0
0	0
35	1
0	0
4	0
3	1630
0	379
0	2105
1	797
4	53
6	1562
0	552
42	1082
1	299
0	367
0	374
0	190
0	168
0	26
0	10
0	6
0	6
0	2
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
2	0
17	1069
0	986
3	711
0	130
1	35
4	20
0	12
0	113
0	172
31	64
3	4
2	30
0	0
0	5
0	5
0	2
0	0
1	0
0	0
1	2
0	0
0	0
