"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061564","GO:0061564","axon development","300/6555","472/15013",8.28595431090166e-19,4.96660101395445e-15,3.98161909781748e-15,"NRP1/UNC5B/ZSWIM5/SEMA3G/SHC1/CNR1/FN1/JAM3/RET/NFIB/RHOG/ROBO2/MAPT/KIF5A/DRGX/MAP6/RUFY3/RAB3A/ATP8A2/EFNA1/SEMA6D/NFASC/CERS2/GDI1/PAK3/DCLK1/ATL1/GAP43/SCARF1/KIF5C/GATA3/RTN4RL1/POU4F1/EFNB2/APOD/L1CAM/SEMA4D/NCAM1/NRXN1/GRB2/NRP2/DOK5/MAP1A/GDF7/PLXND1/EPHA6/PTPRO/CRMP1/DCC/CDK5R1/EPHA5/ROBO4/SHANK3/LHX9/FLRT2/ZFYVE27/VCL/EPHA2/CHRNB2/NREP/NEFH/SEMA6A/PRKCQ/GRN/VASH2/POU4F2/VAX1/NEFL/FGF13/SH3KBP1/EPHB4/EFNA4/SLITRK6/USP33/LRRC4C/WNT5A/SEMA4G/EPHA8/KLF7/DRAXIN/RHOA/DPYSL2/RNF165/EVL/CTNNA2/UNC5A/LAMB2/CTNNA1/B3GNT2/LHX1/NUMB/NTNG2/NIBAN2/KLF4/APBB1/ROBO1/MYCBP2/ANK3/TRPV2/ISLR2/NEXN/RND2/NRCAM/SLITRK4/SPART/SIPA1L1/CCK/HDAC6/TRIM46/SPTBN4/CDK5/SPTBN1/GDNF/ISL1/SLITRK1/GBX2/NPTN/DISC1/UNC5D/TSPO/LRTM2/STXBP1/SLIT1/GPC1/SLIT2/CRABP2/SLIT3/RYK/SEMA3F/NTRK1/RAB8A/FKBP1B/SVBP/NOTCH1/PPP3CB/MAP2/EPHA10/RAB11A/OLFM1/INPP5F/SPTBN2/EPHB2/BRSK1/RANBP9/UST/TIAM2/TUBB3/LHX4/STMN1/TTL/SHOX2/DPYSL5/MAP2K1/TUBB2B/LRP1/TRAK2/RTN4RL2/CTTN/CYFIP1/FLRT3/RTN4/MAP1B/GFRA1/AMIGO1/PTPRS/FOXB1/CNTN2/TSPAN2/ADGRB1/NCAM2/DSCAM/SEMA4F/NIN/SRF/METRN/POU4F3/RHOH/PTK2/BRSK2/BCL2/ADARB1/C12orf57/PTPRM/RAP1GAP/MAPK3/SPP1/PAX2/NGF/RAC1/DRD2/SLC9A6/NOTCH2/LINGO1/SLITRK5/SLITRK3/SYNGAP1/SEMA4A/VASP/SEMA3C/SPTA1/SEMA5B/LIMK1/PHOX2B/CAMSAP2/TIAM1/SEMA4B/ULK2/NRXN3/PTCH1/NOTCH3/LAMA5/CDH11/DOK6/YTHDF1/NGFR/DOK4/PLXNA1/RAC2/FEZ2/NKX6-1/EPHA4/NTRK2/NUMBL/EZR/CHN1/EPHA3/CHODL/SKIL/FZD3/TMEFF1/PLPPR4/POU3F2/CDKL5/GFRA2/VSTM2L/TNN/FLOT1/ARHGDIA/HSP90AA1/S100A6/NLGN3/PLXNA3/B4GALT6/OPHN1/GAB1/DOK1/PARD3/LRIG2/THY1/DDR1/C9orf72/SPAST/IGSF9/FYN/CDKL3/BMP7/DAB1/MAP3K13/LMX1A/LAMA3/ALCAM/TNC/FGFR2/KIAA0319/FSTL4/CXCR4/EFNA5/EFNB3/NTNG1/SEMA3D/ZSWIM6/PLXNB1/SMO/EPHB1/PLXNB3/B4GALT5/SEMA6B/AUTS2/SEMA3B/TWF2/SEMA6C/TRPC5/APOE/RGMA/ITGA4/FOXG1/DLX5/RPL24/EFNA2/SCN1B/ULK1/FEZ1/SEMA7A/SEMA4C/KREMEN1/GOLGA4/GLI3/ZSWIM4/FLNA/DVL1",300
"GO:0007409","GO:0007409","axonogenesis","275/6555","431/15013",1.1515047962144e-17,3.45105987425456e-14,2.76664178669408e-14,"NRP1/UNC5B/ZSWIM5/SEMA3G/SHC1/FN1/RET/NFIB/RHOG/ROBO2/MAPT/KIF5A/DRGX/MAP6/RUFY3/RAB3A/ATP8A2/EFNA1/SEMA6D/NFASC/GDI1/PAK3/DCLK1/ATL1/GAP43/KIF5C/GATA3/POU4F1/EFNB2/L1CAM/SEMA4D/NCAM1/NRXN1/GRB2/NRP2/DOK5/MAP1A/GDF7/PLXND1/EPHA6/PTPRO/CRMP1/DCC/CDK5R1/EPHA5/ROBO4/SHANK3/LHX9/FLRT2/ZFYVE27/VCL/EPHA2/CHRNB2/NEFH/SEMA6A/PRKCQ/POU4F2/VAX1/NEFL/FGF13/SH3KBP1/EPHB4/EFNA4/SLITRK6/USP33/LRRC4C/WNT5A/SEMA4G/EPHA8/KLF7/DRAXIN/RHOA/DPYSL2/RNF165/EVL/CTNNA2/UNC5A/LAMB2/B3GNT2/LHX1/NUMB/NTNG2/NIBAN2/APBB1/ROBO1/MYCBP2/ANK3/TRPV2/ISLR2/NEXN/RND2/NRCAM/SLITRK4/SPART/SIPA1L1/CCK/HDAC6/TRIM46/SPTBN4/CDK5/SPTBN1/GDNF/ISL1/SLITRK1/GBX2/NPTN/DISC1/UNC5D/LRTM2/STXBP1/SLIT1/GPC1/SLIT2/CRABP2/SLIT3/RYK/SEMA3F/NTRK1/RAB8A/NOTCH1/PPP3CB/MAP2/EPHA10/RAB11A/OLFM1/SPTBN2/EPHB2/BRSK1/RANBP9/UST/TIAM2/TUBB3/LHX4/STMN1/TTL/SHOX2/DPYSL5/MAP2K1/TUBB2B/LRP1/TRAK2/CTTN/CYFIP1/FLRT3/RTN4/MAP1B/GFRA1/AMIGO1/PTPRS/FOXB1/CNTN2/ADGRB1/DSCAM/SEMA4F/NIN/SRF/METRN/POU4F3/RHOH/PTK2/BRSK2/BCL2/ADARB1/C12orf57/PTPRM/RAP1GAP/MAPK3/SPP1/PAX2/NGF/RAC1/DRD2/SLC9A6/NOTCH2/LINGO1/SLITRK5/SLITRK3/SYNGAP1/SEMA4A/VASP/SEMA3C/SPTA1/SEMA5B/LIMK1/PHOX2B/TIAM1/SEMA4B/ULK2/NRXN3/PTCH1/NOTCH3/LAMA5/CDH11/DOK6/YTHDF1/NGFR/DOK4/PLXNA1/RAC2/FEZ2/NKX6-1/EPHA4/NTRK2/NUMBL/EZR/CHN1/EPHA3/CHODL/SKIL/FZD3/TMEFF1/PLPPR4/POU3F2/CDKL5/GFRA2/VSTM2L/TNN/FLOT1/ARHGDIA/HSP90AA1/S100A6/NLGN3/PLXNA3/B4GALT6/OPHN1/GAB1/DOK1/PARD3/THY1/C9orf72/SPAST/IGSF9/FYN/CDKL3/BMP7/DAB1/MAP3K13/LMX1A/LAMA3/ALCAM/FGFR2/KIAA0319/FSTL4/CXCR4/EFNA5/EFNB3/NTNG1/SEMA3D/ZSWIM6/PLXNB1/SMO/EPHB1/PLXNB3/B4GALT5/SEMA6B/AUTS2/SEMA3B/TWF2/SEMA6C/TRPC5/APOE/ITGA4/FOXG1/DLX5/RPL24/EFNA2/SCN1B/ULK1/FEZ1/SEMA7A/SEMA4C/GOLGA4/GLI3/ZSWIM4/DVL1",275
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","241/6555","373/15013",1.37572127589397e-16,2.74869110923615e-13,2.20356758752841e-13,"SNCAIP/MEF2C/CNR1/SNCG/NSG1/SNAP25/FGF14/MAPT/P2RX3/RAB3A/SYT1/STX1A/CNTNAP4/GRIK1/SYT7/RIMS3/NRXN1/MAPK8IP2/ITPR3/MAP1A/UNC13A/SEPTIN5/GRM2/DCC/CACNG4/KIT/SLC4A8/CHRNB4/SHANK3/CALB1/PLCB4/ABR/CPEB3/ERC2/CHRNB2/RASGRF1/ASIC1/PTPRD/SYN3/PLK2/RIMS4/STX1B/CLSTN3/TMEM25/SLC4A10/CACNG3/CHRNA3/MPP2/SORCS2/ABHD6/SYT11/P2RY1/PRRT2/STX4/LRRC4C/ITGB1/CACNA1B/NLGN4Y/GRIK2/SHISA7/CPLX2/CPLX1/CLSTN2/PREPL/SYT4/RAB26/GRIK5/RIMS1/EDN1/ATAD1/CACNB3/LRRC4/APBA1/NTNG2/SYP/CELF4/RIMS2/GRIK3/RNF19A/SRGN/AKAP12/SIPA1L1/NLGN1/SH3GL1/CDK5/CHRNA5/GRIA1/STAR/SLC24A1/NRG3/NPTXR/PLCL1/NPTN/DISC1/SORCS3/CAMK2B/DGKI/NMU/JPH4/PPFIA2/STXBP1/BACE1/CACNG2/NTRK1/RAB8A/RAPGEF2/BCHE/SYNGR1/PPP3CB/PLCB1/PRKCZ/LZTS1/RAB11A/SLC8A3/RAP1B/EPHB2/BRSK1/NCS1/JPH3/GRIN2A/LRP8/SLC8A2/KCNB1/DGKB/VAMP2/CNIH2/SHANK2/SERPINE2/MECP2/TUBB2B/ZDHHC12/CYFIP1/MAP1B/STX3/PCDH17/KMO/FAM107A/PTPRS/ACHE/CALM3/CACNG7/ADGRB1/CSPG5/AKAP9/SRF/NPTX2/ARRB2/GIT1/CRTC1/SYT12/SYN1/NCDN/DGKZ/GRM4/PRKAR2B/CAMK2A/ADRA2A/DLG4/USP46/AKAP5/NGF/DRD2/GRIN3A/RASGRF2/IL1B/NEUROD2/RPL22/SYNGAP1/ADORA2A/RAP1A/GRIN1/PPP3CA/BEGAIN/CDH11/YTHDF1/PTK2B/ERC1/CACNA1A/PRKCG/CX3CR1/MME/SCGN/EPHA4/NTRK2/LRRK2/TSHZ3/SLC30A1/YWHAG/SLC7A11/GNAI2/CACNB2/NLGN4X/HRH1/CBLN1/GRID1/FLOT1/CUX2/STXBP5L/NLGN3/BTBD9/ARC/ADCYAP1/CCL2/FABP5/OPHN1/CLN3/DLGAP2/SLC24A2/RHOT1/FYN/NTF3/CPLX3/BCR/VGF/NLGN2/NTNG1/NEURL1/TMEM108/ZDHHC2/DLGAP3/LRFN2/APOE/DLGAP1/CDC20/CACNG5/RAB5A/RAPSN/CRHR2/STXBP5/CYP46A1/RGS4/DMPK/KRAS/PICK1/CALB2/NPY2R/CD38/ADRA1A/DVL1/GRM7/GRIN2D",241
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","240/6555","372/15013",2.06689520044428e-16,3.09724245786576e-13,2.48299383948109e-13,"SNCAIP/MEF2C/CNR1/SNCG/NSG1/SNAP25/FGF14/MAPT/P2RX3/RAB3A/SYT1/STX1A/CNTNAP4/GRIK1/SYT7/RIMS3/NRXN1/MAPK8IP2/ITPR3/MAP1A/UNC13A/SEPTIN5/GRM2/DCC/CACNG4/KIT/SLC4A8/CHRNB4/SHANK3/CALB1/PLCB4/ABR/CPEB3/ERC2/CHRNB2/RASGRF1/ASIC1/PTPRD/SYN3/PLK2/RIMS4/STX1B/CLSTN3/TMEM25/SLC4A10/CACNG3/CHRNA3/MPP2/SORCS2/ABHD6/SYT11/P2RY1/PRRT2/STX4/LRRC4C/ITGB1/CACNA1B/NLGN4Y/GRIK2/SHISA7/CPLX2/CPLX1/CLSTN2/PREPL/SYT4/RAB26/GRIK5/RIMS1/EDN1/ATAD1/CACNB3/LRRC4/APBA1/NTNG2/SYP/CELF4/RIMS2/GRIK3/RNF19A/SRGN/AKAP12/SIPA1L1/NLGN1/SH3GL1/CDK5/CHRNA5/GRIA1/STAR/SLC24A1/NRG3/NPTXR/PLCL1/NPTN/DISC1/SORCS3/CAMK2B/DGKI/NMU/JPH4/PPFIA2/STXBP1/BACE1/CACNG2/NTRK1/RAB8A/RAPGEF2/BCHE/SYNGR1/PPP3CB/PLCB1/PRKCZ/LZTS1/RAB11A/SLC8A3/RAP1B/EPHB2/BRSK1/NCS1/JPH3/GRIN2A/LRP8/SLC8A2/KCNB1/DGKB/VAMP2/CNIH2/SHANK2/SERPINE2/MECP2/TUBB2B/ZDHHC12/CYFIP1/MAP1B/STX3/PCDH17/KMO/FAM107A/PTPRS/ACHE/CALM3/CACNG7/ADGRB1/CSPG5/AKAP9/SRF/NPTX2/ARRB2/GIT1/CRTC1/SYT12/SYN1/NCDN/DGKZ/GRM4/PRKAR2B/CAMK2A/ADRA2A/DLG4/USP46/AKAP5/NGF/DRD2/GRIN3A/RASGRF2/IL1B/NEUROD2/RPL22/SYNGAP1/ADORA2A/RAP1A/GRIN1/PPP3CA/BEGAIN/CDH11/YTHDF1/PTK2B/ERC1/CACNA1A/PRKCG/CX3CR1/MME/SCGN/EPHA4/NTRK2/LRRK2/TSHZ3/SLC30A1/YWHAG/SLC7A11/GNAI2/CACNB2/NLGN4X/HRH1/CBLN1/GRID1/FLOT1/CUX2/STXBP5L/NLGN3/BTBD9/ARC/ADCYAP1/CCL2/OPHN1/CLN3/DLGAP2/SLC24A2/RHOT1/FYN/NTF3/CPLX3/BCR/VGF/NLGN2/NTNG1/NEURL1/TMEM108/ZDHHC2/DLGAP3/LRFN2/APOE/DLGAP1/CDC20/CACNG5/RAB5A/RAPSN/CRHR2/STXBP5/CYP46A1/RGS4/DMPK/KRAS/PICK1/CALB2/NPY2R/CD38/ADRA1A/DVL1/GRM7/GRIN2D",240
"GO:0010975","GO:0010975","regulation of neuron projection development","258/6555","408/15013",6.1099296298092e-16,7.32458364021526e-13,5.87196394949031e-13,"NRP1/SEMA3G/CNR1/FN1/RET/SNAP25/ROBO2/MAPT/NDRG4/B2M/MAP6/RUFY3/ATP8A2/EFNA1/SEMA6D/PTPRG/CERS2/GDI1/NEDD4L/PAK3/CIB1/SCARF1/SRCIN1/GATA3/KIDINS220/RTN4RL1/EFNB2/L1CAM/SEMA4D/SERPINI1/ABL2/VIM/PLXND1/ADGRB3/MINAR1/PTPRO/CRMP1/DCC/FES/CDK5R1/CNTN1/CFLAR/STMN2/SHANK3/SETX/ZFYVE27/PDLIM5/CHRNB2/SEMA6A/MBOAT1/GRN/PTPRD/NTRK3/STX1B/POU4F2/CHRNA3/NEFL/FGF13/NEGR1/LRRC4C/HECW1/WNT5A/SEMA4G/DRAXIN/RHOA/INPP5J/CTNNA2/ZNF804A/NDNF/NTNG2/KLF4/ROBO1/TRPV2/RAPGEF1/DNM3/ISLR2/RND2/SPART/CARM1/SIPA1L1/NLGN1/TRIM46/CDK5/SLITRK1/GPC2/SNX3/NPTN/DISC1/FUT9/CAMK2B/NCK1/PPFIA2/CCDC88A/SLIT2/CRABP2/ANKRD1/KIF1A/RYK/SEMA3F/NTRK1/FKBP1B/RAPGEF2/PRRX1/MAP2/LZTS1/RAB11A/INPP5F/GPRASP2/IQGAP1/EPHB2/BRSK1/ARHGAP33/UST/TIAM2/NCS1/TRPV4/LRP8/SHOX2/MAP2K1/LRP1/TRAK2/RTN4RL2/CYFIP1/RTN4/MAP1B/HSPA5/AMIGO1/PTPRS/PLPPR5/ITGA6/TRIM67/ARHGAP44/DSCAM/SEMA4F/NEDD4/NIN/SRF/METRN/ARMCX5-GPRASP2/SFRP1/BRSK2/HECW2/CRTC1/LPAR1/TOX/PREX1/DPYSL3/MFSD2A/ACAP3/LYN/PRKCI/PRAG1/SPP1/CAMK1D/OBSL1/NGF/RAB29/TNIK/LINGO1/MARK1/KNDC1/SYNGAP1/SEMA4A/SEMA3C/SEMA5B/LIMK1/RAP1A/CAMSAP2/TIAM1/SEMA4B/ADAM10/PPP3CA/PPP2R5B/PQBP1/ALK/SCARB2/NGFR/PTK2B/PLXNA1/PARP6/MAGI2/EPHA4/NTRK2/LRRK2/CHN1/EPHA3/CHODL/P3H1/LZTS3/SKIL/LGALS1/BMP5/FKBP4/SARM1/POU3F2/EP300/CDKL5/FBXO31/DHX36/RGS2/ARHGDIA/CUX2/ARC/ADCYAP1/PLXNA3/KDM1A/ADCY6/RIT2/LRIG2/GFI1/ZDHHC15/PLK5/ITGA3/THY1/RAP2A/FYN/CDKL3/BMP7/DAB1/MAP3K13/CBFA2T2/KIAA0319/FSTL4/EFNB3/NTNG1/NME2/SEMA3D/PLXNB1/TANC2/ITM2C/PLXNB3/SEMA6B/CFL1/ATP1B2/SEMA3B/CAMK1/TWF2/SEMA6C/TRPC5/APOE/RGMA/CDC20/MDK/PTK7/ZNF365/SCN1B/FEZ1/FBXW8/SEMA7A/SEMA4C/KREMEN1/GOLGA4/ULK4/CD38/ALKAL2/FLNA/DVL1/SERPINF1",258
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","83/6555","101/15013",1.59962564005532e-15,1.59802601441526e-12,1.28110369243027e-12,"TRAM1L1/TRAM2/RPL23/RPS19/SSR3/RPL30/BHLHE40-AS1/RPLP2/SNAP25-AS1/RPS27/RPS23/RPS3/RPS20/RPS27A/RPLP1/RPS16/RPL31/RPL7/RPL17/RPS12/RPL37/RPS6/RPL27A/SEC61A2/RPL14/UBA52/RPS15A/RPL28/RPS21/RPL37A/RPL26/TRAM1/RPS4X/RPS17/SEC61A1/RPL36/RPLP0/RPS7/RPL12/RPL10A/RPL34/RPL11/RPL5/RPS18/RPL21/RPL23A/RPL10/RPS14/RPL15/RPL8/RPL36A/RPS8/RPS10/RPS13/RPL32/RPL4/RPL3/RPL22/RPL19/RPL13A/RPS3A/RPL9/RPSA/RPL7A/RPS15/RPL27/RPL41/RPL18/RPS25/RPL18A/RPL35/RPL35A/RPS29/RPS11/RPS28/RPL6/SEC61B/RPS9/SRP9/RPL29/RPL39/GJD2-DT/RPL24",83
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","86/6555","106/15013",2.21470910930375e-15,1.89642377159524e-12,1.52032286977017e-12,"TRAM1L1/TRAM2/RPL23/RPS19/SSR3/RPL30/SIL1/BHLHE40-AS1/RPLP2/SNAP25-AS1/RPS27/RPS23/RPS3/RPS20/RPS27A/RPLP1/RPS16/RPL31/RPL7/RPL17/RPS12/RPL37/RPS6/RPL27A/SEC61A2/RPL14/UBA52/RPS15A/RPL28/RPS21/RPL37A/SSR2/RPL26/TRAM1/RPS4X/RPS17/SEC61A1/RPL36/RPLP0/RPS7/RPL12/RPL10A/RPL34/RPL11/RPL5/RPS18/RPL21/RPL23A/RPL10/SSR1/RPS14/RPL15/RPL8/RPL36A/RPS8/RPS10/RPS13/RPL32/RPL4/RPL3/RPL22/RPL19/RPL13A/RPS3A/RPL9/RPSA/RPL7A/RPS15/RPL27/RPL41/RPL18/RPS25/RPL18A/RPL35/RPL35A/RPS29/RPS11/RPS28/RPL6/SEC61B/RPS9/SRP9/RPL29/RPL39/GJD2-DT/RPL24",86
"GO:0001525","GO:0001525","angiogenesis","279/6555","461/15013",1.13785849458152e-13,8.52540477065205e-11,6.83463687863769e-11,"NRP1/BMP4/UNC5B/FLT1/ELK3/CD34/SHC1/ETS1/PTPRB/FN1/RHOJ/TEK/SCG2/TJP1/JAM3/MMRN2/KDR/ECM1/HMOX1/CALCRL/TGFBR2/COL4A1/TAL1/TIE1/EFNA1/APLNR/ECSCR/PRCP/FMNL3/CIB1/CAV1/HSPG2/S1PR1/CDH5/RAPGEF3/RASIP1/HHEX/JCAD/CALD1/ADGRG1/EFNB2/COL4A2/APOD/CD40/NRP2/STAB1/ENPP2/APLN/GPR4/PLXND1/ADGRB3/MINAR1/FLT4/LOXL2/THSD7A/ANXA2/MMP14/ANXA3/ADM/ITGA5/ROBO4/MMP2/EPAS1/B4GALT1/ARHGAP22/SPARC/RAMP2/AGO1/ADAM15/EGFL7/EPHA2/SEMA6A/PIK3R3/NPR1/HSPB1/SPINK5/CASP8/GRN/ACVRL1/PLK2/WASF2/CLDN5/VASH2/SP100/TGFB2/TGFBR3/SASH1/EPHB4/ITGB1/ADAMTS9/WNT5A/HPSE/GATA2/MYH9/PTGS2/MCAM/RHOA/MAPK14/ENG/HDAC7/EGF/NDNF/TSPAN12/EDN1/CEACAM1/WARS1/SOX17/PF4/MAP2K5/ITGAV/NIBAN2/FGF18/HMGA2/KLF4/JAK1/ROBO1/NRCAM/GATA6/PARVA/ANPEP/ANXA1/ISM1/ISL1/GBX2/RRAS/CCN2/MAP3K3/C1GALT1/VAV2/TGFBI/NOTCH4/PPP1R16B/SARS1/ACKR3/STARD13/TNFAIP3/HDAC9/NOS3/SLIT2/RNF213/NOTCH1/ATP2B4/HIF3A/CLIC4/PRKD2/RECK/THBS1/EPHB2/RHOB/KLF2/ARHGAP24/TNFAIP2/SOX18/SERPINE1/LRG1/AIMP1/MECP2/ADGRB2/TMEM100/HIF1A/COL15A1/CCN1/ATP5IF1/GJA5/ANGPTL4/ADGRB1/ADAMTS1/RAMP1/NRARP/CXCL10/VAV3/CDH13/PIK3CG/TNFSF12/SRF/SFRP1/PTK2/HOXB3/ANG/FGF2/PTPRM/CYP1B1/SPRY2/STIM1/CREB3L1/PIK3C2A/ZC3H12A/NOTCH2/CLEC14A/IL1B/CHI3L1/SEMA4A/SP1/SMAD1/PDE3B/AQP1/C3AR1/HK2/ATP5F1B/POFUT1/PML/ACVR1/NGFR/PTK2B/CX3CR1/AMOTL1/NAXE/GPLD1/ADGRA2/SH2D2A/NPPB/PDGFRB/CARD10/JAG1/PPARG/PLXDC1/UBP1/RUNX1/CCBE1/TBX20/MFGE8/ERAP1/CCL2/HLA-G/TWIST1/GAB1/YJEFN3/FOXC2/STAT1/COL18A1/FKBPL/SULF1/THY1/ESM1/SPHK1/ROCK2/GLUL/FUT1/ITGB2/FGFR2/EGLN1/RORA/GPX1/CXCR4/IL6/PROK1/EMP2/PGK1/GREM1/PIK3R6/EPHB1/PDPK1/COL8A1/ANGPTL6/FOXJ2/ANGPT2/SRPK2/RAMP3/TLR3/C5/ADAM8/DLL4/MDK/PGF/THBS4/EPGN/IL12A/ANGPT4/JUN/HTATIP2/ITGB8/CTSH/SRPX2/CNMD/E2F7/FLNA/EGR3/SERPINF1/ADAM12",279
"GO:0034329","GO:0034329","cell junction assembly","243/6555","393/15013",1.7012243523004e-13,1.13301541863206e-10,9.08314522602492e-11,"NRP1/LIMCH1/THSD1/CD9/MEF2C/FN1/LGI2/CLASP2/TEK/TJP1/JAM3/KDR/ESAM/ROBO2/F11R/PECAM1/RHOC/GJA4/MDGA1/GAP43/FBLIM1/CAV1/CDH5/POU4F1/DMTN/EFNB2/PPM1F/LAMC1/APOD/SEMA4D/NRXN1/ILK/CLDN7/LIMS1/PLXND1/ADGRB3/PTPRO/GPM6A/DNER/PEAK1/MMP14/TLN1/RAB13/ITGA5/SHANK3/FLRT2/RAMP2/ADD2/PDLIM5/VCL/EPHA2/CHRNB2/ACVRL1/PTPRD/CLSTN3/CLDN5/MARVELD3/FGF13/SLITRK6/EPB41L3/WNT5A/NLGN4Y/CTNND2/RHOA/LHFPL4/CLSTN2/TRIP6/DST/CTNNA1/LRRC4/SPOCK2/NTNG2/SDC4/NRXN2/SNCA/RAPGEF1/DNM3/CNTN5/NRCAM/SLITRK4/ADGRL3/NLGN1/CDK5/SLITRK1/PKP4/APC/MARVELD2/PHLDB2/WDR1/CDH7/STRN/BSN/NPTN/SDK1/CDH12/DLC1/PALS1/IL1RAP/IKBKB/LRTM2/CORO1C/CDH22/SLIT1/RYK/NTRK1/ARHGEF7/RAPGEF2/GABRB3/LRRTM1/CDH18/THBS1/RAP1B/GPRASP2/SPTBN2/IQGAP1/EPHB2/MYO1C/LRRN3/OCLN/TRPV4/SHANK2/ASIC2/MPP7/MECP2/TLN2/LRP1/ZDHHC12/PRKCH/GPBAR1/CDH10/CTTN/PARD6A/FLRT3/SNAI1/MAP1B/PCDH17/NPHP1/AMIGO1/FAM107A/PTPRS/ACHE/LRFN5/ITGA6/KIRREL3/DLG1/GJA5/ADGRB1/SMAD3/PTPRK/CBFB/S100A10/DSCAM/PKN2/ACTN1/SRF/ARMCX5-GPRASP2/SFRP1/PTK2/CDH24/GPM6B/BCL2/GJA1/LRRN1/DLG5/PRKCI/COL17A1/ITGA2/SLK/DUSP22/OBSL1/PCLO/RAC1/RAB29/DRD2/TPBG/EIF4G1/IL1B/SLITRK5/SLITRK3/LRFN1/SEMA4A/VASP/CAMSAP3/RAP1A/ACE/ZNF703/CDH11/WHAMM/PTK2B/COL16A1/FRMPD2/NTRK2/RHOD/EPHA3/CDH9/WNT11/AGT/ADGRL2/NLGN4X/CBLN1/RUNX1/FLOT1/TBCD/CUX2/NLGN3/SLC9A1/FERMT2/OPHN1/PARD3/CLDN4/THY1/ROCK2/LAMA3/BCR/RCC2/GJC1/EFNA5/NLGN2/PLXNB1/GREM1/EPHB1/PDPK1/EPB41L5/SIX1/LRFN4/AJUBA/ACE2/GPC4/PKP2/GABRG2/CLDN9/CLDN15/GPC6/PCDHB5/PCDHB16/TESK2/ARHGAP6/SRPX2/PDCD6IP/CNTNAP1/FLNA/DVL1/AGRN",243
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","129/6555","184/15013",2.78240008055862e-13,1.66777060828684e-10,1.33701645976317e-10,"CNR1/SNCG/NSG1/SNAP25/FGF14/SNAP23/NAPB/RAB3A/SYT1/STX1A/DNAJC6/SYT7/SLC17A6/RIMS3/UNC13A/SEPTIN5/SLC17A7/SYNJ2/GRIP1/SNAP91/CDK5R1/SLC4A8/SV2A/GSG1L/SYT2/ERC2/SYN3/RIMS4/STX1B/SYT11/P2RY1/PRRT2/STX4/TRIM9/NLGN4Y/CADPS/PLD1/CPLX2/CPLX1/BTBD8/PREPL/GRIK5/RIMS1/ATAD1/APBA1/NUMB/SYP/SNCA/RIMS2/DNM3/SYT9/SLC32A1/NLGN1/GRIPAP1/SH3GL1/CDK5/CHRNA5/RAPGEF4/BSN/SYT5/PPFIA2/STXBP1/BACE1/RAB8A/CADPS2/PPP3CB/RAB11A/PLD2/DOC2B/SYT6/RAP1B/SH3GL2/BRSK1/AP3B1/NCS1/SLC18A1/VAMP2/CYFIP1/STX3/PCDH17/ITSN2/AMPH/HPCA/CALM3/DNM1/FCHO2/CSPG5/GIT1/BRSK2/SYT12/SYN1/SNPH/ADRA2A/USP46/PCLO/DRD2/GRIN3A/RAB27B/ADORA2A/MX2/RAP1A/SNCB/MX1/NAPA/PRKCG/LRRK2/DDC/CACNB2/NLGN4X/DNAJC5/STXBP5L/NLGN3/BTBD9/ARC/OPHN1/SYNJ1/DOC2A/CPLX3/NLGN2/RAB3B/RAB5A/STXBP5/UNC13B/SYN2/SLC2A4/CALY/STX11/ADRA1A/DVL1",129
