"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061564","GO:0061564","axon development","305/6884","472/15013",6.27393562060854e-17,3.76373397880306e-13,3.12508035333891e-13,"NRP1/UNC5B/SEMA3G/SHC1/ZSWIM5/CNR1/RET/JAM3/NFIB/FN1/RHOG/ROBO2/MAPT/MAP6/EFNA1/RAB3A/KIF5A/DRGX/ATP8A2/RUFY3/SEMA6D/PAK3/DCLK1/NFASC/GDI1/CERS2/ATL1/GAP43/KIF5C/GATA3/L1CAM/POU4F1/GRB2/NRXN1/SLITRK6/RTN4RL1/NCAM1/DOK5/CRMP1/CDK5R1/MAP1A/SCARF1/SEMA4D/EPHA6/DCC/PLXND1/EPHB4/PTPRO/EFNB2/ZFYVE27/EFNA4/CHRNB2/GDF7/SHANK3/FLRT2/NREP/LHX9/GRN/LAMB2/VCL/NEFL/USP33/NRP2/NEFH/EVL/KLF7/RHOA/VASH2/SEMA4G/FGF13/EPHA5/DPYSL2/POU4F2/APOD/ROBO1/PRKCQ/WNT5A/LRRC4C/SIPA1L1/DRAXIN/EPHA2/ROBO4/EPHA8/CTNNA1/RNF165/SEMA6A/VAX1/MYCBP2/ANK3/ISLR2/SPART/CTNNA2/B3GNT2/SLITRK4/APBB1/LHX1/NUMB/RHOH/NRCAM/INPP5F/SPTBN4/SLIT2/UNC5A/TRIM46/NEXN/GDNF/CDK5/RND2/KLF4/UST/TSPO/NTNG2/SH3KBP1/ISL1/NPTN/SPTBN2/SLITRK1/STXBP1/UNC5D/CYFIP1/RTN4/SLIT3/TRAK2/CCK/OLFM1/MAP2/PPP3CB/NIN/SLIT1/DISC1/SPTBN1/RAB8A/TRPV2/TIAM2/LHX4/SVBP/DPYSL5/HDAC6/CRABP2/SHOX2/RAB11A/GBX2/RYK/NOTCH2/GPC1/LRTM2/NTRK1/SEMA3F/MAPK3/TNC/LRP1/CNTN2/DSCAM/METRN/NIBAN2/MAP1B/EPHB2/FKBP1B/PTPRM/STMN1/DRD2/NGF/TSPAN2/NOTCH1/RTN4RL2/FLRT3/CAMSAP2/GFRA1/EPHA10/SKIL/RANBP9/SEMA4F/ULK2/BRSK1/NGFR/CHN1/BRSK2/PTPRS/TUBB3/TUBB2B/SPTA1/AMIGO1/RAC2/SLITRK5/PHOX2B/NCAM2/LIMK1/SEMA5B/SRF/ADARB1/C12orf57/CTTN/EZR/SLC9A6/SPAST/PTK2/NRXN3/VASP/LMX1A/SEMA4B/DOK1/DOK6/LINGO1/CDH11/FOXB1/PAX2/LAMA5/POU4F3/TTL/NUMBL/NOTCH3/ADGRB1/DLX5/OPHN1/SLITRK3/BCL2/MAP2K1/NTRK2/S100A6/SEMA4A/PARD3/EPHA3/NKX6-1/SEMA3C/EPHA4/POU3F2/GSK3B/C9orf72/DAB1/SEMA3B/TMEFF1/RAC1/VLDLR/ARHGDIA/NLGN3/MCF2/PLPPR4/AFG3L2/BMPR1B/PLXNA3/FLOT1/FZD3/CDKL3/IGSF9/RAP1GAP/HSP90AA1/GFRA2/PLXNA1/SCN1B/THY1/EPHB1/SEMA6B/PTCH1/FYN/GRB7/RPL24/CHODL/SEMA6C/VSTM2L/GOLGA4/VAX2/EFNB3/PLXNB1/DDR1/FEZ2/CDKL5/TIAM1/TWF2/SMO/PLXNB3/ALCAM/DHFR/CXCR4/PTN/TNN/LRIG2/SEMA3D/TNFRSF21/B4GALT5/CASP3/EFNA5/LRP4/GLI3/GAB1/FGFR2/SEMA4C/DOCK7/ITGA4/MYPN/KIAA0319/FEZ1/ULK1/APOE/SPP1/SHC3/NDN/PAK2/UNC5C/BMP7/EFNA2/EGR2/KREMEN1/NTNG1/CNTF/ENAH",305
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","85/6884","101/15013",1.39365265491725e-15,4.18026113842428e-12,3.47092861214127e-12,"TRAM1L1/RPS19/RPL23/SSR3/SNAP25-AS1/RPL30/RPS12/RPS27/RPS20/RPS3/RPS23/RPS6/RPL7/RPLP2/RPL27A/RPS27A/RPL37/RPL31/RPS16/RPLP1/TRAM2/BHLHE40-AS1/RPL17/RPS17/RPS4X/RPL14/RPL11/RPS15A/UBA52/RPL26/RPL37A/RPLP0/RPL3/RPS18/RPL12/RPL21/SEC61A2/TRAM1/RPL8/RPS14/RPL34/RPL36A/RPL13A/RPL36/RPS21/RPL5/RPL15/RPL23A/RPS25/RPL28/RPL10A/RPL22/RPS7/RPL32/RPS8/RPS10/RPL10/RPL4/RPSA/RPL18A/RPL19/RPS13/RPL41/RPL7A/RPS15/RPS3A/RPL18/RPL9/RPL27/SEC61A1/RPS29/RPS11/RPL35A/RPS24/RPS9/RPS28/RPL35/RPL39/SEC61B/RPL6/RPL24/RPL29/RPL38/RPS5/GJD2-DT",85
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","88/6884","106/15013",2.3981856685907e-15,4.25566512109465e-12,3.53353758135477e-12,"TRAM1L1/RPS19/SIL1/RPL23/SSR3/SNAP25-AS1/RPL30/RPS12/RPS27/RPS20/RPS3/RPS23/RPS6/RPL7/RPLP2/RPL27A/RPS27A/RPL37/RPL31/RPS16/RPLP1/TRAM2/BHLHE40-AS1/RPL17/RPS17/RPS4X/RPL14/RPL11/RPS15A/UBA52/RPL26/RPL37A/RPLP0/RPL3/RPS18/RPL12/RPL21/SEC61A2/TRAM1/RPL8/RPS14/SSR2/RPL34/RPL36A/RPL13A/RPL36/RPS21/RPL5/RPL15/RPL23A/RPS25/RPL28/RPL10A/RPL22/RPS7/RPL32/RPS8/RPS10/RPL10/RPL4/RPSA/RPL18A/RPL19/RPS13/RPL41/RPL7A/RPS15/SSR1/RPS3A/RPL18/RPL9/RPL27/SEC61A1/RPS29/RPS11/RPL35A/RPS24/RPS9/RPS28/RPL35/RPL39/SEC61B/RPL6/RPL24/RPL29/RPL38/RPS5/GJD2-DT",88
"GO:0010975","GO:0010975","regulation of neuron projection development","265/6884","408/15013",2.83758301123164e-15,4.25566512109465e-12,3.53353758135477e-12,"NRP1/SEMA3G/CNR1/RET/FN1/ROBO2/SNAP25/MAPT/MAP6/EFNA1/B2M/NDRG4/ATP8A2/RUFY3/PTPRG/SEMA6D/PAK3/NEDD4L/GDI1/CERS2/KIDINS220/CIB1/GATA3/L1CAM/SRCIN1/RTN4RL1/MINAR1/CRMP1/CDK5R1/SCARF1/SEMA4D/SERPINI1/ADGRB3/DCC/PLXND1/PTPRO/EFNB2/FES/ZFYVE27/ABL2/STMN2/CNTN1/CHRNB2/CFLAR/PDLIM5/SHANK3/NDNF/MBOAT1/NEGR1/NTRK3/STX1B/GRN/NEFL/PTPRD/HECW1/RHOA/CHRNA3/SEMA4G/FGF13/SETX/POU4F2/ROBO1/WNT5A/LRRC4C/SIPA1L1/DRAXIN/ZNF804A/NCK1/VIM/SEMA6A/INPP5J/ISLR2/SPART/CTNNA2/GPC2/FUT9/INPP5F/CARM1/LZTS1/DNM3/SLIT2/TRIM46/NLGN1/CDK5/CCDC88A/RND2/KLF4/UST/TRIM67/NTNG2/SNX3/NPTN/SLITRK1/RAPGEF1/CYFIP1/PPFIA2/RTN4/PRKCI/TRAK2/MAP2/NIN/LYN/CAMK2B/RAB29/DISC1/TRPV4/TRPV2/TIAM2/KIF1A/IQGAP1/CRABP2/SHOX2/RAB11A/RYK/LRP8/SFRP1/NTRK1/SEMA3F/GPRASP2/PPP2R5B/NCS1/LRP1/MARK1/ARMCX5-GPRASP2/DSCAM/METRN/MAP1B/EPHB2/FKBP1B/MAGI2/ARHGAP33/NGF/RTN4RL2/ALK/CRTC1/PREX1/PLPPR5/CAMSAP2/SKIL/SEMA4F/PARP6/BRSK1/NGFR/CHN1/BRSK2/KDM1A/PTPRS/ITGA3/AMIGO1/ARHGAP44/DPYSL3/ACAP3/HSPA5/LIMK1/SEMA5B/SRF/CAMK1D/SARM1/LZTS3/TOX/PRRX1/LPAR1/SEMA4B/LINGO1/FKBP4/MFSD2A/ADAM10/CDC20/RAP1A/SCARB2/PTK2B/MAP2K1/FBXW8/NTRK2/PQBP1/TANC2/LGALS1/SEMA4A/EPHA3/DHX36/TNIK/LTK/SEMA3C/EFHC2/EPHA4/POU3F2/OBSL1/GSK3B/HECW2/ADCY6/PPP3CA/RGS2/DAB1/KNDC1/SEMA3B/VLDLR/CUX2/RAPGEF2/ARHGDIA/MCF2/FBXO31/PRAG1/PLXNA3/CX3CL1/CDKL3/MDK/PAQR3/PLXNA1/SCN1B/ITM2C/THY1/SEMA6B/FYN/PLK5/NEDD4/CHODL/CAMK1/PTK7/NME2/SEMA6C/GOLGA4/RIT2/ADCYAP1/ZDHHC15/EFNB3/PLXNB1/ANKRD1/CD38/CDKL5/ACTR2/CBFA2T2/BMP5/TIAM1/TWF2/PLXNB3/RRN3/UBE3A/PTN/PLA2G3/LRIG2/SEMA3D/RAP2A/CFL1/LRP4/GFI1/PTPN9/SEMA4C/ARC/ITGA6/ULK4/KIAA0319/P3H1/FEZ1/ATP1B2/APOE/SPP1/AVIL/PAK2/BMP7/KREMEN1/EEF2K/NTNG1/SLC39A12/CNTF/LRRC7",265
"GO:0007409","GO:0007409","axonogenesis","277/6884","431/15013",4.78517760829522e-15,5.7412560944326e-12,4.76704430367431e-12,"NRP1/UNC5B/SEMA3G/SHC1/ZSWIM5/RET/NFIB/FN1/RHOG/ROBO2/MAPT/MAP6/EFNA1/RAB3A/KIF5A/DRGX/ATP8A2/RUFY3/SEMA6D/PAK3/DCLK1/NFASC/GDI1/ATL1/GAP43/KIF5C/GATA3/L1CAM/POU4F1/GRB2/NRXN1/SLITRK6/NCAM1/DOK5/CRMP1/CDK5R1/MAP1A/SEMA4D/EPHA6/DCC/PLXND1/EPHB4/PTPRO/EFNB2/ZFYVE27/EFNA4/CHRNB2/GDF7/SHANK3/FLRT2/LHX9/LAMB2/VCL/NEFL/USP33/NRP2/NEFH/EVL/KLF7/RHOA/SEMA4G/FGF13/EPHA5/DPYSL2/POU4F2/ROBO1/PRKCQ/WNT5A/LRRC4C/SIPA1L1/DRAXIN/EPHA2/ROBO4/EPHA8/RNF165/SEMA6A/VAX1/MYCBP2/ANK3/ISLR2/SPART/CTNNA2/B3GNT2/SLITRK4/APBB1/LHX1/NUMB/RHOH/NRCAM/SPTBN4/SLIT2/UNC5A/TRIM46/NEXN/GDNF/CDK5/RND2/UST/NTNG2/SH3KBP1/ISL1/NPTN/SPTBN2/SLITRK1/STXBP1/UNC5D/CYFIP1/RTN4/SLIT3/TRAK2/CCK/OLFM1/MAP2/PPP3CB/NIN/SLIT1/DISC1/SPTBN1/RAB8A/TRPV2/TIAM2/LHX4/DPYSL5/HDAC6/CRABP2/SHOX2/RAB11A/GBX2/RYK/NOTCH2/GPC1/LRTM2/NTRK1/SEMA3F/MAPK3/LRP1/CNTN2/DSCAM/METRN/NIBAN2/MAP1B/EPHB2/PTPRM/STMN1/DRD2/NGF/NOTCH1/FLRT3/GFRA1/EPHA10/SKIL/RANBP9/SEMA4F/ULK2/BRSK1/NGFR/CHN1/BRSK2/PTPRS/TUBB3/TUBB2B/SPTA1/AMIGO1/RAC2/SLITRK5/PHOX2B/LIMK1/SEMA5B/SRF/ADARB1/C12orf57/CTTN/EZR/SLC9A6/SPAST/PTK2/NRXN3/VASP/LMX1A/SEMA4B/DOK1/DOK6/LINGO1/CDH11/FOXB1/PAX2/LAMA5/POU4F3/TTL/NUMBL/NOTCH3/ADGRB1/DLX5/OPHN1/SLITRK3/BCL2/MAP2K1/NTRK2/S100A6/SEMA4A/PARD3/EPHA3/NKX6-1/SEMA3C/EPHA4/POU3F2/GSK3B/C9orf72/DAB1/SEMA3B/TMEFF1/RAC1/VLDLR/ARHGDIA/NLGN3/MCF2/PLPPR4/AFG3L2/BMPR1B/PLXNA3/FLOT1/FZD3/CDKL3/IGSF9/RAP1GAP/HSP90AA1/GFRA2/PLXNA1/SCN1B/THY1/EPHB1/SEMA6B/PTCH1/FYN/GRB7/RPL24/CHODL/SEMA6C/VSTM2L/GOLGA4/VAX2/EFNB3/PLXNB1/FEZ2/CDKL5/TIAM1/TWF2/SMO/PLXNB3/ALCAM/CXCR4/TNN/SEMA3D/B4GALT5/EFNA5/LRP4/GLI3/GAB1/FGFR2/SEMA4C/DOCK7/ITGA4/MYPN/KIAA0319/FEZ1/ULK1/APOE/SPP1/SHC3/NDN/PAK2/UNC5C/BMP7/EFNA2/EGR2/NTNG1/ENAH",277
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","244/6884","373/15013",1.08461232188156e-14,1.08443155316125e-11,9.00418510025182e-12,"SNCAIP/CNR1/MEF2C/NSG1/SNAP25/FGF14/SNCG/MAPT/RAB3A/P2RX3/STX1A/SYT1/SYT7/GRIK1/CNTNAP4/ITPR3/RIMS3/NRXN1/MAPK8IP2/KIT/UNC13A/MAP1A/CACNG4/DCC/SEPTIN5/GRM2/CPEB3/CHRNB2/PLCB4/SHANK3/CHRNB4/SLC24A1/CALB1/ABR/TMEM25/RIMS4/STX1B/SLC4A8/PTPRD/ERC2/CHRNA3/SLC4A10/RASGRF1/SYN3/SYT11/RIMS1/ASIC1/LRRC4C/MPP2/SIPA1L1/PLK2/ABHD6/GRIK2/LRRC4/STX4/CACNA1B/CACNB3/CACNG3/PREPL/RNF19A/RAB26/PRRT2/SHISA7/SYT4/PLCL1/CPLX2/CPLX1/SORCS2/CLSTN3/STAR/APBA1/ATAD1/CLSTN2/NPTXR/ITGB1/LZTS1/GRIK5/RIMS2/CHRNA5/NLGN1/NRG3/CELF4/NLGN4Y/CDK5/BACE1/SYP/SH3GL1/NTNG2/NPTN/PLCB1/STXBP1/GRIK3/CYFIP1/JPH4/PPFIA2/FAM107A/NMU/SORCS3/PPP3CB/CAMK2B/GRIA1/SRGN/P2RY1/RAP1B/CACNG2/DISC1/DGKI/RAB8A/SLC8A3/ZDHHC12/RAB11A/LRP8/JPH3/NTRK1/KCNB1/PCDH17/CACNB2/DGKB/SLC8A2/PRKCZ/NCS1/GRIN3A/SYNGR1/ACHE/MAP1B/EPHB2/ADRA2A/VAMP2/DRD2/BCHE/NGF/KMO/NPTX2/CRTC1/EDN1/GRIN2A/CALM3/BRSK1/RPL22/PTPRS/TUBB2B/CSPG5/CACNG7/CNIH2/SHANK2/AKAP12/GRIN1/AKAP9/SRF/SYN1/SYT12/MECP2/DGKZ/DLG4/PRKAR2B/RASGRF2/CCL2/CDH11/CDC20/RAP1A/STX3/NCDN/STXBP5L/ADGRB1/SERPINE2/GRID1/OPHN1/PTK2B/NEUROD2/CLN3/USP46/CACNA1A/NTRK2/NLGN4X/CBLN1/ARRB2/PRKCG/DLGAP3/CAMK2A/EPHA4/ADORA2A/GSK3B/PPP3CA/SCGN/SLC7A11/CUX2/RAPGEF2/NLGN3/DLGAP2/GRM4/NRGN/GRM3/FLOT1/PINK1/RAB5A/CX3CL1/YWHAG/FABP5/CLSTN1/RAPSN/MME/FYN/AKAP5/ADCY8/RHOT1/NLGN2/CALB2/ADCYAP1/DLGAP1/LRFN2/ERC1/BEGAIN/CD38/NPY2R/TMEM108/BCR/SLC24A2/NEURL1/VGF/PTN/PLCL2/PRRT1/NTF3/HRH1/CRHR2/IL1B/CPLX3/CX3CR1/BTBD9/ARC/KRAS/TAC1/GRM7/CDH1/DMPK/APOE/GNAI2/SLC30A1/EGR2/GRM6/SLC1A1/SQSTM1/NTNG1/LGMN",244
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","243/6884","372/15013",1.56920172884307e-14,1.34480588161851e-11,1.11661091441886e-11,"SNCAIP/CNR1/MEF2C/NSG1/SNAP25/FGF14/SNCG/MAPT/RAB3A/P2RX3/STX1A/SYT1/SYT7/GRIK1/CNTNAP4/ITPR3/RIMS3/NRXN1/MAPK8IP2/KIT/UNC13A/MAP1A/CACNG4/DCC/SEPTIN5/GRM2/CPEB3/CHRNB2/PLCB4/SHANK3/CHRNB4/SLC24A1/CALB1/ABR/TMEM25/RIMS4/STX1B/SLC4A8/PTPRD/ERC2/CHRNA3/SLC4A10/RASGRF1/SYN3/SYT11/RIMS1/ASIC1/LRRC4C/MPP2/SIPA1L1/PLK2/ABHD6/GRIK2/LRRC4/STX4/CACNA1B/CACNB3/CACNG3/PREPL/RNF19A/RAB26/PRRT2/SHISA7/SYT4/PLCL1/CPLX2/CPLX1/SORCS2/CLSTN3/STAR/APBA1/ATAD1/CLSTN2/NPTXR/ITGB1/LZTS1/GRIK5/RIMS2/CHRNA5/NLGN1/NRG3/CELF4/NLGN4Y/CDK5/BACE1/SYP/SH3GL1/NTNG2/NPTN/PLCB1/STXBP1/GRIK3/CYFIP1/JPH4/PPFIA2/FAM107A/NMU/SORCS3/PPP3CB/CAMK2B/GRIA1/SRGN/P2RY1/RAP1B/CACNG2/DISC1/DGKI/RAB8A/SLC8A3/ZDHHC12/RAB11A/LRP8/JPH3/NTRK1/KCNB1/PCDH17/CACNB2/DGKB/SLC8A2/PRKCZ/NCS1/GRIN3A/SYNGR1/ACHE/MAP1B/EPHB2/ADRA2A/VAMP2/DRD2/BCHE/NGF/KMO/NPTX2/CRTC1/EDN1/GRIN2A/CALM3/BRSK1/RPL22/PTPRS/TUBB2B/CSPG5/CACNG7/CNIH2/SHANK2/AKAP12/GRIN1/AKAP9/SRF/SYN1/SYT12/MECP2/DGKZ/DLG4/PRKAR2B/RASGRF2/CCL2/CDH11/CDC20/RAP1A/STX3/NCDN/STXBP5L/ADGRB1/SERPINE2/GRID1/OPHN1/PTK2B/NEUROD2/CLN3/USP46/CACNA1A/NTRK2/NLGN4X/CBLN1/ARRB2/PRKCG/DLGAP3/CAMK2A/EPHA4/ADORA2A/GSK3B/PPP3CA/SCGN/SLC7A11/CUX2/RAPGEF2/NLGN3/DLGAP2/GRM4/NRGN/GRM3/FLOT1/PINK1/RAB5A/CX3CL1/YWHAG/CLSTN1/RAPSN/MME/FYN/AKAP5/ADCY8/RHOT1/NLGN2/CALB2/ADCYAP1/DLGAP1/LRFN2/ERC1/BEGAIN/CD38/NPY2R/TMEM108/BCR/SLC24A2/NEURL1/VGF/PTN/PLCL2/PRRT1/NTF3/HRH1/CRHR2/IL1B/CPLX3/CX3CR1/BTBD9/ARC/KRAS/TAC1/GRM7/CDH1/DMPK/APOE/GNAI2/SLC30A1/EGR2/GRM6/SLC1A1/SQSTM1/NTNG1/LGMN",243
"GO:0034329","GO:0034329","cell junction assembly","250/6884","393/15013",5.65387653228857e-13,3.84914104394524e-10,3.1959950202137e-10,"NRP1/LIMCH1/THSD1/LGI2/CLASP2/JAM3/FN1/F11R/MEF2C/CD9/ROBO2/TJP1/KDR/ESAM/TEK/RHOC/PECAM1/MDGA1/GAP43/FBLIM1/POU4F1/GJA4/DMTN/NRXN1/PPM1F/SLITRK6/ILK/SEMA4D/RAB13/CLDN7/ADGRB3/CAV1/CDH5/PLXND1/GPM6A/DNER/PTPRO/EFNB2/EPB41L3/MMP14/ITGA5/CHRNB2/LAMC1/RAMP2/PDLIM5/SHANK3/FLRT2/VCL/ACVRL1/PTPRD/ADD2/RHOA/TLN1/LIMS1/FGF13/APOD/WNT5A/DST/MARVELD3/TRIP6/LRRC4/EPHA2/CTNND2/PEAK1/SDC4/ADGRL3/CTNNA1/CLDN5/CNTN5/APC/CLSTN3/BSN/SPOCK2/SLITRK4/CLSTN2/SDK1/NRCAM/DNM3/SNCA/NLGN1/LHFPL4/NLGN4Y/CDK5/GABRB3/NRXN2/PALS1/CDH12/NTNG2/NPTN/SPTBN2/SLITRK1/RAPGEF1/MARVELD2/OCLN/TLN2/CDH7/CDH18/FAM107A/PRKCI/CDH22/WDR1/SLIT1/PKP4/PHLDB2/RAP1B/RAB29/ARHGEF7/TRPV4/ASIC2/DLC1/ZDHHC12/CORO1C/IQGAP1/LRFN1/RYK/CBFB/SFRP1/LRTM2/NTRK1/LRRN3/GPRASP2/PCDH17/ITGA2/MYO1C/SNAI1/STRN/LRP1/ARMCX5-GPRASP2/ACHE/DSCAM/MAP1B/EPHB2/DRD2/LRRTM1/LRRN1/PKN2/SMAD3/FLRT3/THBS1/DLG5/GJA1/PTPRK/PRKCH/PARD6A/MPP7/PTPRS/AMIGO1/SHANK2/SLITRK5/TESK2/GPBAR1/SRF/CAMSAP3/CTTN/IL1RAP/LRFN5/PCLO/PTK2/MECP2/TPBG/VASP/S100A10/CDH24/GJA5/CDH11/GPM6B/RAP1A/ADGRL2/ADGRB1/ACE/NPHP1/OPHN1/PCDHB5/IKBKB/SLITRK3/PTK2B/BCL2/FRMPD2/NTRK2/NLGN4X/CBLN1/SEMA4A/PARD3/EPHA3/KIRREL3/CDH10/OBSL1/RHOD/RCC2/CLDN10/RAC1/DUSP22/RUNX1/CUX2/RAPGEF2/NLGN3/PCDHB14/ARHGAP6/PCDHB16/FARP1/FLOT1/ZNF703/SLK/CLSTN1/GPC6/THY1/EIF4G1/EPHB1/CDH9/EPB41L5/NLGN2/PKP2/CNTNAP1/PLXNB1/FERMT2/PIP5K1A/ROCK2/BCR/PCDHB4/WHAMM/ACTN1/SLC9A1/CDH8/COL16A1/CLDN23/LRFN4/PDPK1/SIX1/EFNA5/LRP4/IL1B/PDCD6IP/CLDN4/ECT2/ITGA6/TBCD/CDH1/COL17A1/CDH20/PCDHB10/CLDN6/CLASP1/LRRTM3/GABRG2/PAK2/GABRA1/PIP5K1C/EEF2K/AGT/PCDHB9",250
"GO:0045047","GO:0045047","protein targeting to ER","91/6884","116/15013",5.77467401158646e-13,3.84914104394524e-10,3.1959950202137e-10,"TRAM1L1/RPS19/RPL23/SSR3/SNAP25-AS1/RPL30/RPS12/RPS27/RPS20/RPS3/RPS23/RPS6/RPL7/RPLP2/RPL27A/CHMP4A/RPS27A/RPL37/RPL31/RPS16/RPLP1/TRAM2/BHLHE40-AS1/RPL17/RPS17/SPCS3/RPS4X/RPL14/RPL11/RPS15A/UBA52/RPL26/RPL37A/RPLP0/RPL3/RPS18/RPL12/RPL21/SEC61A2/TRAM1/RPL8/RPS14/RPL34/RPL36A/RPL13A/RPL36/RPS21/RPL5/RPL15/RPL23A/RPS25/RPL28/RPL10A/RPL22/RPS7/RPL32/RPS8/RPS10/RPL10/HSPA5/RPL4/RPSA/RPL18A/RPL19/RPS13/RPL41/RPL7A/RPS15/RPS3A/RPL18/RPL9/RPL27/SEC61A1/RPS29/RPS11/RPL35A/RPS24/RPS9/RPS28/RPL35/RPL39/SEC61B/RPL6/EDEM1/RPL24/RPL29/MAN1A1/RPL38/RPS5/GJD2-DT/SGTB",91
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","92/6884","120/15013",4.77036306009003e-12,2.63020938649145e-09,2.18389921423352e-09,"TRAM1L1/RPS19/RPL23/SSR3/SNAP25-AS1/RPL30/RPS12/RPS27/RPS20/RPS3/RPS23/RPS6/RPL7/RPLP2/RYR2/RPL27A/CHMP4A/RPS27A/RPL37/RPL31/RPS16/RPLP1/TRAM2/BHLHE40-AS1/RPL17/RPS17/SPCS3/RPS4X/RPL14/RPL11/RPS15A/UBA52/RPL26/RPL37A/RPLP0/RPL3/RPS18/RPL12/RPL21/SEC61A2/TRAM1/RPL8/RPS14/RPL34/RPL36A/RPL13A/RPL36/RPS21/RPL5/RPL15/RPL23A/RPS25/RPL28/RPL10A/RPL22/RPS7/RPL32/RPS8/RPS10/RPL10/HSPA5/RPL4/RPSA/RPL18A/RPL19/RPS13/RPL41/RPL7A/RPS15/RPS3A/RPL18/RPL9/RPL27/SEC61A1/RPS29/RPS11/RPL35A/RPS24/RPS9/RPS28/RPL35/RPL39/SEC61B/RPL6/EDEM1/RPL24/RPL29/MAN1A1/RPL38/RPS5/GJD2-DT/SGTB",92
