"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","24/178","372/15013",1.3754972527904e-11,1.60234548118408e-08,1.46684430253239e-08,"P2RX3/NTRK1/SYT4/FGF14/CAMK2B/CNR1/SNAP25/CELF4/RAB26/CPLX2/MAPT/SYP/SYT7/GRM2/RAB3A/SNCG/CACNG3/CNTNAP4/LAMA2/SORCS3/NPTX1/CPLX1/ASIC1/SORCS2",24
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","24/178","373/15013",1.455354660476e-11,1.60234548118408e-08,1.46684430253239e-08,"P2RX3/NTRK1/SYT4/FGF14/CAMK2B/CNR1/SNAP25/CELF4/RAB26/CPLX2/MAPT/SYP/SYT7/GRM2/RAB3A/SNCG/CACNG3/CNTNAP4/LAMA2/SORCS3/NPTX1/CPLX1/ASIC1/SORCS2",24
"GO:0006836","GO:0006836","neurotransmitter transport","16/178","193/15013",1.17096763918267e-09,8.59490247160079e-07,7.86808080363091e-07,"PTPRN2/SYT4/GDNF/CNR1/SLC17A6/SNAP25/CPLX2/SLC17A7/SYP/SLC18A3/SYT7/RAB3A/SNCG/SV2B/CPLX1/ASIC1",16
"GO:0014046","GO:0014046","dopamine secretion","7/178","29/15013",3.66524180473541e-08,1.507609781208e-05,1.38011985803017e-05,"SYT4/GDNF/CNR1/SYT7/RAB3A/SNCG/CHRNA4",7
"GO:0014059","GO:0014059","regulation of dopamine secretion","7/178","29/15013",3.66524180473541e-08,1.507609781208e-05,1.38011985803017e-05,"SYT4/GDNF/CNR1/SYT7/RAB3A/SNCG/CHRNA4",7
"GO:0050433","GO:0050433","regulation of catecholamine secretion","8/178","44/15013",4.10792855914986e-08,1.507609781208e-05,1.38011985803017e-05,"SYT4/GDNF/CNR1/SYT7/RAB3A/SNCG/CHGA/CHRNA4",8
"GO:0050432","GO:0050432","catecholamine secretion","8/178","45/15013",4.94594434354484e-08,1.55585277778368e-05,1.42428322073509e-05,"SYT4/GDNF/CNR1/SYT7/RAB3A/SNCG/CHGA/CHRNA4",8
"GO:0007269","GO:0007269","neurotransmitter secretion","12/178","146/15013",1.65035783579845e-07,3.84931547842911e-05,3.5238009183956e-05,"PTPRN2/SYT4/CNR1/SNAP25/CPLX2/SYP/SLC18A3/SYT7/RAB3A/SNCG/CPLX1/ASIC1",12
"GO:0099643","GO:0099643","signal release from synapse","12/178","146/15013",1.65035783579845e-07,3.84931547842911e-05,3.5238009183956e-05,"PTPRN2/SYT4/CNR1/SNAP25/CPLX2/SYP/SLC18A3/SYT7/RAB3A/SNCG/CPLX1/ASIC1",12
"GO:0007610","GO:0007610","behavior","21/178","469/15013",1.74809967231113e-07,3.84931547842911e-05,3.5238009183956e-05,"P2RX3/NTRK1/GDNF/CNR1/NDRG4/SNAP25/GNG8/SCN2A/MAPT/POU4F1/PENK/CEND1/SNCG/NHLH2/FOXP2/CNTNAP4/SORCS3/LGI4/CHRNA4/ASIC1/C3orf70",21
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","13/178","184/15013",2.92333374945716e-07,5.85198265118606e-05,5.3571140002014e-05,"FGF14/CNR1/SLC17A6/SNAP25/HPCA/CPLX2/SLC17A7/SNAP91/SYP/SYT7/RAB3A/SNCG/CPLX1",13
"GO:0051937","GO:0051937","catecholamine transport","8/178","57/15013",3.3591252442673e-07,6.1639948232305e-05,5.64274109015078e-05,"SYT4/GDNF/CNR1/SYT7/RAB3A/SNCG/CHGA/CHRNA4",8
"GO:0015872","GO:0015872","dopamine transport","7/178","40/15013",3.92241203872191e-07,6.39593615248897e-05,5.85506846981996e-05,"SYT4/GDNF/CNR1/SYT7/RAB3A/SNCG/CHRNA4",7
"GO:0021516","GO:0021516","dorsal spinal cord development","5/178","14/15013",4.06644442029271e-07,6.39593615248897e-05,5.85506846981996e-05,"GDNF/MDGA1/DRGX/PROX1/UNCX",5
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","13/178","196/15013",6.03730679137249e-07,8.86276636973482e-05,8.11329298630058e-05,"PTPRN2/SYT4/GDNF/CNR1/SNAP25/CPLX2/SYP/SLC18A3/SYT7/RAB3A/SNCG/CPLX1/ASIC1",13
"GO:0099504","GO:0099504","synaptic vesicle cycle","12/178","168/15013",7.55263976174188e-07,0.000103943204720973,9.51533233140507e-05,"FGF14/CNR1/SLC17A6/SNAP25/CPLX2/SLC17A7/SNAP91/SYP/SYT7/RAB3A/SNCG/CPLX1",12
"GO:0015844","GO:0015844","monoamine transport","8/178","67/15013",1.19875118277504e-06,0.000155273535557097,0.000142142942106143,"SYT4/GDNF/CNR1/SYT7/RAB3A/SNCG/CHGA/CHRNA4",8
"GO:0051588","GO:0051588","regulation of neurotransmitter transport","9/178","91/15013",1.28644413312854e-06,0.000157374998952725,0.000144066696780185,"SYT4/GDNF/CNR1/CPLX2/SYP/RAB3A/SNCG/CPLX1/ASIC1",9
"GO:0051952","GO:0051952","regulation of amine transport","8/178","74/15013",2.5813848335985e-06,0.0002991689159781,0.000273869914478733,"SYT4/GDNF/CNR1/SYT7/RAB3A/SNCG/CHGA/CHRNA4",8
"GO:0061564","GO:0061564","axon development","19/178","472/15013",3.39459944407024e-06,0.000373745398792133,0.000342139891336553,"NTRK1/GDNF/CNR1/DRGX/MAPT/POU4F1/MAP6/TSPAN2/RAB3A/NFASC/GAP43/KLF7/EPHA10/NEFL/UNC5A/LAMA2/DLX5/NPTX1/LHX9",19
"GO:0048167","GO:0048167","regulation of synaptic plasticity","11/178","163/15013",3.84650429710915e-06,0.000386085612411574,0.000353436563778462,"P2RX3/FGF14/CAMK2B/SNAP25/CPLX2/MAPT/SYP/SYT7/RAB3A/SORCS3/SORCS2",11
