"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061564","GO:0061564","axon development","306/7167","472/15013",2.34082418230865e-14,7.536928329844e-11,5.97136286624132e-11,"CNR1/ZSWIM5/MAPT/MAP6/NRP1/ROBO2/KIF5A/NFASC/SHC1/RAB3A/GAP43/RUFY3/RET/ATL1/GDI1/UNC5B/DCC/SEMA3G/POU4F1/FN1/RHOG/SEMA6D/PAK3/DCLK1/L1CAM/ATP8A2/JAM3/NFIB/NRXN1/KLF7/LHX9/KIF5C/GRB2/RTN4RL1/NCAM1/NTRK1/SEMA4D/DOK5/EFNA1/MAP1A/CRMP1/GDNF/NEFL/APOD/CERS2/GATA3/PTPRO/DRGX/SLITRK1/SHANK3/EFNB2/EPHB4/UNC5A/EPHA2/EFNA4/VASH2/EPHA5/ROBO4/NREP/CDK5R1/SCARF1/MYCBP2/TRAK2/PRKCQ/EPHA6/SEMA4G/DRAXIN/SPART/PLXND1/FGF13/GDF7/SIPA1L1/ZFYVE27/CHRNB2/USP33/DPYSL2/POU4F2/SH3KBP1/STXBP1/SEMA3F/GRN/ISLR2/WNT5A/ROBO1/VCL/NOTCH2/CNTN2/DISC1/TRPV2/SPTBN4/RHOA/EVL/RTN4/CTNNA2/RNF165/LAMB2/NRP2/HDAC6/UNC5D/CDK5/SHOX2/NUMB/NEXN/SLIT2/FLRT2/SPTBN2/SLITRK6/TSPO/APBB1/B3GNT2/NEFH/TIAM2/SEMA6A/EPHA8/STMN1/GBX2/ISL1/CTNNA1/NTNG2/TRIM46/EPHA10/NOTCH1/VAX1/LHX1/SMO/TUBB3/TNC/PPP3CB/SLITRK4/NRCAM/LHX4/DLX5/MAP1B/SLC9A6/FKBP1B/GPC1/SVBP/RHOH/POU4F3/RAC2/SYNGAP1/FLRT3/GLI3/CYFIP1/SPTA1/CAMSAP2/DHFR/CCK/SKIL/CHN1/RND2/GFRA2/TUBB2B/LRTM2/OLFM1/RYK/RANBP9/LRRC4C/PTPRA/NPTN/ANK3/EPHA3/DOK6/KLF4/BRSK2/PTPRS/MAP2K1/NIBAN2/LRP4/UST/DRD2/SEMA3C/EPHB2/LINGO1/SLIT3/BMPR1B/SEMA4F/RAB8A/RTN4RL2/CTTN/FOXB1/TNN/C12orf57/NOTCH3/MAP2/NIN/DYNLT1/YTHDF1/BOC/CDH11/MAPK3/ANOS1/SLIT1/PARD6B/NUMBL/DPYSL5/LMX1A/LAMA5/PLP1/SPTAN1/PTN/SPP1/GFRA1/CDKL5/PLXNA3/CHODL/LIMK1/CASP3/SRF/INPP5F/DOK1/PARD3/PHOX2B/ADGRB1/FOLR1/SEMA5A/RPL24/PTPRM/PTK2/ADARB1/EZR/DSCAM/MAP3K13/SPTBN1/NCAM2/BCL2/SEMA5B/FSTL4/LRP1/BRSK1/POU3F2/FGFR2/TIAM1/ULK2/PAFAH1B1/GSK3B/ZDHHC17/THY1/HSP90AA1/NPTX1/NTRK2/PRKCA/FLOT1/CRABP2/FYN/TTL/TMEFF1/S100A6/EGR2/AMIGO1/OPHN1/BMP7/RAB11A/CDKL3/VAX2/NRXN3/PAX2/METRN/LAMA1/LAMA2/FEZF2/VEGFA/NKX6-1/APOE/GAB1/VASP/KREMEN1/RAC1/SHC3/TRIO/SLITRK5/DOCK7/SPAST/RPS6KA5/GLI2/SEMA4C/PALLD/SEMA3B/CXCR4/EPHA7/VSTM2L/PAK2/NGF/FOXG1/ZSWIM6/KIAA0319/MCF2/DAG1/SLITRK3/SEMA3A/FEZ2/ITGA4/FOXD1/ISL2/PLPPR4/ALCAM/TWF2/PLXNB1/NGFR/NECTIN1/ULK1/PLXNB2/FZD3/PLXNA1/CDH4/ARHGDIA",306
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","85/7167","101/15013",2.51230944328133e-14,7.536928329844e-11,5.97136286624132e-11,"RPL23/TRAM1L1/RPS19/RPS27A/RPS15A/RPS20/RPS12/RPL7/RPS27/RPS23/RPS6/TRAM2/RPL37/RPS17/RPL30/RPLP2/SNAP25-AS1/RPLP0/RPS3/RPL17/RPL21/RPLP1/RPL36A/RPL23A/RPL31/RPL37A/RPS16/RPS21/RPS4X/RPL34/RPL26/RPL27A/RPL12/RPS18/RPS25/RPS14/RPS29/RPL3/RPS3A/RPSA/RPS8/SSR3/RPL27/RPL5/RPL22/RPL14/RPL7A/RPS7/RPL11/RPL13A/RPL10A/RPL19/RPS13/RPL41/UBA52/RPL9/RPS10/BHLHE40-AS1/RPL32/RPL8/SEC61A2/RPS15/RPL39/RPL15/RPL10/RPL18A/RPS24/RPL36/RPS11/RPL4/RPL35A/RPL6/RPL18/RPL24/TRAM1/SEC61A1/RPL28/RPS2/RPL29/RPS9/RPS28/RPL35/RPL38/RPS5/RPS26",85
"GO:0001525","GO:0001525","angiogenesis","298/7167","461/15013",8.89835468325031e-14,1.77967093665006e-10,1.409998938581e-10,"SCG2/NRP1/SHC1/BMP4/HMOX1/TJP1/UNC5B/FN1/FLT1/MMRN2/AGO1/JAM3/ECM1/HHEX/ADGRB3/TGFBR2/COL4A1/ETS1/ELK3/TAL1/RHOJ/EFNA1/MINAR1/CIB1/PRCP/THSD7A/APOD/PTPRB/COL4A2/CALCRL/ENPP2/RASIP1/ECSCR/ADGRG1/RAPGEF3/HMGA2/EFNB2/EPHB4/EPHA2/CALD1/SPINK5/LOXL2/VASH2/FMNL3/ROBO4/TEK/EGF/FGF18/STAB1/S1PR1/CD34/SPARC/ADAMTS9/KDR/PIK3R3/ITGAV/PLXND1/ADM/NDNF/CAV1/ARHGAP22/HSPB1/APLNR/TGFBR3/SARS1/ITGA5/CD40/THBS1/ANXA3/GRN/ANXA2/WNT5A/ROBO1/B4GALT1/MMP14/FLT4/HSPG2/NOTCH2/APLN/TIE1/MCAM/ACKR3/ADAM15/RHOA/NRP2/SASH1/MMP2/EGFL7/SP1/HPSE/JCAD/EPAS1/SLIT2/MFGE8/SFRP1/TGFB2/GPR4/NOTCH4/WASF2/RNF213/TSPAN12/SEMA6A/HDAC7/NPR1/GBX2/ITGB1/FGF2/CASP8/ACVRL1/ISL1/PF4/PLK2/NOTCH1/CXCL10/CEACAM1/AIMP1/VAV2/ARHGAP24/MAPK14/NOS3/MYH9/NRCAM/STARD13/CDH5/GATA2/FBXW7/CLDN5/SP100/PARVA/E2F7/NRARP/CCN2/HK2/ANPEP/SPRY2/PTGS2/JAK1/C1GALT1/ANXA1/COL15A1/CDH13/SULF1/JAG1/COL8A1/CCL2/GPLD1/ISM1/GATA6/MAP3K3/SPHK1/CLIC4/KLF4/TNFAIP2/ATP2B4/NIBAN2/PRKD2/COL18A1/TNFAIP3/RRAS/PDGFRB/APOLD1/EPHB2/COL22A1/RECK/RAMP2/BRCA1/WARS1/HIF3A/SOX18/SOX17/EMP2/KLF2/PPARG/FZD5/EDN1/LRG1/ANG/CCN1/ANGPTL4/RAMP1/ENG/SRPK2/PTN/CDC42/SH2D2A/ATP5F1B/HOXB3/UBP1/MAP2K5/CREB3L1/MEOX2/SRF/E2F8/IL1A/CNMD/TGFBI/ATF2/TMEM100/HIF1A/GREM1/CHI3L1/ADGRB1/STAT1/SEMA5A/PPP1R16B/SERPINE1/PTPRM/APELA/PTK2/ADAMTS1/TNFSF12/LEF1/ATP5IF1/ERAP1/GJA5/PML/HDAC9/FGFR2/SFRP2/AQP1/IL12A/PIK3CG/MECP2/THY1/STIM1/PTGIS/CTSH/PDPK1/PIK3C2A/PRKCA/STAB2/MIA3/FOXC2/FGF10/ADTRP/E2F2/EPGN/ADGRA2/ZC3H12A/TBX20/CCBE1/HLA-G/SMAD1/NPPB/ANGPTL2/THBS2/POFUT1/MDK/ENPEP/NR4A1/GLUL/YJEFN3/ANGPT2/STK4/C3AR1/VEGFA/HTATIP2/GAB1/PKNOX1/CX3CR1/RAMP3/SYK/CLEC14A/ANGPT1/ROCK2/TWIST1/FOXC1/TERT/VAV3/RORA/GPX1/CARD10/NFATC4/NAXE/AMOTL1/CXCR4/AMOT/CYBB/PDGFA/PTK2B/ADM2/ANGPT4/PLXDC1/PDE3B/SPRED1/ADGRB2/DAG1/HMGB1/RUNX1/PRKD1/FOXO4/RHOB/MMP19/NGFR/DLL4/EGLN1/AGO2/PGF",298
"GO:0007409","GO:0007409","axonogenesis","280/7167","431/15013",2.09915303876903e-13,2.8428516690438e-10,2.25233651533365e-10,"ZSWIM5/MAPT/MAP6/NRP1/ROBO2/KIF5A/NFASC/SHC1/RAB3A/GAP43/RUFY3/RET/ATL1/GDI1/UNC5B/DCC/SEMA3G/POU4F1/FN1/RHOG/SEMA6D/PAK3/DCLK1/L1CAM/ATP8A2/NFIB/NRXN1/KLF7/LHX9/KIF5C/GRB2/NCAM1/NTRK1/SEMA4D/DOK5/EFNA1/MAP1A/CRMP1/GDNF/NEFL/GATA3/PTPRO/DRGX/SLITRK1/SHANK3/EFNB2/EPHB4/UNC5A/EPHA2/EFNA4/EPHA5/ROBO4/CDK5R1/MYCBP2/TRAK2/PRKCQ/EPHA6/SEMA4G/DRAXIN/SPART/PLXND1/FGF13/GDF7/SIPA1L1/ZFYVE27/CHRNB2/USP33/DPYSL2/POU4F2/SH3KBP1/STXBP1/SEMA3F/ISLR2/WNT5A/ROBO1/VCL/NOTCH2/CNTN2/DISC1/TRPV2/SPTBN4/RHOA/EVL/RTN4/CTNNA2/RNF165/LAMB2/NRP2/HDAC6/UNC5D/CDK5/SHOX2/NUMB/NEXN/SLIT2/FLRT2/SPTBN2/SLITRK6/APBB1/B3GNT2/NEFH/TIAM2/SEMA6A/EPHA8/STMN1/GBX2/ISL1/NTNG2/TRIM46/EPHA10/NOTCH1/VAX1/LHX1/SMO/TUBB3/PPP3CB/SLITRK4/NRCAM/LHX4/DLX5/MAP1B/SLC9A6/GPC1/RHOH/POU4F3/RAC2/SYNGAP1/FLRT3/GLI3/CYFIP1/SPTA1/CCK/SKIL/CHN1/RND2/GFRA2/TUBB2B/LRTM2/OLFM1/RYK/RANBP9/LRRC4C/PTPRA/NPTN/ANK3/EPHA3/DOK6/BRSK2/PTPRS/MAP2K1/NIBAN2/LRP4/UST/DRD2/SEMA3C/EPHB2/LINGO1/SLIT3/BMPR1B/SEMA4F/RAB8A/CTTN/FOXB1/TNN/C12orf57/NOTCH3/MAP2/NIN/YTHDF1/BOC/CDH11/MAPK3/ANOS1/SLIT1/PARD6B/NUMBL/DPYSL5/LMX1A/LAMA5/SPTAN1/SPP1/GFRA1/CDKL5/PLXNA3/CHODL/LIMK1/SRF/DOK1/PARD3/PHOX2B/ADGRB1/SEMA5A/RPL24/PTPRM/PTK2/ADARB1/EZR/DSCAM/MAP3K13/SPTBN1/BCL2/SEMA5B/FSTL4/LRP1/BRSK1/POU3F2/FGFR2/TIAM1/ULK2/PAFAH1B1/GSK3B/ZDHHC17/THY1/HSP90AA1/NPTX1/NTRK2/PRKCA/FLOT1/CRABP2/FYN/TTL/TMEFF1/S100A6/EGR2/AMIGO1/OPHN1/BMP7/RAB11A/CDKL3/VAX2/NRXN3/PAX2/METRN/LAMA1/LAMA2/FEZF2/VEGFA/NKX6-1/APOE/GAB1/VASP/RAC1/SHC3/TRIO/SLITRK5/DOCK7/SPAST/RPS6KA5/GLI2/SEMA4C/PALLD/SEMA3B/CXCR4/EPHA7/VSTM2L/PAK2/NGF/FOXG1/ZSWIM6/KIAA0319/MCF2/DAG1/SLITRK3/SEMA3A/FEZ2/ITGA4/FOXD1/ISL2/PLPPR4/ALCAM/TWF2/PLXNB1/NGFR/NECTIN1/ULK1/PLXNB2/FZD3/PLXNA1/CDH4/ARHGDIA",280
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","87/7167","106/15013",2.3690430575365e-13,2.8428516690438e-10,2.25233651533365e-10,"RPL23/TRAM1L1/RPS19/RPS27A/RPS15A/RPS20/RPS12/RPL7/RPS27/RPS23/RPS6/TRAM2/RPL37/RPS17/RPL30/RPLP2/SNAP25-AS1/RPLP0/RPS3/RPL17/RPL21/RPLP1/RPL36A/RPL23A/RPL31/RPL37A/RPS16/RPS21/RPS4X/RPL34/RPL26/RPL27A/RPL12/RPS18/RPS25/RPS14/RPS29/RPL3/SIL1/RPS3A/RPSA/RPS8/SSR3/RPL27/RPL5/RPL22/RPL14/RPL7A/RPS7/RPL11/RPL13A/RPL10A/RPL19/RPS13/RPL41/UBA52/RPL9/RPS10/BHLHE40-AS1/RPL32/RPL8/SEC61A2/RPS15/RPL39/RPL15/RPL10/RPL18A/RPS24/RPL36/RPS11/RPL4/RPL35A/RPL6/RPL18/RPL24/SSR2/TRAM1/SEC61A1/RPL28/RPS2/RPL29/RPS9/RPS28/RPL35/RPL38/RPS5/RPS26",87
"GO:0045047","GO:0045047","protein targeting to ER","93/7167","116/15013",5.41721934722024e-13,5.41721934722023e-10,4.29195834597308e-10,"RPL23/TRAM1L1/RPS19/RPS27A/RPS15A/RPS20/RPS12/RPL7/RPS27/RPS23/RPS6/TRAM2/RPL37/RPS17/RPL30/RPLP2/SNAP25-AS1/RPLP0/RPS3/RPL17/RPL21/RPLP1/RPL36A/RPL23A/RPL31/RPL37A/RPS16/RPS21/RPS4X/RPL34/RPL26/RPL27A/CHMP4A/RPL12/RPS18/RPS25/RPS14/RPS29/RPL3/RPS3A/RPSA/RPS8/SSR3/RPL27/RPL5/RPL22/RPL14/RPL7A/RPS7/RPL11/RPL13A/RPL10A/RPL19/RPS13/RPL41/UBA52/RPL9/RPS10/BHLHE40-AS1/RPL32/RPL8/SEC61A2/RPS15/RPL39/RPL15/RPL10/HSPA5/RPL18A/RPS24/RPL36/RPS11/RPL4/RPL35A/RPL6/RPL18/RPL24/TRAM1/SGTB/EDEM1/SEC61A1/SPCS3/RPL28/RPS2/SEC61G/RPL29/RPS9/RPS28/RPL35/MAN1A1/RPL38/RPS5/SRPRB/RPS26",93
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","244/7167","373/15013",2.54668717057801e-12,2.18287471763829e-09,1.72944951313237e-09,"P2RX3/CNR1/SNAP25/SNCG/MAPT/NSG1/RAB3A/SYT7/SNCAIP/FGF14/DCC/SYT4/SYT1/GRM2/STX1A/GRIK1/MEF2C/CPLX2/CNTNAP4/NRXN1/MAPK8IP2/RAB26/CELF4/ASIC1/CHRNB4/RIMS3/NTRK1/MAP1A/SYP/CALB1/CAMK2B/UNC13A/CHRNA3/SLC4A8/STX1B/CACNA1B/SEPTIN5/SORCS2/CACNG4/ITPR3/PTPRD/PLCB4/GRIK2/SHANK3/GRIA1/RIMS2/CACNG3/PLCL1/KIT/SYT11/ABHD6/SIPA1L1/GRIK3/ATAD1/RIMS1/CPLX1/CPEB3/RASGRF1/CHRNB2/TMEM25/PREPL/STXBP1/RIMS4/ABR/DISC1/MPP2/CLSTN3/CHRNA5/SYN3/PPFIA2/ERC2/CACNB3/NMU/SHISA7/CDK5/CBLN1/P2RY1/DGKB/NLGN1/SH3GL1/STAR/NLGN4Y/ITGB1/DGKI/NPTX2/NTNG2/LZTS1/PLK2/CALM3/ZDHHC12/SLC24A1/SLC4A10/CDC20/PPP3CB/RNF19A/PRRT2/NPTXR/AKAP12/LRRC4/MME/APBA1/FAM107A/CACNG2/MAP1B/PRKCZ/JPH4/SLC7A11/PLCB1/SLC8A3/SYNGAP1/HRH1/KMO/GRIK5/NCS1/GRM4/RPL22/CYFIP1/PINK1/TUBB2B/STX4/VAMP2/PRKAR2B/NPY2R/LRRC4C/CCL2/SRGN/GRIN3A/PTPRA/NRG3/NPTN/RASGRF2/YWHAG/PTPRS/CLSTN2/ARC/STX3/DRD2/EPHB2/BACE1/ACHE/RAB8A/RAPGEF2/CD38/GRIN2A/SLC8A2/GRIN1/LRP8/YTHDF1/CX3CL1/DGKZ/CDH11/EDN1/SERPINE2/RAP1B/AKAP9/SYN1/CRTC1/PTN/CRHR2/NCDN/CNIH2/SRF/AKAP5/ADGRB1/PPP3CA/SYT12/ADCYAP1/ARRB2/RHOT1/ATP1A2/DLG4/GRID1/PLCL2/ADRA1A/DLGAP1/MCTP1/ADRB2/BRSK1/ADRA2A/MECP2/GSK3B/NPAS4/NEUROD2/CSPG5/RAP1A/BCHE/NPTX1/NTRK2/USP46/FLOT1/FYN/SYNGR1/JPH3/EGR2/OPHN1/TMEM108/RAB11A/SORCS3/CUX2/DLGAP3/LAMA2/PRKN/GNAI2/P2RX1/APOE/KCNB1/PICK1/BCR/BTBD9/CX3CR1/CLN3/SLC24A2/STXBP5L/PCDH17/CAMK2A/CACNG7/PRRT1/LRRK2/FABP5/LRRTM2/CYP46A1/GRM3/NFATC4/GRM7/SHANK2/CACNB2/NEURL1/DGKE/DTNBP1/CACNG5/PTK2B/ERC1/TSHZ3/NGF/TACR2/KRAS/LRFN2/IQSEC2/PXK/TAC1/SCGN/CDH1/CACNA1A/PRKCG",244
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","243/7167","372/15013",3.53553508374675e-12,2.65165131281006e-09,2.1008521629211e-09,"P2RX3/CNR1/SNAP25/SNCG/MAPT/NSG1/RAB3A/SYT7/SNCAIP/FGF14/DCC/SYT4/SYT1/GRM2/STX1A/GRIK1/MEF2C/CPLX2/CNTNAP4/NRXN1/MAPK8IP2/RAB26/CELF4/ASIC1/CHRNB4/RIMS3/NTRK1/MAP1A/SYP/CALB1/CAMK2B/UNC13A/CHRNA3/SLC4A8/STX1B/CACNA1B/SEPTIN5/SORCS2/CACNG4/ITPR3/PTPRD/PLCB4/GRIK2/SHANK3/GRIA1/RIMS2/CACNG3/PLCL1/KIT/SYT11/ABHD6/SIPA1L1/GRIK3/ATAD1/RIMS1/CPLX1/CPEB3/RASGRF1/CHRNB2/TMEM25/PREPL/STXBP1/RIMS4/ABR/DISC1/MPP2/CLSTN3/CHRNA5/SYN3/PPFIA2/ERC2/CACNB3/NMU/SHISA7/CDK5/CBLN1/P2RY1/DGKB/NLGN1/SH3GL1/STAR/NLGN4Y/ITGB1/DGKI/NPTX2/NTNG2/LZTS1/PLK2/CALM3/ZDHHC12/SLC24A1/SLC4A10/CDC20/PPP3CB/RNF19A/PRRT2/NPTXR/AKAP12/LRRC4/MME/APBA1/FAM107A/CACNG2/MAP1B/PRKCZ/JPH4/SLC7A11/PLCB1/SLC8A3/SYNGAP1/HRH1/KMO/GRIK5/NCS1/GRM4/RPL22/CYFIP1/PINK1/TUBB2B/STX4/VAMP2/PRKAR2B/NPY2R/LRRC4C/CCL2/SRGN/GRIN3A/PTPRA/NRG3/NPTN/RASGRF2/YWHAG/PTPRS/CLSTN2/ARC/STX3/DRD2/EPHB2/BACE1/ACHE/RAB8A/RAPGEF2/CD38/GRIN2A/SLC8A2/GRIN1/LRP8/YTHDF1/CX3CL1/DGKZ/CDH11/EDN1/SERPINE2/RAP1B/AKAP9/SYN1/CRTC1/PTN/CRHR2/NCDN/CNIH2/SRF/AKAP5/ADGRB1/PPP3CA/SYT12/ADCYAP1/ARRB2/RHOT1/ATP1A2/DLG4/GRID1/PLCL2/ADRA1A/DLGAP1/MCTP1/ADRB2/BRSK1/ADRA2A/MECP2/GSK3B/NPAS4/NEUROD2/CSPG5/RAP1A/BCHE/NPTX1/NTRK2/USP46/FLOT1/FYN/SYNGR1/JPH3/EGR2/OPHN1/TMEM108/RAB11A/SORCS3/CUX2/DLGAP3/LAMA2/PRKN/GNAI2/P2RX1/APOE/KCNB1/PICK1/BCR/BTBD9/CX3CR1/CLN3/SLC24A2/STXBP5L/PCDH17/CAMK2A/CACNG7/PRRT1/LRRK2/LRRTM2/CYP46A1/GRM3/NFATC4/GRM7/SHANK2/CACNB2/NEURL1/DGKE/DTNBP1/CACNG5/PTK2B/ERC1/TSHZ3/NGF/TACR2/KRAS/LRFN2/IQSEC2/PXK/TAC1/SCGN/CDH1/CACNA1A/PRKCG",243
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","94/7167","120/15013",5.17905876565513e-12,3.45270584377008e-09,2.73551220885363e-09,"RPL23/TRAM1L1/RPS19/RPS27A/RPS15A/RPS20/RYR2/RPS12/RPL7/RPS27/RPS23/RPS6/TRAM2/RPL37/RPS17/RPL30/RPLP2/SNAP25-AS1/RPLP0/RPS3/RPL17/RPL21/RPLP1/RPL36A/RPL23A/RPL31/RPL37A/RPS16/RPS21/RPS4X/RPL34/RPL26/RPL27A/CHMP4A/RPL12/RPS18/RPS25/RPS14/RPS29/RPL3/RPS3A/RPSA/RPS8/SSR3/RPL27/RPL5/RPL22/RPL14/RPL7A/RPS7/RPL11/RPL13A/RPL10A/RPL19/RPS13/RPL41/UBA52/RPL9/RPS10/BHLHE40-AS1/RPL32/RPL8/SEC61A2/RPS15/RPL39/RPL15/RPL10/HSPA5/RPL18A/RPS24/RPL36/RPS11/RPL4/RPL35A/RPL6/RPL18/RPL24/TRAM1/SGTB/EDEM1/SEC61A1/SPCS3/RPL28/RPS2/SEC61G/RPL29/RPS9/RPS28/RPL35/MAN1A1/RPL38/RPS5/SRPRB/RPS26",94
"GO:0034329","GO:0034329","cell junction assembly","252/7167","393/15013",2.63150151966215e-11,1.57890091179729e-08,1.2509327223994e-08,"CLASP2/MDGA1/NRP1/ROBO2/GAP43/LGI2/LIMCH1/CLDN7/TJP1/POU4F1/FN1/THSD1/CD9/GPM6A/F11R/JAM3/MEF2C/NRXN1/EPB41L3/ADGRB3/DMTN/GJA4/NTRK1/RHOC/SEMA4D/RAB13/APOD/PTPRO/DNER/LAMC1/ADD2/PTPRD/SLITRK1/SHANK3/EFNB2/SDC4/EPHA2/BSN/SPOCK2/TEK/FBLIM1/TRIP6/PPM1F/CTNND2/PDLIM5/KDR/NRXN2/PLXND1/FGF13/SNCA/CAV1/SDK1/CHRNB2/ITGA5/APC/THBS1/ESAM/WNT5A/PALS1/CDH12/MMP14/VCL/DST/MARVELD2/PEAK1/DNM3/CLSTN3/GJA1/RHOA/LHFPL4/CDK5/CBLN1/PHLDB2/TPBG/LRFN5/LIMS1/SFRP1/GABRB3/FLRT2/SPTBN2/OCLN/SLITRK6/MARVELD3/NLGN1/CDH18/NLGN4Y/AJUBA/ACVRL1/CTNNA1/GPM6B/NTNG2/PECAM1/TLN1/ZDHHC12/CDH7/LRRC4/SLITRK4/NRCAM/CDH22/ARMCX5-GPRASP2/FAM107A/GPRASP2/CDH5/MAP1B/PKP4/CLDN5/ITGA2/ILK/FLRT3/CBFB/CLDN10/SNAI1/PARD6A/CNTN5/LRFN1/RAB29/LRTM2/IKBKB/RYK/MYO1C/TRPV4/PKN2/PTPRA/NPTN/ACTN1/EPHA3/PRKCI/PTPRS/LRRN3/CDH10/LRP4/ACE/CLSTN2/CLDN4/DRD2/WDR1/EPHB2/DLG1/NPHP1/ACHE/RAMP2/LRRN1/CTTN/RAPGEF2/ADGRL3/TESK2/TBCD/FZD5/ECT2/CDH11/S100A10/RCC2/RAP1B/GJC1/SLIT1/KIRREL3/PARD6B/CDH9/IQGAP1/GPC4/ITGA6/DLG5/CDC42/LRRTM1/GPBAR1/RAPGEF1/CDH8/PCLO/ARHGEF7/SRF/PARD3/GREM1/COL17A1/ADGRB1/CLDN6/PTK2/CORO1C/LRRTM3/EPB41L5/DSCAM/IL1RAPL1/DLC1/BCL2/GPC6/LRP1/GJA5/CDH6/CDH24/CAMSAP3/MECP2/NPAS4/THY1/ASIC2/PDPK1/RAP1A/MPP7/NTRK2/PRKCA/WNT11/FLOT1/SMAD3/EIF4G1/IL1RAP/AMIGO1/OPHN1/ADGRL2/CUX2/PRKCH/VEGFA/PTPRK/LIM2/WHAMM/BCR/FERMT2/VASP/RAC1/FRMPD2/PCDH17/SLK/LDB1/ROCK2/SLITRK5/LRRTM2/ZNF703/DUSP22/SHANK2/EPHA7/MYO9A/SLC9A1/COL16A1/AGT/PTK2B/PAK2/RHOD/LSR/CLDN15/FLCN/SLITRK3/CLASP1/ACTN3/TLN2/RUNX1/CLDN9/RAB17/AGRN/NR1H4/PLXNB1/CDH1/IGFN1/NECTIN1/OBSL1/PLXNB2",252
