"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","88/6780","101/15013",1.22836934892759e-18,5.44194416182817e-15,4.43310477256953e-15,"TRAM1L1/RPL23/RPS27A/RPS19/TRAM2/RPS20/RPS15A/RPL30/RPS23/RPS12/RPL7/RPS27/RPL37/RPL17/RPLP2/RPS6/RPS3/RPS16/SNAP25-AS1/RPS17/RPLP1/RPS21/RPL34/RPL26/RPLP0/RPL31/RPL21/RPL37A/SSR3/RPL23A/RPS4X/RPL12/RPL14/RPS14/BHLHE40-AS1/RPL5/RPS3A/RPL36A/RPL27/RPL27A/RPS18/RPL10A/RPS13/RPS8/RPL9/RPL3/RPL11/UBA52/RPS7/RPSA/RPS10/RPL19/SEC61A2/RPL7A/RPS29/RPL32/RPL15/RPS25/RPL13A/RPL22/RPL10/RPL28/RPS11/RPL41/RPL18A/RPL4/RPL35A/RPL18/RPL39/RPL6/RPL36/SEC61A1/RPS24/RPS28/RPL8/RPL29/TRAM1/RPL24/RPS9/RPL35/RPS15/RPS26/SEC61B/RPS5/RPL38/RN7SL2/RPS2/RN7SL1",88
"GO:0061564","GO:0061564","axon development","306/6780","472/15013",1.97235507807732e-18,5.44194416182817e-15,4.43310477256953e-15,"NRP1/CNR1/MAPT/ZSWIM5/UNC5B/MAP6/KIF5A/RAB3A/NFASC/ROBO2/SHC1/RET/GAP43/RUFY3/SEMA3G/GDI1/NFIB/ATL1/POU4F1/FN1/SEMA6D/PAK3/L1CAM/ATP8A2/JAM3/EFNA1/RHOG/DCC/DCLK1/NTRK1/RTN4RL1/LHX9/NRXN1/KIF5C/NCAM1/NEFL/KLF7/SCARF1/DOK5/CRMP1/SEMA4D/GRB2/GDNF/APOD/MAP1A/GATA3/PTPRO/CERS2/EFNB2/DRGX/UNC5A/GDF7/ROBO4/NRP2/EPHA5/PLXND1/CDK5R1/VASH2/SHANK3/EPHA6/FGF13/DRAXIN/TRPV2/NREP/SLITRK1/SPTBN4/WNT5A/EPHA2/POU4F2/MYCBP2/ISLR2/SEMA4G/SH3KBP1/SEMA6A/NEFH/UNC5D/DISC1/STXBP1/FLRT2/CTNNA2/CHRNB2/VAX1/SHOX2/CNTN2/LHX1/GRN/ZFYVE27/HDAC6/SEMA3F/NTNG2/EPHA10/ROBO1/EFNA4/EPHB4/SIPA1L1/APBB1/PRKCQ/DPYSL2/EPHA8/VCL/RNF165/SLITRK6/TUBB3/NUMB/USP33/SPART/CDK5/TRAK2/B3GNT2/SPTBN2/MAP1B/GBX2/TRIM46/LAMB2/FKBP1B/NRCAM/RHOA/RTN4/FLRT3/SLIT2/CTNNA1/EVL/ISL1/CCK/LRTM2/STMN1/GPC1/SLC9A6/TUBB2B/DLX5/SVBP/SLITRK4/PPP3CB/RND2/SKIL/GFRA2/OLFM1/POU4F3/NPTN/NEXN/NOTCH1/UST/BRSK2/NIBAN2/ADGRB1/TSPO/LHX4/RANBP9/SYNGAP1/TIAM2/RYK/SLIT1/KLF4/PTPRS/RAC2/LINGO1/SPTA1/MAP2K1/FOXB1/LRRC4C/CTTN/SEMA4F/YTHDF1/ANK3/SEMA3C/EPHB2/SLIT3/TNC/NUMBL/NOTCH2/DOK6/RHOH/EPHA3/SPTBN1/RAB8A/RTN4RL2/CHN1/DPYSL5/CAMSAP2/C12orf57/TTL/LIMK1/SMO/PTPRA/LMX1A/DRD2/SRF/CYFIP1/MAP2/GFRA1/PARD3/DYNLT1/LAMA5/BMP7/ADARB1/CDKL5/CHODL/INPP5F/NOTCH3/RAC1/FYN/PTPRM/MAP3K13/TNN/SEMA5B/NPTX1/TIAM1/NKX6-1/GAB1/BRSK1/RAB11A/FLOT1/ZDHHC17/RELN/SPP1/LRP1/POU3F2/PHOX2B/PLXNA3/NCAM2/METRN/RPL24/CDH11/SLITRK3/KREMEN1/BCL2/CRABP2/THY1/ANOS1/NGF/FGFR2/VAX2/PTK2/NIN/TRIM32/GLI3/PAX2/TMEFF1/ZSWIM6/PARD6B/EPHB1/ISL2/NRXN3/SLITRK5/SPAST/DHFR/CXCR4/FEZ2/NTRK2/MAPK3/ULK2/FZD3/HSP90AA1/EPHA7/FSTL4/PALLD/TRIO/WNT3/PTN/NEO1/AMIGO1/DSCAM/B4GALT5/EZR/ITGA4/LAMA2/OPHN1/PLXNA1/LAMA3/NGFR/B4GALT6/PLPPR4/SEMA4C/S100A6/SEMA4B/DOK1/SEMA6B/GSK3B/RAP1GAP/VASP/EFNB3/CDKL3/AUTS2/BOC/DDR1/SCN1B/BMPR1B/PRKCA/SEMA4A/PLXNB3/SEMA3B/DVL1/ALCAM/KIAA0319/ZSWIM4/NTNG1/PAK2/VSTM2L/IGSF9/NECTIN1/FOXD1/FEZ1/ARHGAP35/RPS6KA5/TNR/ULK1",306
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","91/6780","106/15013",2.72233324753785e-18,5.44194416182817e-15,4.43310477256953e-15,"TRAM1L1/RPL23/RPS27A/RPS19/TRAM2/RPS20/RPS15A/RPL30/RPS23/RPS12/RPL7/RPS27/RPL37/RPL17/RPLP2/RPS6/RPS3/RPS16/SNAP25-AS1/RPS17/RPLP1/RPS21/RPL34/RPL26/RPLP0/RPL31/RPL21/RPL37A/SSR3/RPL23A/RPS4X/RPL12/RPL14/RPS14/BHLHE40-AS1/RPL5/RPS3A/RPL36A/RPL27/RPL27A/RPS18/RPL10A/RPS13/RPS8/RPL9/RPL3/RPL11/UBA52/RPS7/RPSA/RPS10/SIL1/RPL19/SEC61A2/RPL7A/RPS29/RPL32/RPL15/RPS25/RPL13A/RPL22/RPL10/SSR2/RPL28/RPS11/RPL41/RPL18A/RPL4/RPL35A/RPL18/RPL39/RPL6/RPL36/SEC61A1/RPS24/RPS28/RPL8/RPL29/TRAM1/RPL24/RPS9/RPL35/SSR1/RPS15/RPS26/SEC61B/RPS5/RPL38/RN7SL2/RPS2/RN7SL1",91
"GO:0007409","GO:0007409","axonogenesis","281/6780","431/15013",1.63960448781395e-17,2.45817702835506e-14,2.00247484945909e-14,"NRP1/MAPT/ZSWIM5/UNC5B/MAP6/KIF5A/RAB3A/NFASC/ROBO2/SHC1/RET/GAP43/RUFY3/SEMA3G/GDI1/NFIB/ATL1/POU4F1/FN1/SEMA6D/PAK3/L1CAM/ATP8A2/EFNA1/RHOG/DCC/DCLK1/NTRK1/LHX9/NRXN1/KIF5C/NCAM1/NEFL/KLF7/DOK5/CRMP1/SEMA4D/GRB2/GDNF/MAP1A/GATA3/PTPRO/EFNB2/DRGX/UNC5A/GDF7/ROBO4/NRP2/EPHA5/PLXND1/CDK5R1/SHANK3/EPHA6/FGF13/DRAXIN/TRPV2/SLITRK1/SPTBN4/WNT5A/EPHA2/POU4F2/MYCBP2/ISLR2/SEMA4G/SH3KBP1/SEMA6A/NEFH/UNC5D/DISC1/STXBP1/FLRT2/CTNNA2/CHRNB2/VAX1/SHOX2/CNTN2/LHX1/ZFYVE27/HDAC6/SEMA3F/NTNG2/EPHA10/ROBO1/EFNA4/EPHB4/SIPA1L1/APBB1/PRKCQ/DPYSL2/EPHA8/VCL/RNF165/SLITRK6/TUBB3/NUMB/USP33/SPART/CDK5/TRAK2/B3GNT2/SPTBN2/MAP1B/GBX2/TRIM46/LAMB2/NRCAM/RHOA/RTN4/FLRT3/SLIT2/EVL/ISL1/CCK/LRTM2/STMN1/GPC1/SLC9A6/TUBB2B/DLX5/SLITRK4/PPP3CB/RND2/SKIL/GFRA2/OLFM1/POU4F3/NPTN/NEXN/NOTCH1/UST/BRSK2/NIBAN2/ADGRB1/LHX4/RANBP9/SYNGAP1/TIAM2/RYK/SLIT1/PTPRS/RAC2/LINGO1/SPTA1/MAP2K1/FOXB1/LRRC4C/CTTN/SEMA4F/YTHDF1/ANK3/SEMA3C/EPHB2/SLIT3/NUMBL/NOTCH2/DOK6/RHOH/EPHA3/SPTBN1/RAB8A/CHN1/DPYSL5/C12orf57/TTL/LIMK1/SMO/PTPRA/LMX1A/DRD2/SRF/CYFIP1/MAP2/GFRA1/PARD3/LAMA5/BMP7/ADARB1/CDKL5/CHODL/NOTCH3/RAC1/FYN/PTPRM/MAP3K13/TNN/SEMA5B/NPTX1/TIAM1/NKX6-1/GAB1/BRSK1/RAB11A/FLOT1/ZDHHC17/RELN/SPP1/LRP1/POU3F2/PHOX2B/PLXNA3/METRN/RPL24/CDH11/SLITRK3/BCL2/CRABP2/THY1/ANOS1/NGF/FGFR2/VAX2/PTK2/NIN/GLI3/PAX2/TMEFF1/ZSWIM6/PARD6B/EPHB1/ISL2/NRXN3/SLITRK5/SPAST/CXCR4/FEZ2/NTRK2/MAPK3/ULK2/FZD3/HSP90AA1/EPHA7/FSTL4/PALLD/TRIO/WNT3/NEO1/AMIGO1/DSCAM/B4GALT5/EZR/ITGA4/LAMA2/OPHN1/PLXNA1/LAMA3/NGFR/B4GALT6/PLPPR4/SEMA4C/S100A6/SEMA4B/DOK1/SEMA6B/GSK3B/RAP1GAP/VASP/EFNB3/CDKL3/AUTS2/BOC/SCN1B/BMPR1B/PRKCA/SEMA4A/PLXNB3/SEMA3B/DVL1/ALCAM/KIAA0319/ZSWIM4/NTNG1/PAK2/VSTM2L/IGSF9/NECTIN1/FOXD1/FEZ1/ARHGAP35/RPS6KA5/TNR/ULK1",281
"GO:0045047","GO:0045047","protein targeting to ER","95/6780","116/15013",3.23967766747206e-16,3.88566939436598e-13,3.16533559047112e-13,"TRAM1L1/RPL23/RPS27A/RPS19/TRAM2/RPS20/RPS15A/RPL30/RPS23/RPS12/RPL7/RPS27/RPL37/RPL17/RPLP2/RPS6/RPS3/RPS16/SNAP25-AS1/CHMP4A/RPS17/RPLP1/RPS21/RPL34/RPL26/RPLP0/RPL31/RPL21/RPL37A/SSR3/RPL23A/RPS4X/RPL12/RPL14/RPS14/BHLHE40-AS1/RPL5/RPS3A/RPL36A/RPL27/RPL27A/RPS18/RPL10A/RPS13/RPS8/RPL9/RPL3/RPL11/UBA52/RPS7/RPSA/RPS10/RPL19/SEC61A2/RPL7A/RPS29/RPL32/RPL15/RPS25/RPL13A/RPL22/RPL10/EDEM1/RPL28/RPS11/RPL41/RPL18A/RPL4/RPL35A/RPL18/RPL39/HSPA5/RPL6/SGTB/RPL36/SEC61A1/MAN1A1/RPS24/RPS28/RPL8/RPL29/TRAM1/RPL24/RPS9/SEC61G/SPCS3/RPL35/RPS15/RPS26/SEC61B/RPS5/RPL38/RN7SL2/RPS2/RN7SL1",95
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","243/6780","373/15013",2.96500961665809e-15,2.96352711184976e-12,2.41414204051056e-12,"P2RX3/CNR1/SNAP25/SNCG/MAPT/SNCAIP/NSG1/RAB3A/SYT7/MEF2C/FGF14/SYT4/SYT1/GRM2/STX1A/GRIK1/DCC/RAB26/NTRK1/CNTNAP4/CPLX2/CELF4/RIMS3/NRXN1/MAPK8IP2/CHRNB4/ASIC1/SYP/CAMK2B/SEPTIN5/UNC13A/SLC4A8/CALB1/PLCB4/MAP1A/SORCS2/CHRNA3/CACNA1B/CACNG3/ITPR3/STX1B/GRIK2/SHANK3/CACNG4/PTPRD/ABHD6/RIMS2/KIT/CPLX1/ABR/GRIK3/RASGRF1/PLCL1/SYT11/SYN3/CPEB3/DISC1/TMEM25/RIMS4/STXBP1/ERC2/P2RY1/CLSTN3/ATAD1/CHRNB2/PREPL/NMU/CHRNA5/NTNG2/RIMS1/GRIA1/SHISA7/PLK2/NLGN4Y/SIPA1L1/PPFIA2/PRRT2/MPP2/CACNB3/DGKB/CDK5/KMO/MAP1B/PRKCZ/NLGN1/GRM4/GRIK5/ITGB1/LZTS1/SLC4A10/STX4/CALM3/GRIN3A/LRRC4/AKAP12/CBLN1/JPH4/RNF19A/SH3GL1/EDN1/VAMP2/NCS1/DGKI/STAR/NPTX2/TUBB2B/HRH1/CACNG2/PPP3CB/APBA1/SRGN/NPTXR/SLC24A1/SLC8A3/NPTN/RAPGEF2/ADGRB1/NRG3/SYNGAP1/GRIN2A/ACHE/FAM107A/PTPRS/LRRC4C/ZDHHC12/YTHDF1/ARRB2/EPHB2/PRKAR2B/PLCB1/RPL22/SYN1/SYT12/YWHAG/RAB8A/SYNGR1/BACE1/CLSTN2/AKAP9/CX3CR1/PPP3CA/RASGRF2/DGKZ/CNIH2/PTPRA/DRD2/SRF/NCDN/SLC8A2/CCL2/RAP1B/LRP8/CYFIP1/MECP2/SLC7A11/NEUROD2/SERPINE2/GRIN1/ADCYAP1/BCHE/STX3/RHOT1/LRRK2/SHANK2/MME/CRTC1/RAP1A/FYN/BTBD9/NPTX1/SLC24A2/MCTP1/BRSK1/ERC1/RAB11A/FLOT1/RELN/FMR1/PINK1/JPH3/SORCS3/USP46/CYP46A1/CDH11/DLG4/NGF/DLGAP3/DLGAP1/DTNBP1/BCR/CD38/PCDH17/ADRA2A/CSPG5/PLCL2/NPY2R/PRKN/SLC30A1/NTRK2/GRID1/KCNB1/IL1B/CACNG7/KRAS/CAMK2A/AKAP5/TSHZ3/PICK1/CUX2/PTN/DGKE/LRFN2/CACNA1A/LAMA2/OPHN1/CDC20/CLN3/ARC/RGS4/PXK/P2RX1/GSK3B/NEURL1/CX3CL1/PRKCG/STXBP5L/RAPSN/LRRTM2/FABP5/TMEM108/GRIN2D/DMPK/GNAI2/TAC1/DVL1/VGF/NTNG1/ADRB2/NTF3/DLGAP2/TNR/ADRA1A/PTK2B",243
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","96/6780","120/15013",4.23669455893602e-15,3.2527248468559e-12,2.64972767335567e-12,"TRAM1L1/RPL23/RPS27A/RPS19/TRAM2/RPS20/RPS15A/RPL30/RPS23/RPS12/RYR2/RPL7/RPS27/RPL37/RPL17/RPLP2/RPS6/RPS3/RPS16/SNAP25-AS1/CHMP4A/RPS17/RPLP1/RPS21/RPL34/RPL26/RPLP0/RPL31/RPL21/RPL37A/SSR3/RPL23A/RPS4X/RPL12/RPL14/RPS14/BHLHE40-AS1/RPL5/RPS3A/RPL36A/RPL27/RPL27A/RPS18/RPL10A/RPS13/RPS8/RPL9/RPL3/RPL11/UBA52/RPS7/RPSA/RPS10/RPL19/SEC61A2/RPL7A/RPS29/RPL32/RPL15/RPS25/RPL13A/RPL22/RPL10/EDEM1/RPL28/RPS11/RPL41/RPL18A/RPL4/RPL35A/RPL18/RPL39/HSPA5/RPL6/SGTB/RPL36/SEC61A1/MAN1A1/RPS24/RPS28/RPL8/RPL29/TRAM1/RPL24/RPS9/SEC61G/SPCS3/RPL35/RPS15/RPS26/SEC61B/RPS5/RPL38/RN7SL2/RPS2/RN7SL1",96
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","242/6780","372/15013",4.33913603048978e-15,3.2527248468559e-12,2.64972767335567e-12,"P2RX3/CNR1/SNAP25/SNCG/MAPT/SNCAIP/NSG1/RAB3A/SYT7/MEF2C/FGF14/SYT4/SYT1/GRM2/STX1A/GRIK1/DCC/RAB26/NTRK1/CNTNAP4/CPLX2/CELF4/RIMS3/NRXN1/MAPK8IP2/CHRNB4/ASIC1/SYP/CAMK2B/SEPTIN5/UNC13A/SLC4A8/CALB1/PLCB4/MAP1A/SORCS2/CHRNA3/CACNA1B/CACNG3/ITPR3/STX1B/GRIK2/SHANK3/CACNG4/PTPRD/ABHD6/RIMS2/KIT/CPLX1/ABR/GRIK3/RASGRF1/PLCL1/SYT11/SYN3/CPEB3/DISC1/TMEM25/RIMS4/STXBP1/ERC2/P2RY1/CLSTN3/ATAD1/CHRNB2/PREPL/NMU/CHRNA5/NTNG2/RIMS1/GRIA1/SHISA7/PLK2/NLGN4Y/SIPA1L1/PPFIA2/PRRT2/MPP2/CACNB3/DGKB/CDK5/KMO/MAP1B/PRKCZ/NLGN1/GRM4/GRIK5/ITGB1/LZTS1/SLC4A10/STX4/CALM3/GRIN3A/LRRC4/AKAP12/CBLN1/JPH4/RNF19A/SH3GL1/EDN1/VAMP2/NCS1/DGKI/STAR/NPTX2/TUBB2B/HRH1/CACNG2/PPP3CB/APBA1/SRGN/NPTXR/SLC24A1/SLC8A3/NPTN/RAPGEF2/ADGRB1/NRG3/SYNGAP1/GRIN2A/ACHE/FAM107A/PTPRS/LRRC4C/ZDHHC12/YTHDF1/ARRB2/EPHB2/PRKAR2B/PLCB1/RPL22/SYN1/SYT12/YWHAG/RAB8A/SYNGR1/BACE1/CLSTN2/AKAP9/CX3CR1/PPP3CA/RASGRF2/DGKZ/CNIH2/PTPRA/DRD2/SRF/NCDN/SLC8A2/CCL2/RAP1B/LRP8/CYFIP1/MECP2/SLC7A11/NEUROD2/SERPINE2/GRIN1/ADCYAP1/BCHE/STX3/RHOT1/LRRK2/SHANK2/MME/CRTC1/RAP1A/FYN/BTBD9/NPTX1/SLC24A2/MCTP1/BRSK1/ERC1/RAB11A/FLOT1/RELN/FMR1/PINK1/JPH3/SORCS3/USP46/CYP46A1/CDH11/DLG4/NGF/DLGAP3/DLGAP1/DTNBP1/BCR/CD38/PCDH17/ADRA2A/CSPG5/PLCL2/NPY2R/PRKN/SLC30A1/NTRK2/GRID1/KCNB1/IL1B/CACNG7/KRAS/CAMK2A/AKAP5/TSHZ3/PICK1/CUX2/PTN/DGKE/LRFN2/CACNA1A/LAMA2/OPHN1/CDC20/CLN3/ARC/RGS4/PXK/P2RX1/GSK3B/NEURL1/CX3CL1/PRKCG/STXBP5L/RAPSN/LRRTM2/TMEM108/GRIN2D/DMPK/GNAI2/TAC1/DVL1/VGF/NTNG1/ADRB2/NTF3/DLGAP2/TNR/ADRA1A/PTK2B",242
"GO:0034329","GO:0034329","cell junction assembly","247/6780","393/15013",7.08017090831745e-13,4.71775388190886e-10,3.84316645444459e-10,"NRP1/THSD1/LIMCH1/CLASP2/MDGA1/ROBO2/LGI2/MEF2C/GAP43/CD9/TEK/TJP1/POU4F1/KDR/FN1/F11R/ESAM/GPM6A/JAM3/PECAM1/NTRK1/DMTN/ADGRB3/EPB41L3/NRXN1/GJA4/SEMA4D/RHOC/APOD/PTPRO/CDH5/DNER/EFNB2/CAV1/ADD2/LAMC1/PEAK1/RAB13/CLDN7/PLXND1/PPM1F/SHANK3/SNCA/SPOCK2/PTPRD/NRXN2/FGF13/CTNND2/MMP14/BSN/SLITRK1/WNT5A/EPHA2/FBLIM1/LIMS1/LHFPL4/ITGA5/ACVRL1/FLRT2/CLDN5/CLSTN3/TLN1/CHRNB2/APC/MARVELD3/NTNG2/DNM3/CDH12/NLGN4Y/PKP4/VCL/SLITRK6/PDLIM5/DST/LRFN5/SDC4/SDK1/PALS1/CDK5/TRIP6/SPTBN2/MAP1B/NLGN1/CDH18/RAMP2/PHLDB2/CDH22/CDH7/NRCAM/COL17A1/RHOA/FLRT3/CTNNA1/ILK/LRRC4/LRFN1/CBLN1/THBS1/GPM6B/IKBKB/LRTM2/ITGA6/PARD6A/MARVELD2/GABRB3/ARMCX5-GPRASP2/SLITRK4/DLG1/GJA1/TPBG/GPRASP2/CDH10/NPTN/SNAI1/RAPGEF2/CNTN5/ADGRB1/KIRREL3/RYK/SFRP1/ACHE/FAM107A/SLIT1/PTPRS/CTTN/CBFB/ZDHHC12/LRRTM1/NPHP1/DLC1/EPHB2/OCLN/WDR1/IL1RAP/RAPGEF1/EPHA3/STRN/GPBAR1/ARHGEF7/LRRN3/CLSTN2/GREM1/GJA5/PRKCI/PTPRA/DRD2/SRF/LRRN1/AJUBA/PKN2/PRKCH/MPP7/RAP1B/MYO1C/ACTN1/MECP2/PARD3/PCLO/LRRTM3/GJC1/TRPV4/TBCD/ITGA2/ZNF703/SLK/SHANK2/RAP1A/RAC1/IQGAP1/CDH24/RUNX1/CDC42/CORO1C/EIF4G1/CDH9/PTPRK/OBSL1/COL16A1/FLOT1/LRP1/RCC2/DLG5/DUSP22/CDH11/SLITRK3/BCL2/CAMSAP3/S100A10/THY1/WHAMM/ADGRL3/ASIC2/PDPK1/PTK2/GPC4/BCR/PCDH17/CDH6/AGT/RAB29/PARD6B/WNT11/EPHB1/ROCK2/SLITRK5/CLDN9/NTRK2/SLC9A1/ACE/IL1B/FRMPD2/TLN2/EPHA7/CUX2/LRFN4/CLASP1/AMIGO1/DSCAM/RHOD/OPHN1/LAMA3/GPC6/GABRG2/VASP/SMAD3/CLDN4/CLDN10/EPB41L5/LRRTM2/PRKCA/CLDN15/SEMA4A/NR1H4/SRPX2/DVL1/PAK2/AGRN/NECTIN1/CDH8/LIM2/ARHGAP6/PCDHB10/ECT2/PCDHB14/FLCN/CLDN6/PTK2B",247
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","91/6780","120/15013",6.51335652387243e-12,3.36277765641297e-09,2.7393786548384e-09,"PABPC1/RPL23/RPS27A/RPS19/RPS20/RPS15A/RPL30/RPS23/RPS12/RPL7/RPS27/RPL37/RPL17/RPLP2/RPS6/RPS3/RPS16/EIF3E/RPS17/RPLP1/RPS21/RPL34/RPL26/RPLP0/RPL31/RPL21/MAGOHB/RPL37A/RPL23A/RPS4X/RPL12/RPL14/RPS14/RPL5/RPS3A/RPL36A/RPL27/RPL27A/RPS18/RPL10A/RPS13/RPS8/PNRC2/RPL9/RPL3/RPL11/UBA52/RPS7/RPSA/RPS10/RPL19/GSPT1/RPL7A/RPS29/RPL32/RPL15/ETF1/RPS25/RPL13A/RPL22/RPL10/DCP2/RPL28/RPS11/RPL41/RPL18A/RPL4/RPL35A/RPL18/RPL39/RPL6/RBM8A/RPL36/MAGOH/CTIF/PPP2R2A/RPS24/RPS28/EIF4G1/RPL8/RPL29/RPL24/RPS9/RPL35/RPS15/RPS26/PPP2CA/RPS5/RPL38/PYM1/RPS2",91
