"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","88/7001","101/15013",1.48867241690077e-17,8.9320345014046e-14,7.50917707556681e-14,"TRAM1L1/RPL23/RPS19/RPS12/RPS20/RPS27A/RPL7/RPS23/RPS27/RPS15A/RPS6/RPL30/RPL37/RPS3/SNAP25-AS1/RPS17/RPLP2/RPL17/RPS16/RPLP0/RPL34/RPL21/RPL26/RPL31/RPLP1/RPS4X/RPS14/RPL3/RPL27A/RPL12/RPL37A/RPL36A/RPL23A/RPS18/RPS21/TRAM2/RPL11/RPS25/RPL14/RPL5/SSR3/RPSA/RPS8/RPL13A/RPS3A/RPS29/RPL27/RPL15/RPL10A/RPS10/RPL32/RPL19/RPS13/RPL7A/UBA52/RPL22/RPL9/RPS7/RPS11/BHLHE40-AS1/RPL18A/SEC61A2/RPL10/RPL41/RPL39/RPL4/RPS24/RPL18/RPL35A/RPL8/RPL28/RPL36/RPL6/RPL24/RPL29/TRAM1/RPS9/RPS28/RPS15/RPS26/SEC61A1/RPL35/RPL38/RPS5/SEC61B/RPS2/RN7SL2/RN7SL1",88
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","91/7001","106/15013",3.44786095796961e-17,1.03435828739088e-13,8.69586826873177e-14,"TRAM1L1/RPL23/RPS19/RPS12/RPS20/RPS27A/RPL7/RPS23/RPS27/RPS15A/RPS6/RPL30/RPL37/RPS3/SNAP25-AS1/RPS17/RPLP2/RPL17/RPS16/RPLP0/RPL34/RPL21/RPL26/RPL31/RPLP1/RPS4X/RPS14/RPL3/SIL1/RPL27A/RPL12/RPL37A/RPL36A/RPL23A/RPS18/RPS21/TRAM2/RPL11/RPS25/RPL14/RPL5/SSR3/RPSA/RPS8/RPL13A/RPS3A/RPS29/RPL27/RPL15/RPL10A/RPS10/RPL32/RPL19/RPS13/RPL7A/UBA52/RPL22/RPL9/RPS7/RPS11/BHLHE40-AS1/RPL18A/SEC61A2/RPL10/RPL41/RPL39/SSR2/RPL4/RPS24/RPL18/RPL35A/RPL8/RPL28/RPL36/RPL6/RPL24/RPL29/TRAM1/RPS9/RPS28/RPS15/RPS26/SEC61A1/SSR1/RPL35/RPL38/RPS5/SEC61B/RPS2/RN7SL2/RN7SL1",91
"GO:0045047","GO:0045047","protein targeting to ER","95/7001","116/15013",3.98285764159583e-15,7.30997736406688e-12,6.14551079449272e-12,"TRAM1L1/RPL23/RPS19/RPS12/RPS20/RPS27A/RPL7/RPS23/RPS27/RPS15A/RPS6/RPL30/RPL37/RPS3/SNAP25-AS1/RPS17/RPLP2/RPL17/RPS16/RPLP0/RPL34/RPL21/RPL26/RPL31/RPLP1/RPS4X/RPS14/RPL3/RPL27A/RPL12/RPL37A/RPL36A/RPL23A/RPS18/RPS21/TRAM2/RPL11/RPS25/CHMP4A/RPL14/RPL5/SSR3/RPSA/RPS8/RPL13A/RPS3A/RPS29/RPL27/RPL15/RPL10A/RPS10/RPL32/RPL19/RPS13/RPL7A/UBA52/RPL22/RPL9/RPS7/RPS11/BHLHE40-AS1/RPL18A/SEC61A2/RPL10/RPL41/RPL39/RPL4/RPS24/RPL18/RPL35A/RPL8/RPL28/RPL36/RPL6/RPL24/RPL29/TRAM1/RPS9/HSPA5/RPS28/RPS15/SPCS3/RPS26/EDEM1/SGTB/MAN1A1/SEC61A1/SEC61G/RPL35/RPL38/RPS5/SEC61B/RPS2/RN7SL2/RN7SL1",95
"GO:0061564","GO:0061564","axon development","303/7001","472/15013",4.87331824271125e-15,7.30997736406688e-12,6.14551079449272e-12,"CNR1/NRP1/MAPT/UNC5B/ZSWIM5/MAP6/RAB3A/SHC1/KIF5A/ROBO2/SEMA3G/NFASC/RET/GAP43/NFIB/RUFY3/GDI1/ATL1/POU4F1/PAK3/SEMA6D/EFNA1/FN1/L1CAM/DCLK1/JAM3/ATP8A2/RHOG/DCC/NRXN1/KIF5C/KLF7/NTRK1/NEFL/CRMP1/LHX9/NCAM1/RTN4RL1/DOK5/GRB2/GDNF/MAP1A/SEMA4D/GATA3/CDK5R1/DRGX/CERS2/PTPRO/SLITRK6/SCARF1/EPHA6/VASH2/UNC5A/PLXND1/FGF13/EFNB2/SHANK3/DRAXIN/EPHB4/GDF7/NREP/EFNA4/EPHA5/MYCBP2/WNT5A/SEMA4G/SPTBN4/ISLR2/SIPA1L1/ROBO1/SLITRK1/ZFYVE27/POU4F2/CHRNB2/ROBO4/STXBP1/CNTN2/SHOX2/APOD/GRN/DPYSL2/UNC5D/NRP2/TRPV2/NEFH/FLRT2/LAMB2/USP33/TRAK2/EPHA2/LHX1/DISC1/CTNNA2/SPTBN2/RTN4/APBB1/EPHA8/EVL/RNF165/SEMA3F/TNC/SPART/RHOA/VAX1/SLIT2/VCL/SKIL/RHOH/SEMA6A/EPHA10/NTNG2/PRKCQ/NUMB/MAP1B/CDK5/CTNNA1/HDAC6/B3GNT2/TRIM46/SH3KBP1/NRCAM/UST/TUBB3/DLX5/FLRT3/SLC9A6/OLFM1/NOTCH2/PPP3CB/SLITRK4/ISL1/RAC2/STMN1/FKBP1B/SVBP/GBX2/LHX4/CHN1/SPTA1/CCK/TIAM2/BRSK2/TSPO/RND2/LRTM2/GPC1/NPTN/TUBB2B/GFRA2/LMX1A/CAMSAP2/ANK3/NEXN/CYFIP1/LINGO1/INPP5F/LRRC4C/DRD2/NUMBL/DOK6/SEMA4F/SLIT1/POU4F3/RYK/PTPRS/SLIT3/DPYSL5/LIMK1/EPHA3/RANBP9/NOTCH1/RAB8A/KLF4/ADGRB1/PARD3/NIN/EPHB2/PTPRA/MAP2/RTN4RL2/SMO/PTPRM/VAX2/SEMA3C/C12orf57/CTTN/SPAST/FOXB1/SRF/LAMA5/SEMA5B/NGF/PHOX2B/DHFR/METRN/RPL24/GSK3B/MAPK3/GFRA1/NOTCH3/ADARB1/DYNLT1/SPTBN1/ULK2/FYN/BMPR1B/MAP2K1/YTHDF1/NKX6-1/POU3F2/RAB11A/NGFR/CDH11/LRP1/SPTAN1/MAP3K13/EZR/NIBAN2/SLITRK5/DOK1/PLXNA3/PTN/FLOT1/EPHB1/CHODL/GLI3/CDKL5/DSCAM/THY1/OPHN1/NRXN3/NCAM2/TRIM32/KREMEN1/BMP7/SEMA3B/SLITRK3/TTL/CRABP2/TNN/DAB1/NTRK2/SCN1B/TMEFF1/GAB1/GRB7/RAC1/S100A6/BOC/SEMA6B/FGFR2/BRSK1/EPHA7/CXCR4/PAX2/SEMA4B/SEMA4C/CASP3/HSP90AA1/BCL2/ITGA4/PAK2/NPTX1/RPS6KA5/AFG3L2/B4GALT5/LAMA2/LRP4/CDKL3/FZD3/ANOS1/VASP/FOLR1/EFNB3/AMIGO1/TIAM1/PARD6B/PLPPR4/FOXD1/PLXNB3/IGSF9/NDN/ARHGAP35/SYNGAP1/ZSWIM6/EGR2/DDR1/MCF2/FEZ2/DOCK7/ALCAM/FEZ1/PLXNA1/FEZF2/TNFRSF21/SHC3/TWF2/ULK1/NEO1/PLP1/NLGN3/SEMA6C/SEMA5A",303
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","96/7001","120/15013",4.96847427583088e-14,5.96216913099705e-11,5.01240604837506e-11,"TRAM1L1/RPL23/RPS19/RPS12/RPS20/RPS27A/RPL7/RPS23/RPS27/RPS15A/RPS6/RPL30/RPL37/RPS3/RYR2/SNAP25-AS1/RPS17/RPLP2/RPL17/RPS16/RPLP0/RPL34/RPL21/RPL26/RPL31/RPLP1/RPS4X/RPS14/RPL3/RPL27A/RPL12/RPL37A/RPL36A/RPL23A/RPS18/RPS21/TRAM2/RPL11/RPS25/CHMP4A/RPL14/RPL5/SSR3/RPSA/RPS8/RPL13A/RPS3A/RPS29/RPL27/RPL15/RPL10A/RPS10/RPL32/RPL19/RPS13/RPL7A/UBA52/RPL22/RPL9/RPS7/RPS11/BHLHE40-AS1/RPL18A/SEC61A2/RPL10/RPL41/RPL39/RPL4/RPS24/RPL18/RPL35A/RPL8/RPL28/RPL36/RPL6/RPL24/RPL29/TRAM1/RPS9/HSPA5/RPS28/RPS15/SPCS3/RPS26/EDEM1/SGTB/MAN1A1/SEC61A1/SEC61G/RPL35/RPL38/RPS5/SEC61B/RPS2/RN7SL2/RN7SL1",96
"GO:0007409","GO:0007409","axonogenesis","274/7001","431/15013",5.49093368021388e-13,4.92342578513542e-10,4.13913269515244e-10,"NRP1/MAPT/UNC5B/ZSWIM5/MAP6/RAB3A/SHC1/KIF5A/ROBO2/SEMA3G/NFASC/RET/GAP43/NFIB/RUFY3/GDI1/ATL1/POU4F1/PAK3/SEMA6D/EFNA1/FN1/L1CAM/DCLK1/ATP8A2/RHOG/DCC/NRXN1/KIF5C/KLF7/NTRK1/NEFL/CRMP1/LHX9/NCAM1/DOK5/GRB2/GDNF/MAP1A/SEMA4D/GATA3/CDK5R1/DRGX/PTPRO/SLITRK6/EPHA6/UNC5A/PLXND1/FGF13/EFNB2/SHANK3/DRAXIN/EPHB4/GDF7/EFNA4/EPHA5/MYCBP2/WNT5A/SEMA4G/SPTBN4/ISLR2/SIPA1L1/ROBO1/SLITRK1/ZFYVE27/POU4F2/CHRNB2/ROBO4/STXBP1/CNTN2/SHOX2/DPYSL2/UNC5D/NRP2/TRPV2/NEFH/FLRT2/LAMB2/USP33/TRAK2/EPHA2/LHX1/DISC1/CTNNA2/SPTBN2/RTN4/APBB1/EPHA8/EVL/RNF165/SEMA3F/SPART/RHOA/VAX1/SLIT2/VCL/SKIL/RHOH/SEMA6A/EPHA10/NTNG2/PRKCQ/NUMB/MAP1B/CDK5/HDAC6/B3GNT2/TRIM46/SH3KBP1/NRCAM/UST/TUBB3/DLX5/FLRT3/SLC9A6/OLFM1/NOTCH2/PPP3CB/SLITRK4/ISL1/RAC2/STMN1/GBX2/LHX4/CHN1/SPTA1/CCK/TIAM2/BRSK2/RND2/LRTM2/GPC1/NPTN/TUBB2B/GFRA2/LMX1A/ANK3/NEXN/CYFIP1/LINGO1/LRRC4C/DRD2/NUMBL/DOK6/SEMA4F/SLIT1/POU4F3/RYK/PTPRS/SLIT3/DPYSL5/LIMK1/EPHA3/RANBP9/NOTCH1/RAB8A/ADGRB1/PARD3/NIN/EPHB2/PTPRA/MAP2/SMO/PTPRM/VAX2/SEMA3C/C12orf57/CTTN/SPAST/FOXB1/SRF/LAMA5/SEMA5B/NGF/PHOX2B/METRN/RPL24/GSK3B/MAPK3/GFRA1/NOTCH3/ADARB1/SPTBN1/ULK2/FYN/BMPR1B/MAP2K1/YTHDF1/NKX6-1/POU3F2/RAB11A/NGFR/CDH11/LRP1/SPTAN1/MAP3K13/EZR/NIBAN2/SLITRK5/DOK1/PLXNA3/FLOT1/EPHB1/CHODL/GLI3/CDKL5/DSCAM/THY1/OPHN1/NRXN3/BMP7/SEMA3B/SLITRK3/TTL/CRABP2/TNN/DAB1/NTRK2/SCN1B/TMEFF1/GAB1/GRB7/RAC1/S100A6/BOC/SEMA6B/FGFR2/BRSK1/EPHA7/CXCR4/PAX2/SEMA4B/SEMA4C/HSP90AA1/BCL2/ITGA4/PAK2/NPTX1/RPS6KA5/AFG3L2/B4GALT5/LAMA2/LRP4/CDKL3/FZD3/ANOS1/VASP/EFNB3/AMIGO1/TIAM1/PARD6B/PLPPR4/FOXD1/PLXNB3/IGSF9/NDN/ARHGAP35/SYNGAP1/ZSWIM6/EGR2/MCF2/FEZ2/DOCK7/ALCAM/FEZ1/PLXNA1/FEZF2/SHC3/TWF2/ULK1/NEO1/NLGN3/SEMA6C/SEMA5A",274
"GO:0034329","GO:0034329","cell junction assembly","253/7001","393/15013",5.74399674932465e-13,4.92342578513542e-10,4.13913269515244e-10,"NRP1/CLASP2/LIMCH1/THSD1/MDGA1/ROBO2/LGI2/GAP43/MEF2C/POU4F1/F11R/CD9/FN1/TJP1/EPB41L3/KDR/TEK/JAM3/GPM6A/NRXN1/ESAM/DMTN/NTRK1/ADGRB3/PECAM1/RHOC/SEMA4D/GJA4/RAB13/DNER/PTPRO/SLITRK6/PPM1F/ADD2/CLDN7/BSN/SPOCK2/PTPRD/PLXND1/FGF13/EFNB2/SHANK3/CDH5/CTNND2/SNCA/NRXN2/CAV1/WNT5A/MMP14/APC/LAMC1/SLITRK1/CHRNB2/FBLIM1/ACVRL1/ITGA5/APOD/PEAK1/FLRT2/DST/SDC4/EPHA2/CDH12/MARVELD3/LHFPL4/PDLIM5/SPTBN2/SDK1/DNM3/TRIP6/RHOA/CLDN5/LRFN1/CDH18/VCL/PALS1/LRRC4/GABRB3/NTNG2/MAP1B/RAMP2/CDK5/PKP4/CTNNA1/CLSTN3/NLGN1/ARMCX5-GPRASP2/CDH22/NRCAM/LIMS1/LRFN5/ILK/CBLN1/NLGN4Y/TLN1/FAM107A/CDH7/FLRT3/PRKCI/SFRP1/GJA1/PHLDB2/SLITRK4/CNTN5/MARVELD2/CBFB/PARD6A/TPBG/SNAI1/GPM6B/OCLN/ACHE/GPRASP2/ZDHHC12/LRTM2/NPTN/THBS1/DRD2/SLIT1/ITGA2/LRRN1/RYK/PTPRS/EPHA3/RAB29/PKN2/ARHGEF7/ADGRB1/RAP1B/PARD3/COL17A1/LRRN3/TRPV4/EPHB2/PTPRA/LRRTM3/CTTN/LRRTM1/DLC1/ADGRL3/SRF/WDR1/PCLO/KIRREL3/TESK2/RAPGEF1/MYO1C/CDH10/CLSTN2/GPBAR1/RCC2/PRKCH/DLG5/IQGAP1/ASIC2/CLDN10/MPP7/DLG1/NPHP1/RAP1A/TLN2/IKBKB/CAMSAP3/RUNX1/GJA5/PTPRK/ITGA6/STRN/CDH11/LRP1/PCDHB14/CDC42/PCDH17/SLITRK5/FLOT1/GPC6/EPHB1/CDH24/DSCAM/THY1/OPHN1/SHANK2/ZNF703/ARHGAP6/AJUBA/MECP2/CORO1C/MYO9A/CDH9/PCDHB4/PDPK1/TBCD/SLITRK3/NTRK2/BCR/RAPGEF2/PCDHB16/PCDHB10/RAC1/IL1RAP/ECT2/GJC1/FRMPD2/EPHA7/CDH8/LRFN4/CUX2/ACE/OBSL1/GREM1/S100A10/CLASP1/SLK/EPB41L5/PCDHB9/ROCK2/BCL2/PAK2/PIP5K1A/SMAD3/FARP1/LRP4/RHOD/VASP/DUSP22/AMIGO1/COL16A1/PCDHB5/EEF2K/PARD6B/CLDN6/LRRTM2/CLDN9/SLC9A1/WHAMM/GABRG2/CDHR3/ACTN1/CLDN23/PKP2/ACTN2/FLCN/PIP5K1C/NR1H4/PTK2B/PCDHB13/CDH6/ARVCF/FMN1/GHRL/NLGN3/CDH20/GPC4",253
"GO:0006612","GO:0006612","protein targeting to membrane","142/7001","201/15013",3.50516807311663e-12,2.62887605483748e-09,2.21010071136512e-09,"GDI1/DMTN/CDK5R1/CIB1/PRNP/HPCA/NACAD/TRAM1L1/RPL23/ZDHHC22/RPS19/RPS12/RPS20/RPS27A/RPL7/ARL6/RPS23/RPS27/TCAF1/RPS15A/RPS6/RPL30/RPL37/CACNB3/RPS3/SNAP25-AS1/RPS17/RPLP2/RPL17/GOLGA7B/RPS16/RPLP0/CDK5/RPL34/RPL21/C2CD5/RPL26/RPL31/ZDHHC11B/RPLP1/RPS4X/RPS14/RPL3/SIL1/RPL27A/RPL12/RPL37A/RPL36A/RPL23A/RPS18/ZDHHC23/STOM/PRKCI/RPS21/TRAM2/RPL11/RPS25/CHMP4A/RPL14/RPL5/CACNG2/SSR3/RPSA/RPS8/RPL13A/RPS3A/RPS29/RPL27/RPL15/RPL10A/RPS10/RPL32/RPL19/RPS13/RPL7A/ZDHHC12/UBA52/RPL22/RPL9/PDZK1/ANK3/RPS7/RPS11/BHLHE40-AS1/RPL18A/PEX5/SEC61A2/RPL10/RPL41/RPL39/SSR2/RPL4/PARD3/RPS24/SDCBP/RPL18/RPL35A/RPL8/RPL28/RPL36/PEX16/RPL6/MYO1C/RPL24/ZDHHC15/RPL29/FYN/NACA/TRAM1/RPS9/HSPA5/RPS28/MICALL1/RTP1/MTCL1/RPS15/ITGB2/RPS26/SGTB/SEC61A1/RAB8B/SEC61G/KCNB1/SSR1/RPL35/RPL38/RPS5/SEC61B/HRAS/ZDHHC9/ZDHHC24/ZDHHC18/ZDHHC21/AQP11/RTP3/RPS2/CEMIP/RN7SL2/ICMT/VPS37D/NACA4P/RN7SL1",142
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","238/7001","373/15013",1.08548528647625e-11,7.23656857650831e-09,6.08379589800489e-09,"P2RX3/CNR1/SNAP25/MAPT/SNCG/NSG1/RAB3A/SNCAIP/SYT7/FGF14/MEF2C/SYT4/STX1A/GRM2/SYT1/DCC/GRIK1/RAB26/RIMS3/NRXN1/MAPK8IP2/CPLX2/NTRK1/CNTNAP4/CELF4/ITPR3/UNC13A/CHRNB4/PLCB4/ASIC1/SYP/SEPTIN5/MAP1A/CAMK2B/CALB1/CHRNA3/KIT/CACNA1B/CACNG4/SORCS2/SLC4A8/GRIK2/STX1B/CACNG3/PTPRD/SHANK3/ABHD6/PLCL1/RIMS2/CPLX1/ABR/CPEB3/TMEM25/SIPA1L1/RIMS4/SYT11/CHRNB2/SLC24A1/RIMS1/STXBP1/PREPL/GRIK3/SYN3/RASGRF1/CHRNA5/ERC2/ATAD1/CACNB3/DISC1/LZTS1/NMU/SHISA7/PPFIA2/GRIN3A/MPP2/LRRC4/PLK2/DGKB/GRIA1/NTNG2/PRRT2/MAP1B/CDK5/KMO/CLSTN3/NLGN1/RNF19A/STAR/SLC4A10/CBLN1/PRKCZ/NLGN4Y/NPTX2/FAM107A/STX4/NPTXR/CALM3/PPP3CB/JPH4/GRIK5/P2RY1/CACNG2/NCS1/SH3GL1/APBA1/VAMP2/SLC8A3/ACHE/NRG3/ZDHHC12/GRM4/NPTN/PLCB1/RPL22/TUBB2B/DGKI/ITGB1/CYFIP1/LRRC4C/DRD2/BACE1/CCL2/HRH1/PTPRS/SRGN/SYN1/GRIN2A/PRKAR2B/PINK1/RAB8A/GRIN1/ADGRB1/RAP1B/SYT12/EPHB2/PTPRA/AKAP9/LRP8/RASGRF2/YWHAG/SLC8A2/DGKZ/CRTC1/SRF/DLGAP3/CDC20/ADRA2A/NGF/SYNGR1/AKAP12/SLC7A11/CLSTN2/PPP3CA/GSK3B/CX3CL1/ARRB2/NCDN/RHOT1/CD38/PLCL2/FYN/NEUROD2/RAP1A/CNIH2/ADCYAP1/NPY2R/DLGAP1/YTHDF1/RAB11A/CDH11/EDN1/PCDH17/JPH3/GRID1/PTN/FLOT1/CX3CR1/DLG4/OPHN1/SLC24A2/BCHE/SHANK2/CSPG5/MECP2/MME/CLN3/RAPSN/STXBP5L/PRRT1/KRAS/SORCS3/NTRK2/BCR/RAPGEF2/CYP46A1/LRFN2/KCNB1/BTBD9/GRM3/STX3/BRSK1/USP46/TAC1/CUX2/CACNB2/SERPINE2/CACNG7/DTNBP1/HRAS/ERC1/PRKN/NPTX1/CACNA1A/LAMA2/P2RX1/LRRTM2/SQSTM1/NEURL1/TMEM108/DMPK/PRKCG/FABP5/MCTP1/GRM6/SYNGAP1/EGR2/DLGAP2/VGF/PTK2B/PICK1/CALB2/CAMK2A/IQSEC2/NRGN/GHRL/NFATC4/NLGN3/DGKE",238
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","237/7001","372/15013",1.5050973944492e-11,9.03058436669521e-09,7.59202812021113e-09,"P2RX3/CNR1/SNAP25/MAPT/SNCG/NSG1/RAB3A/SNCAIP/SYT7/FGF14/MEF2C/SYT4/STX1A/GRM2/SYT1/DCC/GRIK1/RAB26/RIMS3/NRXN1/MAPK8IP2/CPLX2/NTRK1/CNTNAP4/CELF4/ITPR3/UNC13A/CHRNB4/PLCB4/ASIC1/SYP/SEPTIN5/MAP1A/CAMK2B/CALB1/CHRNA3/KIT/CACNA1B/CACNG4/SORCS2/SLC4A8/GRIK2/STX1B/CACNG3/PTPRD/SHANK3/ABHD6/PLCL1/RIMS2/CPLX1/ABR/CPEB3/TMEM25/SIPA1L1/RIMS4/SYT11/CHRNB2/SLC24A1/RIMS1/STXBP1/PREPL/GRIK3/SYN3/RASGRF1/CHRNA5/ERC2/ATAD1/CACNB3/DISC1/LZTS1/NMU/SHISA7/PPFIA2/GRIN3A/MPP2/LRRC4/PLK2/DGKB/GRIA1/NTNG2/PRRT2/MAP1B/CDK5/KMO/CLSTN3/NLGN1/RNF19A/STAR/SLC4A10/CBLN1/PRKCZ/NLGN4Y/NPTX2/FAM107A/STX4/NPTXR/CALM3/PPP3CB/JPH4/GRIK5/P2RY1/CACNG2/NCS1/SH3GL1/APBA1/VAMP2/SLC8A3/ACHE/NRG3/ZDHHC12/GRM4/NPTN/PLCB1/RPL22/TUBB2B/DGKI/ITGB1/CYFIP1/LRRC4C/DRD2/BACE1/CCL2/HRH1/PTPRS/SRGN/SYN1/GRIN2A/PRKAR2B/PINK1/RAB8A/GRIN1/ADGRB1/RAP1B/SYT12/EPHB2/PTPRA/AKAP9/LRP8/RASGRF2/YWHAG/SLC8A2/DGKZ/CRTC1/SRF/DLGAP3/CDC20/ADRA2A/NGF/SYNGR1/AKAP12/SLC7A11/CLSTN2/PPP3CA/GSK3B/CX3CL1/ARRB2/NCDN/RHOT1/CD38/PLCL2/FYN/NEUROD2/RAP1A/CNIH2/ADCYAP1/NPY2R/DLGAP1/YTHDF1/RAB11A/CDH11/EDN1/PCDH17/JPH3/GRID1/PTN/FLOT1/CX3CR1/DLG4/OPHN1/SLC24A2/BCHE/SHANK2/CSPG5/MECP2/MME/CLN3/RAPSN/STXBP5L/PRRT1/KRAS/SORCS3/NTRK2/BCR/RAPGEF2/CYP46A1/LRFN2/KCNB1/BTBD9/GRM3/STX3/BRSK1/USP46/TAC1/CUX2/CACNB2/SERPINE2/CACNG7/DTNBP1/HRAS/ERC1/PRKN/NPTX1/CACNA1A/LAMA2/P2RX1/LRRTM2/SQSTM1/NEURL1/TMEM108/DMPK/PRKCG/MCTP1/GRM6/SYNGAP1/EGR2/DLGAP2/VGF/PTK2B/PICK1/CALB2/CAMK2A/IQSEC2/NRGN/GHRL/NFATC4/NLGN3/DGKE",237
