"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","32/242","372/15013",8.32745312706563e-15,1.20147151926569e-11,1.04533341036751e-11,"P2RX3/CNR1/RAB26/SNAP25/SYT4/NTRK1/SYT7/ASIC1/CPLX2/CELF4/GRM2/CAMK2B/MAPT/SORCS2/GRM4/GRIK3/NPTX1/SYP/FGF14/CLSTN2/SYT1/PPFIA2/NSG1/CHRNB4/PTPRD/DGKB/RAB3A/CNTNAP4/RIMS4/CPLX1/GRIK2/EPHB2",32
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","32/242","373/15013",8.98296463002383e-15,1.20147151926569e-11,1.04533341036751e-11,"P2RX3/CNR1/RAB26/SNAP25/SYT4/NTRK1/SYT7/ASIC1/CPLX2/CELF4/GRM2/CAMK2B/MAPT/SORCS2/GRM4/GRIK3/NPTX1/SYP/FGF14/CLSTN2/SYT1/PPFIA2/NSG1/CHRNB4/PTPRD/DGKB/RAB3A/CNTNAP4/RIMS4/CPLX1/GRIK2/EPHB2",32
"GO:0006836","GO:0006836","neurotransmitter transport","21/242","193/15013",5.11749386623619e-12,4.56309869739394e-09,3.97009787306955e-09,"CNR1/SNAP25/SYT4/SYT7/SLC17A6/ASIC1/CPLX2/GDNF/SLC17A7/GRM4/CADPS/SYP/SYT1/PPFIA2/SLC6A15/CHRNB4/SLC18A3/RAB3A/RIMS4/CPLX1/SLC6A8",21
"GO:0050808","GO:0050808","synapse organization","26/242","387/15013",7.75197311482535e-10,4.32503987886293e-07,3.76297616219024e-07,"ROBO2/NTRK1/MDGA1/CAMK2B/GDNF/CAMKV/MAPT/INA/CNTN2/PCDH8/GAP43/CTNND2/CLSTN2/POU4F1/LRRTM3/L1CAM/PPFIA2/WNT7B/CHRNA1/PTPRD/NEFL/DGKB/RAB3A/CDH9/SRCIN1/EPHB2",26
"GO:0021516","GO:0021516","dorsal spinal cord development","7/242","14/15013",8.08418668946342e-10,4.32503987886293e-07,3.76297616219024e-07,"MDGA1/DRGX/GDNF/PROX1/DRAXIN/DAAM2/UNCX",7
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","18/242","184/15013",1.03090446469647e-09,4.59611573843845e-07,3.9988241604279e-07,"CNR1/SNAP25/SYT7/SLC17A6/CPLX2/HPCA/SLC17A7/CADPS/SYP/FGF14/SYT1/GSG1L/PPFIA2/NSG1/SNAP91/RAB3A/RIMS4/CPLX1",18
"GO:0007269","GO:0007269","neurotransmitter secretion","16/242","146/15013",1.70876093788413e-09,5.71366938605005e-07,4.97114530744974e-07,"CNR1/SNAP25/SYT4/SYT7/ASIC1/CPLX2/GRM4/CADPS/SYP/SYT1/PPFIA2/CHRNB4/SLC18A3/RAB3A/RIMS4/CPLX1",16
"GO:0099643","GO:0099643","signal release from synapse","16/242","146/15013",1.70876093788413e-09,5.71366938605005e-07,4.97114530744974e-07,"CNR1/SNAP25/SYT4/SYT7/ASIC1/CPLX2/GRM4/CADPS/SYP/SYT1/PPFIA2/CHRNB4/SLC18A3/RAB3A/RIMS4/CPLX1",16
"GO:0061564","GO:0061564","axon development","27/242","472/15013",1.16406024411997e-08,3.4598457255788e-06,3.01021894707515e-06,"KIF5A/CNR1/ROBO2/NTRK1/MAP6/DRGX/RET/GDNF/MAPT/NPTX1/KIF5C/CNTN2/UNC5A/GAP43/RTN4RL1/SHOX2/EPHA5/POU4F1/EPHA3/L1CAM/LHX9/RNF165/DRAXIN/NEFL/SKIL/RAB3A/EPHB2",27
"GO:0023061","GO:0023061","signal release","25/242","418/15013",1.75367849543432e-08,4.5835026895005e-06,3.98785024947786e-06,"CNR1/SNAP25/SYT4/NEUROD1/SYT7/ASIC1/CPLX2/GDNF/CHRNA4/GRM4/CADPS/CAMK2N1/GCK/SYP/EPHA5/SYT1/CHGA/PPFIA2/CHRNB4/SLC18A3/RAB3A/ADCY5/RIMS4/CPLX1/PTPRN",25
