"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","GO:0042391","regulation of membrane potential","27/295","394/15013",1.78356989487336e-08,2.39974789472884e-05,2.20810826125558e-05,"SCN2A/SCN7A/PTPN3/ANK2/NLGN4X/GRIK3/SCN8A/KCNH5/RIMS4/CNIH3/CACNB4/GPD1L/CBLN1/KCNH8/SLC25A27/KCNE3/GABRB2/SLC4A3/SCN2B/CNR1/NLGN1/ASIC2/CHRNA4/KCNC2/SCN3A/ASIC1/SLC1A6",27
"GO:0043010","GO:0043010","camera-type eye development","22/295","274/15013",2.43267372757905e-08,2.39974789472884e-05,2.20810826125558e-05,"DCX/RET/MAB21L2/NHS/HIF1A/SLC17A6/NEUROD1/WNT7B/CRB1/EPHB2/PAX6/RAX/TUB/SDK2/CDON/HES5/JAG1/LAMA1/PDE6C/PITX2/FZD5/SOX11",22
"GO:0048880","GO:0048880","sensory system development","24/295","327/15013",3.13832538574166e-08,2.39974789472884e-05,2.20810826125558e-05,"DCX/RET/MAB21L2/NHS/HIF1A/SLC17A6/NEUROD1/WNT7B/CRB1/EPHB2/PAX6/RAX/TUB/SDK2/CDON/HES5/JAG1/SEMA3A/SOX2/LAMA1/PDE6C/PITX2/FZD5/SOX11",24
"GO:0007411","GO:0007411","axon guidance","21/295","256/15013",3.52888997481567e-08,2.39974789472884e-05,2.20810826125558e-05,"ROBO2/KIF5A/RET/RHOG/RNF165/KIF5C/NTN4/OTX2/GFRA1/EPHB2/FEZF1/PLXNB1/ANOS1/PLXNC1/SEMA3A/EFNA5/LAMA1/DPYSL5/FOXG1/FEZF2/IGSF9",21
"GO:0097485","GO:0097485","neuron projection guidance","21/295","257/15013",3.77556308170051e-08,2.39974789472884e-05,2.20810826125558e-05,"ROBO2/KIF5A/RET/RHOG/RNF165/KIF5C/NTN4/OTX2/GFRA1/EPHB2/FEZF1/PLXNB1/ANOS1/PLXNC1/SEMA3A/EFNA5/LAMA1/DPYSL5/FOXG1/FEZF2/IGSF9",21
"GO:0001654","GO:0001654","eye development","23/295","318/15013",8.0292610206221e-08,4.2528319205895e-05,3.91320826584003e-05,"DCX/RET/MAB21L2/NHS/HIF1A/SLC17A6/NEUROD1/WNT7B/CRB1/EPHB2/PAX6/RAX/TUB/SDK2/CDON/HES5/JAG1/SOX2/LAMA1/PDE6C/PITX2/FZD5/SOX11",23
"GO:0150063","GO:0150063","visual system development","23/295","321/15013",9.52424279444044e-08,4.32400622867596e-05,3.97869871924143e-05,"DCX/RET/MAB21L2/NHS/HIF1A/SLC17A6/NEUROD1/WNT7B/CRB1/EPHB2/PAX6/RAX/TUB/SDK2/CDON/HES5/JAG1/SOX2/LAMA1/PDE6C/PITX2/FZD5/SOX11",23
"GO:0007423","GO:0007423","sensory organ development","28/295","467/15013",1.62590471879434e-07,6.4589064954105e-05,5.94310961685614e-05,"DCX/RET/MAB21L2/NHS/HIF1A/SLC17A6/NEUROD1/WNT7B/CRB1/EPHB2/PAX6/RAX/SLC25A27/TUB/SDK2/GABRB2/CDON/HES5/JAG1/BMPER/SOX2/LAMA1/FOXG1/PDE6C/PITX2/FZD5/SOX11/CXCL14",28
"GO:0030900","GO:0030900","forebrain development","22/295","325/15013",4.85094470415814e-07,0.000171292247442384,0.000157613150738612,"ROBO2/POU3F1/ADGRG1/AVPR1A/HIF1A/NEUROD1/OTX2/WNT7B/EPHB2/FEZF1/RAX/LHX5/CDON/HES5/SLC4A10/SEMA3A/SOX2/FOXG1/FEZF2/KCNC2/PITX2/RTN4RL1",22
"GO:0001508","GO:0001508","action potential","13/295","126/15013",1.17288666752769e-06,0.000372743382940301,0.000342976753935993,"SCN2A/SCN7A/PTPN3/ANK2/SCN8A/GPD1L/KCNE3/SLC4A3/SCN2B/CNR1/CHRNA4/KCNC2/SCN3A",13
"GO:0061564","GO:0061564","axon development","26/295","472/15013",2.25321998382887e-06,0.000650975737146195,0.000598989963165224,"SLITRK1/ROBO2/KIF5A/RET/JAM3/RHOG/RNF165/KIF5C/NTN4/OTX2/GFRA1/EPHB2/PARD6B/FEZF1/PLXNB1/ANOS1/PLXNC1/SEMA3A/EFNA5/LAMA1/DPYSL5/CNR1/FOXG1/FEZF2/RTN4RL1/IGSF9",26
"GO:0086010","GO:0086010","membrane depolarization during action potential","7/295","33/15013",2.90318005411453e-06,0.000768858850997997,0.000707459139502645,"SCN2A/SCN7A/PTPN3/ANK2/SCN8A/SCN2B/SCN3A",7
"GO:0034765","GO:0034765","regulation of ion transmembrane transport","26/295","481/15013",3.1826716673115e-06,0.00077804081220892,0.000715907845489179,"SCN2A/SCN7A/PTPN3/KCNC1/PRNP/ANK2/SCN8A/KCNH5/CNIH3/CACNB4/GPD1L/DPP10/EPHB2/KCNH8/CACNG7/HECW1/SLC25A27/KCNE3/KCNJ13/TERT/SCN2B/KCNQ2/NLGN1/ASIC2/KCNC2/SCN3A",26
"GO:0051899","GO:0051899","membrane depolarization","10/295","80/15013",3.60249790694166e-06,0.000813512688645855,0.000748547000449865,"SCN2A/SCN7A/PTPN3/ANK2/SCN8A/CACNB4/GPD1L/SCN2B/CHRNA4/SCN3A",10
"GO:0034762","GO:0034762","regulation of transmembrane transport","26/295","486/15013",3.83973893319315e-06,0.000813512688645855,0.000748547000449865,"SCN2A/SCN7A/PTPN3/KCNC1/PRNP/ANK2/SCN8A/KCNH5/CNIH3/CACNB4/GPD1L/DPP10/EPHB2/KCNH8/CACNG7/HECW1/SLC25A27/KCNE3/KCNJ13/TERT/SCN2B/KCNQ2/NLGN1/ASIC2/KCNC2/SCN3A",26
"GO:0007416","GO:0007416","synapse assembly","14/295","163/15013",4.12166857878321e-06,0.000818666421460815,0.000753289165253931,"SLITRK1/ROBO2/NLGN4X/EPHB2/CBLN1/SDK2/PCDH17/GABRB2/CDH9/PLXNB1/LINGO2/NLGN1/ASIC2/FZD5",14
"GO:0048593","GO:0048593","camera-type eye morphogenesis","11/295","103/15013",5.61395329793726e-06,0.00104947903416733,0.00096566948988667,"HIF1A/CRB1/EPHB2/PAX6/SDK2/CDON/JAG1/PDE6C/PITX2/FZD5/SOX11",11
"GO:0050808","GO:0050808","synapse organization","22/295","387/15013",8.49890677857943e-06,0.00148058065732497,0.00136234409792613,"SLITRK1/ROBO2/PRNP/ZNF804A/NLGN4X/CACNB4/WNT7B/EPHB2/CBLN1/SDK2/PCDH17/GABRB2/CDH9/PLXNB1/LINGO2/WASF3/NLGN1/ASIC2/SRCIN1/FZD5/IGSF9/CAMKV",22
"GO:0051960","GO:0051960","regulation of nervous system development","22/295","388/15013",8.85180380401964e-06,0.00148058065732497,0.00136234409792613,"SLITRK1/ROBO2/TNFRSF1B/DAAM2/HIF1A/EPHB2/CBLN1/PAX6/TTBK1/FEZF1/JAM2/PLXNB1/HES5/LINGO2/PLXNC1/SEMA3A/WASF3/FOXG1/NLGN1/ASIC2/FEZF2/SOX11",22
"GO:0019226","GO:0019226","transmission of nerve impulse","8/295","56/15013",1.26606527497498e-05,0.00201177772193525,0.00185112070204237,"SCN2A/SCN7A/JAM3/AVPR1A/SCN8A/CHRM5/CACNG7/SCN3A",8
"GO:0007409","GO:0007409","axonogenesis","23/295","431/15013",1.47386386782344e-05,0.0022304473199728,0.0020523277317361,"SLITRK1/ROBO2/KIF5A/RET/RHOG/RNF165/KIF5C/NTN4/OTX2/GFRA1/EPHB2/PARD6B/FEZF1/PLXNB1/ANOS1/PLXNC1/SEMA3A/EFNA5/LAMA1/DPYSL5/FOXG1/FEZF2/IGSF9",23
