"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","263/7592","373/15013",1.874734727787e-15,7.94128486244661e-12,6.54080787926485e-12,"CNR1/P2RX3/SNAP25/NSG1/MAPT/SYT7/SYT1/SNCAIP/SNCG/RAB3A/FGF14/STX1A/GRM2/MEF2C/SYT4/ASIC1/RAB26/MAP1A/CPLX2/GRIK1/RIMS3/NRXN1/PTPRD/SLC4A8/CELF4/MAPK8IP2/UNC13A/CHRNB4/STX1B/NTRK1/DCC/SYP/GRIK2/CACNG4/SYT11/RIMS4/CNTNAP4/CAMK2B/ITPR3/CHRNB2/SORCS2/CHRNA3/NLGN1/MPP2/RIMS2/CPEB3/CALB1/PPFIA2/CACNA1B/SYN3/ERC2/SEPTIN5/PRRT2/RNF19A/KIT/DGKB/GRIK3/AKAP12/SHANK3/CACNB3/RASGRF1/DGKI/NLGN4Y/EPHB2/ITGB1/TMEM25/LRRC4/ABHD6/CLSTN3/SIPA1L1/STX4/PLCB4/CACNG3/PLCB1/NMU/GRIA1/GRM4/SLC24A1/SLC4A10/ABR/PLK2/ZDHHC12/NPTXR/NRG3/PREPL/PLCL1/NPTX2/NPTN/SH3GL1/ATAD1/STXBP1/SHISA7/RPL22/LRRC4C/P2RY1/NTNG2/RAB11A/STAR/CYFIP1/PTPRS/CPLX1/RAP1B/RAB8A/GRIK5/LRP8/APBA1/SERPINE2/DISC1/SYNGR1/CHRNA5/PPP3CB/PRKCZ/CACNG2/EDN1/MME/SRGN/PCDH17/BACE1/JPH4/NTRK2/HRH1/STX3/FAM107A/TUBB2B/CDK5/RIMS1/CCL2/RAPGEF2/DRD2/NCS1/VAMP2/CD38/CNIH2/LZTS1/AKAP9/JPH3/CDC20/ACHE/SLC8A3/MECP2/BCHE/SLC8A2/SYNGAP1/GRIN1/CACNG7/PTPRA/PRKAR2B/KMO/NPY2R/GRIN2A/MAP1B/CRTC1/CAMK2A/NCDN/NLGN4X/SLC7A11/BRSK1/SORCS3/ARC/NPTX1/ADORA2A/ADRA1A/CYP46A1/SYT12/TMEM108/ADRA2A/CALM3/SYN1/PPP3CA/YTHDF1/RASGRF2/NLGN3/CX3CL1/DLG4/CDH11/GNAI2/SHANK2/OPHN1/APOE/RAP1A/CSPG5/NCSTN/NLGN2/ARRB2/YWHAG/SRF/BEGAIN/FABP5/NEUROD2/CLN3/SLC24A2/AKAP5/CRHR2/KCNB1/DGKZ/DLGAP1/FLOT1/USP46/RHOT1/NTF3/FYN/CUX2/ATP2A2/CBLN1/GRIN3A/ADRB2/P2RX1/STXBP5L/RGS4/CACNA1A/BTBD9/CLSTN2/PICK1/ADGRB1/PTK2B/CACNG5/CLSTN1/CACNB2/PRKCG/DLGAP2/EPHA4/CALB2/NEURL1/IGSF11/RAB5A/LRFN2/GRM1/PINK1/NTNG1/GRM5/PRRT1/ATP1A2/PTN/PLCL2/GSK3B/ROR2/GRID1/SLC30A1/IL1B/CX3CR1/DGKE/GRM7/SCGN/DMPK/NSMF/STXBP5/KCNJ10/DVL1/NGF/CDH1/RELN/TACR2/NRGN/KRAS/ADCY1/BCR/LRRTM2/MCTP2/TSHZ3/MCTP1/EGR2/NPAS4/BAIAP3",263
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","262/7592","372/15013",2.6475362101839e-15,7.94128486244661e-12,6.54080787926485e-12,"CNR1/P2RX3/SNAP25/NSG1/MAPT/SYT7/SYT1/SNCAIP/SNCG/RAB3A/FGF14/STX1A/GRM2/MEF2C/SYT4/ASIC1/RAB26/MAP1A/CPLX2/GRIK1/RIMS3/NRXN1/PTPRD/SLC4A8/CELF4/MAPK8IP2/UNC13A/CHRNB4/STX1B/NTRK1/DCC/SYP/GRIK2/CACNG4/SYT11/RIMS4/CNTNAP4/CAMK2B/ITPR3/CHRNB2/SORCS2/CHRNA3/NLGN1/MPP2/RIMS2/CPEB3/CALB1/PPFIA2/CACNA1B/SYN3/ERC2/SEPTIN5/PRRT2/RNF19A/KIT/DGKB/GRIK3/AKAP12/SHANK3/CACNB3/RASGRF1/DGKI/NLGN4Y/EPHB2/ITGB1/TMEM25/LRRC4/ABHD6/CLSTN3/SIPA1L1/STX4/PLCB4/CACNG3/PLCB1/NMU/GRIA1/GRM4/SLC24A1/SLC4A10/ABR/PLK2/ZDHHC12/NPTXR/NRG3/PREPL/PLCL1/NPTX2/NPTN/SH3GL1/ATAD1/STXBP1/SHISA7/RPL22/LRRC4C/P2RY1/NTNG2/RAB11A/STAR/CYFIP1/PTPRS/CPLX1/RAP1B/RAB8A/GRIK5/LRP8/APBA1/SERPINE2/DISC1/SYNGR1/CHRNA5/PPP3CB/PRKCZ/CACNG2/EDN1/MME/SRGN/PCDH17/BACE1/JPH4/NTRK2/HRH1/STX3/FAM107A/TUBB2B/CDK5/RIMS1/CCL2/RAPGEF2/DRD2/NCS1/VAMP2/CD38/CNIH2/LZTS1/AKAP9/JPH3/CDC20/ACHE/SLC8A3/MECP2/BCHE/SLC8A2/SYNGAP1/GRIN1/CACNG7/PTPRA/PRKAR2B/KMO/NPY2R/GRIN2A/MAP1B/CRTC1/CAMK2A/NCDN/NLGN4X/SLC7A11/BRSK1/SORCS3/ARC/NPTX1/ADORA2A/ADRA1A/CYP46A1/SYT12/TMEM108/ADRA2A/CALM3/SYN1/PPP3CA/YTHDF1/RASGRF2/NLGN3/CX3CL1/DLG4/CDH11/GNAI2/SHANK2/OPHN1/APOE/RAP1A/CSPG5/NCSTN/NLGN2/ARRB2/YWHAG/SRF/BEGAIN/NEUROD2/CLN3/SLC24A2/AKAP5/CRHR2/KCNB1/DGKZ/DLGAP1/FLOT1/USP46/RHOT1/NTF3/FYN/CUX2/ATP2A2/CBLN1/GRIN3A/ADRB2/P2RX1/STXBP5L/RGS4/CACNA1A/BTBD9/CLSTN2/PICK1/ADGRB1/PTK2B/CACNG5/CLSTN1/CACNB2/PRKCG/DLGAP2/EPHA4/CALB2/NEURL1/IGSF11/RAB5A/LRFN2/GRM1/PINK1/NTNG1/GRM5/PRRT1/ATP1A2/PTN/PLCL2/GSK3B/ROR2/GRID1/SLC30A1/IL1B/CX3CR1/DGKE/GRM7/SCGN/DMPK/NSMF/STXBP5/KCNJ10/DVL1/NGF/CDH1/RELN/TACR2/NRGN/KRAS/ADCY1/BCR/LRRTM2/MCTP2/TSHZ3/MCTP1/EGR2/NPAS4/BAIAP3",262
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","88/7592","101/15013",7.35077663866976e-15,1.469910301846e-11,1.21068580848828e-11,"RPS19/RPL23/RPLP2/RPL7/RPS27/RPS12/RPS3/TRAM2/RPL30/RPS20/SSR3/RPLP1/RPL37/RPS23/RPS6/RPS27A/RPL27A/RPL31/RPS17/TRAM1L1/RPLP0/RPL36A/RPL17/RPL37A/RPS16/RPL14/RPS4X/UBA52/RPS15A/RPL3/SNAP25-AS1/RPS15/RPL12/RPL8/RPL22/RPL13A/RPL23A/RPL21/RPL32/RPL5/RPS18/RPL36/RPL11/RPSA/RPS14/RPL34/RPS8/BHLHE40-AS1/RPL26/RPL10/RPL41/RPS25/RPS21/RPS7/RPL15/RPL18A/RPL7A/RPL4/RPL28/RPL10A/RPL19/RPS10/SEC61A2/RPS13/RPS3A/RPL18/RPS29/RPL27/RPL35A/RPS24/TRAM1/RPS11/RPS9/RPL9/SEC61A1/RPL29/RPL24/RPL6/RPL39/RPS28/RPL35/SEC61B/RPL38/RPS5/RPS2/RPS26/TTC9-DT/GJD2-DT",88
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","91/7592","106/15013",1.87392962347165e-14,2.81042595280161e-11,2.31479622436209e-11,"RPS19/RPL23/RPLP2/RPL7/RPS27/SIL1/RPS12/RPS3/TRAM2/RPL30/RPS20/SSR3/RPLP1/RPL37/RPS23/RPS6/RPS27A/RPL27A/RPL31/RPS17/TRAM1L1/RPLP0/RPL36A/RPL17/RPL37A/RPS16/RPL14/RPS4X/UBA52/RPS15A/RPL3/SNAP25-AS1/RPS15/RPL12/RPL8/RPL22/RPL13A/RPL23A/RPL21/RPL32/RPL5/RPS18/RPL36/RPL11/RPSA/RPS14/RPL34/RPS8/BHLHE40-AS1/RPL26/RPL10/RPL41/RPS25/RPS21/RPS7/RPL15/RPL18A/RPL7A/RPL4/RPL28/SSR2/RPL10A/RPL19/RPS10/SEC61A2/RPS13/RPS3A/RPL18/RPS29/RPL27/RPL35A/RPS24/SSR1/TRAM1/RPS11/RPS9/RPL9/SEC61A1/RPL29/RPL24/RPL6/RPL39/RPS28/RPL35/SEC61B/RPL38/RPS5/RPS2/RPS26/TTC9-DT/GJD2-DT",91
"GO:0061564","GO:0061564","axon development","317/7592","472/15013",9.65633384080826e-14,1.15856693422018e-10,9.5424907471061e-11,"CNR1/ROBO2/KIF5A/NRP1/ZSWIM5/MAP6/SHC1/MAPT/RHOG/RUFY3/JAM3/GAP43/FN1/NFASC/KIF5C/SEMA3G/RAB3A/GDI1/PAK3/ATL1/UNC5B/CERS2/DCLK1/RET/SEMA6D/ATP8A2/L1CAM/POU4F1/MAP1A/NFIB/SEMA4D/NRXN1/LHX9/EFNA1/APOD/GRB2/PTPRO/GATA3/RTN4RL1/DOK5/NTRK1/CDK5R1/RNF165/NREP/DCC/NEFL/DRAXIN/CRMP1/EPHA2/VASH2/EPHB4/EFNA4/RHOA/ZFYVE27/DRGX/CHRNB2/EFNB2/SPART/NCAM1/GRN/FLRT2/ROBO1/SCARF1/NEFH/SEMA4G/EPHA6/PRKCQ/UNC5A/CNTN2/VCL/PLXND1/ROBO4/GDF7/GDNF/NRCAM/NUMB/CTNNA1/SHANK3/SPTBN2/EVL/TRIM46/KLF7/EPHB2/ANK3/SEMA6A/EPHA5/CTNNA2/GPC1/NRP2/SLIT2/RND2/SLITRK4/SIPA1L1/SH3KBP1/USP33/SLITRK6/EPHA3/GFRA1/MYCBP2/DPYSL5/APBB1/LAMB2/TSPO/FLRT3/UST/ISLR2/SEMA3F/NPTN/MAP2/STXBP1/POU4F2/NEXN/TUBB3/LRRC4C/DPYSL2/SKIL/NTNG2/SHOX2/RAB11A/CYFIP1/PTPRS/HDAC6/NOTCH2/WNT5A/B3GNT2/TRPV2/RAB8A/GBX2/UNC5D/VAX1/TRAK2/LHX4/MAPK3/FKBP1B/SPTBN4/DISC1/LHX1/PPP3CB/EPHA8/SPTBN1/EPHA10/ISL1/RTN4/NOTCH1/LRP1/NIBAN2/FGF13/TIAM2/RHOH/NTRK2/CAMSAP2/SEMA5B/CHN1/NIN/TUBB2B/CDK5/KLF4/LAMA5/DRD2/SPTA1/PLXNA3/METRN/INPP5F/BRSK2/DLX5/FSTL4/POU4F3/POU3F2/PLXNB1/SLITRK5/NCAM2/CCK/STMN1/AMIGO1/SLC9A6/SYNGAP1/PTPRA/PTK2/OLFM1/TNC/MAP2K1/SLIT1/SPP1/CTTN/LRTM2/MAP1B/RAC2/EZR/NUMBL/ADARB1/CRABP2/RTN4RL2/RYK/BRSK1/SEMA4F/NPTX1/LINGO1/IGSF9/PHOX2B/S100A6/NRXN3/DOK1/TNN/DOK6/RPL24/THY1/GLI3/SLITRK1/SVBP/GAB1/FOXB1/DOCK7/B4GALT6/YTHDF1/C9orf72/NLGN3/TMEFF1/RAC1/CDH11/RGMA/SLIT3/SEMA3C/EFNA5/OPHN1/APOE/CHODL/SMO/PLXNA1/ARHGDIA/SRF/TSPAN2/HSP90AA1/DSCAM/BMPR1B/TWF2/CDKL5/BCL2/GFRA2/RANBP9/FZD3/TRIM32/DHFR/VASP/TIAM1/LRP4/C12orf57/PTPRM/FLOT1/NOTCH3/SEMA4B/FYN/SEMA4A/B4GALT5/TTL/DDR1/ZDHHC17/ADGRB1/OTX2/KIAA0319/KIF13B/LMX1A/EFNA2/EPHA4/TCTN1/CASP3/KREMEN1/VSTM2L/AFG3L2/ARHGAP35/SLITRK3/SEMA5A/PLXNC1/DOK4/NGFR/NTNG1/ULK1/CDKL3/SPAST/RAP1GAP/MCF2/NTN4/PTCH1/FOLR1/ITGA4/PARD3/ULK2/ALCAM/SHC3/LRIG2/LIMK1/PTN/GOLGA4/GSK3B/KEL/EFNB3/NKX6-1/MYPN/DAG1/PAX2/S100B/SEMA6B/ZSWIM6/FEZ2/DVL1/NGF/RELN/PLP1/ENAH/BOC/ADCY1/NDEL1/TRPC5/EGR2/PLPPR4/FOXD1/ZSWIM4/SHH",317
"GO:0045047","GO:0045047","protein targeting to ER","96/7592","116/15013",4.18470501709065e-13,4.18400756625447e-10,3.44614128951289e-10,"RPS19/RPL23/RPLP2/RPL7/RPS27/RPS12/RPS3/TRAM2/RPL30/RPS20/SSR3/RPLP1/RPL37/RPS23/RPS6/RPS27A/RPL27A/RPL31/RPS17/TRAM1L1/RPLP0/RPL36A/CHMP4A/RPL17/RPL37A/RPS16/RPL14/RPS4X/UBA52/RPS15A/RPL3/SNAP25-AS1/RPS15/RPL12/RPL8/RPL22/RPL13A/RPL23A/RPL21/RPL32/RPL5/RPS18/RPL36/RPL11/RPSA/RPS14/RPL34/RPS8/BHLHE40-AS1/RPL26/RPL10/SPCS3/RPL41/RPS25/RPS21/RPS7/RPL15/RPL18A/RPL7A/RPL4/RPL28/RPL10A/RPL19/RPS10/HSPA5/SEC61A2/RPS13/RPS3A/RPL18/RPS29/RPL27/RPL35A/RPS24/TRAM1/RPS11/RPS9/RPL9/SEC61A1/RPL29/RPL24/RPL6/RPL39/RPS28/RPL35/SEC61G/SEC61B/RPL38/RPS5/RPS2/RPS26/GET3/EDEM1/TTC9-DT/GJD2-DT/MAN1A1/SGTB",96
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","98/7592","120/15013",1.19821343940192e-12,1.02686891756745e-09,8.45776523992874e-10,"RPS19/RPL23/RPLP2/RPL7/RPS27/RPS12/RYR2/RPS3/TRAM2/RPL30/RPS20/SSR3/RPLP1/RPL37/RPS23/RPS6/RPS27A/RPL27A/RPL31/RPS17/TRAM1L1/RPLP0/RPL36A/CHMP4A/RPL17/RPL37A/RPS16/RPL14/RPS4X/UBA52/RPS15A/RPL3/SNAP25-AS1/RPS15/RPL12/RPL8/RPL22/RPL13A/RPL23A/RPL21/RPL32/RPL5/RPS18/RPL36/RPL11/RPSA/RPS14/RPL34/RPS8/BHLHE40-AS1/RPL26/RPL10/SPCS3/RPL41/RPS25/RPS21/RPS7/RPL15/RPL18A/RPL7A/RPL4/RPL28/RPL10A/RPL19/RPS10/HSPA5/SEC61A2/RPS13/RPS3A/RPL18/RPS29/RPL27/RPL35A/RPS24/TRAM1/RPS11/RPS9/RPL9/SEC61A1/RPL29/RPL24/RPL6/RPL39/RPS28/RPL35/SEC61G/SEC61B/RPL38/RPS5/RPS2/RPS26/RAB3GAP2/GET3/EDEM1/TTC9-DT/GJD2-DT/MAN1A1/SGTB",98
"GO:1903530","GO:1903530","regulation of secretion by cell","319/7592","486/15013",6.67041758157575e-12,4.4545178789884e-09,3.6689460390717e-09,"CNR1/SNAP25/CLASP2/HMOX1/SYT7/TNFRSF1B/SYT1/VAMP8/SNCAIP/SNCG/RAB3A/STX1A/MEF2C/SYT4/ASIC1/RAB26/CPLX2/SCG5/IGF1/RIMS3/GLP1R/REST/RAB13/VAMP3/SLC4A8/CACNA1E/SEPTIN2/CADPS/CHRNB4/STX1B/NEUROD1/SYP/MICAL1/CAMK2N1/SYT11/RAPGEF3/RIMS4/SDC4/NR1H3/ITPR3/CD33/TRIM9/RAB27A/CHRNB2/CHRNA3/NLGN1/APLN/RIMS2/PPFIA2/CHGA/SEPTIN5/KCNS3/TGFB2/CD200/ACSL4/HLA-DRB1/SYT2/GDNF/FES/OXCT1/TCF7L2/F2RL1/SYT9/KLF7/EPHA5/KCNA2/ITPR1/STX4/STXBP3/HIF1A/RAB2B/NMU/PLA2G4A/SLC16A1/CARTPT/RALA/ADCY5/GCK/PREPL/SDCBP/SYT13/APBB1/SMPD3/TNFRSF11A/TLR4/CHRNA4/STXBP1/SEPTIN4/ICA1/TGFB3/RIC1/P2RY1/HADH/CEACAM1/ABCC8/NSF/ANXA1/CPLX1/PIM3/RAP1B/RAB8A/KCNC2/APBA1/LLGL2/FKBP1B/C1QTNF3/CHRNA5/PPP3CB/SOX11/CADPS2/SLC25A6/CACNA1D/GATA2/AIMP1/EDN1/ISL1/RAPGEF4/ANG/ARFIP1/GJA1/GPLD1/NOTCH1/LRP1/BACE1/SERGEF/RHBDF1/SRI/CDK5/GPR68/HMGN3/RFX3/SNCA/RIMS1/SFRP1/SYT6/AVPR1A/DRD2/MYH10/SYT5/NCS1/VAMP2/CD38/LRP5/KCNA5/SLC30A8/PARD6A/BRSK2/IFNG/ENHO/RAB27B/ACHE/STXBP6/DPH3/ANKRD1/CCK/SCAMP5/HLA-F/TFR2/BMP8A/RHBDF2/DOC2B/KMO/CHD7/NPY2R/SPP1/TNFRSF1A/PHPT1/RAC2/EZR/HYAL3/CAMK2A/MYRIP/RAB8B/TM7SF3/GOLPH3L/ADORA2A/RAB11FIP5/TMED10/ADRA1A/FGB/SIRT4/RAB15/LYN/P2RX4/SYT12/IL4R/SLC25A4/ADRA2A/TSG101/CALM3/TFAP2B/SYN1/SYTL4/FRMD4A/CDK5R2/PPP3CA/HRH3/CYP51A1/RAC1/TTN/SLC2A1/GNAI2/LIF/EFNA5/APOE/GDF9/RAP1A/CSPG5/NLGN2/WLS/C2CD2L/CRHR1/VIP/CFTR/KCNJ11/PPARD/CDK16/PTAFR/ANO1/CACNA1H/GALR1/CACNA1I/HFE/PDPK1/EXOC1/ENY2/TIAM1/KCNB1/ERP29/IL12A/FOXA2/ATP13A2/RHOT1/STAM/ADAM8/ATP2A2/GRIN3A/DPP4/PLA2G3/P2RX1/STXBP5L/MYO18A/CACNA1A/OR51E2/SPHK2/PICK1/LAMP1/PSMD9/DNAJC1/VPS4B/PCLO/STXBP2/IL1A/CACNB2/PRKCG/LGALS9/DOC2A/TCIRG1/HMGCR/GPR27/P3H1/ZP3/CLTRN/AGT/PDCD6IP/RAB5A/SOX4/BMP6/SLC9B2/HTR2C/IL6/PFKFB2/RAB3D/FGR/CACNA2D2/CLOCK/PINK1/PFKL/CBARP/CRHBP/MAP2K6/SYK/NKX3-1/FGF20/GSK3B/RAB33B/KDM5B/ABCG1/CRY1/CD2AP/PPIA/SLC30A1/FFAR3/PASK/IL1B/ADTRP/NNAT/NKX6-1/GOLPH3/CACNA1G/PCK2/GRM7/UNC13B/NOS2/VSNL1/TGFB1/STXBP5/APBB3/OPRM1/DVL1/TACR2/C1QTNF1/LILRB1/ADCY1/NTSR1/MCTP2/MCTP1/ITGB2/BAIAP3",319
"GO:0007409","GO:0007409","axonogenesis","287/7592","431/15013",6.68289063358821e-12,4.4545178789884e-09,3.6689460390717e-09,"ROBO2/KIF5A/NRP1/ZSWIM5/MAP6/SHC1/MAPT/RHOG/RUFY3/GAP43/FN1/NFASC/KIF5C/SEMA3G/RAB3A/GDI1/PAK3/ATL1/UNC5B/DCLK1/RET/SEMA6D/ATP8A2/L1CAM/POU4F1/MAP1A/NFIB/SEMA4D/NRXN1/LHX9/EFNA1/GRB2/PTPRO/GATA3/DOK5/NTRK1/CDK5R1/RNF165/DCC/NEFL/DRAXIN/CRMP1/EPHA2/EPHB4/EFNA4/RHOA/ZFYVE27/DRGX/CHRNB2/EFNB2/SPART/NCAM1/FLRT2/ROBO1/NEFH/SEMA4G/EPHA6/PRKCQ/UNC5A/CNTN2/VCL/PLXND1/ROBO4/GDF7/GDNF/NRCAM/NUMB/SHANK3/SPTBN2/EVL/TRIM46/KLF7/EPHB2/ANK3/SEMA6A/EPHA5/CTNNA2/GPC1/NRP2/SLIT2/RND2/SLITRK4/SIPA1L1/SH3KBP1/USP33/SLITRK6/EPHA3/GFRA1/MYCBP2/DPYSL5/APBB1/LAMB2/FLRT3/UST/ISLR2/SEMA3F/NPTN/MAP2/STXBP1/POU4F2/NEXN/TUBB3/LRRC4C/DPYSL2/SKIL/NTNG2/SHOX2/RAB11A/CYFIP1/PTPRS/HDAC6/NOTCH2/WNT5A/B3GNT2/TRPV2/RAB8A/GBX2/UNC5D/VAX1/TRAK2/LHX4/MAPK3/SPTBN4/DISC1/LHX1/PPP3CB/EPHA8/SPTBN1/EPHA10/ISL1/RTN4/NOTCH1/LRP1/NIBAN2/FGF13/TIAM2/RHOH/NTRK2/SEMA5B/CHN1/NIN/TUBB2B/CDK5/LAMA5/DRD2/SPTA1/PLXNA3/METRN/BRSK2/DLX5/FSTL4/POU4F3/POU3F2/PLXNB1/SLITRK5/CCK/STMN1/AMIGO1/SLC9A6/SYNGAP1/PTPRA/PTK2/OLFM1/MAP2K1/SLIT1/SPP1/CTTN/LRTM2/MAP1B/RAC2/EZR/NUMBL/ADARB1/CRABP2/RYK/BRSK1/SEMA4F/NPTX1/LINGO1/IGSF9/PHOX2B/S100A6/NRXN3/DOK1/TNN/DOK6/RPL24/THY1/GLI3/SLITRK1/GAB1/FOXB1/DOCK7/B4GALT6/YTHDF1/C9orf72/NLGN3/TMEFF1/RAC1/CDH11/SLIT3/SEMA3C/EFNA5/OPHN1/APOE/CHODL/SMO/PLXNA1/ARHGDIA/SRF/HSP90AA1/DSCAM/BMPR1B/TWF2/CDKL5/BCL2/GFRA2/RANBP9/FZD3/VASP/TIAM1/LRP4/C12orf57/PTPRM/FLOT1/NOTCH3/SEMA4B/FYN/SEMA4A/B4GALT5/TTL/ZDHHC17/ADGRB1/OTX2/KIAA0319/KIF13B/LMX1A/EFNA2/EPHA4/TCTN1/VSTM2L/AFG3L2/ARHGAP35/SLITRK3/SEMA5A/PLXNC1/DOK4/NGFR/NTNG1/ULK1/CDKL3/SPAST/RAP1GAP/MCF2/NTN4/PTCH1/ITGA4/PARD3/ULK2/ALCAM/SHC3/LIMK1/GOLGA4/GSK3B/KEL/EFNB3/NKX6-1/MYPN/DAG1/PAX2/S100B/SEMA6B/ZSWIM6/FEZ2/DVL1/NGF/RELN/ENAH/BOC/ADCY1/NDEL1/TRPC5/EGR2/PLPPR4/FOXD1/ZSWIM4/SHH",287
"GO:0010975","GO:0010975","regulation of neuron projection development","269/7592","408/15013",1.51892446111058e-10,9.11202784220239e-08,7.50508570574008e-08,"CNR1/ROBO2/SNAP25/NDRG4/NRP1/MAP6/STMN2/MAPT/RUFY3/FN1/SEMA3G/PTPRG/GDI1/PAK3/B2M/CNTN1/CERS2/RET/SEMA6D/ATP8A2/CIB1/L1CAM/NEDD4L/MINAR1/SEMA4D/PTPRD/ADGRB3/EFNA1/PTPRO/GATA3/KIDINS220/RTN4RL1/VIM/SRCIN1/STX1B/NTRK1/CDK5R1/DCC/NEFL/DRAXIN/SERPINI1/CRMP1/NTRK3/CAMK2B/RHOA/ZFYVE27/CHRNB2/EFNB2/SPART/CHRNA3/NLGN1/GRN/NDNF/ROBO1/SCARF1/PDLIM5/SEMA4G/PPFIA2/MBOAT1/SETX/PLXND1/HECW1/ABL2/FES/INPP5J/SHANK3/TRIM46/EPHB2/FUT9/SEMA6A/CTNNA2/SLIT2/RND2/SIPA1L1/CCDC88A/CFLAR/DNM3/EPHA3/LPAR1/UST/ISLR2/SEMA3F/NPTN/ZNF804A/CARM1/MAP2/KIF1A/POU4F2/GPC2/LRRC4C/NCK1/SKIL/NTNG2/DPYSL3/SHOX2/RAB11A/CYFIP1/PTPRS/WNT5A/TRPV2/NEGR1/LRP8/RAB29/SNX3/CAMK1D/TRAK2/IQGAP1/RAPGEF1/FKBP1B/DISC1/ACAP3/RTN4/ARHGAP33/PLPPR5/LRP1/FGF13/TIAM2/NTRK2/CAMSAP2/SEMA5B/CHN1/NIN/TANC2/CDK5/MARK1/TRPV4/HSPA5/KLF4/SFRP1/RAPGEF2/NCS1/CD38/PLXNA3/LZTS1/METRN/INPP5F/BRSK2/FSTL4/POU3F2/PLXNB1/CDC20/PARP6/ANKRD1/AMIGO1/GPRASP2/SYNGAP1/SCARB2/TRIM67/PREX1/LZTS3/MAP2K1/SPP1/ADAM10/MAP1B/CRTC1/SARM1/MFSD2A/PRKCI/CRABP2/TNIK/RTN4RL2/RYK/ARMCX5-GPRASP2/BRSK1/KNDC1/ARC/LGALS1/SEMA4F/LINGO1/PPP2R5B/TOX/NEDD4/LYN/THY1/SLITRK1/FBXO31/PPP3CA/CX3CL1/NME2/DHX36/RGMA/SEMA3C/APOE/RAP1A/ARHGAP44/CHODL/PLXNA1/ARHGDIA/SRF/DSCAM/BMP5/PRAG1/TWF2/CDKL5/GFI1/PQBP1/ITGA6/TIAM1/LRP4/RTN4IP1/SS18L2/SEMA4B/FYN/CUX2/SEMA4A/MDK/PLA2G3/FBXW8/CFL1/ZDHHC15/HECW2/OBSL1/EP300/KIAA0319/PTK2B/RRN3/KDM1A/ACTR2/KIF13B/RAB17/ALK/EPHA4/MYLIP/PTK7/SEZ6/PRRX1/P3H1/KREMEN1/ARHGAP35/PTPN9/ADCY6/ZNF365/SEMA5A/PLXNC1/NGFR/ATF1/LRRC7/NTNG1/CDKL3/RAP2A/ITM2C/MCF2/CBFA2T2/RGS2/LRIG2/LIMK1/PTN/GOLGA4/GSK3B/ROR2/KEL/EFNB3/LTK/PAQR3/SEMA6B/RIT2/NSMF/DVL1/CAMK1/NGF/EFHC2/PTK6/RELN/ITGA3/CREB3L2/FKBP4/NDEL1/ULK4/TRPC5",269
