"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061564","GO:0061564","axon development","318/7297","472/15013",4.78822592703259e-17,1.45998793960406e-13,1.20425112162635e-13,"NRP1/CNR1/KIF5A/ROBO2/ZSWIM5/UNC5B/MAPT/MAP6/SHC1/JAM3/SEMA3G/RHOG/RAB3A/RUFY3/FN1/NFASC/GAP43/KIF5C/NFIB/PAK3/GDI1/RET/CERS2/ATL1/SEMA6D/ATP8A2/L1CAM/DCLK1/EFNA1/POU4F1/MAP1A/SEMA4D/LHX9/NRXN1/NTRK1/RTN4RL1/SCARF1/PTPRO/APOD/DOK5/GATA3/CDK5R1/NEFL/DRAXIN/RNF165/GRB2/CRMP1/NEFH/EFNB2/NRP2/NREP/FLRT2/VASH2/GDF7/DRGX/EPHA6/PLXND1/SEMA6A/UNC5A/NCAM1/ROBO4/DCC/CHRNB2/GRN/EPHA2/ROBO1/CNTN2/ZFYVE27/RHOA/NRCAM/SEMA4G/GDNF/CTNNA2/NUMB/VCL/EPHA5/TRIM46/EPHB2/CTNNA1/RND2/SHANK3/SPTBN2/GPC1/SLITRK6/ANK3/SH3KBP1/TRPV2/FLRT3/SPART/EPHB4/VAX1/UST/GFRA1/APBB1/PRKCQ/EFNA4/DPYSL5/SLITRK4/NTNG2/ISLR2/TUBB3/KLF7/RAB11A/SPTBN4/UNC5D/NPTN/SPTBN1/SLIT2/EPHA3/EVL/WNT5A/EPHA10/LHX1/SHOX2/POU4F2/HDAC6/SKIL/EPHA8/PTPRS/STXBP1/FKBP1B/SEMA3F/SIPA1L1/MAP2/GBX2/RAB8A/LRRC4C/USP33/DISC1/FGF13/B3GNT2/MYCBP2/NIBAN2/LAMB2/TUBB2B/SEMA5B/LRP1/DPYSL2/KLF4/METRN/TSPO/CCK/ISL1/PPP3CB/NTRK2/SLITRK5/BRSK2/SLIT1/LHX4/LAMA5/INPP5F/CYFIP1/NEXN/LRTM2/POU3F2/CDK5/MAP1B/B4GALT6/NUMBL/CTTN/OLFM1/IGSF9/RAC1/DRD2/NCAM2/POU4F3/ADARB1/MAPK3/RTN4/SPTA1/MAP2K1/SLC9A6/NOTCH1/GAB1/NPTX1/PLXNA3/CHN1/CRABP2/SEMA4A/AMIGO1/SEMA4B/DLX5/RHOH/LINGO1/PLXNB1/CAMSAP2/RGMA/ADGRB1/FSTL4/BRSK1/SEMA4F/RAP1GAP/RTN4RL2/FZD3/PLXNA1/TIAM2/TTL/NIN/PTK2/FOXB1/SYNGAP1/YTHDF1/NLGN3/STMN1/RYK/DOK4/NRXN3/TRIM32/EFNA5/SPP1/THY1/SRF/TRAK2/OTX2/SVBP/PHOX2B/FYN/TMEFF1/SLITRK3/SLIT3/C9orf72/SEMA3C/RPL24/B4GALT5/DDR1/RELN/EZR/FLOT1/DOK6/NTNG1/CHODL/S100A6/EFNA2/FOXG1/NTN4/ARHGDIA/TIAM1/GFRA2/NOTCH2/RAC2/CDKL5/OPHN1/PTPRM/RANBP9/KREMEN1/BCL2/TWF2/LAMA3/ZDHHC17/TNN/C12orf57/NGFR/HSP90AA1/ARHGAP35/VASP/TNC/KIAA0319/EFNB3/DOCK7/DVL1/EPHA4/NGF/LMX1A/NKX6-1/SPTB/ITGA4/SPAST/SPRY3/SEMA6B/PSEN1/ZSWIM6/CDH11/DOK1/BMPR2/FEZ2/DSCAM/SLITRK1/PLXNC1/NOTCH3/LIMK1/VSTM2L/APOE/ULK1/PTCH1/KIF13B/ALCAM/PARD3/MAPK1/FEZF1/ISL2/HSP90AB1/TSPAN2/S100B/EPHB1/NEO1/CDH4/PAX2/FEZF2/ADCY1/PLPPR4/ZSWIM4/AFG3L2/BMP7/PLXNB3/GOLGA4/TNR/EPHB3/SEMA3D/FEZ1/CDKL3/ENAH/SCN1B/ULK2/MARK2/LAMA1/NDEL1/TRIO/SEMA3A",318
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","89/7297","101/15013",4.86824921508522e-17,1.45998793960406e-13,1.20425112162635e-13,"RPS19/RPL23/RPLP2/SSR3/TRAM2/RPL30/RPL7/RPS3/RPLP1/RPS27/TRAM1L1/RPS20/RPS12/RPL37/RPS16/RPL31/RPL14/RPS23/UBA52/RPL27A/RPS27A/RPL17/RPL28/RPS6/BHLHE40-AS1/RPL37A/RPS4X/RPL32/RPL12/RPL10/RPL15/RPL5/RPL36A/RPLP0/RPL3/RPL36/RPL34/RPS17/RPL26/RPL13A/RPL11/SNAP25-AS1/RPL23A/RPL22/RPL4/RPS21/RPS15A/RPL21/RPS14/RPL18A/SEC61A2/RPL10A/RPS18/RPS10/RPL18/RPS7/RPS8/RPSA/RPS13/RPL19/RPL7A/RPL8/RPL35A/RPL41/RPS15/RPS11/RPS3A/RPS9/RPL27/RPS25/TRAM1/RPL9/RPS24/SEC61A1/RPL29/RPS28/SEC61B/RPL6/RPS29/RPL35/RPL24/RPS26/RPL38/RPS5/RPL39/SRP19/GJD2-DT/RPS2/TTC9-DT",89
"GO:0007409","GO:0007409","axonogenesis","293/7297","431/15013",1.3108124451131e-16,1.98756993735431e-13,1.63941993042686e-13,"NRP1/KIF5A/ROBO2/ZSWIM5/UNC5B/MAPT/MAP6/SHC1/SEMA3G/RHOG/RAB3A/RUFY3/FN1/NFASC/GAP43/KIF5C/NFIB/PAK3/GDI1/RET/ATL1/SEMA6D/ATP8A2/L1CAM/DCLK1/EFNA1/POU4F1/MAP1A/SEMA4D/LHX9/NRXN1/NTRK1/PTPRO/DOK5/GATA3/CDK5R1/NEFL/DRAXIN/RNF165/GRB2/CRMP1/NEFH/EFNB2/NRP2/FLRT2/GDF7/DRGX/EPHA6/PLXND1/SEMA6A/UNC5A/NCAM1/ROBO4/DCC/CHRNB2/EPHA2/ROBO1/CNTN2/ZFYVE27/RHOA/NRCAM/SEMA4G/GDNF/CTNNA2/NUMB/VCL/EPHA5/TRIM46/EPHB2/RND2/SHANK3/SPTBN2/GPC1/SLITRK6/ANK3/SH3KBP1/TRPV2/FLRT3/SPART/EPHB4/VAX1/UST/GFRA1/APBB1/PRKCQ/EFNA4/DPYSL5/SLITRK4/NTNG2/ISLR2/TUBB3/KLF7/RAB11A/SPTBN4/UNC5D/NPTN/SPTBN1/SLIT2/EPHA3/EVL/WNT5A/EPHA10/LHX1/SHOX2/POU4F2/HDAC6/SKIL/EPHA8/PTPRS/STXBP1/SEMA3F/SIPA1L1/MAP2/GBX2/RAB8A/LRRC4C/USP33/DISC1/FGF13/B3GNT2/MYCBP2/NIBAN2/LAMB2/TUBB2B/SEMA5B/LRP1/DPYSL2/METRN/CCK/ISL1/PPP3CB/NTRK2/SLITRK5/BRSK2/SLIT1/LHX4/LAMA5/CYFIP1/NEXN/LRTM2/POU3F2/CDK5/MAP1B/B4GALT6/NUMBL/CTTN/OLFM1/IGSF9/RAC1/DRD2/POU4F3/ADARB1/MAPK3/RTN4/SPTA1/MAP2K1/SLC9A6/NOTCH1/GAB1/NPTX1/PLXNA3/CHN1/CRABP2/SEMA4A/AMIGO1/SEMA4B/DLX5/RHOH/LINGO1/PLXNB1/ADGRB1/FSTL4/BRSK1/SEMA4F/RAP1GAP/FZD3/PLXNA1/TIAM2/TTL/NIN/PTK2/FOXB1/SYNGAP1/YTHDF1/NLGN3/STMN1/RYK/DOK4/NRXN3/EFNA5/SPP1/THY1/SRF/TRAK2/OTX2/PHOX2B/FYN/TMEFF1/SLITRK3/SLIT3/C9orf72/SEMA3C/RPL24/B4GALT5/RELN/EZR/FLOT1/DOK6/NTNG1/CHODL/S100A6/EFNA2/FOXG1/NTN4/ARHGDIA/TIAM1/GFRA2/NOTCH2/RAC2/CDKL5/OPHN1/PTPRM/RANBP9/BCL2/TWF2/LAMA3/ZDHHC17/TNN/C12orf57/NGFR/HSP90AA1/ARHGAP35/VASP/KIAA0319/EFNB3/DOCK7/DVL1/EPHA4/NGF/LMX1A/NKX6-1/SPTB/ITGA4/SPAST/SEMA6B/PSEN1/ZSWIM6/CDH11/DOK1/BMPR2/FEZ2/DSCAM/SLITRK1/PLXNC1/NOTCH3/LIMK1/VSTM2L/APOE/ULK1/PTCH1/KIF13B/ALCAM/PARD3/MAPK1/FEZF1/ISL2/HSP90AB1/S100B/EPHB1/NEO1/CDH4/PAX2/FEZF2/ADCY1/PLPPR4/ZSWIM4/AFG3L2/BMP7/PLXNB3/GOLGA4/TNR/EPHB3/SEMA3D/FEZ1/CDKL3/ENAH/SCN1B/ULK2/MARK2/LAMA1/NDEL1/TRIO/SEMA3A",293
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","92/7297","106/15013",1.32548845438767e-16,1.98756993735431e-13,1.63941993042686e-13,"RPS19/RPL23/RPLP2/SSR3/TRAM2/RPL30/SIL1/RPL7/RPS3/RPLP1/RPS27/TRAM1L1/RPS20/RPS12/RPL37/RPS16/RPL31/RPL14/RPS23/UBA52/RPL27A/RPS27A/RPL17/RPL28/RPS6/BHLHE40-AS1/RPL37A/SSR2/RPS4X/RPL32/RPL12/RPL10/RPL15/RPL5/RPL36A/RPLP0/RPL3/RPL36/RPL34/RPS17/RPL26/RPL13A/RPL11/SNAP25-AS1/RPL23A/RPL22/RPL4/RPS21/SSR1/RPS15A/RPL21/RPS14/RPL18A/SEC61A2/RPL10A/RPS18/RPS10/RPL18/RPS7/RPS8/RPSA/RPS13/RPL19/RPL7A/RPL8/RPL35A/RPL41/RPS15/RPS11/RPS3A/RPS9/RPL27/RPS25/TRAM1/RPL9/RPS24/SEC61A1/RPL29/RPS28/SEC61B/RPL6/RPS29/RPL35/RPL24/RPS26/RPL38/RPS5/RPL39/SRP19/GJD2-DT/RPS2/TTC9-DT",92
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","256/7297","373/15013",1.92815696735954e-15,2.3130170980445e-12,1.90786057822944e-12,"P2RX3/CNR1/SNAP25/SNCAIP/NSG1/MAPT/SYT7/MEF2C/SYT1/FGF14/RAB3A/SNCG/GRM2/STX1A/SYT4/ASIC1/RAB26/RIMS3/CPLX2/GRIK1/MAP1A/SLC4A8/NRXN1/CELF4/NTRK1/PTPRD/UNC13A/CHRNB4/MAPK8IP2/SYP/STX1B/GRIK2/RIMS4/CAMK2B/CNTNAP4/SORCS2/ITPR3/CACNG4/SEPTIN5/PRRT2/SYT11/SYN3/ERC2/NLGN1/DCC/CHRNB2/CHRNA3/RIMS2/PPFIA2/CACNA1B/CPEB3/MPP2/NLGN4Y/CALB1/CACNG3/PLCB4/KIT/STX4/GRIK3/RNF19A/DGKB/RASGRF1/ABHD6/GRM4/EPHB2/AKAP12/PLK2/ABR/SHANK3/CACNB3/NMU/CLSTN3/ITGB1/TMEM25/LRRC4/SYNGR1/DGKI/P2RY1/SLC4A10/NTNG2/EDN1/NRG3/RAB11A/NPTN/GRIK5/CPLX1/SHISA7/PREPL/PTPRS/PRKCZ/SLC24A1/STXBP1/NPTXR/PLCB1/SIPA1L1/RAB8A/NPTX2/LRRC4C/DISC1/PCDH17/RAP1B/SRGN/SH3GL1/RAPGEF2/CHRNA5/ATAD1/PLCL1/LRP8/SERPINE2/TUBB2B/ZDHHC12/CACNG2/RPL22/APBA1/JPH4/MECP2/HRH1/STAR/VAMP2/KMO/BCHE/BACE1/CNIH2/ACHE/NCS1/PPP3CB/JPH3/NLGN4X/NTRK2/GRIA1/AKAP9/SCGN/GRIN2A/CYFIP1/CDK5/MAP1B/SHANK2/LZTS1/CACNG7/CYP46A1/SYT12/DRD2/SLC8A2/SORCS3/BEGAIN/STX3/CAMK2A/ARRB2/NPTX1/NCDN/RGS4/SLC8A3/FAM107A/RIMS1/ADORA2A/PPP3CA/ADGRB1/BRSK1/GRIN1/SYN1/CCL2/SLC24A2/SYNGAP1/YTHDF1/NLGN3/RAP1A/CRTC1/CD38/PRKAR2B/GRIN3A/NEUROD2/NLGN2/BTBD9/SRF/NCSTN/CACNA1A/ADRA2A/FYN/NTF3/CALM3/CX3CR1/RELN/FLOT1/NTNG1/CSPG5/IL1B/MME/PRKCG/USP46/SLC30A1/DLG4/TMEM108/RHOT1/KCNB1/CLN3/OPHN1/FABP5/DLGAP2/YWHAG/RASGRF2/GNAI2/DGKZ/LRFN2/IGSF11/CUX2/PICK1/KCNMB4/DLGAP1/STXBP5L/DVL1/DMPK/EPHA4/NGF/GRM1/P2RX1/NEURL1/ADRA1A/PSEN1/CDH11/SLC7A11/CLSTN2/PTK2B/LRRK2/ERC1/CACNG5/APOE/CALB2/RAB5A/MAPK1/ROR2/KRAS/DGKE/AKAP5/MCTP2/NPY2R/CLSTN1/ADORA1/TSHZ3/BCR/ADCY1/STXBP5/GRIN2D/CBLN1/RAPSN/ARC/TNR/GRM5/NSMF/CX3CL1/GRM8/ADRB2/DLGAP3/UNC13C/MCTP1/BAIAP3/KCNJ10",256
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","255/7297","372/15013",2.75924917838149e-15,2.75832942865536e-12,2.27517037515666e-12,"P2RX3/CNR1/SNAP25/SNCAIP/NSG1/MAPT/SYT7/MEF2C/SYT1/FGF14/RAB3A/SNCG/GRM2/STX1A/SYT4/ASIC1/RAB26/RIMS3/CPLX2/GRIK1/MAP1A/SLC4A8/NRXN1/CELF4/NTRK1/PTPRD/UNC13A/CHRNB4/MAPK8IP2/SYP/STX1B/GRIK2/RIMS4/CAMK2B/CNTNAP4/SORCS2/ITPR3/CACNG4/SEPTIN5/PRRT2/SYT11/SYN3/ERC2/NLGN1/DCC/CHRNB2/CHRNA3/RIMS2/PPFIA2/CACNA1B/CPEB3/MPP2/NLGN4Y/CALB1/CACNG3/PLCB4/KIT/STX4/GRIK3/RNF19A/DGKB/RASGRF1/ABHD6/GRM4/EPHB2/AKAP12/PLK2/ABR/SHANK3/CACNB3/NMU/CLSTN3/ITGB1/TMEM25/LRRC4/SYNGR1/DGKI/P2RY1/SLC4A10/NTNG2/EDN1/NRG3/RAB11A/NPTN/GRIK5/CPLX1/SHISA7/PREPL/PTPRS/PRKCZ/SLC24A1/STXBP1/NPTXR/PLCB1/SIPA1L1/RAB8A/NPTX2/LRRC4C/DISC1/PCDH17/RAP1B/SRGN/SH3GL1/RAPGEF2/CHRNA5/ATAD1/PLCL1/LRP8/SERPINE2/TUBB2B/ZDHHC12/CACNG2/RPL22/APBA1/JPH4/MECP2/HRH1/STAR/VAMP2/KMO/BCHE/BACE1/CNIH2/ACHE/NCS1/PPP3CB/JPH3/NLGN4X/NTRK2/GRIA1/AKAP9/SCGN/GRIN2A/CYFIP1/CDK5/MAP1B/SHANK2/LZTS1/CACNG7/CYP46A1/SYT12/DRD2/SLC8A2/SORCS3/BEGAIN/STX3/CAMK2A/ARRB2/NPTX1/NCDN/RGS4/SLC8A3/FAM107A/RIMS1/ADORA2A/PPP3CA/ADGRB1/BRSK1/GRIN1/SYN1/CCL2/SLC24A2/SYNGAP1/YTHDF1/NLGN3/RAP1A/CRTC1/CD38/PRKAR2B/GRIN3A/NEUROD2/NLGN2/BTBD9/SRF/NCSTN/CACNA1A/ADRA2A/FYN/NTF3/CALM3/CX3CR1/RELN/FLOT1/NTNG1/CSPG5/IL1B/MME/PRKCG/USP46/SLC30A1/DLG4/TMEM108/RHOT1/KCNB1/CLN3/OPHN1/DLGAP2/YWHAG/RASGRF2/GNAI2/DGKZ/LRFN2/IGSF11/CUX2/PICK1/KCNMB4/DLGAP1/STXBP5L/DVL1/DMPK/EPHA4/NGF/GRM1/P2RX1/NEURL1/ADRA1A/PSEN1/CDH11/SLC7A11/CLSTN2/PTK2B/LRRK2/ERC1/CACNG5/APOE/CALB2/RAB5A/MAPK1/ROR2/KRAS/DGKE/AKAP5/MCTP2/NPY2R/CLSTN1/ADORA1/TSHZ3/BCR/ADCY1/STXBP5/GRIN2D/CBLN1/RAPSN/ARC/TNR/GRM5/NSMF/CX3CL1/GRM8/ADRB2/DLGAP3/UNC13C/MCTP1/BAIAP3/KCNJ10",255
"GO:0045047","GO:0045047","protein targeting to ER","97/7297","116/15013",3.70400888348835e-15,3.1738064690233e-12,2.61787094020981e-12,"RPS19/RPL23/RPLP2/SSR3/TRAM2/RPL30/RPL7/RPS3/RPLP1/RPS27/TRAM1L1/RPS20/CHMP4A/RPS12/RPL37/RPS16/RPL31/RPL14/RPS23/UBA52/RPL27A/RPS27A/RPL17/RPL28/RPS6/BHLHE40-AS1/RPL37A/RPS4X/RPL32/RPL12/RPL10/RPL15/RPL5/RPL36A/RPLP0/RPL3/RPL36/RPL34/RPS17/RPL26/RPL13A/RPL11/SNAP25-AS1/RPL23A/RPL22/RPL4/RPS21/SPCS3/RPS15A/RPL21/RPS14/RPL18A/SEC61A2/RPL10A/RPS18/RPS10/RPL18/RPS7/RPS8/RPSA/RPS13/RPL19/RPL7A/RPL8/RPL35A/RPL41/HSPA5/RPS15/RPS11/RPS3A/RPS9/RPL27/RPS25/TRAM1/RPL9/RPS24/SEC61A1/RPL29/RPS28/SEC61B/RPL6/RPS29/RPL35/RPL24/SEC61G/RPS26/GET3/EDEM1/RPL38/RPS5/RPL39/SRP19/GJD2-DT/MAN1A1/SGTB/RPS2/TTC9-DT",97
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","98/7297","120/15013",5.55261939807472e-14,4.16307639370652e-11,3.43385673301989e-11,"RPS19/RPL23/RPLP2/SSR3/TRAM2/RPL30/RPL7/RPS3/RPLP1/RPS27/TRAM1L1/RPS20/CHMP4A/RPS12/RPL37/RPS16/RPL31/RPL14/RPS23/RYR2/UBA52/RPL27A/RPS27A/RPL17/RPL28/RPS6/BHLHE40-AS1/RPL37A/RPS4X/RPL32/RPL12/RPL10/RPL15/RPL5/RPL36A/RPLP0/RPL3/RPL36/RPL34/RPS17/RPL26/RPL13A/RPL11/SNAP25-AS1/RPL23A/RPL22/RPL4/RPS21/SPCS3/RPS15A/RPL21/RPS14/RPL18A/SEC61A2/RPL10A/RPS18/RPS10/RPL18/RPS7/RPS8/RPSA/RPS13/RPL19/RPL7A/RPL8/RPL35A/RPL41/HSPA5/RPS15/RPS11/RPS3A/RPS9/RPL27/RPS25/TRAM1/RPL9/RPS24/SEC61A1/RPL29/RPS28/SEC61B/RPL6/RPS29/RPL35/RPL24/SEC61G/RPS26/GET3/EDEM1/RPL38/RPS5/RPL39/SRP19/GJD2-DT/MAN1A1/SGTB/RPS2/TTC9-DT",98
"GO:0034329","GO:0034329","cell junction assembly","261/7297","393/15013",4.12787652870751e-13,2.75100037990974e-10,2.26912510934799e-10,"NRP1/LIMCH1/THSD1/ROBO2/CLASP2/CD9/MDGA1/MEF2C/JAM3/TJP1/LGI2/TEK/FN1/GAP43/KDR/F11R/RHOC/ESAM/PECAM1/POU4F1/SEMA4D/NRXN1/NTRK1/GJA4/ADGRB3/CAV1/GPM6A/PTPRD/PTPRO/APOD/LAMC1/PPM1F/CTNND2/ADD2/CDH5/DMTN/FBLIM1/EFNB2/PEAK1/RAB13/FLRT2/CLDN7/LIMS1/ILK/EPB41L3/PLXND1/NLGN1/MMP14/CHRNB2/DNER/EPHA2/TLN1/NLGN4Y/RHOA/NRCAM/DST/ITGA5/MARVELD3/VCL/LHFPL4/EPHB2/CTNNA1/SHANK3/NRXN2/SPTBN2/CLSTN3/ACVRL1/SLITRK6/CLDN5/LRRC4/GABRB3/FLRT3/DNM3/SLITRK4/PDLIM5/NTNG2/SDC4/SPOCK2/NPTN/EPHA3/WNT5A/RAMP2/PALS1/RAPGEF1/TRIP6/PTPRS/LRRN1/BSN/MARVELD2/CORO1C/CDH9/IL1RAP/CDH10/FGF13/PCDH17/SNCA/RAP1B/MPP7/DLC1/SDK1/PHLDB2/RAPGEF2/WDR1/STRN/ADGRL3/PKP4/CDH12/CDH18/GPM6B/CDH22/ZDHHC12/LRP1/MECP2/IQGAP1/SNAI1/LRRTM1/CBFB/ACHE/PARD6A/NLGN4X/NTRK2/SLITRK5/SLIT1/SMAD3/LRRN3/GPBAR1/THBS1/LRTM2/LRFN5/CDK5/MAP1B/MYO1C/ITGA6/LRFN1/SHANK2/S100A10/GJA5/KIRREL3/CTTN/CDH24/ARHGEF7/APC/RAC1/DRD2/NPHP1/EIF4G1/PRKCH/OCLN/IKBKB/OBSL1/SEMA4A/AMIGO1/FAM107A/LRRTM3/PLXNB1/ADGRB1/ITGA2/ASIC2/DLG5/COL17A1/PTK2/ACTN1/GPRASP2/TRPV4/NLGN3/CLDN10/RAP1A/RYK/SLK/WHAMM/CDH7/PKN2/GJA1/NLGN2/PTPRK/DLG1/DUSP22/EFNA5/THY1/CNTN5/SRF/ARMCX5-GPRASP2/RAB29/GREM1/PRKCI/TLN2/SLITRK3/ZNF703/LRFN4/SLC9A1/FLOT1/SFRP1/CAPZA1/IL1B/ACE/GABRG2/CTNNB1/OPHN1/AGT/PDPK1/BCL2/LAMA3/COL16A1/CUX2/RHOD/VASP/PCLO/DCHS1/IL1RAPL2/RUNX1/DVL1/CLDN9/CDH11/WNT11/SDK2/CLSTN2/DSCAM/SLITRK1/CAMSAP3/PTK2B/EPB41L5/ROCK2/DUSP3/AGRN/CTNND1/GJC1/TPBG/PARD3/PIP5K1A/MAP4K4/GPC6/PKP2/PCDHB16/PDCD6IP/SRPX2/ITGB1BP1/GRHL2/CLSTN1/EPHB1/GPC4/RCC2/SIX1/BCR/CBLN1/WDPCP/CLASP1/TESK2/AJUBA/EPHB3/PCDHB4/ACE2/CLDN4/GABRA1/TBCD/CLDN15/NPHP4/FERMT2/MTDH/RAB17/NR1H4/FZD5",261
"GO:0010975","GO:0010975","regulation of neuron projection development","265/7297","408/15013",1.15210394556511e-11,6.91031946549953e-09,5.69988267805897e-09,"NRP1/CNR1/SNAP25/ROBO2/NDRG4/MAPT/MAP6/STMN2/SEMA3G/RUFY3/FN1/B2M/PTPRG/PAK3/GDI1/RET/CNTN1/CERS2/SEMA6D/ATP8A2/L1CAM/EFNA1/CIB1/NEDD4L/SEMA4D/SRCIN1/NTRK1/MINAR1/RTN4RL1/SCARF1/ADGRB3/PTPRD/PTPRO/GATA3/CDK5R1/NEFL/VIM/DRAXIN/CRMP1/EFNB2/STX1B/KIDINS220/CAMK2B/SETX/PLXND1/SERPINI1/FES/SEMA6A/NLGN1/DCC/CHRNB2/GRN/CHRNA3/NTRK3/HECW1/PPFIA2/ROBO1/MBOAT1/CFLAR/ZFYVE27/RHOA/SEMA4G/INPP5J/ABL2/CTNNA2/TRIM46/EPHB2/RND2/SHANK3/FUT9/NDNF/TRPV2/SPART/CCDC88A/UST/DNM3/PDLIM5/NTNG2/CARM1/ISLR2/RAB11A/NPTN/KIF1A/GPC2/SLIT2/EPHA3/WNT5A/SHOX2/POU4F2/RAPGEF1/SKIL/PTPRS/NCK1/FKBP1B/SEMA3F/SIPA1L1/MAP2/SNX3/LRRC4C/DISC1/FGF13/RAPGEF2/ANKRD1/DPYSL3/LRP8/ACAP3/ARHGAP33/SEMA5B/LRP1/ZNF804A/KLF4/IQGAP1/METRN/PLPPR5/CAMK1D/NEGR1/NCS1/NTRK2/KNDC1/BRSK2/PRRX1/ADAM10/INPP5F/CYFIP1/HSPA5/NEDD4/POU3F2/CDK5/MAP1B/ITGA6/ARHGAP44/LZTS1/SCARB2/MFSD2A/RTN4/MAP2K1/OBSL1/PLXNA3/CHN1/CRABP2/SEMA4A/LPAR1/MARK1/AMIGO1/SEMA4B/LINGO1/PLXNB1/CAMSAP2/RGMA/PPP3CA/FSTL4/HECW2/BRSK1/PPP2R5B/SEMA4F/RTN4RL2/PREX1/PLXNA1/TIAM2/NIN/LZTS3/PARP6/GPRASP2/SYNGAP1/TRPV4/TRIM67/LYN/RAP1A/CRTC1/CD38/RYK/TNIK/TANC2/CFL1/SPP1/THY1/SRF/EP300/ARMCX5-GPRASP2/RAB29/TRAK2/BMP5/FYN/PRKCI/TOX/DHX36/SEMA3C/RELN/FBXO31/SFRP1/NTNG1/CHODL/ARHGDIA/PRAG1/TIAM1/ACTR2/CDKL5/LGALS1/KREMEN1/TWF2/P3H1/CAMK1/SARM1/SERPINF1/NGFR/ADCY6/CUX2/GFI1/ARHGAP35/KIAA0319/SS18L2/EFNB3/RAP2A/NME2/DVL1/EPHA4/NGF/SEZ6/ZDHHC15/SEMA6B/PSEN1/BMPR2/DSCAM/KDM1A/SLITRK1/PTK2B/LRRK2/PLXNC1/LIMK1/RTN4IP1/APOE/ALK/KIF13B/MYLIP/RIT2/CBFA2T2/ROR2/FBXW8/PTK7/ZNF365/PLK5/MDK/ITM2C/ATF1/CDH4/BMP7/PLXNB3/ARC/ATP1B2/GOLGA4/TNR/EPHB3/SEMA3D/NSMF/CX3CL1/FEZ1/CDKL3/NEUROG3/EZH2/SCN1B/CAPRIN2/RAB17/MARK2/NDEL1/SEMA3A",265
