"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061564","GO:0061564","axon development","321/7565","472/15013",2.67638177638888e-15,1.60582906583333e-11,1.38016782342412e-11,"NRP1/CNR1/ROBO2/KIF5A/ZSWIM5/UNC5B/SHC1/MAPT/MAP6/SEMA3G/JAM3/RHOG/RAB3A/RUFY3/KIF5C/NFIB/GAP43/PAK3/NFASC/FN1/GDI1/RET/DCLK1/EFNA1/L1CAM/ATL1/CERS2/ATP8A2/SEMA6D/POU4F1/MAP1A/NRXN1/CDK5R1/SEMA4D/LHX9/GATA3/NEFL/NTRK1/DOK5/RTN4RL1/PTPRO/CRMP1/GRB2/DRAXIN/SLITRK6/RNF165/NREP/SCARF1/VASH2/NEFH/FLRT2/DRGX/EPHA6/ROBO1/CHRNB2/RHOA/EPHB4/PLXND1/ZFYVE27/GRN/DCC/NCAM1/CNTN2/GDF7/SEMA4G/EFNB2/EFNA4/UNC5A/NRCAM/SPTBN2/CTNNA1/UST/GDNF/NRP2/SEMA6A/ANK3/TRIM46/NUMB/APOD/SKIL/EVL/VCL/SPART/CTNNA2/KLF7/EPHA2/SLIT2/SHANK3/RND2/DPYSL5/EPHB2/SIPA1L1/ISLR2/APBB1/SLITRK4/FLRT3/EPHA5/ROBO4/GPC1/LAMB2/GFRA1/SPTBN4/WNT5A/RAB11A/SHOX2/EPHA3/NPTN/USP33/UNC5D/VAX1/PRKCQ/POU4F2/EPHA8/STXBP1/LHX1/NTNG2/RHOH/MAP2/MYCBP2/TRPV2/TUBB3/PTPRS/FGF13/LRRC4C/RAB8A/INPP5F/EPHA10/DPYSL2/SPTBN1/SEMA5B/METRN/SH3KBP1/B3GNT2/CYFIP1/SEMA3F/FKBP1B/SLITRK5/LRP1/HDAC6/DISC1/CHN1/TSPO/MAPK3/RTN4/PPP3CB/LHX4/GBX2/DRD2/BRSK2/NIN/NTRK2/TUBB2B/LAMA5/SPTA1/TNC/CAMSAP2/NUMBL/OLFM1/SLIT1/ISL1/KLF4/DLX5/POU3F2/MAP1B/IGSF9/CDK5/CCK/NEXN/SLC9A6/SEMA4B/TRAK2/ADARB1/NOTCH2/PLXNA3/NCAM2/PLXNB1/TIAM2/SEMA4F/LINGO1/LRTM2/NIBAN2/EZR/POU4F3/CRABP2/PHOX2B/NRXN3/AMIGO1/NLGN3/RAC2/CTTN/RPL24/RTN4RL2/SEMA4A/TRIM32/NGFR/C9orf72/FZD3/PTK2/STMN1/RAC1/GAB1/NOTCH1/S100A6/THY1/DOK6/LMX1A/OPHN1/PTPRA/SPAST/PTPRM/SRF/SLIT3/RYK/FYN/SVBP/BRSK1/PLXNA1/EFNA5/NPTX1/TMEFF1/ADGRB1/DOK1/RGMA/NGF/B4GALT5/ARHGDIA/B4GALT6/FLOT1/SLITRK3/DDR1/DOCK7/TWF2/MAP2K1/FOXB1/AFG3L2/EFNA2/GFRA2/RAP1GAP/ARHGAP35/DSCAM/SEMA3C/FSTL4/VASP/SEMA6B/CHODL/TTL/C12orf57/EFNB3/KREMEN1/YTHDF1/PLXNC1/LIMK1/HSP90AA1/OTX2/CDH11/GRB7/PARD3/NTN4/NTNG1/EPHA4/CDKL5/ITGA4/NKX6-1/GSK3B/RANBP9/FOXG1/NOTCH3/BCL2/ULK2/GOLGA4/EPHB1/KIF13B/KIAA0319/TNN/SCN1B/TSPAN2/DAB1/ULK1/BMPR1B/VLDLR/SLITRK1/TIAM1/APOE/ALCAM/HSP90AB1/ENAH/MCF2/FEZF1/VSTM2L/VAX2/PLXNB3/S100B/SEMA3B/SPP1/RELN/CDKL3/SPTB/PLPPR4/DVL1/MYPN/FEZ2/FOXD1/TNFRSF21/KEL/PAX2/ZSWIM6/MAPK8IP3/DHFR/SEMA6C/ADCY1/FEZ1/SEMA3D/PIK3R1/SIAH1/GLI3/NDEL1/SEMA3E/SMO/SEMA4C/SHC3/ZSWIM4",321
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","88/7565","101/15013",5.61540548144157e-15,1.68462164443247e-11,1.44788797124117e-11,"RPS19/RPL23/RPLP2/RPL7/RPS12/RPS27/RPS3/RPL30/SSR3/RPS20/RPL37/RPLP1/RPL27A/RPS6/RPS23/RPL31/RPS16/RPL14/RPS27A/UBA52/RPL3/TRAM1L1/RPS4X/RPL13A/RPL37A/RPL12/RPL32/RPL17/RPL36A/RPL15/RPL11/RPS17/RPLP0/SNAP25-AS1/RPL5/RPL34/RPL28/TRAM2/RPS14/RPL22/RPL26/RPL18A/RPL21/RPL10/RPS18/RPL36/RPL23A/RPL4/BHLHE40-AS1/RPL8/RPS15A/RPSA/RPS10/RPS8/RPL18/RPS25/RPL10A/RPL19/RPS21/RPL7A/RPL41/RPS11/RPS7/SEC61A2/RPS13/RPS15/RPL35A/RPS24/RPS9/RPS3A/RPL27/RPS29/RPL29/TRAM1/RPL9/RPS28/RPL24/SEC61B/RPL6/RPL39/RPS26/RPL35/SEC61A1/RPL38/RPS5/GJD2-DT/TTC9-DT/RPS2",88
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","91/7565","106/15013",1.42623675183056e-14,2.85247350366113e-11,2.45162591130454e-11,"RPS19/RPL23/SIL1/RPLP2/RPL7/RPS12/RPS27/RPS3/RPL30/SSR3/RPS20/RPL37/RPLP1/RPL27A/RPS6/RPS23/RPL31/RPS16/RPL14/RPS27A/UBA52/RPL3/TRAM1L1/RPS4X/RPL13A/RPL37A/RPL12/RPL32/RPL17/RPL36A/RPL15/RPL11/RPS17/RPLP0/SSR2/SNAP25-AS1/RPL5/RPL34/RPL28/TRAM2/RPS14/RPL22/RPL26/RPL18A/RPL21/RPL10/RPS18/RPL36/RPL23A/RPL4/BHLHE40-AS1/RPL8/RPS15A/RPSA/RPS10/RPS8/RPL18/RPS25/RPL10A/RPL19/RPS21/RPL7A/RPL41/RPS11/RPS7/SSR1/SEC61A2/RPS13/RPS15/RPL35A/RPS24/RPS9/RPS3A/RPL27/RPS29/RPL29/TRAM1/RPL9/RPS28/RPL24/SEC61B/RPL6/RPL39/RPS26/RPL35/SEC61A1/RPL38/RPS5/GJD2-DT/TTC9-DT/RPS2",91
"GO:0007409","GO:0007409","axonogenesis","294/7565","431/15013",2.25138965899154e-14,3.37708448848731e-11,2.90251524721041e-11,"NRP1/ROBO2/KIF5A/ZSWIM5/UNC5B/SHC1/MAPT/MAP6/SEMA3G/RHOG/RAB3A/RUFY3/KIF5C/NFIB/GAP43/PAK3/NFASC/FN1/GDI1/RET/DCLK1/EFNA1/L1CAM/ATL1/ATP8A2/SEMA6D/POU4F1/MAP1A/NRXN1/CDK5R1/SEMA4D/LHX9/GATA3/NEFL/NTRK1/DOK5/PTPRO/CRMP1/GRB2/DRAXIN/SLITRK6/RNF165/NEFH/FLRT2/DRGX/EPHA6/ROBO1/CHRNB2/RHOA/EPHB4/PLXND1/ZFYVE27/DCC/NCAM1/CNTN2/GDF7/SEMA4G/EFNB2/EFNA4/UNC5A/NRCAM/SPTBN2/UST/GDNF/NRP2/SEMA6A/ANK3/TRIM46/NUMB/SKIL/EVL/VCL/SPART/CTNNA2/KLF7/EPHA2/SLIT2/SHANK3/RND2/DPYSL5/EPHB2/SIPA1L1/ISLR2/APBB1/SLITRK4/FLRT3/EPHA5/ROBO4/GPC1/LAMB2/GFRA1/SPTBN4/WNT5A/RAB11A/SHOX2/EPHA3/NPTN/USP33/UNC5D/VAX1/PRKCQ/POU4F2/EPHA8/STXBP1/LHX1/NTNG2/RHOH/MAP2/MYCBP2/TRPV2/TUBB3/PTPRS/FGF13/LRRC4C/RAB8A/EPHA10/DPYSL2/SPTBN1/SEMA5B/METRN/SH3KBP1/B3GNT2/CYFIP1/SEMA3F/SLITRK5/LRP1/HDAC6/DISC1/CHN1/MAPK3/RTN4/PPP3CB/LHX4/GBX2/DRD2/BRSK2/NIN/NTRK2/TUBB2B/LAMA5/SPTA1/NUMBL/OLFM1/SLIT1/ISL1/DLX5/POU3F2/MAP1B/IGSF9/CDK5/CCK/NEXN/SLC9A6/SEMA4B/TRAK2/ADARB1/NOTCH2/PLXNA3/PLXNB1/TIAM2/SEMA4F/LINGO1/LRTM2/NIBAN2/EZR/POU4F3/CRABP2/PHOX2B/NRXN3/AMIGO1/NLGN3/RAC2/CTTN/RPL24/SEMA4A/NGFR/C9orf72/FZD3/PTK2/STMN1/RAC1/GAB1/NOTCH1/S100A6/THY1/DOK6/LMX1A/OPHN1/PTPRA/SPAST/PTPRM/SRF/SLIT3/RYK/FYN/BRSK1/PLXNA1/EFNA5/NPTX1/TMEFF1/ADGRB1/DOK1/NGF/B4GALT5/ARHGDIA/B4GALT6/FLOT1/SLITRK3/DOCK7/TWF2/MAP2K1/FOXB1/AFG3L2/EFNA2/GFRA2/RAP1GAP/ARHGAP35/DSCAM/SEMA3C/FSTL4/VASP/SEMA6B/CHODL/TTL/C12orf57/EFNB3/YTHDF1/PLXNC1/LIMK1/HSP90AA1/OTX2/CDH11/GRB7/PARD3/NTN4/NTNG1/EPHA4/CDKL5/ITGA4/NKX6-1/GSK3B/RANBP9/FOXG1/NOTCH3/BCL2/ULK2/GOLGA4/EPHB1/KIF13B/KIAA0319/TNN/SCN1B/DAB1/ULK1/BMPR1B/VLDLR/SLITRK1/TIAM1/APOE/ALCAM/HSP90AB1/ENAH/MCF2/FEZF1/VSTM2L/VAX2/PLXNB3/S100B/SEMA3B/SPP1/RELN/CDKL3/SPTB/PLPPR4/DVL1/MYPN/FEZ2/FOXD1/KEL/PAX2/ZSWIM6/SEMA6C/ADCY1/FEZ1/SEMA3D/PIK3R1/SIAH1/GLI3/NDEL1/SEMA3E/SMO/SEMA4C/SHC3/ZSWIM4",294
"GO:1903530","GO:1903530","regulation of secretion by cell","326/7565","486/15013",2.99564180393221e-14,3.59477016471866e-11,3.08961035736082e-11,"CNR1/SNAP25/CLASP2/HMOX1/SYT7/SNCAIP/VAMP8/TNFRSF1B/MEF2C/SYT1/RAB3A/STX1A/SNCG/SYT4/RAB26/RIMS3/ASIC1/CPLX2/SCG5/CACNA1E/GLP1R/ITPR3/CADPS/RAPGEF3/SLC4A8/VAMP3/SEPTIN2/RAB13/CHRNB4/RAB27A/NEUROD1/STX1B/RIMS4/CAMK2N1/IGF1/SYP/CD33/NR1H3/MICAL1/SYT11/CHRNB2/CHGA/ACSL4/SEPTIN5/APLN/CHRNA3/REST/NLGN1/KCNS3/TRIM9/FES/ITPR1/PPFIA2/RIMS2/CARTPT/SYT2/SMPD3/GDNF/STX4/TGFB2/SEPTIN4/SYT9/TCF7L2/CD200/KCNA2/SDC4/ADCY5/KLF7/SDCBP/NMU/CEACAM1/APBB1/RALA/GCK/EPHA5/SYT13/HLA-DRB1/HIF1A/TLR4/ICA1/SLC16A1/OXCT1/CACNA1D/PREPL/STXBP3/F2RL1/ABCC8/SYT5/TNFRSF11A/CHRNA4/STXBP1/CPLX1/RAB2B/RAP1B/RIC1/C1QTNF3/RAB8A/DPH3/PLA2G4A/CHRNA5/SOX11/KCNC2/TGFB3/BACE1/SNCA/GPR68/FKBP1B/LRP1/SYT6/GPLD1/AIMP1/NSF/RHBDF2/APBA1/ACHE/RAPGEF4/ANG/CADPS2/PPP3CB/ARFIP1/LYN/HADH/DRD2/KMO/BRSK2/ENHO/GATA2/P2RY1/SLC25A6/KCNA5/VAMP2/SERGEF/NCS1/RIMS1/MYH10/LLGL2/ISL1/IFNG/SRI/PARD6A/RFX3/TMED10/GRIN3A/PIM3/EDN1/RAB27B/CDK5/BMP8A/DOC2B/AVPR1A/CCK/CHD7/RAB8B/VIP/PHPT1/MYRIP/HYAL3/CD38/RHBDF1/SYT12/P2RX4/ADRA2A/CRHBP/SIRT4/TFR2/GDF9/SLC30A8/CACNA1H/GJA1/SFRP1/GALR1/CACNA1I/EZR/ERP29/RAB15/ZP3/RAC2/SYN1/ANXA1/PTAFR/SCAMP5/NLGN2/RAP1A/DPP4/PPARD/PPP3CA/STXBP6/RAC1/LRP5/CAMK2A/NOTCH1/ADORA2A/HLA-F/CACNA1A/CDK5R2/SLC25A4/FOXA2/MYO18A/HMGN3/CYP51A1/VPS4B/GOLPH3L/RAB11FIP5/ADAM8/EFNA5/CFTR/HRH3/IL4R/CSPG5/CALM3/TFAP2B/FRMD4A/HFE/STXBP5L/C2CD2L/KCNB1/SLC2A1/LAMP1/TM7SF3/PRKCG/KDM5B/RHOT1/KCNJ11/STAM/CACNB2/RAB5A/DNAJC1/PDPK1/ANKRD1/OR51E2/CDK16/PCLO/CRHR1/SYTL4/RAB33B/DOC2A/ENY2/ATP2A2/ANO1/EXOC1/PSMD9/FGR/TSG101/FGB/ITGB2/PPIA/ENSA/SLC9B2/ATP13A2/NPY2R/P2RX1/NKX6-1/SPHK2/GSK3B/PDCD6IP/CD84/CACNA2D2/RASL10B/WLS/HMGCR/IL6/SLC25A5/MAP2K6/IL11/ATP6AP1/RAB3D/GPR27/ABCG1/KCNMB4/ADCY8/CRY1/CBARP/BMP6/PFKFB2/VSNL1/SOX4/C1QTNF1/TIAM1/ADRA1A/PICK1/GOLPH3/MCTP2/APOE/SYK/ADTRP/FFAR3/LGALS9/NR1D1/GIPR/RPH3AL/TTN/TCIRG1/TNFRSF1A/CAPN10/PASK/SPP1/SLC30A1/P3H1/PAX8/CLASP1/IL1B/AGT/VPS4A/SYT10/UNC13B/DVL1/IDH2/GNAI2/CD2AP/ADORA1/SLC8B1/PER2/IL12A/ADCY1/CPB2/PTGES/CPLANE2/GHRHR/CACNA1G/UCN/CLTRN/LILRB1/APBB3/ADGRE2/STXBP5/LRP5L",326
"GO:0010975","GO:0010975","regulation of neuron projection development","279/7565","408/15013",6.57778073712498e-14,6.57778073712498e-11,5.65342944406584e-11,"NRP1/CNR1/ROBO2/NDRG4/SNAP25/MAPT/MAP6/SEMA3G/STMN2/RUFY3/PAK3/B2M/FN1/PTPRG/GDI1/RET/EFNA1/L1CAM/CNTN1/CERS2/ATP8A2/SEMA6D/NEDD4L/CIB1/MINAR1/CDK5R1/SEMA4D/GATA3/NEFL/PTPRD/ADGRB3/SRCIN1/NTRK1/RTN4RL1/PTPRO/CRMP1/DRAXIN/KIDINS220/STX1B/SCARF1/ROBO1/CAMK2B/CHRNB2/RHOA/PLXND1/NTRK3/NDNF/HECW1/ZFYVE27/GRN/CHRNA3/SERPINI1/DCC/NLGN1/SEMA4G/EFNB2/FES/MBOAT1/PPFIA2/SETX/CFLAR/INPP5J/FUT9/UST/VIM/SEMA6A/NCK1/TRIM46/CCDC88A/SKIL/SPART/CTNNA2/SLIT2/SHANK3/RND2/EPHB2/SIPA1L1/PDLIM5/GPC2/ISLR2/ABL2/CARM1/WNT5A/DNM3/RAB11A/SHOX2/EPHA3/NPTN/KIF1A/POU4F2/NTNG2/MAP2/TRPV2/PTPRS/FGF13/LRRC4C/NEGR1/INPP5F/SNX3/RAPGEF1/SEMA5B/ZNF804A/METRN/CYFIP1/LRP8/SEMA3F/DPYSL3/ACAP3/LZTS1/FKBP1B/LRP1/PPP2R5B/DISC1/CHN1/IQGAP1/RTN4/CAMK1D/TRIM67/LYN/MARK1/PLPPR5/BRSK2/NIN/NTRK2/RAB29/PRKCI/ARHGAP33/NCS1/PARP6/ADAM10/CAMSAP2/KLF4/POU3F2/MAP1B/LZTS3/SCARB2/CDK5/TANC2/ARHGAP44/PREX1/SEMA4B/TRAK2/KNDC1/MFSD2A/CD38/TRPV4/PLXNA3/HSPA5/PLXNB1/TIAM2/CRTC1/ARMCX5-GPRASP2/SEMA4F/LINGO1/SFRP1/LPAR1/CRABP2/AMIGO1/RTN4RL2/SEMA4A/KDM1A/GPRASP2/RAP1A/SARM1/NGFR/PPP3CA/CFL1/PRRX1/THY1/OBSL1/ACTR2/DHX36/SRF/RYK/FYN/RAPGEF2/BRSK1/PLXNA1/FBXW8/TOX/ALK/RGMA/NGF/ARHGDIA/CAMK1/FBXO31/NEDD4/TNIK/HECW2/TWF2/EFHC2/ADCY6/LGALS1/MAP2K1/CX3CL1/ARHGAP35/BMP5/DSCAM/SEMA3C/FSTL4/ANKRD1/SEMA6B/CUX2/CHODL/NME2/EFNB3/ITGA3/KREMEN1/PLXNC1/LIMK1/MDK/ATF1/CDC20/PTK7/NTNG1/EP300/EPHA4/CDKL5/SEZ6/PAQR3/ITGA6/GSK3B/PTK2B/SS18L2/LTK/ZDHHC15/ITM2C/GOLGA4/PRAG1/RAP2A/ROR2/GFI1/KIF13B/KIAA0319/SCN1B/UBE3A/LRRC7/DAB1/VLDLR/MAGI2/MYLIP/SLITRK1/RRN3/TIAM1/RTN4IP1/APOE/SS18L1/TWF1/CBFA2T2/MCF2/PLK5/RIT2/FKBP4/PLXNB3/SEMA3B/SPP1/RELN/P3H1/CDKL3/CAPRIN2/DVL1/KEL/PTPN9/EZH2/AVIL/SEMA6C/NEUROG3/ZNF365/FEZ1/SEMA3D/SDC2/NDEL1/ATP1B2/EEF2K/NCKIPSD/PTK6/SEMA3E/SEMA4C/NSMF",279
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","256/7565","373/15013",3.79788897318038e-13,3.25533340558318e-10,2.79787339543018e-10,"CNR1/P2RX3/SNAP25/NSG1/MAPT/SYT7/SNCAIP/MEF2C/SYT1/RAB3A/FGF14/STX1A/SNCG/GRM2/SYT4/RAB26/RIMS3/ASIC1/MAP1A/CPLX2/GRIK1/NRXN1/UNC13A/ITPR3/CELF4/MAPK8IP2/PTPRD/NTRK1/SLC4A8/CHRNB4/GRIK2/STX1B/RIMS4/CACNG4/SYP/KIT/CAMK2B/CNTNAP4/SYT11/CHRNB2/SORCS2/CPEB3/SEPTIN5/CHRNA3/DCC/NLGN1/SLC24A1/PRRT2/SYN3/PLCB4/ERC2/RNF19A/PPFIA2/CACNA1B/RIMS2/MPP2/CALB1/CACNB3/STX4/LRRC4/CACNG3/DGKB/TMEM25/ABHD6/ABR/GRIK3/NLGN4Y/RASGRF1/SHANK3/EPHB2/NMU/SIPA1L1/PLK2/NRG3/SLC4A10/GRM4/RAB11A/PLCB1/SYNGR1/NPTN/DGKI/PLCL1/NPTXR/PREPL/CLSTN3/ITGB1/STXBP1/CPLX1/NTNG2/SHISA7/NPTX2/PCDH17/RAP1B/GRIK5/PTPRS/LRRC4C/RPL22/RAB8A/ZDHHC12/PRKCZ/STAR/CYFIP1/CHRNA5/LRP8/AKAP12/BACE1/LZTS1/SH3GL1/ATAD1/DISC1/CACNG2/NLGN4X/APBA1/ACHE/JPH4/PPP3CB/FAM107A/DRD2/KMO/NTRK2/JPH3/P2RY1/TUBB2B/VAMP2/NCS1/SRGN/RIMS1/AKAP9/SCGN/MAP1B/CCL2/GRIN3A/CNIH2/EDN1/CDK5/HRH1/BCHE/MECP2/CACNG7/GRIN1/SLC8A3/SLC8A2/CD38/SYT12/GRIN2A/GRIA1/SERPINE2/ADRA2A/CRTC1/CYP46A1/SHANK2/NCSTN/SORCS3/NLGN3/SYN1/NCDN/NLGN2/RAP1A/PPP3CA/BEGAIN/CAMK2A/SLC24A2/PRKAR2B/OPHN1/PTPRA/ADORA2A/CACNA1A/SRF/CLN3/FYN/RAPGEF2/NEUROD2/BRSK1/ARRB2/NPTX1/STX3/ADGRB1/NGF/CSPG5/CALM3/FLOT1/STXBP5L/KCNB1/TMEM108/LRFN2/DLG4/PRKCG/DLGAP2/RHOT1/NTF3/DLGAP1/CX3CL1/CACNB2/BTBD9/RAB5A/FABP5/CALB2/RASGRF2/CUX2/DGKZ/ATP2A2/YTHDF1/USP46/DMPK/CDH11/YWHAG/CDC20/MME/NTNG1/NPY2R/P2RX1/EPHA4/CLSTN1/GSK3B/PTK2B/DLGAP3/PRRT1/NEURL1/IGSF11/RGS4/RAPSN/KRAS/CX3CR1/SLC7A11/ROR2/KCNMB4/ADCY8/NRGN/ADRA1A/PICK1/MCTP2/CBLN1/APOE/GRM1/PLCL2/CLSTN2/SQSTM1/GRM5/SLC30A1/RELN/IL1B/BCR/DVL1/GRID1/GRM8/GNAI2/ADORA1/KCNJ10/ADCY1/UCN/LGMN/LRRTM2/CNR2/SHISA9/STXBP5/NSMF",256
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","255/7565","372/15013",5.23759624552666e-13,3.928197184145e-10,3.37618210616252e-10,"CNR1/P2RX3/SNAP25/NSG1/MAPT/SYT7/SNCAIP/MEF2C/SYT1/RAB3A/FGF14/STX1A/SNCG/GRM2/SYT4/RAB26/RIMS3/ASIC1/MAP1A/CPLX2/GRIK1/NRXN1/UNC13A/ITPR3/CELF4/MAPK8IP2/PTPRD/NTRK1/SLC4A8/CHRNB4/GRIK2/STX1B/RIMS4/CACNG4/SYP/KIT/CAMK2B/CNTNAP4/SYT11/CHRNB2/SORCS2/CPEB3/SEPTIN5/CHRNA3/DCC/NLGN1/SLC24A1/PRRT2/SYN3/PLCB4/ERC2/RNF19A/PPFIA2/CACNA1B/RIMS2/MPP2/CALB1/CACNB3/STX4/LRRC4/CACNG3/DGKB/TMEM25/ABHD6/ABR/GRIK3/NLGN4Y/RASGRF1/SHANK3/EPHB2/NMU/SIPA1L1/PLK2/NRG3/SLC4A10/GRM4/RAB11A/PLCB1/SYNGR1/NPTN/DGKI/PLCL1/NPTXR/PREPL/CLSTN3/ITGB1/STXBP1/CPLX1/NTNG2/SHISA7/NPTX2/PCDH17/RAP1B/GRIK5/PTPRS/LRRC4C/RPL22/RAB8A/ZDHHC12/PRKCZ/STAR/CYFIP1/CHRNA5/LRP8/AKAP12/BACE1/LZTS1/SH3GL1/ATAD1/DISC1/CACNG2/NLGN4X/APBA1/ACHE/JPH4/PPP3CB/FAM107A/DRD2/KMO/NTRK2/JPH3/P2RY1/TUBB2B/VAMP2/NCS1/SRGN/RIMS1/AKAP9/SCGN/MAP1B/CCL2/GRIN3A/CNIH2/EDN1/CDK5/HRH1/BCHE/MECP2/CACNG7/GRIN1/SLC8A3/SLC8A2/CD38/SYT12/GRIN2A/GRIA1/SERPINE2/ADRA2A/CRTC1/CYP46A1/SHANK2/NCSTN/SORCS3/NLGN3/SYN1/NCDN/NLGN2/RAP1A/PPP3CA/BEGAIN/CAMK2A/SLC24A2/PRKAR2B/OPHN1/PTPRA/ADORA2A/CACNA1A/SRF/CLN3/FYN/RAPGEF2/NEUROD2/BRSK1/ARRB2/NPTX1/STX3/ADGRB1/NGF/CSPG5/CALM3/FLOT1/STXBP5L/KCNB1/TMEM108/LRFN2/DLG4/PRKCG/DLGAP2/RHOT1/NTF3/DLGAP1/CX3CL1/CACNB2/BTBD9/RAB5A/CALB2/RASGRF2/CUX2/DGKZ/ATP2A2/YTHDF1/USP46/DMPK/CDH11/YWHAG/CDC20/MME/NTNG1/NPY2R/P2RX1/EPHA4/CLSTN1/GSK3B/PTK2B/DLGAP3/PRRT1/NEURL1/IGSF11/RGS4/RAPSN/KRAS/CX3CR1/SLC7A11/ROR2/KCNMB4/ADCY8/NRGN/ADRA1A/PICK1/MCTP2/CBLN1/APOE/GRM1/PLCL2/CLSTN2/SQSTM1/GRM5/SLC30A1/RELN/IL1B/BCR/DVL1/GRID1/GRM8/GNAI2/ADORA1/KCNJ10/ADCY1/UCN/LGMN/LRRTM2/CNR2/SHISA9/STXBP5/NSMF",255
"GO:0045047","GO:0045047","protein targeting to ER","95/7565","116/15013",1.4702496150767e-12,9.80166410051136e-10,8.42427235586055e-10,"RPS19/RPL23/RPLP2/RPL7/RPS12/RPS27/RPS3/RPL30/SSR3/RPS20/RPL37/RPLP1/RPL27A/RPS6/RPS23/RPL31/RPS16/RPL14/RPS27A/UBA52/RPL3/TRAM1L1/RPS4X/CHMP4A/RPL13A/RPL37A/RPL12/RPL32/RPL17/RPL36A/RPL15/RPL11/RPS17/RPLP0/SNAP25-AS1/RPL5/RPL34/RPL28/TRAM2/RPS14/RPL22/RPL26/RPL18A/RPL21/RPL10/RPS18/RPL36/RPL23A/RPL4/BHLHE40-AS1/RPL8/RPS15A/RPSA/RPS10/SPCS3/RPS8/RPL18/RPS25/RPL10A/RPL19/RPS21/RPL7A/RPL41/RPS11/RPS7/SEC61A2/RPS13/RPS15/RPL35A/RPS24/RPS9/RPS3A/RPL27/RPS29/RPL29/TRAM1/HSPA5/RPL9/RPS28/RPL24/SEC61B/RPL6/RPL39/RPS26/RPL35/SEC61A1/RPL38/RPS5/SEC61G/GET3/GJD2-DT/EDEM1/TTC9-DT/RPS2/MAN1A1",95
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","97/7565","120/15013",3.92409185755724e-12,2.35445511453434e-09,2.02359221159715e-09,"RPS19/RPL23/PABPC1/RPLP2/RPL7/RPS12/RPS27/RPS3/RPL30/RPS20/RPL37/RPLP1/RPL27A/RPS6/RPS23/RPL31/RPS16/RPL14/RPS27A/UBA52/PNRC2/RPL3/RPS4X/RPL13A/RPL37A/RPL12/RPL32/RPL17/RPL36A/RPL15/RPL11/RPS17/RPLP0/RPL5/RPL34/RPL28/RPS14/RPL22/RPL26/RPL18A/RPL21/RPL10/RPS18/RPL36/RPL23A/RPL4/RPL8/RPS15A/RPSA/RPS10/EIF3E/RPS8/RPL18/RPS25/RPL10A/RPL19/RPS21/RPL7A/RPL41/RPS11/RPS7/RPS13/RPS15/RPL35A/GSPT1/ETF1/RPS24/RPS9/RPS3A/MAGOHB/MAGOH/RPL27/RPS29/RPL29/PPP2R2A/RPL9/RPS28/PYM1/RPL24/RPL6/RBM8A/RPL39/RPS26/DCP2/EIF4G1/RPL35/RPL38/RPS5/PPP2CA/NBAS/SKIV2L/DCP1B/HELZ2/CTIF/RPS2/DHX34/CASC3",97
