"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140014","GO:0140014","mitotic nuclear division","24/207","289/15013",1.70366801986406e-12,5.13655907989014e-09,4.45105686873957e-09,"BMP4/KIF2C/IGF1/UBE2C/KIF14/KIF11/ESPL1/CCNB2/PLK1/CDC20/TPX2/TOM1L1/CDCA5/PTTG1/SLF1/AURKB/CDK1/NUSAP1/NCAPH/DLGAP5/TACC3/USP44/KIF23/KIFC1",24
"GO:0000819","GO:0000819","sister chromatid segregation","19/207","188/15013",1.31515634065318e-11,1.98259818353468e-08,1.71800949342169e-08,"KIF2C/UBE2C/KIF14/ESPL1/PLK1/CDC20/CDCA5/TOP2A/PTTG1/SLF1/AURKB/NUSAP1/NCAPH/DLGAP5/ESCO2/TACC3/USP44/KIF23/KIFC1",19
"GO:0000280","GO:0000280","nuclear division","26/207","406/15013",6.88629636587256e-11,6.81030633719241e-08,5.90143329978583e-08,"BMP4/KIF2C/IGF1/UBE2C/KIF14/KIF11/ESPL1/CCNB2/PLK1/CDC20/TPX2/RAD51/TOM1L1/CDCA5/TOP2A/PTTG1/SLF1/AURKB/CDK1/NUSAP1/NCAPH/DLGAP5/TACC3/USP44/KIF23/KIFC1",26
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","17/207","162/15013",9.03523228814914e-11,6.81030633719241e-08,5.90143329978583e-08,"KIF2C/UBE2C/KIF14/ESPL1/PLK1/CDC20/CDCA5/PTTG1/SLF1/AURKB/NUSAP1/NCAPH/DLGAP5/TACC3/USP44/KIF23/KIFC1",17
"GO:0048285","GO:0048285","organelle fission","27/207","456/15013",1.69027219085306e-10,1.0192341310844e-07,8.83211700567854e-08,"KDR/BMP4/KIF2C/IGF1/UBE2C/KIF14/KIF11/ESPL1/CCNB2/PLK1/CDC20/TPX2/RAD51/TOM1L1/CDCA5/TOP2A/PTTG1/SLF1/AURKB/CDK1/NUSAP1/NCAPH/DLGAP5/TACC3/USP44/KIF23/KIFC1",27
"GO:0007059","GO:0007059","chromosome segregation","22/207","315/15013",4.36351116048324e-10,2.19266435814283e-07,1.90004117549463e-07,"KIF2C/UBE2C/KIF14/ESPL1/CDCA2/PLK1/CDC20/CDCA5/TOP2A/PTTG1/SLF1/AURKB/NUSAP1/NCAPH/HJURP/DLGAP5/ESCO2/TACC3/BIRC5/USP44/KIF23/KIFC1",22
"GO:0098813","GO:0098813","nuclear chromosome segregation","19/207","254/15013",2.31855824468853e-09,9.98636158247987e-07,8.6536264110029e-07,"KIF2C/UBE2C/KIF14/ESPL1/PLK1/CDC20/CDCA5/TOP2A/PTTG1/SLF1/AURKB/NUSAP1/NCAPH/DLGAP5/ESCO2/TACC3/USP44/KIF23/KIFC1",19
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","9/207","61/15013",1.41157186978592e-07,5.31986148425568e-05,4.60989655369559e-05,"UBE2C/ESPL1/PLK1/CDC20/PTTG1/AURKB/DLGAP5/TACC3/USP44",9
"GO:0051983","GO:0051983","regulation of chromosome segregation","10/207","81/15013",1.60145085628801e-07,5.36486036856483e-05,4.64889008807817e-05,"KIF2C/UBE2C/ESPL1/PLK1/CDC20/PTTG1/AURKB/DLGAP5/TACC3/USP44",10
"GO:0051306","GO:0051306","mitotic sister chromatid separation","9/207","63/15013",1.88115598084543e-07,5.67168528224896e-05,4.91476752048248e-05,"UBE2C/ESPL1/PLK1/CDC20/PTTG1/AURKB/DLGAP5/TACC3/USP44",9
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","9/207","67/15013",3.24045820098352e-07,8.1416512299711e-05,7.05510285512378e-05,"UBE2C/ESPL1/PLK1/CDC20/PTTG1/AURKB/DLGAP5/TACC3/USP44",9
"GO:1905818","GO:1905818","regulation of chromosome separation","9/207","67/15013",3.24045820098352e-07,8.1416512299711e-05,7.05510285512378e-05,"UBE2C/ESPL1/PLK1/CDC20/PTTG1/AURKB/DLGAP5/TACC3/USP44",9
"GO:0051304","GO:0051304","chromosome separation","10/207","91/15013",4.86141419692269e-07,0.000112747413874784,9.77006480709484e-05,"UBE2C/ESPL1/PLK1/CDC20/TOP2A/PTTG1/AURKB/DLGAP5/TACC3/USP44",10
