"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005911","GO:0005911","cell-cell junction","293/7345","447/15694",4.48831184870677e-16,3.30788583249689e-13,2.57487363952125e-13,"FZD4/YBX3/CLDN7/PCDH9/TJP1/PODXL/JAM3/SNAP23/F11R/SCN2A/S100A11/KRT8/NFASC/AKAP6/GJA4/CGNL1/KRT18/ADD3/GRB2/VAMP5/RASIP1/PDLIM1/RAB13/PDLIM5/ANK2/CORO1A/MPDZ/DDX58/EFNB2/CNN2/PCDH1/ESAM/EPHA2/ANXA2/TEK/PLPP3/PCDH12/ITGA5/KIT/VCL/SV2A/ADAM15/B4GALT1/MYO1E/SKAP1/EPCAM/LIMS1/LCP2/SHROOM2/RHOA/NEXN/WASF2/TLN1/FLRT2/TJP2/MARVELD2/DSP/EPB41L3/JCAD/ADGRL3/KCNA2/MYH9/SH3KBP1/CTNND2/RAP2B/GJB3/OCLN/PDLIM2/CTNNA1/CADM3/PALS1/RAP2C/PARD3B/FGF13/MAGI1/MARVELD3/PECAM1/CDK4/DNMBP/ANK3/CDC42EP1/CTNNA2/FRMD4B/APC/AQP3/ATP1B1/CADM1/SIRT2/CDH5/NOTCH1/CDH12/CLDN5/WDR1/NIBAN2/ARHGAP24/TRPV4/DSG2/CLIC4/PDZD2/USP53/VEZT/CDH7/GJA1/NCK1/PLEKHA7/ARHGAP17/ANXA1/CEACAM1/IQGAP1/STX3/SHROOM4/LIN7A/CDH22/LIMD1/CDH18/EPB41L4B/RAP1B/ACTN1/SDCBP/KIRREL2/PKN2/CLDN4/KAZN/FHOD1/SPTBN4/LIN7C/TMOD3/KIRREL1/FLRT1/ACTR3/PKP4/CLMP/CLDN10/PDXP/SHROOM3/CXADR/BAIAP2L2/GJB5/DSC2/MAGI3/IQGAP3/PLEKHG5/DLG5/ANKRD23/PRKCZ/TMEM204/RAPGEF2/PRKCI/KCNJ2/AJUBA/CDH11/CCND1/NPHP1/AKR1B1/KCNA5/STEAP1/KLHL24/HMCN1/FGFR4/PARD6A/SLC2A1/CGN/TMEM65/LDB3/CDH10/FLRT3/PTPRM/AHNAK/CCDC85C/VASP/ATP1A1/GJC2/FERMT2/AJAP1/CD53/CDH9/CDH24/LYN/MPP7/PANX2/PTPRU/JAG1/MAGI2/CAMSAP3/PXN/FRMD5/ECT2/VSIG10/GJC3/PTPRK/MYADM/DLG1/SCN5A/SAV1/EPB41L5/GJA5/TBCD/CDH8/KIRREL3/CD99L2/ZYX/TIAM1/TNK2/SLC8A1/LIN7B/TRPC4/AMOTL1/CRB1/VSIG10L2/THEMIS/CLDN6/EPHA4/WNK3/FRMPD2/STRN/MYH2/ADAM17/AQP7/ATP1A2/CNN3/EPPK1/ADAM10/PPP3CA/CLDN12/FAT1/GJC1/STARD10/IGSF5/FRMD4A/NGFR/ADGRB1/PRKCG/NHS/ITGA6/DPP4/CDH3/RDX/STXBP6/FLOT1/PARD3/BAIAP2L1/PTPN6/AMOT/JAML/SCN4B/CDH1/PTK7/CDC42EP4/WNK4/SLC9A1/PRICKLE4/ABCC2/RPGRIP1L/GJB4/FGFRL1/NPHS1/PNN/MXRA8/CDC42/OBSL1/CALB2/PDCD6IP/SYNPO/FSCN1/TMEM47/AOC1/CDCA3/GAB1/VEGFA/SIPA1L3/PANX1/ZAP70/DAG1/FZD5/CSK/CDH6/FAT2/AHI1/CD2AP/CLDN15/HPN/GJB7/CNTNAP1/PDLIM4/PERP/ARHGEF2/MAPK15/LSR/SAPCD2/FLNA/PARD6B/DSC3/CCDC85A",293
"GO:0005925","GO:0005925","focal adhesion","268/7345","405/15694",1.41480059193297e-15,4.73493731658559e-13,3.68569711853052e-13,"NRP1/TGM2/CLASP2/RHOG/SNAP23/CD9/THSD1/DAB2/FLT1/B2M/NFASC/PROCR/LAP3/ANXA5/FBLIM1/RND3/ANXA6/MSN/XIRP2/FLNB/RSU1/CAPN2/PDLIM1/TNS2/PPFIBP1/AFAP1/VIM/L1CAM/CD99/YES1/GSN/EFNB2/CNN2/ILK/EPHA2/SDC4/TEK/TRIP6/CAV1/ITGA5/VCL/MCAM/FHL3/CD44/HSPB1/USP33/PLAUR/LIMS1/FES/HSPG2/TSPAN9/MMP14/RPS19/ARHGAP22/CAV2/EVL/LCP1/RHOA/NEXN/LPP/TLN1/PABPC1/FLRT2/ITGAV/ARHGAP31/RPL23/DST/ITGB1/MYH9/SH3KBP1/STARD8/EPB41L2/ARPC1B/IRF2/CTNNA1/PEAK1/RRAS/CSRP2/NUMB/CSRP1/RALA/CDC42EP1/SORBS3/PHLDB2/AKAP12/RPL30/RPLP2/RPL7/PARVA/REXO2/MAPRE2/TGFB1I1/RPS3/HSP90B1/BCAR3/CYFIP1/ARHGAP24/TRPV4/AIF1L/RPLP1/RPS17/GJA1/RPL31/ITGA2/JAK1/MME/FHL1/CORO1C/LIMA1/ANXA1/TSPAN4/FAM107A/PI4KA/IQGAP1/ADGRE5/ENG/SHROOM4/RPLP0/DIXDC1/DCTN4/RPS16/ITGBL1/MAPK3/RPL8/LIMD1/IL16/ACTN1/SDCBP/LAYN/RPS15/RPL37A/LASP1/IGF2R/CNN1/RPS4X/FLRT1/FHL2/ACTR3/HSPA5/KIF23/SLC9A3R2/RHOB/RPS18/RRAS2/ARHGEF7/LRP1/ITGA1/TPM4/PCBP2/ITGB5/RPL12/RPS7/MAP2K1/PTK2/DLC1/RPL22/PRUNE1/RPL3/RAC2/PLAU/AJUBA/GNA12/ARHGAP26/RPS8/PARVB/RPS14/CDH13/RPL13A/CTTN/RPL5/TNS3/RPL10A/PTPRA/TNC/PDGFRB/HSPA1A/HMGA1/RPS3A/EZR/FLRT3/TLN2/AHNAK/VASP/RPL7A/RPL19/FERMT2/PPIB/RPS29/RPL27/RPS13/PRAG1/PPP1R12A/CD81/SNTB1/RPS10/CAP1/ACTN4/PTK2B/PXN/RPL4/YWHAG/EPB41L5/HACD3/CD99L2/ZYX/FZD2/GIT1/RPL9/ICAM1/SCARB2/G3BP1/NPM1/NEDD9/ADAM17/ITGA3/HSPA1B/CALR/RPL18/CNN3/ADAM10/ACTC1/FAT1/MARCKS/RAC1/ADGRB1/THY1/EFS/NHS/ITGA6/ITGA8/CD59/DDR2/DPP4/RPS2/RDX/IL1RL1/RPS11/FLOT1/DOCK7/P4HB/NOX4/RPL6/PTK7/SLC4A2/RPS9/ITGB8/TADA1/MRC2/PDPK1/FGFR3/CAT/SLC9A1/ALCAM/NPHS1/ARPC2/CDC42/ASAP3/PDCD6IP/SLA/DAG1/SCARF2/TLE2/ARHGEF2/KLF11/ARPC5L/FLNA/FBLN7/WASF1",268
"GO:0030055","GO:0030055","cell-substrate junction","271/7345","411/15694",1.92738289684624e-15,4.73493731658559e-13,3.68569711853052e-13,"NRP1/TGM2/CLASP2/RHOG/SNAP23/CD9/THSD1/DAB2/FLT1/B2M/NFASC/PROCR/LAP3/ANXA5/FBLIM1/RND3/ANXA6/MSN/XIRP2/FLNB/RSU1/CAPN2/PDLIM1/TNS2/PPFIBP1/AFAP1/VIM/L1CAM/CD99/YES1/GSN/EFNB2/CNN2/ILK/EPHA2/SDC4/TEK/TRIP6/CAV1/ITGA5/VCL/MCAM/FHL3/CD44/HSPB1/USP33/PLAUR/LIMS1/FES/HSPG2/TSPAN9/MMP14/RPS19/ARHGAP22/CAV2/EVL/LCP1/RHOA/NEXN/LPP/TLN1/PABPC1/FLRT2/ITGAV/ARHGAP31/RPL23/DST/ITGB1/MYH9/SH3KBP1/STARD8/EPB41L2/ARPC1B/IRF2/DMD/CTNNA1/PEAK1/RRAS/CSRP2/NUMB/CSRP1/RALA/CDC42EP1/SORBS3/PHLDB2/AKAP12/RPL30/RPLP2/RPL7/PARVA/REXO2/MAPRE2/TGFB1I1/RPS3/HSP90B1/BCAR3/CYFIP1/ARHGAP24/TRPV4/AIF1L/RPLP1/RPS17/GJA1/RPL31/ITGA2/JAK1/MME/FHL1/CORO1C/LIMA1/ANXA1/TSPAN4/FAM107A/PI4KA/IQGAP1/ADGRE5/ENG/SHROOM4/RPLP0/DIXDC1/DCTN4/RPS16/ITGBL1/MAPK3/RPL8/LIMD1/IL16/ACTN1/SDCBP/LAYN/RPS15/RPL37A/LASP1/IGF2R/CNN1/RPS4X/FLRT1/FHL2/ACTR3/HSPA5/KIF23/SLC9A3R2/RHOB/RPS18/RRAS2/ARHGEF7/LRP1/ITGA1/TPM4/PCBP2/ITGB5/RPL12/RPS7/MAP2K1/PTK2/DLC1/RPL22/PRUNE1/RPL3/RAC2/PLAU/AJUBA/GNA12/ARHGAP26/RPS8/PARVB/RPS14/CDH13/RPL13A/CTTN/RPL5/TNS3/RPL10A/PTPRA/TNC/PDGFRB/HSPA1A/HMGA1/RPS3A/EZR/FLRT3/TLN2/AHNAK/VASP/RPL7A/RPL19/FERMT2/PPIB/RPS29/RPL27/RPS13/PRAG1/PPP1R12A/CD81/SNTB1/RPS10/CAP1/ACTN4/PTK2B/PXN/RPL4/YWHAG/EPB41L5/HACD3/CD99L2/ZYX/FZD2/GIT1/RPL9/ICAM1/SCARB2/G3BP1/NPM1/NEDD9/ADAM17/ITGA3/HSPA1B/CALR/RPL18/CNN3/EPPK1/ERBIN/ADAM10/ACTC1/FAT1/MARCKS/RAC1/ADGRB1/THY1/EFS/NHS/ITGA6/ITGA8/CD59/DDR2/DPP4/RPS2/RDX/IL1RL1/RPS11/FLOT1/DOCK7/P4HB/NOX4/RPL6/PTK7/SLC4A2/RPS9/ITGB8/TADA1/MRC2/PDPK1/FGFR3/CAT/SLC9A1/ALCAM/NPHS1/ARPC2/CDC42/ASAP3/PDCD6IP/SLA/DAG1/SCARF2/TLE2/ARHGEF2/KLF11/ARPC5L/FLNA/FBLN7/WASF1",271
"GO:0098984","GO:0098984","neuron to neuron synapse","224/7345","336/15694",9.49922220717942e-14,1.75023169167281e-11,1.36238844813494e-11,"P2RX3/SYT1/STX1A/DCLK1/DNAJC6/GNG3/PAK3/GAP43/SYT7/PRNP/TANC1/ADD3/DCC/DMTN/MAPK8IP2/SRCIN1/PDLIM5/MPDZ/CACNG4/ANKS1B/GRIP1/SHANK3/CALB1/ARRB1/CDK5R1/GSG1L/CPEB3/SLC4A8/ADD2/PTPRD/GPHN/RPS19/GRIA1/SYT11/MPP2/GRIA2/CHRNA3/CLSTN3/NSF/LRRC4C/ITPR1/RPL23/SIPA1L1/KCNH1/ATP1A3/ATP2B2/SLITRK1/PLCB4/SYN3/CLSTN2/GRIK2/CTNND2/PALM/NEFH/SH3GL1/RNF19A/SHISA7/SYT9/RPS27/SORCS2/LRRC4/BSN/CDK5/DNM3/PRRT2/P2RY1/DGKI/RPL30/NLGN4Y/CPEB4/RPL7/NLGN1/CACNG3/RPS3/ADGRA1/RAPGEF4/ADAM22/GRIK5/CAMK2N1/MYD88/RTN4/BACE1/NPTN/DISC1/CACNG2/KCND2/HOMER2/SLC8A3/SORCS3/LIN7A/RPLP0/LZTS1/PSD/RAB8A/RPL8/LRP8/SLC8A2/ARC/LIN7C/MX1/SH3GL2/AKAP5/RPS18/NCS1/INSYN1/RPL14/EPB41/DLG5/PCBP2/RPL12/LRFN5/RPS25/PRKCZ/CPEB1/CNIH2/MX2/CRTC1/LRP4/RPS14/DRD2/PTPRS/MIB1/GRIN2A/P2RX4/P2RX6/SYNGAP1/DNM1/CHRM1/DLG4/CACNG7/GRIN1/PDE4B/MAP1B/SEMA4F/TNIK/DGKZ/ATP1A1/SAMD14/RNF112/RPS13/LYN/MAGI2/ABI1/PCLO/CAMK2A/PJA2/PTK2B/GRID1/INPP4A/SYN1/DLG1/CNKSR2/NTRK2/SHANK2/LZTS3/ADORA2A/TIAM1/ARHGAP32/GRM7/SLC8A1/LIN7B/ADGRL1/HNRNPH2/PTCH1/EPHA4/SYT12/STRN/CDKL5/ZDHHC15/ARRB2/TMEM108/FABP5/LRFN1/CNN3/CLSTN1/ARHGAP44/ADAM10/GRIN3A/PHB/TAMALIN/DYNLL2/NGFR/ADGRB1/PRKCG/ITGA8/EIF3A/PLPPR4/CACNG5/SLITRK3/CAP2/DLGAP1/NLGN3/GRM3/RPL6/ARHGEF9/DLGAP2/PDPK1/NEURL1/CRIPT/BCR/NRGN/ZDHHC2/DNAJB1/SYNPO/NLGN2/ERBB4/FYN/PSD3/IGSF9B/HOMER3/KLHL17/DLGAP3/SEMA4C/DAGLA/PICK1/GRM5/STXBP5/SH2D5/SLC30A1/SYN2/PRR12/PRRT1/LRRTM2/LRFN2",224
"GO:0032279","GO:0032279","asymmetric synapse","210/7345","313/15694",2.14148054194506e-13,3.01063078539563e-11,2.34348893528618e-11,"STX1A/DCLK1/DNAJC6/GNG3/PAK3/GAP43/PRNP/TANC1/ADD3/DCC/DMTN/MAPK8IP2/SRCIN1/PDLIM5/MPDZ/CACNG4/ANKS1B/GRIP1/SHANK3/ARRB1/CDK5R1/GSG1L/CPEB3/SLC4A8/ADD2/GPHN/RPS19/GRIA1/SYT11/MPP2/GRIA2/CHRNA3/CLSTN3/NSF/LRRC4C/ITPR1/RPL23/SIPA1L1/KCNH1/ATP2B2/SLITRK1/PLCB4/SYN3/CLSTN2/GRIK2/CTNND2/PALM/NEFH/SH3GL1/SHISA7/RPS27/SORCS2/LRRC4/BSN/CDK5/DNM3/PRRT2/P2RY1/DGKI/RPL30/NLGN4Y/CPEB4/RPL7/NLGN1/CACNG3/RPS3/ADGRA1/ADAM22/GRIK5/CAMK2N1/MYD88/RTN4/NPTN/DISC1/CACNG2/KCND2/HOMER2/SLC8A3/SORCS3/LIN7A/RPLP0/LZTS1/PSD/RAB8A/RPL8/LRP8/SLC8A2/ARC/LIN7C/MX1/AKAP5/RPS18/NCS1/INSYN1/RPL14/EPB41/DLG5/PCBP2/RPL12/LRFN5/RPS25/PRKCZ/CPEB1/CNIH2/MX2/CRTC1/LRP4/RPS14/DRD2/PTPRS/MIB1/GRIN2A/P2RX4/P2RX6/SYNGAP1/DNM1/CHRM1/DLG4/CACNG7/GRIN1/PDE4B/MAP1B/SEMA4F/TNIK/DGKZ/ATP1A1/SAMD14/RNF112/RPS13/LYN/MAGI2/ABI1/PCLO/CAMK2A/PJA2/PTK2B/GRID1/INPP4A/SYN1/DLG1/CNKSR2/NTRK2/SHANK2/LZTS3/ADORA2A/TIAM1/ARHGAP32/GRM7/SLC8A1/LIN7B/ADGRL1/HNRNPH2/PTCH1/EPHA4/STRN/CDKL5/ZDHHC15/ARRB2/TMEM108/FABP5/LRFN1/CNN3/CLSTN1/ARHGAP44/ADAM10/GRIN3A/PHB/TAMALIN/DYNLL2/NGFR/ADGRB1/PRKCG/ITGA8/EIF3A/PLPPR4/CACNG5/SLITRK3/CAP2/DLGAP1/NLGN3/GRM3/RPL6/ARHGEF9/DLGAP2/PDPK1/NEURL1/CRIPT/BCR/NRGN/ZDHHC2/DNAJB1/SYNPO/ERBB4/FYN/PSD3/IGSF9B/HOMER3/KLHL17/DLGAP3/SEMA4C/DAGLA/PICK1/GRM5/SH2D5/SLC30A1/SYN2/PRR12/PRRT1/LRRTM2/LRFN2",210
"GO:0014069","GO:0014069","postsynaptic density","207/7345","308/15694",2.4509884277305e-13,3.01063078539563e-11,2.34348893528618e-11,"STX1A/DCLK1/DNAJC6/GNG3/PAK3/GAP43/PRNP/TANC1/ADD3/DCC/DMTN/MAPK8IP2/SRCIN1/PDLIM5/MPDZ/CACNG4/ANKS1B/GRIP1/SHANK3/ARRB1/CDK5R1/GSG1L/CPEB3/ADD2/GPHN/RPS19/GRIA1/SYT11/MPP2/GRIA2/CHRNA3/CLSTN3/NSF/LRRC4C/ITPR1/RPL23/SIPA1L1/KCNH1/ATP2B2/SLITRK1/PLCB4/SYN3/CLSTN2/GRIK2/CTNND2/PALM/NEFH/SH3GL1/SHISA7/RPS27/SORCS2/LRRC4/BSN/CDK5/DNM3/PRRT2/P2RY1/DGKI/RPL30/NLGN4Y/CPEB4/RPL7/NLGN1/CACNG3/RPS3/ADGRA1/ADAM22/GRIK5/CAMK2N1/MYD88/RTN4/NPTN/DISC1/CACNG2/KCND2/HOMER2/SLC8A3/SORCS3/LIN7A/RPLP0/LZTS1/PSD/RAB8A/RPL8/LRP8/SLC8A2/ARC/LIN7C/MX1/AKAP5/RPS18/NCS1/INSYN1/RPL14/EPB41/DLG5/PCBP2/RPL12/LRFN5/RPS25/PRKCZ/CPEB1/CNIH2/MX2/CRTC1/LRP4/RPS14/DRD2/PTPRS/MIB1/GRIN2A/P2RX4/P2RX6/SYNGAP1/DNM1/CHRM1/DLG4/CACNG7/GRIN1/PDE4B/MAP1B/SEMA4F/TNIK/DGKZ/ATP1A1/SAMD14/RNF112/RPS13/LYN/MAGI2/ABI1/PCLO/CAMK2A/PJA2/PTK2B/GRID1/INPP4A/SYN1/DLG1/CNKSR2/NTRK2/SHANK2/LZTS3/ADORA2A/TIAM1/ARHGAP32/SLC8A1/LIN7B/ADGRL1/HNRNPH2/PTCH1/EPHA4/STRN/CDKL5/ZDHHC15/ARRB2/TMEM108/FABP5/LRFN1/CNN3/CLSTN1/ARHGAP44/ADAM10/GRIN3A/PHB/TAMALIN/DYNLL2/NGFR/ADGRB1/PRKCG/ITGA8/EIF3A/PLPPR4/CACNG5/SLITRK3/CAP2/DLGAP1/GRM3/RPL6/ARHGEF9/DLGAP2/PDPK1/NEURL1/CRIPT/BCR/NRGN/ZDHHC2/DNAJB1/SYNPO/ERBB4/FYN/PSD3/IGSF9B/HOMER3/KLHL17/DLGAP3/SEMA4C/DAGLA/PICK1/GRM5/SH2D5/SLC30A1/SYN2/PRR12/PRRT1/LRRTM2/LRFN2",207
"GO:0022626","GO:0022626","cytosolic ribosome","83/7345","102/15694",5.63659259026058e-13,5.93452677003149e-11,4.61946310028874e-11,"APOD/RPS19/RPS27L/ISG15/RPL23/RPS27/RPL30/RPLP2/RPL7/RPS23/RPS27A/RPS12/RPS6/RPS20/RPS3/RPL37/RPLP1/RPS17/RPS15A/RPL31/RPL27A/RPL17/RPLP0/RPS16/RPL8/RPS15/RPL37A/RPS4X/RPL36A/RPL21/RPL23A/RPS21/RPS18/RPL14/MCTS1/UBA52/RPL12/RPS7/RPL26/RPS25/RPL22/RPL3/RPL36/RPL11/RPS8/RPS14/RPL13A/RPSA/RPL5/RPL34/RPL41/RPL10A/RPS3A/RPL7A/RPL19/RPL10/RPS29/RPL27/RPS13/RPL32/RPS10/RPL4/RPL28/RPL15/RPL18A/RPL9/LARP4/RPL36AL/RPL18/RPL35A/RPL35/RPL39/RPS24/RPS2/RPS11/RPL6/RPS9/RPL24/EIF2D/RPS28/RPL29/RPLP0P6/RPL39L",83
"GO:0097060","GO:0097060","synaptic membrane","229/7345","352/15694",2.41201897492246e-12,2.22207248064732e-10,1.72967150175361e-10,"CHRNB3/CNR1/NSG1/SNCAIP/SNAP25/FAIM2/SCN2A/P2RX3/SYT1/STX1A/CNTNAP4/GRIK1/SYT7/CHRM3/DCC/GRIA4/NRXN1/RIMS3/ANK2/CACNG4/SLC1A2/UTRN/EFNB2/GPM6A/UNC13A/KCNC1/GRIP1/SNAP91/CNTN1/GABRA3/SHANK3/GRM2/ARRB1/CHRNB4/STX1B/CHRNB2/GSG1L/SLC4A8/PTPRD/GPHN/GRIA1/SYT11/APH1A/GRIA2/CHRNA3/RIMS4/ERC2/GRIA3/CLSTN3/RIMS1/NRP2/LRRC4C/ATAD1/KCNH1/KCNA2/ATP2B2/SLITRK1/GABBR2/CLSTN2/GRIK2/PALM/GABBR1/DMD/APBA1/ABHD6/TRPV1/ANK1/SHISA7/SORCS2/LRRC4/ANK3/DNM3/RIMS2/PRRT2/P2RY1/STX4/CNTN5/DGKI/NLGN4Y/SYNE1/SYP/NLGN1/GRIK3/CACNG3/GABRB3/GLRA3/PCDH8/CHRNA5/ADAM22/GRIK5/LHFPL4/DAGLB/STXBP1/NPTN/NTNG2/GLRA2/ZC4H2/TENM2/ANXA1/CACNG2/KCND2/STX3/SLC8A3/SORCS3/LIN7A/PDE2A/LZTS1/LRRTM4/KCTD16/ARC/CHRNA6/ATP2B4/EPHB2/LIN7C/DGKB/MX1/GABRE/ITSN2/KCNB1/LRFN5/GLRB/GABRB1/CNIH2/MX2/SLC1A6/CNTN2/LRP4/SYT6/KCNC2/LRRTM1/DRD2/PTPRS/CSPG5/GRIN2A/P2RX6/GAD2/DNM1/CHRM1/PTPRA/DLG4/CACNG7/CBLN1/GRIN1/PCDH17/SNPH/SEMA4F/CDH10/FLRT3/FCHO2/AKAP9/ADGRL2/CDH9/GRID1/HTR5A/KCTD12/SYNJ1/DLG1/GABRP/CNKSR2/SHANK2/CDH8/ADORA2A/TIAM1/ADRA1A/NIPSNAP1/GRM7/SLC8A1/ATP2B1/LIN7B/ADGRL1/EPHA4/STRN/GPC4/SYAP1/ARRB2/KCNJ3/ITGA3/LRFN1/CLSTN1/ADAM10/GRIN3A/PHB/TAMALIN/CHRM2/PRKCG/SLC6A3/CLTB/MAGEE1/IL1RAPL1/ITGA8/ITSN1/PLPPR4/CACNG5/CHRNA4/SLITRK3/NLGN3/GRM3/SHC4/CHRM4/SSPN/KCNMA1/NRGN/KCNK1/HTR3B/CALB2/NLGN2/ERC1/STX11/ERBB4/GABRR1/KCNJ4/IGSF9B/DAG1/UNC13B/SEMA4C/DAGLA/SNTA1/KCTD8/PICK1/CPLX3/GRM5/STXBP5/SLC30A1/DENND1A/PRRT1/CNTNAP1/PDLIM4/LRRTM2/LRFN2",229
"GO:0098793","GO:0098793","presynapse","291/7345","465/15694",2.87543195719876e-12,2.35465928050609e-10,1.83287768031967e-10,"CNR1/SYPL1/CNGB1/SNCAIP/SNAP25/SNCG/SNAP23/PTPRN2/SCN2A/P2RX3/SYT1/STX1A/RAB3A/DNAJC6/CNTNAP4/SEPTIN6/SVOP/SYT7/SLC17A6/TANC1/SLC29A1/RAB13/NRXN1/RIMS3/PPFIBP1/SRCIN1/ATP2B3/PDLIM5/GRAP/SLC1A2/VAMP3/PTPRN/SEPTIN2/EFNB2/GPM6A/UNC13A/KCNC1/SNAP91/RGS10/CNTN1/ATCAY/SLC17A7/CALB1/GRM2/RAB6B/SEPTIN5/SV2A/STX1B/CDK5R1/SYNJ2/SLC4A8/PTPRD/SV2B/SEPTIN3/GRIA1/SYT2/SYT11/TRIM9/APH1A/ZNF804A/PRSS12/RIMS4/ERC2/SLC4A10/RIMS1/KCNH1/KCNA2/BTBD8/CADPS/ATP2B2/SYN3/RAB2B/MICAL1/SLC18A3/SYNPR/GRIK2/CPLX2/GAD1/GABBR1/TSPOAP1/SYT4/NEFL/APBA1/SH3GL1/STXBP3/GNB5/SYT9/RPS27/DNMBP/SCAMP1/BSN/ICA1/SYNGR3/CDK5/DNM3/RIMS2/PRRT2/P2RY1/PPFIBP2/STX4/CNTN5/DGKI/RAB26/CACNA1D/NLGN4Y/SYP/NLGN1/GRIK3/GUCY1B1/CPLX1/PCDH8/CYFIP1/PLD2/GRIK5/SYNGR2/SLC17A5/NRXN2/GOT1/PPFIA2/ITGA2/BACE1/WDR7/STXBP1/MME/NPTN/NTNG2/CADPS2/DISC1/CLCN4/SNCA/SLC6A17/STX3/SLC8A3/SLC32A1/NMU/CCK/SPTBN2/LIN7A/PDE2A/SCAMP5/RAB8A/TPBG/NTS/PPFIA4/KCTD16/CTTNBP2/SLC8A2/CHAT/KIF1A/ATP2B4/EPHB2/LIN7C/MX1/SH3GL2/ITSN2/DOC2B/BRSK1/NCS1/CALM3/SYT5/AMPH/NAPA/CRHR2/SLC2A4/SRI/LAMP5/RPL22/RAB15/MX2/SLC1A6/CACNB2/KIF1B/SYT6/VAMP2/SPHK1/KCNC2/SEPTIN4/DRD2/PTPRS/SLC2A1/GRIN2A/CLCN5/P2RX4/TMED9/GAD2/DNM1/CHRM1/DLG4/GRIN1/PDE4B/PCDH17/SNPH/CDH10/TNIK/FLRT3/VAMP1/FCHO2/TNN/RNF112/RAB27B/CDH9/SYNGR1/APBA2/STXBP2/PCLO/KCTD12/SYNJ1/SYN1/HCN3/SLC18A1/YWHAG/NTRK2/CDH8/STON1/ADORA2A/KIRREL3/ADRA1A/GIT1/GRM7/SLC8A1/ATP2B1/LIN7B/TBC1D24/ADGRL1/OPHN1/SV2C/EPHA4/SYT12/GPC4/GRM4/SYAP1/CDK16/KCNJ3/SLC29A4/PTN/STX7/CLN3/PPT1/ARHGAP44/CLCN3/ADAM10/PHB/CLN8/NGF/RAB8B/HRH3/PRKCG/SLC6A3/DNAJC5/CLTB/ZNRF1/SLC9B2/ITSN1/ADCYAP1/CRHBP/FLOT1/SNCB/NLGN3/GRM3/AAK1/RAB5A/NAAA/LAMP1/RAB3C/CALB2/FZD3/NLGN2/ERC1/STX11/NTF3/ERBB4/PNISR/CBARP/DOC2A/UNC13B/SEMA4C/KCTD8/LRRK2/PICK1/CPLX3/RAB3D/STXBP5/KCNK9/SYN2/DENND1A/PRRT1/CNTNAP1/STON2/KCNIP3/STX10/PDYN",291
"GO:0099572","GO:0099572","postsynaptic specialization","213/7345","326/15694",7.64266300797944e-12,5.63264263688085e-10,4.38447509405136e-10,"STX1A/DCLK1/DNAJC6/GNG3/PAK3/GAP43/PRNP/TANC1/ADD3/DCC/DMTN/MAPK8IP2/SRCIN1/PDLIM5/MPDZ/CACNG4/ANKS1B/GRIP1/GABRA3/SHANK3/ARRB1/CDK5R1/GSG1L/CPEB3/ADD2/GPHN/RPS19/GRIA1/SYT11/MPP2/GRIA2/CHRNA3/CLSTN3/NSF/LRRC4C/ITPR1/RPL23/SIPA1L1/KCNH1/ATP2B2/SLITRK1/PLCB4/SYN3/CLSTN2/GRIK2/CTNND2/PALM/NEFH/SH3GL1/SHISA7/RPS27/SORCS2/LRRC4/BSN/CDK5/DNM3/PRRT2/P2RY1/DGKI/RPL30/NLGN4Y/CPEB4/RPL7/NLGN1/CACNG3/RPS3/ADGRA1/ADAM22/GRIK5/CAMK2N1/SRGN/MYD88/RTN4/NPTN/DISC1/CACNG2/KCND2/HOMER2/SLC8A3/SORCS3/LIN7A/RPLP0/LZTS1/PSD/RAB8A/RPL8/LRP8/SLC8A2/ARC/LIN7C/MX1/AKAP5/RPS18/NCS1/INSYN1/RPL14/EPB41/DLG5/PCBP2/RPL12/LRFN5/RPS25/PRKCZ/CPEB1/CNIH2/MX2/CRTC1/LRP4/RPS14/LRRTM1/DRD2/PTPRS/MIB1/GRIN2A/P2RX4/P2RX6/SYNGAP1/DNM1/CHRM1/DLG4/CACNG7/GRIN1/PDE4B/MAP1B/SEMA4F/CDH10/TNIK/DGKZ/ATP1A1/SAMD14/RNF112/RPS13/LYN/MAGI2/ABI1/PCLO/CAMK2A/PJA2/PTK2B/GRID1/HTR5A/INPP4A/SYN1/DLG1/CNKSR2/NTRK2/SHANK2/LZTS3/ADORA2A/TIAM1/ARHGAP32/SLC8A1/LIN7B/ADGRL1/HNRNPH2/PTCH1/EPHA4/STRN/CDKL5/ZDHHC15/ARRB2/TMEM108/FABP5/LRFN1/CNN3/CLSTN1/ARHGAP44/ADAM10/GRIN3A/PHB/TAMALIN/DYNLL2/NGFR/ADGRB1/PRKCG/ITGA8/EIF3A/PLPPR4/CACNG5/SLITRK3/CAP2/DLGAP1/GRM3/RPL6/ARHGEF9/DLGAP2/PDPK1/NEURL1/CRIPT/BCR/NRGN/ZDHHC2/DNAJB1/SYNPO/NLGN2/ERBB4/FYN/PSD3/IGSF9B/HOMER3/KLHL17/DLGAP3/SEMA4C/DAGLA/PICK1/GRM5/SH2D5/SLC30A1/SYN2/PRR12/PRRT1/LRRTM2/LRFN2",213
