"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030055","GO:0030055","cell-substrate junction","271/7191","411/15694",7.09506330158032e-17,3.72900055658989e-14,2.9373083224759e-14,"NRP1/THSD1/FLT1/PROCR/CLASP2/TGM2/CD9/RHOG/SNAP23/LAP3/B2M/TEK/XIRP2/NFASC/ANXA6/TNS2/HSPG2/ANXA5/DAB2/RND3/RSU1/FBLIM1/L1CAM/MSN/FLNB/PPFIBP1/AFAP1/LCP1/ILK/GSN/CAV1/PDLIM1/YES1/ARHGAP31/EFNB2/CAPN2/ARHGAP22/TSPAN9/CD99/MMP14/FES/ITGA5/CNN2/CD44/FHL3/CAV2/FLRT2/VCL/IRF2/USP33/EVL/RHOA/RPS19/TLN1/LIMS1/HSPB1/PABPC1/EPB41L2/DST/TRIP6/EPHA2/PEAK1/SDC4/RPL23/LPP/VIM/CTNNA1/MCAM/FHL1/CSRP1/RALA/ARPC1B/ENG/TGFB1I1/MYH9/PLAUR/HSP90B1/DIXDC1/RPL30/STARD8/NUMB/ITGB1/MAPRE2/RPS3/NEXN/RPL7/RPLP2/LIMA1/REXO2/TSPAN4/BCAR3/CDC42EP1/ADGRE5/SH3KBP1/SHROOM4/RPL31/SDCBP/CYFIP1/ITGAV/RPS16/TLN2/RPLP1/FAM107A/PI4KA/IL16/ITGBL1/PHLDB2/ARHGEF7/RRAS/TRPV4/DLC1/CORO1C/IQGAP1/RPS17/RHOB/PARVA/PPIB/RPS4X/CSRP2/JAK1/ARHGAP26/LASP1/HSPA1A/MAPK3/ITGA2/TNC/RPL37A/RPLP0/DMD/RPL3/LRP1/ACTR3/RPS18/RPL12/PCBP2/RPL8/RPS14/CD81/RPL13A/ARHGAP24/ACTN4/FLRT3/RPL5/GNA12/CAP1/GJA1/FLRT1/TNS3/RPL10A/RPL22/RPS7/ITGA3/RPS8/AKAP12/RAC2/RPS10/SLC9A3R2/LIMD1/ICAM1/IGF2R/HSPA5/RPL4/LAYN/RPL19/AHNAK/DCTN4/CTTN/AIF1L/EZR/RPS13/ITGA1/PTK2/RPL7A/RPS15/RPS3A/VASP/PXN/PLAU/ADAM10/RPL18/PRUNE1/DPP4/CDH13/IL1RL1/RPL9/RPL27/HSPA1B/RPS29/ADGRB1/CD59/G3BP1/SCARB2/RPS11/PTK2B/SYNPO2/MAP2K1/ANXA1/FHL2/CALR/MARCKS/EPPK1/PPP1R12A/NHS/RRAS2/ATAT1/CD99L2/SLA/HACD3/RPS9/RAC1/NPM1/SORBS3/TLE2/PRAG1/FLOT1/CPNE3/YWHAG/MRC2/THY1/PDGFRB/RPL6/TPM4/PARVB/CNN3/MME/CNN1/GRB7/ERBIN/EPB41L5/DDR2/PTK7/CAPN5/ITGB8/ITGB5/FGFR3/FERMT2/ITGA8/KIF23/ACTR2/PIP5K1A/CHP1/ALCAM/ACTN1/SNTB1/SLC9A1/RPL38/PDPK1/CFL1/NPHS1/PDCD6IP/NEDD9/ARPC2/SLC4A2/DOCK7/KRAS/ITGA4/ITGA6/WASF1/TADA1/COL17A1/CAT/CLASP1/ITGB2/RPS5/FAT1/AVIL/ZYX/ALKBH6/PIP5K1C/ASAP3/ENAH",271
"GO:0005925","GO:0005925","focal adhesion","267/7191","405/15694",1.24540646433267e-16,3.72900055658989e-14,2.9373083224759e-14,"NRP1/THSD1/FLT1/PROCR/CLASP2/TGM2/CD9/RHOG/SNAP23/LAP3/B2M/TEK/XIRP2/NFASC/ANXA6/TNS2/HSPG2/ANXA5/DAB2/RND3/RSU1/FBLIM1/L1CAM/MSN/FLNB/PPFIBP1/AFAP1/LCP1/ILK/GSN/CAV1/PDLIM1/YES1/ARHGAP31/EFNB2/CAPN2/ARHGAP22/TSPAN9/CD99/MMP14/FES/ITGA5/CNN2/CD44/FHL3/CAV2/FLRT2/VCL/IRF2/USP33/EVL/RHOA/RPS19/TLN1/LIMS1/HSPB1/PABPC1/EPB41L2/DST/TRIP6/EPHA2/PEAK1/SDC4/RPL23/LPP/VIM/CTNNA1/MCAM/FHL1/CSRP1/RALA/ARPC1B/ENG/TGFB1I1/MYH9/PLAUR/HSP90B1/DIXDC1/RPL30/STARD8/NUMB/ITGB1/MAPRE2/RPS3/NEXN/RPL7/RPLP2/LIMA1/REXO2/TSPAN4/BCAR3/CDC42EP1/ADGRE5/SH3KBP1/SHROOM4/RPL31/SDCBP/CYFIP1/ITGAV/RPS16/TLN2/RPLP1/FAM107A/PI4KA/IL16/ITGBL1/PHLDB2/ARHGEF7/RRAS/TRPV4/DLC1/CORO1C/IQGAP1/RPS17/RHOB/PARVA/PPIB/RPS4X/CSRP2/JAK1/ARHGAP26/LASP1/HSPA1A/MAPK3/ITGA2/TNC/RPL37A/RPLP0/RPL3/LRP1/ACTR3/RPS18/RPL12/PCBP2/RPL8/RPS14/CD81/RPL13A/ARHGAP24/ACTN4/FLRT3/RPL5/GNA12/CAP1/GJA1/FLRT1/TNS3/RPL10A/RPL22/RPS7/ITGA3/RPS8/AKAP12/RAC2/RPS10/SLC9A3R2/LIMD1/ICAM1/IGF2R/HSPA5/RPL4/LAYN/RPL19/AHNAK/DCTN4/CTTN/AIF1L/EZR/RPS13/ITGA1/PTK2/RPL7A/RPS15/RPS3A/VASP/PXN/PLAU/ADAM10/RPL18/PRUNE1/DPP4/CDH13/IL1RL1/RPL9/RPL27/HSPA1B/RPS29/ADGRB1/CD59/G3BP1/SCARB2/RPS11/PTK2B/SYNPO2/MAP2K1/ANXA1/FHL2/CALR/MARCKS/PPP1R12A/NHS/RRAS2/ATAT1/CD99L2/SLA/HACD3/RPS9/RAC1/NPM1/SORBS3/TLE2/PRAG1/FLOT1/CPNE3/YWHAG/MRC2/THY1/PDGFRB/RPL6/TPM4/PARVB/CNN3/MME/CNN1/GRB7/EPB41L5/DDR2/PTK7/CAPN5/ITGB8/ITGB5/FGFR3/FERMT2/ITGA8/KIF23/ACTR2/PIP5K1A/CHP1/ALCAM/ACTN1/SNTB1/SLC9A1/RPL38/PDPK1/CFL1/NPHS1/PDCD6IP/NEDD9/ARPC2/SLC4A2/DOCK7/KRAS/ITGA4/ITGA6/WASF1/TADA1/CAT/CLASP1/ITGB2/RPS5/FAT1/AVIL/ZYX/ALKBH6/PIP5K1C/ASAP3/ENAH",267
"GO:0098984","GO:0098984","neuron to neuron synapse","228/7191","336/15694",1.51380266167384e-16,3.72900055658989e-14,2.9373083224759e-14,"DNAJC6/P2RX3/STX1A/PAK3/DCLK1/SYT1/GNG3/SYT7/PRNP/GAP43/TANC1/ADD3/DMTN/SRCIN1/MAPK8IP2/MPDZ/CDK5R1/ANKS1B/CACNG4/DCC/GRIP1/ARRB1/CPEB3/PLCB4/ITPR1/PDLIM5/SHANK3/CALB1/NEFH/SLC4A8/PTPRD/ADD2/GSG1L/GRIA2/RPS19/CHRNA3/ATP2B2/SYN3/SYT11/LRRC4C/MPP2/GPHN/SIPA1L1/KCNH1/GRIK2/LRRC4/CTNND2/ATP1A3/PALM/RPL23/CACNG3/RNF19A/PRRT2/SYT9/NSF/SHISA7/CPEB4/SORCS2/CLSTN3/BSN/RPL30/CLSTN2/RPS27/ADAM22/LZTS1/DNM3/GRIK5/RPS3/ADGRA1/NLGN1/NLGN4Y/RPL7/CDK5/HOMER2/BACE1/CAMK2N1/SH3GL1/RAPGEF4/NPTN/SLITRK1/EPB41/KCND2/RTN4/SORCS3/SH3GL2/LYN/GRIA1/P2RY1/CACNG2/DISC1/DGKI/RAB8A/PSD/SLC8A3/MYD88/LRFN1/LRP8/RPL14/INSYN1/CPEB1/MX2/P2RX4/RPLP0/STRN/SLC8A2/PRKCZ/NCS1/GRIN3A/RPS18/DNM1/RPL12/PCBP2/RPL8/MAP1B/RPS14/MAGI2/LIN7C/INPP4A/DRD2/CRTC1/RPS25/DLG5/GRIN2A/SEMA4F/LIN7A/NGFR/CHRM1/PTPRS/CACNG7/CNIH2/SHANK2/GRIN1/MIB1/ABI1/ARHGAP44/SYN1/SAMD14/LIN7B/RPS13/LRFN5/LZTS3/PCLO/P2RX6/SYT12/DGKZ/SLC8A1/DLG4/MX1/ADAM10/ARHGAP32/ADGRB1/GRID1/SLITRK3/CNKSR2/PTK2B/TAMALIN/PHB/NTRK2/NLGN4X/ARRB2/PRKCG/DLGAP3/TNIK/CAMK2A/EPHA4/ADORA2A/ATP1A1/PDE4B/DAB1/RNF112/NLGN3/PLPPR4/DYNLL2/DLGAP2/PSD3/NRGN/GRM3/PJA2/EIF3A/ABHD17B/FABP5/DAGLA/CLSTN1/RPL6/PTCH1/CNN3/FYN/AKAP5/ADCY8/NLGN2/ABHD17C/CAMK1/PLEKHA5/ZDHHC15/EFNB3/INSYN2A/DLGAP1/LRFN2/ARHGEF9/ITGA8/CDKL5/ACTR2/TMEM108/TIAM1/BCR/ADGRL1/NEURL1/SYN2/LRFN4/RPL38/PDPK1/SYNPO/PRRT1/LRP4/SIGMAR1/SEMA4C/ARC/GRM7/IGSF9B/ATP1B2/LRRTM3/PAK2/SLC30A1/KCND3/SLC1A1/EEF2K/BAALC/LRRC7",228
"GO:0032279","GO:0032279","asymmetric synapse","214/7191","313/15694",3.61530159583845e-16,6.67926969831154e-14,5.26121521710175e-14,"DNAJC6/STX1A/PAK3/DCLK1/GNG3/PRNP/GAP43/TANC1/ADD3/DMTN/SRCIN1/MAPK8IP2/MPDZ/CDK5R1/ANKS1B/CACNG4/DCC/GRIP1/ARRB1/CPEB3/PLCB4/ITPR1/PDLIM5/SHANK3/NEFH/SLC4A8/ADD2/GSG1L/GRIA2/RPS19/CHRNA3/ATP2B2/SYN3/SYT11/LRRC4C/MPP2/GPHN/SIPA1L1/KCNH1/GRIK2/LRRC4/CTNND2/PALM/RPL23/CACNG3/PRRT2/NSF/SHISA7/CPEB4/SORCS2/CLSTN3/BSN/RPL30/CLSTN2/RPS27/ADAM22/LZTS1/DNM3/GRIK5/RPS3/ADGRA1/NLGN1/NLGN4Y/RPL7/CDK5/HOMER2/CAMK2N1/SH3GL1/NPTN/SLITRK1/EPB41/KCND2/RTN4/SORCS3/LYN/GRIA1/P2RY1/CACNG2/DISC1/DGKI/RAB8A/PSD/SLC8A3/MYD88/LRFN1/LRP8/RPL14/INSYN1/CPEB1/MX2/P2RX4/RPLP0/STRN/SLC8A2/PRKCZ/NCS1/GRIN3A/RPS18/DNM1/RPL12/PCBP2/RPL8/MAP1B/RPS14/MAGI2/LIN7C/INPP4A/DRD2/CRTC1/RPS25/DLG5/GRIN2A/SEMA4F/LIN7A/NGFR/CHRM1/PTPRS/CACNG7/CNIH2/SHANK2/GRIN1/MIB1/ABI1/ARHGAP44/SYN1/SAMD14/LIN7B/RPS13/LRFN5/LZTS3/PCLO/P2RX6/DGKZ/SLC8A1/DLG4/MX1/ADAM10/ARHGAP32/ADGRB1/GRID1/SLITRK3/CNKSR2/PTK2B/TAMALIN/PHB/NTRK2/NLGN4X/ARRB2/PRKCG/DLGAP3/TNIK/CAMK2A/EPHA4/ADORA2A/ATP1A1/PDE4B/DAB1/RNF112/NLGN3/PLPPR4/DYNLL2/DLGAP2/PSD3/NRGN/GRM3/PJA2/EIF3A/ABHD17B/FABP5/DAGLA/CLSTN1/RPL6/PTCH1/CNN3/FYN/AKAP5/ADCY8/ABHD17C/CAMK1/PLEKHA5/ZDHHC15/EFNB3/INSYN2A/DLGAP1/LRFN2/ARHGEF9/ITGA8/CDKL5/ACTR2/TMEM108/TIAM1/BCR/ADGRL1/NEURL1/SYN2/LRFN4/RPL38/PDPK1/SYNPO/PRRT1/LRP4/SIGMAR1/SEMA4C/ARC/GRM7/IGSF9B/LRRTM3/PAK2/SLC30A1/KCND3/SLC1A1/EEF2K/BAALC/LRRC7",214
"GO:0014069","GO:0014069","postsynaptic density","210/7191","308/15694",1.0896371807928e-15,1.61048375321176e-13,1.26856707574404e-13,"DNAJC6/STX1A/PAK3/DCLK1/GNG3/PRNP/GAP43/TANC1/ADD3/DMTN/SRCIN1/MAPK8IP2/MPDZ/CDK5R1/ANKS1B/CACNG4/DCC/GRIP1/ARRB1/CPEB3/PLCB4/ITPR1/PDLIM5/SHANK3/NEFH/ADD2/GSG1L/GRIA2/RPS19/CHRNA3/ATP2B2/SYN3/SYT11/LRRC4C/MPP2/GPHN/SIPA1L1/KCNH1/GRIK2/LRRC4/CTNND2/PALM/RPL23/CACNG3/PRRT2/NSF/SHISA7/CPEB4/SORCS2/CLSTN3/BSN/RPL30/CLSTN2/RPS27/ADAM22/LZTS1/DNM3/GRIK5/RPS3/ADGRA1/NLGN1/NLGN4Y/RPL7/CDK5/HOMER2/CAMK2N1/SH3GL1/NPTN/SLITRK1/EPB41/KCND2/RTN4/SORCS3/LYN/GRIA1/P2RY1/CACNG2/DISC1/DGKI/RAB8A/PSD/SLC8A3/MYD88/LRFN1/LRP8/RPL14/INSYN1/CPEB1/MX2/P2RX4/RPLP0/STRN/SLC8A2/PRKCZ/NCS1/GRIN3A/RPS18/DNM1/RPL12/PCBP2/RPL8/MAP1B/RPS14/MAGI2/LIN7C/INPP4A/DRD2/CRTC1/RPS25/DLG5/GRIN2A/SEMA4F/LIN7A/NGFR/CHRM1/PTPRS/CACNG7/CNIH2/SHANK2/GRIN1/MIB1/ABI1/ARHGAP44/SYN1/SAMD14/LIN7B/RPS13/LRFN5/LZTS3/PCLO/P2RX6/DGKZ/SLC8A1/DLG4/MX1/ADAM10/ARHGAP32/ADGRB1/GRID1/SLITRK3/CNKSR2/PTK2B/TAMALIN/PHB/NTRK2/NLGN4X/ARRB2/PRKCG/DLGAP3/TNIK/CAMK2A/EPHA4/ADORA2A/ATP1A1/PDE4B/DAB1/RNF112/PLPPR4/DYNLL2/DLGAP2/PSD3/NRGN/GRM3/PJA2/EIF3A/ABHD17B/FABP5/DAGLA/CLSTN1/RPL6/PTCH1/CNN3/FYN/AKAP5/ADCY8/ABHD17C/CAMK1/PLEKHA5/ZDHHC15/EFNB3/INSYN2A/DLGAP1/LRFN2/ARHGEF9/ITGA8/CDKL5/ACTR2/TMEM108/TIAM1/BCR/ADGRL1/NEURL1/SYN2/LRFN4/RPL38/PDPK1/SYNPO/PRRT1/LRP4/SIGMAR1/SEMA4C/ARC/IGSF9B/LRRTM3/PAK2/SLC30A1/KCND3/EEF2K/BAALC/LRRC7",210
"GO:0099572","GO:0099572","postsynaptic specialization","217/7191","326/15694",1.9952300929453e-14,2.45745839781097e-12,1.93572323052413e-12,"DNAJC6/STX1A/PAK3/DCLK1/GNG3/PRNP/GAP43/TANC1/ADD3/DMTN/SRCIN1/MAPK8IP2/MPDZ/CDK5R1/ANKS1B/CACNG4/GABRA3/DCC/GRIP1/ARRB1/CPEB3/PLCB4/ITPR1/PDLIM5/SHANK3/NEFH/ADD2/GSG1L/GRIA2/RPS19/CHRNA3/ATP2B2/SYN3/SYT11/LRRC4C/MPP2/GPHN/SIPA1L1/KCNH1/GRIK2/LRRC4/CTNND2/PALM/RPL23/CACNG3/PRRT2/NSF/SHISA7/CPEB4/SORCS2/CLSTN3/BSN/RPL30/CLSTN2/RPS27/ADAM22/LZTS1/DNM3/GRIK5/RPS3/ADGRA1/NLGN1/NLGN4Y/RPL7/CDK5/HOMER2/CAMK2N1/SH3GL1/NPTN/SLITRK1/EPB41/KCND2/RTN4/SORCS3/LYN/GRIA1/SRGN/P2RY1/CACNG2/DISC1/DGKI/RAB8A/PSD/SLC8A3/MYD88/LRFN1/LRP8/RPL14/INSYN1/CPEB1/MX2/P2RX4/RPLP0/STRN/SLC8A2/PRKCZ/NCS1/GRIN3A/RPS18/DNM1/RPL12/PCBP2/RPL8/MAP1B/RPS14/MAGI2/LIN7C/INPP4A/DRD2/LRRTM1/CRTC1/RPS25/DLG5/GRIN2A/SEMA4F/HTR5A/LIN7A/NGFR/CHRM1/PTPRS/CACNG7/CNIH2/SHANK2/GRIN1/MIB1/ABI1/ARHGAP44/SYN1/SAMD14/LIN7B/RPS13/LRFN5/LZTS3/PCLO/P2RX6/DGKZ/SLC8A1/DLG4/MX1/ADAM10/ARHGAP32/ADGRB1/GRID1/SLITRK3/CNKSR2/PTK2B/TAMALIN/PHB/NTRK2/NLGN4X/ARRB2/PRKCG/DLGAP3/TNIK/CDH10/CAMK2A/EPHA4/ADORA2A/ATP1A1/PDE4B/DAB1/RNF112/PLPPR4/DYNLL2/DLGAP2/PSD3/NRGN/GRM3/PJA2/EIF3A/ABHD17B/FABP5/DAGLA/CLSTN1/RAPSN/RPL6/PTCH1/CNN3/FYN/AKAP5/ADCY8/NLGN2/ABHD17C/CAMK1/PLEKHA5/ZDHHC15/EFNB3/INSYN2A/DLGAP1/LRFN2/ARHGEF9/ITGA8/CDKL5/ACTR2/TMEM108/TIAM1/BCR/ADGRL1/NEURL1/SYN2/LRFN4/RPL38/PDPK1/SYNPO/PRRT1/LRP4/SIGMAR1/SEMA4C/ARC/IGSF9B/LRRTM3/PAK2/SLC30A1/KCND3/EEF2K/BAALC/LRRC7",217
"GO:0022626","GO:0022626","cytosolic ribosome","83/7191","102/15694",1.34851084601389e-13,1.42364216457752e-11,1.12139322984313e-11,"RPS19/RPS27L/APOD/RPL23/RPL30/RPS12/RPS27/RPS20/RPS3/RPS23/RPS6/RPL7/ISG15/RPLP2/RPL27A/RPS27A/RPL37/RPL31/RPS16/RPLP1/RPL17/RPS17/RPS4X/RPL14/RPL11/RPS15A/UBA52/RPL26/RPL37A/RPLP0/RPL3/RPS18/RPL12/RPL21/RPL8/RPS14/RPL34/RPL36A/RPL13A/RPL36/RPS21/RPL5/RPL15/RPL23A/RPS25/RPL28/RPL10A/RPL22/RPS7/RPL32/RPS8/RPS10/RPL10/RPL4/RPSA/RPL18A/RPL19/RPL36AL/RPS13/RPL41/RPL7A/RPS15/RPS3A/RPL18/RPL9/RPL27/RPS29/RPS11/LARP4/RPL35A/MCTS1/RPS24/RPS9/RPS28/RPL35/RPL39/RPL6/RPL24/RPL29/EIF2D/RPL38/RPLP0P6/RPS5",83
"GO:0098793","GO:0098793","presynapse","287/7191","465/15694",2.02176505553e-12,1.86760547004584e-10,1.47110009961591e-10,"SNCAIP/CNR1/CNGB1/SYPL1/PTPRN2/SNAP25/SCN2A/SNAP23/SNCG/RAB3A/DNAJC6/P2RX3/STX1A/SYT1/SYT7/CNTNAP4/SEPTIN6/SVOP/RIMS3/TANC1/SLC17A6/SLC29A1/SRCIN1/NRXN1/GRAP/PPFIBP1/UNC13A/CDK5R1/RAB13/PTPRN/SLC1A2/KCNC1/ATP2B3/SEPTIN5/GPM6A/SEPTIN2/SNAP91/EFNB2/SLC17A7/GRM2/VAMP3/CNTN1/SV2B/SV2A/PDLIM5/ATCAY/CALB1/RAB6B/RGS10/SEPTIN3/RIMS4/STX1B/SYT2/NEFL/APH1A/SLC4A8/SYNGR3/PPFIBP2/PTPRD/ERC2/ATP2B2/SLC4A10/SLC18A3/KCNA2/TRIM9/SYN3/CACNA1D/SYT11/RIMS1/TSPOAP1/PRSS12/CADPS/KCNH1/GRIK2/SYNJ2/ZNF804A/STX4/SYNPR/ICA1/RAB26/BTBD8/GNB5/MICAL1/GUCY1B1/PRRT2/SYT9/SYT4/CPLX2/CNTN5/CPLX1/SLC32A1/BSN/PCDH8/PPFIA4/APBA1/SYT5/RPS27/RAB2B/STXBP3/GABBR1/DNM3/GRIK5/SNCA/RIMS2/NLGN1/NLGN4Y/CDK5/BACE1/NRXN2/SEPTIN4/DNMBP/SYP/SH3GL1/WDR7/NTNG2/PLD2/NPTN/SLC18A1/SPTBN2/STXBP1/SCAMP1/GRIK3/CYFIP1/ATP2B4/SLC17A5/PDE2A/GAD1/PPFIA2/NMU/CCK/SH3GL2/GRIA1/P2RY1/DISC1/DGKI/CTTNBP2/RAB8A/CLCN4/CADPS2/SYNGR2/DOC2B/SLC8A3/SLC1A6/KIF1A/GOT1/CHAT/PCDH17/MX2/CRHBP/ITGA2/SYT6/P2RX4/CACNB2/SLC8A2/NCS1/RAB15/SYNGR1/DNM1/SCAMP5/EPHB2/LIN7C/VAMP2/NTS/DRD2/TMED9/KCTD12/NGF/SNPH/FLRT3/AMPH/KCTD16/GRIN2A/LIN7A/CALM3/BRSK1/CHRM1/RPL22/PTPRS/CLTB/SNCB/GRIN1/ARHGAP44/SRI/KCNC2/SYNJ1/SLC6A17/SLC2A1/SYN1/FCHO2/LIN7B/KIF1B/PCLO/APBA2/SYT12/ITSN2/RAB27B/SLC8A1/TPBG/DLG4/MX1/DDC/TBC1D24/NAPA/CLCN5/ADAM10/STX3/OPHN1/KCNK9/VAMP1/CLN3/PHB/NTRK2/NLGN4X/RAB8B/HCN3/PRKCG/KIRREL3/CLN8/TNIK/ATP2B1/SLC29A4/CDH10/EPHA4/ADORA2A/SCGN/PDE4B/DNAJC5/RNF112/NLGN3/SLC9B2/PNISR/GRM4/GRM3/FLOT1/RAB5A/FZD3/YWHAG/CDK16/PPT1/CDH9/LAMP1/MME/SV2C/ADCY8/NLGN2/KCNIP3/CALB2/ADCYAP1/CNTNAP1/EFNB3/RAB40B/ERC1/SLC6A3/HRH3/STXBP2/ADGRL1/SPHK1/SLC2A4/CDH8/SYN2/PTN/TNN/NAAA/PRRT1/NTF3/DOC2A/CRHR2/LAMP5/CPLX3/STX11/SEMA4C/CBARP/EGFLAM/GRM7/AAK1/KCNA6/PPP3CC/USH2A/DMXL2/UNC13B/RAB3D/SLC1A1/PIP5K1C/NTNG1/RAB3B/GAD2/ELK1",287
"GO:0097060","GO:0097060","synaptic membrane","222/7191","352/15694",3.59627671114063e-11,2.95294276614769e-09,2.32601289036347e-09,"CHRNB3/SNCAIP/CNR1/FAIM2/NSG1/SNAP25/SCN2A/P2RX3/STX1A/SYT1/SYT7/GRIK1/CNTNAP4/CHRM3/RIMS3/NRXN1/GRIA4/UNC13A/CACNG4/SLC1A2/KCNC1/ANK2/GABRA3/DCC/GPM6A/GRIP1/SNAP91/EFNB2/GRM2/ARRB1/CNTN1/CHRNB2/SHANK3/CHRNB4/RIMS4/STX1B/APH1A/NRP2/SLC4A8/PTPRD/ERC2/GSG1L/GRIA2/CHRNA3/ATP2B2/KCNA2/TRPV1/SYT11/RIMS1/LRRC4C/GPHN/KCNH1/ABHD6/GRIK2/GRIA3/UTRN/LRRC4/STX4/PALM/GABBR2/CACNG3/PRRT2/SHISA7/CNTN5/ANK3/SORCS2/CLSTN3/PCDH8/ANK1/APBA1/ATAD1/SYNE1/GLRA3/CLSTN2/GLRA2/ADAM22/GABBR1/LZTS1/DNM3/GRIK5/RIMS2/CHRNA5/NLGN1/LHFPL4/NLGN4Y/GABRB3/SYP/NTNG2/NPTN/TENM2/SLITRK1/STXBP1/KCND2/GRIK3/ATP2B4/PDE2A/SORCS3/GABRE/LRRTM4/GRIA1/P2RY1/CACNG2/DGKI/SLC8A3/SLC1A6/LRFN1/GABRB1/ZC4H2/KCNB1/PCDH17/MX2/SYT6/DAGLB/DGKB/STRN/DMD/GRIN3A/CNTN2/DNM1/EPHB2/LIN7C/DRD2/LRRTM1/KCTD12/SNPH/FLRT3/KCTD16/GRIN2A/SEMA4F/HTR5A/LIN7A/CHRM1/CHRNA6/PTPRS/CLTB/ITGA3/CSPG5/CACNG7/CNIH2/SHANK2/GRIN1/AKAP9/GLRB/KCNC2/SSPN/SYNJ1/FCHO2/LIN7B/LRFN5/PDLIM4/P2RX6/ITSN2/SLC8A1/DLG4/MX1/ADAM10/ADGRL2/STX3/GRID1/SLITRK3/CNKSR2/TAMALIN/ANXA1/PHB/NLGN4X/KCNMA1/CBLN1/NIPSNAP1/ARRB2/PRKCG/ATP2B1/CDH10/EPHA4/ADORA2A/NLGN3/PLPPR4/NRGN/GRM3/ABHD17B/DAGLA/CLSTN1/RAPSN/CDH9/ADCY8/NLGN2/ABHD17C/CALB2/CNTNAP1/EFNB3/KCNJ4/LRFN2/ERC1/ITGA8/CHRNA4/TIAM1/GABRP/MAGEE1/SLC6A3/ADGRL1/CDH8/LRFN4/SNTA1/PRRT1/LRP4/SIGMAR1/CPLX3/STX11/SEMA4C/ARC/GRM7/GABRR1/IGSF9B/GABRD/UNC13B/CHRM2/LRRTM3/GABRG2/GABRA1/SLC30A1/KCND3/NTNG1/GAD2",222
"GO:0005911","GO:0005911","cell-cell junction","272/7191","447/15694",6.94367728898534e-11,4.66488865141833e-09,3.67450099598937e-09,"PCDH9/S100A11/PODXL/VAMP5/JAM3/F11R/FZD4/SCN2A/SNAP23/TJP1/CGNL1/ESAM/YBX3/TEK/NFASC/AKAP6/PECAM1/PCDH12/ADD3/GJA4/GRB2/RASIP1/PCDH1/KIT/MPDZ/RAB13/ANK2/CORO1A/CLDN7/PDLIM1/KRT18/CDH5/JCAD/EFNB2/SHROOM2/EPB41L3/KRT8/EPCAM/ITGA5/CNN2/WASF2/SV2A/PDLIM5/FLRT2/DDX58/VCL/LCP2/GJB3/ADAM15/RHOA/TLN1/LIMS1/FGF13/KCNA2/B4GALT1/ATP1B1/MAGI1/SKAP1/PLPP3/MARVELD3/EPHA2/CTNND2/NCK1/AQP3/RAP2B/ADGRL3/CTNNA1/CLDN5/FRMD4B/PDZD2/ANK3/TJP2/APC/CADM3/CADM1/CTNNA2/MYH9/CEACAM1/KAZN/ANXA2/MYO1E/SPTBN4/NEXN/CDK4/DNMBP/PARD3B/BAIAP2L2/PALS1/USP53/CDC42EP1/ARHGAP17/CDH12/SH3KBP1/RAP2C/SHROOM4/MARVELD2/SDCBP/OCLN/CDH7/CDH18/PRKCI/CDH22/WDR1/LYN/PKP4/RAP1B/PDXP/TRPV4/ANKRD23/KIRREL2/CLIC4/IQGAP1/PDLIM2/MAGI3/SIRT2/CXADR/EPB41L4B/TMEM65/DSG2/CLMP/FHOD1/STRN/PRKCZ/ACTR3/KCNA5/NIBAN2/MAGI2/PTPRM/VEZT/LIN7C/PKN2/ARHGAP24/DSP/NOTCH1/FLRT3/PLEKHG5/DLG5/GJA1/LDB3/PTPRK/FLRT1/GJB5/PARD6A/LIN7A/NGFR/MPP7/CGN/KIRREL1/AKR1B1/LIMD1/AJAP1/DSC2/GJC2/WNK3/GJC3/CAMSAP3/AHNAK/SLC2A1/LIN7B/PDLIM4/TMEM204/GJB4/SLC8A1/VASP/PXN/KLHL24/FRMD5/HMCN1/STEAP1/PLEKHA7/CDH24/GJA5/ADAM10/DPP4/TMOD3/CDH11/STX3/PTPRU/ADGRB1/MYH2/NPHP1/MYADM/CD53/CCND1/ANXA1/FGFR4/FRMPD2/JAML/PANX2/AQP7/STARD10/CRB1/PARD3/EPPK1/PRKCG/KIRREL3/CDH10/NHS/IQGAP3/EPHA4/OBSL1/ATP1A1/PPP3CA/SAV1/CD99L2/CLDN10/CCDC85C/VSIG10/TNK2/RAPGEF2/SAPCD2/SIPA1L3/PANX1/CLDN12/KCNJ2/FLOT1/ABCC2/PANX3/AHI1/AMOTL1/GJB7/SCN1B/VSIG10L2/CDH9/CNN3/AOC1/EPB41L5/PKP2/PTK7/CALB2/SCN4B/CNTNAP1/FAT2/FERMT2/MXRA8/TIAM1/CDC42EP4/FRMD4A/ACTN1/SLC9A1/CDH8/JAG1/UBA1/CLDN23/CDH3/SYNPO/ZAP70/RPGRIP1L/TJAP1/NPHS1/GAB1/JAM2/PDCD6IP/CLDN4/ECT2/ITGA6/TBCD/PLXDC1/CDH1/COL17A1/CDH20/CSK/CLDN6/PTPN6/HPN/BAIAP2L1/FAT1/ZYX/DES/PAK2/PIP5K1C/TRPC4",272
