"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098793","GO:0098793","presynapse","30/179","465/15694",1.05885218612034e-14,3.31420734255667e-12,2.46322455929048e-12,"PTPRN2/SVOP/P2RX3/SYT4/CNR1/SLC17A6/SNAP25/SCN2A/RAB26/CNTN1/CPLX2/SLC17A7/SNAP91/SYP/SLC18A3/SYT7/GRM2/PENK/PRSS12/RAB3A/ATP2B3/SNCG/SV2B/NEFL/CNGB1/CNTNAP4/GPM6A/KCNC1/KCNH1/CPLX1",30
"GO:0097060","GO:0097060","synaptic membrane","22/179","352/15694",9.36534260438309e-11,1.46567611758595e-08,1.08933721872035e-08,"P2RX3/CNR1/SNAP25/SCN2A/CNTN1/CHRNA1/CHRNB3/SNAP91/SYP/SYT7/GRM2/CACNG3/GRIA2/CNTNAP4/GPM6A/SORCS3/KCNC1/KCNH1/GABRB1/CHRNA4/SORCS2/GABBR2",22
"GO:0150034","GO:0150034","distal axon","19/179","277/15694",4.08455971327532e-10,4.26155730085058e-08,3.16732525134683e-08,"PTPRN2/P2RX3/STMN4/STMN2/CNR1/SNAP25/CPLX2/MAPT/SYP/SLC18A3/PENK/PRSS12/RAB3A/GAP43/SNCG/NEFL/CNGB1/GPM6A/CPLX1",19
"GO:0043195","GO:0043195","terminal bouton","9/179","47/15694",2.5064239758437e-09,1.83223210769881e-07,1.36177331697137e-07,"PTPRN2/P2RX3/CPLX2/SYP/SLC18A3/PRSS12/RAB3A/CNGB1/CPLX1",9
"GO:0042734","GO:0042734","presynaptic membrane","13/179","130/15694",2.92688835095656e-09,1.83223210769881e-07,1.36177331697137e-07,"P2RX3/CNR1/SNAP25/SCN2A/CNTN1/SNAP91/SYP/SYT7/GRM2/CNTNAP4/GPM6A/KCNC1/KCNH1",13
"GO:0044306","GO:0044306","neuron projection terminus","12/179","122/15694",1.46226027318858e-08,7.62812442513374e-07,5.66946526973115e-07,"PTPRN2/P2RX3/SYT4/CPLX2/SYP/SLC18A3/PENK/PRSS12/RAB3A/SNCG/CNGB1/CPLX1",12
"GO:0043679","GO:0043679","axon terminus","11/179","106/15694",3.39525035939733e-08,1.51816194641624e-06,1.12834636004032e-06,"PTPRN2/P2RX3/CPLX2/SYP/SLC18A3/PENK/PRSS12/RAB3A/SNCG/CNGB1/CPLX1",11
"GO:0043025","GO:0043025","neuronal cell body","21/179","447/15694",4.09740350591547e-08,1.60310912168943e-06,1.191481808957e-06,"P2RX3/SST/NTRK1/SYT4/STMN2/HPCA/CPLX2/MAPT/ATP1A3/TNFRSF1B/PENK/GAP43/SNCG/GRIA2/UNC5A/GPM6A/KCNC1/KCNH1/CHRNA4/CPLX1/SORCS2",21
"GO:0030658","GO:0030658","transport vesicle membrane","14/179","196/15694",5.48782927496457e-08,1.90854507007101e-06,1.41849154358733e-06,"PTPRN2/SVOP/SYT4/SLC17A6/RAB26/SLC17A7/SYP/SLC18A3/SYT7/MAP6/RAB3A/SCG3/HLA-DQB1/SV2B",14
"GO:0030133","GO:0030133","transport vesicle","19/179","381/15694",7.468350131215e-08,2.3375935910703e-06,1.73737408315633e-06,"PTPRN2/SVOP/SYT4/SLC17A6/SNAP25/RAB26/SLC17A7/SNAP91/SYP/SLC18A3/SYT7/MAP6/PENK/RAB3A/SCG3/HLA-DQB1/SV2B/CHGA/NPTX1",19
"GO:0030672","GO:0030672","synaptic vesicle membrane","10/179","100/15694",2.06678189872772e-07,5.39085611918147e-06,4.00665613700725e-06,"PTPRN2/SVOP/SYT4/SLC17A6/RAB26/SLC17A7/SYP/SYT7/RAB3A/SV2B",10
"GO:0099501","GO:0099501","exocytic vesicle membrane","10/179","100/15694",2.06678189872772e-07,5.39085611918147e-06,4.00665613700725e-06,"PTPRN2/SVOP/SYT4/SLC17A6/RAB26/SLC17A7/SYP/SYT7/RAB3A/SV2B",10
"GO:0008021","GO:0008021","synaptic vesicle","13/179","190/15694",2.74431392691203e-07,6.60746353171896e-06,4.91087755342153e-06,"PTPRN2/SVOP/SYT4/SLC17A6/SNAP25/RAB26/SLC17A7/SNAP91/SYP/SYT7/PENK/RAB3A/SV2B",13
"GO:0098563","GO:0098563","intrinsic component of synaptic vesicle membrane","7/179","44/15694",5.99299472779265e-07,1.33986239271364e-05,9.95828447249756e-06,"PTPRN2/SYT4/SLC17A6/RAB26/SLC17A7/SYP/RAB3A",7
"GO:0070382","GO:0070382","exocytic vesicle","13/179","207/15694",7.32126833360234e-07,1.52770465894502e-05,1.13543880822885e-05,"PTPRN2/SVOP/SYT4/SLC17A6/SNAP25/RAB26/SLC17A7/SNAP91/SYP/SYT7/PENK/RAB3A/SV2B",13
"GO:1902495","GO:1902495","transmembrane transporter complex","15/179","285/15694",9.61710219386093e-07,1.88134561667405e-05,1.39827604266004e-05,"SNAP25/SCN2A/CHRNA1/CHRNB3/ATP1A3/TTYH2/KCNMB1/SCN7A/CACNG3/GRIA2/CNGB1/KCNC1/KCNH1/GABRB1/CHRNA4",15
"GO:1990351","GO:1990351","transporter complex","15/179","300/15694",1.82400144666296e-06,3.35830854591475e-05,2.49600197964406e-05,"SNAP25/SCN2A/CHRNA1/CHRNB3/ATP1A3/TTYH2/KCNMB1/SCN7A/CACNG3/GRIA2/CNGB1/KCNC1/KCNH1/GABRB1/CHRNA4",15
"GO:0034702","GO:0034702","ion channel complex","14/179","266/15694",2.24299369897504e-06,3.90031682099549e-05,2.89883980978646e-05,"SNAP25/SCN2A/CHRNA1/CHRNB3/TTYH2/KCNMB1/SCN7A/CACNG3/GRIA2/CNGB1/KCNC1/KCNH1/GABRB1/CHRNA4",14
"GO:0099240","GO:0099240","intrinsic component of synaptic membrane","10/179","131/15694",2.54051099094152e-06,4.1851575798142e-05,3.11054254292563e-05,"P2RX3/CNR1/SCN2A/CNTN1/CHRNA1/SYT7/GRM2/CACNG3/GPM6A/SORCS3",10
"GO:0099699","GO:0099699","integral component of synaptic membrane","9/179","119/15694",8.8062234718835e-06,0.000137817397334977,0.000102430283541382,"P2RX3/CNR1/SCN2A/CHRNA1/SYT7/GRM2/CACNG3/GPM6A/SORCS3",9
"GO:0031045","GO:0031045","dense core granule","5/179","26/15694",9.88555012632379e-06,0.000147341770930445,0.000109509101650003,"SCG2/SYT4/SYT7/PENK/CHGA",5
"GO:0098992","GO:0098992","neuronal dense core vesicle","4/179","13/15694",1.07971497802399e-05,0.000153613994600685,0.000114170818250383,"SCG2/SYT4/PENK/CHGA",4
"GO:0097386","GO:0097386","glial cell projection","5/179","29/15694",1.73588018356106e-05,0.000236230651067222,0.000175574151289242,"SYT4/MAPT/GRM2/NFASC/SCN7A",5
"GO:0030285","GO:0030285","integral component of synaptic vesicle membrane","5/179","31/15694",2.43819147561173e-05,0.000317980804944363,0.000236333471978155,"PTPRN2/SYT4/SLC17A6/SLC17A7/SYP",5
"GO:0045211","GO:0045211","postsynaptic membrane","12/179","254/15694",3.54298612930511e-05,0.000443581863388999,0.000329684182979549,"CNTN1/CHRNA1/CHRNB3/GRM2/CACNG3/GRIA2/SORCS3/KCNH1/GABRB1/CHRNA4/SORCS2/GABBR2",12
"GO:0098889","GO:0098889","intrinsic component of presynaptic membrane","6/179","60/15694",6.08204064004271e-05,0.000732184123205142,0.000544182583582769,"P2RX3/CNR1/SCN2A/CNTN1/SYT7/GPM6A",6
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","6/179","64/15694",8.77165906360003e-05,0.00101686269885437,0.00075576477701973,"P2RX3/SYP/INA/CACNG3/NEFL/CPLX1",6
"GO:0060076","GO:0060076","excitatory synapse","5/179","44/15694",0.000138238723162913,0.00154531144107113,0.00114852473003773,"SLC17A6/SLC17A7/SYP/CACNG3/GRIA2",5
"GO:0032809","GO:0032809","neuronal cell body membrane","4/179","26/15694",0.000201044144145188,0.0021698902454291,0.00161273161002129,"HPCA/ATP1A3/UNC5A/KCNC1",4
"GO:0060198","GO:0060198","clathrin-sculpted vesicle","3/179","12/15694",0.000297576910836155,0.00294967553598516,0.00219229289878164,"SLC17A7/SLC18A3/RAB3A",3
"GO:0032589","GO:0032589","neuron projection membrane","5/179","52/15694",0.000307358424699572,0.00294967553598516,0.00219229289878164,"HPCA/MAPT/EPB41L3/UNC5A/KCNC1",5
"GO:0099056","GO:0099056","integral component of presynaptic membrane","5/179","52/15694",0.000307358424699572,0.00294967553598516,0.00219229289878164,"P2RX3/CNR1/SCN2A/SYT7/GPM6A",5
"GO:0044298","GO:0044298","cell body membrane","4/179","29/15694",0.000310988155551151,0.00294967553598516,0.00219229289878164,"HPCA/ATP1A3/UNC5A/KCNC1",4
"GO:0034703","GO:0034703","cation channel complex","9/179","198/15694",0.000452757311920737,0.0041680305479762,0.0030978131868261,"SNAP25/SCN2A/KCNMB1/SCN7A/CACNG3/GRIA2/CNGB1/KCNC1/KCNH1",9
"GO:0044304","GO:0044304","main axon","5/179","57/15694",0.000472956728339829,0.00421311245429255,0.00313131949688466,"SCN2A/MAPT/EPB41L3/TNFRSF1B/NFASC",5
"GO:0098984","GO:0098984","neuron to neuron synapse","12/179","336/15694",0.000484575234359527,0.00421311245429255,0.00313131949688466,"P2RX3/GNG3/ATP1A3/SYT7/PENK/GAP43/INSYN1/CACNG3/GRIA2/SORCS3/KCNH1/SORCS2",12
"GO:0098982","GO:0098982","GABA-ergic synapse","5/179","61/15694",0.000647782693173956,0.00536437856700448,0.00398697717608202,"MDGA1/CNR1/GAP43/ATP2B3/GABRB1",5
"GO:0098978","GO:0098978","glutamatergic synapse","11/179","299/15694",0.000651266407495751,0.00536437856700448,0.00398697717608202,"CNR1/SNAP25/SCN2A/HPCA/CPLX2/ATP2B3/CACNG3/GPM6A/SORCS3/NPTX1/CPLX1",11
"GO:0005892","GO:0005892","acetylcholine-gated channel complex","3/179","16/15694",0.000732435455888775,0.00587826404341504,0.00436891324565234,"CHRNA1/CHRNB3/CHRNA4",3
"GO:0030426","GO:0030426","growth cone","8/179","176/15694",0.000936542300236611,0.00732844349935148,0.00544673285137608,"STMN4/STMN2/CNR1/SNAP25/MAPT/GAP43/NEFL/GPM6A",8
