"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","GO:0022626","cytosolic ribosome","86/7076","102/15694",2.1995204034548e-16,1.31859776883494e-13,1.04288410492809e-13,"APOD/RPS27L/RPL23/RPS27A/RPS19/RPS20/RPS15A/RPL30/RPS23/RPS12/RPL7/RPS27/RPL37/RPL17/RPLP2/RPS6/RPS3/RPS16/RPS17/RPLP1/RPS21/RPL34/RPL26/RPLP0/RPL31/RPL21/RPL37A/RPL23A/RPS4X/RPL12/RPL14/RPS14/RPL5/RPS3A/RPL36A/RPL27/RPL27A/RPS18/RPL10A/RPS13/RPS8/RPL9/RPL3/RPL11/UBA52/RPS7/RPSA/RPS10/RPL19/RPL7A/RPS29/RPL32/RPL15/RPS25/RPL13A/RPL22/RPL10/RPL28/RPS11/MCTS1/RPL41/RPL18A/RPL4/RPL35A/RPL36AL/RPL18/RPL39/RPL6/LARP4/RPL36/ISG15/EIF2D/RPS24/RPS28/RPL8/RPL29/RPL24/RPS9/RPL35/RPS15/RPS26/RPS5/RPL38/RPS2/RPLP0P6/HBA2",86
"GO:0030055","GO:0030055","cell-substrate junction","266/7076","411/15694",3.94584216539427e-16,1.31859776883494e-13,1.04288410492809e-13,"NRP1/THSD1/CLASP2/FLT1/TGM2/NFASC/PROCR/CD9/TEK/B2M/LAP3/RND3/L1CAM/RHOG/SNAP23/DAB2/AFAP1/XIRP2/TNS2/ANXA5/CD44/EFNB2/HSPG2/CAV1/VIM/PPFIBP1/FLNB/PEAK1/CAPN2/LCP1/PDLIM1/CAV2/ARHGAP22/MMP14/ARHGAP31/IRF2/PABPC1/MSN/RPL23/DIXDC1/EPHA2/TSPAN9/FES/FBLIM1/LIMS1/FHL3/CD99/RSU1/SH3KBP1/ANXA6/ITGA5/FLRT2/TLN1/HSPB1/ITGAV/RPS19/STARD8/YES1/CNN2/RPL30/MAPRE2/VCL/DST/RPL7/ARHGAP26/LPP/HSP90B1/NUMB/USP33/SDC4/TRIP6/RPLP2/GSN/RPS3/PHLDB2/RPS16/ITGB1/COL17A1/RHOA/FLRT3/CSRP1/CDC42EP1/PCBP2/CTNNA1/RPS17/EVL/RPLP1/JAK1/ILK/CNN1/RPLP0/DMD/LAYN/BCAR3/ITGA1/RPL31/AKAP12/FHL1/MYH9/ANXA1/RPL37A/ITGA6/EPB41L2/FLRT1/PLAU/PLAUR/ENG/RPS4X/MCAM/RPL12/ICAM1/GJA1/PARVA/IGF2R/RPS14/RPL5/SHROOM4/RPS3A/RPL27/RPS18/LIMD1/NEXN/RPL10A/RPS13/RPS8/ITGBL1/RRAS2/ADGRB1/RPL9/SNTB1/ARPC1B/CDH13/GNA12/RPL3/ARHGAP24/CSRP2/RPS7/FAM107A/RPS10/RAC2/RPL19/TSPAN4/RPL7A/MAP2K1/RPS29/PI4KA/CTTN/DLC1/NEDD9/ADGRE5/IL16/RPL13A/RPL22/TNC/RALA/LIMA1/YWHAG/TGFB1I1/ARHGEF7/HSPA1B/RPS11/SORBS3/ERBIN/TES/PTPRA/AJUBA/DDR2/FHL2/PRAG1/NPM1/RPL4/RPL18/ACTN1/HSPA5/PPP1R12A/CYFIP1/RPL6/AHNAK/SDCBP/PPIB/TNS3/SLA/EPPK1/TRPV4/ITGA2/DCTN4/HACD3/HSPA1A/FAT1/ITGB2/LASP1/CD99L2/MME/RAC1/HMGA1/RRAS/CD81/PDGFRB/IQGAP1/G3BP1/PRUNE1/CDC42/IL1RL1/CORO1C/ADAM10/RPL8/ITGA8/PTK7/REXO2/FLOT1/DPP4/SLC9A3R2/LRP1/ACTC1/RPS9/THY1/ACTR3/PARVB/PDPK1/PTK2/ACTN4/FGFR3/PXN/WASF1/RPS15/AIF1L/TPM4/MAPK3/SLC9A1/KRAS/TLN2/KIF23/SCARB2/PALLD/MISP/MARCKS/CLASP1/CAPN1/EZR/ITGA4/RPS5/RPL38/TLE2/ITGB5/TNS1/VASP/EPB41L5/NPHS1/CD59/NHS/RHOB/ALCAM/NOX4/CNN3/RDX/ITGA2B/RPS2/ATP6V0C/SORBS2/CALR/ZYX/KLF11/ZNF185/FZD2/YWHAB/PTK2B",266
"GO:0098984","GO:0098984","neuron to neuron synapse","224/7076","336/15694",6.64015114440846e-16,1.31859776883494e-13,1.04288410492809e-13,"P2RX3/GNG3/SYT7/GAP43/DNAJC6/SYT1/PAK3/STX1A/DCC/DCLK1/ATP1A3/DMTN/MAPK8IP2/SRCIN1/GRIA2/KCNH1/SLC4A8/CALB1/GRIP1/PLCB4/SORCS2/ATP2B2/CHRNA3/TANC1/CACNG3/ANKS1B/ADD2/PRNP/CDK5R1/MPDZ/GRIK2/INSYN1/SHANK3/CACNG4/GSG1L/PTPRD/ARRB1/ITPR1/CTNND2/ADD3/BSN/RPL23/SLITRK1/SYT9/CAMK2N1/SYT11/SYN3/CPEB3/NEFH/DISC1/P2RY1/CLSTN3/PALM/RPS19/CPEB4/GRIA1/DNM3/PSD/SHISA7/RPL30/NLGN4Y/SIPA1L1/PRRT2/PDLIM5/MPP2/RPL7/RPS27/NSF/LRFN5/CDK5/ADGRA1/MAP1B/PRKCZ/RAPGEF4/RPS3/NLGN1/GRIK5/LZTS1/RTN4/SH3GL2/GPHN/PCBP2/GRIN3A/PENK/LRRC4/RPLP0/LRFN1/RNF19A/SH3GL1/LIN7A/NCS1/DGKI/CACNG2/RPL12/RPL14/SAMD14/EPB41/CHRM1/DLG1/RPS14/INSYN2A/RPS18/SLC8A3/NPTN/HOMER2/RPS13/ADGRB1/SYNGAP1/GRIN2A/CPEB1/LIN7B/PTPRS/INPP4A/LRRC4C/ARHGAP44/SEMA4F/RPS25/ARRB2/RNF112/PDE4B/SYN1/SYT12/STRN/RAB8A/ADAM22/BACE1/ATP1A1/CLSTN2/MIB1/PJA2/DGKZ/CNIH2/DRD2/SLC8A2/ABI1/MYD88/LZTS3/LRP8/RPL6/ZDHHC15/MX1/PCLO/MX2/GRIN1/LRRTM3/P2RX6/LIN7C/CDKL5/SHANK2/CRTC1/SLC8A1/FYN/TIAM1/ADAM10/RPL8/ITGA8/PHB/FMR1/P2RX4/CRYAB/SORCS3/DLG5/SLITRK3/LYN/USP50/DLG4/DNM1/DLGAP3/MAGI2/CNKSR2/BCAS1/DLGAP1/PDPK1/DTNBP1/BAALC/BCR/CAMK1/TNIK/NECTIN3/OPRD1/EIF3A/ARHGEF9/SLC30A1/NTRK2/GRID1/CACNG7/TAMALIN/CAMK2A/AKAP5/EPHA7/PICK1/LRFN4/LRFN2/RPL38/PRR12/KCND2/ATP1B2/NGFR/PLPPR4/SEMA4C/ARC/KLHL17/DAGLA/NEURL1/PRKCG/EFNB3/LRRTM2/FABP5/TMEM108/GRIN2D/ADGRL1/DVL1/CNN3/PAK2/RGS9/NECTIN1/PRR7/SYNPO/KCND3/SLC16A3/SH3GL3/DLGAP2/SIGMAR1/PTK2B",224
"GO:0005925","GO:0005925","focal adhesion","262/7076","405/15694",7.16629222192903e-16,1.31859776883494e-13,1.04288410492809e-13,"NRP1/THSD1/CLASP2/FLT1/TGM2/NFASC/PROCR/CD9/TEK/B2M/LAP3/RND3/L1CAM/RHOG/SNAP23/DAB2/AFAP1/XIRP2/TNS2/ANXA5/CD44/EFNB2/HSPG2/CAV1/VIM/PPFIBP1/FLNB/PEAK1/CAPN2/LCP1/PDLIM1/CAV2/ARHGAP22/MMP14/ARHGAP31/IRF2/PABPC1/MSN/RPL23/DIXDC1/EPHA2/TSPAN9/FES/FBLIM1/LIMS1/FHL3/CD99/RSU1/SH3KBP1/ANXA6/ITGA5/FLRT2/TLN1/HSPB1/ITGAV/RPS19/STARD8/YES1/CNN2/RPL30/MAPRE2/VCL/DST/RPL7/ARHGAP26/LPP/HSP90B1/NUMB/USP33/SDC4/TRIP6/RPLP2/GSN/RPS3/PHLDB2/RPS16/ITGB1/RHOA/FLRT3/CSRP1/CDC42EP1/PCBP2/CTNNA1/RPS17/EVL/RPLP1/JAK1/ILK/CNN1/RPLP0/LAYN/BCAR3/ITGA1/RPL31/AKAP12/FHL1/MYH9/ANXA1/RPL37A/ITGA6/EPB41L2/FLRT1/PLAU/PLAUR/ENG/RPS4X/MCAM/RPL12/ICAM1/GJA1/PARVA/IGF2R/RPS14/RPL5/SHROOM4/RPS3A/RPL27/RPS18/LIMD1/NEXN/RPL10A/RPS13/RPS8/ITGBL1/RRAS2/ADGRB1/RPL9/SNTB1/ARPC1B/CDH13/GNA12/RPL3/ARHGAP24/CSRP2/RPS7/FAM107A/RPS10/RAC2/RPL19/TSPAN4/RPL7A/MAP2K1/RPS29/PI4KA/CTTN/DLC1/NEDD9/ADGRE5/IL16/RPL13A/RPL22/TNC/RALA/LIMA1/YWHAG/TGFB1I1/ARHGEF7/HSPA1B/RPS11/SORBS3/TES/PTPRA/AJUBA/DDR2/FHL2/PRAG1/NPM1/RPL4/RPL18/ACTN1/HSPA5/PPP1R12A/CYFIP1/RPL6/AHNAK/SDCBP/PPIB/TNS3/SLA/TRPV4/ITGA2/DCTN4/HACD3/HSPA1A/FAT1/ITGB2/LASP1/CD99L2/MME/RAC1/HMGA1/RRAS/CD81/PDGFRB/IQGAP1/G3BP1/PRUNE1/CDC42/IL1RL1/CORO1C/ADAM10/RPL8/ITGA8/PTK7/REXO2/FLOT1/DPP4/SLC9A3R2/LRP1/ACTC1/RPS9/THY1/ACTR3/PARVB/PDPK1/PTK2/ACTN4/FGFR3/PXN/WASF1/RPS15/AIF1L/TPM4/MAPK3/SLC9A1/KRAS/TLN2/KIF23/SCARB2/PALLD/MISP/MARCKS/CLASP1/CAPN1/EZR/ITGA4/RPS5/RPL38/TLE2/ITGB5/TNS1/VASP/EPB41L5/NPHS1/CD59/NHS/RHOB/ALCAM/NOX4/CNN3/RDX/ITGA2B/RPS2/ATP6V0C/SORBS2/CALR/ZYX/KLF11/ZNF185/FZD2/YWHAB/PTK2B",262
"GO:0014069","GO:0014069","postsynaptic density","208/7076","308/15694",8.99561798434499e-16,1.32415496729558e-13,1.04727931480901e-13,"GNG3/GAP43/DNAJC6/PAK3/STX1A/DCC/DCLK1/DMTN/MAPK8IP2/SRCIN1/GRIA2/KCNH1/GRIP1/PLCB4/SORCS2/ATP2B2/CHRNA3/TANC1/CACNG3/ANKS1B/ADD2/PRNP/CDK5R1/MPDZ/GRIK2/INSYN1/SHANK3/CACNG4/GSG1L/ARRB1/ITPR1/CTNND2/ADD3/BSN/RPL23/SLITRK1/CAMK2N1/SYT11/SYN3/CPEB3/NEFH/DISC1/P2RY1/CLSTN3/PALM/RPS19/CPEB4/GRIA1/DNM3/PSD/SHISA7/RPL30/NLGN4Y/SIPA1L1/PRRT2/PDLIM5/MPP2/RPL7/RPS27/NSF/LRFN5/CDK5/ADGRA1/MAP1B/PRKCZ/RPS3/NLGN1/GRIK5/LZTS1/RTN4/GPHN/PCBP2/GRIN3A/LRRC4/RPLP0/LRFN1/SH3GL1/LIN7A/NCS1/DGKI/CACNG2/RPL12/RPL14/SAMD14/EPB41/CHRM1/DLG1/RPS14/INSYN2A/RPS18/SLC8A3/NPTN/HOMER2/RPS13/ADGRB1/SYNGAP1/GRIN2A/CPEB1/LIN7B/PTPRS/INPP4A/LRRC4C/ARHGAP44/SEMA4F/RPS25/ARRB2/RNF112/PDE4B/SYN1/STRN/RAB8A/ADAM22/ATP1A1/CLSTN2/MIB1/PJA2/DGKZ/CNIH2/DRD2/SLC8A2/ABI1/MYD88/LZTS3/LRP8/RPL6/ZDHHC15/MX1/PCLO/MX2/GRIN1/LRRTM3/P2RX6/LIN7C/CDKL5/SHANK2/CRTC1/SLC8A1/FYN/TIAM1/ADAM10/RPL8/ITGA8/PHB/FMR1/P2RX4/CRYAB/SORCS3/DLG5/SLITRK3/LYN/USP50/DLG4/DNM1/DLGAP3/MAGI2/CNKSR2/BCAS1/DLGAP1/PDPK1/DTNBP1/BAALC/BCR/CAMK1/TNIK/NECTIN3/OPRD1/EIF3A/ARHGEF9/SLC30A1/NTRK2/GRID1/CACNG7/TAMALIN/CAMK2A/AKAP5/EPHA7/PICK1/LRFN4/LRFN2/RPL38/PRR12/KCND2/NGFR/PLPPR4/SEMA4C/ARC/KLHL17/DAGLA/NEURL1/PRKCG/EFNB3/LRRTM2/FABP5/TMEM108/GRIN2D/ADGRL1/DVL1/CNN3/PAK2/RGS9/PRR7/SYNPO/KCND3/SLC16A3/SH3GL3/DLGAP2/SIGMAR1/PTK2B",208
"GO:0032279","GO:0032279","asymmetric synapse","209/7076","313/15694",4.86340217752657e-15,5.96577333776593e-13,4.71835334065297e-13,"GNG3/GAP43/DNAJC6/PAK3/STX1A/DCC/DCLK1/DMTN/MAPK8IP2/SRCIN1/GRIA2/KCNH1/SLC4A8/GRIP1/PLCB4/SORCS2/ATP2B2/CHRNA3/TANC1/CACNG3/ANKS1B/ADD2/PRNP/CDK5R1/MPDZ/GRIK2/INSYN1/SHANK3/CACNG4/GSG1L/ARRB1/ITPR1/CTNND2/ADD3/BSN/RPL23/SLITRK1/CAMK2N1/SYT11/SYN3/CPEB3/NEFH/DISC1/P2RY1/CLSTN3/PALM/RPS19/CPEB4/GRIA1/DNM3/PSD/SHISA7/RPL30/NLGN4Y/SIPA1L1/PRRT2/PDLIM5/MPP2/RPL7/RPS27/NSF/LRFN5/CDK5/ADGRA1/MAP1B/PRKCZ/RPS3/NLGN1/GRIK5/LZTS1/RTN4/GPHN/PCBP2/GRIN3A/LRRC4/RPLP0/LRFN1/SH3GL1/LIN7A/NCS1/DGKI/CACNG2/RPL12/RPL14/SAMD14/EPB41/CHRM1/DLG1/RPS14/INSYN2A/RPS18/SLC8A3/NPTN/HOMER2/RPS13/ADGRB1/SYNGAP1/GRIN2A/CPEB1/LIN7B/PTPRS/INPP4A/LRRC4C/ARHGAP44/SEMA4F/RPS25/ARRB2/RNF112/PDE4B/SYN1/STRN/RAB8A/ADAM22/ATP1A1/CLSTN2/MIB1/PJA2/DGKZ/CNIH2/DRD2/SLC8A2/ABI1/MYD88/LZTS3/LRP8/RPL6/ZDHHC15/MX1/PCLO/MX2/GRIN1/LRRTM3/P2RX6/LIN7C/CDKL5/SHANK2/CRTC1/SLC8A1/FYN/TIAM1/ADAM10/RPL8/ITGA8/PHB/FMR1/P2RX4/CRYAB/SORCS3/DLG5/SLITRK3/LYN/USP50/DLG4/DNM1/DLGAP3/MAGI2/CNKSR2/BCAS1/DLGAP1/PDPK1/DTNBP1/BAALC/BCR/CAMK1/TNIK/NECTIN3/OPRD1/EIF3A/ARHGEF9/SLC30A1/NTRK2/GRID1/CACNG7/TAMALIN/CAMK2A/AKAP5/EPHA7/PICK1/LRFN4/LRFN2/RPL38/PRR12/KCND2/NGFR/PLPPR4/SEMA4C/ARC/KLHL17/DAGLA/NEURL1/PRKCG/EFNB3/LRRTM2/FABP5/TMEM108/GRIN2D/ADGRL1/DVL1/CNN3/PAK2/RGS9/PRR7/SYNPO/KCND3/SLC16A3/SH3GL3/DLGAP2/SIGMAR1/PTK2B",209
"GO:0099572","GO:0099572","postsynaptic specialization","216/7076","326/15694",6.03985141016188e-15,6.35047233982735e-13,5.02261327792409e-13,"GNG3/GAP43/DNAJC6/PAK3/STX1A/DCC/DCLK1/DMTN/MAPK8IP2/SRCIN1/GRIA2/KCNH1/GRIP1/PLCB4/SORCS2/ATP2B2/CHRNA3/TANC1/CACNG3/ANKS1B/ADD2/PRNP/CDK5R1/MPDZ/GRIK2/INSYN1/SHANK3/CACNG4/GSG1L/ARRB1/ITPR1/CTNND2/ADD3/BSN/GABRA3/RPL23/SLITRK1/CAMK2N1/SYT11/SYN3/CPEB3/NEFH/DISC1/P2RY1/CLSTN3/PALM/RPS19/CPEB4/GRIA1/DNM3/PSD/SHISA7/CHRNA1/RPL30/NLGN4Y/SIPA1L1/PRRT2/PDLIM5/MPP2/RPL7/RPS27/NSF/LRFN5/CDK5/ADGRA1/MAP1B/PRKCZ/RPS3/NLGN1/GRIK5/LZTS1/RTN4/GPHN/PCBP2/GRIN3A/LRRC4/RPLP0/LRFN1/SH3GL1/HTR5A/LIN7A/NCS1/DGKI/CACNG2/RPL12/RPL14/SAMD14/SRGN/EPB41/CHRM1/DLG1/RPS14/CDH10/INSYN2A/RPS18/SLC8A3/NPTN/HOMER2/RPS13/ADGRB1/SYNGAP1/GRIN2A/CPEB1/LIN7B/PTPRS/INPP4A/LRRC4C/ARHGAP44/SEMA4F/LRRTM1/RPS25/ARRB2/RNF112/PDE4B/SYN1/STRN/RAB8A/CHRNB1/ADAM22/ATP1A1/CLSTN2/MIB1/PJA2/DGKZ/CNIH2/DRD2/SLC8A2/ABI1/MYD88/LZTS3/LRP8/RPL6/ZDHHC15/MX1/PCLO/MX2/GRIN1/LRRTM3/P2RX6/LIN7C/CDKL5/SHANK2/CRTC1/SLC8A1/FYN/TIAM1/ADAM10/RPL8/ITGA8/PHB/FMR1/P2RX4/CRYAB/SORCS3/DLG5/SLITRK3/LYN/USP50/DLG4/DNM1/DLGAP3/MAGI2/CNKSR2/BCAS1/DLGAP1/PDPK1/DTNBP1/BAALC/BCR/CAMK1/TNIK/NECTIN3/OPRD1/EIF3A/ARHGEF9/SLC30A1/NTRK2/GRID1/CACNG7/TAMALIN/CAMK2A/AKAP5/EPHA7/PICK1/LRFN4/LRFN2/RPL38/PRR12/KCND2/NGFR/PLPPR4/SEMA4C/ARC/KLHL17/DAGLA/NEURL1/PRKCG/EFNB3/RAPSN/LRRTM2/FABP5/TMEM108/GRIN2D/ADGRL1/DVL1/CNN3/PAK2/RGS9/PRR7/SYNPO/KCND3/SLC16A3/SH3GL3/DLGAP2/SIGMAR1/PTK2B",216
"GO:0005911","GO:0005911","cell-cell junction","279/7076","447/15694",6.20018906568223e-14,5.70417394042765e-12,4.51145335963457e-12,"PCDH9/NFASC/S100A11/PODXL/VAMP5/AKAP6/TEK/TJP1/YBX3/FZD4/CGNL1/F11R/ESAM/JAM3/PECAM1/SNAP23/EPB41L3/GJA4/ANK2/GRB2/LDB3/CDH5/EFNB2/KRT18/KRT8/JCAD/PCDH12/RASIP1/RAB13/CORO1A/CLDN7/MPDZ/PDLIM1/SCN2A/KIT/SKAP1/FGF13/CADM3/PCDH1/CTNND2/ADD3/KCNA2/DDX58/SHROOM2/SPTBN4/EPHA2/LIMS1/EPCAM/B4GALT1/SV2A/SH3KBP1/ITGA5/FLRT2/ANXA2/RAP2B/CTNNA2/CLDN5/TLN1/APC/MARVELD3/KIRREL2/CEACAM1/PDZD2/CDH12/CNN2/SIRT2/ADAM15/CADM1/PKP4/VCL/LCP2/PDLIM5/PLPP3/WASF2/PALS1/GJB3/PRKCZ/CDH18/CD53/TJP2/ATP1B1/CDH22/CDH7/CLMP/CDK4/COL17A1/RHOA/FLRT3/CDC42EP1/CTNNA1/RAP2C/PARD3B/AQP3/MAGI1/FRMD4B/MYH9/AJAP1/ANXA1/NCK1/ITGA6/PARD6A/MARVELD2/GJC3/FLRT1/LIN7A/KAZN/CADM4/DLG1/GJA1/PANX2/SHROOM4/KLHL24/CDH10/TMEM65/VEZT/EPB41L4B/GJB5/ARHGAP17/LIMD1/MYO1E/NEXN/NOTCH1/RAPGEF2/NIBAN2/DNMBP/GJC2/ADGRB1/KIRREL3/ARHGAP24/LIN7B/FHOD1/SHROOM3/USP53/CXADR/NPHP1/ANK3/STXBP6/OCLN/WDR1/JAG1/BAIAP2L2/STRN/DSC2/KCNA5/CRB1/ATP1A1/STARD10/DSP/PPP3CA/VSIG10/GJA5/PRKCI/CLIC4/PDXP/PDLIM2/GJB4/AJUBA/PKN2/MPP7/RAP1B/MAGI3/ACTN1/AHNAK/PARD3/SDCBP/KCNJ2/PLXDC1/EPPK1/MXRA8/GJC1/TRPV4/TBCD/ZAP70/STX3/LIN7C/FAT1/UBA1/CD99L2/SLC8A1/IQGAP1/WNK3/CDH24/SLC5A1/PTPRM/CDC42/TIAM1/GAB1/CDH9/ADAM10/PTPRK/AKR1B1/KIRREL1/HPN/CNKSR1/OBSL1/PLEKHG5/PTK7/FLOT1/DPP4/PDLIM4/DSG2/PNN/DLG5/CDC42EP4/PTPRU/SLC2A1/CDH11/LYN/FRMD5/CAMSAP3/ADGRL3/ACTR3/MAGI2/CCDC85C/AOC1/CCND1/PRICKLE4/PLEKHA7/CDH6/JAML/STEAP1/PXN/NECTIN3/PARD6B/TRPC4/ANKRD23/PANX3/CLDN9/TJAP1/KCNJ11/SLC9A1/PDLIM3/GJD2/FRMPD2/FRMD4A/SAPCD2/SAV1/PTPN6/DSC3/AQP7/TMOD3/MYADM/THEMIS/NGFR/FGFRL1/AMOTL1/ABCC2/VASP/PRKCG/TNK2/HMCN1/CLDN4/CLDN10/EPB41L5/SCN4B/NPHS1/WNK4/IQGAP3/SCN1B/CLDN15/BAIAP2L1/NHS/TMEM47/FGFR4/CD2AP/CNN3/RDX/PAK2/CGN/NECTIN1/CDH8/SYNM/SIPA1L3/SYNPO/ZYX/ECT2/PANX1/FLCN/CLDN6",279
"GO:0098793","GO:0098793","presynapse","288/7076","465/15694",9.63519032719454e-14,7.87944453423909e-12,6.23188333443109e-12,"P2RX3/CNR1/SNAP25/SVOP/SNCG/SNCAIP/RAB3A/SYT7/SLC17A6/CNTN1/SEPTIN6/DNAJC6/SYT4/SYPL1/SYT1/GRM2/SNAP91/SLC17A7/STX1A/GPM6A/ATP2B3/PTPRN/SNAP23/RAB26/CNTNAP4/CPLX2/RIMS3/NRXN1/SV2B/SRCIN1/RAB6B/PRSS12/NEFL/SYP/SEPTIN5/UNC13A/RGS10/KCNH1/SLC4A8/CALB1/ATCAY/EFNB2/GRAP/ATP2B2/TANC1/ZNF804A/PPFIBP1/VAMP3/SYT2/RAB13/CNGB1/CDK5R1/STX1B/GRIK2/CACNA1D/SNCA/PTPRD/RIMS2/NRXN2/SLC29A1/SCN2A/SYNJ2/CADPS/SLC18A3/PCDH8/SEPTIN3/CPLX1/KCNA2/BSN/SLC1A2/MICAL1/RAB2B/GRIK3/SYNGR3/SYT9/SEPTIN2/SV2A/SYT11/SYN3/GNB5/DISC1/RIMS4/STXBP1/ERC2/P2RY1/CLCN4/NMU/BTBD8/SYNPR/NTNG2/RIMS1/TSPOAP1/GRIA1/KCNC1/DNM3/NLGN4Y/PPFIA2/PRRT2/STXBP3/PDLIM5/RPS27/CHAT/SEPTIN4/CTTNBP2/NTS/SCAMP1/CDK5/GOT1/SPTBN2/NLGN1/GUCY1B1/GRM4/GRIK5/APH1A/PDE2A/SLC4A10/FLRT3/SV2C/SH3GL2/STX4/SYT5/KIF1A/CALM3/RAB15/PENK/CCK/GABBR1/SH3GL1/VAMP2/LIN7A/NCS1/DGKI/SCAMP5/SLC32A1/CADPS2/SNPH/APBA1/TRIM9/CHRM1/TPBG/NAPA/CDH10/PPFIBP2/KCTD16/SLC8A3/NPTN/CNTN5/DNMBP/KIRREL3/DOC2B/SLC18A1/TBC1D24/GAD2/SYT6/GRIN2A/LIN7B/ATP2B4/PTPRS/SYNGR2/PTPRN2/SLC6A3/ARHGAP44/EPHB2/ICA1/RPL22/RNF112/HCN3/PDE4B/SYN1/PPFIA4/CLCN5/SYT12/TMED9/YWHAG/RAB8A/APBA2/SYNGR1/PLD2/BACE1/GAD1/SNCB/DRD2/SLC8A2/CYFIP1/ITSN2/MX1/PCLO/MX2/GRIN1/KCTD12/CLTB/ADCYAP1/RAB27B/ITGA2/STX3/KCNIP3/LIN7C/LRRK2/WDR7/SYNJ1/MME/KCNC2/KIF1B/SLC8A1/AMPH/TNN/RAB3B/FCHO2/KCNK9/SLC6A17/MCTP1/CDK16/STX7/NAAA/BRSK1/VAMP1/ERC1/SPHK1/CDH9/ADAM10/ATP2B1/PHB/FLOT1/ZDHHC17/FMR1/P2RX4/DNAJC5/SLC2A1/CYP46A1/CRHBP/DLG4/NGF/DNM1/PPT1/KCNA3/SLC1A6/UNC13B/DTNBP1/GPC4/PCDH17/HRH3/DDC/LAMP1/CLCN3/TNIK/SLC9B2/OPRD1/PRKN/SEPTIN8/NTRK2/FZD3/USH2A/BCL2L1/LAMP5/SLC17A5/PICK1/SLC22A1/PTN/DENND1A/ZNRF1/OPHN1/STX2/CLN3/SEMA4C/P2RX1/ROR1/SLC29A4/C1QL1/PRKCG/EFNB3/ROGDI/ADGRL1/DVL1/RAB40B/NTNG1/NECTIN1/CDH8/SLC2A4/KCNA1/DOC2A/NTF3/SH3GL3/SLC29A2/STXBP2/PPP3CC/ADRA1A/RAB40C/NPFF",288
"GO:0098978","GO:0098978","glutamatergic synapse","196/7076","299/15694",5.17770986022786e-13,3.49554191371199e-11,2.76463769777278e-11,"CNR1/SNAP25/NSG1/SYT1/FZD4/PAK3/STX1A/GPM6A/ATP2B3/CPLX2/SLC4A8/CALB1/GRIP1/PLCB4/PTPRO/EFNB2/ATP2B2/CACNG3/HPCA/NRP2/CORO1A/GRIK2/CACNG4/GSG1L/PTPRD/ABHD6/SCN2A/CAMKV/CADPS/PCDH8/ARHGAP22/CPLX1/BSN/SPARCL1/SLITRK1/WNT5A/ABR/GRIK3/SV2A/SYN3/STXBP1/ERC2/BCAN/SPARC/P2RY1/GRIPAP1/CLSTN3/ATAD1/SEMA3F/NTNG2/TSPOAP1/GRIA1/DNM3/SHISA7/NLGN4Y/PPFIA2/MAPK14/RPS27/CTTNBP2/LRFN5/NUMB/DGKB/CDK5/ADGRA1/SPTBN2/PRKCZ/NLGN1/GRIK5/RHOA/FLRT3/SH3GL2/STX4/GRIN3A/LRRC4/PORCN/CBLN1/RNF19A/SH3GL1/NCS1/NPTX2/CADPS2/CACNG2/SLITRK4/PPP3CB/APBA1/SRGN/CHRM1/NPTXR/PSD2/DLG1/NAPA/CDH10/NPTN/HOMER2/ABLIM3/NRG3/SYNGAP1/SYT6/GRIN2A/ATP2B4/PTPRS/CPT1C/LRRC4C/ARHGAP44/LRRTM1/EPHB2/PRKAR2B/PLCB1/RPL22/IL1RAP/RAB8A/ADAM22/CLSTN2/AKAP9/PPP3CA/ELAVL1/ERBIN/RNF216/PRKCI/DGKZ/CNIH2/DRD2/ACTN1/PCLO/LRRTM3/P2RX6/STX3/LIN7C/CDKL5/LRRK2/PPP2R2A/CRTC1/RAP1A/RAC1/FYN/NPTX1/SLC6A17/TIAM1/RAB11A/ADAM10/ATP2B1/PHB/FLOT1/SORCS3/USP46/CDH11/LYN/CALY/DLG4/ADGRL3/DLGAP3/KCNA3/CNKSR2/SLC1A6/PPP1R1B/DLGAP1/DTNBP1/GPC4/BCR/CAMK1/PCDH17/CSPG5/CLCN3/TNIK/GRID1/CACNG7/TAMALIN/EPHA7/LRFN4/DGKE/KCND2/OPHN1/PIN1/GPC6/GABRR1/PLPPR4/ARC/P2RX1/GSK3B/EFNB3/LRRTM2/ARHGAP39/DVL1/NTNG1/PAK2/RGS9/CDH8/PRR7/KCNA1/PPM1H/SH3GL3/DLGAP2/PPP3CC/TNR/ADRA1A/PTK2B",196
