"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","GO:0022626","cytosolic ribosome","85/7299","102/15694",1.27444482967809e-14,9.37991394643071e-12,7.45885605580016e-12,"RPS27L/RPL23/RPS19/RPS12/RPS20/RPS27A/APOD/RPL7/RPS23/RPS27/RPS15A/RPS6/RPL30/RPL37/RPS3/RPS17/RPLP2/RPL17/RPS16/RPLP0/RPL34/RPL21/RPL26/RPL31/RPLP1/RPS4X/RPS14/RPL3/RPL27A/RPL12/RPL37A/RPL36A/RPL23A/RPS18/RPS21/RPL11/RPS25/RPL14/RPL5/RPSA/RPS8/RPL13A/RPS3A/RPS29/RPL27/RPL15/RPL10A/RPS10/RPL32/RPL19/RPS13/RPL7A/UBA52/RPL22/RPL9/ISG15/RPS7/RPS11/RPL18A/RPL10/RPL41/RPL39/RPL4/RPS24/RPL18/LARP4/RPL35A/RPL8/RPL28/RPL36AL/RPL36/RPL6/RPL24/RPL29/RPS9/RPS28/MCTS1/RPS15/EIF2D/RPS26/RPL35/RPL38/RPS5/RPS2/RPLP0P6",85
"GO:0098984","GO:0098984","neuron to neuron synapse","223/7299","336/15694",9.82066638188977e-14,2.78648378161642e-11,2.21579659979796e-11,"P2RX3/GNG3/SYT7/GAP43/DNAJC6/PAK3/STX1A/DCLK1/SYT1/DCC/MAPK8IP2/ATP1A3/DMTN/GRIA2/SRCIN1/PLCB4/GRIP1/KCNH1/CALB1/CHRNA3/TANC1/CDK5R1/ANKS1B/PRNP/CACNG4/SORCS2/ATP2B2/SLC4A8/GRIK2/CACNG3/ADD3/ADD2/MPDZ/BSN/PTPRD/INSYN1/SHANK3/ITPR1/CTNND2/SYT9/RPL23/ARRB1/GSG1L/CPEB3/RPS19/SIPA1L1/CAMK2N1/SLITRK1/SYT11/RPL7/NEFH/RPS27/SYN3/RPL30/DISC1/LZTS1/PDLIM5/PALM/SHISA7/RTN4/DNM3/RPS3/CPEB4/PSD/GRIN3A/LRFN1/NSF/GPHN/MPP2/LRRC4/GRIA1/PRRT2/MAP1B/RPLP0/SH3GL2/ADGRA1/CDK5/CLSTN3/RAPGEF4/NLGN1/RNF19A/HOMER2/LRFN5/RPS14/PRKCZ/NLGN4Y/EPB41/RPL12/RPS18/INPP4A/RPS25/RPL14/GRIK5/P2RY1/CACNG2/PCBP2/LIN7A/SAMD14/NCS1/SH3GL1/SLC8A3/ADAM22/RPS13/LIN7B/NPTN/CHRM1/DGKI/MX2/PENK/INSYN2A/LRRC4C/DRD2/BACE1/SEMA4F/LZTS3/LYN/PTPRS/MIB1/ARHGAP44/MAGI2/SYN1/GRIN2A/RAB8A/GRIN1/ADGRB1/CPEB1/SYT12/MYD88/LRRTM3/LRP8/RPL8/MX1/PJA2/SLC8A2/DGKZ/CRTC1/DLGAP3/PCLO/LIN7C/P2RX6/P2RX4/RPL6/CLSTN2/DLG5/ARRB2/ZDHHC15/ABI1/ATP1A1/DLG1/FYN/CNIH2/CNKSR2/DNM1/ADAM10/SLC8A1/DLGAP1/BAALC/STRN/NGFR/CAMK1/GRID1/PHB/SYNPO/CDKL5/DLG4/PDE4B/SHANK2/RNF112/KCND2/TAMALIN/PDPK1/SLITRK3/PRRT1/DAB1/SORCS3/DAGLA/NTRK2/BCR/EIF3A/LRFN2/GRM3/EPHA7/LRFN4/RPL38/CACNG7/DTNBP1/SEMA4C/PAK2/SIGMAR1/LRP4/OPRD1/EFNB3/TNIK/TIAM1/EEF2K/ARHGAP32/CNN3/PLPPR4/LRRTM2/NEURL1/ITGA8/TMEM108/PRKCG/FABP5/ATP1B2/PRR12/SYN2/SYNGAP1/ACTN2/DLGAP2/PLEKHA5/DRP2/PSD3/PTK2B/PICK1/CAMK2A/PRR7/ARHGEF9/CRYAB/NRGN/DYNLL2/NLGN3/KCND3",223
"GO:0014069","GO:0014069","postsynaptic density","207/7299","308/15694",1.13579501968061e-13,2.78648378161642e-11,2.21579659979796e-11,"GNG3/GAP43/DNAJC6/PAK3/STX1A/DCLK1/DCC/MAPK8IP2/DMTN/GRIA2/SRCIN1/PLCB4/GRIP1/KCNH1/CHRNA3/TANC1/CDK5R1/ANKS1B/PRNP/CACNG4/SORCS2/ATP2B2/GRIK2/CACNG3/ADD3/ADD2/MPDZ/BSN/INSYN1/SHANK3/ITPR1/CTNND2/RPL23/ARRB1/GSG1L/CPEB3/RPS19/SIPA1L1/CAMK2N1/SLITRK1/SYT11/RPL7/NEFH/RPS27/SYN3/RPL30/DISC1/LZTS1/PDLIM5/PALM/SHISA7/RTN4/DNM3/RPS3/CPEB4/PSD/GRIN3A/LRFN1/NSF/GPHN/MPP2/LRRC4/GRIA1/PRRT2/MAP1B/RPLP0/ADGRA1/CDK5/CLSTN3/NLGN1/HOMER2/LRFN5/RPS14/PRKCZ/NLGN4Y/EPB41/RPL12/RPS18/INPP4A/RPS25/RPL14/GRIK5/P2RY1/CACNG2/PCBP2/LIN7A/SAMD14/NCS1/SH3GL1/SLC8A3/ADAM22/RPS13/LIN7B/NPTN/CHRM1/DGKI/MX2/INSYN2A/LRRC4C/DRD2/SEMA4F/LZTS3/LYN/PTPRS/MIB1/ARHGAP44/MAGI2/SYN1/GRIN2A/RAB8A/GRIN1/ADGRB1/CPEB1/MYD88/LRRTM3/LRP8/RPL8/MX1/PJA2/SLC8A2/DGKZ/CRTC1/DLGAP3/PCLO/LIN7C/P2RX6/P2RX4/RPL6/CLSTN2/DLG5/ARRB2/ZDHHC15/ABI1/ATP1A1/DLG1/FYN/CNIH2/CNKSR2/DNM1/ADAM10/SLC8A1/DLGAP1/BAALC/STRN/NGFR/CAMK1/GRID1/PHB/SYNPO/CDKL5/DLG4/PDE4B/SHANK2/RNF112/KCND2/TAMALIN/PDPK1/SLITRK3/PRRT1/DAB1/SORCS3/DAGLA/NTRK2/BCR/EIF3A/LRFN2/GRM3/EPHA7/LRFN4/RPL38/CACNG7/DTNBP1/SEMA4C/PAK2/SIGMAR1/LRP4/OPRD1/EFNB3/TNIK/TIAM1/EEF2K/ARHGAP32/CNN3/PLPPR4/LRRTM2/NEURL1/ITGA8/TMEM108/PRKCG/FABP5/PRR12/SYN2/SYNGAP1/ACTN2/DLGAP2/PLEKHA5/DRP2/PSD3/PTK2B/PICK1/CAMK2A/PRR7/ARHGEF9/CRYAB/NRGN/DYNLL2/KCND3",207
"GO:0032279","GO:0032279","asymmetric synapse","209/7299","313/15694",2.34814269577721e-13,4.32058256023006e-11,3.43570352329507e-11,"GNG3/GAP43/DNAJC6/PAK3/STX1A/DCLK1/DCC/MAPK8IP2/DMTN/GRIA2/SRCIN1/PLCB4/GRIP1/KCNH1/CHRNA3/TANC1/CDK5R1/ANKS1B/PRNP/CACNG4/SORCS2/ATP2B2/SLC4A8/GRIK2/CACNG3/ADD3/ADD2/MPDZ/BSN/INSYN1/SHANK3/ITPR1/CTNND2/RPL23/ARRB1/GSG1L/CPEB3/RPS19/SIPA1L1/CAMK2N1/SLITRK1/SYT11/RPL7/NEFH/RPS27/SYN3/RPL30/DISC1/LZTS1/PDLIM5/PALM/SHISA7/RTN4/DNM3/RPS3/CPEB4/PSD/GRIN3A/LRFN1/NSF/GPHN/MPP2/LRRC4/GRIA1/PRRT2/MAP1B/RPLP0/ADGRA1/CDK5/CLSTN3/NLGN1/HOMER2/LRFN5/RPS14/PRKCZ/NLGN4Y/EPB41/RPL12/RPS18/INPP4A/RPS25/RPL14/GRIK5/P2RY1/CACNG2/PCBP2/LIN7A/SAMD14/NCS1/SH3GL1/SLC8A3/ADAM22/RPS13/LIN7B/NPTN/CHRM1/DGKI/MX2/INSYN2A/LRRC4C/DRD2/SEMA4F/LZTS3/LYN/PTPRS/MIB1/ARHGAP44/MAGI2/SYN1/GRIN2A/RAB8A/GRIN1/ADGRB1/CPEB1/MYD88/LRRTM3/LRP8/RPL8/MX1/PJA2/SLC8A2/DGKZ/CRTC1/DLGAP3/PCLO/LIN7C/P2RX6/P2RX4/RPL6/CLSTN2/DLG5/ARRB2/ZDHHC15/ABI1/ATP1A1/DLG1/FYN/CNIH2/CNKSR2/DNM1/ADAM10/SLC8A1/DLGAP1/BAALC/STRN/NGFR/CAMK1/GRID1/PHB/SYNPO/CDKL5/DLG4/PDE4B/SHANK2/RNF112/KCND2/TAMALIN/PDPK1/SLITRK3/PRRT1/DAB1/SORCS3/DAGLA/NTRK2/BCR/EIF3A/LRFN2/GRM3/EPHA7/LRFN4/RPL38/CACNG7/DTNBP1/SEMA4C/PAK2/SIGMAR1/LRP4/OPRD1/EFNB3/TNIK/TIAM1/EEF2K/ARHGAP32/CNN3/PLPPR4/LRRTM2/NEURL1/ITGA8/TMEM108/PRKCG/FABP5/PRR12/SYN2/SYNGAP1/ACTN2/DLGAP2/PLEKHA5/DRP2/PSD3/PTK2B/PICK1/CAMK2A/PRR7/ARHGEF9/CRYAB/NRGN/DYNLL2/NLGN3/KCND3",209
"GO:0030055","GO:0030055","cell-substrate junction","263/7299","411/15694",3.89921583895111e-13,5.73964571493603e-11,4.5641347504354e-11,"NRP1/CLASP2/THSD1/NFASC/FLT1/PROCR/TGM2/B2M/CD9/L1CAM/TEK/RND3/SNAP23/LAP3/RHOG/AFAP1/XIRP2/TNS2/ANXA5/DAB2/HSPG2/FLNB/MSN/LCP1/ANXA6/ARHGAP22/EFNB2/PPFIBP1/ARHGAP31/PABPC1/RPL23/CAV1/GSN/MMP14/PDLIM1/RPS19/CD99/FHL3/CD44/YES1/TSPAN9/IRF2/FBLIM1/FES/ITGA5/PEAK1/CAPN2/CNN2/EPB41L2/RPL7/FLRT2/MAPRE2/DST/USP33/RPL30/SDC4/DIXDC1/CAV2/EPHA2/RSU1/VIM/HSPB1/RPS3/EVL/LPP/TRIP6/TNC/RHOA/VCL/HSP90B1/RPS17/RPLP2/FHL1/ITGAV/RPS16/NUMB/RPLP0/CTNNA1/PLAUR/ARHGAP26/SH3KBP1/RPL31/PI4KA/RPLP1/LIMS1/RPS4X/ILK/RPS14/RPL3/TLN1/RPL12/RPL37A/BCAR3/DMD/FAM107A/FLRT3/RPS18/STARD8/GJA1/CSRP2/PHLDB2/RAC2/RPL5/ITGBL1/MCAM/PCBP2/TSPAN4/RPS8/RPL13A/RPS3A/RPS29/IL16/RPL27/ARPC1B/RALA/RPL10A/RPS10/ENG/ADGRE5/RPL19/RPS13/RPL7A/MYH9/LIMA1/RPL22/ITGB1/RPL9/FLRT1/LIMD1/CSRP1/NEXN/SHROOM4/CYFIP1/RPS7/RPS11/ITGA2/TNS3/ARHGAP24/JAK1/CDC42EP1/AIF1L/CDH13/ARHGEF7/ICAM1/NPM1/ADGRB1/RPL4/COL17A1/IGF2R/PARVA/SDCBP/TRPV4/PTPRA/RPL18/RPL8/ITGB5/CTTN/YWHAG/DLC1/DDR2/ITGA1/LAYN/TES/HSPA1B/FGFR3/DPP4/PTK7/RPL6/PPIB/LASP1/AKAP12/DCTN4/HSPA1A/TGFB1I1/G3BP1/MAPK3/CD81/GNA12/IQGAP1/PLAU/HACD3/REXO2/FAT1/CNN1/FHL2/TLN2/ADAM10/ACTN4/RPS9/HSPA5/MAP2K1/CD99L2/KIF23/ITGA6/LRP1/CDC42/AHNAK/EZR/RPS15/FLOT1/EPPK1/IL1RL1/PDGFRB/THY1/ITGA3/SNTB1/PRAG1/SLA/AJUBA/ANXA1/RRAS2/CORO1C/MME/RRAS/ITGB2/PDPK1/PRUNE1/WASF1/KRAS/MRC2/PXN/GRB7/RAC1/NEDD9/SCARB2/ERBIN/CAPN5/CAPN1/NPHS1/SYNPO2/RPL38/RPS5/CLASP1/EPB41L5/CALR/ITGA4/SLC9A3R2/PIP5K1A/HMGA1/VASP/EFS/CD59/NHS/CNN3/TLE2/RHOB/ITGA8/SLC9A1/FZD2/KLF11/MARCKS/ACTN1/ATP6V0C/ACTC1/RPS2/SORBS3/FERMT3/ACTN2/PIP5K1C/DOCK7/PTK2B/ALCAM/ZNF185",263
"GO:0099572","GO:0099572","postsynaptic specialization","215/7299","326/15694",7.1648267283279e-13,8.78885412008223e-11,6.98884852798301e-11,"GNG3/GAP43/DNAJC6/PAK3/STX1A/DCLK1/DCC/MAPK8IP2/DMTN/GRIA2/SRCIN1/PLCB4/GRIP1/KCNH1/CHRNA3/TANC1/CDK5R1/ANKS1B/PRNP/CACNG4/SORCS2/ATP2B2/GRIK2/CACNG3/ADD3/ADD2/MPDZ/BSN/INSYN1/SHANK3/ITPR1/CTNND2/RPL23/ARRB1/GSG1L/CPEB3/RPS19/SIPA1L1/CAMK2N1/SLITRK1/SYT11/GABRA3/RPL7/NEFH/RPS27/SYN3/RPL30/DISC1/LZTS1/PDLIM5/PALM/SHISA7/RTN4/DNM3/RPS3/CPEB4/PSD/GRIN3A/LRFN1/NSF/GPHN/MPP2/LRRC4/GRIA1/PRRT2/MAP1B/RPLP0/ADGRA1/CDK5/CLSTN3/CHRNA1/NLGN1/HOMER2/LRFN5/RPS14/PRKCZ/NLGN4Y/EPB41/RPL12/RPS18/INPP4A/RPS25/RPL14/HTR5A/GRIK5/P2RY1/CACNG2/PCBP2/LIN7A/SAMD14/NCS1/SH3GL1/SLC8A3/ADAM22/RPS13/LIN7B/NPTN/CHRM1/DGKI/MX2/INSYN2A/LRRC4C/DRD2/SEMA4F/LZTS3/LYN/PTPRS/MIB1/ARHGAP44/SRGN/MAGI2/SYN1/GRIN2A/RAB8A/GRIN1/ADGRB1/CPEB1/MYD88/LRRTM3/LRP8/RPL8/MX1/PJA2/LRRTM1/SLC8A2/DGKZ/CRTC1/CHRNB1/DLGAP3/PCLO/LIN7C/P2RX6/P2RX4/RPL6/CDH10/CLSTN2/DLG5/ARRB2/ZDHHC15/ABI1/ATP1A1/DLG1/FYN/CNIH2/CNKSR2/DNM1/ADAM10/SLC8A1/DLGAP1/BAALC/STRN/NGFR/CAMK1/GRID1/PHB/SYNPO/CDKL5/DLG4/PDE4B/SHANK2/RNF112/KCND2/TAMALIN/PDPK1/SLITRK3/RAPSN/PRRT1/DAB1/SORCS3/DAGLA/NTRK2/BCR/EIF3A/LRFN2/GRM3/EPHA7/LRFN4/RPL38/CACNG7/DTNBP1/SEMA4C/PAK2/SIGMAR1/LRP4/OPRD1/EFNB3/TNIK/TIAM1/EEF2K/ARHGAP32/CNN3/PLPPR4/LRRTM2/NEURL1/ITGA8/TMEM108/PRKCG/FABP5/PRR12/SYN2/SYNGAP1/ACTN2/DLGAP2/PLEKHA5/DRP2/PSD3/PTK2B/PICK1/CAMK2A/PRR7/ARHGEF9/CRYAB/NRGN/DYNLL2/KCND3",215
"GO:0005925","GO:0005925","focal adhesion","258/7299","405/15694",1.36210438439217e-12,1.43215546701805e-10,1.13884216198804e-10,"NRP1/CLASP2/THSD1/NFASC/FLT1/PROCR/TGM2/B2M/CD9/L1CAM/TEK/RND3/SNAP23/LAP3/RHOG/AFAP1/XIRP2/TNS2/ANXA5/DAB2/HSPG2/FLNB/MSN/LCP1/ANXA6/ARHGAP22/EFNB2/PPFIBP1/ARHGAP31/PABPC1/RPL23/CAV1/GSN/MMP14/PDLIM1/RPS19/CD99/FHL3/CD44/YES1/TSPAN9/IRF2/FBLIM1/FES/ITGA5/PEAK1/CAPN2/CNN2/EPB41L2/RPL7/FLRT2/MAPRE2/DST/USP33/RPL30/SDC4/DIXDC1/CAV2/EPHA2/RSU1/VIM/HSPB1/RPS3/EVL/LPP/TRIP6/TNC/RHOA/VCL/HSP90B1/RPS17/RPLP2/FHL1/ITGAV/RPS16/NUMB/RPLP0/CTNNA1/PLAUR/ARHGAP26/SH3KBP1/RPL31/PI4KA/RPLP1/LIMS1/RPS4X/ILK/RPS14/RPL3/TLN1/RPL12/RPL37A/BCAR3/FAM107A/FLRT3/RPS18/STARD8/GJA1/CSRP2/PHLDB2/RAC2/RPL5/ITGBL1/MCAM/PCBP2/TSPAN4/RPS8/RPL13A/RPS3A/RPS29/IL16/RPL27/ARPC1B/RALA/RPL10A/RPS10/ENG/ADGRE5/RPL19/RPS13/RPL7A/MYH9/LIMA1/RPL22/ITGB1/RPL9/FLRT1/LIMD1/CSRP1/NEXN/SHROOM4/CYFIP1/RPS7/RPS11/ITGA2/TNS3/ARHGAP24/JAK1/CDC42EP1/AIF1L/CDH13/ARHGEF7/ICAM1/NPM1/ADGRB1/RPL4/IGF2R/PARVA/SDCBP/TRPV4/PTPRA/RPL18/RPL8/ITGB5/CTTN/YWHAG/DLC1/DDR2/ITGA1/LAYN/TES/HSPA1B/FGFR3/DPP4/PTK7/RPL6/PPIB/LASP1/AKAP12/DCTN4/HSPA1A/TGFB1I1/G3BP1/MAPK3/CD81/GNA12/IQGAP1/PLAU/HACD3/REXO2/FAT1/CNN1/FHL2/TLN2/ADAM10/ACTN4/RPS9/HSPA5/MAP2K1/CD99L2/KIF23/ITGA6/LRP1/CDC42/AHNAK/EZR/RPS15/FLOT1/IL1RL1/PDGFRB/THY1/ITGA3/SNTB1/PRAG1/SLA/AJUBA/ANXA1/RRAS2/CORO1C/MME/RRAS/ITGB2/PDPK1/PRUNE1/WASF1/KRAS/MRC2/PXN/GRB7/RAC1/NEDD9/SCARB2/CAPN5/CAPN1/NPHS1/SYNPO2/RPL38/RPS5/CLASP1/EPB41L5/CALR/ITGA4/SLC9A3R2/PIP5K1A/HMGA1/VASP/EFS/CD59/NHS/CNN3/TLE2/RHOB/ITGA8/SLC9A1/FZD2/KLF11/MARCKS/ACTN1/ATP6V0C/ACTC1/RPS2/SORBS3/ACTN2/PIP5K1C/DOCK7/PTK2B/ALCAM/ZNF185",258
"GO:0005911","GO:0005911","cell-cell junction","280/7299","447/15694",2.65632576212739e-12,2.4438197011572e-10,1.94331200492477e-10,"PCDH9/NFASC/PODXL/S100A11/AKAP6/VAMP5/F11R/YBX3/TJP1/EPB41L3/FZD4/TEK/CGNL1/JAM3/SNAP23/ESAM/PECAM1/GRB2/ANK2/GJA4/RAB13/PCDH12/KIT/LDB3/KRT8/CORO1A/PCDH1/KRT18/ADD3/RASIP1/MPDZ/CLDN7/SCN2A/FGF13/EFNB2/CDH5/CTNND2/SHROOM2/JCAD/SPTBN4/KCNA2/PDLIM1/DDX58/CADM3/APC/LCP2/ITGA5/EPCAM/CNN2/PLPP3/SV2A/SKAP1/FLRT2/WASF2/SIRT2/NCK1/EPHA2/CDH12/CEACAM1/KIRREL2/CTNNA2/MARVELD3/PDLIM5/RAP2B/TJP2/RHOA/CLDN5/CDH18/VCL/GJB3/CADM1/CDK4/MAGI1/PALS1/B4GALT1/AQP3/ATP1B1/FRMD4B/ADAM15/PDZD2/PKP4/CTNNA1/KAZN/SH3KBP1/CDH22/LIMS1/PRKCZ/TLN1/DNMBP/CDH7/FLRT3/PRKCI/GJA1/CLMP/AJAP1/MYO1E/ARHGAP17/FHOD1/PARD3B/LIN7A/MARVELD2/MAGI3/PARD6A/OCLN/MYH9/LIN7B/TMEM65/EPB41L4B/BAIAP2L2/VEZT/FLRT1/LIMD1/ANK3/NEXN/SHROOM4/RAP2C/GJC3/GJC2/ANXA2/CD53/KLHL24/LYN/CXADR/GJB5/PDXP/ARHGAP24/MAGI2/CDC42EP1/PLEKHA7/PKN2/CADM4/NOTCH1/DSP/ADGRB1/RAP1B/PARD3/COL17A1/SDCBP/TRPV4/PDLIM4/CLIC4/DSG2/PTPRM/KCNA5/PANX2/PDLIM2/CRB1/ADGRL3/WDR1/STARD10/ANKRD23/HMCN1/KIRREL3/LIN7C/GJB4/MYH2/DPP4/PTK7/KIRREL1/CDH10/PPP3CA/DLG5/AOC1/DSC2/STEAP1/JAG1/IQGAP1/PLEKHG5/WNK3/ABCC2/ATP1A1/CLDN10/FAT1/MPP7/DLG1/NPHP1/CAMSAP3/FRMD5/PANX3/ADAM10/GJA5/USP53/PTPRK/SLC8A1/CD99L2/UBA1/ITGA6/STRN/STXBP6/SAV1/NGFR/CDH11/CCND1/CDC42/SLC2A1/AHNAK/NIBAN2/SIPA1L3/JAML/AQP7/FLOT1/EPPK1/SYNPO/TJAP1/IQGAP3/PANX1/AKR1B1/CDH24/PNN/FGFR4/SPECC1L/AJUBA/ANXA1/CDC42EP4/VSIG10/CDH9/TBCD/TRPC4/SCN1B/PLXDC1/PTPN6/RAPGEF2/PXN/BAIAP2L1/GAB1/MXRA8/STX3/ECT2/GJC1/FRMPD2/CGN/CDH8/NPHS1/CCDC85C/OBSL1/SYNM/SHROOM3/SCN4B/EPB41L5/NF2/PTPRU/PAK2/ZAP70/TNK2/FAT2/CDCA3/VASP/GJD2/TMEM47/TIAM1/AHI1/NHS/PARD6B/CLDN6/CNN3/HPN/CDH3/KCNJ2/CNKSR1/PRKCG/CLDN9/SLC9A1/CDHR3/ACTN1/CLDN23/SAPCD2/MYADM/PKP2/TMEM204/FLCN/PIP5K1C/NECTIN4/CDH6/CALB2/ARVCF/CD2AP/FMN1/HAMP/FGFRL1/CDH20",280
"GO:0098978","GO:0098978","glutamatergic synapse","197/7299","299/15694",7.53142329362651e-12,6.15903060456568e-10,4.89762731141093e-10,"CNR1/SNAP25/NSG1/PAK3/STX1A/SYT1/FZD4/GPM6A/ATP2B3/CPLX2/PLCB4/GRIP1/CALB1/PTPRO/CACNG4/ATP2B2/SLC4A8/GRIK2/CORO1A/CACNG3/HPCA/PCDH8/BSN/SCN2A/CADPS/ARHGAP22/PTPRD/EFNB2/ABHD6/CAMKV/CPLX1/GSG1L/WNT5A/ABR/SPARC/GRIPAP1/SPARCL1/SLITRK1/STXBP1/GRIK3/SV2A/NRP2/RPS27/SYN3/BCAN/ERC2/TSPOAP1/ATAD1/SPTBN2/SHISA7/DNM3/PPFIA2/GRIN3A/SEMA3F/MAPK14/RHOA/LRRC4/DGKB/GRIA1/NTNG2/NUMB/SH3GL2/ADGRA1/CDK5/CLSTN3/NLGN1/RNF19A/HOMER2/CTTNBP2/LRFN5/CBLN1/PRKCZ/NLGN4Y/NPTX2/STX4/FLRT3/NPTXR/PRKCI/PPP3CB/SLITRK4/PSD2/GRIK5/NAPA/P2RY1/CADPS2/CACNG2/NCS1/SH3GL1/PORCN/APBA1/ATP2B4/CPT1C/ADAM22/NRG3/NPTN/CHRM1/PLCB1/RPL22/LRRC4C/DRD2/SYT6/LYN/PTPRS/ARHGAP44/SRGN/ABLIM3/GRIN2A/PRKAR2B/RAB8A/EPHB2/LRRTM3/AKAP9/LRRTM1/DGKZ/CRTC1/ADGRL3/DLGAP3/PCLO/LIN7C/P2RX6/SLC6A17/CDH10/CLSTN2/PPP3CA/GSK3B/SLC1A6/DLG1/FYN/RAP1A/CNIH2/CNKSR2/ADAM10/DLGAP1/CTBP2/RAB11A/CDH11/CAMK1/PPP1R1B/PCDH17/GRID1/PHB/FLOT1/GPC6/CDKL5/DLG4/OPHN1/KCNA3/CSPG5/KCND2/TAMALIN/GABRR1/PRRT1/ATP2B1/SORCS3/CALY/BCR/RAC1/PPP3CC/IL1RAP/GRM3/STX3/ERBIN/USP46/EPHA7/CLCN3/CDH8/LRFN4/CACNG7/DTNBP1/HRAS/PAK2/NPTX1/ARHGAP39/PIN1/EFNB3/TNIK/P2RX1/TIAM1/PLPPR4/LRRTM2/ACTN1/SYN2/SYNGAP1/ACTN2/DLGAP2/PLEKHA5/DRP2/HTR3A/PTK2B/PRR7/NRGN/DYNLL2/GHRL/NLGN3/DGKE/EIF4EBP1/GPC4",197
"GO:0098793","GO:0098793","presynapse","287/7299","465/15694",1.64333107975929e-11,1.20949167470283e-09,9.61781137206488e-10,"P2RX3/CNR1/SVOP/SNAP25/SNCG/RAB3A/SNCAIP/SYT7/SLC17A6/DNAJC6/SYPL1/CNTN1/SEPTIN6/SYT4/SNAP91/STX1A/GRM2/SYT1/SLC17A7/SNAP23/GPM6A/PTPRN/ATP2B3/RAB26/RIMS3/NRXN1/CPLX2/SV2B/NEFL/CNTNAP4/PRSS12/UNC13A/RAB6B/SRCIN1/KCNH1/SYP/SEPTIN5/CALB1/RAB13/TANC1/CDK5R1/ZNF804A/RGS10/ATCAY/SLC29A1/CNGB1/ATP2B2/GRAP/SLC4A8/GRIK2/STX1B/SYT2/PCDH8/BSN/SCN2A/CADPS/PTPRD/SLC1A2/SEPTIN3/EFNB2/PPFIBP1/SNCA/SLC18A3/RIMS2/SYNGR3/SYT9/CACNA1D/NRXN2/CPLX1/KCNA2/MICAL1/VAMP3/RIMS4/SYT11/RIMS1/STXBP1/RAB2B/SEPTIN2/GRIK3/SV2A/CLCN4/RPS27/BTBD8/SYN3/KCNC1/ERC2/TSPOAP1/GNB5/DISC1/NMU/PDLIM5/SPTBN2/SYNPR/DNM3/SEPTIN4/PPFIA2/SYNJ2/APH1A/SYT5/GRIA1/CHAT/NTNG2/PRRT2/SH3GL2/CDK5/GUCY1B1/NTS/STXBP3/NLGN1/SCAMP1/GOT1/CTTNBP2/SLC4A10/PDE2A/SLC32A1/SCAMP5/PPFIBP2/SNPH/NLGN4Y/SLC18A1/DNMBP/STX4/FLRT3/CALM3/KIF1A/TRIM9/CNTN5/GRIK5/NAPA/TBC1D24/P2RY1/CADPS2/LIN7A/NCS1/SH3GL1/APBA1/RAB15/TPBG/ATP2B4/VAMP2/CCK/SLC8A3/PPFIA4/DOC2B/GRM4/LIN7B/NPTN/CHRM1/RPL22/DGKI/SV2C/GABBR1/MX2/PTPRN2/PENK/PLD2/ICA1/CYFIP1/CLTB/KCTD16/DRD2/BACE1/SYNJ1/SYT6/ITGA2/PTPRS/SNCB/ARHGAP44/CRHBP/SYN1/GRIN2A/RAB8A/APBA2/GRIN1/KIF1B/SYT12/GAD1/EPHB2/CLCN5/MX1/YWHAG/HCN3/CDK16/SLC8A2/SYNGR2/PCLO/KIRREL3/RAB27B/LIN7C/NGF/LAMP5/SYNGR1/P2RX4/WDR7/SLC6A17/NAAA/CDH10/TMED9/KCTD12/SLC6A3/SLC1A6/DDC/DENND1A/KCNK9/KCNC2/DNM1/ADAM10/ADCYAP1/AMPH/KCNIP3/SLC8A1/METTL5/CTBP2/RAB40B/SLC2A1/PPT1/PCDH17/PHB/DNAJC5/PTN/FLOT1/ITSN2/STX7/DLG4/FCHO2/OPHN1/PDE4B/KCNA3/STX2/RNF112/UNC13B/SPHK1/SLC17A5/MME/CLN3/CDH9/RAB5B/PRRT1/TNN/ATP2B1/NTRK2/SLC9B2/CYP46A1/RAB8B/PPP3CC/GRM3/STX3/STXBP2/BCL2L1/RAB3B/BRSK1/CLCN3/CDH8/CACNB2/KCNA6/VAMP1/DTNBP1/SEMA4C/ERC1/PRKN/SLC2A4/SLC29A4/FZD3/HRH3/OPRD1/EFNB3/TNIK/P2RX1/STON1/SYT10/ROR1/PRKCG/MCTP1/LAMP1/SYN2/STX12/EGFLAM/C1QL1/PIP5K1C/HTR3A/PICK1/CALB2/ROGDI/DMXL2/RAB40C/NLGN3/GPC4",287
