"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098793","GO:0098793","presynapse","38/251","465/15694",8.99687211132584e-17,2.78903035451101e-14,2.06454538975688e-14,"SVOP/P2RX3/CNR1/RAB26/SNAP25/SYT4/SYT7/SLC17A6/CPLX2/GRM2/CNTN1/ATP2B3/SLC17A7/GRM4/GRIK3/CADPS/SEPTIN3/PCDH8/SYP/KCNH1/SYT1/PPFIA2/SLC1A2/SNAP91/SLC18A3/PTPRD/NEFL/RAB3A/CNTNAP4/CDH9/RIMS4/SRCIN1/CPLX1/PTPRN/GRIK2/CNGB1/MICAL1/EPHB2",38
"GO:0097060","GO:0097060","synaptic membrane","33/251","352/15694",2.06157356208699e-16,3.19543902123483e-14,2.3653844028156e-14,"P2RX3/CNR1/SNAP25/SYT7/GRM2/CNTN1/CHRNA4/ANK2/SORCS2/GRIK3/CHRNB3/CNTN2/GABBR2/PCDH8/SYP/KCNH1/CLSTN2/LRRTM3/SYT1/GSG1L/CHRNA1/SLC1A2/NSG1/SNAP91/CHRNB4/PTPRD/DGKB/CNTNAP4/CDH9/RIMS4/GRIK2/CRYAB/EPHB2",33
"GO:0043025","GO:0043025","neuronal cell body","32/251","447/15694",1.13266425296053e-12,1.17041972805921e-10,8.66388797001388e-11,"P2RX3/STMN2/KIF5A/SYT4/NTRK1/SST/ATP1A3/CPLX2/HPCA/RET/CHRNA4/MAPT/SORCS2/GRIK3/CAMK2N1/KIF5C/ENO2/UNC5A/GAP43/CTNND2/KCNH1/RTN4RL1/EPHA5/L1CAM/TUBB4A/PRPH/CPLX1/PTPRN/GRIK2/KCNB2/CRYAB/EPHB2",32
"GO:0042734","GO:0042734","presynaptic membrane","18/251","130/15694",2.64505457274886e-12,2.04991729388037e-10,1.51742604436645e-10,"P2RX3/CNR1/SNAP25/SYT7/GRM2/CNTN1/GRIK3/PCDH8/SYP/KCNH1/SYT1/SLC1A2/SNAP91/PTPRD/CNTNAP4/CDH9/GRIK2/EPHB2",18
"GO:0045211","GO:0045211","postsynaptic membrane","21/251","254/15694",8.06657319314097e-10,5.0012753797474e-08,3.70213253916786e-08,"GRM2/CNTN1/CHRNA4/ANK2/SORCS2/GRIK3/CHRNB3/CNTN2/GABBR2/PCDH8/KCNH1/CLSTN2/LRRTM3/GSG1L/CHRNA1/NSG1/CHRNB4/DGKB/CDH9/GRIK2/EPHB2",21
"GO:0043204","GO:0043204","perikaryon","16/251","143/15694",1.13951103971673e-09,5.88747370520311e-08,4.35812994137276e-08,"KIF5A/CPLX2/HPCA/SORCS2/GRIK3/ENO2/GAP43/CTNND2/KCNH1/RTN4RL1/PRPH/CPLX1/PTPRN/GRIK2/KCNB2/CRYAB",16
"GO:0099240","GO:0099240","intrinsic component of synaptic membrane","15/251","131/15694",2.76461355646641e-09,9.73122573027256e-08,7.20342006519327e-08,"P2RX3/CNR1/SYT7/GRM2/CNTN1/CNTN2/PCDH8/CLSTN2/LRRTM3/GSG1L/CHRNA1/SLC1A2/PTPRD/CDH9/EPHB2",15
"GO:0043195","GO:0043195","terminal bouton","10/251","47/15694",2.81941102755434e-09,9.73122573027256e-08,7.20342006519327e-08,"P2RX3/CPLX2/GRIK3/SYP/SLC18A3/RAB3A/CPLX1/GRIK2/CNGB1/MICAL1",10
"GO:0098978","GO:0098978","glutamatergic synapse","22/251","299/15694",2.82519456685332e-09,9.73122573027256e-08,7.20342006519327e-08,"CNR1/SNAP25/CPLX2/HPCA/CAMKV/ATP2B3/GRIK3/CADPS/NPTX1/PCDH8/CLSTN2/LRRTM3/SYT1/GSG1L/PPFIA2/NSG1/PTPRD/DGKB/CPLX1/GRIK2/ADGRA1/EPHB2",22
"GO:0150034","GO:0150034","distal axon","20/251","277/15694",2.09950296097181e-08,6.5084591790126e-07,4.81780679465109e-07,"STMN4/P2RX3/STMN2/CNR1/SNAP25/CPLX2/MAPT/GRIK3/KIF5C/SYP/GAP43/L1CAM/SLC18A3/NEFL/RAB3A/CPLX1/PTPRN/GRIK2/CNGB1/MICAL1",20
"GO:0099699","GO:0099699","integral component of synaptic membrane","13/251","119/15694",5.70172966478521e-08,1.60685108734856e-06,1.18945173868246e-06,"P2RX3/CNR1/SYT7/GRM2/PCDH8/CLSTN2/LRRTM3/GSG1L/CHRNA1/SLC1A2/PTPRD/CDH9/EPHB2",13
"GO:0044306","GO:0044306","neuron projection terminus","13/251","122/15694",7.68510482095368e-08,1.98531874541303e-06,1.46960776400693e-06,"P2RX3/SYT4/CPLX2/GRIK3/SYP/SYT1/SLC18A3/RAB3A/CPLX1/PTPRN/GRIK2/CNGB1/MICAL1",13
"GO:0043679","GO:0043679","axon terminus","11/251","106/15694",1.02525297971729e-06,2.44483402855661e-05,1.80975829618113e-05,"P2RX3/CPLX2/GRIK3/SYP/SLC18A3/RAB3A/CPLX1/PTPRN/GRIK2/CNGB1/MICAL1",11
"GO:0098984","GO:0098984","neuron to neuron synapse","19/251","336/15694",2.0464788775983e-06,4.53148894325339e-05,3.35437891215361e-05,"GNG3/P2RX3/SYT7/ATP1A3/SORCS2/CAMK2N1/GAP43/CTNND2/KCNH1/CLSTN2/LRRTM3/SYT1/GSG1L/PTPRD/INSYN1/SRCIN1/GRIK2/ADGRA1/CRYAB",19
