"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098793","GO:0098793","presynapse","29/301","465/15694",2.49928642453508e-08,8.49757384341926e-06,6.81384404162721e-06,"PTPRN2/SCN2A/SCGN/SLC17A5/SLC1A2/KCNC1/ZNF804A/SEPTIN3/SLC17A6/NLGN4X/GRIK3/RIMS4/TRIM9/EPHB2/RAB3D/PCDH17/CDH9/SYNGR1/CADPS/SLC4A10/GRM4/CNR1/NLGN1/RAB26/KCNC2/SRCIN1/SLC1A6/SV2A/TSPOAP1",29
"GO:0034706","GO:0034706","sodium channel complex","6/301","23/15694",3.6311498976668e-06,0.000449392742311497,0.000360348979129033,"SCN2A/SCN7A/GRIK3/SCN8A/SCN2B/SCN3A",6
"GO:0097060","GO:0097060","synaptic membrane","21/301","352/15694",4.57233843087809e-06,0.000449392742311497,0.000360348979129033,"SCN2A/SLITRK1/SLC1A2/KCNC1/ANK2/NLGN4X/GRIK3/CHRM5/RIMS4/CNIH3/EPHB2/CBLN1/CACNG7/PCDH17/GABRB2/CDH9/CNR1/NLGN1/CHRNA4/KCNC2/SLC1A6",21
"GO:0043025","GO:0043025","neuronal cell body","24/301","447/15694",5.83376743725082e-06,0.000449392742311497,0.000360348979129033,"KIF5A/RET/TNFRSF1B/MPL/KCNC1/ENO2/ZNF804A/KIF5C/GRIK3/EPHB2/TTBK1/CACNG7/SLC25A27/KCNE3/PTBP2/SLC4A10/DPYSL5/TMPRSS3/ASIC2/CHRNA4/KCNC2/FZD5/RTN4RL1/SV2A",24
"GO:0034703","GO:0034703","cation channel complex","15/301","198/15694",6.60871679869848e-06,0.000449392742311497,0.000360348979129033,"SCN2A/SCN7A/KCNC1/GRIK3/SCN8A/CNIH3/CACNB4/DPP10/CACNG7/KCNE3/SCN2B/KCNQ2/NLGN1/KCNC2/SCN3A",15
"GO:0001518","GO:0001518","voltage-gated sodium channel complex","5/301","16/15694",9.21875373533762e-06,0.000522396045002465,0.000418887231132008,"SCN2A/SCN7A/SCN8A/SCN2B/SCN3A",5
"GO:0034702","GO:0034702","ion channel complex","17/301","266/15694",1.55488703008788e-05,0.000755230843185542,0.000605587580139491,"SCN2A/SCN7A/KCNC1/GRIK3/SCN8A/CNIH3/CACNB4/DPP10/CACNG7/KCNE3/GABRB2/SCN2B/KCNQ2/NLGN1/CHRNA4/KCNC2/SCN3A",17
"GO:0099699","GO:0099699","integral component of synaptic membrane","11/301","119/15694",1.80579603649328e-05,0.000767463315509645,0.000615396280857579,"SCN2A/SLITRK1/SLC1A2/EPHB2/CACNG7/PCDH17/GABRB2/CDH9/CNR1/NLGN1/SLC1A6",11
"GO:1902495","GO:1902495","transmembrane transporter complex","17/301","285/15694",3.75366664416582e-05,0.00141805184335153,0.00113707562671222,"SCN2A/SCN7A/KCNC1/GRIK3/SCN8A/CNIH3/CACNB4/DPP10/CACNG7/KCNE3/GABRB2/SCN2B/KCNQ2/NLGN1/CHRNA4/KCNC2/SCN3A",17
"GO:0099240","GO:0099240","intrinsic component of synaptic membrane","11/301","131/15694",4.43461290596844e-05,0.00150776838802927,0.00120901551857455,"SCN2A/SLITRK1/SLC1A2/EPHB2/CACNG7/PCDH17/GABRB2/CDH9/CNR1/NLGN1/SLC1A6",11
"GO:0099056","GO:0099056","integral component of presynaptic membrane","7/301","52/15694",5.68501497609602e-05,0.00175718644715695,0.00140901328115681,"SCN2A/SLC1A2/EPHB2/PCDH17/CDH9/CNR1/SLC1A6",7
"GO:0098978","GO:0098978","glutamatergic synapse","17/301","299/15694",6.82311265542603e-05,0.00185944339084848,0.00149100878708903,"SCN2A/SLITRK1/NLGN4X/GRIK3/EPHB2/CBLN1/CACNG7/PCDH17/GUCY1A1/CADPS/WASF3/CNR1/NLGN1/SLC1A6/SV2A/TSPOAP1/CAMKV",17
"GO:1990351","GO:1990351","transporter complex","17/301","300/15694",7.10963649442066e-05,0.00185944339084848,0.00149100878708903,"SCN2A/SCN7A/KCNC1/GRIK3/SCN8A/CNIH3/CACNB4/DPP10/CACNG7/KCNE3/GABRB2/SCN2B/KCNQ2/NLGN1/CHRNA4/KCNC2/SCN3A",17
