"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030055","GO:0030055","cell-substrate junction","283/7933","411/15694",1.92257796052044e-14,1.4207851128246e-11,1.14140417866687e-11,"CLASP2/NRP1/TGM2/RHOG/SNAP23/NFASC/CD9/THSD1/LAP3/B2M/ANXA5/FLT1/DAB2/PROCR/L1CAM/RND3/XIRP2/FLNB/MSN/RSU1/PPFIBP1/CAPN2/PDLIM1/ANXA6/VIM/FBLIM1/TNS2/RPS19/AFAP1/CD99/EPHA2/SDC4/CNN2/TEK/GSN/CAV1/YES1/RHOA/RPL23/EFNB2/FHL3/PABPC1/ILK/FLRT2/TSPAN9/DST/TRIP6/HSPB1/CD44/IRF2/RPLP2/RPL7/VCL/LIMS1/ITGAV/MCAM/ARHGAP22/ITGA5/PLAUR/NUMB/FES/DIXDC1/CTNNA1/AKAP12/MMP14/EPB41L2/CAV2/EVL/RPS3/RPL30/LCP1/ITGB1/PEAK1/RPLP1/LPP/STARD8/HSPG2/SH3KBP1/TLN1/ARHGAP31/USP33/MYH9/RPL31/RPS17/RALA/REXO2/HSP90B1/SDCBP/RPLP0/FHL1/FLRT3/RPL37A/RPS16/CSRP2/ARPC1B/RPS4X/PARVA/BCAR3/RPL3/NEXN/PHLDB2/RPS15/RPL12/RPL8/CSRP1/RPL22/RPL13A/CYFIP1/DMD/TSPAN4/CORO1C/ANXA1/RPL5/ITGA2/LIMA1/RRAS/SORBS3/GNA12/RPS18/CDC42EP1/IL16/IQGAP1/JAK1/MAPK3/RPS14/RPS8/ACTR3/LASP1/PCBP2/IGF2R/RPS7/GJA1/MME/LRP1/RPL7A/RPL4/EPPK1/PI4KA/FAM107A/RPL10A/RPL19/LIMD1/SHROOM4/NHS/TRPV4/MAPRE2/RPS10/HSPA5/CNN1/ARHGAP24/LAYN/ADGRE5/RPS13/RRAS2/RPS3A/ACTN1/PPIB/RPL18/CAP1/RPS29/RPL27/ENG/CD59/TNS3/FLRT1/DLC1/PPP1R12A/SCARB2/ITGA1/PTPRA/PTK2/PLAU/TGFB1I1/SLC9A3R2/ITGB5/RPS11/TNC/MAP2K1/CTTN/ADAM10/RPS9/CPNE3/G3BP1/RAC2/EZR/ADAM17/CD81/HMGA1/PARVB/AIF1L/AHNAK/DCTN4/NPHS1/ARHGEF7/RPL9/AJUBA/KIF23/THY1/TPM4/ARHGAP26/RPL6/DOCK7/ITGBL1/PXN/RAC1/ICAM1/EPB41L5/PDGFRB/DDR2/MISP/NCSTN/NEDD9/CHP1/YWHAG/MARCKS/NPM1/PRAG1/PRUNE1/SORBS2/RPL38/RHOB/PDPK1/VASP/ITGA6/FLOT1/CALR/DPP4/SLC9A1/TLN2/CFL1/RPS5/ACTN4/RDX/ITGB8/HSPA1A/ADGRB1/FZD2/RPS2/PTK2B/FHL2/TADA1/ACTR2/IL1RL1/CNN3/CAT/CTNNB1/ITGA8/FERMT2/ZNF185/PTK7/CDH13/ERBIN/PDCD6IP/SLA/HSPA1B/ZYX/WASF1/ARPC2/ITGA4/SCARF2/ALCAM/P4HB/RHOU/FAT1/PPIA/SNTB1/PPFIA1/FOCAD/DAG1/SLC4A2/TLE2/OPRM1/ITGA3/NOX4/COL17A1/ENAH/KRAS/CSPG4/ACTC1/ITGB2/FERMT3/SYNPO2/ALOX15B",283
"GO:0098984","GO:0098984","neuron to neuron synapse","237/7933","336/15694",4.25222969741658e-14,1.46737882484928e-11,1.17883577696032e-11,"P2RX3/GNG3/SYT7/SYT1/GAP43/PAK3/STX1A/DCLK1/PRNP/DNAJC6/ATP1A3/PTPRD/ANKS1B/ADD3/GRIP1/SLC4A8/TANC1/MAPK8IP2/SRCIN1/KCNH1/CTNND2/MPDZ/ADD2/CDK5R1/DCC/DMTN/RPS19/GRIK2/CACNG4/CAMK2N1/SYT11/ARRB1/RPL23/SORCS2/CHRNA3/NLGN1/MPP2/NEFH/PDLIM5/CPEB3/CALB1/GRIA2/SYN3/RPL7/PRRT2/RNF19A/RPS27/SHANK3/INSYN1/DGKI/RPS3/NLGN4Y/SYT9/RPL30/GSG1L/ITPR1/LRRC4/CLSTN3/SIPA1L1/PALM/PLCB4/GPHN/CACNG3/DNM3/GRIA1/CPEB4/BSN/RPLP0/NPTN/SH3GL1/RPL14/SHISA7/RPL12/RPL8/LRRC4C/P2RY1/ATP2B2/PTPRS/NSF/ADGRA1/RAB8A/GRIK5/LRP8/ADAM22/MYD88/PDE4B/RPS18/CNKSR2/MX1/PSD/RPS14/DISC1/PRKCZ/CACNG2/PCBP2/SH3GL2/RPS25/RAPGEF4/RTN4/EPB41/BACE1/NTRK2/MIB1/CDK5/ABI1/DRD2/HOMER2/RPS13/LRFN5/DNM1/NCS1/CNIH2/LZTS1/LIN7A/DLG5/SLC8A3/CPEB1/ATP1A1/SLC8A2/P2RX6/SYNGAP1/GRIN1/CACNG7/KCND2/MX2/LZTS3/GRIN2A/ADAM10/MAP1B/ARHGAP32/CRTC1/CAMK2A/ADGRL1/NLGN4X/TNIK/SAMD14/LRFN1/SORCS3/LIN7C/LRRTM3/ARC/SEMA4F/ADORA2A/LIN7B/LYN/P2RX4/SYT12/TMEM108/SLITRK1/SYN1/CHRM1/RPL6/PHB/NLGN3/PENK/DLG4/SHANK2/ARHGAP44/NLGN2/ARRB2/EIF3A/FABP5/DYNLL2/CDKL5/RPL38/PLEKHA5/PDPK1/RNF112/STRN/AKAP5/CRYAB/TIAM1/LRP4/DGKZ/DLGAP1/INPP4A/PSD3/DLG1/FYN/ARHGEF9/GRIN3A/KLHL17/ZDHHC15/CLSTN2/PICK1/ADGRB1/PTK2B/CACNG5/PCLO/ACTR2/CLSTN1/PRKCG/DLGAP2/CNN3/EPHA4/DAGLA/ITGA8/TAMALIN/DNAJB1/LRFN4/SLC8A1/NEURL1/IGSF11/LRFN2/SYNJ2BP/SLITRK3/NGFR/GRM1/LRRC7/GRM5/PTCH1/PRRT1/NECTIN3/GRID1/SLC30A1/EFNB3/NOS1/INSYN2A/GRM7/PHB2/NSMF/STXBP5/SIGMAR1/DVL1/CAMK1/CABP1/NRGN/ADCY1/BCR/NTSR1/LRRTM2/SYN2/ND2/PLPPR4/DRP2/FXR2/KCND1",237
"GO:0005925","GO:0005925","focal adhesion","278/7933","405/15694",5.95688291549099e-14,1.46737882484928e-11,1.17883577696032e-11,"CLASP2/NRP1/TGM2/RHOG/SNAP23/NFASC/CD9/THSD1/LAP3/B2M/ANXA5/FLT1/DAB2/PROCR/L1CAM/RND3/XIRP2/FLNB/MSN/RSU1/PPFIBP1/CAPN2/PDLIM1/ANXA6/VIM/FBLIM1/TNS2/RPS19/AFAP1/CD99/EPHA2/SDC4/CNN2/TEK/GSN/CAV1/YES1/RHOA/RPL23/EFNB2/FHL3/PABPC1/ILK/FLRT2/TSPAN9/DST/TRIP6/HSPB1/CD44/IRF2/RPLP2/RPL7/VCL/LIMS1/ITGAV/MCAM/ARHGAP22/ITGA5/PLAUR/NUMB/FES/DIXDC1/CTNNA1/AKAP12/MMP14/EPB41L2/CAV2/EVL/RPS3/RPL30/LCP1/ITGB1/PEAK1/RPLP1/LPP/STARD8/HSPG2/SH3KBP1/TLN1/ARHGAP31/USP33/MYH9/RPL31/RPS17/RALA/REXO2/HSP90B1/SDCBP/RPLP0/FHL1/FLRT3/RPL37A/RPS16/CSRP2/ARPC1B/RPS4X/PARVA/BCAR3/RPL3/NEXN/PHLDB2/RPS15/RPL12/RPL8/CSRP1/RPL22/RPL13A/CYFIP1/TSPAN4/CORO1C/ANXA1/RPL5/ITGA2/LIMA1/RRAS/SORBS3/GNA12/RPS18/CDC42EP1/IL16/IQGAP1/JAK1/MAPK3/RPS14/RPS8/ACTR3/LASP1/PCBP2/IGF2R/RPS7/GJA1/MME/LRP1/RPL7A/RPL4/PI4KA/FAM107A/RPL10A/RPL19/LIMD1/SHROOM4/NHS/TRPV4/MAPRE2/RPS10/HSPA5/CNN1/ARHGAP24/LAYN/ADGRE5/RPS13/RRAS2/RPS3A/ACTN1/PPIB/RPL18/CAP1/RPS29/RPL27/ENG/CD59/TNS3/FLRT1/DLC1/PPP1R12A/SCARB2/ITGA1/PTPRA/PTK2/PLAU/TGFB1I1/SLC9A3R2/ITGB5/RPS11/TNC/MAP2K1/CTTN/ADAM10/RPS9/CPNE3/G3BP1/RAC2/EZR/ADAM17/CD81/HMGA1/PARVB/AIF1L/AHNAK/DCTN4/NPHS1/ARHGEF7/RPL9/AJUBA/KIF23/THY1/TPM4/ARHGAP26/RPL6/DOCK7/ITGBL1/PXN/RAC1/ICAM1/EPB41L5/PDGFRB/DDR2/MISP/NCSTN/NEDD9/CHP1/YWHAG/MARCKS/NPM1/PRAG1/PRUNE1/SORBS2/RPL38/RHOB/PDPK1/VASP/ITGA6/FLOT1/CALR/DPP4/SLC9A1/TLN2/CFL1/RPS5/ACTN4/RDX/ITGB8/HSPA1A/ADGRB1/FZD2/RPS2/PTK2B/FHL2/TADA1/ACTR2/IL1RL1/CNN3/CAT/CTNNB1/ITGA8/FERMT2/ZNF185/PTK7/CDH13/PDCD6IP/SLA/HSPA1B/ZYX/WASF1/ARPC2/ITGA4/SCARF2/ALCAM/P4HB/RHOU/FAT1/PPIA/SNTB1/PPFIA1/FOCAD/DAG1/SLC4A2/TLE2/OPRM1/ITGA3/NOX4/ENAH/KRAS/CSPG4/ACTC1/ITGB2/SYNPO2/ALOX15B",278
"GO:0014069","GO:0014069","postsynaptic density","218/7933","308/15694",2.53521808726471e-13,3.85506175565947e-11,3.09700851818523e-11,"GNG3/GAP43/PAK3/STX1A/DCLK1/PRNP/DNAJC6/ANKS1B/ADD3/GRIP1/TANC1/MAPK8IP2/SRCIN1/KCNH1/CTNND2/MPDZ/ADD2/CDK5R1/DCC/DMTN/RPS19/GRIK2/CACNG4/CAMK2N1/SYT11/ARRB1/RPL23/SORCS2/CHRNA3/NLGN1/MPP2/NEFH/PDLIM5/CPEB3/GRIA2/SYN3/RPL7/PRRT2/RPS27/SHANK3/INSYN1/DGKI/RPS3/NLGN4Y/RPL30/GSG1L/ITPR1/LRRC4/CLSTN3/SIPA1L1/PALM/PLCB4/GPHN/CACNG3/DNM3/GRIA1/CPEB4/BSN/RPLP0/NPTN/SH3GL1/RPL14/SHISA7/RPL12/RPL8/LRRC4C/P2RY1/ATP2B2/PTPRS/NSF/ADGRA1/RAB8A/GRIK5/LRP8/ADAM22/MYD88/PDE4B/RPS18/CNKSR2/MX1/PSD/RPS14/DISC1/PRKCZ/CACNG2/PCBP2/RPS25/RTN4/EPB41/NTRK2/MIB1/CDK5/ABI1/DRD2/HOMER2/RPS13/LRFN5/DNM1/NCS1/CNIH2/LZTS1/LIN7A/DLG5/SLC8A3/CPEB1/ATP1A1/SLC8A2/P2RX6/SYNGAP1/GRIN1/CACNG7/KCND2/MX2/LZTS3/GRIN2A/ADAM10/MAP1B/ARHGAP32/CRTC1/CAMK2A/ADGRL1/NLGN4X/TNIK/SAMD14/LRFN1/SORCS3/LIN7C/LRRTM3/ARC/SEMA4F/ADORA2A/LIN7B/LYN/P2RX4/TMEM108/SLITRK1/SYN1/CHRM1/RPL6/PHB/DLG4/SHANK2/ARHGAP44/ARRB2/EIF3A/FABP5/DYNLL2/CDKL5/RPL38/PLEKHA5/PDPK1/RNF112/STRN/AKAP5/CRYAB/TIAM1/LRP4/DGKZ/DLGAP1/INPP4A/PSD3/DLG1/FYN/ARHGEF9/GRIN3A/KLHL17/ZDHHC15/CLSTN2/PICK1/ADGRB1/PTK2B/CACNG5/PCLO/ACTR2/CLSTN1/PRKCG/DLGAP2/CNN3/EPHA4/DAGLA/ITGA8/TAMALIN/DNAJB1/LRFN4/SLC8A1/NEURL1/IGSF11/LRFN2/SYNJ2BP/SLITRK3/NGFR/GRM1/LRRC7/GRM5/PTCH1/PRRT1/NECTIN3/GRID1/SLC30A1/EFNB3/NOS1/INSYN2A/PHB2/NSMF/SIGMAR1/DVL1/CAMK1/CABP1/NRGN/ADCY1/BCR/LRRTM2/SYN2/ND2/PLPPR4/DRP2/FXR2/KCND1",218
"GO:0032279","GO:0032279","asymmetric synapse","221/7933","313/15694",2.60829618109572e-13,3.85506175565947e-11,3.09700851818523e-11,"GNG3/GAP43/PAK3/STX1A/DCLK1/PRNP/DNAJC6/ANKS1B/ADD3/GRIP1/SLC4A8/TANC1/MAPK8IP2/SRCIN1/KCNH1/CTNND2/MPDZ/ADD2/CDK5R1/DCC/DMTN/RPS19/GRIK2/CACNG4/CAMK2N1/SYT11/ARRB1/RPL23/SORCS2/CHRNA3/NLGN1/MPP2/NEFH/PDLIM5/CPEB3/GRIA2/SYN3/RPL7/PRRT2/RPS27/SHANK3/INSYN1/DGKI/RPS3/NLGN4Y/RPL30/GSG1L/ITPR1/LRRC4/CLSTN3/SIPA1L1/PALM/PLCB4/GPHN/CACNG3/DNM3/GRIA1/CPEB4/BSN/RPLP0/NPTN/SH3GL1/RPL14/SHISA7/RPL12/RPL8/LRRC4C/P2RY1/ATP2B2/PTPRS/NSF/ADGRA1/RAB8A/GRIK5/LRP8/ADAM22/MYD88/PDE4B/RPS18/CNKSR2/MX1/PSD/RPS14/DISC1/PRKCZ/CACNG2/PCBP2/RPS25/RTN4/EPB41/NTRK2/MIB1/CDK5/ABI1/DRD2/HOMER2/RPS13/LRFN5/DNM1/NCS1/CNIH2/LZTS1/LIN7A/DLG5/SLC8A3/CPEB1/ATP1A1/SLC8A2/P2RX6/SYNGAP1/GRIN1/CACNG7/KCND2/MX2/LZTS3/GRIN2A/ADAM10/MAP1B/ARHGAP32/CRTC1/CAMK2A/ADGRL1/NLGN4X/TNIK/SAMD14/LRFN1/SORCS3/LIN7C/LRRTM3/ARC/SEMA4F/ADORA2A/LIN7B/LYN/P2RX4/TMEM108/SLITRK1/SYN1/CHRM1/RPL6/PHB/NLGN3/DLG4/SHANK2/ARHGAP44/ARRB2/EIF3A/FABP5/DYNLL2/CDKL5/RPL38/PLEKHA5/PDPK1/RNF112/STRN/AKAP5/CRYAB/TIAM1/LRP4/DGKZ/DLGAP1/INPP4A/PSD3/DLG1/FYN/ARHGEF9/GRIN3A/KLHL17/ZDHHC15/CLSTN2/PICK1/ADGRB1/PTK2B/CACNG5/PCLO/ACTR2/CLSTN1/PRKCG/DLGAP2/CNN3/EPHA4/DAGLA/ITGA8/TAMALIN/DNAJB1/LRFN4/SLC8A1/NEURL1/IGSF11/LRFN2/SYNJ2BP/SLITRK3/NGFR/GRM1/LRRC7/GRM5/PTCH1/PRRT1/NECTIN3/GRID1/SLC30A1/EFNB3/NOS1/INSYN2A/GRM7/PHB2/NSMF/SIGMAR1/DVL1/CAMK1/CABP1/NRGN/ADCY1/BCR/LRRTM2/SYN2/ND2/PLPPR4/DRP2/FXR2/KCND1",221
"GO:0022626","GO:0022626","cytosolic ribosome","86/7933","102/15694",8.44757856972043e-13,1.04046009383723e-10,8.35865669003916e-11,"APOD/RPS19/RPS27L/RPL23/RPLP2/RPL7/RPS27/RPS12/RPS3/RPL30/RPS20/RPLP1/RPL37/RPS23/RPS6/ISG15/RPS27A/RPL27A/RPL31/RPS17/RPLP0/RPL36A/RPL17/RPL37A/RPS16/RPL14/RPS4X/UBA52/RPS15A/RPL3/RPS15/RPL12/RPL8/RPL22/RPL13A/RPL23A/RPL21/RPL32/RPL5/RPS18/RPL36/RPL11/RPSA/RPS14/RPL34/RPS8/RPL26/RPL10/RPL41/RPS25/RPS21/RPS7/RPL15/RPL18A/RPL7A/RPL4/RPL28/RPL10A/RPL19/RPS10/RPS13/RPS3A/RPL18/RPS29/RPL27/RPL36AL/RPL35A/RPS24/LARP4/RPS11/RPS9/RPL9/RPL29/RPL24/RPL6/RPL39/RPS28/RPL35/EIF2D/MCTS1/RPL38/RPS5/RPS2/RPS26/EIF2A/FXR2",86
"GO:0099572","GO:0099572","postsynaptic specialization","227/7933","326/15694",1.26116148508069e-12,1.33142619639233e-10,1.06961665802333e-10,"GNG3/GAP43/PAK3/STX1A/DCLK1/PRNP/DNAJC6/ANKS1B/ADD3/GRIP1/TANC1/MAPK8IP2/SRCIN1/KCNH1/CTNND2/MPDZ/ADD2/CDK5R1/DCC/DMTN/RPS19/GRIK2/CACNG4/CAMK2N1/SYT11/ARRB1/RPL23/GABRA3/SORCS2/CHRNA3/NLGN1/MPP2/NEFH/PDLIM5/CPEB3/GRIA2/SYN3/RPL7/PRRT2/RPS27/SHANK3/INSYN1/DGKI/RPS3/NLGN4Y/RPL30/GSG1L/ITPR1/LRRC4/CLSTN3/SIPA1L1/PALM/PLCB4/GPHN/CACNG3/DNM3/GRIA1/CPEB4/BSN/RPLP0/NPTN/SH3GL1/RPL14/SHISA7/RPL12/RPL8/LRRC4C/P2RY1/ATP2B2/PTPRS/NSF/ADGRA1/RAB8A/GRIK5/LRP8/ADAM22/MYD88/PDE4B/RPS18/CNKSR2/MX1/PSD/RPS14/DISC1/PRKCZ/CACNG2/PCBP2/RPS25/RTN4/EPB41/SRGN/CDH10/NTRK2/MIB1/CDK5/ABI1/DRD2/HOMER2/RPS13/LRFN5/DNM1/NCS1/CNIH2/LZTS1/LIN7A/DLG5/SLC8A3/CPEB1/ATP1A1/LRRTM1/SLC8A2/P2RX6/SYNGAP1/GRIN1/CACNG7/CHRNA1/KCND2/MX2/LZTS3/GRIN2A/ADAM10/MAP1B/ARHGAP32/CRTC1/CAMK2A/ADGRL1/NLGN4X/TNIK/SAMD14/LRFN1/SORCS3/LIN7C/LRRTM3/ARC/SEMA4F/ADORA2A/LIN7B/LYN/P2RX4/TMEM108/SLITRK1/SYN1/CHRM1/RPL6/PHB/DLG4/SHANK2/ARHGAP44/NLGN2/ARRB2/EIF3A/FABP5/DYNLL2/CDKL5/RPL38/PLEKHA5/PDPK1/RNF112/STRN/AKAP5/CRYAB/TIAM1/LRP4/DGKZ/DLGAP1/INPP4A/PSD3/DLG1/FYN/ARHGEF9/GRIN3A/KLHL17/ZDHHC15/CLSTN2/PICK1/ADGRB1/PTK2B/CACNG5/PCLO/ACTR2/CLSTN1/PRKCG/DLGAP2/CNN3/EPHA4/DAGLA/ITGA8/TAMALIN/DNAJB1/LRFN4/HTR5A/SLC8A1/NEURL1/IGSF11/LRFN2/SYNJ2BP/SLITRK3/NGFR/GRM1/LRRC7/GRM5/PTCH1/PRRT1/NECTIN3/GRID1/CHRNA9/SLC30A1/EFNB3/GABRB2/NOS1/INSYN2A/PHB2/NSMF/SIGMAR1/DVL1/CAMK1/CABP1/NRGN/ADCY1/BCR/LRRTM2/SYN2/ND2/PLPPR4/DRP2/FXR2/KCND1",227
"GO:0005911","GO:0005911","cell-cell junction","297/7933","447/15694",4.10859020952418e-12,3.79531020604796e-10,3.04900641864689e-10,"YBX3/CLDN7/TJP1/JAM3/PCDH9/FZD4/SNAP23/NFASC/AKAP6/PODXL/ANK2/F11R/S100A11/SCN2A/CGNL1/KRT8/VAMP5/RAB13/GJA4/ADD3/KRT18/RASIP1/GRB2/PDLIM1/CORO1A/CTNND2/MPDZ/DDX58/PCDH12/PCDH1/SV2A/SKAP1/EPHA2/ANXA2/EPB41L3/CNN2/TEK/RHOA/EFNB2/FLRT2/LDB3/PDLIM5/B4GALT1/KIRREL2/EPCAM/RAP2B/PLPP3/MYO1E/VCL/LIMS1/LCP2/ESAM/ITGA5/KIT/CTNNA1/CADM3/MARVELD2/MAGI1/PALS1/ANK3/ADAM15/TJP2/CTNNA2/KCNA2/WASF2/CADM1/SHROOM2/PDLIM2/DSP/SH3KBP1/TLN1/CDK4/JCAD/MYH9/MARVELD3/DNMBP/ADGRL3/RAP2C/PECAM1/CLDN10/FRMD4B/CRB1/SDCBP/CDH9/FLRT3/EPB41L4B/OCLN/PARD3B/GJB3/NEXN/NCK1/CEACAM1/CDH12/ANXA1/RAP1B/ATP1B1/CLDN5/CDH5/WDR1/CDC42EP1/PDZD2/IQGAP1/CDH18/SPTBN4/CXADR/PRKCZ/ACTR3/AQP3/TMOD3/ARHGAP17/USP53/GJA1/DSG2/NOTCH1/NIBAN2/CDH10/FGF13/AJAP1/KIRREL1/CDH22/CLIC4/EPPK1/STX3/MAGI3/LIMD1/SHROOM4/PLEKHA7/NHS/TRPV4/APC/ARHGAP24/RAPGEF2/CLMP/BAIAP2L2/ACTN1/MPP7/KCNA5/LIN7A/CD53/DSC2/GJB5/PARD6A/VEZT/ANKRD23/DLG5/FLRT1/PKN2/STXBP6/FHOD1/SIRT2/KAZN/TMEM65/ATP1A1/PKP4/KCNJ2/CCDC85C/GJC3/NPHP1/SHROOM3/PDXP/CDH24/PANX2/ADAM10/ADAM17/FRMD5/PRKCI/AHNAK/GJC2/AMOTL1/TMEM204/NPHS1/LIN7C/MXRA8/HMCN1/CLDN4/AJUBA/LIN7B/GJA5/ABCC2/LYN/IQGAP3/STEAP1/KIRREL3/SAV1/CCND1/PTPRU/CDH7/FRMD4A/GAB1/CDC42EP4/PPP3CA/PXN/PLEKHG5/PPP1CA/SLC2A1/CDH11/EPB41L5/FGFR4/AHI1/WNK3/VSIG10/CGN/STARD10/KLHL24/KCNJ11/PDLIM4/MYADM/AKR1B1/ECT2/STRN/VASP/RPGRIP1L/CLDN12/ITGA6/TIAM1/SAPCD2/PTPRK/PTPRM/SIPA1L3/FLOT1/DLG1/ATP2A2/DPP4/SLC9A1/JAML/FAT2/RDX/OBSL1/VSIG10L2/SCN5A/JAM2/ADGRB1/CLDN6/PRKCG/PRICKLE4/CNN3/GJB4/MYH2/EPHA4/CTNNB1/BAIAP2L1/GJC1/AQP7/FERMT2/CALB2/PTK7/GJD2/CAMSAP3/SLC8A1/CDH3/TNK2/IGSF11/PDCD6IP/TRPC4/CDH8/SCN4B/THEMIS/RND1/ZYX/NGFR/WAS/TBCD/AFDN/CSK/NECTIN3/DES/PARD3/ATP1A2/CNTNAP2/CADM4/CD2AP/FAT1/DSC3/CLDN9/AMOT/HPN/IGSF5/DAG1/FSCN1/PANX1/CDH1/AOC1/COL17A1/PTPN6/CTNNA3/TJP3/CCDC85A/DLL1/NPHP4/CDH6/CLDN15/JAG1/PRKCD/SSX2IP/PKP2/ALOX15B/ZAP70",297
"GO:0098978","GO:0098978","glutamatergic synapse","209/7933","299/15694",5.51727344837971e-12,4.5302945315029e-10,3.63946459051013e-10,"CNR1/SNAP25/NSG1/FZD4/SYT1/PAK3/STX1A/SCN2A/CPLX2/PTPRD/ATP2B3/GRIP1/SLC4A8/GPM6A/PTPRO/CADPS/CAMKV/CORO1A/SV2A/SPARC/GRIK2/CACNG4/RHOA/EFNB2/TSPOAP1/NLGN1/CALB1/PPFIA2/SYN3/ERC2/RNF19A/RPS27/ARHGAP22/HPCA/NUMB/DGKB/GRIK3/SPTBN2/NLGN4Y/GSG1L/EPHB2/NRP2/SLITRK4/LRRC4/ABHD6/CLSTN3/STX4/PLCB4/CACNG3/PLCB1/DNM3/GRIPAP1/ABLIM3/GRIA1/PCDH8/CTTNBP2/ABR/ADGRL3/BSN/NPTXR/NRG3/NPTX2/FLRT3/SEMA3F/NPTN/SH3GL1/BCAN/ATAD1/STXBP1/SPARCL1/SHISA7/RPL22/LRRC4C/MAPK14/P2RY1/NTNG2/ATP2B2/RAB11A/PTPRS/CPT1C/ADGRA1/CPLX1/WNT5A/RAB8A/GRIK5/ADAM22/APBA1/CNKSR2/PPP3CB/PRKCZ/CADPS2/CACNG2/SH3GL2/PORCN/SRGN/PCDH17/CDH10/SLC1A6/STX3/SLC6A17/CDK5/SYT6/DRD2/HOMER2/LRFN5/NCS1/ACTN1/ATP2B1/CNIH2/ATP2B4/PPP2R2A/AKAP9/RNF216/LRRTM1/P2RX6/SYNGAP1/CACNG7/IL1RAP/PRKAR2B/KCND2/PSD2/GRIN2A/ADAM10/CRTC1/NLGN4X/PRKCI/TNIK/SORCS3/LIN7C/LRRTM3/ARC/NPTX1/ADORA2A/ADRA1A/LYN/SLITRK1/CHRM1/PHB/PPP3CA/NLGN3/DLG4/RAC1/PPP1CA/CDH11/OPHN1/NAPA/APOE/RAP1A/ARHGAP44/CSPG5/DYNLL2/CDKL5/PLEKHA5/RELA/TIAM1/DGKZ/GPC6/DLGAP1/FLOT1/USP46/DLG1/FYN/GPC4/CBLN1/GRIN3A/P2RX1/CLSTN2/PTK2B/ADGRL2/CACNG5/PCLO/CLSTN1/DLGAP2/EPHA4/TAMALIN/DNAJB1/LRFN4/ERBIN/CDH8/PPP1R1B/GRM1/CAMK4/CALY/NTNG1/EIF4EBP1/GUCY1A1/PRRT1/ARPC2/KCNA3/PPM1H/GSK3B/GRID1/EFNB3/IL1RAPL2/DAG1/DGKE/PHB2/ADAM23/DVL1/CAMK1/CDH1/NRGN/ADCY1/BCR/LRRTM2/SYN2/PLPPR4/DRP2/NOS1AP",209
"GO:0097060","GO:0097060","synaptic membrane","236/7933","352/15694",1.80684165407573e-10,1.33525598236196e-08,1.07269336094601e-08,"CNR1/P2RX3/SNAP25/NSG1/SYT7/SYT1/SNCAIP/ANK2/STX1A/CNTN1/GRM2/FAIM2/SCN2A/SLC1A2/GRIK1/SNAP91/RIMS3/CHRM3/NRXN1/PTPRD/GRIP1/SLC4A8/GPM6A/UNC13A/GABBR2/CHRNB4/STX1B/KCNH1/CHRNB3/DCC/SYP/GRIK2/CACNG4/SYT11/RIMS4/UTRN/CNTNAP4/APH1A/ARRB1/GRIA4/CHRNB2/GABRA3/EFNB2/SORCS2/CHRNA3/NLGN1/RIMS2/GRIA2/GRIA3/ERC2/CNTN2/PRRT2/GABRB3/GABBR1/DGKB/GRIK3/SHANK3/KCNC1/DGKI/NLGN4Y/GSG1L/EPHB2/ANK3/NRP2/KCNA2/LRRC4/ABHD6/CLSTN3/PALM/STX4/GPHN/CACNG3/DNM3/TRPV1/TENM2/GRIA1/PCDH8/LHFPL4/CDH9/FLRT3/NPTN/CHRNA4/ATAD1/STXBP1/SHISA7/LRRC4C/P2RY1/KCTD16/NTNG2/ATP2B2/GLRA3/DMD/PTPRS/ANXA1/KCNC2/GRIK5/ADAM22/APBA1/CNKSR2/MX1/CHRNA5/CACNG2/GABRE/DAGLB/SYNE1/GABRB1/LRRTM4/PCDH17/PDE2A/CDH10/SLC1A6/STX3/GLRA2/SNPH/RIMS1/SYT6/DRD2/SLC6A3/LRFN5/ANK1/DNM1/ATP2B1/CNIH2/ATP2B4/LZTS1/LIN7A/FCHO2/ITSN2/AKAP9/SHC4/SLC8A3/KCTD12/ZC4H2/LRRTM1/GLRB/P2RX6/GRIN1/CACNG7/PTPRA/CHRNA1/KCND2/MX2/GRIN2A/ADAM10/ADGRL1/NLGN4X/GAD2/LRFN1/SORCS3/LIN7C/LRRTM3/GABRP/ARC/SEMA4F/ADORA2A/CNTN5/ADRA1A/LIN7B/SLITRK1/CHRM1/PHB/NLGN3/DLG4/NIPSNAP1/SHANK2/CSPG5/NCSTN/NLGN2/ARRB2/PDLIM4/SYNJ1/CHRNA6/STRN/CRYAB/TIAM1/KCNB1/LRP4/DLG1/GPC4/CBLN1/GRIN3A/P2RX1/CLSTN2/PICK1/ZDHHC17/ADGRL2/CACNG5/SYAP1/CLSTN1/PRKCG/KCNJ3/EPHA4/DAGLA/MAGEE1/ITGA8/TAMALIN/CALB2/LRFN4/HTR5A/SLC8A1/GABRG2/KCNJ4/LRFN2/CDH8/SYNJ2BP/SLITRK3/GRM1/SSPN/CLTB/NTNG1/GRM5/PRRT1/NECTIN3/KCNA3/GRID1/CHRNA9/SLC30A1/EFNB3/CHRM4/GABRB2/DAG1/GRM7/UNC13B/ADAM23/HTR3B/STXBP5/OPRM1/SIGMAR1/KCNMA1/ITGA3/NRGN/ADCY1/LRRTM2/PLPPR4/KCND1/STX11",236
