"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098984","GO:0098984","neuron to neuron synapse","236/7627","336/15694",3.79202503661713e-16,2.7909304269502e-13,2.18739970533283e-13,"P2RX3/GNG3/SYT7/SYT1/GAP43/PAK3/STX1A/PRNP/DCLK1/ATP1A3/DNAJC6/SLC4A8/SRCIN1/ANKS1B/GRIP1/MPDZ/PTPRD/TANC1/CDK5R1/MAPK8IP2/ADD3/KCNH1/CTNND2/ADD2/DMTN/NEFH/CAMK2N1/GRIK2/ARRB1/SORCS2/CACNG4/PRRT2/SYT11/SYN3/RPS19/NLGN1/RPL23/DCC/CHRNA3/GRIA2/CPEB3/MPP2/NLGN4Y/CALB1/CACNG3/ITPR1/PLCB4/INSYN1/RNF19A/GSG1L/PALM/SHANK3/CPEB4/CLSTN3/RPL30/SYT9/RPL7/LRRC4/ATP2B2/RPS3/RPS27/DGKI/P2RY1/DNM3/PDLIM5/NPTN/GRIK5/RPL14/SHISA7/PTPRS/PRKCZ/PDE4B/BSN/ADGRA1/PCBP2/SIPA1L1/RAB8A/LRRC4C/RPL12/DISC1/PSD/ABI1/EPB41/SH3GL1/RPLP0/GPHN/STRN/SH3GL2/CPEB1/LRP8/CACNG2/RAPGEF4/CNKSR2/RPS14/NSF/ADAM22/RPS18/BACE1/CNIH2/NCS1/NLGN4X/NTRK2/DNM1/RPS13/MYD88/GRIA1/RPL8/GRIN2A/ADAM10/LRFN5/MIB1/CDK5/MAP1B/LRFN1/SHANK2/ARHGAP44/LZTS1/CACNG7/SYT12/HOMER2/DRD2/SLC8A2/ATP1A1/SORCS3/RTN4/MX1/RPS25/CAMK2A/ARRB2/SLC8A3/LRRTM3/LIN7B/ADORA2A/ADGRB1/PHB/SAMD14/GRIN1/PENK/SEMA4F/SYN1/P2RX6/ADGRL1/KCND2/DLG5/LZTS3/CHRM1/SYNGAP1/LIN7A/NLGN3/RPL6/LYN/ARHGEF9/CRTC1/TNIK/P2RX4/GRIN3A/NLGN2/DLG1/RNF112/MX2/FYN/EIF3A/SLITRK3/ITGA8/LIN7C/PLEKHA5/LRFN4/PSD3/TIAM1/KLHL17/PRKCG/SLC30A1/DLG4/RPL38/RGS9/TMEM108/ACTR2/INPP4A/CRYAB/SLC8A1/CDKL5/PDPK1/ARHGAP32/FABP5/DLGAP2/INSYN2A/DGKZ/LRFN2/CAMK1/DAGLA/BCAS1/IGSF11/DYNLL2/NGFR/TAMALIN/PICK1/PCLO/EFNB3/DLGAP1/DVL1/EPHA4/GRM1/ZDHHC15/NEURL1/SYNJ2BP/NECTIN3/BMPR2/CLSTN2/SLITRK1/PTK2B/SIGMAR1/CTNND1/CACNG5/PTCH1/CABP1/MAPK1/CNN3/AKAP5/CLSTN1/ADORA1/BCR/ADCY1/DNAJB1/STXBP5/PLPPR4/GRIN2D/KCND3/ARC/ATP1B2/GRM5/NSMF/SYN2/DLGAP3/KCND1/PRR7/SLC30A3",236
"GO:0022626","GO:0022626","cytosolic ribosome","88/7627","102/15694",1.37331129920498e-15,5.05378558107434e-13,3.96091890507542e-13,"APOD/RPS27L/RPS19/RPL23/RPLP2/RPL30/RPL7/RPS3/RPLP1/RPS27/RPS20/RPS12/RPL37/RPS16/RPL31/RPL14/RPS23/UBA52/RPL27A/RPS27A/RPL17/RPL28/RPS6/RPL37A/RPS4X/RPL32/RPL12/RPL10/RPL15/RPL5/RPL36A/RPLP0/RPL3/RPL36/RPL34/RPS17/RPL26/RPL13A/RPL11/RPL23A/RPL22/RPL4/RPS21/RPS15A/RPL36AL/RPL21/RPS14/RPL18A/RPL10A/RPS18/RPS10/RPL18/RPS7/RPS8/RPSA/RPS13/RPL19/RPL7A/RPL8/RPL35A/RPL41/RPS15/RPS11/RPS3A/ISG15/RPS9/RPL27/RPS25/LARP4/RPL9/RPS24/RPL29/RPS28/EIF2D/RPL6/RPS29/RPL35/RPL24/RPS26/RPL38/RPS5/RPL39/MCTS1/EIF2A/RPL26L1/PPARGC1A/RPS2/RPLP0P6",88
"GO:0014069","GO:0014069","postsynaptic density","217/7627","308/15694",3.4711212748945e-15,8.51581752774116e-13,6.67429634611292e-13,"GNG3/GAP43/PAK3/STX1A/PRNP/DCLK1/DNAJC6/SRCIN1/ANKS1B/GRIP1/MPDZ/TANC1/CDK5R1/MAPK8IP2/ADD3/KCNH1/CTNND2/ADD2/DMTN/NEFH/CAMK2N1/GRIK2/ARRB1/SORCS2/CACNG4/PRRT2/SYT11/SYN3/RPS19/NLGN1/RPL23/DCC/CHRNA3/GRIA2/CPEB3/MPP2/NLGN4Y/CACNG3/ITPR1/PLCB4/INSYN1/GSG1L/PALM/SHANK3/CPEB4/CLSTN3/RPL30/RPL7/LRRC4/ATP2B2/RPS3/RPS27/DGKI/P2RY1/DNM3/PDLIM5/NPTN/GRIK5/RPL14/SHISA7/PTPRS/PRKCZ/PDE4B/BSN/ADGRA1/PCBP2/SIPA1L1/RAB8A/LRRC4C/RPL12/DISC1/PSD/ABI1/EPB41/SH3GL1/RPLP0/GPHN/STRN/CPEB1/LRP8/CACNG2/CNKSR2/RPS14/NSF/ADAM22/RPS18/CNIH2/NCS1/NLGN4X/NTRK2/DNM1/RPS13/MYD88/GRIA1/RPL8/GRIN2A/ADAM10/LRFN5/MIB1/CDK5/MAP1B/LRFN1/SHANK2/ARHGAP44/LZTS1/CACNG7/HOMER2/DRD2/SLC8A2/ATP1A1/SORCS3/RTN4/MX1/RPS25/CAMK2A/ARRB2/SLC8A3/LRRTM3/LIN7B/ADORA2A/ADGRB1/PHB/SAMD14/GRIN1/SEMA4F/SYN1/P2RX6/ADGRL1/KCND2/DLG5/LZTS3/CHRM1/SYNGAP1/LIN7A/RPL6/LYN/ARHGEF9/CRTC1/TNIK/P2RX4/GRIN3A/DLG1/RNF112/MX2/FYN/EIF3A/SLITRK3/ITGA8/LIN7C/PLEKHA5/LRFN4/PSD3/TIAM1/KLHL17/PRKCG/SLC30A1/DLG4/RPL38/RGS9/TMEM108/ACTR2/INPP4A/CRYAB/SLC8A1/CDKL5/PDPK1/ARHGAP32/FABP5/DLGAP2/INSYN2A/DGKZ/LRFN2/CAMK1/DAGLA/BCAS1/IGSF11/DYNLL2/NGFR/TAMALIN/PICK1/PCLO/EFNB3/DLGAP1/DVL1/EPHA4/GRM1/ZDHHC15/NEURL1/SYNJ2BP/NECTIN3/BMPR2/CLSTN2/SLITRK1/PTK2B/SIGMAR1/CTNND1/CACNG5/PTCH1/CABP1/MAPK1/CNN3/AKAP5/CLSTN1/ADORA1/BCR/ADCY1/DNAJB1/PLPPR4/GRIN2D/KCND3/ARC/GRM5/NSMF/SYN2/DLGAP3/KCND1/PRR7",217
"GO:0032279","GO:0032279","asymmetric synapse","219/7627","313/15694",8.6258143856531e-15,1.58714984696017e-12,1.24393323245734e-12,"GNG3/GAP43/PAK3/STX1A/PRNP/DCLK1/DNAJC6/SLC4A8/SRCIN1/ANKS1B/GRIP1/MPDZ/TANC1/CDK5R1/MAPK8IP2/ADD3/KCNH1/CTNND2/ADD2/DMTN/NEFH/CAMK2N1/GRIK2/ARRB1/SORCS2/CACNG4/PRRT2/SYT11/SYN3/RPS19/NLGN1/RPL23/DCC/CHRNA3/GRIA2/CPEB3/MPP2/NLGN4Y/CACNG3/ITPR1/PLCB4/INSYN1/GSG1L/PALM/SHANK3/CPEB4/CLSTN3/RPL30/RPL7/LRRC4/ATP2B2/RPS3/RPS27/DGKI/P2RY1/DNM3/PDLIM5/NPTN/GRIK5/RPL14/SHISA7/PTPRS/PRKCZ/PDE4B/BSN/ADGRA1/PCBP2/SIPA1L1/RAB8A/LRRC4C/RPL12/DISC1/PSD/ABI1/EPB41/SH3GL1/RPLP0/GPHN/STRN/CPEB1/LRP8/CACNG2/CNKSR2/RPS14/NSF/ADAM22/RPS18/CNIH2/NCS1/NLGN4X/NTRK2/DNM1/RPS13/MYD88/GRIA1/RPL8/GRIN2A/ADAM10/LRFN5/MIB1/CDK5/MAP1B/LRFN1/SHANK2/ARHGAP44/LZTS1/CACNG7/HOMER2/DRD2/SLC8A2/ATP1A1/SORCS3/RTN4/MX1/RPS25/CAMK2A/ARRB2/SLC8A3/LRRTM3/LIN7B/ADORA2A/ADGRB1/PHB/SAMD14/GRIN1/SEMA4F/SYN1/P2RX6/ADGRL1/KCND2/DLG5/LZTS3/CHRM1/SYNGAP1/LIN7A/NLGN3/RPL6/LYN/ARHGEF9/CRTC1/TNIK/P2RX4/GRIN3A/DLG1/RNF112/MX2/FYN/EIF3A/SLITRK3/ITGA8/LIN7C/PLEKHA5/LRFN4/PSD3/TIAM1/KLHL17/PRKCG/SLC30A1/DLG4/RPL38/RGS9/TMEM108/ACTR2/INPP4A/CRYAB/SLC8A1/CDKL5/PDPK1/ARHGAP32/FABP5/DLGAP2/INSYN2A/DGKZ/LRFN2/CAMK1/DAGLA/BCAS1/IGSF11/DYNLL2/NGFR/TAMALIN/PICK1/PCLO/EFNB3/DLGAP1/DVL1/EPHA4/GRM1/ZDHHC15/NEURL1/SYNJ2BP/NECTIN3/BMPR2/CLSTN2/SLITRK1/PTK2B/SIGMAR1/CTNND1/CACNG5/PTCH1/CABP1/MAPK1/CNN3/AKAP5/CLSTN1/ADORA1/BCR/ADCY1/DNAJB1/PLPPR4/GRIN2D/KCND3/ARC/GRM5/NSMF/SYN2/DLGAP3/KCND1/PRR7",219
"GO:0099572","GO:0099572","postsynaptic specialization","226/7627","326/15694",1.60871365384454e-14,2.36802649845916e-12,1.85594754169854e-12,"GNG3/GAP43/PAK3/STX1A/PRNP/DCLK1/DNAJC6/SRCIN1/ANKS1B/GRIP1/MPDZ/TANC1/CDK5R1/MAPK8IP2/ADD3/KCNH1/CTNND2/ADD2/DMTN/GABRA3/NEFH/CAMK2N1/GRIK2/ARRB1/SORCS2/CACNG4/PRRT2/SYT11/SYN3/RPS19/NLGN1/RPL23/DCC/CHRNA3/GRIA2/CPEB3/MPP2/NLGN4Y/CACNG3/ITPR1/PLCB4/INSYN1/GSG1L/PALM/SHANK3/CPEB4/CLSTN3/RPL30/RPL7/LRRC4/ATP2B2/RPS3/RPS27/DGKI/P2RY1/DNM3/PDLIM5/NPTN/GRIK5/RPL14/SHISA7/PTPRS/PRKCZ/PDE4B/BSN/ADGRA1/PCBP2/SIPA1L1/RAB8A/CDH10/LRRC4C/RPL12/DISC1/PSD/ABI1/EPB41/SRGN/SH3GL1/RPLP0/GPHN/STRN/CPEB1/LRP8/CACNG2/CNKSR2/RPS14/NSF/LRRTM1/ADAM22/RPS18/CNIH2/NCS1/NLGN4X/NTRK2/DNM1/RPS13/MYD88/GRIA1/RPL8/GRIN2A/CHRNA1/ADAM10/LRFN5/MIB1/CDK5/MAP1B/LRFN1/SHANK2/ARHGAP44/LZTS1/CACNG7/HOMER2/DRD2/SLC8A2/ATP1A1/SORCS3/RTN4/MX1/RPS25/CAMK2A/ARRB2/SLC8A3/LRRTM3/LIN7B/ADORA2A/ADGRB1/PHB/SAMD14/GRIN1/SEMA4F/SYN1/P2RX6/ADGRL1/KCND2/DLG5/LZTS3/CHRM1/SYNGAP1/LIN7A/RPL6/LYN/ARHGEF9/CRTC1/TNIK/P2RX4/GRIN3A/NLGN2/DLG1/RNF112/MX2/FYN/EIF3A/SLITRK3/ITGA8/LIN7C/PLEKHA5/LRFN4/PSD3/TIAM1/KLHL17/PRKCG/SLC30A1/DLG4/RPL38/RGS9/TMEM108/ACTR2/HTR5A/INPP4A/CRYAB/SLC8A1/CDKL5/PDPK1/ARHGAP32/FABP5/DLGAP2/INSYN2A/DGKZ/LRFN2/CAMK1/DAGLA/BCAS1/IGSF11/DYNLL2/NGFR/TAMALIN/PICK1/PCLO/EFNB3/DLGAP1/DVL1/EPHA4/GRM1/ZDHHC15/NEURL1/SYNJ2BP/NECTIN3/BMPR2/CLSTN2/SLITRK1/PTK2B/SIGMAR1/CHRNB1/CTNND1/CACNG5/PTCH1/CABP1/MAPK1/CNN3/AKAP5/CLSTN1/ADORA1/BCR/ADCY1/DNAJB1/PLPPR4/GRIN2D/KCND3/RAPSN/ARC/GRM5/NSMF/SYN2/DLGAP3/KCND1/PRR7",226
"GO:0030055","GO:0030055","cell-substrate junction","275/7627","411/15694",2.46167721894563e-14,3.0196573885733e-12,2.36666511575825e-12,"NRP1/THSD1/CLASP2/FLT1/TGM2/CD9/PROCR/LAP3/RHOG/TEK/NFASC/B2M/SNAP23/L1CAM/ANXA5/DAB2/PPFIBP1/RSU1/RND3/XIRP2/TNS2/CAV1/CAPN2/CD44/FLNB/ANXA6/VIM/PDLIM1/FBLIM1/IRF2/DIXDC1/HSPG2/EFNB2/LCP1/PEAK1/FLRT2/TSPAN9/CAV2/LIMS1/MSN/ILK/FHL3/FES/RPS19/ARHGAP31/CD99/MMP14/RPL23/ARHGAP22/AFAP1/PABPC1/EPHA2/TLN1/RHOA/CNN2/HSPB1/YES1/DST/ITGA5/STARD8/RPLP2/NUMB/VCL/AKAP12/CTNNA1/CSRP1/RPL30/ITGB1/SH3KBP1/RPL7/GSN/FLRT3/ITGAV/RPS3/FHL1/GNA12/HSP90B1/RPLP1/SDCBP/SDC4/MYH9/RPS16/EVL/RPL31/LPP/CDC42EP1/ANXA1/JAK1/MCAM/TRIP6/RALA/EPB41L2/REXO2/PARVA/ENG/RPL37A/EPPK1/BCAR3/ACTR3/PCBP2/CORO1C/RPS4X/PPIB/TSPAN4/USP33/RPL12/DLC1/RPL5/PHLDB2/SHROOM4/ARPC1B/RPLP0/RPL3/LAYN/PLAU/LIMA1/RPS17/IGF2R/RPL13A/PLAUR/CAP1/RPL22/RRAS2/RPL4/LRP1/NHS/ITGA1/CD59/IQGAP1/LASP1/TGFB1I1/ICAM1/RPS14/IL16/RPL10A/RPS18/RPS10/RPL18/RPS7/RPS8/CNN1/RPS13/RPL19/RPL7A/RPL8/PPP1R12A/RRAS/ADAM10/CYFIP1/NEXN/HSPA5/CD81/ADGRE5/RPS15/FLRT1/RPS11/ITGA6/AHNAK/MAPRE2/SCARB2/CTTN/ARHGEF7/PARVB/RPS3A/ARHGAP26/RAC1/RPS9/SLC9A3R2/SORBS3/RPL27/MAPK3/MAP2K1/G3BP1/LIMD1/FAM107A/NEDD9/RPL9/MARCKS/ADGRB1/MISP/ITGA2/SLA/COL17A1/TNS3/PTK2/ARHGAP24/CSRP2/ACTN1/TRPV4/PI4KA/RPL6/DMD/RPS29/CPNE3/PXN/IL1RL1/CFL1/GJA1/THY1/NCSTN/NPHS1/ERBIN/SORBS2/TLN2/HSPA1A/ITGA8/CHP1/DDR2/ITGB2/EZR/RHOB/ITGA2B/SLC9A1/FLOT1/DPP4/TPM4/PRAG1/MME/HSPA1B/RPL38/RHOU/ACTR2/ACTN4/RAC2/RPS5/CTNNB1/PDPK1/ITGBL1/ADAM17/YWHAG/PRUNE1/NPM1/TLE2/VASP/TNC/CALR/TADA1/DOCK7/RDX/CAT/DCTN4/WASF1/ITGA4/LMLN/SNTB1/PTK2B/PDGFRB/EPB41L5/CDH13/PPIA/ZYX/ALCAM/ITGB8/LMO7/PIP5K1A/MAP4K4/MAPK1/CNN3/KRAS/HMGA1/PDCD6IP/PTK7/ZNF185/ARPC2/CSPG4/CLASP1/AJUBA/RPS2/FHL2/P4HB/ENAH/FERMT3/FERMT2/YWHAQ/TNS1",275
"GO:0005925","GO:0005925","focal adhesion","270/7627","405/15694",8.24195971522043e-14,8.66583192914606e-12,6.79187056231699e-12,"NRP1/THSD1/CLASP2/FLT1/TGM2/CD9/PROCR/LAP3/RHOG/TEK/NFASC/B2M/SNAP23/L1CAM/ANXA5/DAB2/PPFIBP1/RSU1/RND3/XIRP2/TNS2/CAV1/CAPN2/CD44/FLNB/ANXA6/VIM/PDLIM1/FBLIM1/IRF2/DIXDC1/HSPG2/EFNB2/LCP1/PEAK1/FLRT2/TSPAN9/CAV2/LIMS1/MSN/ILK/FHL3/FES/RPS19/ARHGAP31/CD99/MMP14/RPL23/ARHGAP22/AFAP1/PABPC1/EPHA2/TLN1/RHOA/CNN2/HSPB1/YES1/DST/ITGA5/STARD8/RPLP2/NUMB/VCL/AKAP12/CTNNA1/CSRP1/RPL30/ITGB1/SH3KBP1/RPL7/GSN/FLRT3/ITGAV/RPS3/FHL1/GNA12/HSP90B1/RPLP1/SDCBP/SDC4/MYH9/RPS16/EVL/RPL31/LPP/CDC42EP1/ANXA1/JAK1/MCAM/TRIP6/RALA/EPB41L2/REXO2/PARVA/ENG/RPL37A/BCAR3/ACTR3/PCBP2/CORO1C/RPS4X/PPIB/TSPAN4/USP33/RPL12/DLC1/RPL5/PHLDB2/SHROOM4/ARPC1B/RPLP0/RPL3/LAYN/PLAU/LIMA1/RPS17/IGF2R/RPL13A/PLAUR/CAP1/RPL22/RRAS2/RPL4/LRP1/NHS/ITGA1/CD59/IQGAP1/LASP1/TGFB1I1/ICAM1/RPS14/IL16/RPL10A/RPS18/RPS10/RPL18/RPS7/RPS8/CNN1/RPS13/RPL19/RPL7A/RPL8/PPP1R12A/RRAS/ADAM10/CYFIP1/NEXN/HSPA5/CD81/ADGRE5/RPS15/FLRT1/RPS11/ITGA6/AHNAK/MAPRE2/SCARB2/CTTN/ARHGEF7/PARVB/RPS3A/ARHGAP26/RAC1/RPS9/SLC9A3R2/SORBS3/RPL27/MAPK3/MAP2K1/G3BP1/LIMD1/FAM107A/NEDD9/RPL9/MARCKS/ADGRB1/MISP/ITGA2/SLA/TNS3/PTK2/ARHGAP24/CSRP2/ACTN1/TRPV4/PI4KA/RPL6/RPS29/CPNE3/PXN/IL1RL1/CFL1/GJA1/THY1/NCSTN/NPHS1/SORBS2/TLN2/HSPA1A/ITGA8/CHP1/DDR2/ITGB2/EZR/RHOB/ITGA2B/SLC9A1/FLOT1/DPP4/TPM4/PRAG1/MME/HSPA1B/RPL38/RHOU/ACTR2/ACTN4/RAC2/RPS5/CTNNB1/PDPK1/ITGBL1/ADAM17/YWHAG/PRUNE1/NPM1/TLE2/VASP/TNC/CALR/TADA1/DOCK7/RDX/CAT/DCTN4/WASF1/ITGA4/LMLN/SNTB1/PTK2B/PDGFRB/EPB41L5/CDH13/PPIA/ZYX/ALCAM/ITGB8/LMO7/PIP5K1A/MAP4K4/MAPK1/CNN3/KRAS/HMGA1/PDCD6IP/PTK7/ZNF185/ARPC2/CSPG4/CLASP1/AJUBA/RPS2/FHL2/P4HB/ENAH/FERMT2/YWHAQ/TNS1",270
"GO:0098978","GO:0098978","glutamatergic synapse","206/7627","299/15694",6.16604670545932e-13,5.67276296902257e-11,4.44604420341014e-11,"CNR1/SNAP25/NSG1/SYT1/FZD4/PAK3/STX1A/SCN2A/CPLX2/SLC4A8/CAMKV/ATP2B3/GRIP1/GPM6A/PTPRD/PTPRO/CADPS/SV2A/CORO1A/EFNB2/NRP2/GRIK2/TSPOAP1/CACNG4/SPARC/SYN3/ERC2/NLGN1/HPCA/SPARCL1/ARHGAP22/PPFIA2/NLGN4Y/CALB1/CACNG3/PLCB4/RHOA/STX4/GRIK3/RNF19A/DGKB/NUMB/ABHD6/GSG1L/EPHB2/CTTNBP2/ABR/SPTBN2/CLSTN3/LRRC4/FLRT3/ATP2B2/RPS27/ABLIM3/PCDH8/BCAN/P2RY1/MAPK14/DNM3/SLITRK4/NTNG2/NRG3/RAB11A/NPTN/GRIK5/WNT5A/CPLX1/SHISA7/PTPRS/PRKCZ/STXBP1/NPTXR/PLCB1/BSN/CPT1C/SEMA3F/ADGRA1/RAB8A/GRIPAP1/IL1RAP/NPTX2/CDH10/LRRC4C/PCDH17/SRGN/PORCN/SH3GL1/ATAD1/SH3GL2/SYT6/ADGRL3/CACNG2/RPL22/SLC1A6/APBA1/CNKSR2/CADPS2/LRRTM1/ATP2B1/ADAM22/CNIH2/NCS1/PPP3CB/NLGN4X/PPP2R2A/ATP2B4/GRIA1/AKAP9/GRIN2A/ADAM10/LRFN5/CDK5/ARHGAP44/RNF216/CACNG7/RAC1/PSD2/HOMER2/DRD2/SORCS3/STX3/NPTX1/LRRTM3/ADORA2A/PPP3CA/PHB/P2RX6/KCND2/ACTN1/CHRM1/SYNGAP1/NLGN3/LYN/RAP1A/CRTC1/PPP1CA/PRKAR2B/TNIK/GRIN3A/DLG1/ERBIN/FYN/PRKCI/GUCY1A1/LIN7C/PLEKHA5/LRFN4/SLC6A17/FLOT1/NTNG1/CSPG5/TIAM1/USP46/DLG4/RGS9/CDKL5/OPHN1/DLGAP2/PPM1H/DGKZ/CAMK1/DYNLL2/TAMALIN/PCLO/EFNB3/IL1RAPL2/DLGAP1/ARF4/EPS15/DVL1/EPHA4/GRM1/P2RX1/CALY/CAMK4/ADRA1A/PPP1R1B/CDH11/RELA/KCNA3/CLSTN2/SLITRK1/PTK2B/LRRK2/HIP1/CTNND1/CACNG5/APOE/GPC6/DGKE/CLSTN1/GPC4/BCR/ADCY1/DNAJB1/ARPC2/PLPPR4/CBLN1/ARC/EIF4EBP1/TNR/SYN2/ARHGAP39/DLGAP3/PRR7/SLC30A3",206
"GO:0043025","GO:0043025","neuronal cell body","290/7627","447/15694",1.50503341535721e-12,1.23078288189212e-10,9.64629604228947e-11,"NRP1/P2RX3/KIF5A/SNCAIP/MAPT/TNFRSF1B/STMN2/RUFY3/SNCG/GAP43/KIF5C/GDI1/ENO2/RET/SYT4/L1CAM/CIB1/ATP1A3/ELAVL4/CPLX2/PTPRN/MAP1A/SLC4A8/NRXN1/NTRK1/RTN4RL1/CAPN2/GRIP1/FLNB/GPM6A/KCNE3/APOD/TANC1/CDK5R1/MAPK8IP2/KCNH1/CTNND2/CD40/RGS8/MPL/SV2A/NQO1/CRMP1/CAMK2N1/SST/GRIK2/SORCS2/KCNB2/ITPR3/RGS10/SYT11/SERPINI1/UNC5A/ACSL4/ADA/HPCA/CHRNA3/TUBB4A/ANXA3/GRIA2/DNER/GRIA4/CALB1/TGFB2/TTBK1/SLC25A27/GRIK3/PMM1/KCNC1/KCNA2/EPHA5/EPHB2/AKAP12/CD200/SPTBN2/RIC3/SLC4A10/DPYSL5/SPTBN4/KIF1A/GRIK5/PTBP2/SLC2A3/CPLX1/PALS1/PCSK2/TTLL7/HDAC6/CHRNA4/KCNC4/IL6ST/PTPRS/PRKCZ/SLC24A1/TGFB3/RACK1/MAP2/CKB/GLRA3/RAB8A/PMM2/SNCA/SYT5/KCNC2/CNGA3/SLC6A3/RAPGEF2/APOB/STRN/SH3GL2/ANG/LRP8/INSR/ASTN2/LRP1/ZNF804A/ITGA1/DCTN1/CNKSR2/STAR/PRPH/SLC38A2/ATP2B1/NRSN2/CCK/PYCARD/HDAC1/BACE1/BRINP1/EEF1A2/KNDC1/AZIN2/NRSN1/TIMP2/SNPH/GRIA1/ADAM10/INPP5F/WDFY3/CYFIP1/VIP/FLRT1/CDK5/MAP1B/SHANK2/TMPRSS3/CACNG7/OLFM1/ARHGEF7/PSD2/HOMER2/DRD2/SLC8A2/KCNJ2/RTN4/GJC2/ELOVL5/NCDN/G3BP1/SLC8A3/MAGOHB/SLC1A3/LPAR1/HCN3/AMIGO1/SKOR1/ADORA2A/KCNJ11/SLC38A1/PENK/ASIC2/SEMA4F/P2RX6/KCND2/RTN4RL2/FZD3/TIAM2/KCNN1/KCNAB1/PLK3/LAMP1/DDC/CRTC1/PPP1CA/PRKAR2B/P2RX4/GRIN3A/RNF112/THY1/RBM8A/ASS1/CACNA1A/RIN3/TRAK2/BRINP2/SNCB/KLHL1/DHX36/CX3CR1/ITGA8/C9orf72/SMURF1/FBXO31/EFNA2/ATP13A2/PRKAA1/GRK4/TIAM1/KLHL24/KLHL17/SIRT2/MME/HTR5A/CRYAB/KCNB1/SLC8A1/SLC31A1/PDE1B/PDPK1/CRHBP/PRKAA2/KREMEN1/HPN/PDE9A/LRIT3/TNN/TMEM50A/SERPINF1/NGFR/HSP90AA1/ZNF385A/SRD5A1/MAP2K4/ENDOG/NPPA/USH2A/DVL1/EPHA4/TXN2/SEZ6/ITGA4/NEURL1/PSEN1/PPP1R1B/BMPR2/FBXW11/DSCAM/PTK2B/LRRK2/APOE/RAB5A/NGB/ALCAM/PLXDC1/PARD3/MAPK1/CNN3/TMEM100/ROR2/C4A/CPNE6/HSP90AB1/PNOC/PGRMC1/ADORA1/CNNM4/ROGDI/CNTNAP2/BRINP3/DNAJB1/PPARGC1A/EFHC1/KCND3/ARC/YKT6/KCNN3/NSMF/CX3CL1/FEZ1/SLC5A7/AURKA/SCN1B/KCND1/PDE1A/ERMN/RAB17/PVALB/NDEL1/WHRN/FZD5",290
"GO:0097060","GO:0097060","synaptic membrane","232/7627","352/15694",2.66869236993057e-11,1.9641575842689e-09,1.53941412497048e-09,"P2RX3/CNR1/SNAP25/SNCAIP/NSG1/SYT7/SYT1/ANK2/GRM2/STX1A/FAIM2/CNTN1/SCN2A/RIMS3/CHRM3/GRIK1/SNAP91/SLC1A2/SLC4A8/NRXN1/GRIP1/GPM6A/PTPRD/UNC13A/CHRNB4/GABBR2/KCNH1/CHRNB3/SYP/GABRA3/EFNB2/NRP2/STX1B/GRIK2/RIMS4/ARRB1/CNTNAP4/SORCS2/CACNG4/PRRT2/SYT11/ERC2/APH1A/NLGN1/DCC/CHRNB2/CHRNA3/RIMS2/GRIA2/GRIA4/NLGN4Y/CNTN2/CACNG3/GRIA3/STX4/GRIK3/GABBR1/KCNC1/DGKB/ABHD6/GSG1L/KCNA2/LHFPL4/EPHB2/PALM/SHANK3/CLSTN3/ANK3/TENM2/LRRC4/GABRB3/FLRT3/ATP2B2/GABRE/PCDH8/TRPV1/DGKI/P2RY1/DNM3/NTNG2/NPTN/GRIK5/ANXA1/CHRNA4/SHISA7/UTRN/PTPRS/STXBP1/GABRB1/CDH9/GLRA2/GLRA3/CDH10/LRRC4C/PCDH17/KCTD16/KCNC2/LRRTM4/SLC6A3/CHRNA5/GPHN/STRN/ATAD1/SYT6/PDE2A/KCTD12/CACNG2/SYNE1/SLC1A6/APBA1/CNKSR2/LRRTM1/ATP2B1/ADAM22/CNIH2/FCHO2/NLGN4X/DNM1/ATP2B4/SNPH/GRIA1/AKAP9/GAD2/ANK1/DAGLB/GRIN2A/CHRNA1/ADAM10/GLRB/LRFN5/LRFN1/SHANK2/LZTS1/CACNG7/ZC4H2/DRD2/SORCS3/MX1/STX3/ITSN2/ARRB2/SLC8A3/PDLIM4/RIMS1/LRRTM3/LIN7B/ADORA2A/PHB/GRIN1/NIPSNAP1/SEMA4F/P2RX6/ADGRL1/KCND2/GABRP/CHRM1/LIN7A/NLGN3/DMD/GRIN3A/NLGN2/DLG1/CNTN5/NCSTN/MX2/SHC4/SLITRK3/KCNJ4/ITGA8/LIN7C/LRFN4/NTNG1/CSPG5/TIAM1/PRKCG/SLC30A1/DLG4/RGS9/GABRG2/HTR5A/CRYAB/MAGEE1/KCNB1/SLC8A1/LRFN2/ZDHHC17/DAGLA/TAMALIN/PICK1/CHRNA6/EFNB3/SSPN/EPHA4/GRM1/P2RX1/CLTB/SYNJ2BP/ADRA1A/PSEN1/NECTIN3/KCNA3/CLSTN2/SLITRK1/SYNJ1/SIGMAR1/CHRNB1/ERC1/HIP1/CACNG5/CALB2/SRPX2/CLSTN1/ADORA1/GPC4/ADCY1/STXBP5/PLPPR4/GRIN2D/KCND3/CBLN1/GABRG3/UNC13B/RAPSN/ARC/GRM5/CHRM5/GABRA1/KCNJ3/KCND1/PRR7/UNC13C/CHRNA2",232
