"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072686","GO:0072686","mitotic spindle","13/220","152/15694",2.23118699408776e-07,6.29194732332748e-05,5.58971057466197e-05,"HAUS4/KIF11/ESPL1/PLK1/TPX2/AURKB/CDK1/NUSAP1/CAPG/CKAP2L/TACC3/KIF23/KIFC1",13
"GO:0005819","GO:0005819","spindle","19/220","374/15694",1.39299680892977e-06,0.000196412550059098,0.000174491179223835,"HAUS4/KIF2C/KIF14/KIF11/ESPL1/KIF20A/PLK1/CDC20/TPX2/AURKB/CDK1/NUSAP1/CAPG/DLGAP5/CKAP2L/TACC3/BIRC5/KIF23/KIFC1",19
"GO:0005871","GO:0005871","kinesin complex","6/220","47/15694",4.70990367354999e-05,0.00442730945313699,0.00393318271685929,"KIF2C/KIF14/KIF11/KIF20A/KIF23/KIFC1",6
"GO:0045121","GO:0045121","membrane raft","14/220","299/15694",8.54225923297352e-05,0.00481783420739706,0.00428012146831094,"PLVAP/PECAM1/TEK/TFPI/CAVIN2/KDR/HAS2/UNC5B/SELE/LRP4/SDC4/SCN5A/PLPP3/BST2",14
"GO:0098857","GO:0098857","membrane microdomain","14/220","299/15694",8.54225923297352e-05,0.00481783420739706,0.00428012146831094,"PLVAP/PECAM1/TEK/TFPI/CAVIN2/KDR/HAS2/UNC5B/SELE/LRP4/SDC4/SCN5A/PLPP3/BST2",14
"GO:0005875","GO:0005875","microtubule associated complex","9/220","153/15694",0.000309089082067294,0.0145271868571628,0.0129058248301783,"HAUS4/KIF2C/KIF14/KIF11/KIF20A/AURKB/BIRC5/KIF23/KIFC1",9
"GO:0005876","GO:0005876","spindle microtubule","6/220","69/15694",0.000407076850137556,0.0147079846923623,0.0130664440342748,"HAUS4/KIF11/PLK1/AURKB/CDK1/BIRC5",6
"GO:0000775","GO:0000775","chromosome, centromeric region","10/220","194/15694",0.000417247792691129,0.0147079846923623,0.0130664440342748,"KIF2C/PLK1/CDCA5/TOP2A/AURKB/HJURP/ESCO2/ERCC6L/BIRC5/CENPM",10
"GO:0005581","GO:0005581","collagen trimer","6/220","72/15694",0.000512404074317976,0.0153734706891101,0.0136576559313483,"FCN3/COL2A1/COL4A5/COL4A6/SCARA3/COL21A1",6
"GO:0044853","GO:0044853","plasma membrane raft","7/220","101/15694",0.000545158535074826,0.0153734706891101,0.0136576559313483,"PLVAP/TFPI/CAVIN2/HAS2/SELE/LRP4/SCN5A",7
"GO:0043235","GO:0043235","receptor complex","14/220","372/15694",0.000788848025030241,0.0202231948235025,0.0179661081298753,"TEK/PTPRB/KDR/CR1L/TIE1/FLT1/CSF2RB/NRP1/VDR/ITGB5/PLP1/IL2RB/ACVRL1/AMHR2",14
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","7/220","115/15694",0.00117789975155683,0.0276806441615856,0.0245912404272391,"KIF2C/PLK1/AURKB/HJURP/ERCC6L/BIRC5/CENPM",7
"GO:0005911","GO:0005911","cell-cell junction","15/220","447/15694",0.00163385175374733,0.0351701166917769,0.0312448218463714,"PECAM1/TEK/VAMP5/GJA4/ESAM/CDH5/KRT8/FZD5/S100A11/PLEKHA7/DSP/MYH2/SCN5A/CLDN10/PLPP3",15
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","13/220","360/15694",0.00174603416200311,0.0351701166917769,0.0312448218463714,"BGN/FCN3/TGM2/LGALS3/MFGE8/ZP2/HAPLN1/COL2A1/COL4A5/PRELP/COL4A6/SCARA3/COL21A1",13
"GO:0000922","GO:0000922","spindle pole","8/220","162/15694",0.00204845903314612,0.038511029823147,0.0342128596413176,"KIF11/PLK1/CDC20/TPX2/AURKB/DLGAP5/CKAP2L/TACC3",8
"GO:0000793","GO:0000793","condensed chromosome","9/220","204/15694",0.00237308089409298,0.0414597420869296,0.0368324696404973,"KIF2C/PLK1/RAD51/TOP2A/AURKB/HJURP/ERCC6L/BIRC5/CENPM",9
"GO:0098644","GO:0098644","complex of collagen trimers","3/220","20/15694",0.00259740103862346,0.0414597420869296,0.0368324696404973,"COL2A1/COL4A5/COL4A6",3
"GO:0098687","GO:0098687","chromosomal region","12/220","333/15694",0.00264636651618699,0.0414597420869296,0.0368324696404973,"KIF2C/PLK1/RAD51/CDCA5/TOP2A/AURKB/CDK1/HJURP/ESCO2/ERCC6L/BIRC5/CENPM",12
"GO:0000776","GO:0000776","kinetochore","7/220","135/15694",0.00294387763344929,0.0436933417175105,0.0388167798759518,"KIF2C/PLK1/AURKB/HJURP/ERCC6L/BIRC5/CENPM",7
"GO:0034451","GO:0034451","centriolar satellite","6/220","103/15694",0.00327768731348034,0.0461750616846345,0.0410215180326354,"TEK/PLK1/DYSF/PIK3R5/DLGAP5/TACC3",6
"GO:0000777","GO:0000777","condensed chromosome kinetochore","6/220","104/15694",0.00343856842332385,0.0461750616846345,0.0410215180326354,"KIF2C/PLK1/HJURP/ERCC6L/BIRC5/CENPM",6
