"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","GO:0003779","actin binding","240/7202","406/15349",3.94438414415704e-07,0.000447687600361824,0.000401911984373054,"LIMCH1/MAPT/ANXA6/MSN/XIRP2/FLNB/ADD3/TPM2/PDLIM1/DMTN/GMFG/IMPACT/CALD1/MAP1A/FMNL3/GBP1/AFAP1/PDLIM5/DIAPH2/ABL2/CORO1A/CAPG/KLHL3/FXYD5/UTRN/GSN/CNN2/FGD4/TPM3/SMTN/SHANK3/VCL/CDK5R1/HCLS1/FHL3/ADD2/NCALD/MYO1E/TNNT2/MYO5A/PHACTR2/SHROOM2/EVL/LCP1/PPP1R18/PLS3/NEXN/WASF2/TLN1/RCSD1/EPB41L3/VASH2/DST/ITGB1/MYH9/IQGAP2/EPB41L2/ARPC1B/MICAL1/DMD/PDLIM2/KLHL5/S100A4/CTNNA1/MYO5C/EPS8L1/NOS3/CTNNA2/PHACTR3/AIF1/ABLIM1/PARVA/SYNE1/MYH15/MYL4/DIAPH3/MYO1C/WDR1/CYFIP1/TRPV4/TMSB15B/AIF1L/MICAL2/ABLIM3/ABLIM2/HDAC6/CCDC88A/CORO1C/PAWR/LIMA1/SNCA/CAMK2B/FAM107A/CEACAM1/IQGAP1/HOMER2/SHROOM4/SPTBN2/VILL/CAPZB/DIXDC1/ACTR3C/WIPF1/INPPL1/ACTN1/MYH6/CTNNAL1/LASP1/ABITRAM/DAAM2/FHOD1/SPTBN4/SPTBN1/CNN1/TMOD3/ACTR3/MYO10/MYLK/MYRIP/SNTG1/CORO6/SHROOM3/FMNL1/IQGAP3/EPB41/TPM4/MYOZ3/INF2/PTK2/GAS2L1/TNNC1/CACNB2/AJUBA/TAGLN/TPM1/PARVB/MYO7A/CTTN/CGN/MICAL3/SPTA1/LDB3/MAP1B/ANG/EZR/CDK5R2/TLN2/ANLN/VASP/FERMT2/HPCA/SAMD14/COBLL1/MYO1H/VPS16/SNTB1/CORO2A/TMSB15B/GCSAM/CAP1/ACTN4/CAMSAP3/MYOZ2/SYN1/DIAPH1/GAS2L3/WIPF3/PFN2/KIF18A/MYH10/TTN/KLHL1/MYO3A/MYH11/SPIRE2/MYO3B/MYOM1/OPHN1/MYH7/MYH2/EPB41L1/USH1C/CNN3/WIPF2/HOOK1/PSTPIP2/JMY/WHAMM/FKBP15/MARCKS/MTSS1/TNNI3/RDX/ITPRID2/MACO1/CAP2/BAIAP2L1/TMOD2/P4HB/EEF2/MYO18A/TWF2/GAS2L2/GAS2/MYO16/PRICKLE4/ESPN/IPP/ARPC2/MYO15A/MED28/TRPC5/MYPN/KCNMA1/SYNPO/FSCN1/MYOM2/EPS8L2/PANX1/FBXO25/CXCR4/DAG1/KLHL17/FHOD3/SNTA1/LRRK2/PICK1/SSH3/SNTG2/SETD3/GAS7/TLNRD1/PDLIM4/PSTPIP1/ARPC5L/FLNA/INO80/KLHL4/WASF1/MARCKSL1",240
"GO:0019838","GO:0019838","growth factor binding","85/7202","125/15349",1.44503424519422e-06,0.000820056934147722,0.000736206920709478,"IGFBP4/NRP1/SHC1/CD109/FLT1/IGFBP2/COL4A1/COL1A2/TGFBR2/ACVR2A/FGFR1/TEK/KDR/PDGFB/NTRK3/IGFBPL1/HYAL2/RPS19/TGFBR3/FLT4/ITGAV/NRP2/THBS1/RHBDF1/IGFBP3/TGFB3/ACVRL1/LRRC32/FIBP/IGFBP1/FURIN/INSR/ENG/GPC1/RHBDF2/COL6A1/IGF2R/IGFBP6/CRIM1/IL6ST/COL1A1/ACVR1B/NTRK1/CCN1/FGFR4/OSMR/LTBP1/NRROS/PDGFRB/ACVR2B/CCN2/IL6R/IGFBP5/KAZALD1/SCN5A/A2M/NTRK2/FSTL4/IL2RB/COL5A1/COL3A1/LRP2/PTN/IL11RA/IL2RG/HTRA1/NGFR/FGFR2/ITGA6/RPS2/COL2A1/GHRHR/SORT1/FGFR3/WFIKKN1/LIFR/LTBP2/ERBB3/CD36/FGFRL1/KL/ESM1/S100A13/IL1R1/CCN5",85
"GO:0030165","GO:0030165","PDZ domain binding","57/7202","79/15349",4.55221053853783e-06,0.00172225298708014,0.00154615431624723,"FZD4/F11R/LNX1/ACVR2A/KIDINS220/USHBP1/ATP2B3/GNG12/GNG5/GRIA1/TGFBR3/ARHGAP29/NSF/ATP2B2/GRIK2/LPAR1/LLGL2/CADM1/NLGN1/CACNG3/GRIK5/GJA1/TMEM88/KIF14/FZD7/ATP2B4/LIN7C/CRIM1/CXADR/RAPGEF2/PDZK1/NKD1/PLEKHA1/DLG4/SLC26A6/CXXC4/SNTB1/SSTR2/FZD2/ATP2B1/LIN7B/ADAM17/CLCN3/TAMALIN/ADGRB1/CFTR/LNX2/CRIPT/FZD3/ERC1/KCNJ4/SNTA1/FZD8/SLC22A5/SNTG2/SLC9A3/SLC22A4",57
"GO:0016247","GO:0016247","channel regulator activity","84/7202","127/15349",9.08791930431251e-06,0.00246179760162208,0.00221008122269434,"VAMP8/DPP6/FGF14/NEDD4L/STX1A/KCNE3/NRXN1/CACNG4/FXYD5/FXYD7/SCLT1/CAV1/MCUB/GRM2/KCNIP4/PTPN3/KCNS3/KCNAB2/KCNMB1/ITPR1/FGF12/CALM2/CACNB3/FGF13/CACNG3/WNK2/NRXN2/CACNG2/PRKG1/SCN2B/LYNX1/SGK3/PIAS3/TMPRSS3/ATP2B4/FKBP1B/AMIGO1/SRI/HPCAL4/PRKCZ/KCNMB3/NPY2R/BCL2/TSPAN13/CACNG7/RACK1/AKAP9/STIM1/GPD1L/LRRC55/KCNMB2/PCSK9/GPLD1/DPP10/DLG1/KCNAB1/PACSIN3/KCNAB3/KCNE2/NEDD4/WNK3/NPY/REM2/ANKRD36C/ADRB2/STX7/TNNI3/CACNG5/SGK2/CFTR/SCN4B/GRM3/WNK4/SGK1/KCNE1/SNTA1/SLC5A3/PHPT1/SLC30A1/CAMK2D/KCNIP3/FLNA/C8orf44-SGK3/AMBP",84
"GO:0015267","GO:0015267","channel activity","233/7202","407/15349",1.47090249536259e-05,0.00246179760162208,0.00221008122269434,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/GRIK1/GJA4/TMC6/ANXA6/ANO5/GRIA4/KCNE3/SCN3A/ASIC4/ITPR3/CACNA1E/CACNG4/GPM6A/KCNC1/UNC80/ANXA2/KCNH7/GABRA3/CALHM5/KCNIP4/CHRNB4/TMEM109/CHRNB2/LRRC8C/KCNS3/ASIC1/APOL1/SHROOM2/GRIA1/KCNAB2/ATP6V1A/KCNB2/SCN9A/CACNB4/GRIA2/CHRNA3/BAX/CLIC1/GRIA3/KCNH2/HCN4/KCNMB1/SLC4A11/ITGAV/ITPR1/SLC24A4/KCNH1/HVCN1/KCNA2/TMEM63A/ZACN/CACNA2D1/TMEM63B/CACNA1B/ORAI1/GRIK2/GJB3/KCNC4/TSPOAP1/KCNH8/CACNB3/RYR2/TRPV1/KCNK6/SLC24A1/KCNK17/KCNJ15/CDK5/AQP3/CACNA1D/PKD1L1/GRIK3/CACNG3/GABRB3/RHAG/GLRA3/FAM155A/KCNJ9/TMEM38A/CHRNA5/TRPV4/GRIK5/ABCC8/SCN8A/CLIC4/ANO10/KCNJ6/CNGA3/ORAI3/KCNS2/GJA1/CLCN4/GLRA2/CACNG2/KCND2/KCNK3/FAM155B/SCN2B/KCNH6/TMEM150C/TRPV2/CLDN4/CHRNA6/SCN1A/GABRE/SLC26A7/TTYH2/PIEZO1/TMEM63C/CACNB1/FKBP1B/KCNQ1/KCNB1/ASIC2/NCS1/GJB5/GLRB/TMEM37/TOMM40L/GABRB1/KCNQ3/KCNJ2/SCN7A/CACNB2/KCNA5/STEAP1/KCNMB3/KCNC2/CLIC5/GRIN2A/CLCN5/P2RX4/P2RX6/TMC8/AQP1/BCL2/SLC26A6/CACNG7/GRIN1/P2RX5/HTR3C/SEC61A1/KCNK5/AQP11/GJC2/LRRC55/BEST1/PANX2/PTK2B/GRID1/KCNMB2/VDAC3/HCN1/GJC3/HCN3/SCN5A/CACNA1G/KCNQ2/GABRP/GJA5/KCNAB1/KCNAB3/KCNT2/KCNE2/TRPC4/ANO7/KCNJ3/SLC24A3/AQP7/ATP5PO/CLCN3/ATP5F1B/AQP10/GJC1/TMEM38B/GRIN3A/SLC14A1/AQP6/CLCC1/CACNG5/NALCN/CHRNA4/ASIC3/CACNA1A/CFTR/ANXA9/SCN4B/CACNA1I/ANO4/RASA3/ATP5PF/BEST4/AQP8/KCNE1/TTYH1/CLCN2/GJB4/KCNJ5/KCNN1/KCNJ12/TRPC5/OTOP3/CLCA2/KCNMA1/KCNK1/HTR3B/CACNA1F/CLIC6/CACNA1H/KCNN2/MCOLN2/GABRR1/KCNJ4/CALHM2/PANX1/TMEM175/CATSPER2/PRF1/SLC24A2/CACHD1/KCNK9/GJB7/KCNIP3/CYBB/CACNA2D4/PKD1/CNGB3",233
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","45/7202","61/15349",1.80153702772222e-05,0.00246179760162208,0.00221008122269434,"NRP1/RET/FLT1/FGFR1/EPHB4/EFNA4/EPHA2/TEK/KDR/NTRK3/EPHA6/KIT/EPHA5/TIE1/FLT4/MERTK/NRP2/TYRO3/EPHA8/INSR/IGF2R/EPHB2/CRIM1/NTRK1/FGFR4/PDGFRB/AXL/EPHA10/ALK/EPHA3/MST1R/NTRK2/EPHA4/ROS1/INSRR/FGFR2/DDR2/LTK/FGFR3/ERBB3/FGFRL1/PDGFRL/DDR1/ERBB4/MET",45
"GO:0022803","GO:0022803","passive transmembrane transporter activity","233/7202","408/15349",1.84840071093547e-05,0.00246179760162208,0.00221008122269434,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/GRIK1/GJA4/TMC6/ANXA6/ANO5/GRIA4/KCNE3/SCN3A/ASIC4/ITPR3/CACNA1E/CACNG4/GPM6A/KCNC1/UNC80/ANXA2/KCNH7/GABRA3/CALHM5/KCNIP4/CHRNB4/TMEM109/CHRNB2/LRRC8C/KCNS3/ASIC1/APOL1/SHROOM2/GRIA1/KCNAB2/ATP6V1A/KCNB2/SCN9A/CACNB4/GRIA2/CHRNA3/BAX/CLIC1/GRIA3/KCNH2/HCN4/KCNMB1/SLC4A11/ITGAV/ITPR1/SLC24A4/KCNH1/HVCN1/KCNA2/TMEM63A/ZACN/CACNA2D1/TMEM63B/CACNA1B/ORAI1/GRIK2/GJB3/KCNC4/TSPOAP1/KCNH8/CACNB3/RYR2/TRPV1/KCNK6/SLC24A1/KCNK17/KCNJ15/CDK5/AQP3/CACNA1D/PKD1L1/GRIK3/CACNG3/GABRB3/RHAG/GLRA3/FAM155A/KCNJ9/TMEM38A/CHRNA5/TRPV4/GRIK5/ABCC8/SCN8A/CLIC4/ANO10/KCNJ6/CNGA3/ORAI3/KCNS2/GJA1/CLCN4/GLRA2/CACNG2/KCND2/KCNK3/FAM155B/SCN2B/KCNH6/TMEM150C/TRPV2/CLDN4/CHRNA6/SCN1A/GABRE/SLC26A7/TTYH2/PIEZO1/TMEM63C/CACNB1/FKBP1B/KCNQ1/KCNB1/ASIC2/NCS1/GJB5/GLRB/TMEM37/TOMM40L/GABRB1/KCNQ3/KCNJ2/SCN7A/CACNB2/KCNA5/STEAP1/KCNMB3/KCNC2/CLIC5/GRIN2A/CLCN5/P2RX4/P2RX6/TMC8/AQP1/BCL2/SLC26A6/CACNG7/GRIN1/P2RX5/HTR3C/SEC61A1/KCNK5/AQP11/GJC2/LRRC55/BEST1/PANX2/PTK2B/GRID1/KCNMB2/VDAC3/HCN1/GJC3/HCN3/SCN5A/CACNA1G/KCNQ2/GABRP/GJA5/KCNAB1/KCNAB3/KCNT2/KCNE2/TRPC4/ANO7/KCNJ3/SLC24A3/AQP7/ATP5PO/CLCN3/ATP5F1B/AQP10/GJC1/TMEM38B/GRIN3A/SLC14A1/AQP6/CLCC1/CACNG5/NALCN/CHRNA4/ASIC3/CACNA1A/CFTR/ANXA9/SCN4B/CACNA1I/ANO4/RASA3/ATP5PF/BEST4/AQP8/KCNE1/TTYH1/CLCN2/GJB4/KCNJ5/KCNN1/KCNJ12/TRPC5/OTOP3/CLCA2/KCNMA1/KCNK1/HTR3B/CACNA1F/CLIC6/CACNA1H/KCNN2/MCOLN2/GABRR1/KCNJ4/CALHM2/PANX1/TMEM175/CATSPER2/PRF1/SLC24A2/CACHD1/KCNK9/GJB7/KCNIP3/CYBB/CACNA2D4/PKD1/CNGB3",233
"GO:0017075","GO:0017075","syntaxin-1 binding","22/7202","25/15349",2.24768820808205e-05,0.00246179760162208,0.00221008122269434,"SYPL1/SNAP25/SYT1/VAMP3/UNC13A/NSF/SYNPR/CPLX2/SYT4/STXBP3/PRRT2/SYP/CPLX1/SYBU/STXBP1/VAMP2/SNPH/STXBP2/UNC13B/LRRK2/STXBP5/DAPK1",22
"GO:0022836","GO:0022836","gated channel activity","173/7202","294/15349",2.28932058535644e-05,0.00246179760162208,0.00221008122269434,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/GRIK1/TMC6/ANXA6/ANO5/GRIA4/KCNE3/SCN3A/ASIC4/ITPR3/CACNA1E/CACNG4/KCNC1/KCNH7/GABRA3/KCNIP4/CHRNB4/TMEM109/CHRNB2/KCNS3/ASIC1/SHROOM2/GRIA1/KCNAB2/KCNB2/SCN9A/CACNB4/GRIA2/CHRNA3/CLIC1/GRIA3/KCNH2/HCN4/KCNMB1/ITGAV/ITPR1/KCNH1/HVCN1/KCNA2/TMEM63A/ZACN/CACNA2D1/TMEM63B/CACNA1B/GRIK2/KCNC4/TSPOAP1/KCNH8/CACNB3/RYR2/TRPV1/KCNK6/KCNK17/KCNJ15/CDK5/CACNA1D/GRIK3/CACNG3/GABRB3/GLRA3/FAM155A/KCNJ9/CHRNA5/TRPV4/GRIK5/ABCC8/SCN8A/CLIC4/ANO10/KCNJ6/CNGA3/KCNS2/CLCN4/GLRA2/CACNG2/KCND2/KCNK3/FAM155B/SCN2B/KCNH6/TMEM150C/CHRNA6/SCN1A/GABRE/TTYH2/PIEZO1/TMEM63C/CACNB1/FKBP1B/KCNQ1/KCNB1/ASIC2/NCS1/GLRB/TMEM37/GABRB1/KCNQ3/KCNJ2/SCN7A/CACNB2/KCNA5/KCNMB3/KCNC2/CLIC5/GRIN2A/CLCN5/P2RX4/P2RX6/TMC8/AQP1/CACNG7/GRIN1/P2RX5/HTR3C/KCNK5/LRRC55/PTK2B/GRID1/KCNMB2/VDAC3/HCN1/HCN3/SCN5A/CACNA1G/KCNQ2/GABRP/KCNAB1/KCNAB3/KCNT2/KCNE2/ANO7/KCNJ3/CLCN3/GRIN3A/CACNG5/NALCN/CHRNA4/ASIC3/CACNA1A/CFTR/SCN4B/CACNA1I/ANO4/RASA3/KCNE1/TTYH1/CLCN2/KCNJ5/KCNN1/KCNJ12/CLCA2/KCNMA1/KCNK1/HTR3B/CACNA1F/CLIC6/CACNA1H/KCNN2/MCOLN2/GABRR1/KCNJ4/CATSPER2/CACHD1/KCNK9/KCNIP3/CYBB/CACNA2D4/CNGB3",173
"GO:0017124","GO:0017124","SH3 domain binding","80/7202","122/15349",2.37170921769824e-05,0.00246179760162208,0.00221008122269434,"MAPT/SIRPA/DNAJC6/PAK3/GRB2/PLSCR1/PLSCR4/AFAP1/AFAP1L1/RUFY2/ELMO1/DOCK1/SHANK3/SYNJ2/ADAM15/HCLS1/SH3BP2/SKAP1/SH3BGRL2/CBLB/EVL/WASF2/LANCL1/QKI/ARHGAP31/SH3KBP1/ADAM19/MICAL1/SGIP1/SH3GL1/INPP5J/DOCK3/ARHGAP27/INPP5D/FUT8/GRIK5/ELMO3/GJA1/RAPGEF1/ARHGAP17/WIPF1/INPPL1/CTTNBP2/ABI3/AKAP5/DPYSL3/TOM1L1/PTTG1/SH3BP5/SYNGAP1/VASP/LYN/ABI1/SYNJ1/WIPF3/SHANK2/DTX1/AFAP1L2/SOCS7/CABYR/ADAM17/OSTF1/SH2D2A/LRP2/GPX1/ADAM10/ERRFI1/SH3BGRL/EFS/MVB12A/PTPN6/ESPN/CYBA/MYPN/ITGB1BP2/KHDRBS2/CD2AP/DENND1A/CNTNAP1/MAPK15",80
