"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","GO:0003779","actin binding","231/6715","406/15349",4.76762093718833e-08,3.24432050776453e-05,2.91860968470354e-05,"LIMCH1/MAPT/GBP1/GMFG/FMNL3/XIRP2/ANXA6/FLNB/DMTN/CALD1/ADD3/LCP1/KLHL3/PDLIM1/ABL2/MAP1A/SMTN/TPM3/MSN/DIAPH2/CORO1A/HCLS1/PPP1R18/TNNT2/TLN1/CDK5R1/AFAP1/FGD4/SHANK3/SHROOM2/FHL3/RCSD1/ADD2/PDLIM5/FXYD5/VCL/CNN2/PHACTR2/IMPACT/NCALD/WASF2/MYO5C/TPM2/VASH2/GSN/DIXDC1/EPB41L3/ITGB1/MYO5A/CAPG/MICAL1/MYH9/AIF1/EVL/CTNNA2/IQGAP2/DST/CTNNA1/PLS3/CEACAM1/EPS8L1/MICAL2/PHACTR3/VILL/SNCA/ARPC1B/NEXN/UTRN/SYNE1/PARVA/HDAC6/SPTBN4/SPTBN1/SHROOM4/ABLIM3/KLHL5/WDR1/ABLIM2/ABLIM1/MYH15/CAMK2B/MYO1E/MYL4/EPB41L2/CORO1C/CCDC88A/MYH6/NOS3/ACTR3/LIMA1/S100A4/MYO7A/PDLIM2/TMSB15B/TAGLN/EPB41/LDB3/SPTBN2/IQGAP1/WIPF1/MYO1C/HOMER2/CNN1/ACTR3C/CDK5R2/SNTG1/FMNL1/TRPV4/CAPZB/PARVB/LASP1/CORO2A/DMD/TLN2/MYO1H/CTTN/CYFIP1/CORO6/MAP1B/FAM107A/HPCA/MYOZ2/TMOD3/SNTB1/CAP1/TNNI3/INF2/TPM4/ACTN1/COBLL1/FHOD1/DIAPH1/ABITRAM/PTK2/PAWR/ANG/INPPL1/SYN1/ACTN4/MYH10/SAMD14/KLHL1/SPIRE2/MYRIP/MARCKS/VASP/SPTA1/CGN/GAS2L3/CAMSAP3/MYOZ3/MYH11/TMSB15B/SHROOM3/MYLK/FKBP15/MACO1/HOOK1/WHAMM/USH1C/VPS16/DAAM2/MICAL3/PFN2/LRRK2/TLNRD1/GAS2L1/EZR/DNASE1/DIAPH3/TTN/PRICKLE4/TNNC1/EPB41L1/CACNB2/INO80/PSTPIP1/MYO18A/MYO3A/PDLIM4/ITPRID2/PHACTR1/TPM1/FERMT2/GAS2L2/OPHN1/WIPF2/TNNI1/MTSS1/SCIN/MYOM1/IPP/MSRB2/MYO15A/GAS2/PSTPIP2/CXCR4/CNN3/SNTA1/FHOD3/AIF1L/MISP/FBXO25/RDX/GAS7/GCSAM/HIP1/MYO10/KLHL17/MARCKSL1/CFL1/TNS1/JMY/TWF2/AJUBA/P4HB/TRPC5/ANLN/IQGAP3/MED28/WASF1/ARPC2/CTNNAL1/MYO16/MYOM2/MYH3/ERMN/PICK1/VIL1/SNTB2/FLNA",231
"GO:0022836","GO:0022836","gated channel activity","174/6715","294/15349",5.71686433086261e-08,3.24432050776453e-05,2.91860968470354e-05,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/TMC6/GRIK1/ANO5/ANXA6/CACNA1E/KCNE3/GRIA4/ASIC4/GABRA3/ITPR3/SCN3A/KCNC1/KCNIP4/CACNG4/CHRNB4/KCNAB2/KCNH7/SCN9A/SHROOM2/ITPR1/CHRNB2/TMEM63B/CACNA1D/KCNS3/CACNB4/ASIC1/GRIA2/KCNH2/KCNB2/TMEM109/KCNA2/KCNJ15/KCNK17/CACNG3/KCNMB1/CHRNA3/HCN4/GRIA3/KCNH1/TSPOAP1/CLIC1/TMEM63A/CACNA1B/KCNH8/CACNA2D1/GRIK2/TRPV1/HVCN1/GRIK5/KCNJ9/GABRE/CACNB3/ITGAV/GLRA2/FAM155A/GRIK3/SCN8A/ZACN/ABCC8/TMC8/ANO10/CDK5/KCNC4/CHRNA5/GRIA1/CNGA3/SCN1A/KCNJ6/GLRA3/RYR2/KCNK3/TMEM63C/KCNS2/SCN2B/CACNG2/KCNQ1/FKBP1B/TTYH2/GABRB1/CLCN4/FAM155B/KCND2/GABRB3/CLIC4/KCNK6/KCNQ3/NCS1/GRIN2A/CACNB1/TMEM37/KCNA5/TRPV4/GLRB/KCNB1/TMEM150C/CHRNA6/PIEZO1/ASIC2/KCNJ2/HTR3C/KCNH6/CACNG7/P2RX5/P2RX4/KCNC2/KCNMB2/CLCN5/ANO7/CACNA1I/GRIN3A/LRRC55/HCN3/P2RX6/KCNQ2/GRIN1/SCN7A/AQP1/KCNT2/GABRP/CLCN2/KCNN1/CLIC2/CACNA1G/KCNJ4/KCNK9/PTK2B/HCN1/CACNA1A/KCNAB3/KCNE2/VDAC3/CACNB2/NALCN/GRID1/KCNAB1/KCNIP3/ASIC3/CLIC5/KCNA1/CACNA1H/KCNJ12/ANO4/RASA3/CHRNB1/CHRNA4/KCNA4/CACNA2D2/CNGA1/CACNA2D4/SCN4B/KCNMB3/KCNK5/CATSPER2/KCNJ11/KCNIP2/CACNG5/KCNJ5/GABRG2/SCN1B/KCND3/KCNJ3/CLCA2/PIEZO2/ANO8/TMC7/TMC5/GRIN2D/MCOLN2",174
"GO:0015267","GO:0015267","channel activity","227/6715","407/15349",5.25133204011138e-07,0.000157513321887735,0.000141699904689175,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/TMC6/GRIK1/GJA4/ANO5/ANXA6/CACNA1E/KCNE3/GRIA4/CALHM5/ASIC4/GABRA3/ITPR3/SCN3A/KCNC1/GPM6A/KCNIP4/CACNG4/ANXA2/APOL1/CHRNB4/KCNAB2/KCNH7/SCN9A/SHROOM2/UNC80/SLC24A4/ITPR1/CHRNB2/TMEM63B/CACNA1D/LRRC8C/KCNS3/CACNB4/ASIC1/ATP6V1A/GRIA2/KCNH2/KCNB2/TMEM109/KCNA2/KCNJ15/KCNK17/BAX/CACNG3/GJB3/KCNMB1/CHRNA3/HCN4/GRIA3/KCNH1/TSPOAP1/CLIC1/TMEM63A/CACNA1B/KCNH8/CACNA2D1/GRIK2/TRPV1/HVCN1/GRIK5/TMEM38A/KCNJ9/GABRE/CACNB3/RHAG/SLC4A11/AQP3/ITGAV/GLRA2/FAM155A/GRIK3/SCN8A/TRPV2/ZACN/ORAI1/ABCC8/TMC8/ANO10/CDK5/KCNC4/CHRNA5/GRIA1/CNGA3/SCN1A/KCNJ6/SLC24A1/GLRA3/RYR2/SLC26A7/KCNK3/TMEM63C/KCNS2/SCN2B/CACNG2/KCNQ1/FKBP1B/TTYH2/GABRB1/CLCN4/FAM155B/KCND2/GABRB3/CLIC4/GJB5/KCNK6/KCNQ3/NCS1/GRIN2A/CACNB1/TMEM37/KCNA5/TRPV4/GLRB/KCNB1/TMEM150C/GJC3/CHRNA6/PIEZO1/ASIC2/PANX2/KCNJ2/HTR3C/SEC61A1/KCNH6/GJA5/CACNG7/SLC26A6/ORAI3/P2RX5/P2RX4/PKD1L1/GJC2/KCNC2/AQP11/BCL2/GJB4/KCNMB2/CLCN5/GJA1/ANO7/CACNA1I/GRIN3A/LRRC55/HCN3/P2RX6/KCNQ2/GRIN1/SCN7A/AQP1/KCNT2/GABRP/CLCN2/KCNN1/ATP5F1B/CLIC2/CACNA1G/ANXA9/KCNJ4/KCNK9/PTK2B/HCN1/SLC14A1/CACNA1A/KCNAB3/KCNE2/BEST1/VDAC3/TOMM40L/CACNB2/STEAP1/NALCN/GRID1/KCNAB1/KCNIP3/ASIC3/BEST4/SLC24A2/CLIC5/KCNA1/AQP6/CLDN4/CACNA1H/KCNJ12/ANO4/RASA3/CALHM2/CALHM4/CHRNB1/AQP7/GJC1/CHRNA4/KCNA4/OTOP3/CACNA2D2/CNGA1/ATP5PO/CACNA2D4/SCN4B/KCNMB3/GJB7/KCNK5/TRPC5/CATSPER2/KCNJ11/KCNIP2/CACNG5/PANX3/KCNJ5/GABRG2/SCN1B/KCND3/TMEM175/KCNJ3/CLCA2/PIEZO2/ANO8/TMC7/TMC5/PKD1/GRIN2D/MCOLN2",227
"GO:0022803","GO:0022803","passive transmembrane transporter activity","227/6715","408/15349",6.75268157044482e-07,0.000157513321887735,0.000141699904689175,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/TMC6/GRIK1/GJA4/ANO5/ANXA6/CACNA1E/KCNE3/GRIA4/CALHM5/ASIC4/GABRA3/ITPR3/SCN3A/KCNC1/GPM6A/KCNIP4/CACNG4/ANXA2/APOL1/CHRNB4/KCNAB2/KCNH7/SCN9A/SHROOM2/UNC80/SLC24A4/ITPR1/CHRNB2/TMEM63B/CACNA1D/LRRC8C/KCNS3/CACNB4/ASIC1/ATP6V1A/GRIA2/KCNH2/KCNB2/TMEM109/KCNA2/KCNJ15/KCNK17/BAX/CACNG3/GJB3/KCNMB1/CHRNA3/HCN4/GRIA3/KCNH1/TSPOAP1/CLIC1/TMEM63A/CACNA1B/KCNH8/CACNA2D1/GRIK2/TRPV1/HVCN1/GRIK5/TMEM38A/KCNJ9/GABRE/CACNB3/RHAG/SLC4A11/AQP3/ITGAV/GLRA2/FAM155A/GRIK3/SCN8A/TRPV2/ZACN/ORAI1/ABCC8/TMC8/ANO10/CDK5/KCNC4/CHRNA5/GRIA1/CNGA3/SCN1A/KCNJ6/SLC24A1/GLRA3/RYR2/SLC26A7/KCNK3/TMEM63C/KCNS2/SCN2B/CACNG2/KCNQ1/FKBP1B/TTYH2/GABRB1/CLCN4/FAM155B/KCND2/GABRB3/CLIC4/GJB5/KCNK6/KCNQ3/NCS1/GRIN2A/CACNB1/TMEM37/KCNA5/TRPV4/GLRB/KCNB1/TMEM150C/GJC3/CHRNA6/PIEZO1/ASIC2/PANX2/KCNJ2/HTR3C/SEC61A1/KCNH6/GJA5/CACNG7/SLC26A6/ORAI3/P2RX5/P2RX4/PKD1L1/GJC2/KCNC2/AQP11/BCL2/GJB4/KCNMB2/CLCN5/GJA1/ANO7/CACNA1I/GRIN3A/LRRC55/HCN3/P2RX6/KCNQ2/GRIN1/SCN7A/AQP1/KCNT2/GABRP/CLCN2/KCNN1/ATP5F1B/CLIC2/CACNA1G/ANXA9/KCNJ4/KCNK9/PTK2B/HCN1/SLC14A1/CACNA1A/KCNAB3/KCNE2/BEST1/VDAC3/TOMM40L/CACNB2/STEAP1/NALCN/GRID1/KCNAB1/KCNIP3/ASIC3/BEST4/SLC24A2/CLIC5/KCNA1/AQP6/CLDN4/CACNA1H/KCNJ12/ANO4/RASA3/CALHM2/CALHM4/CHRNB1/AQP7/GJC1/CHRNA4/KCNA4/OTOP3/CACNA2D2/CNGA1/ATP5PO/CACNA2D4/SCN4B/KCNMB3/GJB7/KCNK5/TRPC5/CATSPER2/KCNJ11/KCNIP2/CACNG5/PANX3/KCNJ5/GABRG2/SCN1B/KCND3/TMEM175/KCNJ3/CLCA2/PIEZO2/ANO8/TMC7/TMC5/PKD1/GRIN2D/MCOLN2",227
"GO:0016247","GO:0016247","channel regulator activity","83/6715","127/15349",6.93891285849053e-07,0.000157513321887735,0.000141699904689175,"VAMP8/DPP6/FGF14/STX1A/NEDD4L/CAV1/KCNE3/NRXN1/MCUB/FXYD7/PTPN3/GRM2/KCNIP4/CACNG4/KCNAB2/ITPR1/FXYD5/KCNS3/SGK3/SCLT1/CACNG3/KCNMB1/FGF12/FGF13/LYNX1/CALM2/CACNB3/NRXN2/PIAS3/WNK2/SCN2B/CACNG2/FKBP1B/TMPRSS3/ATP2B4/PRKCZ/HPCAL4/TSPAN13/AMIGO1/NPY/DLG1/CACNG7/TNNI3/SGK1/RACK1/AKAP9/NEDD4/BCL2/KCNMB2/WNK3/REM2/GPD1L/STIM1/SRI/DPP10/LRRC55/KCNAB3/ANKRD36C/GPLD1/KCNE2/SLC30A1/CAMK2D/PRKG1/KCNAB1/ARPP19/KCNIP3/FXYD6/SNTA1/PHPT1/PACSIN3/SCN4B/KCNMB3/INAFM1/WNK4/PKP2/KCNIP2/CACNG5/SCN1B/SLC5A3/AMBP/NPY2R/C8orf44-SGK3/FLNA",83
"GO:0005543","GO:0005543","phospholipid binding","229/6715","413/15349",8.5513769669449e-07,0.000161763547624708,0.000145523432595378,"SHC1/DYSF/MAPT/SYT1/SYT7/GAP43/ANXA5/ANXA6/RAPGEF6/AMER3/SNX1/BSCL2/ITPR3/CAVIN2/UNC13A/ESYT1/HS1BP3/PCYT1A/FES/SNX7/RUBCNL/ANXA2/OSBPL10/TLN1/SNAP91/ANXA3/MTM1/GSDMD/CPNE8/ITPR1/SYT2/ARAP3/AMER2/SGK3/CPNE2/PXDC1/ARL6/MYOF/GSN/KCNH1/SYT11/PLTP/LDLRAP1/WNT5A/CAPG/ANXA7/ANXA4/SNX10/SNX32/PLD1/TULP3/IQGAP2/SYT4/TRPV1/PLA2G4A/SYT13/RASA4B/VILL/ASAP1/SGIP1/SNCA/SYT9/ARAP2/PARD3B/SH3YL1/SPTBN4/SPTBN1/ANXA1/VPS36/C2CD5/SNX3/GSDME/SNX2/CLVS2/MYO1E/WDFY3/SYT5/SMPD3/RUBCN/CCDC88A/PSD/ABCG1/LAPTM4B/ARHGAP26/ANXA11/SDCBP/KCNQ1/RAPGEF2/MICALL1/APOB/BAIAP2L2/PLCB1/PLEKHF2/PLD2/EPB41/DOC2B/ADAP1/PSD2/SYT6/THBS1/SPTBN2/PHLDA3/IQGAP1/ARHGAP33/CPNE9/APOM/ABCA1/UCP1/PIK3C2B/STAP1/VAMP2/CLINT1/SNX8/OSBPL8/MAP1B/EXOC1/AMPH/KCNJ2/JPH2/SNX30/DGKA/FCHO2/GPR12/ADGRB1/ARHGAP44/PTAFR/ZFYVE28/SYT12/ARFIP1/LPAR1/PREX1/PLA2G4C/CPNE4/SNX5/GLE1/PRKCI/SNX22/F10/AGAP1/GBF1/PIK3C2A/PCLO/ZFYVE16/GLTP/SNX24/LPAR4/APOC1/DENND1B/MARK1/CPNE7/SNX9/WIPI1/MAP1LC3A/ATG2B/AXL/ANXA9/TPP1/SCARB2/FRMPD2/ING2/MME/TNFAIP8L3/PFN2/PITPNA/SYTL2/PLA2G15/JAG1/SNX14/EXOC1L/SMURF1/ATP8B1/PITPNM1/SYTL5/ATP13A2/MFGE8/SLC9A1/FERMT2/SYTL4/OPHN1/FZD7/SYTL3/PARD3/STXBP6/THY1/TEC/SCIN/DPEP1/ALOX15/TTPAL/DOC2A/GRK5/PLA2G5/RASA4/PPT1/PLEK2/NR5A2/SESTD1/RASA2/HIP1/BTK/MYO10/PLA2G7/PACSIN3/GOLPH3/ARHGAP9/VEPH1/TWF2/PLA2G4B/ARAP1/RPE65/GOLPH3L/APOE/SAP30L/GAS6/PLA2G4E/UNC13B/SNX18/PHLDA1/PICK1/SNX33/SNX25/FER1L5/PLEKHN1/VIL1/WDFY1/CPS1/MCF2L/TECPR1/C8orf44-SGK3",229
"GO:0005261","GO:0005261","cation channel activity","167/6715","292/15349",2.18203006921463e-06,0.000353800589794087,0.000318281077765142,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/GRIK1/ANXA6/CACNA1E/KCNE3/GRIA4/CALHM5/ASIC4/ITPR3/SCN3A/KCNC1/GPM6A/KCNIP4/CACNG4/ANXA2/CHRNB4/KCNAB2/KCNH7/SCN9A/SHROOM2/UNC80/SLC24A4/ITPR1/CHRNB2/TMEM63B/CACNA1D/KCNS3/CACNB4/ASIC1/ATP6V1A/GRIA2/KCNH2/KCNB2/KCNA2/KCNJ15/KCNK17/CACNG3/KCNMB1/CHRNA3/HCN4/GRIA3/KCNH1/TSPOAP1/TMEM63A/CACNA1B/KCNH8/CACNA2D1/GRIK2/TRPV1/HVCN1/GRIK5/TMEM38A/KCNJ9/CACNB3/SLC4A11/ITGAV/FAM155A/GRIK3/SCN8A/TRPV2/ORAI1/ABCC8/ANO10/CDK5/KCNC4/CHRNA5/GRIA1/CNGA3/SCN1A/KCNJ6/SLC24A1/RYR2/KCNK3/TMEM63C/KCNS2/SCN2B/CACNG2/KCNQ1/FKBP1B/FAM155B/KCND2/KCNK6/KCNQ3/NCS1/GRIN2A/CACNB1/TMEM37/KCNA5/TRPV4/KCNB1/CHRNA6/PIEZO1/ASIC2/KCNJ2/HTR3C/SEC61A1/KCNH6/CACNG7/ORAI3/P2RX5/P2RX4/PKD1L1/KCNC2/KCNMB2/CACNA1I/GRIN3A/LRRC55/HCN3/P2RX6/KCNQ2/GRIN1/SCN7A/AQP1/KCNT2/KCNN1/ATP5F1B/CACNA1G/ANXA9/KCNJ4/KCNK9/PTK2B/HCN1/CACNA1A/KCNAB3/KCNE2/CACNB2/NALCN/KCNAB1/KCNIP3/ASIC3/SLC24A2/KCNA1/CACNA1H/KCNJ12/RASA3/CALHM2/CALHM4/CHRNB1/CHRNA4/KCNA4/OTOP3/CACNA2D2/CNGA1/ATP5PO/CACNA2D4/SCN4B/KCNMB3/KCNK5/TRPC5/CATSPER2/KCNJ11/KCNIP2/CACNG5/KCNJ5/SCN1B/KCND3/TMEM175/KCNJ3/PIEZO2/PKD1/GRIN2D/MCOLN2",167
"GO:0005216","GO:0005216","ion channel activity","205/6715","372/15349",5.49610898000909e-06,0.00077976046153879,0.000701477067185371,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/TMC6/GRIK1/ANO5/ANXA6/CACNA1E/KCNE3/GRIA4/CALHM5/ASIC4/GABRA3/ITPR3/SCN3A/KCNC1/GPM6A/KCNIP4/CACNG4/ANXA2/APOL1/CHRNB4/KCNAB2/KCNH7/SCN9A/SHROOM2/UNC80/SLC24A4/ITPR1/CHRNB2/TMEM63B/CACNA1D/LRRC8C/KCNS3/CACNB4/ASIC1/ATP6V1A/GRIA2/KCNH2/KCNB2/KCNA2/KCNJ15/KCNK17/CACNG3/KCNMB1/CHRNA3/HCN4/GRIA3/KCNH1/TSPOAP1/CLIC1/TMEM63A/CACNA1B/KCNH8/CACNA2D1/GRIK2/TRPV1/HVCN1/GRIK5/TMEM38A/KCNJ9/GABRE/CACNB3/SLC4A11/ITGAV/GLRA2/FAM155A/GRIK3/SCN8A/TRPV2/ZACN/ORAI1/ABCC8/TMC8/ANO10/CDK5/KCNC4/CHRNA5/GRIA1/CNGA3/SCN1A/KCNJ6/SLC24A1/GLRA3/RYR2/SLC26A7/KCNK3/TMEM63C/KCNS2/SCN2B/CACNG2/KCNQ1/FKBP1B/TTYH2/GABRB1/CLCN4/FAM155B/KCND2/GABRB3/CLIC4/KCNK6/KCNQ3/NCS1/GRIN2A/CACNB1/TMEM37/KCNA5/TRPV4/GLRB/KCNB1/TMEM150C/CHRNA6/PIEZO1/ASIC2/KCNJ2/HTR3C/SEC61A1/KCNH6/CACNG7/SLC26A6/ORAI3/P2RX5/P2RX4/PKD1L1/KCNC2/KCNMB2/CLCN5/ANO7/CACNA1I/GRIN3A/LRRC55/HCN3/P2RX6/KCNQ2/GRIN1/SCN7A/AQP1/KCNT2/GABRP/CLCN2/KCNN1/ATP5F1B/CLIC2/CACNA1G/ANXA9/KCNJ4/KCNK9/PTK2B/HCN1/CACNA1A/KCNAB3/KCNE2/BEST1/VDAC3/CACNB2/NALCN/GRID1/KCNAB1/KCNIP3/ASIC3/BEST4/SLC24A2/CLIC5/KCNA1/CLDN4/CACNA1H/KCNJ12/ANO4/RASA3/CALHM2/CALHM4/CHRNB1/GJC1/CHRNA4/KCNA4/OTOP3/CACNA2D2/CNGA1/ATP5PO/CACNA2D4/SCN4B/KCNMB3/KCNK5/TRPC5/CATSPER2/KCNJ11/KCNIP2/CACNG5/KCNJ5/GABRG2/SCN1B/KCND3/TMEM175/KCNJ3/CLCA2/PIEZO2/ANO8/TMC7/TMC5/PKD1/GRIN2D/MCOLN2",205
"GO:0004602","GO:0004602","glutathione peroxidase activity","17/6715","18/15349",8.23527717952157e-06,0.00103855995541744,0.000934294603992505,"MGST2/GPX7/GSTA1/PRDX6/MGST3/ALOX5AP/GSTK1/GPX8/GSTP1/CLIC2/GPX3/MGST1/GPX1/GSTM2/PTGES/GPX4/GPX2",17
"GO:0099106","GO:0099106","ion channel regulator activity","66/6715","101/15349",9.41041013435064e-06,0.0010680815502488,0.000960852403191591,"VAMP8/DPP6/STX1A/NEDD4L/CAV1/KCNE3/NRXN1/MCUB/FXYD7/GRM2/KCNIP4/CACNG4/KCNAB2/ITPR1/FXYD5/KCNS3/SGK3/KCNMB1/LYNX1/CALM2/CACNB3/NRXN2/PIAS3/WNK2/FKBP1B/PRKCZ/HPCAL4/TSPAN13/AMIGO1/NPY/DLG1/CACNG7/TNNI3/SGK1/RACK1/AKAP9/NEDD4/KCNMB2/WNK3/REM2/STIM1/SRI/DPP10/LRRC55/KCNAB3/ANKRD36C/KCNE2/SLC30A1/CAMK2D/PRKG1/KCNAB1/ARPP19/KCNIP3/FXYD6/PHPT1/PACSIN3/KCNMB3/INAFM1/WNK4/KCNIP2/SCN1B/SLC5A3/AMBP/NPY2R/C8orf44-SGK3/FLNA",66
