"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","GO:0003779","actin binding","234/7044","406/15349",9.98134417120684e-07,0.00113487883226622,0.00102229977669308,"LIMCH1/MAPT/GBP1/XIRP2/ANXA6/FMNL3/GMFG/ADD3/DMTN/MSN/FLNB/SMTN/DIAPH2/AFAP1/KLHL3/LCP1/CDK5R1/MAP1A/HCLS1/CORO1A/GSN/PDLIM1/TPM3/SHROOM2/EPB41L3/FXYD5/IMPACT/ABL2/PPP1R18/CNN2/WASF2/PDLIM5/SHANK3/FHL3/TNNT2/CALD1/FGD4/VCL/EVL/PHACTR2/ADD2/NCALD/MYO5A/VASH2/TLN1/CAPG/EPB41L2/TPM2/DST/VILL/UTRN/CTNNA1/MICAL1/RCSD1/NOS3/IQGAP2/MYO5C/ARPC1B/CTNNA2/MYH15/MYH9/CEACAM1/PLS3/MYL4/SYNE1/ABLIM2/EPS8L1/DIXDC1/PHACTR3/S100A4/MYO1E/ITGB1/SPTBN4/SNCA/NEXN/ABLIM1/CCDC88A/HOMER2/LIMA1/SPTBN2/SHROOM4/EPB41/CYFIP1/AIF1/MICAL2/TLN2/ACTR3C/TMSB15B/FAM107A/CAPZB/WDR1/ABLIM3/CAMK2B/GAS2L3/SPTBN1/MYH6/TRPV4/CORO1C/MYRIP/HDAC6/IQGAP1/PDLIM2/WIPF1/PARVA/FMNL1/LASP1/CORO6/FHOD1/MYO1C/CACNB2/DMD/ACTR3/MAP1B/MICAL3/SNTG1/ACTN4/DAAM2/CAP1/LDB3/GCSAM/KLHL5/MYO7A/MYOZ2/SPTA1/MYOZ3/CGN/CORO2A/TNNC1/INF2/CDK5R2/CAMSAP3/CTTN/SYN1/AIF1L/EZR/ABITRAM/DIAPH3/SAMD14/EPB41L1/PTK2/ANG/HPCA/PDLIM4/MYO3A/SPIRE2/VASP/INPPL1/COBLL1/TMOD3/MYLK/FKBP15/DIAPH1/MYO1H/MARCKSL1/MYH2/MSRB2/OPHN1/MYO10/MYH10/SYNPO2/JMY/KLHL1/PAWR/KCNMA1/TAGLN/MARCKS/MYO18A/MYO15A/IQGAP3/PFN2/ARPC4/TRPM7/TNNI3/MACO1/TMSB15B/MED28/MYH11/PANX1/WIPF2/GAS2L2/GAS7/TLNRD1/TPM4/HOOK1/MYO16/PARVB/CNN3/CNN1/USH1C/DNASE1/ADCY8/TPM1/PSTPIP2/GAS2L1/ANLN/FERMT2/CTNNAL1/ACTR2/FHOD3/TWF2/WHAMM/KLHL2/ESPN/ACTN1/SNTB1/CXCR4/GAS2/IPP/ITPRID2/MTSS1/CFL1/SYNPO/SNTA1/MYH7/ACTR3B/INO80/ARPC2/PSTPIP1/WASF1/EEF2/MYPN/MYOM1/PKNOX2/MYOM2/TMOD2/MYO3B/PHACTR1/KIF18A/BAIAP2L1/TTN/FBXO25/AVIL/SETD3/ENAH",234
"GO:0022836","GO:0022836","gated channel activity","172/7044","294/15349",7.94952848735337e-06,0.00451930694506039,0.00407099537799728,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/TMC6/ANXA6/GRIK1/ANO5/ITPR3/CACNA1E/GRIA4/SCN3A/CACNG4/KCNE3/KCNC1/GABRA3/ASIC4/SHROOM2/KCNS3/KCNAB2/CHRNB2/KCNH7/ITPR1/KCNIP4/CHRNB4/SCN9A/CACNB4/KCNB2/KCNH2/TMEM109/HVCN1/CLIC1/GRIA2/KCNC4/CHRNA3/KCNMB1/KCNA2/HCN4/CACNA1D/TRPV1/CACNA2D1/TSPOAP1/ASIC1/KCNH1/GRIK2/ANO10/GRIA3/CACNA1B/CACNB3/TMEM63B/CACNG3/TMEM63A/KCNK17/KCNH8/FAM155A/KCNJ15/ZACN/GLRA3/ABCC8/GLRA2/GRIK5/CHRNA5/CNGA3/KCNJ9/CDK5/GABRB3/SCN1A/RYR2/KCNK6/KCNJ6/KCNQ1/KCNH6/KCND2/GRIK3/ITGAV/SCN8A/TMEM150C/GABRE/GRIA1/PIEZO1/CACNG2/KCNK3/TRPV4/CLCN4/KCNS2/ASIC2/TMEM63C/CLIC4/AQP1/KCNQ3/GABRB1/KCNB1/KCNK5/P2RX4/CACNB2/NCS1/GRIN3A/KCNA5/FKBP1B/TMC8/CACNB1/SCN2B/TMEM37/P2RX5/TTYH2/GRIN2A/SCN7A/CHRNA6/FAM155B/CACNG7/GRIN1/GLRB/KCNC2/CLIC5/P2RX6/KCNQ2/CACNA1I/CLCN2/KCNT2/CLCN5/HTR3C/GRID1/KCNK9/PTK2B/KCNAB1/CACNA1A/KCNMA1/HCN1/P2RX7/CACNA1H/HCN3/LRRC55/CACNA1G/KCNN1/NALCN/CNGA1/KCNAB3/KCNJ2/KCNJ5/KCNMB2/SCN1B/CLIC6/CFTR/KCNIP3/MCOLN2/KCNJ12/SCN4B/KCNJ4/KCNN2/SCN11A/CHRNA4/KCNE2/ANO7/ASIC3/GABRP/CATSPER2/ANO8/GABRR1/MCOLN3/KCNA6/KCNMB3/GABRD/KCNF1/GABRG2/GABRA1/MCOLN1/KCND3/CACNA2D4/ANO4/CLIC2",172
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","54/7044","79/15349",4.44565023778607e-05,0.0119575528139508,0.010771373316645,"NRP1/FLT1/RET/TGFBR2/KDR/TEK/TIE1/ACVR2A/KIT/EPHA6/EPHB4/FGFR1/EFNA4/FLT4/NTRK3/TGFBR3/NRP2/ACVRL1/EPHA5/EPHA2/EPHA8/MERTK/ENG/TYRO3/INSR/NTRK1/EPHB2/CRIM1/ACVR1B/ALK/EPHA10/MST1R/IGF2R/INSRR/FGFR4/ACVR2B/NTRK2/EPHA3/LTK/EPHA4/ACVR1/BMPR1B/EPHB1/PDGFRB/AMHR2/DDR2/EFNB3/FGFR3/DDR1/ROS1/MET/FGFR2/LTBP1/AXL",54
"GO:0005516","GO:0005516","calmodulin binding","111/7044","184/15349",5.33895363290577e-05,0.0119575528139508,0.010771373316645,"SMTNL1/TJP1/MAP6/SYT1/PCP4/SYT7/GAP43/ADD3/UNC13A/ITPKB/ATP2B3/FAS/CNN2/CALD1/CTH/ADD2/MYO5A/ATP2B2/TRPV1/KCNH1/NOS3/IQGAP2/RIT1/MYO5C/MYH15/MYH9/CEACAM1/ORAI1/RGS16/MYO1E/CAMKV/RYR2/PCNT/PLCB1/KCNQ1/EPB41/ATP2B4/MAP2/PPP3CB/CAMK2B/SPTBN1/MYH6/TRPV4/SLC8A3/IQGAP1/MYLK2/KCNQ3/MYO1C/STRN/SLC8A2/IQCB1/MKNK2/FBXL2/VAMP2/EEF1A1/CAMSAP2/NGFR/MYO7A/AKAP12/GRIN1/ATP5IF1/CAMK1D/CAMSAP3/KCNQ2/CEP97/SLC8A1/MYO3A/RASGRF2/MKNK1/MYLK/PHKB/MARCKSL1/MYH2/MYO10/MYH10/MARCKS/ATP2B1/KCNN1/MYO15A/CAMKK1/IQGAP3/CAMK2A/PDE1B/PPP3CA/RGS2/MYH11/NRGN/PLCB3/ASPM/CAMKK2/CAMK1G/CNN3/CNN1/AKAP5/ADCY8/CAMK1/RIT2/CAMSAP1/KCNN2/MAPKAPK5/SNTB1/SPHK1/SLC9A1/SNTA1/MYH7/PPP3CC/UNC13B/TTN/PHKA2/DAPK1/EEF2K",111
"GO:0015267","GO:0015267","channel activity","225/7044","407/15349",7.37947866947193e-05,0.0119575528139508,0.010771373316645,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/TMC6/ANXA6/GRIK1/ANO5/ITPR3/GJA4/CACNA1E/CALHM5/GRIA4/SCN3A/CACNG4/KCNE3/KCNC1/UNC80/GABRA3/GPM6A/ASIC4/SHROOM2/KCNS3/KCNAB2/BAX/CHRNB2/KCNH7/ITPR1/KCNIP4/CHRNB4/SCN9A/SLC24A1/APOL1/SLC4A11/CACNB4/KCNB2/GJB3/KCNH2/TMEM109/HVCN1/CLIC1/GRIA2/KCNC4/CHRNA3/KCNMB1/KCNA2/HCN4/CACNA1D/TRPV1/ATP6V1A/CACNA2D1/TSPOAP1/ASIC1/KCNH1/GRIK2/ANO10/GRIA3/PKD1L1/AQP3/CACNA1B/SLC24A4/CACNB3/TMEM63B/CACNG3/TMEM63A/KCNK17/KCNH8/LRRC8C/TMEM38A/FAM155A/KCNJ15/ZACN/GLRA3/ORAI1/ANXA2/ABCC8/GLRA2/GRIK5/CHRNA5/CNGA3/KCNJ9/CDK5/GABRB3/SCN1A/RYR2/KCNK6/KCNJ6/KCNQ1/RHAG/KCNH6/KCND2/GRIK3/ITGAV/SCN8A/TMEM150C/GABRE/GRIA1/PIEZO1/CACNG2/KCNK3/TRPV4/CLCN4/TRPV2/KCNS2/ASIC2/TMEM63C/CLIC4/AQP1/KCNQ3/GABRB1/KCNB1/KCNK5/P2RX4/CACNB2/NCS1/GRIN3A/KCNA5/SLC26A7/FKBP1B/TMC8/CACNB1/SCN2B/TMEM37/P2RX5/TTYH2/GJA1/GRIN2A/GJB5/SCN7A/SLC26A6/CHRNA6/FAM155B/CACNG7/GRIN1/GLRB/GJC2/KCNC2/CLIC5/GJC3/ORAI3/P2RX6/KCNQ2/GJB4/STEAP1/CACNA1I/CLCN2/GJA5/KCNT2/CLCN5/HTR3C/SEC61A1/GRID1/KCNK9/AQP11/PTK2B/BCL2/KCNAB1/CACNA1A/KCNMA1/HCN1/P2RX7/PANX2/AQP7/CACNA1H/HCN3/LRRC55/SLC14A1/CACNA1G/KCNN1/ATP5F1B/BEST1/TRPM7/NALCN/CLCC1/CNGA1/PANX1/KCNAB3/KCNJ2/TOMM40L/PANX3/KCNJ5/GJB7/KCNMB2/SCN1B/ANXA9/CLIC6/CFTR/KCNIP3/MCOLN2/BEST4/KCNJ12/SCN4B/KCNJ4/KCNN2/SCN11A/CHRNA4/KCNE2/ANO7/ASIC3/GABRP/SLC24A2/ATP5PO/CATSPER2/ANO8/TMEM38B/CLDN4/GABRR1/MCOLN3/KCNA6/KCNMB3/GABRD/AQP6/SLC9C1/KCNF1/GABRG2/GABRA1/MCOLN1/KCND3/CACNA2D4/SLC24A3/ANO4/TRPC4/CLIC2",225
"GO:0005543","GO:0005543","phospholipid binding","228/7044","413/15349",7.44826142597649e-05,0.0119575528139508,0.010771373316645,"SHC1/DYSF/MAPT/SYT1/ANXA6/SYT7/RAPGEF6/ITPR3/GAP43/ANXA5/AMER3/SNX1/BSCL2/CPNE8/UNC13A/CAVIN2/SNX7/HS1BP3/ARAP3/RUBCNL/GSN/GSDMD/OSBPL10/SNAP91/ESYT1/FES/ITPR1/ANXA7/PCYT1A/PLD1/AMER2/SNX10/SYT2/CPNE2/ANXA4/ARAP2/TULP3/ANXA3/MTM1/ARL6/TLN1/CAPG/TRPV1/SYT11/WNT5A/PLTP/KCNH1/VILL/LDLRAP1/WDFY3/PXDC1/SYT13/SYT9/SYT4/IQGAP2/C2CD5/SMPD3/SGIP1/SNX32/SYT5/ANXA2/SNX2/MYO1E/SPTBN4/SNCA/GSDME/ABCG1/CCDC88A/PARD3B/BAIAP2L2/PLD2/SNX3/PLCB1/SPTBN2/KCNQ1/SGK3/CLVS2/SDCBP/EPB41/SNX8/ANXA11/PLEKHF2/RUBCN/RASA4B/PRKCI/ABCA1/PLA2G4A/PSD2/OSBPL8/SPTBN1/PSD/APOM/DOC2B/SH3YL1/IQGAP1/CPNE9/APOB/MICALL1/ARHGAP26/SYT6/ASAP1/MARK1/STAP1/VPS36/MAP1B/AGAP1/ARHGAP33/SMURF1/ARFIP1/VAMP2/ADAP1/PREX1/THBS1/AMPH/DENND1B/UCP1/GBF1/MYOF/CLINT1/DGKA/ARHGAP44/SNX30/SNX5/ZFYVE16/LAPTM4B/PIK3C2A/SYTL2/ZFYVE28/PLA2G4C/FCHO2/PCLO/CPNE4/SYT12/LPAR1/ING2/GLE1/MAP1LC3A/VEPH1/PIK3C2B/EXOC1/ARHGAP32/ADGRB1/TPP1/PITPNM1/OPHN1/SCARB2/MYO10/SNX33/GPR12/TEC/LPAR4/ARAP1/ANXA1/SNX27/FRMPD2/PLA2G15/FZD7/PARD3/ZCCHC2/GLTP/AIDA/SNX14/ANKFY1/PFN2/SNX22/RAPGEF2/PHLDA3/RPE65/MCF2L/PLEKHA3/NRGN/ARHGAP9/KCNJ2/ALOX15/PTAFR/CPS1/CPNE3/WIPI1/SNX24/SYTL4/TNFAIP8L3/SYTL5/THY1/PPT1/PLEKHA4/MME/ANXA9/GRB7/DPEP1/NR5A2/ATG2B/ATP8B1/PLEKHA5/F10/ZFYVE19/PAFAH2/FERMT2/CPNE7/APOC1/PIGK/SESTD1/TWF2/SYTL3/SLC9A1/JAG1/OSBPL1A/TTPAL/DOC2A/SNX9/BTK/GOLPH3L/ATP13A2/MFGE8/JPH2/PLA2G7/GOLPH3/C2CD2L/SEPTIN12/PLA2G5/APOE/UNC13B/PACSIN3/PLA2G4B/AVIL/RLBP1/AXL/TECPR1/PLCD1",228
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","43/7044","61/15349",8.62029573825199e-05,0.0119575528139508,0.010771373316645,"NRP1/FLT1/RET/KDR/TEK/TIE1/KIT/EPHA6/EPHB4/FGFR1/EFNA4/FLT4/NTRK3/NRP2/EPHA5/EPHA2/EPHA8/MERTK/TYRO3/INSR/NTRK1/EPHB2/CRIM1/ALK/EPHA10/MST1R/IGF2R/INSRR/FGFR4/NTRK2/EPHA3/LTK/EPHA4/EPHB1/PDGFRB/DDR2/EFNB3/FGFR3/DDR1/ROS1/MET/FGFR2/AXL",43
"GO:0022803","GO:0022803","passive transmembrane transporter activity","225/7044","408/15349",9.04021396032412e-05,0.0119575528139508,0.010771373316645,"CHRNB3/CNR1/CNGB1/SNAP25/SCN2A/P2RX3/TMC6/ANXA6/GRIK1/ANO5/ITPR3/GJA4/CACNA1E/CALHM5/GRIA4/SCN3A/CACNG4/KCNE3/KCNC1/UNC80/GABRA3/GPM6A/ASIC4/SHROOM2/KCNS3/KCNAB2/BAX/CHRNB2/KCNH7/ITPR1/KCNIP4/CHRNB4/SCN9A/SLC24A1/APOL1/SLC4A11/CACNB4/KCNB2/GJB3/KCNH2/TMEM109/HVCN1/CLIC1/GRIA2/KCNC4/CHRNA3/KCNMB1/KCNA2/HCN4/CACNA1D/TRPV1/ATP6V1A/CACNA2D1/TSPOAP1/ASIC1/KCNH1/GRIK2/ANO10/GRIA3/PKD1L1/AQP3/CACNA1B/SLC24A4/CACNB3/TMEM63B/CACNG3/TMEM63A/KCNK17/KCNH8/LRRC8C/TMEM38A/FAM155A/KCNJ15/ZACN/GLRA3/ORAI1/ANXA2/ABCC8/GLRA2/GRIK5/CHRNA5/CNGA3/KCNJ9/CDK5/GABRB3/SCN1A/RYR2/KCNK6/KCNJ6/KCNQ1/RHAG/KCNH6/KCND2/GRIK3/ITGAV/SCN8A/TMEM150C/GABRE/GRIA1/PIEZO1/CACNG2/KCNK3/TRPV4/CLCN4/TRPV2/KCNS2/ASIC2/TMEM63C/CLIC4/AQP1/KCNQ3/GABRB1/KCNB1/KCNK5/P2RX4/CACNB2/NCS1/GRIN3A/KCNA5/SLC26A7/FKBP1B/TMC8/CACNB1/SCN2B/TMEM37/P2RX5/TTYH2/GJA1/GRIN2A/GJB5/SCN7A/SLC26A6/CHRNA6/FAM155B/CACNG7/GRIN1/GLRB/GJC2/KCNC2/CLIC5/GJC3/ORAI3/P2RX6/KCNQ2/GJB4/STEAP1/CACNA1I/CLCN2/GJA5/KCNT2/CLCN5/HTR3C/SEC61A1/GRID1/KCNK9/AQP11/PTK2B/BCL2/KCNAB1/CACNA1A/KCNMA1/HCN1/P2RX7/PANX2/AQP7/CACNA1H/HCN3/LRRC55/SLC14A1/CACNA1G/KCNN1/ATP5F1B/BEST1/TRPM7/NALCN/CLCC1/CNGA1/PANX1/KCNAB3/KCNJ2/TOMM40L/PANX3/KCNJ5/GJB7/KCNMB2/SCN1B/ANXA9/CLIC6/CFTR/KCNIP3/MCOLN2/BEST4/KCNJ12/SCN4B/KCNJ4/KCNN2/SCN11A/CHRNA4/KCNE2/ANO7/ASIC3/GABRP/SLC24A2/ATP5PO/CATSPER2/ANO8/TMEM38B/CLDN4/GABRR1/MCOLN3/KCNA6/KCNMB3/GABRD/AQP6/SLC9C1/KCNF1/GABRG2/GABRA1/MCOLN1/KCND3/CACNA2D4/SLC24A3/ANO4/TRPC4/CLIC2",225
"GO:0005518","GO:0005518","collagen binding","44/7044","63/15349",0.000101608753146172,0.0119575528139508,0.010771373316645,"FN1/ADGRG1/CTSL/ITGA9/NID2/SPARC/CD44/VWF/SPARCL1/PDGFB/ITGA10/CRTAP/COCH/COL6A1/ITGB1/NID1/CTSK/PPIB/MMP9/ITGA2/ACHE/SMAD3/P3H4/TGFBI/THBS1/RELL2/ITGA3/ITGA1/PCOLCE/CCBE1/LOX/MRC2/PCOLCE2/DDR2/DDR1/COL6A2/ECM2/COL14A1/P3H1/CTSS/USH2A/PODN/CTSB/SERPINH1",44
"GO:0042277","GO:0042277","peptide binding","153/7044","267/15349",0.00010516757092305,0.0119575528139508,0.010771373316645,"FZD4/CALCRL/SLC40A1/GLP1R/MGST2/PRNP/GPR22/HSPG2/HLA-E/MAPK8IP2/GRIA4/ECE1/RAMP2/RXRA/KDELR3/NPR1/GRIA2/TGFB2/GRIA3/LDLRAP1/ATP1A3/CACNA1B/HLA-DPA1/NPFFR2/LANCL1/GSTM3/PPIC/ITM2A/FBXO2/TAPBP/HLA-DRB1/HLA-DRB5/APBA1/ANPEP/APBB1/FURIN/NLGN1/HLA-B/BACE1/NPR2/EDNRB/TRGV3/HLA-DQB1/IDE/PGGT1B/KPNA5/INSR/GPR1/PCSK5/GRIA1/CD74/FOLH1/LRP8/PPIB/PPIH/COL25A1/GPRASP2/CRHBP/ITGA2/GSTP1/TLR4/LRP1/ARMCX5-GPRASP2/ACHE/SEC61A2/HCRTR2/HLA-C/EPHB2/RANBP6/EBI3/BCHE/NPR3/ERAP1/OPRK1/GRIN2A/NGFR/CLTB/TAP1/GRIN1/HLA-DPB1/GALR1/LDLR/PPIE/MGST1/ANG/APBA2/RAMP1/HLA-G/NUP214/PPWD1/LRPAP1/PEX5L/SSTR2/PEX5/PTGES2/SEC61A1/PPIG/TPP1/CD36/HLA-A/CALR/CACNA1A/POM121L2/TOMM20L/KPNB1/DLGAP3/TRGV9/TOMM70/EPHA4/PPP3CA/ACVR1/LNPEP/GHRHR/CST3/HLA-F/TOMM20/PTH1R/CD1D/TOMM40L/TM2D1/KPNA4/PGRMC1/CLSTN1/ITM2C/MCHR1/MME/SORL1/AVPR1A/RELA/PPIF/GSTM4/CRHR1/MMACHC/NPEPPS/ADCYAP1R1/VIPR2/KDELR1/TRHDE/CRHR2/CRHR1/PPIAL4E/RAMP3/IPO5/C2CD2L/CAT/APOE/BRAP/ITGB2/GNRHR/PEX7/NLN/DHCR24/APBB3",153
