"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022836","GO:0022836","gated channel activity","18/175","294/15349",7.17922372752157e-09,2.48401140972246e-06,2.11598173021688e-06,"P2RX3/CNR1/SNAP25/SCN2A/CHRNA1/CHRNB3/TTYH2/KCNMB1/SCN7A/CACNG3/GRIA2/CNGB1/KCNC1/KCNH1/GABRB1/KCNJ9/CHRNA4/ASIC1",18
"GO:0005261","GO:0005261","cation channel activity","17/175","292/15349",4.0283824609905e-08,3.47358706581014e-06,2.95894243512881e-06,"P2RX3/CNR1/SNAP25/SCN2A/CHRNA1/CHRNB3/KCNMB1/SCN7A/CACNG3/GRIA2/CNGB1/GPM6A/KCNC1/KCNH1/KCNJ9/CHRNA4/ASIC1",17
"GO:0015267","GO:0015267","channel activity","20/175","407/15349",4.13034147468867e-08,3.47358706581014e-06,2.95894243512881e-06,"P2RX3/CNR1/SNAP25/SCN2A/CHRNA1/CHRNB3/TTYH2/KCNMB1/SCN7A/CACNG3/GRIA2/CNGB1/GPM6A/KCNC1/KCNH1/GABRB1/KCNJ9/CHRNA4/GJB3/ASIC1",20
"GO:0022803","GO:0022803","passive transmembrane transporter activity","20/175","408/15349",4.30084176241173e-08,3.47358706581014e-06,2.95894243512881e-06,"P2RX3/CNR1/SNAP25/SCN2A/CHRNA1/CHRNB3/TTYH2/KCNMB1/SCN7A/CACNG3/GRIA2/CNGB1/GPM6A/KCNC1/KCNH1/GABRB1/KCNJ9/CHRNA4/GJB3/ASIC1",20
"GO:0005216","GO:0005216","ion channel activity","19/175","372/15349",5.01963448816495e-08,3.47358706581014e-06,2.95894243512881e-06,"P2RX3/CNR1/SNAP25/SCN2A/CHRNA1/CHRNB3/TTYH2/KCNMB1/SCN7A/CACNG3/GRIA2/CNGB1/GPM6A/KCNC1/KCNH1/GABRB1/KCNJ9/CHRNA4/ASIC1",19
"GO:0017075","GO:0017075","syntaxin-1 binding","5/175","25/15349",8.03485467454485e-06,0.000463343286232087,0.000394694615591677,"SYT4/SNAP25/CPLX2/SYP/CPLX1",5
"GO:0015276","GO:0015276","ligand-gated ion channel activity","9/175","122/15349",1.07157444374583e-05,0.00046345594692007,0.000394790584537936,"P2RX3/CHRNA1/CHRNB3/GRIA2/CNGB1/GABRB1/KCNJ9/CHRNA4/ASIC1",9
"GO:0022834","GO:0022834","ligand-gated channel activity","9/175","122/15349",1.07157444374583e-05,0.00046345594692007,0.000394790584537936,"P2RX3/CHRNA1/CHRNB3/GRIA2/CNGB1/GABRB1/KCNJ9/CHRNA4/ASIC1",9
"GO:0099094","GO:0099094","ligand-gated cation channel activity","8/175","97/15349",1.48326326886989e-05,0.000570232323365535,0.000485747035419379,"P2RX3/CHRNA1/CHRNB3/GRIA2/CNGB1/KCNJ9/CHRNA4/ASIC1",8
"GO:0005326","GO:0005326","neurotransmitter transmembrane transporter activity","4/175","17/15349",3.46042023351171e-05,0.00119730540079505,0.0010199133319824,"SLC17A6/SLC17A7/SLC18A3/CPLX1",4
"GO:0005230","GO:0005230","extracellular ligand-gated ion channel activity","6/175","65/15349",9.53933077472405e-05,0.00300055313459502,0.00255599293485429,"P2RX3/CHRNA1/CHRNB3/GRIA2/GABRB1/CHRNA4",6
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","14/175","378/15349",0.000111569351398501,0.00321691629865679,0.00274029985891056,"CNR1/SNAP25/SCN2A/ATP1A3/SLC17A7/KCNMB1/SCN7A/ATP2B3/CACNG3/GPM6A/KCNC1/KCNH1/KCNJ9/ASIC1",14
"GO:0042056","GO:0042056","chemoattractant activity","4/175","25/15349",0.000171276775718993,0.00450703431040656,0.00383927473962226,"SCG2/GDNF/CXCL10/LGALS3",4
"GO:0019905","GO:0019905","syntaxin binding","6/175","73/15349",0.000182365550132057,0.00450703431040656,0.00383927473962226,"SYT4/SNAP25/CPLX2/SYP/SYT7/CPLX1",6
"GO:0005231","GO:0005231","excitatory extracellular ligand-gated ion channel activity","4/175","27/15349",0.000233432971386794,0.00509056182213279,0.00433634715606079,"P2RX3/CHRNA1/CHRNB3/CHRNA4",4
"GO:0000149","GO:0000149","SNARE binding","7/175","108/15349",0.000235401702757586,0.00509056182213279,0.00433634715606079,"SYT4/SNAP25/CPLX2/SNAP91/SYP/SYT7/CPLX1",7
"GO:0042166","GO:0042166","acetylcholine binding","3/175","12/15349",0.000297148620697963,0.00604784839773501,0.00515180271179131,"CHRNA1/CHRNB3/CHRNA4",3
"GO:0022824","GO:0022824","transmitter-gated ion channel activity","5/175","53/15349",0.000335363542932352,0.00610714662392598,0.00520231534742706,"CHRNA1/CHRNB3/GRIA2/GABRB1/CHRNA4",5
"GO:0022835","GO:0022835","transmitter-gated channel activity","5/175","53/15349",0.000335363542932352,0.00610714662392598,0.00520231534742706,"CHRNA1/CHRNB3/GRIA2/GABRB1/CHRNA4",5
"GO:0022848","GO:0022848","acetylcholine-gated cation-selective channel activity","3/175","16/15349",0.000731399563207306,0.0111916609032163,0.00953351096106047,"CHRNA1/CHRNB3/CHRNA4",3
"GO:0042165","GO:0042165","neurotransmitter binding","3/175","16/15349",0.000731399563207306,0.0111916609032163,0.00953351096106047,"CHRNA1/CHRNB3/CHRNA4",3
"GO:0005244","GO:0005244","voltage-gated ion channel activity","8/175","170/15349",0.00074395433749704,0.0111916609032163,0.00953351096106047,"CNR1/SNAP25/SCN2A/SCN7A/CACNG3/KCNC1/KCNH1/KCNJ9",8
"GO:0022832","GO:0022832","voltage-gated channel activity","8/175","170/15349",0.00074395433749704,0.0111916609032163,0.00953351096106047,"CNR1/SNAP25/SCN2A/SCN7A/CACNG3/KCNC1/KCNH1/KCNJ9",8
"GO:1904315","GO:1904315","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","4/175","40/15349",0.00108321663580854,0.0156163731662397,0.013302660439754,"CHRNA1/CHRNB3/GABRB1/CHRNA4",4
"GO:0099529","GO:0099529","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","4/175","42/15349",0.00130340875560218,0.0180391771775342,0.0153665032239415,"CHRNA1/CHRNB3/GABRB1/CHRNA4",4
"GO:0015464","GO:0015464","acetylcholine receptor activity","3/175","22/15349",0.00191279840359498,0.0254549326016871,0.0216835446561375,"CHRNA1/CHRNB3/CHRNA4",3
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","5/175","82/15349",0.00244598470630856,0.0313448410512134,0.0267008077101909,"ACTL6B/EPB41L3/INA/NEFM/NEFL",5
"GO:0022843","GO:0022843","voltage-gated cation channel activity","6/175","122/15349",0.00273920956387914,0.0338488038965065,0.0288337848829383,"CNR1/SNAP25/CACNG3/KCNC1/KCNH1/KCNJ9",6
"GO:0030594","GO:0030594","neurotransmitter receptor activity","5/175","87/15349",0.00316496560199356,0.0369744481841649,0.0314963355386863,"CHRNA1/CHRNB3/GRIA2/GABRB1/CHRNA4",5
"GO:0048018","GO:0048018","receptor ligand activity","10/175","314/15349",0.00326485214148794,0.0369744481841649,0.0314963355386863,"SCG2/SST/GDNF/FGF14/CHGB/FNDC5/BMP3/PENK/CXCL10/LGALS3",10
"GO:0098960","GO:0098960","postsynaptic neurotransmitter receptor activity","4/175","54/15349",0.00331273957719397,0.0369744481841649,0.0314963355386863,"CHRNA1/CHRNB3/GABRB1/CHRNA4",4
"GO:0030546","GO:0030546","signaling receptor activator activity","10/175","320/15349",0.00373271931151372,0.0403600275557421,0.0343803094481527,"SCG2/SST/GDNF/FGF14/CHGB/FNDC5/BMP3/PENK/CXCL10/LGALS3",10
"GO:0015079","GO:0015079","potassium ion transmembrane transporter activity","6/175","132/15349",0.00404310358672748,0.0423913285153851,0.036110654044137,"SNAP25/ATP1A3/KCNMB1/KCNC1/KCNH1/KCNJ9",6
