"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015267","GO:0015267","channel activity","239/7332","407/15349",4.57087837124271e-06,0.00229284681839036,0.0020799638947407,"P2RX3/CNR1/SNAP25/CHRNB3/GRIK1/GPM6A/ASIC4/SCN3A/CACNA1E/KCNIP4/GRIA4/ASIC1/GJA4/CHRNB4/GRIA2/KCNH1/KCNE3/CHRNA3/ANO5/CACNA1B/TMC6/KCNB2/CACNG4/ITPR3/GRIK2/KCNS3/CNGB1/TTYH2/GRIA1/KCNH7/CACNG3/KCNJ6/ATP6V1A/HCN4/SCN2A/APOL1/ITGAV/CACNA2D1/ANXA6/PKD1L1/SLC24A4/GRIK3/ZACN/KCNA2/TMEM109/CALHM5/RYR2/CHRNB2/KCNAB2/KCNH8/SHROOM2/ITPR1/CLCN4/KCNH2/ANXA2/CLIC1/CACNA1D/GABRA3/BAX/TMEM63A/KCNK17/CHRNA5/TRPV2/GJA1/CACNB4/KCNC1/UNC80/CACNB3/GRIA3/KCNS2/TMEM63B/CDK5/LRRC8C/KCNC4/TSPOAP1/HVCN1/KCNK3/SLC4A11/GABRB3/KCNJ9/GABRB1/ABCC8/CHRNA1/TMEM38A/SCN9A/KCNJ15/SLC24A1/ORAI1/GLRA3/GJB3/CHRNA4/CACNG2/TOMM40L/AQP3/FKBP1B/FAM155A/CACNB1/KCNMB3/GABRE/GLRB/KCNH6/GRIK5/NCS1/CNGA3/KCNK6/SLC26A7/GLRA2/TRPV4/GRIN3A/RHAG/TMEM150C/TMEM37/CLIC4/GJB5/P2RX5/KCNQ1/CLCN5/GJC2/TMEM120A/PIEZO1/CLIC5/TMC8/CLDN4/TMEM63C/TRPV1/SCN1A/PANX2/GJC3/TRPC4/ORAI3/VDAC3/KCNK5/SCN2B/KCNQ3/HCN3/STEAP1/GRIN2A/GRIN1/P2RX6/ANO10/LRRC55/KCNAB1/FAM155B/GJC1/BEST1/KCNMB1/OTOP3/KCNJ2/GABRP/ATP5F1B/KCNC2/CACNA1I/KCNE2/KCNJ13/NALCN/KCNA5/SCN5A/CLCN3/SLC26A6/SCN8A/CHRNB1/KCNAB3/GRID1/CHRNA6/BCL2/KCNT2/SEC61A1/GJA5/HTR3C/P2RX4/MCOLN2/ANO1/AQP1/CFTR/HCN1/ASIC2/TMEM175/SLC24A3/AQP11/KCNMB2/AQP7/TMEM38B/GABRR1/ANO7/KCND2/KCNK1/AQP10/ANO4/ATP5PF/ATP5PO/P2RX1/GJD2/KCNB1/KCNA3/ANXA9/KCNIP3/SLC24A2/PRF1/SCN4B/CACNG7/ASIC3/HTR3B/CACNA1G/CLIC6/GJB4/PKD2L1/CACNA1F/KCNJ3/KCNE1/CACHD1/CLCNKB/CACNB2/PANX3/KCNQ2/KCNJ5/CATSPER2/CYBB/PANX1/P2RX7/CACNG5/TTYH1/PTK2B/AQP6/SCNN1D/CLCA2/CHRNA9/ATP6V0C/KCNK9/KCNU1/PKD2L2/SLC24A5/MCOLN1/CNGA4/BEST4/SLC14A1/TRPC3/CACNA1A/KCNJ11/SCN11A",239
"GO:0022803","GO:0022803","passive transmembrane transporter activity","239/7332","408/15349",5.85349819904384e-06,0.00229284681839036,0.0020799638947407,"P2RX3/CNR1/SNAP25/CHRNB3/GRIK1/GPM6A/ASIC4/SCN3A/CACNA1E/KCNIP4/GRIA4/ASIC1/GJA4/CHRNB4/GRIA2/KCNH1/KCNE3/CHRNA3/ANO5/CACNA1B/TMC6/KCNB2/CACNG4/ITPR3/GRIK2/KCNS3/CNGB1/TTYH2/GRIA1/KCNH7/CACNG3/KCNJ6/ATP6V1A/HCN4/SCN2A/APOL1/ITGAV/CACNA2D1/ANXA6/PKD1L1/SLC24A4/GRIK3/ZACN/KCNA2/TMEM109/CALHM5/RYR2/CHRNB2/KCNAB2/KCNH8/SHROOM2/ITPR1/CLCN4/KCNH2/ANXA2/CLIC1/CACNA1D/GABRA3/BAX/TMEM63A/KCNK17/CHRNA5/TRPV2/GJA1/CACNB4/KCNC1/UNC80/CACNB3/GRIA3/KCNS2/TMEM63B/CDK5/LRRC8C/KCNC4/TSPOAP1/HVCN1/KCNK3/SLC4A11/GABRB3/KCNJ9/GABRB1/ABCC8/CHRNA1/TMEM38A/SCN9A/KCNJ15/SLC24A1/ORAI1/GLRA3/GJB3/CHRNA4/CACNG2/TOMM40L/AQP3/FKBP1B/FAM155A/CACNB1/KCNMB3/GABRE/GLRB/KCNH6/GRIK5/NCS1/CNGA3/KCNK6/SLC26A7/GLRA2/TRPV4/GRIN3A/RHAG/TMEM150C/TMEM37/CLIC4/GJB5/P2RX5/KCNQ1/CLCN5/GJC2/TMEM120A/PIEZO1/CLIC5/TMC8/CLDN4/TMEM63C/TRPV1/SCN1A/PANX2/GJC3/TRPC4/ORAI3/VDAC3/KCNK5/SCN2B/KCNQ3/HCN3/STEAP1/GRIN2A/GRIN1/P2RX6/ANO10/LRRC55/KCNAB1/FAM155B/GJC1/BEST1/KCNMB1/OTOP3/KCNJ2/GABRP/ATP5F1B/KCNC2/CACNA1I/KCNE2/KCNJ13/NALCN/KCNA5/SCN5A/CLCN3/SLC26A6/SCN8A/CHRNB1/KCNAB3/GRID1/CHRNA6/BCL2/KCNT2/SEC61A1/GJA5/HTR3C/P2RX4/MCOLN2/ANO1/AQP1/CFTR/HCN1/ASIC2/TMEM175/SLC24A3/AQP11/KCNMB2/AQP7/TMEM38B/GABRR1/ANO7/KCND2/KCNK1/AQP10/ANO4/ATP5PF/ATP5PO/P2RX1/GJD2/KCNB1/KCNA3/ANXA9/KCNIP3/SLC24A2/PRF1/SCN4B/CACNG7/ASIC3/HTR3B/CACNA1G/CLIC6/GJB4/PKD2L1/CACNA1F/KCNJ3/KCNE1/CACHD1/CLCNKB/CACNB2/PANX3/KCNQ2/KCNJ5/CATSPER2/CYBB/PANX1/P2RX7/CACNG5/TTYH1/PTK2B/AQP6/SCNN1D/CLCA2/CHRNA9/ATP6V0C/KCNK9/KCNU1/PKD2L2/SLC24A5/MCOLN1/CNGA4/BEST4/SLC14A1/TRPC3/CACNA1A/KCNJ11/SCN11A",239
"GO:0022836","GO:0022836","gated channel activity","178/7332","294/15349",6.05505321758017e-06,0.00229284681839036,0.0020799638947407,"P2RX3/CNR1/SNAP25/CHRNB3/GRIK1/ASIC4/SCN3A/CACNA1E/KCNIP4/GRIA4/ASIC1/CHRNB4/GRIA2/KCNH1/KCNE3/CHRNA3/ANO5/CACNA1B/TMC6/KCNB2/CACNG4/ITPR3/GRIK2/KCNS3/CNGB1/TTYH2/GRIA1/KCNH7/CACNG3/KCNJ6/HCN4/SCN2A/ITGAV/CACNA2D1/ANXA6/GRIK3/ZACN/KCNA2/TMEM109/RYR2/CHRNB2/KCNAB2/KCNH8/SHROOM2/ITPR1/CLCN4/KCNH2/CLIC1/CACNA1D/GABRA3/TMEM63A/KCNK17/CHRNA5/CACNB4/KCNC1/CACNB3/GRIA3/KCNS2/TMEM63B/CDK5/KCNC4/TSPOAP1/HVCN1/KCNK3/GABRB3/KCNJ9/GABRB1/ABCC8/CHRNA1/SCN9A/KCNJ15/GLRA3/CHRNA4/CACNG2/FKBP1B/FAM155A/CACNB1/KCNMB3/GABRE/GLRB/KCNH6/GRIK5/NCS1/CNGA3/KCNK6/GLRA2/TRPV4/GRIN3A/TMEM150C/TMEM37/CLIC4/P2RX5/KCNQ1/CLCN5/PIEZO1/CLIC5/TMC8/TMEM63C/TRPV1/SCN1A/VDAC3/KCNK5/SCN2B/KCNQ3/HCN3/GRIN2A/GRIN1/P2RX6/ANO10/LRRC55/KCNAB1/FAM155B/KCNMB1/KCNJ2/GABRP/KCNC2/CACNA1I/KCNE2/KCNJ13/NALCN/KCNA5/SCN5A/CLCN3/SCN8A/CHRNB1/KCNAB3/GRID1/CHRNA6/KCNT2/HTR3C/P2RX4/MCOLN2/ANO1/AQP1/CFTR/HCN1/ASIC2/KCNMB2/GABRR1/ANO7/KCND2/KCNK1/ANO4/P2RX1/KCNB1/KCNA3/KCNIP3/SCN4B/CACNG7/ASIC3/HTR3B/CACNA1G/CLIC6/PKD2L1/CACNA1F/KCNJ3/KCNE1/CACHD1/CLCNKB/CACNB2/KCNQ2/KCNJ5/CATSPER2/CYBB/P2RX7/CACNG5/TTYH1/PTK2B/SCNN1D/CLCA2/CHRNA9/KCNK9/KCNU1/MCOLN1/CNGA4/CACNA1A/KCNJ11/SCN11A",178
"GO:0005539","GO:0005539","glycosaminoglycan binding","119/7332","187/15349",8.10578174235644e-06,0.00230204201482923,0.00208830534888604,"NRP1/BMP4/SULF2/NCAN/FN1/CFH/LXN/FGF9/TGFBR2/RTN4RL1/FGFR1/EVA1C/ADGRG1/PRNP/NOD1/SPOCK2/APLP1/STAB1/BGN/ANXA6/NDNF/EFEMP2/CD44/TGFBR3/THBS1/HYAL2/COL11A1/PGLYRP4/ADA2/NRP2/SLIT2/SFRP1/BCAN/CCDC80/FGF2/PF4/FBN1/SELP/CXCL10/LPL/HK1/GREM2/SOST/LIPG/RPL22/PCOLCE/CCN2/LRTM2/ADAMTS15/SULF1/LAYN/FSTL1/NELL1/PGLYRP3/PTPRS/HAPLN3/HAPLN1/SLIT3/DPYSL3/HMMR/VIT/TMEM184A/SERPINE2/ANG/CCN1/ANOS1/SLIT1/LRPAP1/THBS3/ENG/FGFR4/TENM1/COL25A1/PTN/APOB/FGFRL1/SEMA5A/ADAMTS1/SELL/CCL8/FGFR2/PAFAH1B1/AOC1/ECM2/TNXB/RPL29/PRELP/STAB2/IMPG2/LIPH/VTN/FGF10/ADAMTS5/THBS2/COL5A1/BMP7/MDK/HBEGF/VCAN/HDGF/VEGFA/APOE/CXCL6/SUSD5/NELL2/TNFAIP6/FGFBP3/MMP7/SPOCK3/FBLN7/PCOLCE2/FGF7/ADAMTS3/AGRN/AZU1/CTSG/RSPO2/COLQ/PGF",119
"GO:0003779","GO:0003779","actin binding","236/7332","406/15349",1.41500219911347e-05,0.00279621770205302,0.0025365985269736,"MAPT/LIMCH1/AFAP1/EPB41L3/DMTN/GBP1/MAP1A/TPM2/XIRP2/CAMK2B/GMFG/FGD4/MSN/FLNB/CORO1A/TNNT2/ADD2/LDB3/PDLIM1/FXYD5/EPS8L1/SHANK3/DIAPH2/ADD3/UTRN/CALD1/HCLS1/HPCA/VASH2/FMNL3/KLHL3/IMPACT/CDK5R1/MYO5A/PDLIM5/CAPG/GSN/CNN2/MICAL1/SMTN/ANXA6/SNCA/DMD/FHL3/NCALD/MYO1E/SHROOM2/DIAPH3/PLS3/PHACTR2/VCL/DST/TPM3/S100A4/ABL2/EPB41L2/SPTBN4/LCP1/EVL/CTNNA2/SNTG1/HDAC6/AIF1/PPP1R18/RCSD1/NEXN/MYL4/IQGAP2/SPTBN2/WASF2/SYNE1/PAWR/CCDC88A/AIF1L/AJUBA/ITGB1/CTNNA1/DIXDC1/TLN1/CEACAM1/TMSB15B/PDLIM2/NOS3/MYH9/SHROOM3/ARPC1B/CNN1/FAM107A/MYO5C/MAP1B/FHOD1/HOMER2/KLHL5/PARVA/TNNC1/MYH6/MYO10/PHACTR3/DAAM2/SAMD14/CYFIP1/SPTA1/CORO6/VILL/INPPL1/WIPF1/TPM1/ANLN/ABLIM1/CTNNAL1/MYO1C/TRPV4/ABLIM3/ABLIM2/EPB41/TMSB15B/ACTN1/FMNL1/LIMA1/VPS16/MYRIP/CDK5R2/IQGAP3/MYH15/SHROOM4/KIF18A/INF2/WDR1/ABITRAM/WIPF3/SNTB1/MYLK/CTTN/MYOZ3/MYO3A/TAGLN/MYO7A/CORO2A/MYO1H/ANG/GAS2L1/SYN1/IQGAP1/CAPZB/LASP1/CFL2/SPTAN1/MYO3B/EPB41L1/MACO1/MICAL2/MYH11/PSTPIP2/TMOD2/MYH2/MYO18A/MYOZ2/BAIAP2L1/PTK2/CORO1C/EZR/MYO16/ACTR3C/SPIRE2/DIAPH1/SPTBN1/HOOK1/USH1C/TPM4/GCSAM/CAMSAP3/TMOD3/COBLL1/SYNPO/GAS2L2/MICAL3/DAAM1/OPHN1/PFN2/MED28/PSTPIP1/KLHL4/PRKN/CGN/ACTN4/EEF2/GAS2/TNNI1/PARVB/MYH7/PICK1/WHAMM/FERMT2/CNN3/VASP/MYH10/ZNF185/NEBL/WASF1/LRRK2/MYL3/JMY/PDLIM3/PALLD/PRICKLE4/RDX/CXCR4/CACNB2/IPP/ERMN/MYO9A/PANX1/SSH3/KLHL1/MYOM1/TNNI3/PDLIM4/LMOD1/RAI14/DAG1/KLHL17/ACTN3/TLN2/PXK/FBXO25/GAS2L3/MTSS1/VIL1/TWF2/CTNNA3/ESPN/MTSS2/INO80/MLPH/MARCKSL1/MARCKS",236
"GO:0008201","GO:0008201","heparin binding","89/7332","135/15349",1.47687554685899e-05,0.00279621770205302,0.0025365985269736,"NRP1/BMP4/FN1/CFH/LXN/FGF9/RTN4RL1/FGFR1/EVA1C/ADGRG1/APLP1/NDNF/EFEMP2/TGFBR3/THBS1/COL11A1/ADA2/NRP2/SLIT2/SFRP1/CCDC80/FGF2/PF4/FBN1/SELP/CXCL10/LPL/GREM2/SOST/LIPG/RPL22/PCOLCE/CCN2/LRTM2/ADAMTS15/FSTL1/NELL1/PTPRS/SLIT3/TMEM184A/SERPINE2/ANG/CCN1/ANOS1/SLIT1/LRPAP1/THBS3/FGFR4/TENM1/COL25A1/PTN/APOB/FGFRL1/ADAMTS1/SELL/CCL8/FGFR2/PAFAH1B1/AOC1/ECM2/TNXB/RPL29/PRELP/IMPG2/LIPH/VTN/FGF10/ADAMTS5/THBS2/COL5A1/BMP7/MDK/HBEGF/HDGF/VEGFA/APOE/CXCL6/NELL2/FGFBP3/MMP7/FBLN7/PCOLCE2/FGF7/ADAMTS3/AZU1/CTSG/RSPO2/COLQ/PGF",89
"GO:0005201","GO:0005201","extracellular matrix structural constituent","96/7332","148/15349",1.90481667144834e-05,0.00309124534109331,0.00280423386668861,"FN1/MMRN2/ECM1/COL4A1/COL4A2/LAMC1/COL1A2/THSD4/EDIL3/SPARC/COL5A2/VWF/BGN/EFEMP2/CRELD1/OIT3/THBS1/COL11A1/MFAP4/HSPG2/LAMA4/COL4A5/LAMB2/LAMB1/NID2/CD4/MFGE8/ZP2/COL7A1/MATN2/FBN1/COL6A1/MFAP2/FBN2/TNC/MMRN1/COL4A6/PCOLCE/COL15A1/NID1/COL6A3/FBLN1/COL8A1/COL23A1/LTBP1/SRPX/COL18A1/HAPLN1/COL22A1/HMCN1/COL1A1/CCN1/MXRA5/ANOS1/THBS3/COL11A2/LAMA5/COL25A1/AEBP1/COL9A2/COL2A1/OPTC/COL27A1/TGFBI/CHI3L1/COL17A1/ZP3/SBSPON/COL12A1/FGB/PODN/TNXB/FRAS1/PRELP/IMPG2/VTN/ELN/COL6A2/THBS2/COL5A1/LAMB4/VCAN/LAMA1/LAMA2/MUC6/COL14A1/FBLN2/HMCN2/COL16A1/COL3A1/COL24A1/FBN3/IGFBP7/AGRN/MFAP5/COLQ",96
"GO:0005261","GO:0005261","cation channel activity","174/7332","292/15349",2.81658920080485e-05,0.00399955666514288,0.0036282116152473,"P2RX3/CNR1/SNAP25/CHRNB3/GRIK1/GPM6A/ASIC4/SCN3A/CACNA1E/KCNIP4/GRIA4/ASIC1/CHRNB4/GRIA2/KCNH1/KCNE3/CHRNA3/CACNA1B/KCNB2/CACNG4/ITPR3/GRIK2/KCNS3/CNGB1/GRIA1/KCNH7/CACNG3/KCNJ6/ATP6V1A/HCN4/SCN2A/ITGAV/CACNA2D1/ANXA6/PKD1L1/SLC24A4/GRIK3/KCNA2/CALHM5/RYR2/CHRNB2/KCNAB2/KCNH8/SHROOM2/ITPR1/KCNH2/ANXA2/CACNA1D/TMEM63A/KCNK17/CHRNA5/TRPV2/CACNB4/KCNC1/UNC80/CACNB3/GRIA3/KCNS2/TMEM63B/CDK5/KCNC4/TSPOAP1/HVCN1/KCNK3/SLC4A11/KCNJ9/ABCC8/CHRNA1/TMEM38A/SCN9A/KCNJ15/SLC24A1/ORAI1/CHRNA4/CACNG2/FKBP1B/FAM155A/CACNB1/KCNMB3/KCNH6/GRIK5/NCS1/CNGA3/KCNK6/TRPV4/GRIN3A/TMEM37/P2RX5/KCNQ1/PIEZO1/TMEM63C/TRPV1/SCN1A/TRPC4/ORAI3/KCNK5/SCN2B/KCNQ3/HCN3/GRIN2A/GRIN1/P2RX6/ANO10/LRRC55/KCNAB1/FAM155B/KCNMB1/OTOP3/KCNJ2/ATP5F1B/KCNC2/CACNA1I/KCNE2/KCNJ13/NALCN/KCNA5/SCN5A/SCN8A/CHRNB1/KCNAB3/CHRNA6/KCNT2/SEC61A1/HTR3C/P2RX4/MCOLN2/ANO1/AQP1/HCN1/ASIC2/TMEM175/SLC24A3/KCNMB2/TMEM38B/KCND2/KCNK1/ATP5PF/ATP5PO/P2RX1/KCNB1/KCNA3/ANXA9/KCNIP3/SLC24A2/SCN4B/CACNG7/ASIC3/HTR3B/CACNA1G/PKD2L1/CACNA1F/KCNJ3/KCNE1/CACHD1/CACNB2/KCNQ2/KCNJ5/CATSPER2/PANX1/P2RX7/CACNG5/PTK2B/SCNN1D/CHRNA9/ATP6V0C/KCNK9/PKD2L2/SLC24A5/MCOLN1/CNGA4/TRPC3/CACNA1A/KCNJ11/SCN11A",174
"GO:0030165","GO:0030165","PDZ domain binding","55/7332","79/15349",6.73360236921439e-05,0.00849930254603061,0.00771017160170864,"FZD4/KIDINS220/ATP2B3/F11R/LNX1/ACVR2A/USHBP1/GNG12/GRIK2/ATP2B2/GRIA1/CACNG3/GNG5/TGFBR3/NSF/GJA1/ARHGAP29/LPAR1/NLGN1/FZD7/CADM1/SSTR2/KIF14/PLEKHA1/LLGL2/GRIK5/TMEM88/PDZK1/ATP2B4/CRIM1/NKD1/LIN7B/SNTB1/RAPGEF2/LIN7C/CXADR/FZD2/CXXC4/ADGRB1/CLCN3/SLC26A6/DLG4/ADAM17/CFTR/ATP2B1/PRKN/FZD8/TAMALIN/ERC1/LNX2/SLC22A5/CIT/SLC9A3/FZD3/TBC1D10A",55
"GO:0019838","GO:0019838","growth factor binding","81/7332","125/15349",8.73325297691263e-05,0.00992097538177274,0.00899984701515522,"IGFBP4/NRP1/SHC1/IGFBPL1/CD109/FLT1/ACVR2A/TGFBR2/COL4A1/IGFBP2/NTRK1/NTRK3/FGFR1/COL1A2/TEK/RPS19/KDR/PDGFB/ITGAV/TGFBR3/THBS1/TGFB3/HYAL2/FIBP/FLT4/NRP2/IGFBP3/LRRC32/IGFBP1/ACVRL1/COL6A1/RHBDF1/GPC1/IGFBP6/CCN2/IGF2R/ACVR1B/RHBDF2/LTBP1/IL6ST/CRIM1/PDGFRB/IGFBP5/COL1A1/INSR/CCN1/ENG/FGFR4/A2M/KAZALD1/ITGA6/IL2RB/PTN/LRP2/FURIN/FGFR3/COL2A1/OSMR/SCN5A/NRROS/FGFRL1/FSTL4/FGFR2/RPS2/NTRK2/COL5A1/HTRA1/IL6R/ERBB3/ACVR2B/FGFBP3/IL2RG/WFIKKN1/PDGFA/WFIKKN2/COL3A1/S100A13/IL11RA/KL/IGFBP7/NGFR",81
