"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022836","GO:0022836","gated channel activity","176/6937","294/15349",2.41589085301131e-07,0.000274445200902085,0.000253541387416029,"P2RX3/CNR1/SNAP25/CHRNB3/CACNA1E/GRIK1/ASIC4/SCN3A/KCNIP4/CHRNB4/GRIA2/ASIC1/GRIA4/KCNH1/TMC6/ANO5/CHRNA3/CACNA1B/KCNE3/CACNG3/TTYH2/ITPR3/KCNB2/CNGB1/GRIK2/CACNA1D/CACNG4/KCNJ6/KCNS3/SCN2A/ITPR1/KCNH7/KCNAB2/HCN4/KCNA2/GABRA3/SHROOM2/GRIK3/CACNA2D1/KCNK17/KCNH8/KCNH2/TMEM63B/ANXA6/KCNJ15/CLCN4/CHRNB2/ITGAV/CHRNA5/TMEM63A/GABRB1/TSPOAP1/GRIA1/KCNC1/TMEM109/ZACN/CLIC1/GABRE/CHRNA1/CACNB4/SCN9A/KCNJ9/KCNK3/ABCC8/RYR2/GRIA3/KCNS2/CACNB3/TMC8/CDK5/GRIK5/FKBP1B/HVCN1/GLRA2/FAM155A/GRIN3A/CHRNA4/KCNC4/GLRB/GLRA3/CACNB1/GABRB3/NCS1/SCN1A/CNGA3/CACNG2/KCNQ1/TMEM63C/TMEM37/P2RX5/CACNA1I/GRIN2A/KCNQ3/TMEM150C/KCNH6/PIEZO1/HCN3/TRPV1/SCN2B/CLCN5/ANO10/KCNA5/CHRNB1/CLIC4/NALCN/LRRC55/FAM155B/SCN8A/GABRP/KCNJ2/VDAC3/GRIN1/TRPV4/P2RX6/KCNIP3/KCNAB1/KCNE2/HTR3C/KCNC2/KCNMB1/ANO7/KCNT2/KCNMB3/KCNK9/KCNAB3/KCNMB2/KCNK6/P2RX4/CLIC5/KCNA3/ASIC2/ANO4/MCOLN2/CLCN3/CHRNA6/HCN1/ASIC3/KCNJ11/GRID1/KCNN1/KCNB1/CACNG7/KCNK5/CLIC2/CATSPER2/CACNA1A/AQP1/KCNQ2/KCND2/GABRR1/SCNN1D/GABRG2/P2RX1/P2RX7/MCOLN3/MCOLN1/KCNT1/CACNA1G/SCN4B/GRIN2D/SCN1B/CLCN2/PKD2L1/CNGA1/CACHD1/KCNJ5/CLIC6/KCND3/CACNA2D2/KCNA1/PIEZO2/HTR3B/PTK2B/TMC5/HCN2/CFTR",176
"GO:0015267","GO:0015267","channel activity","231/6937","407/15349",1.38899944999417e-06,0.000674178501624301,0.000622827989361961,"P2RX3/CNR1/SNAP25/CHRNB3/GPM6A/CACNA1E/GRIK1/ASIC4/SCN3A/KCNIP4/GJA4/CHRNB4/GRIA2/ASIC1/GRIA4/KCNH1/TMC6/ANO5/CHRNA3/CACNA1B/KCNE3/CACNG3/TTYH2/ITPR3/KCNB2/CNGB1/GRIK2/CACNA1D/SLC24A4/CALHM5/APOL1/CACNG4/KCNJ6/KCNS3/SCN2A/ATP6V1A/ITPR1/KCNH7/KCNAB2/HCN4/TRPV2/KCNA2/GABRA3/SHROOM2/GRIK3/CACNA2D1/KCNK17/KCNH8/KCNH2/TMEM63B/ANXA6/ANXA2/KCNJ15/CLCN4/CHRNB2/ITGAV/CHRNA5/TMEM63A/GABRB1/TSPOAP1/GRIA1/KCNC1/BAX/TMEM38A/TMEM109/ZACN/CLIC1/GABRE/CHRNA1/CACNB4/SCN9A/KCNJ9/KCNK3/ABCC8/RYR2/GRIA3/KCNS2/CACNB3/TMC8/CDK5/LRRC8C/GJB3/UNC80/GRIK5/PKD1L1/FKBP1B/HVCN1/GLRA2/FAM155A/GRIN3A/AQP3/SLC26A7/CHRNA4/KCNC4/GLRB/GLRA3/CACNB1/GJC3/SLC4A11/GABRB3/NCS1/SCN1A/CNGA3/CACNG2/RHAG/GJA1/SLC24A1/PANX2/KCNQ1/TMEM63C/GJB5/TMEM37/GJC2/P2RX5/ORAI1/CACNA1I/GRIN2A/TMEM120A/KCNQ3/TMEM150C/KCNH6/PIEZO1/HCN3/TRPV1/SCN2B/CLCN5/ANO10/KCNA5/ATP5F1B/CHRNB1/TOMM40L/GJA5/CLIC4/NALCN/OTOP3/GJB4/LRRC55/FAM155B/SCN8A/GABRP/KCNJ2/VDAC3/GRIN1/GJC1/TRPV4/P2RX6/KCNIP3/KCNAB1/KCNE2/SLC26A6/SEC61A1/HTR3C/KCNC2/KCNMB1/ANO7/KCNT2/KCNMB3/KCNK9/SLC24A2/ANXA9/KCNAB3/KCNMB2/KCNK6/BEST1/P2RX4/CLIC5/BCL2/AQP11/KCNA3/ASIC2/TMEM175/ANO4/MCOLN2/CLCN3/STEAP1/CHRNA6/ORAI3/TRPC4/HCN1/ASIC3/PANX3/KCNJ11/GRID1/KCNN1/KCNB1/GJD2/CACNG7/KCNK5/CLIC2/ATP5PF/CATSPER2/AQP7/CACNA1A/AQP1/KCNQ2/KCND2/GABRR1/SCNN1D/GABRG2/P2RX1/P2RX7/MCOLN3/MCOLN1/KCNT1/SLC14A1/CALHM4/CACNA1G/CLDN4/SCN4B/BEST4/AQP6/GRIN2D/SCN1B/CLCN2/PKD2L1/CNGA1/CACHD1/KCNJ5/ATP6V0C/CLIC6/KCND3/CACNA2D2/KCNA1/PIEZO2/PANX1/HTR3B/PKD2L2/PTK2B/TMC5/HCN2/CFTR",231
"GO:0022803","GO:0022803","passive transmembrane transporter activity","231/6937","408/15349",1.78040097259939e-06,0.000674178501624301,0.000622827989361961,"P2RX3/CNR1/SNAP25/CHRNB3/GPM6A/CACNA1E/GRIK1/ASIC4/SCN3A/KCNIP4/GJA4/CHRNB4/GRIA2/ASIC1/GRIA4/KCNH1/TMC6/ANO5/CHRNA3/CACNA1B/KCNE3/CACNG3/TTYH2/ITPR3/KCNB2/CNGB1/GRIK2/CACNA1D/SLC24A4/CALHM5/APOL1/CACNG4/KCNJ6/KCNS3/SCN2A/ATP6V1A/ITPR1/KCNH7/KCNAB2/HCN4/TRPV2/KCNA2/GABRA3/SHROOM2/GRIK3/CACNA2D1/KCNK17/KCNH8/KCNH2/TMEM63B/ANXA6/ANXA2/KCNJ15/CLCN4/CHRNB2/ITGAV/CHRNA5/TMEM63A/GABRB1/TSPOAP1/GRIA1/KCNC1/BAX/TMEM38A/TMEM109/ZACN/CLIC1/GABRE/CHRNA1/CACNB4/SCN9A/KCNJ9/KCNK3/ABCC8/RYR2/GRIA3/KCNS2/CACNB3/TMC8/CDK5/LRRC8C/GJB3/UNC80/GRIK5/PKD1L1/FKBP1B/HVCN1/GLRA2/FAM155A/GRIN3A/AQP3/SLC26A7/CHRNA4/KCNC4/GLRB/GLRA3/CACNB1/GJC3/SLC4A11/GABRB3/NCS1/SCN1A/CNGA3/CACNG2/RHAG/GJA1/SLC24A1/PANX2/KCNQ1/TMEM63C/GJB5/TMEM37/GJC2/P2RX5/ORAI1/CACNA1I/GRIN2A/TMEM120A/KCNQ3/TMEM150C/KCNH6/PIEZO1/HCN3/TRPV1/SCN2B/CLCN5/ANO10/KCNA5/ATP5F1B/CHRNB1/TOMM40L/GJA5/CLIC4/NALCN/OTOP3/GJB4/LRRC55/FAM155B/SCN8A/GABRP/KCNJ2/VDAC3/GRIN1/GJC1/TRPV4/P2RX6/KCNIP3/KCNAB1/KCNE2/SLC26A6/SEC61A1/HTR3C/KCNC2/KCNMB1/ANO7/KCNT2/KCNMB3/KCNK9/SLC24A2/ANXA9/KCNAB3/KCNMB2/KCNK6/BEST1/P2RX4/CLIC5/BCL2/AQP11/KCNA3/ASIC2/TMEM175/ANO4/MCOLN2/CLCN3/STEAP1/CHRNA6/ORAI3/TRPC4/HCN1/ASIC3/PANX3/KCNJ11/GRID1/KCNN1/KCNB1/GJD2/CACNG7/KCNK5/CLIC2/ATP5PF/CATSPER2/AQP7/CACNA1A/AQP1/KCNQ2/KCND2/GABRR1/SCNN1D/GABRG2/P2RX1/P2RX7/MCOLN3/MCOLN1/KCNT1/SLC14A1/CALHM4/CACNA1G/CLDN4/SCN4B/BEST4/AQP6/GRIN2D/SCN1B/CLCN2/PKD2L1/CNGA1/CACHD1/KCNJ5/ATP6V0C/CLIC6/KCND3/CACNA2D2/KCNA1/PIEZO2/PANX1/HTR3B/PKD2L2/PTK2B/TMC5/HCN2/CFTR",231
"GO:0072341","GO:0072341","modified amino acid binding","58/6937","83/15349",4.53344612211698e-06,0.00128749869868122,0.00118943310098701,"SYT7/GAP43/SYT4/SYT1/MGST2/CAVIN2/OSBPL10/SYT2/GSDMD/SYT9/SYT11/ANXA6/GSTM3/ANXA2/TLN1/LANCL1/SYT13/ASAP1/SYT5/SMPD3/THBS1/TYMS/AXL/ADGRB1/OSBPL8/DPEP1/SYT6/GSTP1/GPR143/JPH2/SYT12/MTHFS/MME/SCIN/MARK1/FCHO2/ANXA9/GSTM4/MGST1/MFGE8/MTHFR/SYTL2/MMUT/FTCD/DHFR/PTGES2/SCARB2/APPL1/GSDMA/FTCDNL1/SLC46A1/RPE65/GSTM2/NOX4/GAS6/OSBPL5/CPS1/FOLR2",58
"GO:0005261","GO:0005261","cation channel activity","169/6937","292/15349",7.60647694421794e-06,0.00172819156172632,0.00159655947650217,"P2RX3/CNR1/SNAP25/CHRNB3/GPM6A/CACNA1E/GRIK1/ASIC4/SCN3A/KCNIP4/CHRNB4/GRIA2/ASIC1/GRIA4/KCNH1/CHRNA3/CACNA1B/KCNE3/CACNG3/ITPR3/KCNB2/CNGB1/GRIK2/CACNA1D/SLC24A4/CALHM5/CACNG4/KCNJ6/KCNS3/SCN2A/ATP6V1A/ITPR1/KCNH7/KCNAB2/HCN4/TRPV2/KCNA2/SHROOM2/GRIK3/CACNA2D1/KCNK17/KCNH8/KCNH2/TMEM63B/ANXA6/ANXA2/KCNJ15/CHRNB2/ITGAV/CHRNA5/TMEM63A/TSPOAP1/GRIA1/KCNC1/TMEM38A/CHRNA1/CACNB4/SCN9A/KCNJ9/KCNK3/ABCC8/RYR2/GRIA3/KCNS2/CACNB3/CDK5/UNC80/GRIK5/PKD1L1/FKBP1B/HVCN1/FAM155A/GRIN3A/CHRNA4/KCNC4/CACNB1/SLC4A11/NCS1/SCN1A/CNGA3/CACNG2/SLC24A1/KCNQ1/TMEM63C/TMEM37/P2RX5/ORAI1/CACNA1I/GRIN2A/KCNQ3/KCNH6/PIEZO1/HCN3/TRPV1/SCN2B/ANO10/KCNA5/ATP5F1B/CHRNB1/NALCN/OTOP3/LRRC55/FAM155B/SCN8A/KCNJ2/GRIN1/TRPV4/P2RX6/KCNIP3/KCNAB1/KCNE2/SEC61A1/HTR3C/KCNC2/KCNMB1/KCNT2/KCNMB3/KCNK9/SLC24A2/ANXA9/KCNAB3/KCNMB2/KCNK6/P2RX4/KCNA3/ASIC2/TMEM175/MCOLN2/CHRNA6/ORAI3/TRPC4/HCN1/ASIC3/KCNJ11/KCNN1/KCNB1/CACNG7/KCNK5/ATP5PF/CATSPER2/CACNA1A/AQP1/KCNQ2/KCND2/SCNN1D/P2RX1/P2RX7/MCOLN3/MCOLN1/KCNT1/CALHM4/CACNA1G/SCN4B/GRIN2D/SCN1B/PKD2L1/CNGA1/CACHD1/KCNJ5/ATP6V0C/KCND3/CACNA2D2/KCNA1/PIEZO2/PANX1/HTR3B/PKD2L2/PTK2B/HCN2",169
"GO:0005543","GO:0005543","phospholipid binding","230/6937","413/15349",9.25653724659629e-06,0.00175257105202223,0.0016190820412029,"MAPT/SHC1/SYT7/GAP43/SYT4/SYT1/SNAP91/DYSF/BSCL2/UNC13A/ANXA5/KCNH1/RAPGEF6/SNX1/CAVIN2/ITPR3/OSBPL10/SYT2/AMER3/SNCA/ITPR1/RUBCNL/GSDMD/MTM1/SPTBN4/WNT5A/AMER2/SNX7/FES/ANXA3/CPNE8/SYT9/ESYT1/ARAP3/HS1BP3/SYT11/ANXA6/PLTP/RASA4B/SGK3/PCYT1A/ANXA2/TLN1/ARL6/CPNE2/MYOF/CPNE9/PSD/EXOC1/SNX10/SYT13/LDLRAP1/ARHGAP26/CLVS2/PXDC1/TULP3/ABCA1/ASAP1/PLD1/SPTBN2/GSN/MAP1B/VILL/SGIP1/CCDC88A/IQGAP2/RUBCN/ANXA4/STAP1/SNX32/ANXA7/WDFY3/SYT5/GSDME/ARAP2/CAPG/LAPTM4B/PARD3B/PLA2G4A/SMPD3/THBS1/SH3YL1/ANXA1/C2CD5/VAMP2/APOB/SNX2/EPB41/PSD2/UCP1/VPS36/KCNQ1/MAP1LC3A/MYO1E/ARHGAP33/AXL/RAPGEF2/ADGRB1/DOC2B/OSBPL8/DPEP1/PIK3C2B/PHLDA3/SYT6/ADAP1/AGAP1/ANXA11/GBF1/ARHGAP44/CPNE4/PTAFR/DENND1B/PLCB1/STXBP6/JPH2/TRPV1/SYT12/JAG1/BAIAP2L2/SPTBN1/SYTL5/PLD2/SNX3/FZD7/PRKCI/GPR12/DGKA/SNX11/PLEKHF2/CLINT1/PARD3/SDCBP/SNX8/KCNJ2/PCLO/LPAR1/BTK/SNX5/GLE1/CPNE7/MICALL1/APOM/ATP13A2/MME/SCIN/MARK1/SNX30/PREX1/IQGAP1/AMPH/EPDR1/TPP1/EXOC1L/ABCG1/ARFIP1/FCHO2/SNX18/ANXA9/APOC1/SESTD1/MFGE8/RASA4/SYTL3/ZFYVE16/SYTL2/PLA2G5/ZFYVE28/THY1/F10/WIPI2/PPT1/GOLPH3/UNC13B/TEC/ATG2B/ING2/SNX24/SNX22/SYTL4/TNFAIP8L3/MYO10/PIK3C2A/SNX15/SNX9/PAFAH2/OTC/GOLPH3L/SLC9A1/VIL1/ATP8B1/FRMPD2/SNX33/SCARB2/PICK1/PLEKHA4/DENND1A/SNX4/APPL1/PFN2/GSDMA/ARAP1/SAP30L/ALOX15/ARHGAP9/OPHN1/NR5A2/NUP62CL/PXK/WIPI1/RASA2/PLEK2/RASGRP1/PITPNC1/NUP35/RPE65/PACSIN3/GLTP/LPAR4/SNX29/TTPAL/GAS6/SNX25/CARMIL2/PITPNM1/DOC2A/ZCCHC2/RPS6KC1/OSBPL5/ARHGAP35/CPS1",230
"GO:0005216","GO:0005216","ion channel activity","209/6937","372/15349",1.08771070881801e-05,0.00176519909316752,0.00163074823562641,"P2RX3/CNR1/SNAP25/CHRNB3/GPM6A/CACNA1E/GRIK1/ASIC4/SCN3A/KCNIP4/CHRNB4/GRIA2/ASIC1/GRIA4/KCNH1/TMC6/ANO5/CHRNA3/CACNA1B/KCNE3/CACNG3/TTYH2/ITPR3/KCNB2/CNGB1/GRIK2/CACNA1D/SLC24A4/CALHM5/APOL1/CACNG4/KCNJ6/KCNS3/SCN2A/ATP6V1A/ITPR1/KCNH7/KCNAB2/HCN4/TRPV2/KCNA2/GABRA3/SHROOM2/GRIK3/CACNA2D1/KCNK17/KCNH8/KCNH2/TMEM63B/ANXA6/ANXA2/KCNJ15/CLCN4/CHRNB2/ITGAV/CHRNA5/TMEM63A/GABRB1/TSPOAP1/GRIA1/KCNC1/TMEM38A/ZACN/CLIC1/GABRE/CHRNA1/CACNB4/SCN9A/KCNJ9/KCNK3/ABCC8/RYR2/GRIA3/KCNS2/CACNB3/TMC8/CDK5/LRRC8C/UNC80/GRIK5/PKD1L1/FKBP1B/HVCN1/GLRA2/FAM155A/GRIN3A/SLC26A7/CHRNA4/KCNC4/GLRB/GLRA3/CACNB1/SLC4A11/GABRB3/NCS1/SCN1A/CNGA3/CACNG2/SLC24A1/KCNQ1/TMEM63C/TMEM37/P2RX5/ORAI1/CACNA1I/GRIN2A/TMEM120A/KCNQ3/TMEM150C/KCNH6/PIEZO1/HCN3/TRPV1/SCN2B/CLCN5/ANO10/KCNA5/ATP5F1B/CHRNB1/CLIC4/NALCN/OTOP3/LRRC55/FAM155B/SCN8A/GABRP/KCNJ2/VDAC3/GRIN1/GJC1/TRPV4/P2RX6/KCNIP3/KCNAB1/KCNE2/SLC26A6/SEC61A1/HTR3C/KCNC2/KCNMB1/ANO7/KCNT2/KCNMB3/KCNK9/SLC24A2/ANXA9/KCNAB3/KCNMB2/KCNK6/BEST1/P2RX4/CLIC5/KCNA3/ASIC2/TMEM175/ANO4/MCOLN2/CLCN3/CHRNA6/ORAI3/TRPC4/HCN1/ASIC3/KCNJ11/GRID1/KCNN1/KCNB1/CACNG7/KCNK5/CLIC2/ATP5PF/CATSPER2/CACNA1A/AQP1/KCNQ2/KCND2/GABRR1/SCNN1D/GABRG2/P2RX1/P2RX7/MCOLN3/MCOLN1/KCNT1/CALHM4/CACNA1G/CLDN4/SCN4B/BEST4/GRIN2D/SCN1B/CLCN2/PKD2L1/CNGA1/CACHD1/KCNJ5/ATP6V0C/CLIC6/KCND3/CACNA2D2/KCNA1/PIEZO2/PANX1/HTR3B/PKD2L2/PTK2B/TMC5/HCN2/CFTR",209
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","44/6937","61/15349",1.79587021367465e-05,0.002550135703418,0.00235589816188635,"NRP1/FLT1/RET/TEK/KDR/TIE1/NTRK1/FGFR1/NRP2/NTRK3/EPHA5/EPHA6/FLT4/KIT/EPHA2/EPHA10/EFNA4/EPHB4/EPHA8/MST1R/INSRR/CRIM1/IGF2R/TYRO3/AXL/MERTK/EPHB2/EPHA3/INSR/DDR2/PDGFRB/MET/FGFR2/FGFR3/EPHB1/NTRK2/EPHA7/FGFRL1/ALK/EFNB3/ROS1/DDR1/FGFR4/LTK",44
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","54/6937","79/15349",2.63028338703304e-05,0.00332000214185504,0.00306712577411923,"NRP1/FLT1/RET/TEK/KDR/TGFBR2/TIE1/NTRK1/ACVR2A/FGFR1/NRP2/NTRK3/EPHA5/EPHA6/FLT4/KIT/EPHA2/ACVRL1/TGFBR3/EPHA10/EFNA4/EPHB4/EPHA8/MST1R/INSRR/CRIM1/ENG/IGF2R/TYRO3/ACVR1B/AXL/MERTK/EPHB2/EPHA3/INSR/DDR2/PDGFRB/MET/ACVR1/FGFR2/FGFR3/EPHB1/LTBP1/NTRK2/EPHA7/ACVR2B/FGFRL1/ALK/EFNB3/ROS1/DDR1/BMPR1B/FGFR4/LTK",54
"GO:0017075","GO:0017075","syntaxin-1 binding","21/6937","25/15349",7.52101635130527e-05,0.00854387457508279,0.00789310873921195,"SNAP25/SYT4/SYPL1/SYT1/CPLX2/SYP/UNC13A/VAMP3/CPLX1/STXBP1/SYNPR/PRRT2/STXBP3/NSF/VAMP2/SNPH/SYBU/LRRK2/UNC13B/DAPK1/STXBP2",21
