"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022836","GO:0022836","gated channel activity","177/7141","294/15349",1.37553103288247e-06,0.00156260325335449,0.00143200020160081,"P2RX3/CNR1/SNAP25/CHRNB3/CACNA1E/GRIK1/SCN3A/ASIC4/KCNIP4/ITPR3/GRIA2/CHRNB4/GRIA4/ASIC1/TMC6/KCNH1/ANO5/CHRNA3/CACNA1B/KCNS3/CACNG4/KCNE3/KCNB2/CNGB1/GRIK2/CACNG3/SCN2A/ANXA6/TTYH2/ITPR1/KCNJ6/SHROOM2/HCN4/CACNA1D/KCNH7/CACNA2D1/KCNAB2/KCNA2/CHRNB2/KCNH2/GABRA3/KCNH8/CLIC1/GRIK3/CLCN4/KCNC4/ZACN/CHRNA5/KCNC1/KCNK17/TMEM109/TSPOAP1/HVCN1/CACNB3/CACNB4/ABCC8/GABRB1/RYR2/TMEM63A/GRIN3A/SCN9A/TMEM63B/KCNK3/KCNJ9/GRIA3/GRIA1/KCNJ15/ITGAV/GABRB3/KCNS2/CDK5/FAM155A/GLRA3/CHRNA1/GABRE/KCNH6/GLRA2/CHRNA4/KCNQ1/CNGA3/GRIK5/ANO10/CACNG2/FKBP1B/SCN1A/NCS1/TMEM150C/CACNB1/KCNK5/P2RX5/PIEZO1/TRPV1/TMC8/GLRB/TMEM63C/TMEM37/CACNA1I/KCNQ3/GRIN2A/CLIC5/GRIN1/TRPV4/NALCN/KCNK6/KCNAB1/CLIC4/CLCN5/KCNA5/AQP1/HCN3/CHRNB1/P2RX7/P2RX6/P2RX4/KCNMB1/KCNT2/MCOLN2/ASIC2/LRRC55/VDAC3/SCN2B/KCNK9/KCNC2/KCNIP3/CFTR/GRID1/KCNMB3/SCN8A/KCNAB3/FAM155B/KCNA3/KCND2/GABRR1/MCOLN3/KCNE2/CLIC6/SCN1B/HTR3C/ANO1/GABRP/KCNB1/CNGA1/HCN1/KCNJ5/CLCN3/KCNMA1/CACNB2/KCNA6/CATSPER2/KCNQ2/CACNG7/SCN4B/SCN11A/CACNA1A/KCNF1/KCNN1/KCNJ13/CLCN2/CHRNA6/ASIC3/MCOLN1/P2RX1/CACNA1H/KCNJ2/ANO7/GABRG2/CACNA1G/KCNMB2/ANO4/PKD2L1/ANO8/HTR3A/PTK2B/SCNN1D/KCNK1/HCN2/KCND3",177
"GO:0005543","GO:0005543","phospholipid binding","236/7141","413/15349",7.41975250135196e-06,0.00399002716082487,0.00365653897521849,"MAPT/SHC1/SYT7/GAP43/SYT4/DYSF/SNAP91/SYT1/BSCL2/ITPR3/UNC13A/RAPGEF6/ANXA5/KCNH1/SNX1/OSBPL10/CPNE8/CAVIN2/AMER3/SYT2/ANXA6/ARAP3/GSDMD/ITPR1/SNCA/RUBCNL/SNX7/SYT9/AMER2/WNT5A/GSN/SPTBN4/SNX10/HS1BP3/SYT11/FES/ESYT1/PLTP/PLD1/CPNE2/ARAP2/ARL6/WDFY3/ANXA7/TULP3/CPNE9/VILL/MTM1/SPTBN2/SYT13/ABCA1/ANXA4/PSD/ANXA3/CCDC88A/SMPD3/RASA4B/LDLRAP1/SYT5/PCYT1A/CLVS2/SGIP1/MAP1B/CAPG/C2CD5/ARHGAP26/GSDME/IQGAP2/RUBCN/EXOC1/TLN1/EPB41/SNX2/PRKCI/KCNQ1/OSBPL8/MYO1E/PXDC1/AGAP1/PSD2/STAP1/SNX32/MAP1LC3A/PARD3B/SGK3/VAMP2/DENND1B/APOB/GBF1/TRPV1/DOC2B/PLCB1/BAIAP2L2/THBS1/ANXA11/PLD2/DPEP1/UCP1/ASAP1/SNX8/SYT6/ARHGAP33/ANXA2/ZCCHC2/SH3YL1/FZD7/MARK1/ARHGAP44/CPNE4/LAPTM4B/PLA2G4A/ADAP1/ADGRB1/PARD3/SYT12/PLEKHF2/SNX3/SDCBP/SNX33/MYOF/SYTL5/ABCG1/ARFIP1/MYO10/VPS36/PREX1/SYTL2/PCLO/APOM/DGKA/SNX5/SNX11/PLEKHA4/PIK3C2B/TEC/JAG1/ARAP1/IQGAP1/BTK/SPTBN1/LPAR1/GLE1/TPP1/DENND1A/ING2/ZFYVE16/SESTD1/AMPH/MICALL1/CLINT1/ANKFY1/STXBP6/AXL/SNX27/SNX30/PPT1/SMURF1/PTAFR/GPR12/THY1/FCHO2/OPHN1/ARHGAP9/ANXA1/UNC13B/PIK3C2A/PAFAH2/MME/RPE65/ZFYVE28/CPS1/ATP13A2/SNX18/GOLPH3/RLBP1/SYTL4/SYTL3/PHLDA3/RAPGEF2/GRB7/ANXA9/SCARB2/GOLPH3L/ALOX15/FRMPD2/MFGE8/NR5A2/SNX15/PITPNC1/CPNE7/PLA2G5/PITPNM1/PIGK/PLEKHA3/OTC/MCF2L/TNFAIP8L3/PFN2/SNX4/VEPH1/VIL1/ATP8B1/RASGRP1/ARHGAP32/SYT10/KCNJ2/JPH2/RPS6KC1/TREM2/SNX22/SLC9A1/EXOC1L/APOC1/RASA4/ATG2B/NUP62CL/ARHGAP35/CPTP/ACTN2/SNX24/GSDMA/PLEKHA5/MTSS2/SCIN/SAP30L/PICK1/SNX29/GPAA1/NRGN/PACSIN3/TWF2/LPAR4/F10/F3/TTPAL/GLTPD2",236
"GO:0015267","GO:0015267","channel activity","232/7141","407/15349",1.11623387270507e-05,0.00399002716082487,0.00365653897521849,"P2RX3/CNR1/SNAP25/CHRNB3/CACNA1E/GPM6A/GRIK1/SCN3A/ASIC4/KCNIP4/ITPR3/GRIA2/CHRNB4/GRIA4/ASIC1/TMC6/KCNH1/ANO5/GJA4/CHRNA3/CACNA1B/KCNS3/CACNG4/KCNE3/KCNB2/CNGB1/GRIK2/CACNG3/CALHM5/SCN2A/ANXA6/PKD1L1/TTYH2/ITPR1/KCNJ6/SHROOM2/HCN4/CACNA1D/KCNH7/CACNA2D1/APOL1/KCNAB2/BAX/KCNA2/ATP6V1A/CHRNB2/SLC24A1/KCNH2/SLC24A4/GABRA3/KCNH8/CLIC1/GRIK3/CLCN4/KCNC4/TRPV2/ZACN/CHRNA5/KCNC1/KCNK17/TMEM38A/TMEM109/SLC4A11/TSPOAP1/HVCN1/CACNB3/UNC80/CACNB4/ABCC8/GABRB1/RYR2/TMEM63A/GRIN3A/SCN9A/GJB3/TMEM63B/KCNK3/KCNJ9/AQP3/GRIA3/GRIA1/KCNJ15/ITGAV/GABRB3/KCNS2/CDK5/FAM155A/GLRA3/CHRNA1/GABRE/KCNH6/GLRA2/CHRNA4/GJA1/KCNQ1/CNGA3/GRIK5/ANO10/CACNG2/FKBP1B/SCN1A/NCS1/TMEM150C/CACNB1/KCNK5/TMEM120A/P2RX5/PIEZO1/ORAI1/TRPV1/LRRC8C/TMC8/GLRB/SLC26A7/GJC3/TMEM63C/TMEM37/GJC2/CACNA1I/KCNQ3/ANXA2/GJB5/GRIN2A/CLIC5/GRIN1/TRPV4/NALCN/KCNK6/KCNAB1/CLIC4/CLCN5/KCNA5/PANX2/ATP5F1B/TOMM40L/AQP1/HCN3/CHRNB1/P2RX7/P2RX6/GJB4/P2RX4/KCNMB1/KCNT2/STEAP1/SLC26A6/MCOLN2/ASIC2/LRRC55/VDAC3/SCN2B/KCNK9/KCNC2/RHAG/PANX3/GJA5/KCNIP3/CFTR/GRID1/OTOP3/BEST1/AQP7/KCNMB3/SCN8A/PANX1/KCNAB3/SLC24A2/FAM155B/KCNA3/KCND2/TRPM7/GABRR1/MCOLN3/TRPC4/KCNE2/CLIC6/SCN1B/SEC61A1/HTR3C/ANO1/GABRP/KCNB1/CNGA1/HCN1/KCNJ5/ANXA9/GJC1/CLCN3/TMEM175/KCNMA1/CACNB2/KCNA6/CATSPER2/KCNQ2/CACNG7/ORAI3/SCN4B/SCN11A/BCL2/CACNA1A/KCNF1/KCNN1/AQP11/KCNJ13/GJD2/CLCN2/CHRNA6/ASIC3/MCOLN1/P2RX1/CACNA1H/KCNJ2/SLC14A1/TMEM38B/ANO7/TOMM40/SLC9C1/GABRG2/ATP6V0C/CACNA1G/KCNMB2/ANO4/PKD2L1/BEST4/ANO8/HTR3A/PTK2B/SCNN1D/KCNK1/SLC24A3/HCN2/KCND3",232
"GO:0022803","GO:0022803","passive transmembrane transporter activity","232/7141","408/15349",1.40493914113552e-05,0.00399002716082487,0.00365653897521849,"P2RX3/CNR1/SNAP25/CHRNB3/CACNA1E/GPM6A/GRIK1/SCN3A/ASIC4/KCNIP4/ITPR3/GRIA2/CHRNB4/GRIA4/ASIC1/TMC6/KCNH1/ANO5/GJA4/CHRNA3/CACNA1B/KCNS3/CACNG4/KCNE3/KCNB2/CNGB1/GRIK2/CACNG3/CALHM5/SCN2A/ANXA6/PKD1L1/TTYH2/ITPR1/KCNJ6/SHROOM2/HCN4/CACNA1D/KCNH7/CACNA2D1/APOL1/KCNAB2/BAX/KCNA2/ATP6V1A/CHRNB2/SLC24A1/KCNH2/SLC24A4/GABRA3/KCNH8/CLIC1/GRIK3/CLCN4/KCNC4/TRPV2/ZACN/CHRNA5/KCNC1/KCNK17/TMEM38A/TMEM109/SLC4A11/TSPOAP1/HVCN1/CACNB3/UNC80/CACNB4/ABCC8/GABRB1/RYR2/TMEM63A/GRIN3A/SCN9A/GJB3/TMEM63B/KCNK3/KCNJ9/AQP3/GRIA3/GRIA1/KCNJ15/ITGAV/GABRB3/KCNS2/CDK5/FAM155A/GLRA3/CHRNA1/GABRE/KCNH6/GLRA2/CHRNA4/GJA1/KCNQ1/CNGA3/GRIK5/ANO10/CACNG2/FKBP1B/SCN1A/NCS1/TMEM150C/CACNB1/KCNK5/TMEM120A/P2RX5/PIEZO1/ORAI1/TRPV1/LRRC8C/TMC8/GLRB/SLC26A7/GJC3/TMEM63C/TMEM37/GJC2/CACNA1I/KCNQ3/ANXA2/GJB5/GRIN2A/CLIC5/GRIN1/TRPV4/NALCN/KCNK6/KCNAB1/CLIC4/CLCN5/KCNA5/PANX2/ATP5F1B/TOMM40L/AQP1/HCN3/CHRNB1/P2RX7/P2RX6/GJB4/P2RX4/KCNMB1/KCNT2/STEAP1/SLC26A6/MCOLN2/ASIC2/LRRC55/VDAC3/SCN2B/KCNK9/KCNC2/RHAG/PANX3/GJA5/KCNIP3/CFTR/GRID1/OTOP3/BEST1/AQP7/KCNMB3/SCN8A/PANX1/KCNAB3/SLC24A2/FAM155B/KCNA3/KCND2/TRPM7/GABRR1/MCOLN3/TRPC4/KCNE2/CLIC6/SCN1B/SEC61A1/HTR3C/ANO1/GABRP/KCNB1/CNGA1/HCN1/KCNJ5/ANXA9/GJC1/CLCN3/TMEM175/KCNMA1/CACNB2/KCNA6/CATSPER2/KCNQ2/CACNG7/ORAI3/SCN4B/SCN11A/BCL2/CACNA1A/KCNF1/KCNN1/AQP11/KCNJ13/GJD2/CLCN2/CHRNA6/ASIC3/MCOLN1/P2RX1/CACNA1H/KCNJ2/SLC14A1/TMEM38B/ANO7/TOMM40/SLC9C1/GABRG2/ATP6V0C/CACNA1G/KCNMB2/ANO4/PKD2L1/BEST4/ANO8/HTR3A/PTK2B/SCNN1D/KCNK1/SLC24A3/HCN2/KCND3",232
"GO:0005261","GO:0005261","cation channel activity","171/7141","292/15349",2.05294974632032e-05,0.00466430182363977,0.00427445747181221,"P2RX3/CNR1/SNAP25/CHRNB3/CACNA1E/GPM6A/GRIK1/SCN3A/ASIC4/KCNIP4/ITPR3/GRIA2/CHRNB4/GRIA4/ASIC1/KCNH1/CHRNA3/CACNA1B/KCNS3/CACNG4/KCNE3/KCNB2/CNGB1/GRIK2/CACNG3/CALHM5/SCN2A/ANXA6/PKD1L1/ITPR1/KCNJ6/SHROOM2/HCN4/CACNA1D/KCNH7/CACNA2D1/KCNAB2/KCNA2/ATP6V1A/CHRNB2/SLC24A1/KCNH2/SLC24A4/KCNH8/GRIK3/KCNC4/TRPV2/CHRNA5/KCNC1/KCNK17/TMEM38A/SLC4A11/TSPOAP1/HVCN1/CACNB3/UNC80/CACNB4/ABCC8/RYR2/TMEM63A/GRIN3A/SCN9A/TMEM63B/KCNK3/KCNJ9/GRIA3/GRIA1/KCNJ15/ITGAV/KCNS2/CDK5/FAM155A/CHRNA1/KCNH6/CHRNA4/KCNQ1/CNGA3/GRIK5/ANO10/CACNG2/FKBP1B/SCN1A/NCS1/CACNB1/KCNK5/P2RX5/PIEZO1/ORAI1/TRPV1/TMEM63C/TMEM37/CACNA1I/KCNQ3/ANXA2/GRIN2A/GRIN1/TRPV4/NALCN/KCNK6/KCNAB1/KCNA5/ATP5F1B/AQP1/HCN3/CHRNB1/P2RX7/P2RX6/P2RX4/KCNMB1/KCNT2/MCOLN2/ASIC2/LRRC55/SCN2B/KCNK9/KCNC2/KCNIP3/OTOP3/KCNMB3/SCN8A/PANX1/KCNAB3/SLC24A2/FAM155B/KCNA3/KCND2/TRPM7/MCOLN3/TRPC4/KCNE2/SCN1B/SEC61A1/HTR3C/ANO1/KCNB1/CNGA1/HCN1/KCNJ5/ANXA9/TMEM175/KCNMA1/CACNB2/KCNA6/CATSPER2/KCNQ2/CACNG7/ORAI3/SCN4B/SCN11A/CACNA1A/KCNF1/KCNN1/KCNJ13/CHRNA6/ASIC3/MCOLN1/P2RX1/CACNA1H/KCNJ2/TMEM38B/ATP6V0C/CACNA1G/KCNMB2/PKD2L1/HTR3A/PTK2B/SCNN1D/KCNK1/SLC24A3/HCN2/KCND3",171
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","55/7141","79/15349",2.68553508927894e-05,0.00508461310236812,0.0046596389531524,"NRP1/RET/FLT1/TGFBR2/KDR/TEK/NTRK1/ACVR2A/TIE1/KIT/NTRK3/FGFR1/EPHA6/EPHB4/EFNA4/EPHA5/FLT4/TGFBR3/ACVRL1/NRP2/EPHA2/TYRO3/EPHA8/EPHA10/MERTK/INSRR/MST1R/ENG/ACVR1B/EPHA3/CRIM1/IGF2R/EPHB2/INSR/DDR2/FGFR3/LTK/ALK/BMPR1B/AXL/EPHB1/PDGFRB/FGFR4/AMHR2/ACVR1/NTRK2/FGFR2/EPHA7/LTBP1/PDGFRL/MET/EFNB3/DDR1/FGFRL1/LTBP4",55
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","44/7141","61/15349",4.34832952013099e-05,0.00705671762124114,0.00646691412843541,"NRP1/RET/FLT1/KDR/TEK/NTRK1/TIE1/KIT/NTRK3/FGFR1/EPHA6/EPHB4/EFNA4/EPHA5/FLT4/NRP2/EPHA2/TYRO3/EPHA8/EPHA10/MERTK/INSRR/MST1R/EPHA3/CRIM1/IGF2R/EPHB2/INSR/DDR2/FGFR3/LTK/ALK/AXL/EPHB1/PDGFRB/FGFR4/NTRK2/FGFR2/EPHA7/PDGFRL/MET/EFNB3/DDR1/FGFRL1",44
"GO:0005216","GO:0005216","ion channel activity","210/7141","372/15349",6.43743868689275e-05,0.0091411629353877,0.00837714060702227,"P2RX3/CNR1/SNAP25/CHRNB3/CACNA1E/GPM6A/GRIK1/SCN3A/ASIC4/KCNIP4/ITPR3/GRIA2/CHRNB4/GRIA4/ASIC1/TMC6/KCNH1/ANO5/CHRNA3/CACNA1B/KCNS3/CACNG4/KCNE3/KCNB2/CNGB1/GRIK2/CACNG3/CALHM5/SCN2A/ANXA6/PKD1L1/TTYH2/ITPR1/KCNJ6/SHROOM2/HCN4/CACNA1D/KCNH7/CACNA2D1/APOL1/KCNAB2/KCNA2/ATP6V1A/CHRNB2/SLC24A1/KCNH2/SLC24A4/GABRA3/KCNH8/CLIC1/GRIK3/CLCN4/KCNC4/TRPV2/ZACN/CHRNA5/KCNC1/KCNK17/TMEM38A/SLC4A11/TSPOAP1/HVCN1/CACNB3/UNC80/CACNB4/ABCC8/GABRB1/RYR2/TMEM63A/GRIN3A/SCN9A/TMEM63B/KCNK3/KCNJ9/GRIA3/GRIA1/KCNJ15/ITGAV/GABRB3/KCNS2/CDK5/FAM155A/GLRA3/CHRNA1/GABRE/KCNH6/GLRA2/CHRNA4/KCNQ1/CNGA3/GRIK5/ANO10/CACNG2/FKBP1B/SCN1A/NCS1/TMEM150C/CACNB1/KCNK5/TMEM120A/P2RX5/PIEZO1/ORAI1/TRPV1/LRRC8C/TMC8/GLRB/SLC26A7/TMEM63C/TMEM37/CACNA1I/KCNQ3/ANXA2/GRIN2A/CLIC5/GRIN1/TRPV4/NALCN/KCNK6/KCNAB1/CLIC4/CLCN5/KCNA5/ATP5F1B/AQP1/HCN3/CHRNB1/P2RX7/P2RX6/P2RX4/KCNMB1/KCNT2/SLC26A6/MCOLN2/ASIC2/LRRC55/VDAC3/SCN2B/KCNK9/KCNC2/KCNIP3/CFTR/GRID1/OTOP3/BEST1/KCNMB3/SCN8A/PANX1/KCNAB3/SLC24A2/FAM155B/KCNA3/KCND2/TRPM7/GABRR1/MCOLN3/TRPC4/KCNE2/CLIC6/SCN1B/SEC61A1/HTR3C/ANO1/GABRP/KCNB1/CNGA1/HCN1/KCNJ5/ANXA9/GJC1/CLCN3/TMEM175/KCNMA1/CACNB2/KCNA6/CATSPER2/KCNQ2/CACNG7/ORAI3/SCN4B/SCN11A/CACNA1A/KCNF1/KCNN1/KCNJ13/CLCN2/CHRNA6/ASIC3/MCOLN1/P2RX1/CACNA1H/KCNJ2/TMEM38B/ANO7/SLC9C1/GABRG2/ATP6V0C/CACNA1G/KCNMB2/ANO4/PKD2L1/BEST4/ANO8/HTR3A/PTK2B/SCNN1D/KCNK1/SLC24A3/HCN2/KCND3",210
"GO:0005272","GO:0005272","sodium channel activity","30/7141","39/15349",0.000105313528416094,0.0132929075867425,0.0121818806553821,"GRIK1/SCN3A/ASIC4/ASIC1/GRIK2/SCN2A/SHROOM2/HCN4/GRIK3/SLC4A11/SCN9A/GRIK5/SCN1A/CACNA1I/NALCN/HCN3/ASIC2/SCN2B/SCN8A/SCN1B/HCN1/SCN4B/SCN11A/ASIC3/CACNA1H/CACNA1G/PKD2L1/SCNN1D/KCNK1/HCN2",30
"GO:0005539","GO:0005539","glycosaminoglycan binding","111/7141","187/15349",0.000265380625884459,0.0298775653774956,0.0273803856174417,"NRP1/BMP4/SULF2/NCAN/TGFBR2/FN1/BGN/LXN/FGF9/CFH/RTN4RL1/ADGRG1/EVA1C/STAB1/PRNP/NOD1/APLP1/FGFR1/LPL/SPOCK2/ANXA6/HAPLN1/NDNF/PGLYRP4/CD44/TGFBR3/HYAL2/NRP2/EFEMP2/BCAN/HAPLN3/SLIT2/SELP/ADA2/PF4/GREM2/HK1/NELL1/CXCL10/SOST/SFRP1/PCOLCE/APOB/ENG/LRTM2/RPL22/THBS1/FBN1/FGF2/COL11A1/PGLYRP3/SLIT1/CCDC80/PTPRS/VIT/SLIT3/FSTL1/TMEM184A/CCN2/VTN/LIPG/SULF1/ADAMTS15/LIPH/COL5A1/DPYSL3/LAYN/ANG/TENM1/PCOLCE2/VCAN/AOC1/RPL29/THBS3/ECM2/MMP7/CCL8/IMPG2/LRPAP1/PTN/SUSD5/COL25A1/HDGF/FGFR4/CTSG/HMMR/BMP7/ADAMTS5/FGFR2/THBS2/SERPINE2/MDK/TNFAIP6/ANOS1/NELL2/CXCL11/COLQ/SELL/TREM2/AZU1/TNXB/ADGRE2/EGFLAM/PGF/CXCL6/CEMIP/FGFRL1/SPOCK3/F2/SEMA5A/LTBP4",111
