"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","GO:0003779","actin binding","252/7781","406/15349",1.92847903970286e-06,0.00219075218910245,0.00204621776002156,"LIMCH1/MAPT/MAP1A/GMFG/XIRP2/FLNB/ADD3/MSN/GBP1/PDLIM1/FGD4/CALD1/ANXA6/TPM3/CORO1A/ADD2/NCALD/CDK5R1/DMTN/IMPACT/MICAL1/FXYD5/AFAP1/KLHL3/VASH2/UTRN/DIAPH2/EPB41L3/TPM2/CNN2/GSN/CAMK2B/CAPG/PHACTR2/FMNL3/FHL3/SMTN/LDB3/PDLIM5/DST/MYO5A/HCLS1/PLS3/PPP1R18/MYO1E/VCL/TNNT2/HPCA/S100A4/ABL2/DIXDC1/CTNNA1/EPB41L2/SHANK3/SPTBN2/EVL/LCP1/ITGB1/CTNNA2/WASF2/SHROOM2/PDLIM2/RCSD1/IQGAP2/CCDC88A/TLN1/SNTG1/MYH9/ABLIM3/AIF1/TMSB15B/ARPC1B/PARVA/PHACTR3/NEXN/ABLIM1/ABLIM2/CYFIP1/EPS8L1/KLHL5/CEACAM1/DMD/HDAC6/NOS3/CORO1C/CAPZB/MYL4/LIMA1/WDR1/IQGAP1/MYO5C/MYO1C/SPTBN4/DIAPH3/PAWR/SPTBN1/ACTR3/LASP1/TMOD3/SYNE1/ANG/WIPF1/ABITRAM/EPB41/MYH15/MYH6/FAM107A/SHROOM4/TRPV4/SNCA/CNN1/HOMER2/MYH10/ACTN1/SPTA1/MYO10/CAP1/MICAL2/MYLK/VILL/FHOD1/MYO7A/FKBP15/ACTR3C/PTK2/INF2/FMNL1/PSTPIP2/SHROOM3/TAGLN/TMSB15B/CTTN/GAS2L1/MAP1B/EZR/MYOZ2/INPPL1/MYRIP/MYOZ3/PARVB/AIF1L/TNNC1/SAMD14/GAS2L3/CORO2A/CORO6/AJUBA/TNNI3/ANLN/EEF2/SPIRE2/PFN2/IQGAP3/FHOD3/CTNNAL1/TPM4/SYN1/CDK5R2/PSTPIP1/MYO16/MICAL3/TTN/COBLL1/OPHN1/ARPC4/MISP/TPM1/MYO1H/CGN/MARCKS/MED28/MYO3A/WHAMM/MTSS1/GMFB/WIPF2/DIAPH1/PDLIM4/TWF2/VPS16/KLHL1/VASP/KLHL17/MYO18A/TLN2/CFL1/ACTN4/WIPF3/RDX/JMY/PICK1/MYO15A/CAPZA1/USH1C/ACTR2/CACNB2/PRICKLE4/CNN3/MYO3B/MYH2/BAIAP2L1/TMSB15A/MYH7/FERMT2/KIF18A/ZNF185/CAMSAP3/TMOD2/ALDOA/EPB41L1/SSH3/ITPRID2/TMEM201/FHDC1/GAS2/HOOK1/WAS/MACO1/WASF1/DNASE1/GAS2L2/AFDN/FMNL2/ARPC2/PKNOX2/P4HB/MTSS2/ESPN/TNNI1/TLNRD1/ACTR3B/SNTB1/SETD3/MYPN/MYH11/DAG1/FSCN1/GCSAM/PANX1/GAS7/KCNMA1/ENAH/CTNNA3/CROCC/MYOM2/PHACTR1/INO80/SNTG2/TRPC5/FBXO25/MYL3/SYNPO2",252
"GO:0015267","GO:0015267","channel activity","248/7781","407/15349",1.63048461833485e-05,0.00637803399619304,0.00595724450348645,"CNR1/P2RX3/SNAP25/ASIC4/ASIC1/SCN3A/SCN2A/GRIK1/KCNE3/GJA4/GPM6A/CACNA1E/ANXA6/KCNIP4/CHRNB4/KCNH1/CHRNB3/TMC6/GRIK2/KCNH8/CACNG4/TTYH2/CACNB4/KCNB2/ANXA2/BAX/ITPR3/CALHM5/GRIA4/CHRNB2/GABRA3/TSPOAP1/CHRNA3/CLIC1/SLC24A4/LRRC8C/ANO5/APOL1/GRIA2/CNGB1/GRIA3/KCNJ6/TMEM109/CACNA1B/KCNH2/GABRB3/KCNS3/HVCN1/ITGAV/UNC80/ZACN/GRIK3/CACNB3/KCNC1/RYR2/HCN4/SCN9A/KCNAB2/KCNA2/ITPR1/CACNA2D1/SHROOM2/KCNC4/CACNG3/TMEM63B/TRPV1/SLC4A11/KCNJ15/KCNH7/GRIA1/ORAI1/SLC24A1/TMEM63A/KCNS2/SCN8A/ANO10/TMEM150C/PKD1L1/KCNK6/CHRNA4/GJB3/KCNK17/GLRA3/ABCC8/KCNK3/TRPV2/KCNC2/GRIK5/SCN2B/SLC26A7/CACNB1/SCN1A/FKBP1B/KCNJ9/CHRNA5/RHAG/CACNG2/AQP3/GABRE/CNGA3/CACNA1D/GABRB1/GJA1/CLCN4/FAM155A/BEST1/CLIC4/ATP6V1A/ORAI3/GLRA2/CDK5/KCNMB3/TRPV4/NALCN/TMEM38A/KCNQ1/KCNQ2/NCS1/FAM155B/P2RX5/KCNT2/SCN7A/KCNA5/GJB5/PIEZO1/CLCN5/GLRB/P2RX6/KCNJ2/GRIN1/KCNAB1/CACNG7/CHRNA1/KCND2/GJC3/TMEM37/GRIN2A/PANX2/LRRC55/KCNK5/HCN3/TMC8/GJC2/ASIC2/KCNH6/GABRP/KCNAB3/KCNQ3/CLDN4/SLC24A3/HCN1/SEC61A1/GJA5/P2RX4/TMEM63C/STEAP1/AQP11/TOMM40L/CLIC5/HTR3C/KCNMB1/KCNIP3/KCNJ5/ANXA9/MPV17/ANO4/CFTR/CLCC1/KCNJ11/ANO7/SLC24A2/ANO1/CACNA1H/BCL2/KCNE2/CHRNA6/CLCN2/CACNA1I/TMEM175/AQP10/KCNB1/SLC26A6/AQP6/GRIN3A/KCNN1/SLC14A1/P2RX1/CACNA1A/CLCA2/SCN5A/PTK2B/AQP8/AQP1/CACNG5/CACNB2/KCNJ3/GJB4/GJC1/TMEM38B/AQP7/KCNA4/GJD2/ASIC3/GABRG2/KCNJ4/SCN11A/TRPC4/RASA3/SCN4B/CACNA2D2/MCOLN2/ATP5PO/KCNE1/OTOP3/KCNMB2/BEST4/KCNA3/SCNN1D/GRID1/CHRNA9/TRPC3/TRPC1/KCNN2/CLCN1/ATP6/GABRB2/CATSPER2/CACNA1G/PKD2L1/CYBB/TRPV3/PKD1/HTR3B/CLCNKB/OPRM1/KCNJ10/PANX1/KCNMA1/KCNH3/HCN2/CALHM4/CACNA2D4/CLIC6/BEST3/TRPC5/CATSPER4/KCND1/PRF1",248
"GO:0022803","GO:0022803","passive transmembrane transporter activity","248/7781","408/15349",2.0843839906387e-05,0.00637803399619304,0.00595724450348645,"CNR1/P2RX3/SNAP25/ASIC4/ASIC1/SCN3A/SCN2A/GRIK1/KCNE3/GJA4/GPM6A/CACNA1E/ANXA6/KCNIP4/CHRNB4/KCNH1/CHRNB3/TMC6/GRIK2/KCNH8/CACNG4/TTYH2/CACNB4/KCNB2/ANXA2/BAX/ITPR3/CALHM5/GRIA4/CHRNB2/GABRA3/TSPOAP1/CHRNA3/CLIC1/SLC24A4/LRRC8C/ANO5/APOL1/GRIA2/CNGB1/GRIA3/KCNJ6/TMEM109/CACNA1B/KCNH2/GABRB3/KCNS3/HVCN1/ITGAV/UNC80/ZACN/GRIK3/CACNB3/KCNC1/RYR2/HCN4/SCN9A/KCNAB2/KCNA2/ITPR1/CACNA2D1/SHROOM2/KCNC4/CACNG3/TMEM63B/TRPV1/SLC4A11/KCNJ15/KCNH7/GRIA1/ORAI1/SLC24A1/TMEM63A/KCNS2/SCN8A/ANO10/TMEM150C/PKD1L1/KCNK6/CHRNA4/GJB3/KCNK17/GLRA3/ABCC8/KCNK3/TRPV2/KCNC2/GRIK5/SCN2B/SLC26A7/CACNB1/SCN1A/FKBP1B/KCNJ9/CHRNA5/RHAG/CACNG2/AQP3/GABRE/CNGA3/CACNA1D/GABRB1/GJA1/CLCN4/FAM155A/BEST1/CLIC4/ATP6V1A/ORAI3/GLRA2/CDK5/KCNMB3/TRPV4/NALCN/TMEM38A/KCNQ1/KCNQ2/NCS1/FAM155B/P2RX5/KCNT2/SCN7A/KCNA5/GJB5/PIEZO1/CLCN5/GLRB/P2RX6/KCNJ2/GRIN1/KCNAB1/CACNG7/CHRNA1/KCND2/GJC3/TMEM37/GRIN2A/PANX2/LRRC55/KCNK5/HCN3/TMC8/GJC2/ASIC2/KCNH6/GABRP/KCNAB3/KCNQ3/CLDN4/SLC24A3/HCN1/SEC61A1/GJA5/P2RX4/TMEM63C/STEAP1/AQP11/TOMM40L/CLIC5/HTR3C/KCNMB1/KCNIP3/KCNJ5/ANXA9/MPV17/ANO4/CFTR/CLCC1/KCNJ11/ANO7/SLC24A2/ANO1/CACNA1H/BCL2/KCNE2/CHRNA6/CLCN2/CACNA1I/TMEM175/AQP10/KCNB1/SLC26A6/AQP6/GRIN3A/KCNN1/SLC14A1/P2RX1/CACNA1A/CLCA2/SCN5A/PTK2B/AQP8/AQP1/CACNG5/CACNB2/KCNJ3/GJB4/GJC1/TMEM38B/AQP7/KCNA4/GJD2/ASIC3/GABRG2/KCNJ4/SCN11A/TRPC4/RASA3/SCN4B/CACNA2D2/MCOLN2/ATP5PO/KCNE1/OTOP3/KCNMB2/BEST4/KCNA3/SCNN1D/GRID1/CHRNA9/TRPC3/TRPC1/KCNN2/CLCN1/ATP6/GABRB2/CATSPER2/CACNA1G/PKD2L1/CYBB/TRPV3/PKD1/HTR3B/CLCNKB/OPRM1/KCNJ10/PANX1/KCNMA1/KCNH3/HCN2/CALHM4/CACNA2D4/CLIC6/BEST3/TRPC5/CATSPER4/KCND1/PRF1",248
"GO:0022836","GO:0022836","gated channel activity","184/7781","294/15349",2.24578661837783e-05,0.00637803399619304,0.00595724450348645,"CNR1/P2RX3/SNAP25/ASIC4/ASIC1/SCN3A/SCN2A/GRIK1/KCNE3/CACNA1E/ANXA6/KCNIP4/CHRNB4/KCNH1/CHRNB3/TMC6/GRIK2/KCNH8/CACNG4/TTYH2/CACNB4/KCNB2/ITPR3/GRIA4/CHRNB2/GABRA3/TSPOAP1/CHRNA3/CLIC1/ANO5/GRIA2/CNGB1/GRIA3/KCNJ6/TMEM109/CACNA1B/KCNH2/GABRB3/KCNS3/HVCN1/ITGAV/ZACN/GRIK3/CACNB3/KCNC1/RYR2/HCN4/SCN9A/KCNAB2/KCNA2/ITPR1/CACNA2D1/SHROOM2/KCNC4/CACNG3/TMEM63B/TRPV1/KCNJ15/KCNH7/GRIA1/TMEM63A/KCNS2/SCN8A/ANO10/TMEM150C/KCNK6/CHRNA4/KCNK17/GLRA3/ABCC8/KCNK3/KCNC2/GRIK5/SCN2B/CACNB1/SCN1A/FKBP1B/KCNJ9/CHRNA5/CACNG2/GABRE/CNGA3/CACNA1D/GABRB1/CLCN4/FAM155A/CLIC4/GLRA2/CDK5/KCNMB3/TRPV4/NALCN/KCNQ1/KCNQ2/NCS1/FAM155B/P2RX5/KCNT2/SCN7A/KCNA5/PIEZO1/CLCN5/GLRB/P2RX6/KCNJ2/GRIN1/KCNAB1/CACNG7/CHRNA1/KCND2/TMEM37/GRIN2A/LRRC55/KCNK5/HCN3/TMC8/ASIC2/KCNH6/GABRP/KCNAB3/KCNQ3/HCN1/P2RX4/TMEM63C/CLIC5/HTR3C/KCNMB1/KCNIP3/KCNJ5/ANO4/CFTR/KCNJ11/ANO7/ANO1/CACNA1H/KCNE2/CHRNA6/CLCN2/CACNA1I/KCNB1/GRIN3A/KCNN1/P2RX1/CACNA1A/CLCA2/SCN5A/PTK2B/AQP1/CACNG5/CACNB2/KCNJ3/KCNA4/ASIC3/GABRG2/KCNJ4/SCN11A/RASA3/SCN4B/CACNA2D2/MCOLN2/KCNE1/KCNMB2/KCNA3/SCNN1D/GRID1/CHRNA9/KCNN2/CLCN1/GABRB2/CATSPER2/CACNA1G/PKD2L1/CYBB/HTR3B/CLCNKB/OPRM1/KCNJ10/KCNMA1/KCNH3/HCN2/CACNA2D4/CLIC6/CATSPER4/KCND1",184
"GO:0005261","GO:0005261","cation channel activity","182/7781","292/15349",3.50098903944211e-05,0.00795424709761246,0.0074294672668582,"CNR1/P2RX3/SNAP25/ASIC4/ASIC1/SCN3A/SCN2A/GRIK1/KCNE3/GPM6A/CACNA1E/ANXA6/KCNIP4/CHRNB4/KCNH1/CHRNB3/GRIK2/KCNH8/CACNG4/CACNB4/KCNB2/ANXA2/ITPR3/CALHM5/GRIA4/CHRNB2/TSPOAP1/CHRNA3/SLC24A4/GRIA2/CNGB1/GRIA3/KCNJ6/CACNA1B/KCNH2/KCNS3/HVCN1/ITGAV/UNC80/GRIK3/CACNB3/KCNC1/RYR2/HCN4/SCN9A/KCNAB2/KCNA2/ITPR1/CACNA2D1/SHROOM2/KCNC4/CACNG3/TMEM63B/TRPV1/SLC4A11/KCNJ15/KCNH7/GRIA1/ORAI1/SLC24A1/TMEM63A/KCNS2/SCN8A/ANO10/PKD1L1/KCNK6/CHRNA4/KCNK17/ABCC8/KCNK3/TRPV2/KCNC2/GRIK5/SCN2B/CACNB1/SCN1A/FKBP1B/KCNJ9/CHRNA5/CACNG2/CNGA3/CACNA1D/FAM155A/ATP6V1A/ORAI3/CDK5/KCNMB3/TRPV4/NALCN/TMEM38A/KCNQ1/KCNQ2/NCS1/FAM155B/P2RX5/KCNT2/SCN7A/KCNA5/PIEZO1/P2RX6/KCNJ2/GRIN1/KCNAB1/CACNG7/CHRNA1/KCND2/TMEM37/GRIN2A/LRRC55/KCNK5/HCN3/ASIC2/KCNH6/KCNAB3/KCNQ3/SLC24A3/HCN1/SEC61A1/P2RX4/TMEM63C/HTR3C/KCNMB1/KCNIP3/KCNJ5/ANXA9/KCNJ11/SLC24A2/ANO1/CACNA1H/KCNE2/CHRNA6/CACNA1I/TMEM175/KCNB1/GRIN3A/KCNN1/P2RX1/CACNA1A/SCN5A/PTK2B/AQP1/CACNG5/CACNB2/KCNJ3/TMEM38B/KCNA4/ASIC3/KCNJ4/SCN11A/TRPC4/RASA3/SCN4B/CACNA2D2/MCOLN2/ATP5PO/KCNE1/OTOP3/KCNMB2/KCNA3/SCNN1D/CHRNA9/TRPC3/TRPC1/KCNN2/ATP6/CATSPER2/CACNA1G/PKD2L1/TRPV3/PKD1/HTR3B/OPRM1/KCNJ10/PANX1/KCNMA1/KCNH3/HCN2/CALHM4/CACNA2D4/TRPC5/CATSPER4/KCND1",182
"GO:0005543","GO:0005543","phospholipid binding","248/7781","413/15349",6.73334354111304e-05,0.0111933510598448,0.0104548720054889,"SHC1/MAPT/SYT7/SYT1/GAP43/ANXA5/SYT4/BSCL2/SNAP91/SNX1/GSDMD/ANXA6/SNX7/UNC13A/KCNH1/OSBPL10/DYSF/PLTP/PCYT1A/RAPGEF6/HS1BP3/SYT11/ANXA2/ESYT1/MTM1/GSN/ITPR3/CAPG/CPNE8/ANXA4/RUBCNL/ARAP3/ANXA7/ARL6/AMER3/MYO1E/CPNE2/ANXA3/SYT2/FES/SGIP1/SPTBN2/SYT9/SNX2/SNX10/ABCA1/TULP3/CAVIN2/ITPR1/IQGAP2/CCDC88A/TLN1/PLCB1/CLVS2/TRPV1/PLA2G4A/SNX32/AMER2/LPAR1/LDLRAP1/THBS1/SDCBP/SYT13/SMPD3/ARAP2/PXDC1/MYOF/RASA4B/PARD3B/C2CD5/ANXA1/CPNE9/WNT5A/WDFY3/SNX3/PLD2/IQGAP1/PSD/SPTBN4/APOM/SPTBN1/VPS36/SGK3/AMPH/ARFIP1/ASAP1/MFGE8/MME/ARHGAP33/EPB41/DGKA/ADAP1/PLD1/PLEKHF2/ING2/MARK1/PIK3C2A/ANXA11/SNCA/PHLDA3/SYT6/KCNQ1/RAPGEF2/DENND1B/BAIAP2L2/SYT5/VAMP2/LAPTM4B/GLE1/APOC1/MICALL1/FCHO2/MYO10/TPP1/STAP1/SNX8/VILL/STXBP6/SMURF1/KCNJ2/UCP1/SCARB2/ATP8B1/DOC2B/SYTL2/CLINT1/SNX30/SH3YL1/PSD2/RUBCN/PREX1/AGAP1/SNX5/CPNE3/MAP1B/ARHGAP32/FZD7/OSBPL8/PRKCI/CPNE4/APOB/GOLPH3L/GBF1/ZCCHC2/GLTP/ZFYVE16/PFN2/SYT12/THY1/AXL/ARHGAP26/VEPH1/SYTL4/GPR12/LPAR4/SNX14/CPNE7/OPHN1/ANXA9/APOE/ARHGAP44/SNX11/PLA2G4B/C2CD2L/F10/SNX9/SNX24/GSDME/WIPI1/ALOX15/JPH2/TWF2/PLA2G7/MAP1LC3A/ARAP1/PTAFR/PLEKHA5/PIK3C2B/PLA2G15/EXOC1/CARMIL2/PCTP/ATP13A2/AIDA/PLA2G4C/PITPNM1/SESTD1/SLC9A1/PPT1/EPDR1/PICK1/SNX27/ADGRB1/PACSIN3/PCLO/CHMP3/PLCD1/STOML2/DOC2A/FERMT2/TEC/ZFYVE28/PLEKHA4/TIRAP/EXOC1L/ATG2B/ARHGAP35/CPS1/CPNE6/TTPAL/GAS6/NUP62/NUP62CL/DPEP1/PLEK2/NME4/OSBPL1A/RASA4/RASGRP1/SNX22/GRK5/SNX20/PIGK/PARD3/TNFAIP8L3/MTSS2/ABCG1/WDFY1/PASK/GOLPH3/SNX33/BTK/UNC13B/ARHGAP9/OSBPL5/SEPTIN12/PHLDA1/PCYT1B/SNX18/PLEKHA3/NRGN/C8orf44-SGK3/SNX29/SCARB1/JAG1/CGAS/SAP30L/BAIAP3",248
"GO:0005178","GO:0005178","integrin binding","89/7781","132/15349",6.89731139251003e-05,0.0111933510598448,0.0104548720054889,"JAM3/ICAM2/FN1/CD9/F11R/NRG1/IGF1/ADAM11/ICAM3/UTRN/KDR/VWF/ANXA7/DST/PLPP3/ITGAV/ITGA5/EDIL3/MMP14/LCP1/ITGB1/ADAM15/ISG15/TLN1/MYH9/FBN1/THBS1/FGF2/LAMB2/LAMB1/TSPAN4/TIMP2/ITGA2/ADAM22/CXADR/MFGE8/ICAM4/CCN2/LAMA5/VTN/ACTN1/PTK2/ITGB5/SPP1/ADAM10/ADAM17/FRMD5/CD81/CCN1/ECM2/LYN/TNN/THY1/TGFBI/ITGBL1/CX3CL1/ICAM1/ADAMTS13/EMP2/CDH26/CALR/LGALS8/MADCAM1/TLN2/ACTN4/JAML/ITGB8/JAM2/ICAM5/COL5A1/TNXB/FERMT2/CCN5/ITGB1BP2/COL3A1/ADAMTS5/SYK/ITGA4/P4HB/PTN/PPIA/IL1B/COL16A1/ESM1/ADAM23/THBS4/ITGA3/ITGB2/FERMT3",89
"GO:0019838","GO:0019838","growth factor binding","83/7781","125/15349",0.000263328922391381,0.0299230530393095,0.0279488857149963,"IGFBP4/NRP1/SHC1/IGFBPL1/CD109/FLT1/IGFBP2/COL4A1/TGFBR2/COL1A2/ACVR2A/NTRK1/RPS19/NTRK3/TEK/KDR/HYAL2/FGFR1/PDGFB/TGFBR3/ITGAV/GPC1/NRP2/COL6A1/FLT4/THBS1/IGFBP3/TGFB3/ACVRL1/IL6ST/FURIN/IGFBP1/A2M/INSR/LRRC32/IGF2R/RHBDF1/NTRK2/CCN2/IGFBP6/FIBP/ENG/FSTL4/CRIM1/IL11RA/RHBDF2/ACVR1B/ACVR2B/CCN1/LTBP1/NRROS/OSMR/LIFR/FGFR4/KAZALD1/PDGFRB/IL6R/PCSK6/COL1A1/SEC61B/WFIKKN1/ITGA6/IL2RB/LTBP2/WFIKKN2/SCN5A/COL5A1/RPS2/TRIM16/S100A13/KL/CCN5/NGFR/HTRA1/COL3A1/PTN/IGFBP7/ACVR1/ESM1/IL1R1/ERBB3/IGFBP5/IL2RG",83
"GO:0005216","GO:0005216","ion channel activity","222/7781","372/15349",0.000263416681602407,0.0299230530393095,0.0279488857149963,"CNR1/P2RX3/SNAP25/ASIC4/ASIC1/SCN3A/SCN2A/GRIK1/KCNE3/GPM6A/CACNA1E/ANXA6/KCNIP4/CHRNB4/KCNH1/CHRNB3/TMC6/GRIK2/KCNH8/CACNG4/TTYH2/CACNB4/KCNB2/ANXA2/ITPR3/CALHM5/GRIA4/CHRNB2/GABRA3/TSPOAP1/CHRNA3/CLIC1/SLC24A4/LRRC8C/ANO5/APOL1/GRIA2/CNGB1/GRIA3/KCNJ6/CACNA1B/KCNH2/GABRB3/KCNS3/HVCN1/ITGAV/UNC80/ZACN/GRIK3/CACNB3/KCNC1/RYR2/HCN4/SCN9A/KCNAB2/KCNA2/ITPR1/CACNA2D1/SHROOM2/KCNC4/CACNG3/TMEM63B/TRPV1/SLC4A11/KCNJ15/KCNH7/GRIA1/ORAI1/SLC24A1/TMEM63A/KCNS2/SCN8A/ANO10/TMEM150C/PKD1L1/KCNK6/CHRNA4/KCNK17/GLRA3/ABCC8/KCNK3/TRPV2/KCNC2/GRIK5/SCN2B/SLC26A7/CACNB1/SCN1A/FKBP1B/KCNJ9/CHRNA5/CACNG2/GABRE/CNGA3/CACNA1D/GABRB1/CLCN4/FAM155A/BEST1/CLIC4/ATP6V1A/ORAI3/GLRA2/CDK5/KCNMB3/TRPV4/NALCN/TMEM38A/KCNQ1/KCNQ2/NCS1/FAM155B/P2RX5/KCNT2/SCN7A/KCNA5/PIEZO1/CLCN5/GLRB/P2RX6/KCNJ2/GRIN1/KCNAB1/CACNG7/CHRNA1/KCND2/TMEM37/GRIN2A/LRRC55/KCNK5/HCN3/TMC8/ASIC2/KCNH6/GABRP/KCNAB3/KCNQ3/CLDN4/SLC24A3/HCN1/SEC61A1/P2RX4/TMEM63C/CLIC5/HTR3C/KCNMB1/KCNIP3/KCNJ5/ANXA9/ANO4/CFTR/CLCC1/KCNJ11/ANO7/SLC24A2/ANO1/CACNA1H/KCNE2/CHRNA6/CLCN2/CACNA1I/TMEM175/KCNB1/SLC26A6/GRIN3A/KCNN1/P2RX1/CACNA1A/CLCA2/SCN5A/PTK2B/AQP1/CACNG5/CACNB2/KCNJ3/GJC1/TMEM38B/KCNA4/ASIC3/GABRG2/KCNJ4/SCN11A/TRPC4/RASA3/SCN4B/CACNA2D2/MCOLN2/ATP5PO/KCNE1/OTOP3/KCNMB2/BEST4/KCNA3/SCNN1D/GRID1/CHRNA9/TRPC3/TRPC1/KCNN2/CLCN1/ATP6/GABRB2/CATSPER2/CACNA1G/PKD2L1/TRPV3/PKD1/HTR3B/CLCNKB/OPRM1/KCNJ10/PANX1/KCNMA1/KCNH3/HCN2/CALHM4/CACNA2D4/CLIC6/BEST3/TRPC5/CATSPER4/KCND1",222
"GO:0005516","GO:0005516","calmodulin binding","117/7781","184/15349",0.000264270230299383,0.0299230530393095,0.0279488857149963,"SMTNL1/MAP6/SYT7/TJP1/SYT1/GAP43/RGS16/PCP4/ATP2B3/ADD3/CALD1/CAMKV/UNC13A/FAS/KCNH1/ADD2/ITPKB/CNN2/CAMK2B/MYO5A/MYO1E/AKAP12/RYR2/RIT1/IQGAP2/CTH/PLCB1/TRPV1/MYH9/ORAI1/MAP2/EEF1A1/ATP2B2/MKNK2/CEACAM1/NOS3/CAMK1D/IQGAP1/MYO5C/MYO1C/PCNT/PPP3CB/SPTBN1/EPB41/MYH15/CAMSAP2/MYH6/TRPV4/CNN1/KCNQ1/MYH10/KCNQ2/VAMP2/MYLK2/ATP2B1/ATP2B4/MYO10/FBXL2/MYLK/CAMKK1/SLC8A3/MYO7A/SLC8A2/GRIN1/PHKB/MKNK1/IQCB1/CAMK2A/KCNQ3/CEP97/IQGAP3/CAMK1G/PPP3CA/RASGRF2/TTN/MARCKS/MYO3A/AEBP1/STRN/AKAP5/PDE1B/CAMKK2/SPHK1/KCNN1/CAMK2D/SLC9A1/RGS4/SCN5A/MYO15A/CAMSAP1/CNN3/MYH2/MYH7/CAMSAP3/SLC8A1/ASPM/NGFR/CAMK4/PLCB3/DAPK2/RGS2/DAPK1/SNTB1/KCNN2/PHKG1/MYH11/NOS1/UNC13B/NOS2/RIT2/CAMK1/NRGN/ADCY1/PNCK/SPATA17/SPA17/ADCY3",117
