"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022836","GO:0022836","gated channel activity","189/7486","294/15349",4.59074406671239e-08,5.21508525978528e-05,4.68739131022213e-05,"P2RX3/CNR1/SNAP25/ASIC4/SCN2A/ASIC1/SCN3A/GRIK1/CACNA1E/KCNIP4/KCNE3/TMC6/CHRNB4/KCNH1/ANXA6/CHRNB3/TTYH2/KCNH8/GABRA3/CACNB4/GRIK2/KCNB2/TSPOAP1/ITPR3/CACNG4/ANO5/CHRNB2/CLIC1/CHRNA3/GRIA2/KCNH2/KCNJ6/CNGB1/CACNA1B/SCN9A/GRIA4/KCNAB2/CACNG3/ITPR1/GRIA3/TMEM63B/GRIK3/KCNC1/KCNJ15/KCNS3/SHROOM2/KCNA2/HVCN1/HCN4/CACNB3/TMEM109/KCNK17/CACNA1D/GABRB3/SCN8A/ITGAV/CACNA2D1/GABRE/TRPV1/ZACN/ANO10/SCN1A/TMEM63A/KCNS2/GRIK5/KCNH7/RYR2/TMEM150C/CHRNA4/KCNC4/ABCC8/KCNK3/FKBP1B/GABRB1/KCNJ9/SCN2B/GLRA2/GLRA3/TMC8/CACNB1/KCNC2/CNGA3/CHRNA5/FAM155A/CACNG2/NALCN/KCNQ1/KCNQ2/KCNA5/CLCN4/KCNT2/NCS1/P2RX5/GRIA1/GRIN2A/CHRNA1/FAM155B/GLRB/KCNK6/CDK5/CACNG7/TMEM37/CLIC4/PIEZO1/KCNJ2/TMEM63C/KCNQ3/HCN3/CLCN5/KCNIP3/CLCN2/CACNA1I/KCNJ11/LRRC55/GRIN1/ASIC2/P2RX6/KCND2/SCN7A/KCNN1/GABRP/KCNAB1/TRPV4/HTR3C/KCNAB3/ANO7/P2RX4/GRIN3A/HCN1/CACNA1H/CACNA1A/KCNA4/ANO4/KCNJ4/CACNA2D2/KCNJ5/KCNMB3/KCNMB1/KCNH6/GABRG2/KCNB1/KCNIP2/KCNE2/ASIC3/PIEZO2/CHRNA6/KCNMB4/KCNH3/RASA3/CLCA2/P2RX1/KCNK5/KCNA3/KCNK12/PTK2B/KCNMB2/CHRNB1/CACNG5/SCN4B/SCNN1D/CLIC5/CACNA2D4/KCNH5/SCN11A/TRPM3/CATSPER2/ANO8/CFTR/AQP1/MCOLN2/KCNK10/CLCN1/HCN2/GRIN2D/KCND3/CNGA1/GABRG3/TTYH1/MCOLN1/KCNN3/CACNA1G/GABRA1/KCNJ3/SCN1B/KCND1/PKD2L1/KCNJ10/CHRNA2/CLIC2",189
"GO:0005261","GO:0005261","cation channel activity","185/7486","292/15349",2.91443027677007e-07,0.00016553963972054,0.000148789335182472,"P2RX3/CNR1/SNAP25/ASIC4/SCN2A/ASIC1/SCN3A/GRIK1/CACNA1E/KCNIP4/GPM6A/KCNE3/CHRNB4/KCNH1/ANXA6/CHRNB3/CALHM5/KCNH8/CACNB4/GRIK2/SLC24A4/ANXA2/KCNB2/TSPOAP1/ITPR3/CACNG4/CHRNB2/CHRNA3/GRIA2/KCNH2/KCNJ6/CNGB1/CACNA1B/SCN9A/GRIA4/KCNAB2/CACNG3/ITPR1/GRIA3/TMEM63B/GRIK3/KCNC1/KCNJ15/KCNS3/SHROOM2/KCNA2/HVCN1/HCN4/CACNB3/UNC80/KCNK17/CACNA1D/SCN8A/TRPV2/ITGAV/CACNA2D1/TRPV1/ANO10/SCN1A/TMEM63A/KCNS2/GRIK5/KCNH7/RYR2/CHRNA4/KCNC4/ABCC8/SLC24A1/KCNK3/FKBP1B/ORAI1/KCNJ9/SCN2B/SLC4A11/CACNB1/KCNC2/CNGA3/CHRNA5/TMEM38A/FAM155A/CACNG2/NALCN/KCNQ1/KCNQ2/KCNA5/KCNT2/NCS1/P2RX5/ATP6V1A/GRIA1/GRIN2A/CHRNA1/FAM155B/KCNK6/CDK5/PKD1L1/CACNG7/TMEM37/PIEZO1/KCNJ2/TMEM63C/KCNQ3/HCN3/KCNIP3/ANXA9/CACNA1I/KCNJ11/SEC61A1/LRRC55/GRIN1/ASIC2/P2RX6/KCND2/SLC24A2/SCN7A/KCNN1/KCNAB1/TRPV4/HTR3C/KCNAB3/ORAI3/P2RX4/GRIN3A/HCN1/CACNA1H/CACNA1A/KCNA4/KCNJ4/CACNA2D2/KCNJ5/KCNMB3/KCNMB1/KCNH6/CALHM4/KCNB1/KCNIP2/KCNE2/TMEM175/ASIC3/PIEZO2/CHRNA6/KCNMB4/SLC24A3/KCNH3/RASA3/P2RX1/KCNK5/PSEN1/KCNA3/KCNK12/PTK2B/KCNMB2/CHRNB1/CACNG5/ATP5MG/OTOP3/SCN4B/SCNN1D/CACNA2D4/KCNH5/SCN11A/TRPM3/CATSPER2/AQP1/MCOLN2/KCNK10/PKD1/HCN2/GRIN2D/KCND3/CNGA1/MCOLN1/ATP6/TRPC1/CALHM6/KCNN3/CACNA1G/KCNJ3/SCN1B/KCND1/TRPV3/PKD2L1/KCNJ10/CHRNA2/CALHM2",185
"GO:0015267","GO:0015267","channel activity","247/7486","407/15349",6.6043264395734e-07,0.000247315644122728,0.000222290747589924,"P2RX3/CNR1/SNAP25/ASIC4/SCN2A/ASIC1/SCN3A/GRIK1/CACNA1E/GJA4/KCNIP4/GPM6A/KCNE3/TMC6/CHRNB4/KCNH1/ANXA6/CHRNB3/CALHM5/TTYH2/KCNH8/GABRA3/CACNB4/GRIK2/SLC24A4/ANXA2/KCNB2/TSPOAP1/ITPR3/CACNG4/BAX/APOL1/ANO5/CHRNB2/CLIC1/CHRNA3/GRIA2/KCNH2/KCNJ6/CNGB1/CACNA1B/SCN9A/GRIA4/KCNAB2/LRRC8C/CACNG3/ITPR1/GRIA3/TMEM63B/GRIK3/KCNC1/KCNJ15/KCNS3/SHROOM2/KCNA2/HVCN1/HCN4/CACNB3/TMEM109/UNC80/KCNK17/CACNA1D/GABRB3/SCN8A/TRPV2/ITGAV/CACNA2D1/GABRE/TRPV1/ZACN/ANO10/GJB3/SCN1A/TMEM63A/KCNS2/GRIK5/KCNH7/RYR2/TMEM150C/CHRNA4/KCNC4/ABCC8/SLC24A1/KCNK3/FKBP1B/GABRB1/ORAI1/SLC26A7/RHAG/KCNJ9/SCN2B/SLC4A11/GLRA2/GLRA3/TMC8/CACNB1/KCNC2/CNGA3/CHRNA5/AQP3/TMEM38A/FAM155A/CACNG2/NALCN/GJC3/KCNQ1/KCNQ2/KCNA5/CLCN4/KCNT2/NCS1/P2RX5/ATP6V1A/GJB5/GRIA1/PANX2/GRIN2A/CHRNA1/FAM155B/GLRB/KCNK6/CDK5/BEST1/PKD1L1/CACNG7/TMEM37/GJA5/CLIC4/PIEZO1/KCNJ2/GJC2/TMEM63C/KCNQ3/HCN3/CLCN5/KCNIP3/CLCN2/ANXA9/CACNA1I/GJB4/KCNJ11/SEC61A1/LRRC55/GRIN1/ASIC2/P2RX6/KCND2/SLC24A2/SCN7A/KCNN1/GABRP/KCNAB1/TRPV4/HTR3C/KCNAB3/ANO7/AQP11/ORAI3/P2RX4/GRIN3A/GJA1/HCN1/CACNA1H/CACNA1A/KCNA4/ANO4/KCNJ4/SLC14A1/CACNA2D2/KCNJ5/KCNMB3/KCNMB1/KCNH6/GABRG2/SLC26A6/CALHM4/KCNB1/KCNIP2/KCNE2/MPV17/AQP6/TMEM175/BCL2/CLCC1/ASIC3/PIEZO2/CHRNA6/KCNMB4/SLC24A3/KCNH3/RASA3/CLCA2/P2RX1/KCNK5/PSEN1/GJD2/KCNA3/KCNK12/PTK2B/BEST4/STEAP1/KCNMB2/CHRNB1/CACNG5/GJC1/ATP5MG/OTOP3/SCN4B/SCNN1D/CLIC5/AQP7/CACNA2D4/KCNH5/SCN11A/TRPM3/CATSPER2/ANO8/CFTR/AQP1/MCOLN2/KCNK10/PKD1/CLCN1/HCN2/GRIN2D/KCND3/CNGA1/GABRG3/TTYH1/MCOLN1/AQP8/ATP6/TRPC1/CALHM6/KCNN3/CACNA1G/CLDN4/GABRA1/KCNJ3/SCN1B/KCND1/TRPV3/PKD2L1/KCNJ10/CHRNA2/CALHM2/CLIC2",247
"GO:0022803","GO:0022803","passive transmembrane transporter activity","247/7486","408/15349",8.70829732826506e-07,0.000247315644122728,0.000222290747589924,"P2RX3/CNR1/SNAP25/ASIC4/SCN2A/ASIC1/SCN3A/GRIK1/CACNA1E/GJA4/KCNIP4/GPM6A/KCNE3/TMC6/CHRNB4/KCNH1/ANXA6/CHRNB3/CALHM5/TTYH2/KCNH8/GABRA3/CACNB4/GRIK2/SLC24A4/ANXA2/KCNB2/TSPOAP1/ITPR3/CACNG4/BAX/APOL1/ANO5/CHRNB2/CLIC1/CHRNA3/GRIA2/KCNH2/KCNJ6/CNGB1/CACNA1B/SCN9A/GRIA4/KCNAB2/LRRC8C/CACNG3/ITPR1/GRIA3/TMEM63B/GRIK3/KCNC1/KCNJ15/KCNS3/SHROOM2/KCNA2/HVCN1/HCN4/CACNB3/TMEM109/UNC80/KCNK17/CACNA1D/GABRB3/SCN8A/TRPV2/ITGAV/CACNA2D1/GABRE/TRPV1/ZACN/ANO10/GJB3/SCN1A/TMEM63A/KCNS2/GRIK5/KCNH7/RYR2/TMEM150C/CHRNA4/KCNC4/ABCC8/SLC24A1/KCNK3/FKBP1B/GABRB1/ORAI1/SLC26A7/RHAG/KCNJ9/SCN2B/SLC4A11/GLRA2/GLRA3/TMC8/CACNB1/KCNC2/CNGA3/CHRNA5/AQP3/TMEM38A/FAM155A/CACNG2/NALCN/GJC3/KCNQ1/KCNQ2/KCNA5/CLCN4/KCNT2/NCS1/P2RX5/ATP6V1A/GJB5/GRIA1/PANX2/GRIN2A/CHRNA1/FAM155B/GLRB/KCNK6/CDK5/BEST1/PKD1L1/CACNG7/TMEM37/GJA5/CLIC4/PIEZO1/KCNJ2/GJC2/TMEM63C/KCNQ3/HCN3/CLCN5/KCNIP3/CLCN2/ANXA9/CACNA1I/GJB4/KCNJ11/SEC61A1/LRRC55/GRIN1/ASIC2/P2RX6/KCND2/SLC24A2/SCN7A/KCNN1/GABRP/KCNAB1/TRPV4/HTR3C/KCNAB3/ANO7/AQP11/ORAI3/P2RX4/GRIN3A/GJA1/HCN1/CACNA1H/CACNA1A/KCNA4/ANO4/KCNJ4/SLC14A1/CACNA2D2/KCNJ5/KCNMB3/KCNMB1/KCNH6/GABRG2/SLC26A6/CALHM4/KCNB1/KCNIP2/KCNE2/MPV17/AQP6/TMEM175/BCL2/CLCC1/ASIC3/PIEZO2/CHRNA6/KCNMB4/SLC24A3/KCNH3/RASA3/CLCA2/P2RX1/KCNK5/PSEN1/GJD2/KCNA3/KCNK12/PTK2B/BEST4/STEAP1/KCNMB2/CHRNB1/CACNG5/GJC1/ATP5MG/OTOP3/SCN4B/SCNN1D/CLIC5/AQP7/CACNA2D4/KCNH5/SCN11A/TRPM3/CATSPER2/ANO8/CFTR/AQP1/MCOLN2/KCNK10/PKD1/CLCN1/HCN2/GRIN2D/KCND3/CNGA1/GABRG3/TTYH1/MCOLN1/AQP8/ATP6/TRPC1/CALHM6/KCNN3/CACNA1G/CLDN4/GABRA1/KCNJ3/SCN1B/KCND1/TRPV3/PKD2L1/KCNJ10/CHRNA2/CALHM2/CLIC2",247
"GO:0005216","GO:0005216","ion channel activity","225/7486","372/15349",2.90109725052601e-06,0.000659129295319509,0.000592434596423206,"P2RX3/CNR1/SNAP25/ASIC4/SCN2A/ASIC1/SCN3A/GRIK1/CACNA1E/KCNIP4/GPM6A/KCNE3/TMC6/CHRNB4/KCNH1/ANXA6/CHRNB3/CALHM5/TTYH2/KCNH8/GABRA3/CACNB4/GRIK2/SLC24A4/ANXA2/KCNB2/TSPOAP1/ITPR3/CACNG4/APOL1/ANO5/CHRNB2/CLIC1/CHRNA3/GRIA2/KCNH2/KCNJ6/CNGB1/CACNA1B/SCN9A/GRIA4/KCNAB2/LRRC8C/CACNG3/ITPR1/GRIA3/TMEM63B/GRIK3/KCNC1/KCNJ15/KCNS3/SHROOM2/KCNA2/HVCN1/HCN4/CACNB3/UNC80/KCNK17/CACNA1D/GABRB3/SCN8A/TRPV2/ITGAV/CACNA2D1/GABRE/TRPV1/ZACN/ANO10/SCN1A/TMEM63A/KCNS2/GRIK5/KCNH7/RYR2/TMEM150C/CHRNA4/KCNC4/ABCC8/SLC24A1/KCNK3/FKBP1B/GABRB1/ORAI1/SLC26A7/KCNJ9/SCN2B/SLC4A11/GLRA2/GLRA3/TMC8/CACNB1/KCNC2/CNGA3/CHRNA5/TMEM38A/FAM155A/CACNG2/NALCN/KCNQ1/KCNQ2/KCNA5/CLCN4/KCNT2/NCS1/P2RX5/ATP6V1A/GRIA1/GRIN2A/CHRNA1/FAM155B/GLRB/KCNK6/CDK5/BEST1/PKD1L1/CACNG7/TMEM37/CLIC4/PIEZO1/KCNJ2/TMEM63C/KCNQ3/HCN3/CLCN5/KCNIP3/CLCN2/ANXA9/CACNA1I/KCNJ11/SEC61A1/LRRC55/GRIN1/ASIC2/P2RX6/KCND2/SLC24A2/SCN7A/KCNN1/GABRP/KCNAB1/TRPV4/HTR3C/KCNAB3/ANO7/ORAI3/P2RX4/GRIN3A/HCN1/CACNA1H/CACNA1A/KCNA4/ANO4/KCNJ4/CACNA2D2/KCNJ5/KCNMB3/KCNMB1/KCNH6/GABRG2/SLC26A6/CALHM4/KCNB1/KCNIP2/KCNE2/TMEM175/CLCC1/ASIC3/PIEZO2/CHRNA6/KCNMB4/SLC24A3/KCNH3/RASA3/CLCA2/P2RX1/KCNK5/PSEN1/KCNA3/KCNK12/PTK2B/BEST4/KCNMB2/CHRNB1/CACNG5/GJC1/ATP5MG/OTOP3/SCN4B/SCNN1D/CLIC5/CACNA2D4/KCNH5/SCN11A/TRPM3/CATSPER2/ANO8/CFTR/AQP1/MCOLN2/KCNK10/PKD1/CLCN1/HCN2/GRIN2D/KCND3/CNGA1/GABRG3/TTYH1/MCOLN1/ATP6/TRPC1/CALHM6/KCNN3/CACNA1G/CLDN4/GABRA1/KCNJ3/SCN1B/KCND1/TRPV3/PKD2L1/KCNJ10/CHRNA2/CALHM2/CLIC2",225
"GO:0005543","GO:0005543","phospholipid binding","246/7486","413/15349",5.25004528065753e-06,0.000994008573137826,0.000893428758287335,"MAPT/SYT7/SHC1/SYT1/GAP43/DYSF/SYT4/ANXA5/SNX1/SNAP91/PCYT1A/HS1BP3/UNC13A/BSCL2/KCNH1/ANXA6/CAVIN2/ESYT1/MTM1/ANXA2/ITPR3/GSDMD/OSBPL10/SYT11/FES/RUBCNL/CPNE8/SNX7/PLTP/AMER3/ANXA3/RAPGEF6/TLN1/ANXA7/SYT2/ITPR1/SGK3/ANXA4/ABCA1/SNX2/ARAP3/CPNE2/SNX10/MYOF/AMER2/SGIP1/SPTBN2/CLVS2/SYT9/RASA4B/SNX32/VPS36/PXDC1/GSN/ARL6/CCDC88A/PLA2G4A/TRPV1/SMPD3/TULP3/SDCBP/CPNE9/IQGAP2/PLD1/SPTBN4/SYT13/SPTBN1/CAPG/WNT5A/ANXA1/LDLRAP1/ASAP1/PLCB1/MICALL1/SNX3/ARAP2/PSD/SNCA/PARD3B/EPB41/SYT5/MYO1E/RAPGEF2/APOB/SYT6/VILL/LAPTM4B/SH3YL1/ARHGAP33/STAP1/AMPH/ADAP1/KCNQ1/BAIAP2L2/IQGAP1/CLINT1/VAMP2/C2CD5/PTAFR/APOM/PHLDA3/ANXA11/FCHO2/RUBCN/TPP1/PLD2/PIK3C2A/STXBP6/DGKA/THBS1/WDFY3/CPNE7/SNX24/ARFIP1/MAP1B/F10/GLE1/ARHGAP44/UCP1/SCARB2/DOC2B/SYT12/PIK3C2B/ARHGAP26/PSD2/KCNJ2/DENND1B/ING2/LPAR1/PLA2G15/MARK1/ANXA9/SNX8/APOC1/ADGRB1/PLEKHF2/CHMP3/PREX1/OSBPL8/JPH2/CPNE4/LPAR4/GPR12/CPNE3/MAP1LC3A/SNX22/PLA2G4B/PITPNA/THY1/SNX5/EXOC1/GSDME/AGAP1/SNX30/PRKCI/PLA2G4C/GOLPH3L/WIPI1/ZFYVE16/PFN2/GLTP/SCIN/SNX17/SMURF1/PITPNM1/PLEKHA5/SLC9A1/ATP13A2/CARMIL2/SNX9/PLA2G7/TEC/SNX14/MME/DOC2A/GBF1/RASA4/SNX11/OPHN1/ARHGAP32/SYTL5/TWF2/AXL/ZFYVE19/ATP8B1/SYTL4/C2CD2L/SYTL2/PCTP/ARHGAP35/ZFYVE28/PICK1/BTK/PCLO/GAS6/EXOC1L/TNFAIP8L3/ATG2B/ALOX15/TTPAL/WIPI2/PLA2G5/TIRAP/RASGRP1/PLEK2/PPT1/AIDA/ARAP1/PAFAH2/MYO10/GOLPH3/HIP1/APOE/FER1L5/ZFYVE1/MFGE8/PASK/PARD3/ZCCHC2/PIGK/SYTL3/EPDR1/SNX18/GRK5/CPNE6/PHLDA1/SESTD1/FZD7/MTSS2/VIL1/ARHGAP9/UNC13B/SNX20/KRIT1/PACSIN3/ABCG1/DPEP1/GSDMA/C8orf44-SGK3/OSBPL5/FERMT2/UNC13C/CPS1/BAIAP3/PLA2G4E/NUP62",246
"GO:0003735","GO:0003735","structural constituent of ribosome","105/7486","159/15349",7.55671403864044e-06,0.00122634673541365,0.00110225753646334,"RPS27L/RPS19/RPL23/RPLP2/RPL30/RPL7/RPS3/RPLP1/RPS27/RPS20/RPS12/RPL37/RPS16/RPL31/RPL14/RPS23/UBA52/RPL27A/RPS27A/RPL17/RPL28/RPS6/RPL37A/RPS4X/RPL32/RPL12/RPL10/RPL15/RPL5/RPL36A/RPLP0/RPL3/RPL36/RPL34/RPS17/RPL26/MRPS14/MRPL17/RPL13A/RPL11/RPL23A/RPL22/RPL4/RPS21/RPS15A/RPL36AL/RPL21/RPS14/RPL18A/RPL10A/RPS18/RPS10/RPL18/RPS7/RPS8/RPSA/RPS13/RPL19/RPL7A/MRPL16/RPL8/RPL35A/MRPL52/RPL41/MRPL11/RPS15/RPS11/MRPS9/RPS3A/RPS9/RPL27/RPS25/MRPS22/RPL9/RPS24/MRPL22/RPL29/RPS28/MRPL35/RPL6/RPS29/RPL35/MRPL51/RPL24/RPS26/RPL38/RPS5/MRPS16/MRPS18A/RPL39/DAP3/LZTS1-AS1/MRPS7/MRPL10/MRPL54/SRBD1/RPL26L1/MRPL14/MRPS17/MRPL19/RPS2/MRPL4/RPL13AP3/RPLP0P6/MRPS12",105
"GO:0003924","GO:0003924","GTPase activity","186/7486","307/15349",1.76805927597563e-05,0.00251064417188539,0.00225660197065311,"GNG3/RALB/GBP4/RHOG/RHOJ/RAB3A/GNG11/RGS5/GBP1/ATL1/RHOC/RAB26/RAB38/SEPTIN6/RAB33A/RGS16/SEPTIN3/RND3/ARHGDIB/DNAJC27/GNAO1/SEPTIN2/RGS3/RGS8/RAB27A/GIMAP7/RAB13/RAB6B/RRAGB/RGS10/SEPTIN5/TPPP/ATL3/RAP2B/TUBB4A/GNB5/RHOA/TUBA1A/GNG8/SEPTIN4/RND2/GNAZ/RAB9B/DIRAS1/TUBB6/GNG5/ARL6/GNA12/DNM3/GNB3/RAB2B/TUBA4A/TUBB3/RAB11A/RAP2C/RERG/RIT1/RALA/GNL1/ARL1/RAB8A/EEF1A1/RAP1B/RAB39B/GSPT1/RGS11/RGS19/GNG10/TUBB2B/RRAS2/SAR1A/ARL8A/REM2/RASL10A/GBP2/EEF1A2/DNM1/NKIRAS1/DIRAS3/ARL4C/RAB1B/RRAS/GNAT3/EIF2S3/RAB27B/RAB15/RAC1/TUBA1C/MRAS/MX1/AGAP2/GFM1/RGS4/RASL11B/RASD1/RAB8B/RHOH/GNAI3/SEPTIN9/GBP5/RAP1GAP/EFTUD2/SEPTIN7/TUBB2A/RHEBL1/RAP1A/SEPTIN10/RAB43/TUBB4B/ARHGAP5/RNF112/GNAT2/RAB29/MX2/AGAP1/TMEM250/RAB33B/RAB19/BMS1/RHOB/LSG1/RAB7B/EFL1/RHOU/RHOBTB1/RGS9/RAB37/RAC2/RHOT1/RAB5C/RND1/EEF2/RRAGC/AGAP3/GNAI2/ERAS/RGS20/SEPTIN8/RAB3D/RAB32/ARHGAP35/RHOD/RAP2A/ARF4/MMAA/GPN3/RHOF/TUBD1/NRAS/DNM1P46/TUBG2/DIRAS2/LRRK2/EIF2S3B/RASL10B/RAB5A/RAB34/RABL3/NLRP10/RIT2/KRAS/GTPBP4/ARL3/GNAL/MFN1/RAB39A/RGS6/GUF1/RGS12/RGS5/RAN/GCH1/RHOBTB2/TRIM23/EEFSEC/RAB40C/RAB36/TUBB1/RHOV/RAB40B/TUBA4B/RAB17/RAB40AL/GTPBP1/GNA14/ARF5",186
"GO:0005178","GO:0005178","integrin binding","88/7486","132/15349",2.32695743083351e-05,0.00272743393567697,0.00245145563158512,"CD9/JAM3/FN1/KDR/F11R/NRG1/ICAM2/ADAM11/VWF/LCP1/ICAM3/IGF1/MMP14/TLN1/ANXA7/DST/ITGA5/EDIL3/ITGB1/ADAM15/ITGAV/CCN2/MYH9/LAMB1/UTRN/VTN/CXADR/TSPAN4/PLPP3/LAMB2/FGF2/TGFBI/CDH26/ICAM1/ADAM22/ECM2/TIMP2/LAMA5/ADAM10/THBS1/CD81/FBN1/ICAM4/LGALS8/ISG15/JAM2/CCN1/ITGA2/PTK2/ACTN1/FRMD5/LYN/SPP1/THY1/TLN2/ITGB2/MADCAM1/JAML/IL1B/ACTN4/ITGBL1/ADAM17/LAMA3/COL16A1/TNN/CCN5/CALR/COL5A1/ADAMTS13/ESM1/ITGA4/SYK/PPIA/ICAM5/MFGE8/ITGB8/FBLN5/COL3A1/TNXB/ITGB1BP1/THBS4/LTBP4/ADAMTS5/ITGB1BP2/CX3CL1/P4HB/FERMT3/FERMT2",88
"GO:0005544","GO:0005544","calcium-dependent phospholipid binding","37/7486","47/15349",2.40091015464522e-05,0.00272743393567697,0.00245145563158512,"SYT7/SYT1/DYSF/SYT4/ANXA5/ANXA6/ESYT1/ANXA2/SYT11/CPNE8/ANXA3/ANXA7/SYT2/ANXA4/CPNE2/SYT9/PLA2G4A/CPNE9/SYT13/ANXA1/SYT5/C2CD5/ANXA11/CPNE7/DOC2B/SYT12/ANXA9/CPNE4/CPNE3/PLA2G4B/PLA2G4C/DOC2A/PCLO/FER1L5/SYTL3/CPNE6/PLA2G4E",37
