"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022836","GO:0022836","gated channel activity","189/7754","294/15349",1.06404460700753e-06,0.000774145286059779,0.000711593887853318,"CNR1/P2RX3/SNAP25/SCN2A/SCN3A/ASIC4/ASIC1/GRIK1/CACNA1E/ANXA6/TMC6/ITPR3/KCNE3/KCNIP4/CHRNB4/KCNH1/CHRNB3/GRIK2/CACNG4/CACNB4/KCNH8/KCNB2/TSPOAP1/GABRA3/TTYH2/CHRNB2/ANO5/CLIC1/CNGB1/CHRNA3/KCNS3/HVCN1/KCNH2/GRIA4/ITPR1/GRIA2/CACNA1B/KCNJ6/KCNAB2/SCN9A/SHROOM2/GABRB3/ANO10/GRIA3/KCNC1/CACNB3/KCNC4/CACNG3/TRPV1/GRIK3/TMEM109/HCN4/KCNA2/CACNA2D1/ZACN/TMEM150C/TMEM63B/KCNJ15/RYR2/SCN1A/CACNA1D/KCNH7/SCN8A/KCNK17/ABCC8/KCNS2/GLRA3/CHRNA4/TMEM63A/ITGAV/GRIK5/GABRE/KCNK3/FAM155A/GABRB1/GLRA2/CNGA3/CHRNA5/KCNJ9/KCNC2/KCNQ1/CACNB1/FKBP1B/KCNK6/NALCN/CACNG2/SCN2B/KCNQ2/KCNT2/P2RX5/CLCN4/KCNA5/KCNK5/PIEZO1/NCS1/GRIN3A/SCN7A/CDK5/KCNH6/KCND2/CLIC4/CACNG7/GRIN1/KCNAB1/TMC8/CLCN2/KCNQ3/TRPV4/GRIN2A/ASIC2/GRIA1/P2RX4/TMEM37/CACNA1H/P2RX6/CHRNA1/CACNA1I/KCNIP3/GLRB/TMEM63C/CLCN5/KCNJ5/FAM155B/HCN3/KCNN1/GABRB2/HCN1/LRRC55/CACNA1A/KCNAB3/AQP1/KCNMB1/CFTR/CLIC5/SCN11A/KCNB1/HTR3C/KCNJ11/CACNB2/GABRP/KCNMB3/KCNJ2/GABRG2/KCNJ4/KCNA4/ANO1/P2RX7/MCOLN2/KCNMA1/ANO4/P2RX1/KCNH3/ANO7/PTK2B/CNGA1/SCN4B/KCNA3/CACNA2D2/ANO8/KCNE2/ASIC3/KCNMB4/SCN1B/KCNN2/CHRNA6/CATSPER2/GABRA1/CLIC6/TTYH1/HTR3A/CLCN1/MCOLN1/HCN2/KCNF1/GRID1/KCNH5/KCNIP2/SCNN1D/KCNJ10/CACNA2D4/RASA3/KCND3/CLCA2/GABRA5/CACNA1G/CATSPER3/PKD2L1/KCND1/KCNN3",189
"GO:0003779","GO:0003779","actin binding","252/7754","406/15349",1.36293184165454e-06,0.000774145286059779,0.000711593887853318,"LIMCH1/MAPT/GBP1/GMFG/XIRP2/MAP1A/ANXA6/CDK5R1/ADD3/TPM3/EPB41L3/FLNB/FMNL3/MSN/CORO1A/KLHL3/DMTN/SMTN/FGD4/AFAP1/DIAPH2/NCALD/ADD2/VASH2/PDLIM1/MICAL1/LCP1/HCLS1/FXYD5/CAMK2B/GSN/PPP1R18/LDB3/DIXDC1/FHL3/CALD1/PHACTR2/CNN2/DST/IMPACT/TNNT2/SHROOM2/HPCA/WASF2/SPTBN2/EPB41L2/CTNNA1/MYO5A/S100A4/CCDC88A/EVL/VCL/CTNNA2/SHANK3/UTRN/PDLIM5/CEACAM1/CAPG/TLN1/PLS3/ABL2/SNTG1/SPTBN4/IQGAP2/ABLIM2/ABLIM3/RCSD1/VILL/EPB41/ITGB1/TMSB15B/PHACTR3/MYH9/MYO1E/MYL4/LIMA1/NOS3/CAPZB/AIF1/ARPC1B/TPM2/SPTBN1/ABLIM1/EPS8L1/CYFIP1/GAS2L3/SYNE1/MYH15/CORO1C/SNCA/MYO5C/HOMER2/ACTR3/LASP1/CAP1/HDAC6/PDLIM2/IQGAP1/SHROOM4/WIPF1/ANG/MYH6/FKBP15/FAM107A/WDR1/PDLIM4/PARVA/SPTA1/MYH10/MAP1B/ACTR3C/MYOZ2/FMNL1/NEXN/MYO1C/MYO7A/MYRIP/MICAL2/FHOD1/ARPC4/CORO2A/TRPV4/ABITRAM/TLN2/TMOD3/SPIRE2/FHOD3/SAMD14/TNNI3/EZR/MED28/PSTPIP2/CORO6/SYN1/DMD/CTTN/MICAL3/PSTPIP1/MYO16/INF2/MYOZ3/PTK2/MARCKS/CFL1/TMSB15B/OPHN1/MYO15A/MYO3A/ACTR2/ACTN4/CDK5R2/MYO18A/TNNC1/KLHL5/PAWR/MYLK/DIAPH3/MYO10/EEF2/PFN2/COBLL1/CGN/JMY/EPB41L1/DIAPH1/TAGLN/WIPF2/SYNPO2/TWF2/MYO1H/MSRB2/TMSB15A/PKNOX2/CAPZA1/FHDC1/MISP/CACNB2/KLHL1/MYH2/MARCKSL1/SYNE2/VASP/DNASE1/TLNRD1/WHAMM/CNN1/MTSS1/CAMSAP3/INPPL1/KCNMA1/MACO1/GAS7/WASF1/PANX1/ACTR3B/ARPC5/PARVB/KLHL17/CROCC/GAS2L2/TRPM7/ANLN/GAS2L1/AFDN/TMEM201/CNN3/USH1C/GCSAM/ADCY8/IQGAP3/MYO9A/ACTN1/AIF1L/MOBP/GAS2/TMSB4X/MTSS2/PICK1/TWF1/TMSB10/ESPN/ITPRID2/HOOK1/SYNPO2L/PHACTR1/ENAH/INO80/BAIAP2L1/TTN/ARPC2/TMOD2/ALDOA/SCIN/PRICKLE4/ZNF185/TPM4/SETD3/TNNI1/SPTB/KLHL2/MYO9B/MYPN/RDX/AVIL/TPM1/MYH7/ANTXR1/VIL1/CLMN/MYH11/MYL3/MYOM2",252
"GO:0005261","GO:0005261","cation channel activity","184/7754","292/15349",9.48048269833946e-06,0.00277119732261631,0.00254728293554057,"CNR1/P2RX3/SNAP25/SCN2A/SCN3A/ASIC4/ASIC1/GRIK1/CACNA1E/ANXA6/ITPR3/GPM6A/KCNE3/KCNIP4/CHRNB4/KCNH1/CALHM5/CHRNB3/GRIK2/CACNG4/CACNB4/KCNH8/KCNB2/TSPOAP1/CHRNB2/CNGB1/CHRNA3/KCNS3/SLC24A1/SLC24A4/HVCN1/KCNH2/GRIA4/ITPR1/GRIA2/CACNA1B/KCNJ6/UNC80/KCNAB2/SCN9A/SHROOM2/ANO10/GRIA3/KCNC1/CACNB3/KCNC4/CACNG3/TRPV1/GRIK3/HCN4/KCNA2/SLC4A11/CACNA2D1/PKD1L1/TMEM63B/KCNJ15/ANXA2/RYR2/SCN1A/CACNA1D/KCNH7/SCN8A/KCNK17/ABCC8/KCNS2/CHRNA4/TMEM63A/ITGAV/ORAI1/TRPV2/GRIK5/KCNK3/FAM155A/TMEM38A/CNGA3/CHRNA5/KCNJ9/KCNC2/KCNQ1/CACNB1/FKBP1B/KCNK6/NALCN/CACNG2/SCN2B/KCNQ2/KCNT2/P2RX5/KCNA5/KCNK5/PIEZO1/NCS1/GRIN3A/SCN7A/CDK5/ATP6V1A/KCNH6/KCND2/CACNG7/GRIN1/KCNAB1/KCNQ3/TRPV4/GRIN2A/ASIC2/GRIA1/P2RX4/TMEM37/CACNA1H/P2RX6/CHRNA1/CACNA1I/KCNIP3/TMEM63C/KCNJ5/FAM155B/HCN3/KCNN1/HCN1/SLC24A2/LRRC55/CACNA1A/KCNAB3/ANXA9/AQP1/KCNMB1/ORAI3/SEC61A1/SCN11A/KCNB1/HTR3C/KCNJ11/SLC24A3/CACNB2/KCNMB3/KCNJ2/KCNJ4/KCNA4/ANO1/P2RX7/MCOLN2/KCNMA1/TMEM175/P2RX1/KCNH3/PANX1/PTK2B/CNGA1/SCN4B/KCNA3/TRPM7/CACNA2D2/KCNE2/ASIC3/KCNMB4/SCN1B/KCNN2/CHRNA6/CATSPER2/ATP5MG/HTR3A/TMEM38B/TRPC1/MCOLN1/HCN2/KCNF1/KCNH5/STIM2/PKD1/KCNIP2/SCNN1D/KCNJ10/CACNA2D4/RASA3/KCND3/TRPV3/CACNA1G/CATSPER3/ATP6/PKD2L1/TRPC3/ATP6V0C/KCND1/KCNN3",184
"GO:0015267","GO:0015267","channel activity","248/7754","407/15349",1.1888474516858e-05,0.00277119732261631,0.00254728293554057,"CNR1/P2RX3/SNAP25/SCN2A/SCN3A/ASIC4/ASIC1/GRIK1/CACNA1E/ANXA6/TMC6/ITPR3/GPM6A/KCNE3/KCNIP4/CHRNB4/KCNH1/CALHM5/BAX/CHRNB3/GRIK2/GJA4/CACNG4/CACNB4/KCNH8/KCNB2/TSPOAP1/GABRA3/TTYH2/CHRNB2/ANO5/CLIC1/CNGB1/CHRNA3/KCNS3/SLC24A1/SLC24A4/HVCN1/KCNH2/GRIA4/ITPR1/APOL1/GRIA2/CACNA1B/KCNJ6/UNC80/KCNAB2/SCN9A/SHROOM2/GABRB3/ANO10/GRIA3/KCNC1/CACNB3/KCNC4/CACNG3/TRPV1/GRIK3/TMEM109/HCN4/KCNA2/SLC4A11/CACNA2D1/PKD1L1/ZACN/GJB3/TMEM150C/LRRC8C/TMEM63B/KCNJ15/ANXA2/RYR2/SCN1A/CACNA1D/KCNH7/SCN8A/KCNK17/ABCC8/KCNS2/GLRA3/CHRNA4/TMEM63A/ITGAV/AQP3/ORAI1/TRPV2/GRIK5/GABRE/KCNK3/FAM155A/GABRB1/GLRA2/TMEM38A/CNGA3/CHRNA5/SLC26A7/KCNJ9/KCNC2/KCNQ1/CACNB1/FKBP1B/KCNK6/NALCN/CACNG2/SCN2B/KCNQ2/KCNT2/P2RX5/RHAG/CLCN4/KCNA5/KCNK5/PIEZO1/NCS1/GJC3/GRIN3A/SCN7A/BEST1/CDK5/ATP6V1A/GJB5/KCNH6/KCND2/CLIC4/CACNG7/GRIN1/KCNAB1/TMC8/CLCN2/KCNQ3/TRPV4/GRIN2A/ASIC2/GRIA1/P2RX4/TMEM37/GJC2/CACNA1H/P2RX6/CHRNA1/GJA1/CACNA1I/KCNIP3/GLRB/TMEM63C/CLCN5/GJA5/GJB4/KCNJ5/FAM155B/PANX2/HCN3/KCNN1/GABRB2/HCN1/SLC24A2/LRRC55/CACNA1A/KCNAB3/MPV17/ANXA9/CLCC1/AQP1/KCNMB1/ORAI3/CFTR/SEC61A1/CLIC5/SCN11A/SLC14A1/KCNB1/HTR3C/AQP11/SLC26A6/STEAP1/KCNJ11/SLC24A3/CACNB2/GABRP/KCNMB3/KCNJ2/GABRG2/AQP7/KCNJ4/KCNA4/ANO1/P2RX7/MCOLN2/KCNMA1/TMEM175/ANO4/P2RX1/KCNH3/ANO7/PANX1/PTK2B/CNGA1/SCN4B/KCNA3/TRPM7/CACNA2D2/ANO8/BCL2/KCNE2/ASIC3/KCNMB4/AQP6/SCN1B/KCNN2/CHRNA6/GJD2/BEST4/CATSPER2/TOMM40/ATP5MG/GABRA1/CLIC6/TTYH1/HTR3A/CLCN1/TMEM38B/AQP8/TRPC1/MCOLN1/HCN2/KCNF1/GRID1/KCNH5/STIM2/PKD1/KCNIP2/SCNN1D/KCNJ10/CACNA2D4/PANX3/RASA3/KCND3/CLCA2/TRPV3/GABRA5/CACNA1G/CATSPER3/ATP6/PKD2L1/TRPC3/ATP6V0C/KCND1/KCNN3",248
"GO:0003924","GO:0003924","GTPase activity","192/7754","307/15349",1.21971713143324e-05,0.00277119732261631,0.00254728293554057,"GNG3/RALB/RHOG/RAB3A/RGS5/RHOJ/RHOC/ATL1/GBP1/RAB26/GBP4/GNG11/RAB38/RAB33A/SEPTIN6/ARHGDIB/SEPTIN3/RND3/RGS16/RGS3/DNAJC27/GNAO1/SEPTIN2/RAB13/RAB27A/RGS8/RRAGB/ATL3/RAB6B/GIMAP7/RHOA/SEPTIN5/TPPP/TUBB4A/RGS10/RAP2B/GNG5/TUBA1A/SEPTIN4/GNB5/RAB9B/RIT1/GNAZ/GNG8/DIRAS1/GNB3/RND2/ARL6/RALA/RERG/DNM3/RAB11A/EEF1A1/GNL1/TUBB6/RHOH/RAB2B/RAP1B/TUBB3/RAB8A/TUBA4A/GNA12/GNG10/RAP2C/REM2/ARL1/SAR1A/RGS19/RAB39B/DNM1/RASL10A/RGS11/RASL11B/ARL8A/ARL4C/RASD1/RAB29/TUBB2B/MRAS/EIF2S3/GSPT1/RAB1B/NKIRAS1/TUBA1C/SEPTIN9/MX2/RAB27B/TUBB4B/MX1/RAB8B/GNAT3/EFTUD2/AGAP2/AGAP1/RRAS/DIRAS3/GNAI3/RHOF/GBP5/RAB15/RAC2/ARHGAP5/SEPTIN7/EEF1A2/RAP1A/TUBB2A/RAC1/SEPTIN10/RAB43/ERAS/RAB5C/LSG1/GFM1/RRAS2/RHOB/EEF2/TUBD1/BMS1/AGAP3/RAB19/EIF2S3B/EFL1/RHOT1/RAP1GAP/ARHGAP35/RAB5A/RGS5/RHEBL1/TMEM250/ARF4/RAB33B/EEFSEC/RAB40B/RGS20/GNAT2/RHOD/GPN1/RRAGC/GNB1/GBP2/NRAS/RHOU/SEPTIN8/GPN3/RGS17/RHOBTB1/GNAQ/TUBB1/RASL10B/RGS4/KRAS/RABL3/GUF1/RAB3D/GNAL/RAP2A/RND1/MMAA/RNF112/GNGT2/MFN1/RAB34/RGS6/ARL3/RAB37/RIT2/SEPTIN12/GTPBP1/DNM1P46/TRIM23/GTPBP3/TUBE1/RAN/RGS7/RGS9/NUDT1/DIRAS2/GNAI2/TUBG2/RAB32/GTPBP4/RAB40C/CPLANE2/RAB7B/RHOBTB3/RAB39A/RAB44/RAB14/RGS12/TUBA1B/ARF5/TUBA4B",192
"GO:0022803","GO:0022803","passive transmembrane transporter activity","248/7754","408/15349",1.52504048402991e-05,0.00288740998309663,0.00265410554413627,"CNR1/P2RX3/SNAP25/SCN2A/SCN3A/ASIC4/ASIC1/GRIK1/CACNA1E/ANXA6/TMC6/ITPR3/GPM6A/KCNE3/KCNIP4/CHRNB4/KCNH1/CALHM5/BAX/CHRNB3/GRIK2/GJA4/CACNG4/CACNB4/KCNH8/KCNB2/TSPOAP1/GABRA3/TTYH2/CHRNB2/ANO5/CLIC1/CNGB1/CHRNA3/KCNS3/SLC24A1/SLC24A4/HVCN1/KCNH2/GRIA4/ITPR1/APOL1/GRIA2/CACNA1B/KCNJ6/UNC80/KCNAB2/SCN9A/SHROOM2/GABRB3/ANO10/GRIA3/KCNC1/CACNB3/KCNC4/CACNG3/TRPV1/GRIK3/TMEM109/HCN4/KCNA2/SLC4A11/CACNA2D1/PKD1L1/ZACN/GJB3/TMEM150C/LRRC8C/TMEM63B/KCNJ15/ANXA2/RYR2/SCN1A/CACNA1D/KCNH7/SCN8A/KCNK17/ABCC8/KCNS2/GLRA3/CHRNA4/TMEM63A/ITGAV/AQP3/ORAI1/TRPV2/GRIK5/GABRE/KCNK3/FAM155A/GABRB1/GLRA2/TMEM38A/CNGA3/CHRNA5/SLC26A7/KCNJ9/KCNC2/KCNQ1/CACNB1/FKBP1B/KCNK6/NALCN/CACNG2/SCN2B/KCNQ2/KCNT2/P2RX5/RHAG/CLCN4/KCNA5/KCNK5/PIEZO1/NCS1/GJC3/GRIN3A/SCN7A/BEST1/CDK5/ATP6V1A/GJB5/KCNH6/KCND2/CLIC4/CACNG7/GRIN1/KCNAB1/TMC8/CLCN2/KCNQ3/TRPV4/GRIN2A/ASIC2/GRIA1/P2RX4/TMEM37/GJC2/CACNA1H/P2RX6/CHRNA1/GJA1/CACNA1I/KCNIP3/GLRB/TMEM63C/CLCN5/GJA5/GJB4/KCNJ5/FAM155B/PANX2/HCN3/KCNN1/GABRB2/HCN1/SLC24A2/LRRC55/CACNA1A/KCNAB3/MPV17/ANXA9/CLCC1/AQP1/KCNMB1/ORAI3/CFTR/SEC61A1/CLIC5/SCN11A/SLC14A1/KCNB1/HTR3C/AQP11/SLC26A6/STEAP1/KCNJ11/SLC24A3/CACNB2/GABRP/KCNMB3/KCNJ2/GABRG2/AQP7/KCNJ4/KCNA4/ANO1/P2RX7/MCOLN2/KCNMA1/TMEM175/ANO4/P2RX1/KCNH3/ANO7/PANX1/PTK2B/CNGA1/SCN4B/KCNA3/TRPM7/CACNA2D2/ANO8/BCL2/KCNE2/ASIC3/KCNMB4/AQP6/SCN1B/KCNN2/CHRNA6/GJD2/BEST4/CATSPER2/TOMM40/ATP5MG/GABRA1/CLIC6/TTYH1/HTR3A/CLCN1/TMEM38B/AQP8/TRPC1/MCOLN1/HCN2/KCNF1/GRID1/KCNH5/STIM2/PKD1/KCNIP2/SCNN1D/KCNJ10/CACNA2D4/PANX3/RASA3/KCND3/CLCA2/TRPV3/GABRA5/CACNA1G/CATSPER3/ATP6/PKD2L1/TRPC3/ATP6V0C/KCND1/KCNN3",248
"GO:0005543","GO:0005543","phospholipid binding","250/7754","413/15349",2.14159810315192e-05,0.00327177339152209,0.00300741216122119,"SHC1/MAPT/SYT7/SYT1/GAP43/DYSF/SYT4/ANXA5/SNX1/SNAP91/ANXA6/HS1BP3/UNC13A/BSCL2/ITPR3/PCYT1A/CAVIN2/KCNH1/CPNE8/ESYT1/GSDMD/ANXA7/OSBPL10/RAPGEF6/SNX7/SYT11/GSN/RUBCNL/ANXA4/ARAP3/MTM1/AMER3/SNX10/PLTP/FES/ABCA1/ITPR1/SNX2/SPTBN2/SYT2/SMPD3/PLD1/CPNE2/SYT9/TULP3/TRPV1/AMER2/CCDC88A/SGIP1/ARAP2/SDCBP/ANXA3/ARL6/CLVS2/CAPG/TLN1/SYT13/CPNE9/SPTBN4/WNT5A/ANXA2/SNX32/IQGAP2/PLCB1/PXDC1/VILL/SYT5/EPB41/RASA4B/LDLRAP1/MYO1E/WDFY3/BAIAP2L2/SGK3/SNX3/VPS36/SPTBN1/C2CD5/MICALL1/PLA2G4A/KCNQ1/PSD/SNCA/PLD2/PARD3B/APOB/SYT6/IQGAP1/APOM/ANXA11/AMPH/ARFIP1/MARK1/SNX8/PIK3C2A/PRKCI/VAMP2/ARHGAP33/STAP1/TPP1/DENND1B/RUBCN/SMURF1/ADAP1/CLINT1/ING2/ZCCHC2/ASAP1/MAP1B/PSD2/DGKA/FCHO2/SCARB2/OSBPL8/DOC2B/SH3YL1/ARHGAP44/GLE1/MYOF/ARHGAP32/PREX1/PLEKHF2/PLA2G15/CPNE3/SYT12/AGAP1/LAPTM4B/THBS1/ARHGAP26/UCP1/PLEKHA5/LPAR1/MAP1LC3A/ANXA1/PTAFR/PITPNM1/GSDME/CPNE4/TEC/SNX24/F10/SNX5/ZFYVE16/STXBP6/CPNE7/THY1/OPHN1/GBF1/SYTL2/ANXA9/LPAR4/RAPGEF2/ARAP1/GOLPH3L/PLA2G4C/ADGRB1/PIK3C2B/MYO10/PLA2G4B/PFN2/PCTP/SNX30/SNX14/CHMP3/GPR12/C2CD2L/AIDA/ZFYVE19/TWF2/PHLDA3/PIGK/PLA2G7/SNX17/SNX22/SNX11/ARHGAP35/APOC1/PITPNA/KCNJ2/GLTP/PCLO/SLC9A1/SYTL4/SNX27/DOC2A/SYTL5/EXOC1/ALOX15/WIPI1/CARMIL2/BTK/PPT1/GRB7/ZFYVE28/PARD3/MME/ATP13A2/ATP8B1/PAFAH2/CPS1/RASGRP1/FZD7/ARHGAP9/SNX33/ABCG1/NRGN/VEPH1/ZFYVE1/PLEKHA3/TTPAL/MTSS2/PICK1/TIRAP/TNFAIP8L3/GOLPH3/SESTD1/APOE/TWF1/RPE65/SEPTIN12/RASA4/MCF2L/SNX9/PLA2G5/PASK/SCIN/CPNE6/OSBPL1A/JPH2/STOML2/SYT10/UNC13B/SYTL3/ATG2B/DPEP1/AVIL/GPAA1/GAS6/PLEKHA4/VIL1/SNX18/GLTPD2/MFGE8/SNX20/CYTH3/PLCD1/MREG/NUP62/FRMPD2/RPS6KC1",250
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","60/7754","82/15349",2.30406576867753e-05,0.00327177339152209,0.00300741216122119,"ACTL6B/INA/ADD3/NEFL/EPB41L3/MSN/ADD2/NEFH/NEFM/TUBB4A/SPTBN2/TUBA1A/VIM/ANK3/CTNNA2/TLN1/HLA-DRB1/SPTBN4/VILL/EPB41/TUBB6/EPB41L4B/TUBB3/ARPC1B/SPTBN1/TUBA4A/ACTR3/TUBB2B/SPTA1/BICD1/TUBA1C/ANK1/TUBB4B/ARPC4/KRT2/TLN2/DSP/DMD/TUBB2A/ACTR2/TUBD1/TUBGCP3/ACTA1/ARPC5/TUBB1/CROCC/SORBS3/SORBS2/DES/ERBIN/TUBE1/ARPC2/AGRN/SPTB/TUBG2/CD2AP/TPM1/TUBA1B/TUBA4B/BFSP1",60
"GO:0005216","GO:0005216","ion channel activity","224/7754","372/15349",8.93972742011557e-05,0.0111479155260837,0.0102471573405068,"CNR1/P2RX3/SNAP25/SCN2A/SCN3A/ASIC4/ASIC1/GRIK1/CACNA1E/ANXA6/TMC6/ITPR3/GPM6A/KCNE3/KCNIP4/CHRNB4/KCNH1/CALHM5/CHRNB3/GRIK2/CACNG4/CACNB4/KCNH8/KCNB2/TSPOAP1/GABRA3/TTYH2/CHRNB2/ANO5/CLIC1/CNGB1/CHRNA3/KCNS3/SLC24A1/SLC24A4/HVCN1/KCNH2/GRIA4/ITPR1/APOL1/GRIA2/CACNA1B/KCNJ6/UNC80/KCNAB2/SCN9A/SHROOM2/GABRB3/ANO10/GRIA3/KCNC1/CACNB3/KCNC4/CACNG3/TRPV1/GRIK3/HCN4/KCNA2/SLC4A11/CACNA2D1/PKD1L1/ZACN/TMEM150C/LRRC8C/TMEM63B/KCNJ15/ANXA2/RYR2/SCN1A/CACNA1D/KCNH7/SCN8A/KCNK17/ABCC8/KCNS2/GLRA3/CHRNA4/TMEM63A/ITGAV/ORAI1/TRPV2/GRIK5/GABRE/KCNK3/FAM155A/GABRB1/GLRA2/TMEM38A/CNGA3/CHRNA5/SLC26A7/KCNJ9/KCNC2/KCNQ1/CACNB1/FKBP1B/KCNK6/NALCN/CACNG2/SCN2B/KCNQ2/KCNT2/P2RX5/CLCN4/KCNA5/KCNK5/PIEZO1/NCS1/GRIN3A/SCN7A/BEST1/CDK5/ATP6V1A/KCNH6/KCND2/CLIC4/CACNG7/GRIN1/KCNAB1/TMC8/CLCN2/KCNQ3/TRPV4/GRIN2A/ASIC2/GRIA1/P2RX4/TMEM37/CACNA1H/P2RX6/CHRNA1/CACNA1I/KCNIP3/GLRB/TMEM63C/CLCN5/KCNJ5/FAM155B/HCN3/KCNN1/GABRB2/HCN1/SLC24A2/LRRC55/CACNA1A/KCNAB3/ANXA9/CLCC1/AQP1/KCNMB1/ORAI3/CFTR/SEC61A1/CLIC5/SCN11A/KCNB1/HTR3C/SLC26A6/KCNJ11/SLC24A3/CACNB2/GABRP/KCNMB3/KCNJ2/GABRG2/KCNJ4/KCNA4/ANO1/P2RX7/MCOLN2/KCNMA1/TMEM175/ANO4/P2RX1/KCNH3/ANO7/PANX1/PTK2B/CNGA1/SCN4B/KCNA3/TRPM7/CACNA2D2/ANO8/KCNE2/ASIC3/KCNMB4/SCN1B/KCNN2/CHRNA6/BEST4/CATSPER2/ATP5MG/GABRA1/CLIC6/TTYH1/HTR3A/CLCN1/TMEM38B/TRPC1/MCOLN1/HCN2/KCNF1/GRID1/KCNH5/STIM2/PKD1/KCNIP2/SCNN1D/KCNJ10/CACNA2D4/RASA3/KCND3/CLCA2/TRPV3/GABRA5/CACNA1G/CATSPER3/ATP6/PKD2L1/TRPC3/ATP6V0C/KCND1/KCNN3",224
"GO:0003735","GO:0003735","structural constituent of ribosome","104/7754","159/15349",9.81330592084829e-05,0.0111479155260837,0.0102471573405068,"RPS19/RPS27L/RPL23/RPLP2/RPL7/RPS12/RPS27/RPS3/RPL30/RPS20/RPL37/RPLP1/RPL27A/RPS6/RPS23/RPL31/RPS16/RPL14/RPS27A/UBA52/RPL3/RPS4X/RPL13A/RPL37A/RPL12/RPL32/RPL17/RPL36A/RPL15/RPL11/RPS17/RPLP0/RPL5/RPL34/RPL28/RPS14/RPL22/RPL26/RPL18A/RPL21/RPL10/RPS18/RPL36/RPL23A/RPL4/RPL8/RPS15A/MRPL16/RPSA/RPS10/RPS8/RPL36AL/RPL18/RPS25/RPL10A/RPL19/RPS21/RPL7A/MRPL11/RPL41/RPS11/RPS7/RPS13/RPS15/MRPL17/RPL35A/MRPL52/RPS24/MRPL22/RPS9/MRPS14/RPS3A/MRPS22/RPL27/RPS29/RPL29/RPL9/RPS28/MRPS9/RPL24/RPL6/MRPL51/MRPL35/RPL39/RPS26/RPL35/RPL38/MRPS16/RPS5/MRPS21/MRPL10/MRPS18A/MRPL19/LZTS1-AS1/MRPS7/MRPL54/MRPL14/MRPL41/RPL26L1/MRPS17/RPS2/MRPL4/RPLP0P6/RPL22L1",104
