"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045125","GO:0045125","bioactive lipid receptor activity","1/6","11/15349",0.00429295577322863,0.0426577711885336,0.020410416836619,"LPAR6",1
"GO:0043425","GO:0043425","bHLH transcription factor binding","1/6","24/15349",0.00934663796388391,0.0426577711885336,0.020410416836619,"BHLHE40",1
"GO:0016831","GO:0016831","carboxy-lyase activity","1/6","32/15349",0.0124459584266805,0.0426577711885336,0.020410416836619,"GAD2",1
"GO:0015026","GO:0015026","coreceptor activity","1/6","39/15349",0.0151512313858336,0.0426577711885336,0.020410416836619,"ZP2",1
"GO:0070888","GO:0070888","E-box binding","1/6","40/15349",0.0155371943258521,0.0426577711885336,0.020410416836619,"BHLHE40",1
"GO:0001102","GO:0001102","RNA polymerase II activating transcription factor binding","1/6","45/15349",0.0174651188217044,0.0426577711885336,0.020410416836619,"BHLHE40",1
"GO:0016830","GO:0016830","carbon-carbon lyase activity","1/6","48/15349",0.0186203625410458,0.0426577711885336,0.020410416836619,"GAD2",1
"GO:0016597","GO:0016597","amino acid binding","1/6","50/15349",0.019389895994788,0.0426577711885336,0.020410416836619,"GAD2",1
"GO:0030170","GO:0030170","pyridoxal phosphate binding","1/6","50/15349",0.019389895994788,0.0426577711885336,0.020410416836619,"GAD2",1
"GO:0070279","GO:0070279","vitamin B6 binding","1/6","50/15349",0.019389895994788,0.0426577711885336,0.020410416836619,"GAD2",1
