"ENSG"	"external_gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"entrezgene_id"
"1"	"ENSG00000000003"	"TSPAN6"	2234.72871580748	0.826405158467164	0.182282470451272	1.98009947133977e-06	1.20950892901948e-05	7105
"2"	"ENSG00000000419"	"DPM1"	1298.6340896394	0.725236291402494	0.213898502203178	0.000280157378166502	0.00113040626574572	8813
"3"	"ENSG00000000457"	"SCYL3"	482.423767292113	0.320734157557488	0.156835830873248	0.0325079641604845	0.0722463380526742	57147
"4"	"ENSG00000000460"	"C1orf112"	509.074384484078	1.21088384478885	0.375047493747507	0.000240616822844693	0.000985018406878944	55732
"5"	"ENSG00000000938"	"FGR"	5.39376101143046	3.22251166469952	1.60118233110319	0.00212149121077447	0.00685604170735077	2268
"6"	"ENSG00000000971"	"CFH"	2023.20212261613	13.4790069741363	1.12163030683744	8.94157587198866e-36	8.51398909499599e-34	3075
"7"	"ENSG00000001036"	"FUCA2"	231.145196162603	-0.0188451363416394	0.577131594904835	0.964296447019578	0.978195511080648	2519
"8"	"ENSG00000001084"	"GCLC"	248.381283112251	0.133640173302489	0.245497902181685	0.550875409748586	0.6748426089775	2729
"9"	"ENSG00000001167"	"NFYA"	1335.0839968347	0.613669184091777	0.220518373944169	0.00264128078675104	0.00829996170946844	4800
"10"	"ENSG00000001460"	"STPG1"	280.587483613366	1.79261359714403	0.37443963982378	1.62491353013934e-07	1.18731732666953e-06	90529
"11"	"ENSG00000001461"	"NIPAL3"	740.540637646493	-0.538569371816585	0.215065404997504	0.00688300821933092	0.0191552002608766	57185
"12"	"ENSG00000001497"	"LAS1L"	3399.58872276476	0.0982335654809095	0.207425016354818	0.612081232846778	0.725845781748659	81887
"13"	"ENSG00000001561"	"ENPP4"	553.347747083592	0.404031366095362	0.188880179422357	0.0228161592442524	0.0535438401913131	22875
"14"	"ENSG00000001617"	"SEMA3F"	186.322748632325	-1.74298406162773	0.322183705745407	6.35482473889164e-09	5.74292503004335e-08	6405
"15"	"ENSG00000001626"	"CFTR"	20.4808692347132	-1.40716502869662	0.497640850785971	0.000689257937318669	0.00253637335104776	1080
"16"	"ENSG00000001629"	"ANKIB1"	758.302495902293	-0.484346198225736	0.25258498399773	0.0342199879201454	0.0753513345272113	54467
"17"	"ENSG00000001630"	"CYP51A1"	10927.7029193356	-0.850330017979529	0.194134217517651	3.91639806254857e-06	2.27078470048908e-05	1595
"18"	"ENSG00000001631"	"KRIT1"	1023.28107151599	0.252326208325172	0.265819507904811	0.291288362395469	0.424042382500054	889
"19"	"ENSG00000002016"	"RAD52"	405.658428248422	0.446902210027527	0.246553221893392	0.0460582747891089	0.0967962191319928	5893
"20"	"ENSG00000002079"	"MYH16"	3.21506376051657	-1.20835589569103	1.05734068495251	0.0620387939384385	0.124104647542741	NA
"21"	"ENSG00000002330"	"BAD"	1146.0449289259	-0.302458531536258	0.419243793076136	0.375305443735933	0.511447293652523	572
"22"	"ENSG00000002549"	"LAP3"	6174.98538070534	3.04376647953484	0.196727230576323	1.14838114027643e-54	3.3264370755923e-52	51056
"23"	"ENSG00000002586"	"CD99"	4784.0997243963	4.497320791545	0.45935285501044	2.05220780790601e-23	7.99895955495149e-22	4267
"24"	"ENSG00000002587"	"HS3ST1"	38.4440456196724	-0.0156657557633973	0.654537168706757	0.972417791257306	0.983822669209109	9957
"25"	"ENSG00000002726"	"AOC1"	5.45768188389897	3.36251341456749	1.34989334304673	0.000679181325659749	0.00250431618913372	26
"26"	"ENSG00000002745"	"WNT16"	3.60056943084989	-0.442488332169828	1.00734935385707	0.443434187806671	0.577957750204327	51384
"27"	"ENSG00000002746"	"HECW1"	496.705032639444	-5.80896164432639	0.69424991125251	1.67095003287397e-18	4.3875193706704e-17	23072
"28"	"ENSG00000002822"	"MAD1L1"	1077.64284041692	0.00913715019396541	0.488834596718647	0.980778429655978	0.989153777800007	8379
"29"	"ENSG00000002834"	"LASP1"	5551.66404156369	2.01684805770715	0.375164998243178	6.34126829590779e-09	5.73255653635974e-08	3927
"30"	"ENSG00000002919"	"SNX11"	1529.78476837341	-0.578723225053341	0.1630346642644	0.000198510783305076	0.000826792755409275	29916
"31"	"ENSG00000002933"	"TMEM176A"	13.7255468812262	0.539084391676954	0.47545599114518	0.149898394629842	0.254074778159778	55365
