"","PC1","PC2","group","Tissue_Type","Replicate_Num","name"
"TRA00217382",-83.0660157149286,8.56181734950685,"Endo:One","Endo","One","TRA00217382"
"TRA00217383",-67.8291291776526,6.52858365214595,"Endo.WT:One","Endo.WT","One","TRA00217383"
"TRA00217384",-49.0509157962212,-21.8303299287349,"Endo.Neuron:One","Endo.Neuron","One","TRA00217384"
"TRA00217385",-85.3006242091351,6.51158341877027,"Endo:Two","Endo","Two","TRA00217385"
"TRA00217386",-79.6011814622634,6.63600175796129,"Endo.WT:Two","Endo.WT","Two","TRA00217386"
"TRA00217387",-55.8037930863639,-18.8996105428414,"Endo.Neuron:Two","Endo.Neuron","Two","TRA00217387"
"TRA00217388",-76.4547988707012,6.44046388469016,"Endo:Three","Endo","Three","TRA00217388"
"TRA00217389",-59.8896450636017,13.907109340792,"Endo.WT:Three","Endo.WT","Three","TRA00217389"
"TRA00217390",-58.7862430981269,-16.6623249854839,"Endo.Neuron:Three","Endo.Neuron","Three","TRA00217390"
"TRA00217391",-80.0817510454928,7.43784105471063,"Endo:Four","Endo","Four","TRA00217391"
"TRA00217392",-64.6520683368283,10.093295150318,"Endo.WT:Four","Endo.WT","Four","TRA00217392"
"TRA00217393",-65.5906067957006,-12.8642706222339,"Endo.Neuron:Four","Endo.Neuron","Four","TRA00217393"
"TRA00217394",77.3502744036109,3.66036237064167,"Neuron:One","Neuron","One","TRA00217394"
"TRA00217395",75.4155042824731,2.76470436538492,"Neuron.WT:One","Neuron.WT","One","TRA00217395"
"TRA00217396",56.4409452573573,-5.84159362708641,"Neuron.Endo:One","Neuron.Endo","One","TRA00217396"
"TRA00217397",69.2007199988758,8.8795708542834,"Neuron:Two","Neuron","Two","TRA00217397"
"TRA00217398",78.7327149162761,7.84611869371621,"Neuron.WT:Two","Neuron.WT","Two","TRA00217398"
"TRA00217399",53.2273640987301,-15.0237249218529,"Neuron.Endo:Two","Neuron.Endo","Two","TRA00217399"
"TRA00217400",72.3522391373432,-2.03513634217572,"Neuron:Three","Neuron","Three","TRA00217400"
"TRA00217401",70.4158191062054,1.02921861094899,"Neuron.WT:Three","Neuron.WT","Three","TRA00217401"
"TRA00217402",75.6222905994305,-0.336087603190088,"Neuron.Endo:Three","Neuron.Endo","Three","TRA00217402"
"TRA00217403",73.9028886179232,8.9836179561526,"Neuron:Four","Neuron","Four","TRA00217403"
"TRA00217404",65.347851278615,5.58000270178677,"Neuron.WT:Four","Neuron.WT","Four","TRA00217404"
"TRA00217405",58.0981609601757,-11.3672125882105,"Neuron.Endo:Four","Neuron.Endo","Four","TRA00217405"
