"ENSG"	"external_gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"entrezgene_id"
"1"	"ENSG00000279033"	""	25.7075084123883	17.503961251417	5.98264337697038	1.18582649690883e-08	1.05331096003671e-07	NA
"2"	"ENSG00000249751"	"ECSCR"	6248.04124033251	15.3305989257757	1.22313239705629	3.12751629456566e-41	4.23955632482059e-39	641700
"3"	"ENSG00000163762"	"TM4SF18"	3756.47643027508	14.7990734069881	1.17247291641941	5.14138255633026e-41	6.86798860121826e-39	116441
"4"	"ENSG00000130300"	"PLVAP"	2221.90868117792	13.9851621767829	1.1313252600193	8.84834879537344e-39	1.04952095754779e-36	83483
"5"	"ENSG00000196329"	"GIMAP5"	2344.36165609892	13.9464371031531	1.11475828595197	1.49938681833728e-39	1.83378339853357e-37	55340
"6"	"ENSG00000000971"	"CFH"	2023.20212261613	13.646867363802	1.13583083425504	1.0740455043892e-36	1.14556527867372e-34	3075
"7"	"ENSG00000124019"	"FAM124B"	2880.32919020024	13.5877410335463	1.1782676302609	3.39600119074922e-34	3.13594499218245e-32	79843
"8"	"ENSG00000168497"	"CAVIN2"	2833.57052849515	13.5278028475101	1.33023700886383	8.93596941676024e-28	4.92785583988794e-26	8436
"9"	"ENSG00000171864"	"PRND"	12671.7396293262	13.0483905127197	0.817844692041273	2.68610708502709e-60	1.1032282800862e-57	23627
"10"	"ENSG00000108622"	"ICAM2"	4183.94498695839	12.9740099351507	0.923103609948271	7.08152552912453e-48	1.29052595702284e-45	3384
"11"	"ENSG00000161940"	"BCL6B"	4577.78281680877	12.721214197716	0.842104389430274	1.87736155455375e-54	4.78344770909352e-52	255877
"12"	"ENSG00000171115"	"GIMAP8"	1677.56428139543	12.6477018887662	1.14363082322134	1.92820154953322e-31	1.40371032381099e-29	155038
"13"	"ENSG00000178175"	"ZNF366"	853.419224948476	12.6300851975454	1.13395141445077	8.15841031642183e-32	6.05129744170609e-30	167465
"14"	"ENSG00000147113"	"DIPK2B"	6223.40057997451	12.3771524197884	0.807887777112096	8.83151544974095e-56	2.47985349128542e-53	79742
"15"	"ENSG00000152804"	"HHEX"	614.150945168591	12.2226131112569	1.10746769351656	3.13658127459627e-31	2.24188164972312e-29	3087
"16"	"ENSG00000174059"	"CD34"	13532.5096752789	12.2108579268903	0.690325605246958	9.45771635396949e-73	9.29490852244758e-70	947
"17"	"ENSG00000187513"	"GJA4"	2024.80974549275	12.208103220382	0.973722637998791	6.68006805855632e-39	7.99226577545012e-37	2701
"18"	"ENSG00000261371"	"PECAM1"	12166.7598374264	12.1848608897731	0.874972350722847	7.01883923969382e-47	1.24609302063158e-44	5175
"19"	"ENSG00000151702"	"FLI1"	7483.72728607614	11.9606111357088	0.787997138076891	8.89072849361679e-55	2.30806666686176e-52	2313
"20"	"ENSG00000184344"	"GDF3"	614.825405308915	11.9374344006046	1.10029208852229	2.65540698515688e-30	1.78658898331411e-28	9573
"21"	"ENSG00000150048"	"CLEC1A"	1187.71112881221	11.5899734138757	1.19725144826736	4.3428803945349e-25	1.97206902139953e-23	51267
