"ENSG"	"external_gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"entrezgene_id"
"1"	"ENSG00000204072"	"ARMCX7P"	58.1816179099027	17.825420664849	4.19371445420267	1.51927629951296e-11	1.901202601637e-10	NA
"2"	"ENSG00000279033"	""	25.7075084123883	15.8885520370857	5.64384675382443	1.91264564963496e-08	1.60807158529345e-07	NA
"3"	"ENSG00000249751"	"ECSCR"	6248.04124033251	15.1002815062163	1.19307526473348	2.65379039250914e-40	3.26013410808332e-38	641700
"4"	"ENSG00000124019"	"FAM124B"	2880.32919020024	14.13069000163	1.1652754254286	1.18609950175488e-36	1.1868758577924e-34	79843
"5"	"ENSG00000261371"	"PECAM1"	12166.7598374264	13.8148971724632	1.06877745919235	8.02669299894941e-41	1.01787344675157e-38	5175
"6"	"ENSG00000130300"	"PLVAP"	2221.90868117792	13.8082246236825	1.11534250937514	7.94607584451564e-38	8.54141074567896e-36	83483
"7"	"ENSG00000000971"	"CFH"	2023.20212261613	13.4790069741363	1.12163030683744	8.94157587198866e-36	8.51398909499599e-34	3075
"8"	"ENSG00000171864"	"PRND"	12671.7396293262	13.4480298767777	0.878307007472958	2.64584088932941e-55	8.08980551028519e-53	23627
"9"	"ENSG00000108622"	"ICAM2"	4183.94498695839	12.8328471005165	0.923309930169644	3.34890810667692e-46	5.72392877512644e-44	3384
"10"	"ENSG00000163762"	"TM4SF18"	3756.47643027508	12.7765438529504	0.981944927880175	5.18064586188777e-41	6.66172957137512e-39	116441
"11"	"ENSG00000187513"	"GJA4"	2024.80974549275	12.457393587322	1.08859469637707	1.09635832782367e-32	8.59532434901762e-31	2701
"12"	"ENSG00000174059"	"CD34"	13532.5096752789	12.3587465543464	0.706282632607864	9.74233951358656e-71	8.64805479789919e-68	947
"13"	"ENSG00000147113"	"DIPK2B"	6223.40057997451	12.1208043575505	0.794673369185024	9.18590658474511e-55	2.68912529147889e-52	79742
"14"	"ENSG00000152804"	"HHEX"	614.150945168591	12.0781837053274	1.10203374394861	2.29649703996716e-30	1.51911071023597e-28	3087
"15"	"ENSG00000198959"	"TGM2"	4849.24043616627	11.9347025233071	0.729132850440723	1.8733359359534e-62	9.37281059737556e-60	7052
"16"	"ENSG00000184344"	"GDF3"	614.825405308915	11.7947627612048	1.0967488623581	1.91100245578475e-29	1.17644218295939e-27	9573
"17"	"ENSG00000132514"	"CLEC10A"	597.936557734253	11.6695032020408	1.26093734847161	5.14999754502561e-23	1.92551131038064e-21	10462
"18"	"ENSG00000069122"	"ADGRF5"	8148.04861000057	11.6167568491141	0.776292442417584	5.84292128492339e-53	1.4681854565831e-50	221395
"19"	"ENSG00000120279"	"MYCT1"	1757.863731125	11.6126196399996	0.985094313565624	1.58816879075977e-34	1.40074451231178e-32	80177
"20"	"ENSG00000196329"	"GIMAP5"	2344.36165609892	11.595453549719	0.831308536162472	1.3821639109124e-46	2.39209977990487e-44	55340
"21"	"ENSG00000197721"	"CR1L"	1708.20478253019	11.4841263254254	1.04753583019362	1.69060612418907e-30	1.13192455779647e-28	1379
"22"	"ENSG00000100368"	"CSF2RB"	469.552786456604	11.3527542769961	1.21828046607529	2.38542612027807e-23	9.24537408138194e-22	1439
"23"	"ENSG00000182492"	"BGN"	3561.37827397395	11.3310731465098	0.761367195036535	1.62657941469987e-52	3.99644752979564e-50	633
"24"	"ENSG00000142748"	"FCN3"	337.306696112358	11.2710356183484	1.06084782600662	5.50394493311282e-29	3.29255557976954e-27	8547
"25"	"ENSG00000260314"	"MRC1"	533.438106016808	11.230422565141	1.13966055859374	1.3524219873886e-25	6.2653111530235e-24	4360
"26"	"ENSG00000171388"	"APLN"	364.556838500796	11.0279165177503	1.20535120434734	8.86560753264019e-23	3.2398909439999e-21	8862
"27"	"ENSG00000164530"	"PI16"	380.491702878542	10.8226690199822	1.21169342635493	5.2583564833881e-22	1.80648506504212e-20	221476
"28"	"ENSG00000164326"	"CARTPT"	276.035647078985	10.7189473118468	1.14252065520739	8.00775253366402e-24	3.19821965488195e-22	9607
"29"	"ENSG00000168497"	"CAVIN2"	2833.57052849515	10.6036259235419	1.02633973593896	6.36922420960907e-28	3.52652538833043e-26	8436
"30"	"ENSG00000179144"	"GIMAP7"	234.754142991147	10.3907708920267	1.11103759495302	7.75449876837332e-24	3.1015740858735e-22	168537
"31"	"ENSG00000162367"	"TAL1"	661.768431740901	10.3842217547577	0.941516677670722	2.93817242101043e-31	2.06256705819809e-29	6886
"32"	"ENSG00000128052"	"KDR"	27457.6206442609	10.2255020532086	0.68231865967502	9.90070360830109e-54	2.6112897340923e-51	3791
"33"	"ENSG00000184584"	"STING1"	663.550642636196	10.1941096999089	1.16022277815086	1.09595254039475e-21	3.66000267070179e-20	340061
"34"	"ENSG00000163735"	"CXCL5"	310.970697020472	10.1794781272862	1.17696511061754	3.59082295259351e-21	1.14764536596363e-19	6374
"35"	"ENSG00000226197"	""	181.109319305065	10.1674086862131	1.09385762663752	1.07008384861666e-23	4.23082864170016e-22	NA
"36"	"ENSG00000171115"	"GIMAP8"	1677.56428139543	10.136555823947	0.728287631199245	4.58881527819838e-47	8.19967654710798e-45	155038
"37"	"ENSG00000161940"	"BCL6B"	4577.78281680877	10.126929666494	0.60623278929492	1.22635138057552e-65	7.84807843969234e-63	255877
"38"	"ENSG00000010327"	"STAB1"	1817.30841159063	10.1214364525908	0.879552286394006	9.86485225085098e-34	8.20570233117603e-32	23166
"39"	"ENSG00000181885"	"CLDN7"	428.181425601516	10.0219923412426	1.02379567337349	8.24562260606522e-26	3.91212142885694e-24	1366
"40"	"ENSG00000177464"	"GPR4"	133.71491186153	10.0214717086301	1.15829782621397	3.06504849196367e-21	9.86479583647441e-20	2828
"41"	"ENSG00000151702"	"FLI1"	7483.72728607614	9.99962960339991	0.711367284687345	5.49637896524887e-48	1.05768780675328e-45	2313
"42"	"ENSG00000107738"	"VSIR"	1030.64263703008	9.96827722162376	1.39543205591364	4.71208172818458e-16	9.75673927736519e-15	64115
"43"	"ENSG00000125810"	"CD93"	764.474109784612	9.91207244738335	0.810792524511914	1.50750911735958e-37	1.583344881355e-35	22918
"44"	"ENSG00000285508"	"MKKS"	152.656274155472	9.86760054774281	1.10116586852452	1.74914527884733e-22	6.26731507595324e-21	8195
"45"	"ENSG00000100351"	"GRAP2"	198.529034054815	9.85017760555633	1.2328147248405	6.87861942835746e-19	1.86856712171313e-17	9402
"46"	"ENSG00000101017"	"CD40"	1930.09562017293	9.8123383270561	0.832392649666019	2.61025726412853e-35	2.43488336929793e-33	958
"47"	"ENSG00000267107"	"PCAT19"	1614.39328479486	9.76890984207563	0.687165367795435	4.27332479858779e-49	8.45995336744884e-47	100505495
"48"	"ENSG00000127329"	"PTPRB"	1998.9754686367	9.72927716179482	0.596784481864104	5.46246570797438e-63	2.89069483369306e-60	5787
"49"	"ENSG00000231749"	"ABCA9-AS1"	629.855288354855	9.71822272287862	0.866360995421346	1.7328629054658e-32	1.34323722345375e-30	104355297
"50"	"ENSG00000178175"	"ZNF366"	853.419224948476	9.65607012330035	0.757185283016985	1.50953003576259e-40	1.8881476147325e-38	167465
"51"	"ENSG00000168899"	"VAMP5"	4832.72545179554	9.62753796717797	0.579810858613857	3.29199515841291e-65	1.96932875585231e-62	10791
"52"	"ENSG00000111348"	"ARHGDIB"	2276.45512007002	9.56188429331645	0.756701475711823	6.02239416477331e-40	7.11262843889408e-38	397
"53"	"ENSG00000150048"	"CLEC1A"	1187.71112881221	9.43552954017086	0.820681292524967	5.4254966214469e-34	4.59380972396848e-32	51267
"54"	"ENSG00000226496"	"LINC00323"	131.897037490197	9.41990376939908	1.14005695687488	5.67801631448253e-20	1.67468009584062e-18	284835
"55"	"ENSG00000169291"	"SHE"	623.150547574752	9.41215586986407	1.04602060934899	9.04437895235047e-23	3.30083846168144e-21	126669
"56"	"ENSG00000225328"	"LINC01594"	97.9108810275919	9.41003817217867	1.13481486488218	4.41072119811432e-20	1.30791191734601e-18	NA
"57"	"ENSG00000129467"	"ADCY4"	507.123195599038	9.37517068053512	0.911831816743987	3.2462336737358e-28	1.83331792886895e-26	196883
"58"	"ENSG00000118640"	"VAMP8"	2185.00922947568	9.34610705475114	0.520140647333304	1.2685508567985e-75	2.0534107339636e-72	8673
"59"	"ENSG00000167105"	"TMEM92"	187.173145318099	9.18099984545978	1.23561917012278	4.11087703985779e-17	9.39560750687764e-16	162461
"60"	"ENSG00000031081"	"ARHGAP31"	552.709844336205	9.17786692136348	0.968277793300331	8.93699265444286e-25	3.84262756038998e-23	57514
"61"	"ENSG00000253177"	""	94.8832419746325	9.15693442524476	1.13586812448178	2.74467204441966e-19	7.71479931750156e-18	101926956
"62"	"ENSG00000133574"	"GIMAP4"	123.600464254556	9.09426004887482	1.12753665786681	2.62035715473098e-19	7.37290267728907e-18	55303
"63"	"ENSG00000266311"	""	90.3908029266373	9.02772620456569	1.16371787810984	3.14421758205642e-18	8.07113614020789e-17	NA
"64"	"ENSG00000129538"	"RNASE1"	351.194921955126	9.02288076297686	0.832632925549314	7.20963792143614e-31	4.97230116095438e-29	6035
"65"	"ENSG00000204767"	"INSYN2B"	375.438999606247	9.00977669018456	0.992758058124339	3.78368206680199e-23	1.43612914640355e-21	100131897
"66"	"ENSG00000188910"	"GJB3"	61.0787815007212	9.00737607836519	1.13047176921334	5.77265648143042e-19	1.58061652792042e-17	2707
"67"	"ENSG00000092607"	"TBX15"	197.831530388371	8.99973067238984	1.09457078380144	7.01547745998215e-20	2.05374371004031e-18	6913
"68"	"ENSG00000137491"	"SLCO2B1"	1156.58133789249	8.99013746773573	0.815605785053203	9.11651001701809e-32	6.68981660395476e-30	11309
"69"	"ENSG00000010319"	"SEMA3G"	1813.40931562765	8.98332006318953	0.473312737536829	6.758164179786e-84	2.32463952374189e-80	56920
"70"	"ENSG00000043462"	"LCP2"	77.6215752310181	8.90783019511397	1.10637911687406	2.89421558623201e-19	8.12683923489108e-18	3937
"71"	"ENSG00000066056"	"TIE1"	3055.38639596835	8.90078630140292	0.715224867786007	4.26895234452611e-39	4.85425746349874e-37	7075
"72"	"ENSG00000245008"	""	79.7588048234106	8.86048918147733	1.14837452316444	4.38117920218739e-18	1.10303100901915e-16	101929538
"73"	"ENSG00000105852"	"PON3"	347.222152932562	8.85052000962469	0.847305808713892	4.67773952987756e-29	2.80440166412137e-27	5446
"74"	"ENSG00000157510"	"AFAP1L1"	3213.59557254371	8.84646189746025	0.591279548241781	3.4776462387492e-54	9.66645143413136e-52	134265
"75"	"ENSG00000253983"	""	74.1851951294086	8.80728454488067	1.13990580958832	4.04773109666356e-18	1.02376345880503e-16	NA
"76"	"ENSG00000149564"	"ESAM"	3206.05263281763	8.79322853153683	0.604128365629506	1.43060426223268e-51	3.30818219227891e-49	90952
"77"	"ENSG00000114698"	"PLSCR4"	482.558482537725	8.78054813327486	0.817027619929135	1.8294982516476e-30	1.21898626849488e-28	57088
"78"	"ENSG00000163239"	"TDRD10"	139.021439657579	8.77814244350424	1.16744019582374	2.06626567969368e-17	4.87645788797691e-16	126668
"79"	"ENSG00000124780"	"KCNK17"	150.014751731749	8.71926808904054	1.28898780959416	5.53389567546314e-15	1.03102059036828e-13	89822
"80"	"ENSG00000110799"	"VWF"	240.879284835141	8.71078639601033	1.01534922447205	3.2911565131477e-21	1.05677998750057e-19	7450
"81"	"ENSG00000178726"	"THBD"	661.048211688848	8.708030073958	0.681553898439643	6.08769118721824e-41	7.79167842278472e-39	7056
"82"	"ENSG00000017427"	"IGF1"	296.155932203323	8.69003759399289	0.819971145919342	9.19407695076197e-30	5.80281214520798e-28	3479
"83"	"ENSG00000101438"	"SLC32A1"	63.8933844071407	8.68569761639706	1.31930799253005	1.96454942853335e-14	3.46986336164189e-13	140679
"84"	"ENSG00000206262"	"FOXL2NB"	822.947863191481	8.67070205723312	0.783659967908766	5.52020135026306e-32	4.09447171850509e-30	401089
"85"	"ENSG00000164035"	"EMCN"	281.199857705365	8.67069143075299	1.15366604458824	2.17385061619664e-17	5.11282232961531e-16	51705
"86"	"ENSG00000134817"	"APLNR"	1472.2336812565	8.66615801668326	0.65875903814839	4.32076503807081e-43	6.29094245066839e-41	187
"87"	"ENSG00000101000"	"PROCR"	4953.58901660211	8.66438378765866	0.497621274217594	1.66846000711005e-71	1.58319594743635e-68	10544
"88"	"ENSG00000152760"	"DYNLT5"	159.956904588692	8.64072934793572	1.2536263968008	2.2861703899233e-15	4.44285570550208e-14	200132
"89"	"ENSG00000112164"	"GLP1R"	459.650801286432	8.60469140907006	0.660149445740243	2.14516777334347e-42	2.9663681802445e-40	2740
"90"	"ENSG00000173535"	"TNFRSF10C"	2284.52124141999	8.59331357521173	0.487611875055027	4.04623456697312e-73	4.6393451172486e-70	8794
"91"	"ENSG00000230387"	""	62.1829156831441	8.57293634898335	1.15218141124378	4.01475426593834e-17	9.19883496170617e-16	100505664
"92"	"ENSG00000270547"	"LINC01235"	388.320698777229	8.5551690719426	0.85737067206896	6.11367852130576e-27	3.10972653510706e-25	401492
"93"	"ENSG00000138722"	"MMRN1"	6111.81024585528	8.53806381493299	0.825033849275303	1.34367085239736e-28	7.78423884553065e-27	22915
"94"	"ENSG00000133561"	"GIMAP6"	191.268656913633	8.4703313024618	1.09222798403516	3.57283026110724e-18	9.11187610056988e-17	474344
"95"	"ENSG00000158764"	"ITLN2"	346.790895917301	8.46372379880697	0.87731719628184	1.72736636398468e-25	7.94877384684456e-24	142683
"96"	"ENSG00000163218"	"PGLYRP4"	77.7717020994703	8.46073001764129	1.11218227178802	1.15719713719789e-17	2.80809090135904e-16	57115
"97"	"ENSG00000135636"	"DYSF"	7717.68246758304	8.45728926389492	0.531240240916733	1.22195096097893e-60	5.09479493094214e-58	8291
"98"	"ENSG00000120156"	"TEK"	15874.4186916504	8.45334099019284	0.590254226358274	4.43656361804057e-50	9.53791856572191e-48	7010
"99"	"ENSG00000136114"	"THSD1"	11492.1321820922	8.42195792437153	0.405062201084229	1.28138966991776e-99	8.81532023419923e-96	55901
"100"	"ENSG00000137225"	"CAPN11"	74.3216804636249	8.366352160291	1.27391675821922	2.55821980842888e-14	4.44145695194611e-13	11131
"101"	"ENSG00000175445"	"LPL"	2822.50473224381	8.36421725365806	0.805753973348569	1.04307855513786e-28	6.1201355395061e-27	4023
"102"	"ENSG00000171056"	"SOX7"	1942.26726110444	8.34153066010134	0.537895658591176	8.73066637871106e-58	2.92988387084599e-55	83595
"103"	"ENSG00000154133"	"ROBO4"	180.117646663702	8.27601746467622	1.15524635688371	3.84110328073775e-16	8.05022696720041e-15	54538
"104"	"ENSG00000047365"	"ARAP2"	326.11973991022	8.25545456409315	1.04623137216664	1.37115408380256e-18	3.63851669026796e-17	116984
"105"	"ENSG00000179776"	"CDH5"	3351.60050376783	8.23463503576819	0.856481118284526	2.75306151652848e-25	1.23788801980116e-23	1003
"106"	"ENSG00000285239"	""	85.3102878154532	8.22653346780221	1.17578586828059	1.36205760082928e-15	2.70621668300506e-14	NA
"107"	"ENSG00000003436"	"TFPI"	6493.12637101905	8.21512635834372	0.526353719738761	2.00855769765796e-58	7.27256456896734e-56	7035
"108"	"ENSG00000162654"	"GBP4"	375.250970686927	8.18002550250055	0.568472613638912	1.99505917300243e-50	4.35714589862547e-48	115361
"109"	"ENSG00000141293"	"SKAP1"	62.1034320502841	8.17425512959296	1.0995930031737	5.40861356610103e-17	1.22396569171026e-15	8631
"110"	"ENSG00000225472"	""	45.682576183519	8.17424506114062	1.09898403795719	5.24048146798327e-17	1.18689357231246e-15	NA
"111"	"ENSG00000258659"	"TRIM34"	81.1940698220216	8.17160499553856	1.1796115425681	2.34960321981753e-15	4.55326629598161e-14	53840
"112"	"ENSG00000250863"	""	40.7884355457585	8.166437654313	1.19837259785259	5.28217761074344e-15	9.9083138031655e-14	105374438
"113"	"ENSG00000147862"	"NFIB"	1256.062779678	8.16157339280739	0.493904817226979	7.81014267404835e-65	4.47748971050963e-62	4781
"114"	"ENSG00000189058"	"APOD"	146.963112790126	8.14488174838438	1.07574188420734	1.91115009025823e-17	4.52980432245701e-16	347
"115"	"ENSG00000235750"	"KIAA0040"	54.348900290039	8.12894280448235	1.11693536312283	1.84332069411302e-16	3.98464248708579e-15	9674
"116"	"ENSG00000121858"	"TNFSF10"	358.589614183792	8.09180642897356	0.678546870941418	3.45425235157708e-36	3.39478986466779e-34	8743
"117"	"ENSG00000170373"	"CST1"	78.3437381724355	8.07607104269619	1.32886227550148	8.21668618289093e-13	1.20269558713188e-11	1469
"118"	"ENSG00000109099"	"PMP22"	14041.9343772591	8.07532849889307	0.449605963280554	1.34603028269087e-75	2.05778118439374e-72	5376
"119"	"ENSG00000156535"	"CD109"	892.035757691494	8.07291274311313	0.472333154578268	5.95662035914309e-69	4.43011564980809e-66	135228
"120"	"ENSG00000223749"	"MIR503HG"	335.190752203798	8.07256093671284	0.762307760581673	1.43628563119453e-29	8.94201538443688e-28	NA
"121"	"ENSG00000166825"	"ANPEP"	811.190542061982	8.06136010960444	1.26174456841794	1.08659520620008e-13	1.74349427896291e-12	290
"122"	"ENSG00000007908"	"SELE"	637.132319759689	8.02199073571055	0.922432178202073	1.78253813279447e-21	5.82563947009956e-20	6401
"123"	"ENSG00000228157"	""	49.4524413394086	8.02068506105596	1.20776044370233	2.03606394727339e-14	3.58237900901976e-13	NA
"124"	"ENSG00000188643"	"S100A16"	1656.83949202447	8.01858379217794	0.66306766779603	4.87868192912517e-37	4.99076465894671e-35	140576
"125"	"ENSG00000224383"	"PRR29"	649.90278328272	7.9779448570175	0.713114861955968	2.18332318309764e-32	1.67823149029276e-30	92340
"126"	"ENSG00000250646"	""	47.659844353184	7.95457273038853	1.24296148699264	1.12351751614769e-13	1.80063803199489e-12	NA
"127"	"ENSG00000186105"	"LRRC70"	556.813176160488	7.95232818051972	0.621432489945481	7.6659450768322e-41	9.76627206593835e-39	100130733
"128"	"ENSG00000254703"	"SENCR"	113.809622324684	7.9434467879543	1.09101925771791	2.16928812696628e-16	4.65998990459469e-15	100507392
"129"	"ENSG00000226252"	""	37.4209779657048	7.92651295671507	1.27942967284003	4.44579769880638e-13	6.66336933963802e-12	NA
