"ENSG"	"external_gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"entrezgene_id"
"1"	"ENSG00000279033"	""	25.7075084123883	16.8371681805759	7.46828792111782	1.86163969016849e-08	1.40352331490566e-07	NA
"2"	"ENSG00000285508"	"MKKS"	152.656274155472	9.52677939194565	1.02577631301761	3.34200683106063e-23	1.16411827819147e-21	8195
"3"	"ENSG00000167105"	"TMEM92"	187.173145318099	8.83597003714399	1.11723477296675	1.40125242666856e-17	3.02903882773491e-16	162461
"4"	"ENSG00000184584"	"STING1"	663.550642636196	8.73236788302791	0.709436810253768	8.49824383836473e-37	7.26256751379257e-35	340061
"5"	"ENSG00000226496"	"LINC00323"	131.897037490197	8.51771498820465	1.04466332541121	3.18080200974109e-18	7.34306289463551e-17	284835
"6"	"ENSG00000132514"	"CLEC10A"	597.936557734253	8.41806278119709	0.869441623338263	4.45597873165385e-24	1.63711111799266e-22	10462
"7"	"ENSG00000158764"	"ITLN2"	346.790895917301	8.24395577559737	0.738504689939573	1.02318849334697e-30	6.134226788654e-29	142683
"8"	"ENSG00000270547"	"LINC01235"	388.320698777229	8.20721966014482	0.798038381676516	1.3517906334429e-26	6.10814033679502e-25	401492
"9"	"ENSG00000198959"	"TGM2"	4849.24043616627	8.17402910106895	0.463377985767887	2.53161165787158e-71	1.42173244084306e-68	7052
"10"	"ENSG00000000971"	"CFH"	2023.20212261613	7.96365285294211	0.531968702128967	2.76977895406073e-52	5.81822727159109e-50	3075
"11"	"ENSG00000235750"	"KIAA0040"	54.348900290039	7.90897813034968	1.02117285469427	1.64892117321073e-16	3.19542343974738e-15	9674
"12"	"ENSG00000133561"	"GIMAP6"	191.268656913633	7.89989023896813	0.876401327821691	3.98642402071199e-21	1.17199162608924e-19	474344
"13"	"ENSG00000231749"	"ABCA9-AS1"	629.855288354855	7.63892978864319	0.565073222923385	3.73197592353314e-43	4.60522481900382e-41	104355297
"14"	"ENSG00000139675"	"HNRNPA1L2"	86.5781120576149	7.58979210275795	1.2853118897194	5.90562372126293e-11	6.20270815121043e-10	144983
"15"	"ENSG00000179046"	"TRIML2"	264.53658824071	7.56472566948793	0.923769692515508	6.76361615360575e-18	1.51195117233894e-16	205860
"16"	"ENSG00000230387"	""	62.1829156831441	7.52270716460059	1.04824862208269	1.69587599146788e-14	2.65909490217739e-13	100505664
"17"	"ENSG00000204472"	"AIF1"	40.8553439844528	7.52012474824449	1.01711871319621	3.50168409766128e-15	5.94077330452793e-14	199
"18"	"ENSG00000121236"	"TRIM6"	131.744374106437	7.47482211365309	1.10706938426629	3.39249961663083e-13	4.66307714537699e-12	117854
"19"	"ENSG00000165118"	"C9orf64"	138.695881774549	7.46928766834965	1.00043987693675	2.1479563275257e-15	3.72424501577627e-14	84267
"20"	"ENSG00000106034"	"CPED1"	64.1967329779849	7.46748794931589	1.13555893850446	1.09574201657953e-12	1.41360785386431e-11	79974
"21"	"ENSG00000154133"	"ROBO4"	180.117646663702	7.44190037146647	0.758788463578273	3.34753712292492e-24	1.23647686642481e-22	54538
"22"	"ENSG00000172197"	"MBOAT1"	494.237406848096	7.40007820302779	0.839860598600277	3.8868178329175e-20	1.05898468441806e-18	154141
"23"	"ENSG00000168505"	"GBX2"	38.2380343979426	7.38100297053127	1.09580746726087	4.16468998478946e-13	5.64673596441947e-12	2637
"24"	"ENSG00000163735"	"CXCL5"	310.970697020472	7.34911884743085	0.821275161586581	1.19271529495797e-20	3.39763348723119e-19	6374
"25"	"ENSG00000133980"	"VRTN"	98.6273733149928	7.33390036650217	1.48859776798787	1.28855355707056e-08	9.92121342570441e-08	55237
"26"	"ENSG00000254703"	"SENCR"	113.809622324684	7.31507709037942	1.00809615639007	1.16728826087228e-14	1.86644034646621e-13	100507392
"27"	"ENSG00000173535"	"TNFRSF10C"	2284.52124141999	7.30146551487525	0.434815719930779	1.16046230942824e-64	4.83842451982522e-62	8794
"28"	"ENSG00000256673"	""	60.4982329972655	7.28845777715003	1.06788080281617	2.49325990241096e-13	3.47742148984008e-12	NA
"29"	"ENSG00000163737"	"PF4"	52.0142977732742	7.27244304764975	1.09022723424802	7.1733317164995e-13	9.46742168703277e-12	5196
"30"	"ENSG00000111907"	"TPD52L1"	1100.43198716421	7.26318257758625	0.517247581327656	3.58232501372665e-46	5.2157894035836e-44	7164
"31"	"ENSG00000203747"	"FCGR3A"	33.390891822168	7.2474853471854	1.08053508605238	5.75357281810425e-13	7.66715819896333e-12	2214
"32"	"ENSG00000259974"	"LINC00261"	34.6832317544414	7.23140326052655	1.13514480066457	5.24804159521908e-12	6.24634985368679e-11	140828
"33"	"ENSG00000237223"	"SULT1C2P1"	30.3566512687025	7.20270865823225	1.0994232861704	1.68664298879697e-12	2.11834969263875e-11	151234
"34"	"ENSG00000270571"	""	230.442310928842	7.17353766032766	0.657241091615918	4.08784816376092e-29	2.20135823425387e-27	105374811
"35"	"ENSG00000224189"	"HAGLR"	84.3336513473262	7.16548196189948	1.12947768691638	6.62720165864549e-12	7.78682046296356e-11	401022
"36"	"ENSG00000262370"	""	98.0723231571025	7.16357157809247	0.923076456117598	3.00721316601165e-16	5.66797889741839e-15	NA
"37"	"ENSG00000121858"	"TNFSF10"	358.589614183792	7.15092903220601	0.51642432759712	5.97549693187598e-45	8.10018347642183e-43	8743
"38"	"ENSG00000213189"	"BTF3L4P2"	35.9373915820302	7.12673384727767	1.12933148920307	8.50551653327394e-12	9.8507914125687e-11	NA
"39"	"ENSG00000169245"	"CXCL10"	26.9694873478955	7.08891867410393	1.07145550924927	1.23006882473347e-12	1.57583956792438e-11	3627
"40"	"ENSG00000225328"	"LINC01594"	97.9108810275919	7.07465836715867	0.891803448395199	8.34182932938808e-17	1.67922794064449e-15	NA
"41"	"ENSG00000279393"	""	34.7316039133096	7.06746863771287	1.02010285643406	1.51386910170433e-13	2.16071835792011e-12	NA
"42"	"ENSG00000213300"	"HNRNPA3P6"	106.423342956137	7.05907380132632	0.787093274223753	1.26901263558568e-20	3.59266355000481e-19	NA
"43"	"ENSG00000179676"	"LINC00305"	163.96892662247	7.05215977023558	0.610494747996388	3.3734759169119e-32	2.26971418781373e-30	221241
