"ENSG"	"external_gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"entrezgene_id"
"1"	"ENSG00000279033"	""	25.7075084123883	9.86076362789365	3.0525266550872	3.98700360805837e-08	2.5402724076534e-07	NA
"2"	"ENSG00000285508"	"MKKS"	152.656274155472	9.54051896458001	1.05190631948156	4.10662566897687e-22	9.87815779361063e-21	8195
"3"	"ENSG00000198959"	"TGM2"	4849.24043616627	9.41524453384606	0.466477673422407	6.21593549196565e-93	5.89827975406588e-90	7052
"4"	"ENSG00000163735"	"CXCL5"	310.970697020472	9.19999390877709	0.838139614102419	2.24433255743029e-30	9.51610836908579e-29	6374
"5"	"ENSG00000167105"	"TMEM92"	187.173145318099	9.11246137201204	1.15762784318041	1.44746846702935e-17	2.41110395131438e-16	162461
"6"	"ENSG00000270547"	"LINC01235"	388.320698777229	9.0668164175149	0.814182969928886	4.1233515048973e-31	1.84498189775226e-29	401492
"7"	"ENSG00000170373"	"CST1"	78.3437381724355	8.9513287522963	1.23480952897443	1.84721346069583e-15	2.63649481387074e-14	1469
"8"	"ENSG00000226496"	"LINC00323"	131.897037490197	8.8684196440832	1.07998698093881	1.09757504764403e-18	2.02027225157649e-17	284835
"9"	"ENSG00000230387"	""	62.1829156831441	8.75593751270503	1.08379760537604	3.54103818573729e-18	6.23431150320657e-17	100505664
"10"	"ENSG00000163737"	"PF4"	52.0142977732742	8.75347516039103	1.1297390063178	4.95845185734542e-17	7.93163553591936e-16	5196
"11"	"ENSG00000133561"	"GIMAP6"	191.268656913633	8.63086639123415	0.897997901251067	4.53762882545247e-24	1.27675327217588e-22	474344
"12"	"ENSG00000106034"	"CPED1"	64.1967329779849	8.59303864167282	1.1808801921356	1.99578164382685e-15	2.8382387222133e-14	79974
"13"	"ENSG00000165118"	"C9orf64"	138.695881774549	8.52521591900686	1.03189622586908	9.37764414404948e-19	1.74360818618888e-17	84267
"14"	"ENSG00000235750"	"KIAA0040"	54.348900290039	8.47862508077771	1.05496399019638	6.17804987814629e-18	1.06654690430884e-16	9674
"15"	"ENSG00000158764"	"ITLN2"	346.790895917301	8.44612144949221	0.751715909065428	2.04471920538543e-31	9.34660848734159e-30	142683
"16"	"ENSG00000132514"	"CLEC10A"	597.936557734253	8.42126487495438	0.890543890691946	2.35693419338091e-23	6.29079681216838e-22	10462
"17"	"ENSG00000000971"	"CFH"	2023.20212261613	8.40878105594449	0.536929619626588	2.25171187376624e-57	4.24401420152736e-55	3075
"18"	"ENSG00000179046"	"TRIML2"	264.53658824071	8.37612085577583	0.948780151794289	7.98773915362999e-21	1.75284374824234e-19	205860
"19"	"ENSG00000139675"	"HNRNPA1L2"	86.5781120576149	8.36869428343473	1.35009069996758	3.63597015724708e-12	3.74596131737646e-11	144983
"20"	"ENSG00000172197"	"MBOAT1"	494.237406848096	8.33201640869129	0.858672639273103	2.32767986706877e-24	6.66660050234309e-23	154141
"21"	"ENSG00000184584"	"STING1"	663.550642636196	8.32861815479441	0.721075053705174	6.08042547944302e-33	3.06448989639768e-31	340061
"22"	"ENSG00000204472"	"AIF1"	40.8553439844528	8.23380197706884	1.04990773669498	3.59579220872246e-17	5.82395585636402e-16	199
"23"	"ENSG00000254703"	"SENCR"	113.809622324684	8.22628849029411	1.03991831615017	2.10531291370199e-17	3.47118039300487e-16	100507392
"24"	"ENSG00000123609"	"NMI"	292.002981643881	8.15158170723228	0.675963196056126	1.66196995940983e-35	9.64854205549364e-34	9111
"25"	"ENSG00000165682"	"CLEC1B"	27.2727943028294	8.08440343726679	1.17874333173852	6.09988363828072e-14	7.5475089009986e-13	51266
"26"	"ENSG00000125810"	"CD93"	764.474109784612	8.01497173382291	0.571812643290121	1.34236188075692e-46	1.52640967911855e-44	22918
"27"	"ENSG00000177464"	"GPR4"	133.71491186153	7.96933411429712	0.956164829672958	8.11927469113275e-19	1.51578155326045e-17	2828
"28"	"ENSG00000279393"	""	34.7316039133096	7.95150722261306	1.05172798147806	4.13715093981079e-16	6.22790588411999e-15	NA
