"ENSG"	"external_gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"entrezgene_id"
"1"	"ENSG00000249751"	"ECSCR"	6248.04124033251	15.6973921484495	1.19142102487185	8.18898445012036e-44	7.63879573214956e-42	641700
"2"	"ENSG00000163762"	"TM4SF18"	3756.47643027508	15.0461700543623	1.15528518936382	6.88263993920339e-43	6.23014756075655e-41	116441
"3"	"ENSG00000168497"	"CAVIN2"	2833.57052849515	14.7353472428584	1.32414979734795	7.67366010445815e-33	3.93962273795671e-31	8436
"4"	"ENSG00000196329"	"GIMAP5"	2344.36165609892	14.3934215784413	1.11058639038981	2.10964179220564e-42	1.85473235903881e-40	55340
"5"	"ENSG00000000971"	"CFH"	2023.20212261613	13.9927339831077	1.13358887455432	6.90404027980239e-39	5.16264620705441e-37	3075
"6"	"ENSG00000130300"	"PLVAP"	2221.90868117792	13.979254387535	1.12638926878363	3.03027365511117e-39	2.30989114795981e-37	83483
"7"	"ENSG00000124019"	"FAM124B"	2880.32919020024	13.683149873499	1.17542300413987	4.15269087088169e-35	2.47345773560438e-33	79843
"8"	"ENSG00000108622"	"ICAM2"	4183.94498695839	13.54025018996	0.924435187361896	2.67836334878728e-52	3.63069963704081e-50	3384
"9"	"ENSG00000171864"	"PRND"	12671.7396293262	13.2642661341129	0.818761267750879	1.23081007704132e-62	2.97100278070378e-60	23627
"10"	"ENSG00000171115"	"GIMAP8"	1677.56428139543	13.2009106508582	1.14407520181435	2.05052885875167e-34	1.17555110698184e-32	155038
"11"	"ENSG00000279033"	""	25.7075084123883	12.9288684503238	3.78222001931671	1.83993248821026e-08	1.31237071567055e-07	NA
"12"	"ENSG00000178175"	"ZNF366"	853.419224948476	12.8486709939896	1.13365065714402	2.96593462805884e-33	1.56353618955791e-31	167465
"13"	"ENSG00000161940"	"BCL6B"	4577.78281680877	12.7032705509406	0.842661374642034	9.76916524739416e-55	1.53615936730167e-52	255877
"14"	"ENSG00000184344"	"GDF3"	614.825405308915	12.6387401548464	1.09857220612529	5.09268515701107e-34	2.836852432199e-32	9573
"15"	"ENSG00000261371"	"PECAM1"	12166.7598374264	12.6126600672363	0.875204776852944	1.97418569401838e-50	2.49200192330265e-48	5175
"16"	"ENSG00000147113"	"DIPK2B"	6223.40057997451	12.6103766887718	0.808334008262892	3.30395502922377e-58	6.10189493249528e-56	79742
"17"	"ENSG00000174059"	"CD34"	13532.5096752789	12.4701574537977	0.690570903875733	3.70360655204816e-76	1.43543443801776e-73	947
"18"	"ENSG00000151702"	"FLI1"	7483.72728607614	12.3775877121846	0.787841240866947	7.36171709841271e-59	1.41664147632252e-56	2313
"19"	"ENSG00000198959"	"TGM2"	4849.24043616627	12.2873755996122	0.615636793214049	8.28961068686225e-92	7.60378356270251e-89	7052
"20"	"ENSG00000152804"	"HHEX"	614.150945168591	12.1220065133143	1.10512822521885	3.53541804531956e-31	1.605406497873e-29	3087
"21"	"ENSG00000187513"	"GJA4"	2024.80974549275	11.9664653479761	0.972357822388518	6.67766071542869e-38	4.72380122280634e-36	2701
"22"	"ENSG00000100368"	"CSF2RB"	469.552786456604	11.9237132810592	1.2094350580572	4.68818982483265e-26	1.59074731935567e-24	1439
"23"	"ENSG00000150048"	"CLEC1A"	1187.71112881221	11.7646323107667	1.18912729890995	3.86560728008119e-26	1.32305697926958e-24	51267
"24"	"ENSG00000142748"	"FCN3"	337.306696112358	11.5489394372523	1.05432212096648	7.17036195016841e-31	3.22768867326164e-29	8547
"25"	"ENSG00000231749"	"ABCA9-AS1"	629.855288354855	11.50356915696	1.1124312521194	5.24040679715368e-28	1.99454376547822e-26	104355297
"26"	"ENSG00000174175"	"SELP"	238.572113023271	11.4310292372851	1.2608067682392	1.3775851682384e-22	3.64503737111387e-21	6403
"27"	"ENSG00000197721"	"CR1L"	1708.20478253019	11.4087303251405	0.900110835103954	1.116414550928e-39	8.70454541071383e-38	1379
"28"	"ENSG00000263155"	"MYZAP"	375.643208530489	11.3796747606086	1.21648783535074	1.00744604766855e-23	2.93364024759187e-22	100820829
"29"	"ENSG00000017427"	"IGF1"	296.155932203323	11.1923263456481	1.07416964635922	3.06503020872534e-28	1.18459973713067e-26	3479
"30"	"ENSG00000069122"	"ADGRF5"	8148.04861000057	11.1015686876349	0.729876935700517	5.78745154855352e-55	9.15282136282159e-53	221395
"31"	"ENSG00000128052"	"KDR"	27457.6206442609	11.0843157791643	0.677506240334768	7.24596950144132e-63	1.78030882804163e-60	3791
"32"	"ENSG00000182492"	"BGN"	3561.37827397395	11.0342354815653	0.667867741761659	5.30958948379231e-64	1.37838946617922e-61	633
"33"	"ENSG00000125810"	"CD93"	764.474109784612	10.8892133189343	0.956829472393802	1.08046964843822e-32	5.52646167020874e-31	22918
"34"	"ENSG00000133561"	"GIMAP6"	191.268656913633	10.8273838757193	1.07814684144609	2.0249837953801e-26	7.1257677853286e-25	474344
"35"	"ENSG00000181885"	"CLDN7"	428.181425601516	10.6599692419551	1.00310946371076	5.41606138582142e-29	2.20146495147761e-27	1366
"36"	"ENSG00000226197"	""	181.109319305065	10.6417552278373	1.06601540926236	4.32334293835638e-26	1.47057788600359e-24	NA
"37"	"ENSG00000157551"	"KCNJ15"	162.653045112548	10.5357513638538	1.22971691458278	2.50533346566237e-20	5.71656437048898e-19	3772
"38"	"ENSG00000133574"	"GIMAP4"	123.600464254556	10.5137288826614	1.07968520289494	5.43961925400886e-25	1.73049066626377e-23	55303
"39"	"ENSG00000168899"	"VAMP5"	4832.72545179554	10.5040868842609	0.573958979020074	2.63073327571558e-77	1.1137310504791e-74	10791
"40"	"ENSG00000157554"	"ERG"	1828.98372344122	10.4023448605408	0.718078437083072	4.92836896764113e-50	6.05441327015842e-48	2078
"41"	"ENSG00000139567"	"ACVRL1"	559.916601146125	10.3411883263156	1.27216664222606	1.16695611029761e-18	2.33543987223051e-17	94
"42"	"ENSG00000179676"	"LINC00305"	163.96892662247	10.212754839829	1.08491236057482	1.57293417234719e-23	4.49004175878111e-22	221241
"43"	"ENSG00000120156"	"TEK"	15874.4186916504	10.1739431846852	0.587662082219453	1.55372430161756e-69	5.15125124480867e-67	7010
"44"	"ENSG00000184584"	"STING1"	663.550642636196	10.1173448843238	0.988846226286453	5.27321845677173e-27	1.896842163313e-25	340061
"45"	"ENSG00000178726"	"THBD"	661.048211688848	10.0712603974115	0.800300795025835	1.05927128621605e-38	7.81475261503838e-37	7056
"46"	"ENSG00000226496"	"LINC00323"	131.897037490197	10.0403162504287	1.0944370957528	1.68936108881612e-22	4.43586244675972e-21	284835
"47"	"ENSG00000254703"	"SENCR"	113.809622324684	10.0376137731358	1.0808507473725	5.9427444666142e-23	1.61274597862218e-21	100507392
"48"	"ENSG00000158764"	"ITLN2"	346.790895917301	10.0135934554619	1.08820040265504	1.33183365985345e-22	3.5307705830296e-21	142683
"49"	"ENSG00000285508"	"MKKS"	152.656274155472	10.0111267400764	1.06657660761222	2.38552447610507e-23	6.69162716956771e-22	8195
"50"	"ENSG00000103310"	"ZP2"	112.213958270603	9.9639486486227	1.1513413344864	1.89180052358163e-20	4.34545632787307e-19	7783
"51"	"ENSG00000118640"	"VAMP8"	2185.00922947568	9.84636931360636	0.498640894731775	4.54342556856678e-89	3.5721709941663e-86	8673
"52"	"ENSG00000163735"	"CXCL5"	310.970697020472	9.81149514954909	0.893675363050135	2.30551294720973e-30	1.00863442418629e-28	6374
"53"	"ENSG00000235505"	"CASP4LP"	726.735750370307	9.78686434946262	1.29098789943529	1.38833658449352e-16	2.32385925377693e-15	643733
"54"	"ENSG00000179776"	"CDH5"	3351.60050376783	9.76614197137719	0.859657205028377	3.28165370774279e-32	1.6068424684994e-30	1003
"55"	"ENSG00000127329"	"PTPRB"	1998.9754686367	9.76462427017529	0.567185927813949	1.10583993348417e-68	3.53843061507178e-66	5787
"56"	"ENSG00000124780"	"KCNK17"	150.014751731749	9.75884079219962	1.21891520381469	5.07186822778392e-18	9.61654536081793e-17	89822
"57"	"ENSG00000260314"	"MRC1"	533.438106016808	9.65782211367994	0.738107284543901	2.26318501291322e-41	1.91625615954911e-39	4360
