"ENSG"	"external_gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"entrezgene_id"
"1"	"ENSG00000249751"	"ECSCR"	6248.04124033251	15.1417308913736	1.14887922363107	7.44111622281459e-43	6.66985785730984e-41	641700
"2"	"ENSG00000204072"	"ARMCX7P"	58.1816179099027	15.108059007098	2.57517149547644	6.88525274611274e-14	8.84126855191462e-13	NA
"3"	"ENSG00000261371"	"PECAM1"	12166.7598374264	13.9760914933013	1.04600154342556	1.67549737232937e-43	1.55764650985675e-41	5175
"4"	"ENSG00000124019"	"FAM124B"	2880.32919020024	13.9506553469505	1.13394533993885	1.34359410626836e-37	9.08428074110388e-36	79843
"5"	"ENSG00000000971"	"CFH"	2023.20212261613	13.5819203243155	1.09645439898328	6.13403195846436e-38	4.23048349456196e-36	3075
"6"	"ENSG00000130300"	"PLVAP"	2221.90868117792	13.5719540789119	1.08993859925545	2.75869713166155e-38	1.95151227941035e-36	83483
"7"	"ENSG00000171864"	"PRND"	12671.7396293262	13.5100916144926	0.866731893832084	2.24827490984035e-57	4.04366202411678e-55	23627
"8"	"ENSG00000108622"	"ICAM2"	4183.94498695839	13.2401744580331	0.909868471245072	1.62067035931378e-50	1.99096459587485e-48	3384
"9"	"ENSG00000163762"	"TM4SF18"	3756.47643027508	12.9059458652462	0.965987151229013	3.34029302887127e-43	3.03360341810164e-41	116441
"10"	"ENSG00000198959"	"TGM2"	4849.24043616627	12.7983997060894	0.721677802308892	9.1894109976845e-73	3.61248874048974e-70	7052
"11"	"ENSG00000174059"	"CD34"	13532.5096752789	12.5393346658134	0.700434316887063	5.20018303593805e-74	2.16816116337793e-71	947
"12"	"ENSG00000184344"	"GDF3"	614.825405308915	12.3177023164567	1.06926574065335	4.14679229887404e-33	2.11317463852622e-31	9573
"13"	"ENSG00000147113"	"DIPK2B"	6223.40057997451	12.2641619978852	0.78594131704819	3.35243416575508e-57	5.95176021762892e-55	79742
"14"	"ENSG00000260314"	"MRC1"	533.438106016808	12.1026580611002	1.10187109261476	1.94111459317934e-30	8.42517214118438e-29	4360
"15"	"ENSG00000187513"	"GJA4"	2024.80974549275	12.0412367925655	1.06716432464959	7.10531650058854e-32	3.39451561568047e-30	2701
"16"	"ENSG00000196329"	"GIMAP5"	2344.36165609892	11.9897056938521	0.819506521916321	9.75989574448618e-51	1.21526158867317e-48	55340
"17"	"ENSG00000120279"	"MYCT1"	1757.863731125	11.8663736198043	0.965188030050107	5.05772755185326e-37	3.26710203689901e-35	80177
"18"	"ENSG00000069122"	"ADGRF5"	8148.04861000057	11.8406070520738	0.767027137058626	5.48014744783527e-56	9.08449984756211e-54	221395
"19"	"ENSG00000152804"	"HHEX"	614.150945168591	11.8254375580357	1.07792670544389	2.58383448994448e-30	1.11096808584832e-28	3087
"20"	"ENSG00000168497"	"CAVIN2"	2833.57052849515	11.7492545488066	0.991994094537782	1.2393174033427e-34	6.90354985934909e-33	8436
"21"	"ENSG00000182492"	"BGN"	3561.37827397395	11.7155120064335	0.751609511099957	5.59045815551411e-57	9.67536022159983e-55	633
"22"	"ENSG00000197721"	"CR1L"	1708.20478253019	11.6984393947564	1.02239164007888	1.37948041887682e-32	6.90191675757315e-31	1379
"23"	"ENSG00000100368"	"CSF2RB"	469.552786456604	11.6169281930533	1.17552113067227	2.44832042351964e-25	7.60416268785704e-24	1439
"24"	"ENSG00000163735"	"CXCL5"	310.970697020472	11.6120184414069	1.11719830168233	1.36939569279757e-27	4.93233385790623e-26	6374
