"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","26/314","312/12613",6.94732338054051e-08,8.98099235962677e-05,7.87589738496711e-05,"HPSE2/TNFRSF1B/ITGA7/ICAM3/COL1A2/COL7A1/ICAM2/HAPLN1/COL6A1/PECAM1/NTN4/LAMA1/ITGA10/F11R/TGFB2/CTSV/ADAM8/CAPNS1/LAMA5/SCUBE3/PRSS2/COL11A2/FLRT2/ICAM4/FURIN/CTSG",26
"GO:0043062","GO:0043062","extracellular structure organization","26/314","313/12613",7.40802229279085e-08,8.98099235962677e-05,7.87589738496711e-05,"HPSE2/TNFRSF1B/ITGA7/ICAM3/COL1A2/COL7A1/ICAM2/HAPLN1/COL6A1/PECAM1/NTN4/LAMA1/ITGA10/F11R/TGFB2/CTSV/ADAM8/CAPNS1/LAMA5/SCUBE3/PRSS2/COL11A2/FLRT2/ICAM4/FURIN/CTSG",26
"GO:0045229","GO:0045229","external encapsulating structure organization","26/314","313/12613",7.40802229279085e-08,8.98099235962677e-05,7.87589738496711e-05,"HPSE2/TNFRSF1B/ITGA7/ICAM3/COL1A2/COL7A1/ICAM2/HAPLN1/COL6A1/PECAM1/NTN4/LAMA1/ITGA10/F11R/TGFB2/CTSV/ADAM8/CAPNS1/LAMA5/SCUBE3/PRSS2/COL11A2/FLRT2/ICAM4/FURIN/CTSG",26
"GO:0042060","GO:0042060","wound healing","28/314","394/12613",5.93249026008035e-07,0.000387337087705185,0.000339675954950353,"CD9/F2RL2/LYN/RHOC/PLA2G4A/MYL12A/MPL/COL1A2/SERPINE2/PRCP/HMOX1/ANXA6/HIF1A/TFPI/PROCR/RAB27A/CD34/F11R/TGFB2/PLSCR1/EPPK1/ANXA1/CD109/EPHB2/AJUBA/SDC1/SELP/CLEC1B",28
"GO:0006935","GO:0006935","chemotaxis","29/314","418/12613",6.0830486190679e-07,0.000387337087705185,0.000339675954950353,"S1PR1/GFRA1/LYN/RHOG/DPEP1/RET/MPP1/SMO/NTN4/PLP2/COLEC10/LAMA1/CCRL2/IGSF9/CXCL5/BMPR2/TGFB2/ECSCR/ADAM8/PRKD1/LAMA5/DUSP3/TPBG/ANGPT1/ANXA1/PLXNA4/EPHB2/FLRT2/SEMA3A",29
"GO:0042330","GO:0042330","taxis","29/314","419/12613",6.38994370698683e-07,0.000387337087705185,0.000339675954950353,"S1PR1/GFRA1/LYN/RHOG/DPEP1/RET/MPP1/SMO/NTN4/PLP2/COLEC10/LAMA1/CCRL2/IGSF9/CXCL5/BMPR2/TGFB2/ECSCR/ADAM8/PRKD1/LAMA5/DUSP3/TPBG/ANGPT1/ANXA1/PLXNA4/EPHB2/FLRT2/SEMA3A",29
"GO:0050878","GO:0050878","regulation of body fluid levels","26/314","358/12613",1.01398273269935e-06,0.000526836456975363,0.000462010177455494,"CD9/F2RL2/LYN/PLA2G4A/MYL12A/MPL/COL1A2/SERPINE2/PRCP/RAB11A/HIF1A/TFPI/PROCR/RAB27A/HYAL2/CD34/F11R/PLSCR1/ADCY5/COX2/EPHB2/GJA5/ADCY3/P2RY2/SELP/CLEC1B",26
"GO:0008217","GO:0008217","regulation of blood pressure","14/314","117/12613",1.20283856804789e-06,0.000546840483998772,0.000479552744892777,"GNB3/COL1A2/PRCP/HMOX1/AVPR1A/BMPR2/CD34/F11R/KCNK6/EDNRA/GJA5/ACTA2/GUCY1A1/CTSG",14
"GO:0009611","GO:0009611","response to wounding","29/314","464/12613",4.93049066369136e-06,0.00199246606042728,0.00174729669134326,"CD9/F2RL2/LYN/RHOC/PLA2G4A/MYL12A/MPL/COL1A2/SERPINE2/PRCP/HMOX1/ANXA6/HIF1A/TFPI/PROCR/RAB27A/CD34/F11R/TGFB2/PLSCR1/EPPK1/ANXA1/PTPRS/CD109/EPHB2/AJUBA/SDC1/SELP/CLEC1B",29
"GO:0001655","GO:0001655","urogenital system development","20/314","259/12613",7.50913594706127e-06,0.00273107274394618,0.00239501914943112,"HPGD/SMAD1/CYP26A1/WNT7B/RET/SMO/PECAM1/HYAL2/LGR4/CD34/JAG1/BMPER/TGFB2/CRIP1/LAMA5/ANGPT1/ANXA1/EPHB2/ACTA2/SDC1",20
