"ENSG"	"external_gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"entrezgene_id"
"1"	"ENSG00000000003"	"TSPAN6"	3231.43840768502	0.0427258427648274	0.0930529073015835	0.190461217934989	0.789300688627294	7105
"2"	"ENSG00000000419"	"DPM1"	1827.97537119284	0.0291898314706975	0.0851077064005375	0.343412210230046	0.871782769816366	8813
"3"	"ENSG00000000457"	"SCYL3"	568.672034184322	0.000218408425138547	0.0730280289044243	0.994524390260424	0.998680898998208	57147
"4"	"ENSG00000000460"	"C1orf112"	827.005106688392	0.0407872905316278	0.111616046983944	0.171466845707782	0.774783977325634	55732
"5"	"ENSG00000000938"	"FGR"	11.0526471081062	-0.0296522353252872	0.182372157888205	0.132127431671914	0.749217440878224	2268
"6"	"ENSG00000000971"	"CFH"	4352.61234811779	0.00188502475878512	0.093855621692614	0.935325122365274	0.987484343817945	3075
"7"	"ENSG00000001036"	"FUCA2"	254.495883432696	-0.0207504325285113	0.110306197899263	0.372805830132124	0.883402515501983	2519
"8"	"ENSG00000001084"	"GCLC"	302.502779788618	0.0243481896898736	0.0848491561131811	0.4136494562856	0.895696215621906	2729
"9"	"ENSG00000001167"	"NFYA"	1771.8807322286	-0.00593022234942391	0.0755919283321612	0.846925492638622	0.974539154143391	4800
"10"	"ENSG00000001460"	"STPG1"	492.835165083654	-0.0183308395877729	0.0746058393003419	0.570446127643925	0.930075886629557	90529
"11"	"ENSG00000001497"	"LAS1L"	3757.78524850065	0.0102343204231275	0.0830466188585414	0.712538814845459	0.952675591818368	81887
"12"	"ENSG00000001561"	"ENPP4"	691.078550691266	-0.0245191453052366	0.0753880142054947	0.455555132271502	0.908808397681533	22875
"13"	"ENSG00000001617"	"SEMA3F"	67.8830816637208	-0.0667625792036096	0.15196792962679	0.0590911937267418	0.65463254776759	6405
