"ENSG"	"external_gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"entrezgene_id"
"1"	"ENSG00000133800"	"LYVE1"	14.1578290972586	2.77522756053372	0.711566073413811	1.33637103290716e-06	0.000555128527069634	10894
"2"	"ENSG00000268606"	"MAGEA2"	145.059059434188	2.73487197538761	0.660684270381912	8.01653488169246e-07	0.000365495333032871	4101
"3"	"ENSG00000165682"	"CLEC1B"	57.9909661703147	2.54198108670558	0.69240651703115	2.01329591654013e-06	0.000800734905699673	51266
"4"	"ENSG00000180871"	"CXCR2"	79.9259731150972	2.51012581936325	0.428455707358234	5.49291678269727e-10	9.33446303808728e-07	3579
"5"	"ENSG00000169245"	"CXCL10"	57.5762397105663	2.3641069107018	0.501148797537298	1.42442844261103e-07	8.87561362590932e-05	3627
"6"	"ENSG00000134873"	"CLDN10"	559.066176989881	1.57019032943559	0.554452984123649	6.52526686800154e-06	0.00243953627127106	9071
"7"	"ENSG00000100292"	"HMOX1"	3622.69327050323	1.29565631636787	0.272140054956241	8.1309737326552e-08	5.62934414757495e-05	3162
"8"	"ENSG00000264345"	"LINC01894"	38.9350039963267	1.16837428413948	0.573034212475289	2.01165697048243e-05	0.00587560996081689	105372030
"9"	"ENSG00000100448"	"CTSG"	17.744154912093	1.15552765923103	1.32799541347645	0.000294349692100016	0.0474334378829793	1511
"10"	"ENSG00000228528"	""	81.5831924045179	1.01857320809208	0.580738832802929	3.27982572747109e-05	0.00888547569907493	NA
"11"	"ENSG00000165072"	"MAMDC2"	1352.44694289915	1.00864975109023	0.563194819325319	2.95762884373479e-05	0.00825178447402007	256691
"12"	"ENSG00000105880"	"DLX5"	77.3532139664427	0.904284259284814	0.889469080338241	0.000221803457487671	0.038749271316047	1749
"13"	"ENSG00000022567"	"SLC45A4"	191.282210456262	0.874678062428615	0.404332995943982	8.30098104778347e-06	0.00287352293937438	57210
"14"	"ENSG00000188404"	"SELL"	85.1010698086539	0.860752837866484	0.657925558157284	9.61678667435887e-05	0.0214007849171179	6402
"15"	"ENSG00000157554"	"ERG"	3928.00652407022	0.824535665799662	0.228914650360141	8.59300632313279e-08	5.73675239994004e-05	2078
"16"	"ENSG00000153029"	"MR1"	58.5344519126337	0.759725495942235	0.728940262516092	0.000211033347017459	0.03793121495959	3140
"17"	"ENSG00000196427"	"NBPF4"	22.9340230208543	0.750592415940988	0.789341232174921	0.000280224530481559	0.0461806432435549	148545
"18"	"ENSG00000165029"	"ABCA1"	5285.7455884698	0.728533711541805	0.289532000509989	1.33379128939485e-06	0.000555128527069634	19
"19"	"ENSG00000163735"	"CXCL5"	664.561648210698	0.647887077605219	0.711454746237874	0.000332028884040248	0.0497533139663696	6374
"20"	"ENSG00000144035"	"NAT8"	47.2152451319572	0.642872886355587	0.593985622267646	0.00018660429039677	0.0355938163304779	9027
"21"	"ENSG00000146411"	"SLC2A12"	769.322026222738	0.630679018780861	0.53963757644768	0.000137608233850923	0.0285812301708367	154091
"22"	"ENSG00000154479"	"CCDC173"	187.605079127653	0.589651407926067	0.313517680860713	8.5425659043873e-06	0.00290338517183112	129881
"23"	"ENSG00000128573"	"FOXP2"	141.238584754494	-0.580196981098195	0.454211379778424	9.12492957531658e-05	0.0205508805483606	93986
"24"	"ENSG00000184979"	"USP18"	84.2638619557737	-0.599812277240719	0.650489972626616	0.000328012049850446	0.0497533139663696	11274
"25"	"ENSG00000056487"	"PHF21B"	34.7460828229719	-0.635488385477249	0.693174062502724	0.000327475043309099	0.0497533139663696	112885
"26"	"ENSG00000135596"	"MICAL1"	1083.52017433402	-0.668168894774527	0.616012159166502	0.000184951254461535	0.0355938163304779	64780
"27"	"ENSG00000136603"	"SKIL"	383.342821265559	-0.701122871636317	0.500212005598882	6.30798254625681e-05	0.0155922876828543	6498
"28"	"ENSG00000187741"	"FANCA"	691.208674962782	-0.7493301191405	0.361724050225117	6.98438067294921e-06	0.00247348679542612	2175
"29"	"ENSG00000205336"	"ADGRG1"	189.678349628293	-0.784918525047645	0.569701843817478	7.40631335346066e-05	0.0179800279891221	9289
"30"	"ENSG00000117479"	"SLC19A2"	116.038189133772	-0.836642504940766	0.454372409191725	1.90810659623635e-05	0.00566162485768984	10560
"31"	"ENSG00000240583"	"AQP1"	103.753681599353	-0.845584108885596	0.557295932383294	5.12108897754616e-05	0.0129362859807122	358
"32"	"ENSG00000118922"	"KLF12"	242.723667569879	-0.878976615535911	0.330122602343082	2.09669267982677e-06	0.000816530755500037	11278
"33"	"ENSG00000131435"	"PDLIM4"	24.0558111004199	-0.885811666672884	0.700410763867156	0.00011013154278292	0.0239382433632689	8572
"34"	"ENSG00000105426"	"PTPRS"	153.53809244059	-0.927230611045366	0.584003966904248	4.57957751215991e-05	0.0120571890753247	5802
"35"	"ENSG00000151892"	"GFRA1"	551.022522988829	-0.933183524906217	0.543214595112967	3.23757535788385e-05	0.00888547569907493	2674
"36"	"ENSG00000149289"	"ZC3H12C"	183.268426556993	-0.940713064166003	0.600183064523008	4.90540473279195e-05	0.0127356570375111	85463
"37"	"ENSG00000174500"	"GCSAM"	14.3425851654902	-0.979712569957938	1.09280380911008	0.000300282520615008	0.0475693318462402	257144
