"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030208","GO:0030208","dermatan sulfate biosynthetic process","1/3","12/13770",0.00261229097345816,0.0250144547548742,0.00622369209212181,"BGN",1
"GO:0030205","GO:0030205","dermatan sulfate metabolic process","1/3","13/13770",0.00282977630032843,0.0250144547548742,0.00622369209212181,"BGN",1
"GO:0030207","GO:0030207","chondroitin sulfate catabolic process","1/3","13/13770",0.00282977630032843,0.0250144547548742,0.00622369209212181,"BGN",1
"GO:0006878","GO:0006878","cellular copper ion homeostasis","1/3","14/13770",0.0030472300090657,0.0250144547548742,0.00622369209212181,"PRND",1
"GO:0050651","GO:0050651","dermatan sulfate proteoglycan biosynthetic process","1/3","14/13770",0.0030472300090657,0.0250144547548742,0.00622369209212181,"BGN",1
"GO:0050655","GO:0050655","dermatan sulfate proteoglycan metabolic process","1/3","15/13770",0.00326465210196858,0.0250144547548742,0.00622369209212181,"BGN",1
"GO:0001732","GO:0001732","formation of cytoplasmic translation initiation complex","1/3","16/13770",0.00348204258133555,0.0250144547548742,0.00622369209212181,"EIF3CL",1
"GO:0055070","GO:0055070","copper ion homeostasis","1/3","17/13770",0.00369940144946557,0.0250144547548742,0.00622369209212181,"PRND",1
"GO:0018149","GO:0018149","peptide cross-linking","1/3","19/13770",0.00413402436120691,0.0250144547548742,0.00622369209212181,"BGN",1
"GO:0007340","GO:0007340","acrosome reaction","1/3","23/13770",0.00500289095097484,0.0250144547548742,0.00622369209212181,"PRND",1
"GO:0030206","GO:0030206","chondroitin sulfate biosynthetic process","1/3","23/13770",0.00500289095097484,0.0250144547548742,0.00622369209212181,"BGN",1
"GO:0050650","GO:0050650","chondroitin sulfate proteoglycan biosynthetic process","1/3","27/13770",0.00587125201837679,0.026676028191832,0.00663709792332662,"BGN",1
"GO:0001974","GO:0001974","blood vessel remodeling","1/3","29/13770",0.00630524302716029,0.026676028191832,0.00663709792332662,"BGN",1
"GO:0002183","GO:0002183","cytoplasmic translational initiation","1/3","34/13770",0.00738966791559748,0.0278903466398256,0.00693922500129633,"EIF3CL",1
"GO:0030204","GO:0030204","chondroitin sulfate metabolic process","1/3","35/13770",0.0076064581744979,0.0278903466398256,0.00693922500129633,"BGN",1
"GO:0050654","GO:0050654","chondroitin sulfate proteoglycan metabolic process","1/3","39/13770",0.00847330355742426,0.0291269809786459,0.00724690435832338,"BGN",1
"GO:0044273","GO:0044273","sulfur compound catabolic process","1/3","50/13770",0.0108545252372501,0.034550528796653,0.00859630381543519,"BGN",1
"GO:0006027","GO:0006027","glycosaminoglycan catabolic process","1/3","53/13770",0.0115032870081746,0.034550528796653,0.00859630381543519,"BGN",1
"GO:0006026","GO:0006026","aminoglycan catabolic process","1/3","55/13770",0.0119356372206619,0.034550528796653,0.00859630381543519,"BGN",1
"GO:0030166","GO:0030166","proteoglycan biosynthetic process","1/3","58/13770",0.0125839261331697,0.0346057968662167,0.00861005472269507,"BGN",1
"GO:0006029","GO:0006029","proteoglycan metabolic process","1/3","81/13770",0.0175447228152947,0.0458106737136328,0.011397870971813,"BGN",1
"GO:0007338","GO:0007338","single fertilization","1/3","89/13770",0.0192663146208139,0.0458106737136328,0.011397870971813,"PRND",1
"GO:0046916","GO:0046916","cellular transition metal ion homeostasis","1/3","90/13770",0.019481372076858,0.0458106737136328,0.011397870971813,"PRND",1
"GO:0002181","GO:0002181","cytoplasmic translation","1/3","99/13770",0.021415474605389,0.0458106737136328,0.011397870971813,"EIF3CL",1
"GO:0006024","GO:0006024","glycosaminoglycan biosynthetic process","1/3","99/13770",0.021415474605389,0.0458106737136328,0.011397870971813,"BGN",1
"GO:1903510","GO:1903510","mucopolysaccharide metabolic process","1/3","102/13770",0.0220596097971694,0.0458106737136328,0.011397870971813,"BGN",1
"GO:0006023","GO:0006023","aminoglycan biosynthetic process","1/3","104/13770",0.0224888761866925,0.0458106737136328,0.011397870971813,"BGN",1
"GO:0055076","GO:0055076","transition metal ion homeostasis","1/3","108/13770",0.0233470320764922,0.0458602415788241,0.011410203646406,"PRND",1
"GO:0009566","GO:0009566","fertilization","1/3","114/13770",0.0246333239638944,0.0463394179705846,0.011529424566844,"PRND",1
"GO:0048771","GO:0048771","tissue remodeling","1/3","117/13770",0.0252760461657734,0.0463394179705846,0.011529424566844,"BGN",1
"GO:0051216","GO:0051216","cartilage development","1/3","130/13770",0.0280579130787945,0.0497801683656031,0.0123854964354611,"BGN",1
