"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005901","GO:0005901","caveola","2/6","65/14370",0.000298688285277943,0.00561823809559605,0.00188170653919485,"TFPI/CAVIN2",2
"GO:0044853","GO:0044853","plasma membrane raft","2/6","85/14370",0.00051074891778146,0.00561823809559605,0.00188170653919485,"TFPI/CAVIN2",2
"GO:0031225","GO:0031225","anchored component of membrane","2/6","115/14370",0.00093258142913931,0.00683893048035494,0.00229055087858778,"PRND/TFPI",2
"GO:0045121","GO:0045121","membrane raft","2/6","260/14370",0.00466236214638289,0.0149869222331818,0.00501954333168767,"TFPI/CAVIN2",2
"GO:0098857","GO:0098857","membrane microdomain","2/6","260/14370",0.00466236214638289,0.0149869222331818,0.00501954333168767,"TFPI/CAVIN2",2
"GO:0031362","GO:0031362","anchored component of external side of plasma membrane","1/6","13/14370",0.00541665383214152,0.0149869222331818,0.00501954333168767,"PRND",1
"GO:0033290","GO:0033290","eukaryotic 48S preinitiation complex","1/6","15/14370",0.00624781088129622,0.0149869222331818,0.00501954333168767,"EIF3CL",1
"GO:0005852","GO:0005852","eukaryotic translation initiation factor 3 complex","1/6","17/14370",0.0070783890295133,0.0149869222331818,0.00501954333168767,"EIF3CL",1
"GO:0016282","GO:0016282","eukaryotic 43S preinitiation complex","1/6","17/14370",0.0070783890295133,0.0149869222331818,0.00501954333168767,"EIF3CL",1
"GO:0031233","GO:0031233","intrinsic component of external side of plasma membrane","1/6","17/14370",0.0070783890295133,0.0149869222331818,0.00501954333168767,"PRND",1
"GO:0070993","GO:0070993","translation preinitiation complex","1/6","18/14370",0.00749346111659088,0.0149869222331818,0.00501954333168767,"EIF3CL",1
"GO:0046658","GO:0046658","anchored component of plasma membrane","1/6","47/14370",0.0194678121933841,0.0356909890212042,0.0119539197678674,"PRND",1
"GO:0005796","GO:0005796","Golgi lumen","1/6","62/14370",0.0256140453979308,0.0433468460580367,0.0145180824117826,"BGN",1
