"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031362","GO:0031362","anchored component of external side of plasma membrane","1/3","13/14370",0.00271172151674071,0.0112601536908316,0.00329244259965835,"PRND",1
"GO:0033290","GO:0033290","eukaryotic 48S preinitiation complex","1/3","15/14370",0.00312847382296977,0.0112601536908316,0.00329244259965835,"EIF3CL",1
"GO:0005852","GO:0005852","eukaryotic translation initiation factor 3 complex","1/3","17/14370",0.0035451100098608,0.0112601536908316,0.00329244259965835,"EIF3CL",1
"GO:0016282","GO:0016282","eukaryotic 43S preinitiation complex","1/3","17/14370",0.0035451100098608,0.0112601536908316,0.00329244259965835,"EIF3CL",1
"GO:0031233","GO:0031233","intrinsic component of external side of plasma membrane","1/3","17/14370",0.0035451100098608,0.0112601536908316,0.00329244259965835,"PRND",1
"GO:0070993","GO:0070993","translation preinitiation complex","1/3","18/14370",0.00375338456361052,0.0112601536908316,0.00329244259965835,"EIF3CL",1
"GO:0046658","GO:0046658","anchored component of plasma membrane","1/3","47/14370",0.00978072949463238,0.0251504472719118,0.00735393195085141,"PRND",1
"GO:0005796","GO:0005796","Golgi lumen","1/3","62/14370",0.0128887600971852,0.0289997102186667,0.00847944743235869,"BGN",1
"GO:0043202","GO:0043202","lysosomal lumen","1/3","87/14370",0.0180543470817869,0.0361086941635738,0.0105580977086473,"BGN",1
"GO:0031225","GO:0031225","anchored component of membrane","1/3","115/14370",0.0238183739138039,0.0413277504668423,0.0120841375634042,"PRND",1
"GO:0042383","GO:0042383","sarcolemma","1/3","122/14370",0.0252558475075148,0.0413277504668423,0.0120841375634042,"BGN",1
"GO:0005775","GO:0005775","vacuolar lumen","1/3","142/14370",0.029355137656783,0.0440327064851745,0.012875060375782,"BGN",1
