"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","1/3","13/14091",0.00276536751104206,0.0216390165598646,NA,"BGN",1
"GO:0031369","GO:0031369","translation initiation factor binding","1/3","31/14091",0.00658591463234781,0.0216390165598646,NA,"EIF3CL",1
"GO:0050840","GO:0050840","extracellular matrix binding","1/3","46/14091",0.00976223977693513,0.0216390165598646,NA,"BGN",1
"GO:0005507","GO:0005507","copper ion binding","1/3","49/14091",0.0103966912328359,0.0216390165598646,NA,"PRND",1
"GO:0003743","GO:0003743","translation initiation factor activity","1/3","51/14091",0.0108195082799323,0.0216390165598646,NA,"EIF3CL",1
"GO:0008135","GO:0008135","translation factor activity, RNA binding","1/3","83/14091",0.0175682112140696,0.0292803520234493,NA,"EIF3CL",1
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding","1/3","101/14091",0.0213508321342707,0.0302395444471393,NA,"EIF3CL",1
"GO:0005201","GO:0005201","extracellular matrix structural constituent","1/3","129/14091",0.0272155900024253,0.0302395444471393,NA,"BGN",1
"GO:0045182","GO:0045182","translation regulator activity","1/3","129/14091",0.0272155900024253,0.0302395444471393,NA,"EIF3CL",1
"GO:0005539","GO:0005539","glycosaminoglycan binding","1/3","154/14091",0.0324321404937367,0.0324321404937367,NA,"BGN",1
