"","PC1","PC2","group","Tissue_Type","Replicate_Num","name"
"TRA00217394",-10.0853989239833,-4.18986134530054,"Neuron:One","Neuron","One","TRA00217394"
"TRA00217395",-2.59999523254091,7.93879522981758,"Neuron.WT:One","Neuron.WT","One","TRA00217395"
"TRA00217396",38.9347419251497,-17.9076910514367,"Neuron.Endo:One","Neuron.Endo","One","TRA00217396"
"TRA00217397",29.2911001093758,9.01284579124274,"Neuron:Two","Neuron","Two","TRA00217397"
"TRA00217398",-28.5375112947779,-11.4363082948424,"Neuron.WT:Two","Neuron.WT","Two","TRA00217398"
"TRA00217399",-14.7006738643085,-6.57464572474506,"Neuron.Endo:Two","Neuron.Endo","Two","TRA00217399"
"TRA00217400",-39.540272947656,3.24475237859281,"Neuron:Three","Neuron","Three","TRA00217400"
"TRA00217401",-5.30914051236865,21.0231410280201,"Neuron.WT:Three","Neuron.WT","Three","TRA00217401"
"TRA00217402",-14.5630393517616,0.0388282072205969,"Neuron.Endo:Three","Neuron.Endo","Three","TRA00217402"
"TRA00217403",23.6286754532743,-12.0436730259497,"Neuron:Four","Neuron","Four","TRA00217403"
"TRA00217404",30.3856661517199,15.7917460895992,"Neuron.WT:Four","Neuron.WT","Four","TRA00217404"
"TRA00217405",-6.90415151212301,-4.89792928221854,"Neuron.Endo:Four","Neuron.Endo","Four","TRA00217405"
