,Organoid_Num,Replicate,ID_Number,Day,DOX,ACTB,RPLP0,B2M,POL2A,POUF51,EOMES,SOX2,PAX6,SOX5,TBR1,BCL11B,GFAP1,GFAP2,RBFOX3,TUBB3,CDH5,OCLN,VWF,SLC2A1,PECAM1,MKI67,APAF1,ABCB1,BAX
0,1,1,1,15,0,22.295354831136603,20.2534381009569,27.1926150893681,26.6270858927873,34.724778101445395,38.8134084597529,27.136988738336,28.497654786553003,28.323618612575498,,,37.7302375050902,,28.4108985829968,22.1971383820126,36.2947124488821,31.850061380819202,34.2639541576796,29.1211012802883,36.5722762419402,27.1772238194632,27.515129324737202,35.2140433171025,26.9399908508078
1,1,2,1,15,0,22.039892018218,19.89177134285,27.022153809095503,27.162651958837902,36.045178146126496,38.1915256170471,27.5265724891932,28.214513315673102,28.0725757861938,,42.7442495973853,38.396935978593,,28.171789507594,22.5803573860243,36.74418599791429,31.3354119998422,34.3751434147677,29.3934150496032,38.766931396695206,27.4248793974665,27.281344618892604,34.4404313748365,27.3376753231533
2,2,1,2,15,0,22.364431082842998,20.3920431057953,27.3341589845674,27.39381615546,35.2231893740603,39.0556663507818,28.118851145896603,28.722459689051103,28.4425850238489,,39.7605910680522,,,28.589799895444003,22.650870136717803,39.0134579909411,32.2985601540233,35.1416701209522,30.0529610163866,37.1407573112813,27.4779269790226,27.8700828798806,35.7994658024892,27.683522707982398
3,2,2,2,15,0,23.035049393357202,20.5384121852761,27.6292431960104,28.0154120022193,35.6605562085948,,28.9115089224745,29.044293194564098,28.5167153210313,,,36.6840430421592,,28.960132745980896,23.327965097779497,38.1740048415381,32.1403423804569,35.4113132145181,30.664855206440397,38.7760410140676,28.6359154802387,27.8537819969018,35.7150557573244,28.1768251393926
4,3,1,3,15,0,23.2011573203681,20.0215414248016,26.7722107609931,27.3049505300531,33.5873847317687,39.0477374784896,27.4534659772391,28.4990668990164,28.5966354087541,,37.7520571127428,,,28.0774356723195,22.295113000088897,39.9495952200847,31.8695239119489,34.9569132936752,29.3986073567377,33.8683372473232,27.2561945483804,27.683000109787102,34.340047744683105,27.049403665879503
5,3,2,3,15,0,23.318566548461398,19.8632518584418,26.551400721127,27.110650906791,33.5066733788,37.8369559280191,27.1701959075925,28.278241257294898,28.1923947868159,,40.000948486107895,37.0852005195124,,27.9693966235102,22.2750279507442,38.140437303499205,31.779365375496102,33.6404024424165,29.067656849103304,34.3376762244392,27.2591366546349,27.6911704842663,36.1235015049482,27.382688033903197
6,4,1,5,15,1,21.7371516990134,19.2595286007646,25.320161303098,25.5262883163568,33.7664631924983,37.743260427467796,26.7038137488392,31.078324832837897,27.0681267584479,,35.830606137016,44.054655531646006,,27.539248907654,21.269548418099,27.454909958122396,30.553799215377804,31.438704415638,29.051104500019196,33.9456418749056,25.9123167569584,26.212038092895604,34.150005059913,26.4807028805691
7,4,2,5,15,1,22.2287795233641,19.4395546808233,25.5401445293868,25.8275761387717,34.3337009559335,37.9635298083864,27.0938144555752,31.3033201023731,27.2196581957792,,37.0403911043361,38.1094196023287,,27.85890034633,21.542804911094798,27.434935308693,30.6039095858246,32.0458956971066,29.3674051398106,33.8568482300266,26.5873534273519,26.3663065554646,34.587655855002,26.7318713135274
8,5,1,6,15,1,21.506293580452198,19.375057877358802,25.5286978947078,25.6888473469769,33.3829657822473,,26.5766165709455,30.6832401096162,27.3648180802567,,35.2297725047903,37.3189021957163,,27.614082019797802,21.177072083217002,27.589701358681502,30.8664592181167,31.464121790046,28.9101862690101,33.4071362097442,25.6987010529834,26.380255674709897,34.5613487444637,26.3028490190069
9,5,2,6,15,1,21.4437489499909,19.0560055737389,25.156454923966397,25.227634823846397,33.2494269718975,37.8600858637529,26.132084871803002,30.5722481123894,26.7804061636735,,34.6119748071701,39.3293834225359,,27.1854192445077,21.126947264005498,27.3672821635889,30.4219841589296,31.065852811198102,28.265658869486398,33.302121081353896,25.4939898431595,26.264447806063398,34.0517651508558,26.374657376993397
10,6,1,7,15,1,20.888754105734197,18.3829343489768,24.5137945095402,24.896123707767302,33.144209010193,37.5563734576348,25.509856449594196,30.468041231058603,26.3450021956387,,35.49796022797489,36.8914100599627,,26.7674632092122,20.457039092901898,26.926287018061398,29.730828769742498,30.616210949306698,27.997089599246696,33.2234322412717,25.049657360170002,25.449818420103398,32.7095121782325,25.6898250496421
11,6,2,7,15,1,21.3936147157684,18.7142084924776,24.891308928502603,25.248968467200303,33.5856443991781,39.9373255209129,26.008939910435,30.9265513343125,26.4982073700007,,38.9875011970136,37.1032652883857,,27.0712567981428,20.9035165249074,27.0192285997946,30.008857117067,30.9107533602575,28.338598394053502,33.141526654690296,25.850502451377,25.7468562439506,32.812810590282304,26.160351541227
12,7,1,1,15,0,20.8550043498443,18.664817793012396,25.395633355367302,24.498994604972502,31.9039376424205,38.2142335634545,25.2458604941145,28.091492654625302,26.322310991015,38.164798129723,37.658031926944105,36.9818058776342,,26.9735799064187,21.317407787477396,34.9641592470401,29.1399371786435,31.645751280231,27.287412320262,33.210248261771895,24.506792259250002,25.2159525713065,33.8800499025928,25.881712264511
13,7,2,1,15,0,20.650526448500102,18.367650527988697,25.222262093464103,24.385357790091895,31.7124744712052,37.3699010207432,25.141632131936102,27.876824914274803,26.0533536708882,,36.7032777454811,38.614815763883904,,26.775435570423497,21.1679323856083,34.5646924247429,29.070953115798,31.235814733779396,26.9434162288955,33.2161863639471,24.416177929,25.134097769257497,36.9638230048503,26.093493920151897
14,8,1,2,15,0,20.915401571455103,18.8813461988042,25.611962075582102,25.312906976228103,33.430563985633505,36.449735826959,26.179677216325196,28.6597766010215,26.594436732575602,,39.17598625064689,36.5790695832936,,27.1486533946169,21.491993608962897,35.2911876344041,29.554260887516104,32.1833856755089,28.181308152905604,35.8905181871219,25.198558907368003,25.894597327985,33.8754515730547,26.4278854460315
15,8,2,2,15,0,21.5060528371762,19.0451775485579,25.892203318310102,25.428537677070302,33.7244306274665,38.699774476895705,26.5322377131884,28.844540380646897,26.598357019791898,,39.014055024986206,37.2152577413061,,27.4537181590331,21.6626380663689,35.4434482878961,29.453047165833603,32.0940868032019,28.536009724720397,36.1749136893016,25.8919027347503,25.8633298919013,34.073957793874996,26.608893396442397
16,9,1,4,15,0,21.281347633093,18.664171080492398,25.4715625705001,24.8029286141777,31.146331405771104,36.7933970958359,25.344494480372,28.138605613351398,27.006693145517897,,,38.6143017241326,,26.175029791294797,21.120321379751697,36.189908953692395,29.8430212948806,31.558377228690006,27.5993361793075,32.4666035645766,24.909535936835,25.4896805830965,33.4416940382386,25.466847627487397
17,9,2,4,15,0,21.3169092727198,18.5298511652413,25.1582410539366,24.389105688350895,30.9167782923003,36.9382538784207,25.0122103810178,27.945240183944,26.4205936203616,,39.700348322961105,36.3845118187865,,26.093966761307698,20.9854871062479,36.5180071571804,29.353660748568302,31.0664417883052,27.1639011856428,32.0811954177288,24.6213636502954,25.3719000940432,33.6353493985431,25.703979793174803
18,10,1,6,15,1,21.8340527773095,18.658858018611898,25.321581982410102,24.5751774661476,31.7884799137254,36.1174000447795,26.086680435499,29.3391466429919,26.511845860880104,,36.3908112378871,,,26.6285506718416,20.8011884451862,31.8469195086376,29.6755502054003,32.0836381961998,28.0891787399926,32.9006576965733,24.9330004264539,25.5468463466678,33.698370665629696,25.7506077262858
19,10,2,6,15,1,22.0837550373986,18.809175303611,25.4926167767862,25.053508705728504,32.208440101641,39.2039300104581,26.5063447112769,29.388677146375898,26.4352889558176,,36.9459125085684,,,26.844403903440103,21.130613450806397,32.1079788693902,29.672388585728,32.25968213206011,28.554688096872898,33.396339687288,25.805182192518895,25.708951058937103,38.6842904353829,26.183620674580304
20,11,1,7,15,1,21.215738096241697,18.9961588314705,25.520334700841797,25.2938307622232,31.748917294658998,38.07302228187479,26.186925648159498,29.643573185984202,26.6880531000449,,43.3195736579327,,,27.2579672277215,21.484605473149198,31.4515642602562,29.8975787969764,32.22424172285589,28.3530089446877,32.1922692498139,25.103512519796702,25.536206407826,33.8428906500828,25.9264758826602
21,11,2,7,15,1,21.3188952828076,18.8432025070346,25.497630782044396,25.1636346743058,31.690179027655102,38.3292372803755,26.1120760686373,29.4536497342281,26.480328010799397,,37.197068015353295,37.569310802627705,,27.1162878496948,21.2565342322855,31.5710874792078,29.6818859105373,32.1956758423308,27.8180990166505,32.3405336634892,25.0411020920398,25.5781498368562,35.33484569872989,26.1623666513897
22,12,1,8,15,1,20.922177507255398,18.9325581338148,25.518703622574,25.5321962964289,33.432897421930896,39.2014882995476,26.535189134966803,31.4411613892136,26.521217502593004,,36.352427824962604,37.2651973317391,,27.3325806603905,21.6730318939086,31.164800304754802,30.2636352025132,32.338757537863806,28.500736139523,35.8698838141466,25.2744820733534,25.7062641629357,34.0248459316117,26.092917414359302
23,12,2,8,15,1,21.4683817472162,19.167699994571603,25.9197658121373,25.6572000260997,34.1694868498128,39.5006201726841,27.0142805085276,32.0576821502644,26.6457174824494,38.6263755420835,40.3907542256893,37.686462026597496,,27.942752756643,21.8698922512826,31.3889861776678,30.256917184850398,32.2421042093396,28.883788992725897,35.426477032403795,25.9340318014259,26.039115877368303,38.1456614576918,26.332622109675697
24,13,1,1,15,0,20.8174759341885,18.8948515771308,25.582264678017303,24.347777654702302,31.012657677476398,38.244395315721,25.1748901786241,27.2317498526823,26.696457124545898,,35.315046695644604,36.557810141067904,,26.637559918849,21.342694659935102,36.9978792612961,29.0605928664245,31.3001511293202,27.1899729292664,31.939247861167804,24.391131497736602,25.2130252602182,33.2841385570441,25.8767256989403
25,13,2,1,15,0,20.721165733334697,18.8285396444029,25.448867899612303,24.147619868488498,30.957009001782797,37.2480653248183,24.7722863137392,27.0166439655285,26.251562198867898,,38.4457480176229,,,26.434825836595603,21.2863117880163,36.9910699780329,28.8343161542211,30.856319110635802,26.954886520579702,32.414047664086105,24.298190428228697,25.454416574222897,33.6716271165409,26.107339704753
26,14,1,2,15,0,21.4002233274823,18.898740907603603,25.7238087474334,24.3124443506995,32.137233239208896,38.4359383932418,25.046491467415198,28.057626658961897,26.609731195897304,38.607922277093,35.8187544831526,37.2783655061823,,26.8373851307304,20.9853229401793,36.863199136663205,29.264094454094,31.4748346870546,27.030150348611397,33.8861378472307,24.5811510917472,25.323591974563698,33.8062504799829,25.7640102391949
27,14,2,2,15,0,21.810384289390896,19.0857215021593,25.8986938894843,24.6305756408319,32.3313081731282,37.738026678723294,25.483734059119,28.085789112589197,26.6685155444832,,35.9805467812093,,,27.207255524160104,21.255247318787998,36.3062956612219,29.307183176301198,31.5980086887674,27.328227348895897,34.3426696783839,25.238399011903702,25.622766825156003,34.4051101846652,26.1500463425109
28,15,1,3,15,0,21.0431504900748,19.0019975927504,25.413174841392397,24.568558541280797,32.7160194721883,37.6706340101389,25.0135747669022,27.052986382055803,26.522113831033398,,36.5271257225962,37.3667232020079,38.4239466702378,26.8356765235023,21.355387156871398,35.1783731196257,29.155336009899997,31.8200846939676,27.486597367391802,36.235201194316204,24.5839819743682,25.3557078335607,33.8250763735419,25.926297231111104
29,15,2,3,15,0,21.263423511036603,18.9423578347923,25.6141216715553,24.366033120799603,32.6209386458533,38.0889632293996,24.6411527512216,27.2160871472476,26.397581999807702,,37.9676371936602,39.0651304034032,,26.874624610804,21.0938316086747,36.125824799657295,29.193866276263105,31.869624234386396,27.079815470559698,36.4150023282304,24.4716919291266,25.4598396762287,33.835913514411004,26.2142089804288
30,16,1,6,15,1,20.8379379495954,18.9095611332484,25.863024719719895,24.6473616876505,33.0752681031718,,26.1370467992837,28.5170267194908,26.2610230964528,,37.4826693434936,36.9798617549347,,27.1533284952238,21.1259318456133,32.8554112429861,29.688465052922602,32.5640183523902,28.2113151998918,37.1528213219747,24.326981405535697,25.5768117623294,33.6210912213187,26.1740645542736
31,16,2,6,15,1,21.5037630895947,19.142003170587103,26.1714009478739,24.7162503245035,33.7451210564153,,26.5339932341931,28.864662498759397,26.3691593331846,,36.794723840775,37.7106159977129,,27.6535293455864,21.255157272794897,33.3385402419872,29.912557602228,32.3639910509983,28.593713424471503,38.613048904706105,24.9431654025214,25.6476392988076,34.1849620601745,26.346999846778804
32,17,1,7,15,1,20.314007570022,18.7286729504028,25.394237922375602,24.435794316051698,32.6166256691151,37.4780656023155,25.2852717214065,28.4951677307301,26.0757877932365,37.518719807733795,36.469823359966604,36.81049656761971,,27.026356380486604,20.8453374265027,30.763442973983697,29.185193065418503,31.6754030285358,27.7182291453584,36.6959335080293,24.0649746765132,25.039190648009,32.7447996973288,25.5080098378849
33,17,2,7,15,1,20.133522304448302,18.4271144012843,25.2745336333431,24.448092333680396,32.6379774766146,39.29508973863,25.2054346757903,28.3866684790682,25.7825393070992,,37.023481525832096,36.632946429034,,26.769678335170603,20.7851378468607,30.6872990809841,29.0110535673102,31.7245890469482,27.3628998249333,35.7857068626439,24.1472591128544,25.0114601021862,32.921351469309805,25.896149676790298
34,18,1,8,15,1,20.320291744705397,18.3415214598911,25.2083132805016,24.2986095501893,32.8166883746431,37.534245388874,25.048947398144602,28.007291518906698,26.191140401918602,,39.2809890937333,37.0857097351937,,26.6599481537711,20.777118209569,32.1460550558488,28.9092934649813,31.062258643562398,27.3273969297898,36.1257851812645,24.3820079787848,25.2041498517087,33.0455860311677,25.6656576774285
35,18,2,8,15,1,21.0566091360505,18.7781247400082,25.496799063873702,24.3026986840226,33.5386879850671,38.4386854071264,25.398010237776298,28.4313847657693,26.439155445226802,,37.884568462974,36.8378559642141,,27.129815181951297,21.0994737781848,32.3334490915952,29.103762514482302,31.336909032421303,27.7608089235183,39.5365693660699,25.0523822249055,25.4175739797768,33.3483757421797,25.8746762503347
